[0:00:00.00]-[0:00:02.00]  ¿Le falla el sal?
[1:11:09.48]-[1:11:11.48]  ¿las vacas?
[1:11:11.48]-[1:11:13.48]  ¿es pesada?
[1:11:13.48]-[1:11:15.48]  ¿y de así sabe?
[1:11:15.48]-[1:11:17.48]  ¿y por qué?
[1:11:17.48]-[1:11:19.48]  ¿y qué mucha?
[1:11:19.48]-[1:11:21.48]  pues yo pues la arranco, pero no me hace
[1:11:21.48]-[1:11:23.48]  más de la puerta
[1:11:23.48]-[1:11:25.48]  esto va a salir
[1:11:25.48]-[1:11:27.48]  un montón
[1:11:27.48]-[1:11:29.48]  antes que era este
[1:11:29.48]-[1:11:31.48]  y mañana con las gachas
[1:11:31.48]-[1:11:33.48]  ah, sí
[1:11:33.48]-[1:11:35.48]  comían gachas por la mañana
[1:11:35.48]-[1:11:37.48]  gachas por la mañana
[1:11:37.48]-[1:11:39.48]  y a mediodía
[1:11:39.48]-[1:11:41.48]  lo que saliera y a la noche
[1:11:41.48]-[1:11:43.48]  el potaje
[1:11:43.48]-[1:11:45.48]  ¿y las gachas de qué harina?
[1:11:45.48]-[1:11:47.48]  de harina de guijas
[1:11:47.48]-[1:11:49.48]  ¿y qué es guijas?
[1:11:49.48]-[1:11:51.48]  pues guijas
[1:11:51.48]-[1:11:53.48]  ¿y no la conocís?
[1:11:53.48]-[1:11:55.48]  aparenta el garbanzo
[1:11:55.48]-[1:11:57.48]  pero
[1:11:57.48]-[1:11:59.48]  pero chapá
[1:11:59.48]-[1:12:01.48]  la planta es chapá
[1:12:01.48]-[1:12:03.48]  es de garbanzo
[1:12:03.48]-[1:12:05.48]  pues esa es chapá
[1:12:05.48]-[1:12:07.48]  ¿lentejas?
[1:12:07.48]-[1:12:09.48]  más gorda que la lenteja
[1:12:09.48]-[1:12:11.48]  más gorda
[1:12:11.48]-[1:12:13.48]  más gorda que la lenteja
[1:12:13.48]-[1:12:15.48]  y eso por la mañana
[1:12:15.48]-[1:12:17.48]  y por la noche
[1:12:17.48]-[1:12:19.48]  el potaje
[1:12:19.48]-[1:12:21.48]  ¿y sólo se hacían dos comidas?
[1:12:21.48]-[1:12:23.48]  o no comerían en mitad mediodía
[1:12:23.48]-[1:12:25.48]  pues si teníamos pan
[1:12:25.48]-[1:12:27.48]  ¿pan nada más?
[1:12:27.48]-[1:12:29.48]  pan y hojquén
[1:12:29.48]-[1:12:31.48]  porque si iba al campo llevaba
[1:12:31.48]-[1:12:33.48]  un huevo y dos tajas
[1:12:33.48]-[1:12:35.48]  de tocino
[1:12:35.48]-[1:12:37.48]  o una lo que fuera
[1:12:37.48]-[1:12:39.48]  pero
[1:12:39.48]-[1:12:41.48]  ¿y dulce nunca comían?
[1:12:41.48]-[1:12:43.48]  pan noche buena
[1:12:43.48]-[1:12:45.48]  ¿sólo?
[1:12:45.48]-[1:12:47.48]  solo
[1:12:47.48]-[1:12:49.48]  ¿o las fiestas?
[1:12:49.48]-[1:12:51.48]  en casa a lo mejor también
[1:12:51.48]-[1:12:53.48]  se hacían tres guijas
[1:12:53.48]-[1:12:55.48]  y para la noche buena
[1:12:55.48]-[1:12:57.48]  hacíamos rolletes
[1:12:57.48]-[1:12:59.48]  con aceite
[1:12:59.48]-[1:13:01.48]  ¿mantecaos con mantecaos?
[1:13:01.48]-[1:13:03.48]  con mantecaos
[1:13:03.48]-[1:13:05.48]  con la hora
[1:13:05.48]-[1:13:07.48]  que hay rolletes y mantecaos
[1:13:07.48]-[1:13:09.48]  y eso
[1:13:09.48]-[1:13:11.48]  hacíamos dos libras
[1:13:11.48]-[1:13:13.48]  o tres libras
[1:13:13.48]-[1:13:15.48]  o lo que fuera
[1:13:15.48]-[1:13:17.48]  una cesta de
[1:13:17.48]-[1:13:19.48]  con esa cesta
[1:13:19.48]-[1:13:21.48]  de mantecaos
[1:13:21.48]-[1:13:23.48]  que podías ahora los comprar
[1:13:23.48]-[1:13:25.48]  y los hacíamos nosotros
[1:13:29.48]-[1:13:31.48]  ahora ya está que los coquíamos
[1:13:31.48]-[1:13:33.48]  nuestro pan antes
[1:13:33.48]-[1:13:35.48]  ¿aquí había horno
[1:13:35.48]-[1:13:37.48]  por cada casa?
[1:13:37.48]-[1:13:39.48]  o solo...
[1:13:39.48]-[1:13:41.48]  no, no, a esa horno en la plaza
[1:13:41.48]-[1:13:43.48]  ¿uno por todo el pueblo?
[1:13:43.48]-[1:13:45.48]  no, no, dos o tres
[1:13:45.48]-[1:13:47.48]  por lo menos
[1:13:47.48]-[1:13:49.48]  por lo menos tres
[1:13:49.48]-[1:13:51.48]  ¿también?
[1:13:51.48]-[1:13:53.48]  ¿había?
[1:13:53.48]-[1:13:55.48]  ¿de horno?
[1:13:55.48]-[1:13:57.48]  no
[1:13:57.48]-[1:13:59.48]  ¿y para lavar
[1:13:59.48]-[1:14:01.48]  ropa?
[1:14:01.48]-[1:14:03.48]  para lavar ropa en el río
[1:14:03.48]-[1:14:05.48]  en el río
[1:14:05.48]-[1:14:07.48]  íbamos al río
[1:14:07.48]-[1:14:09.48]  luego hicieron lavadero
[1:14:09.48]-[1:14:11.48]  ah, ¿el lavadero fue...?
[1:14:11.48]-[1:14:13.48]  pero ya a última hora
[1:14:13.48]-[1:14:15.48]  siempre íbamos al río
[1:14:15.48]-[1:14:17.48]  cuando era, hacía frío
[1:14:17.48]-[1:14:19.48]  y lavar, pues teníamos que romper los hielos
[1:14:19.48]-[1:14:21.48]  ¿con la mano para lavar?
[1:14:21.48]-[1:14:23.48]  sí, para lavar
[1:14:23.48]-[1:14:25.48]  más de dos veces
[1:14:27.48]-[1:14:29.48]  ¿y cómo lavaban? ¿sobre una piedra?
[1:14:29.48]-[1:14:31.48]  con una losa que tenemos ahí
[1:14:31.48]-[1:14:33.48]  tenemos la losa
[1:14:33.48]-[1:14:35.48]  ¿y cómo es? ¿de madera?
[1:14:35.48]-[1:14:37.48]  ¿y estará ahí aún?
[1:14:37.48]-[1:14:39.48]  no, no
[1:14:39.48]-[1:14:41.48]  y llevábamos la losa
[1:14:41.48]-[1:14:43.48]  y nuestro pesto
[1:14:43.48]-[1:14:45.48]  ¿y la de la pila?
[1:14:45.48]-[1:14:47.48]  la de madera
[1:14:47.48]-[1:14:49.48]  y llevamos nuestra losa
[1:14:49.48]-[1:14:51.48]  y el pesto
[1:14:51.48]-[1:14:53.48]  y lo llevamos al río
[1:14:53.48]-[1:14:55.48]  cuando llevábamos algo que llevábamos un cubo
[1:14:55.48]-[1:14:57.48]  para meter la losa
[1:14:57.48]-[1:14:59.48]  el pesto era de
[1:14:59.48]-[1:15:01.48]  de playta que tenías
[1:15:01.48]-[1:15:03.48]  ¿de qué? de playta como esa
[1:15:03.48]-[1:15:05.48]  bueno, un poco más alta
[1:15:05.48]-[1:15:07.48]  como esta
[1:15:07.48]-[1:15:09.48]  es un barreo
[1:15:09.48]-[1:15:11.48]  ¿y para qué sirve un barreo?
[1:15:11.48]-[1:15:13.48]  para ponerlo en los pies
[1:15:13.48]-[1:15:15.48]  para esto
[1:15:15.48]-[1:15:17.48]  el más grande
[1:15:17.48]-[1:15:19.48]  lo pones en la sartén para comer
[1:15:19.48]-[1:15:21.48]  la familia
[1:15:21.48]-[1:15:23.48]  o para el aire para activar el trigo
[1:15:23.48]-[1:15:25.48]  echar el trigo ahí
[1:15:25.48]-[1:15:27.48]  el más grande
[1:15:27.48]-[1:15:29.48]  y eso pues
[1:15:29.48]-[1:15:31.48]  una sera para
[1:15:31.48]-[1:15:33.48]  entrar a la habitación
[1:15:33.48]-[1:15:35.48]  limpiarte los pies
[1:15:35.48]-[1:15:37.48]  si tienes barro o algo
[1:15:37.48]-[1:15:39.48]  lo que pasa es que ahí está
[1:15:39.48]-[1:15:41.48]  lo hicimos y no lo hemos usado
[1:15:41.48]-[1:15:43.48]  ¿y usted vende el barreo?
[1:15:43.48]-[1:15:45.48]  no
[1:15:45.48]-[1:15:47.48]  ¿solo para casa?
[1:15:47.48]-[1:15:49.48]  no, solo para casa
[1:15:49.48]-[1:15:51.48]  no, porque esto
[1:15:51.48]-[1:15:53.48]  pues no sacas
[1:15:53.48]-[1:15:55.48]  vamos a sacar
[1:15:55.48]-[1:15:57.48]  porque no funde
[1:15:57.48]-[1:15:59.48]  y para
[1:15:59.48]-[1:16:01.48]  esto para pagarlo
[1:16:01.48]-[1:16:03.48]  lo tenemos que pagar muy bien
[1:16:03.48]-[1:16:05.48]  y no lo pagamos
[1:16:05.48]-[1:16:07.48]  ¿y este para qué vale?
[1:16:07.48]-[1:16:09.48]  es un reloj
[1:16:09.48]-[1:16:11.48]  es un reloj que no lo veía
[1:16:11.48]-[1:16:13.48]  estaba aquí
[1:16:13.48]-[1:16:15.48]  allá lo veo, sí, sí
[1:16:15.48]-[1:16:17.48]  ¿y a usted quién
[1:16:17.48]-[1:16:19.48]  quiere enseñar a hacer esto?
[1:16:19.48]-[1:16:21.48]  pues
[1:16:21.48]-[1:16:23.48]  un hermano, más bien que yo
[1:16:25.48]-[1:16:27.48]  ¿y a usted a su hijo
[1:16:27.48]-[1:16:29.48]  hay que ni hablar?
[1:16:29.48]-[1:16:31.48]  no, no sabe
[1:16:31.48]-[1:16:33.48]  ¿pero por qué no ha querido...?
[1:16:33.48]-[1:16:35.48]  pues hombre, no ha estado
[1:16:35.48]-[1:16:37.48]  y si hubiera estado aquí a lo mejor
[1:16:37.48]-[1:16:39.48]  la gente joven
[1:16:39.48]-[1:16:41.48]  dice que sí, que
[1:16:41.48]-[1:16:43.48]  pero que no
[1:16:43.48]-[1:16:45.48]  muchos de los que hay ahora
[1:16:45.48]-[1:16:47.48]  no saben hacer esto ya
[1:16:47.48]-[1:16:49.48]  yo les he
[1:16:49.48]-[1:16:51.48]  empezado dos o tres
[1:16:51.48]-[1:16:53.48]  plaitas
[1:16:53.48]-[1:16:55.48]  esto es plaitas que se dice
[1:16:55.48]-[1:16:57.48]  pues he empezado a uno
[1:16:57.48]-[1:16:59.48]  hay tres o cuatro para hacer
[1:16:59.48]-[1:17:01.48]  una seda como eso
[1:17:01.48]-[1:17:03.48]  y dice que no sabe empezar
[1:17:03.48]-[1:17:05.48]  y se la cogí un día y me perdí
[1:17:05.48]-[1:17:07.48]  y no...
[1:17:07.48]-[1:17:09.48]  y otro ayer o antes de ayer me dijo
[1:17:09.48]-[1:17:11.48]  cogí esparto para hacer
[1:17:11.48]-[1:17:13.48]  y no se ha empezado
[1:17:13.48]-[1:17:15.48]  seguir sí
[1:17:15.48]-[1:17:17.48]  pero empezar no
[1:17:17.48]-[1:17:19.48]  así que
[1:17:19.48]-[1:17:21.48]  seguro, seguro que hoy
[1:17:21.48]-[1:17:23.48]  empieza
[1:17:23.48]-[1:17:25.48]  empezar a lo mejor nada más que yo
[1:17:25.48]-[1:17:27.48]  y seguir
[1:17:27.48]-[1:17:29.48]  en todo el pueblo
[1:17:29.48]-[1:17:31.48]  pudiera que no, porque ya hay poca gente
[1:17:31.48]-[1:17:33.48]  antes sí
[1:17:33.48]-[1:17:35.48]  antes sí, antes todo
[1:17:35.48]-[1:17:37.48]  yo antes me tiraba
[1:17:37.48]-[1:17:39.48]  una maña que era así
[1:17:39.48]-[1:17:41.48]  de grande de esparto
[1:17:41.48]-[1:17:43.48]  todas las noches
[1:17:43.48]-[1:17:45.48]  una maña que se decía una maña
[1:17:45.48]-[1:17:47.48]  un manojo, un manojo de esparto
[1:17:47.48]-[1:17:49.48]  pero así de grande
[1:17:49.48]-[1:17:51.48]  todas las noches
[1:17:53.48]-[1:17:55.48]  y las han echado
[1:17:55.48]-[1:17:57.48]  y las tiraba para hacer
[1:17:57.48]-[1:17:59.48]  un cerro, para hacer esparta
[1:17:59.48]-[1:18:03.48]  y eso es lo que
[1:18:03.48]-[1:18:05.48]  estaba en pretender
[1:18:05.48]-[1:18:07.48]  antes los hombres
[1:18:07.48]-[1:18:09.48]  hacían de su gusto
[1:18:09.48]-[1:18:11.48]  las mujeres que hacían coser
[1:18:11.48]-[1:18:13.48]  ¿es de poco?
[1:18:13.48]-[1:18:15.48]  pues con cosil
[1:18:15.48]-[1:18:17.48]  o si teníamos
[1:18:17.48]-[1:18:19.48]  ¿cómo ha dicho que hacían?
[1:18:19.48]-[1:18:21.48]  con calcetines
[1:18:21.48]-[1:18:23.48]  ¿pero qué ha dicho que hacían?
[1:18:23.48]-[1:18:25.48]  hacíamos coser
[1:18:25.48]-[1:18:27.48]  si teníamos
[1:18:27.48]-[1:18:29.48]  y cosíamos
[1:18:29.48]-[1:18:31.48]  a lo mejor un domingo
[1:18:31.48]-[1:18:33.48]  los hombres se iban a echar un truque
[1:18:33.48]-[1:18:35.48]  y nosotros a remendarles los pantalones
[1:18:35.48]-[1:18:37.48]  a calcetines
[1:18:37.48]-[1:18:39.48]  para lunes
[1:18:39.48]-[1:18:41.48]  y dar de marcha para ir al campo
[1:18:41.48]-[1:18:43.48]  así que
[1:18:43.48]-[1:18:45.48]  ya, así era la vida
[1:18:47.48]-[1:18:49.48]  ahora nada
[1:18:49.48]-[1:18:51.48]  ahora ya no hacemos nada
[1:18:51.48]-[1:18:53.48]  todo lo dan cosido
[1:18:53.48]-[1:18:55.48]  y entonces no
[1:18:55.48]-[1:18:57.48]  ¿sí?
[1:18:57.48]-[1:18:59.48]  las medias duran un chismo
[1:18:59.48]-[1:19:01.48]  los calcetines
[1:19:01.48]-[1:19:03.48]  igual, así que ahora no se hace nada
[1:19:07.48]-[1:19:09.48]  ¿y aquí se puede comer en alguna parte?
[1:19:09.48]-[1:19:11.48]  aquí no
[1:19:11.48]-[1:19:13.48]  ¿pero está en la ruina romana
[1:19:13.48]-[1:19:15.48]  y no hay ningún restaurante?
[1:19:15.48]-[1:19:17.48]  no, no, no, no, no
[1:19:17.48]-[1:19:19.48]  no sé yo si en el bartero
[1:19:19.48]-[1:19:21.48]  yo creo que no
[1:19:21.48]-[1:19:23.48]  ¿y a donde podríamos ir?
[1:19:23.48]-[1:19:25.48]  a Valera abajo
[1:19:25.48]-[1:19:27.48]  que es un pueblo grande
[1:19:27.48]-[1:19:29.48]  ¿pero ahí es donde está la ciudad grande romana?
[1:19:29.48]-[1:19:31.48]  no, no, no, la ciudad es acá
[1:19:31.48]-[1:19:33.48]  ¿está aquí donde está?
[1:19:33.48]-[1:19:35.48]  ah, vale
[1:19:35.48]-[1:19:37.48]  la ciudad es acá aquí
[1:19:37.48]-[1:19:39.48]  llamas que el pueblo
[1:19:39.48]-[1:19:41.48]  el pueblo grande es Valera
[1:19:41.48]-[1:19:43.48]  ¿el Vallea o Valera?
[1:19:43.48]-[1:19:45.48]  Valera de abajo
[1:19:45.48]-[1:19:47.48]  y esto Valera de arriba
[1:19:47.48]-[1:19:49.48]  pero pone Valeria
[1:19:49.48]-[1:19:51.48]  ¿y por qué?
[1:19:51.48]-[1:19:53.48]  pues le pusieron el nombre
[1:19:53.48]-[1:19:55.48]  le cambiaron por la gran Valeria
[1:19:55.48]-[1:19:57.48]  que es esto, la ruina romana
[1:19:57.48]-[1:19:59.48]  la gran Valeria
[1:19:59.48]-[1:20:01.48]  y claro, como era la gran Valeria
[1:20:01.48]-[1:20:03.48]  pues Valera
[1:20:03.48]-[1:20:05.48]  Valeria le pusieron
[1:20:05.48]-[1:20:07.48]  ¿y qué es lo que hay ahí?
[1:20:07.48]-[1:20:09.48]  está la muchacha esa nos enseña
[1:20:11.48]-[1:20:13.48]  porque hoy está
[1:20:13.48]-[1:20:15.48]  ¿no puede ser que la quiera ir allá?
[1:20:15.48]-[1:20:17.48]  hoy, ella hoy no va
[1:20:17.48]-[1:20:19.48]  no será que es domingo
[1:20:19.48]-[1:20:21.48]  ah, pues que te diré
[1:20:21.48]-[1:20:23.48]  es domingo
[1:20:23.48]-[1:20:25.48]  no se puede ir
[1:20:25.48]-[1:20:27.48]  mañana ya no está
[1:20:27.48]-[1:20:29.48]  pero ya no está
[1:20:29.48]-[1:20:31.48]  ya lo puedes enseñar
[1:20:31.48]-[1:20:33.48]  hay una casilla
[1:20:33.48]-[1:20:35.48]  y en la casilla estará
[1:20:35.48]-[1:20:37.48]  y les enseñará la gran Valeria
[1:20:37.48]-[1:20:39.48]  ella ya
[1:20:39.48]-[1:20:41.48]  claro
[1:20:43.48]-[1:20:45.48]  pues nos vamos a ir ya
[1:20:45.48]-[1:20:47.48]  y nos vamos a enseñar a comer ¿no?
[1:20:47.48]-[1:20:49.48]  pues hombre
[1:20:49.48]-[1:20:51.48]  les importaría decirnos
[1:20:51.48]-[1:20:53.48]  cómo se llaman
[1:20:53.48]-[1:20:55.48]  no, hombre, ¿por qué?
[1:20:55.48]-[1:20:57.48]  no, bueno
[1:20:57.48]-[1:20:59.48]  parece mentira que diferencia de amabilidad
[1:20:59.48]-[1:21:01.48]  aquí en la Almera
[1:21:01.48]-[1:21:03.48]  en la Almera hemos estado una hora y media
[1:21:03.48]-[1:21:05.48]  y hemos preguntado
[1:21:05.48]-[1:21:07.48]  a cuántas personas
[1:21:07.48]-[1:21:09.48]  y ninguno quería
[1:21:09.48]-[1:21:11.48]  y no se fiaban
[1:21:11.48]-[1:21:13.48]  de nosotros
[1:21:13.48]-[1:21:15.48]  y no se fiaban que decimos
[1:21:15.48]-[1:21:17.48]  si usted ha sido tan amable
[1:21:17.48]-[1:21:19.48]  es una gracia de verdad
[1:21:19.48]-[1:21:21.48]  ha sido super
[1:21:21.48]-[1:21:23.48]  ¿usted cómo se llama?
[1:21:27.48]-[1:21:29.48]  ¿está por Murcia?
[1:21:29.48]-[1:21:31.48]  ¿no?
[1:21:31.48]-[1:21:33.48]  ¿o sea que su familia?
[1:21:33.48]-[1:21:35.48]  hay un
[1:21:35.48]-[1:21:37.48]  aquí, pero no es el de Murcia
[1:21:37.48]-[1:21:39.48]  entonces
[1:21:39.48]-[1:21:43.48]  ¿y usted?
[1:21:45.48]-[1:21:47.48]  nunca he oído su nombre
[1:21:47.48]-[1:21:49.48]  no, es que no habrá
[1:21:49.48]-[1:21:51.48]  pero la llaman
[1:21:51.48]-[1:21:53.48]  me llaman
[1:21:53.48]-[1:21:55.48]  claro, ya me imagino
[1:21:55.48]-[1:21:57.48]  ayer también entrevistamos a un señor
[1:21:57.48]-[1:21:59.48]  que se llamaba
[1:21:59.48]-[1:22:01.48]  Escolástico
[1:22:01.48]-[1:22:03.48]  y tampoco lo habíamos oído nunca
[1:22:03.48]-[1:22:05.48]  Escolástico, yo sí no lo oí
[1:22:05.48]-[1:22:07.48]  ah sí, usted sí, por aquí en mi pueblo se oía eso
[1:22:07.48]-[1:22:09.48]  ahora no hay ninguno
[1:22:09.48]-[1:22:11.48]  pero yo creo que sí
[1:22:11.48]-[1:22:13.48]  cuando su juventud
[1:22:13.48]-[1:22:15.48]  no se oía nada
[1:22:15.48]-[1:22:17.48]  hay un pibirallero
[1:22:17.48]-[1:22:19.48]  pues no
[1:22:19.48]-[1:22:21.48]  ya menos
[1:22:21.48]-[1:22:23.48]  también
[1:22:23.48]-[1:22:25.48]  hay algunos
[1:22:25.48]-[1:22:27.48]  mi abuelo es panadero
[1:22:27.48]-[1:22:29.48]  o sea que alguien de su familia fue panadero
[1:22:29.48]-[1:22:31.48]  su madre era panadero
[1:22:31.48]-[1:22:33.48]  su madre era panadero
[1:22:33.48]-[1:22:35.48]  mi abuelo también era panadero
[1:22:35.48]-[1:22:37.48]  era molinero
[1:22:37.48]-[1:22:39.48]  fue molinero
[1:22:39.48]-[1:22:41.48]  por eso el pan
[1:22:41.48]-[1:22:43.48]  decían que se ha perdido
[1:22:43.48]-[1:22:45.48]  venía de los Vasco
[1:22:45.48]-[1:22:47.48]  ah sí
[1:22:47.48]-[1:22:49.48]  yo y eso
[1:22:49.48]-[1:22:51.48]  porque otro primo mío
[1:22:51.48]-[1:22:53.48]  también de un hijo de un primo hermano
[1:22:53.48]-[1:22:55.48]  el hijo dice
[1:22:55.48]-[1:22:57.48]  he oído
[1:22:57.48]-[1:22:59.48]  que estaba en la telefónica
[1:22:59.48]-[1:23:01.48]  dice que
[1:23:01.48]-[1:23:03.48]  el panadero viene de los Vasco
[1:23:03.48]-[1:23:05.48]  y yo no sé
[1:23:05.48]-[1:23:07.48]  que la había oído
[1:23:07.48]-[1:23:09.48]  yo creo que no
[1:23:09.48]-[1:23:11.48]  yo no lo sé
[1:23:11.48]-[1:23:13.48]  yo creo que no
[1:23:13.48]-[1:23:15.48]  bueno no sé, nos informaremos
[1:23:15.48]-[1:23:17.48]  no, yo creo que no
[1:23:17.48]-[1:23:19.48]  yo creo que el nombre Vasco
[1:23:19.48]-[1:23:21.48]  es un nombre
[1:23:21.48]-[1:23:23.48]  es un nombre
[1:23:23.48]-[1:23:25.48]  que dicen Vasco
[1:23:25.48]-[1:23:27.48]  y que son de África
[1:23:27.48]-[1:23:29.48]  en cambio Nerín
[1:23:29.48]-[1:23:31.48]  está claro de donde viene
[1:23:31.48]-[1:23:33.48]  que es de Navarra
[1:23:33.48]-[1:23:35.48]  Nerín es un topónimo Navarro
[1:23:35.48]-[1:23:37.48]  o sea que el C
[1:23:37.48]-[1:23:39.48]  tiene una mezcla de Vasco Navarro
[1:23:39.48]-[1:23:41.48]  muy remoto
[1:23:41.48]-[1:23:43.48]  muy remoto
[1:23:43.48]-[1:23:45.48]  bueno pues muchísimas gracias
[1:23:45.48]-[1:23:47.48]  espero que el protaje
[1:23:47.48]-[1:23:49.48]  no se les haya estropeado
[1:23:49.48]-[1:23:51.48]  por culpa nuestra
[1:23:51.48]-[1:23:53.48]  han sido muy amables
[1:23:53.48]-[1:24:03.48]  y además que nos han enseñado
