[0:00:00.00]-[0:00:01.00]  en el año.
[1:25:07.00]-[1:25:09.00]  los padres querían y luego
[1:25:09.00]-[1:25:11.00]  en las sequias, llevaban un poco los pies
[1:25:11.00]-[1:25:13.00]  que pasaban por todos los sitios
[1:25:13.00]-[1:25:15.00]  destapadas,
[1:25:15.00]-[1:25:17.00]  y se iban al colegio. Pero esto tenía que ser
[1:25:17.00]-[1:25:19.00]  los que les gustaba mucho, ¿eh?
[1:25:19.00]-[1:25:21.00]  Y aparte él si recogía alguna cosita
[1:25:21.00]-[1:25:23.00]  o algo se pagaba el día que podía
[1:25:23.00]-[1:25:25.00]  ir al repaso por lo que tenía
[1:25:25.00]-[1:25:27.00]  y este se iba como debía, que valía
[1:25:27.00]-[1:25:29.00]  y hacía ir todos los días.
[1:25:29.00]-[1:25:31.00]  Pero mira tú antes, pero había pocos
[1:25:31.00]-[1:25:33.00]  que iban, ¿eh? Porque no
[1:25:33.00]-[1:25:35.00]  les gustaba y como a casa
[1:25:35.00]-[1:25:37.00]  no decían nada, pero había
[1:25:37.00]-[1:25:39.00]  de gustarles mucho y entrar en lo...
[1:25:39.00]-[1:25:41.00]  No solo te diré que yo para mi hija
[1:25:41.00]-[1:25:43.00]  como solo tengo el graduado
[1:25:43.00]-[1:25:45.00]  escolar que lo voy a filmar, ¿viste?
[1:25:45.00]-[1:25:47.00]  Mi padre
[1:25:47.00]-[1:25:49.00]  le gustó siempre leer, pero no reviste
[1:25:49.00]-[1:25:51.00]  todos los libros buenos, incluso
[1:25:51.00]-[1:25:53.00]  que el de la iglesia
[1:25:53.00]-[1:25:55.00]  aunque le gustaba, era católico
[1:25:55.00]-[1:25:57.00]  pero no practicante. Pues la Biblia
[1:25:57.00]-[1:25:59.00]  de todos los libros, decía todo.
[1:25:59.00]-[1:26:01.00]  Cuando mi hija ya salió los 14 años
[1:26:01.00]-[1:26:03.00]  de aquí, fue el instituto, que antes
[1:26:03.00]-[1:26:05.00]  no era la ESO, aquí tortosa.
[1:26:05.00]-[1:26:07.00]  Y yo según qué cosas ya
[1:26:07.00]-[1:26:09.00]  me perdía y el repaso se lo hacía
[1:26:09.00]-[1:26:11.00]  mi padre, te digo porque una generación
[1:26:11.00]-[1:26:13.00]  antes que yo.
[1:26:13.00]-[1:26:15.00]  O sea que mira si ellos valían,
[1:26:15.00]-[1:26:17.00]  ¿eh? Hubieran valido, ¿eh?
[1:26:17.00]-[1:26:19.00]  Pero como luego de
[1:26:19.00]-[1:26:21.00]  que había visto estudiar lo que podía,
[1:26:21.00]-[1:26:23.00]  no paraban todo tipo de libros, ¿eh?
[1:26:23.00]-[1:26:25.00]  Todos instructivos, le gustó
[1:26:25.00]-[1:26:27.00]  siempre. Iba a la fábrica
[1:26:27.00]-[1:26:29.00]  cemento y de soltero nos decían
[1:26:29.00]-[1:26:31.00]  a nosotros de la calle donde vivía
[1:26:31.00]-[1:26:33.00]  sus padres, es
[1:26:33.00]-[1:26:35.00]  él, cuando no le mandan nada
[1:26:35.00]-[1:26:37.00]  si era en verano en su puesta,
[1:26:37.00]-[1:26:39.00]  su silla y los libros, y siempre
[1:26:39.00]-[1:26:41.00]  con el libro. Y ahora de mayor
[1:26:41.00]-[1:26:43.00]  iba a la plaza en diario,
[1:26:43.00]-[1:26:45.00]  y hacía de leer
[1:26:45.00]-[1:26:47.00]  y ¿sabes qué pasa? Que tú no leías
[1:26:47.00]-[1:26:49.00]  lo poco que sabes. De oído
[1:26:49.00]-[1:26:51.00]  a veces no captas bien
[1:26:51.00]-[1:26:53.00]  la letra o algo y pronuncias mal
[1:26:53.00]-[1:26:55.00]  la palabra. Como no lo lees,
[1:26:55.00]-[1:26:57.00]  todo enseña un poco, ¿no?
[1:26:57.00]-[1:26:59.00]  Si vas leyendo,
[1:26:59.00]-[1:27:01.00]  pues bueno, esto sí,
[1:27:01.00]-[1:27:03.00]  tantas cosas hay, pero...
[1:27:03.00]-[1:27:05.00]  Sí, sí, sí, esto si queréis ver
[1:27:05.00]-[1:27:07.00]  lo de juegos.
[1:27:09.00]-[1:27:11.00]  Ya se levanta.
[1:27:11.00]-[1:27:13.00]  Veis que me se quita.
[1:27:15.00]-[1:27:17.00]  ¿Qué tenéis que marchar para también comer?
[1:27:17.00]-[1:27:19.00]  ¿Fuera o por aquí?
[1:27:19.00]-[1:27:21.00]  No tenemos plan fijo.
[1:27:21.00]-[1:27:23.00]  Nos acoplamos a lo que ustedes vayan a hacer.
[1:27:23.00]-[1:27:25.00]  No, no, ahora a ver si me sale.
[1:27:25.00]-[1:27:27.00]  Enseñaros lo que queráis y...
[1:27:27.00]-[1:27:29.00]  ¿Tienes internet aquí en casa?
[1:27:29.00]-[1:27:31.00]  ¿Qué?
[1:27:31.00]-[1:27:33.00]  Porque no me movería.
[1:27:33.00]-[1:27:35.00]  Porque entre fotos y de todo,
[1:27:35.00]-[1:27:37.00]  no haría ni comida, ni haría nada.
[1:27:37.00]-[1:27:39.00]  Me dejó un...
[1:27:39.00]-[1:27:41.00]  de esto como si de un...
[1:27:41.00]-[1:27:43.00]  un televisor y de esto como si de un...
[1:27:43.00]-[1:27:45.00]  Un ordenador.
[1:27:45.00]-[1:27:47.00]  Un ordenador, pero de aquellos
[1:27:47.00]-[1:27:49.00]  de antes lentos y...
[1:27:49.00]-[1:27:51.00]  Sí, pero nada más, no, no, no.
[1:27:51.00]-[1:27:53.00]  ¿El fotógrafo a la cuanta iba al puerto?
[1:27:53.00]-[1:27:55.00]  Bueno, primero
[1:27:55.00]-[1:27:57.00]  no venía nadie y luego
[1:27:57.00]-[1:27:59.00]  se hizo el padre fotógrafo
[1:27:59.00]-[1:28:01.00]  de un... yo nací el 45,
[1:28:01.00]-[1:28:03.00]  el de... del que llevamos todos juntos,
[1:28:03.00]-[1:28:05.00]  el hijo del 44.
[1:28:05.00]-[1:28:07.00]  Bueno, de la edad de mi padre, porque su padre
[1:28:07.00]-[1:28:09.00]  era el fotógrafo, la mujer,
[1:28:09.00]-[1:28:11.00]  mi padre y mi madre
[1:28:11.00]-[1:28:13.00]  se casaron juntos, que eran amigos,
[1:28:13.00]-[1:28:15.00]  y fueron a Valencia, que era mucho y de viaje de novios
[1:28:15.00]-[1:28:19.00]  a un sitio de exploré.
[1:28:19.00]-[1:28:21.00]  ¿Qué se ve?
[1:28:21.00]-[1:28:23.00]  ¿Cuándo se casaron ustedes?
[1:28:23.00]-[1:28:25.00]  El 68.
[1:28:25.00]-[1:28:27.00]  Mi hija es del 70.
[1:28:27.00]-[1:28:29.00]  Su hija también, ¿eh?
[1:28:29.00]-[1:28:31.00]  ¡Oye!
[1:28:31.00]-[1:28:33.00]  ¿Más? ¿Cinco de portejar?
[1:28:33.00]-[1:28:35.00]  Cinco, sí.
[1:28:35.00]-[1:28:37.00]  Una vida. Ahora hace 48 años,
[1:28:37.00]-[1:28:39.00]  en septiembre del 23, y ha hecho 48
[1:28:39.00]-[1:28:41.00]  años que somos casados.
[1:28:41.00]-[1:28:43.00]  Y por seis más.
[1:28:43.00]-[1:28:45.00]  Pero antes no se estaba juntos,
[1:28:45.00]-[1:28:47.00]  como ahora.
[1:28:47.00]-[1:28:49.00]  Todo tabú, todo tabú. Hasta no podías ni hablar,
[1:28:49.00]-[1:28:51.00]  delante de los mayores.
[1:29:01.00]-[1:29:03.00]  Y después, o la vida que...
[1:29:03.00]-[1:29:05.00]  Esto de cosas,
[1:29:05.00]-[1:29:07.00]  ve que después o la vida que volvés.
[1:29:07.00]-[1:29:09.00]  Porque es lo de cosas ahí,
[1:29:09.00]-[1:29:13.00]  de cosas ahí, más antiguas.
[1:29:13.00]-[1:29:15.00]  No importa, ya hace la voz,
[1:29:15.00]-[1:29:17.00]  para que se pueda escuchar,
[1:29:17.00]-[1:29:19.00]  para que se pueda...
[1:29:19.00]-[1:29:21.00]  La voz, solo la voz.
[1:29:21.00]-[1:29:23.00]  Es para poder que se escuche bien la grabación.
[1:29:23.00]-[1:29:25.00]  Sí, no me daba cuenta.
[1:29:25.00]-[1:29:27.00]  Pues, de luego la voz la subimos.
[1:29:27.00]-[1:29:29.00]  Para decir eso.
[1:29:29.00]-[1:29:31.00]  Nosotros mejor.
[1:29:31.00]-[1:29:33.00]  ¿O que se vea mejor a vosotros?
[1:29:33.00]-[1:29:35.00]  Las mujeres...
[1:29:35.00]-[1:29:37.00]  Si lo ve, tú también sabrás más cosas
[1:29:37.00]-[1:29:39.00]  de estas.
[1:29:39.00]-[1:29:41.00]  Las máquinas de coser antes,
[1:29:41.00]-[1:29:43.00]  esta es la que tengo antigua de mi madre, la Singel.
[1:29:43.00]-[1:29:45.00]  Cuando daban saltos los niños, ves la tablita aquí.
[1:29:45.00]-[1:29:49.00]  Los del colegio, los pupitres.
[1:29:49.00]-[1:29:51.00]  Que te ha salido al principio,
[1:29:51.00]-[1:29:53.00]  el colegio me parece.
[1:29:53.00]-[1:29:55.00]  Y aquí en lo de chico,
[1:29:55.00]-[1:29:57.00]  estas son las planchas que planchábamos,
[1:29:57.00]-[1:29:59.00]  al fuego de la tigre.
[1:29:59.00]-[1:30:01.00]  Salía el fuego y calentaba.
[1:30:01.00]-[1:30:03.00]  Y las brasas, se calentaban a la brasa.
[1:30:03.00]-[1:30:05.00]  Luego, lo limpiabas un poco en la ceniza.
[1:30:05.00]-[1:30:07.00]  Y luego a planchar,
[1:30:07.00]-[1:30:09.00]  y ojo que no te quedara todo amarillo,
[1:30:09.00]-[1:30:11.00]  los cuellos y estos eran cosas plantas.
[1:30:11.00]-[1:30:13.00]  Patas y así de barbelos,
[1:30:13.00]-[1:30:15.00]  los pupitres y el colegio de antes.
[1:30:15.00]-[1:30:17.00]  Esto era el de par por los nuestros.
[1:30:17.00]-[1:30:19.00]  La tabla esta,
[1:30:19.00]-[1:30:21.00]  es la que se ponía allá y si alguien no quería,
[1:30:21.00]-[1:30:23.00]  aquí con un barreño.
[1:30:23.00]-[1:30:25.00]  Pero esta es la que íbamos a la barra.
[1:30:25.00]-[1:30:27.00]  Y la que jugaban a las casas.
[1:30:27.00]-[1:30:29.00]  Salía mucho servicio.
[1:30:29.00]-[1:30:31.00]  Era cuando empezó
[1:30:31.00]-[1:30:35.00]  la lotería de Navidad.
[1:30:35.00]-[1:30:37.00]  Joaquín Prats y Laura Valenzuela.
[1:30:37.00]-[1:30:39.00]  ¿Ves cómo lava?
[1:30:39.00]-[1:30:41.00]  Y aquí es como eran las cocinas.
[1:30:41.00]-[1:30:43.00]  Rubio, lo que teníamos de escritura nosotros.
[1:30:43.00]-[1:30:45.00]  El cántaro normal de antes de beber en las casas.
[1:30:45.00]-[1:30:47.00]  Aquí jugando los gríos con el balón,
[1:30:47.00]-[1:30:49.00]  los arradios.
[1:30:49.00]-[1:30:51.00]  A un antecedente.
[1:30:51.00]-[1:30:53.00]  Y aquí,
[1:30:53.00]-[1:30:55.00]  aquí,
[1:30:55.00]-[1:30:57.00]  aquí,
[1:30:57.00]-[1:30:59.00]  aquí,
[1:30:59.00]-[1:31:01.00]  aquí,
[1:31:01.00]-[1:31:03.00]  aquí,
[1:31:03.00]-[1:31:05.00]  aquí, aquí, aquí, aquí, aquí.
[1:31:05.00]-[1:31:07.00]  Esto era lo que teníamos.
[1:31:07.00]-[1:31:09.00]  Pero muy pagada caía los chiclets y esta maquinilla.
[1:31:09.00]-[1:31:11.00]  Aquí cuando pasaba por los pueblos,
[1:31:11.00]-[1:31:13.00]  el que afilaba los cuchillos.
[1:31:13.00]-[1:31:15.00]  ¿Ves los burritos?
[1:31:15.00]-[1:31:17.00]  Como pasaban la bolsa.
[1:31:17.00]-[1:31:19.00]  Esto es para encender
[1:31:19.00]-[1:31:21.00]  cada una de unas bolsas.
[1:31:21.00]-[1:31:23.00]  Supongo...
[1:31:23.00]-[1:31:25.00]  aquí los...
[1:31:25.00]-[1:31:27.00]  ¿Cómo se llaman?
[1:31:27.00]-[1:31:29.00]  Lo del patacón, si decíamos.
[1:31:29.00]-[1:31:31.00]  O sea, hacían ellos...
[1:31:31.00]-[1:31:33.00]  Con las cartas viejas, las doblábamos,
[1:31:33.00]-[1:31:35.00]  hacíamos un cartoncito así,
[1:31:35.00]-[1:31:37.00]  con dos caras y luego pues jugábamos.
[1:31:37.00]-[1:31:39.00]  O sea, así nosotros hacíamos.
[1:31:39.00]-[1:31:41.00]  Casi todo.
[1:31:41.00]-[1:31:43.00]  O del fotógrafo
[1:31:43.00]-[1:31:45.00]  modelo de antes.
[1:31:45.00]-[1:31:47.00]  Picábamos para sacar.
[1:31:47.00]-[1:31:49.00]  Que se ponían dentro cada vez que lo veís en el bus.
[1:31:49.00]-[1:31:51.00]  Se ponían en la alfela.
[1:31:51.00]-[1:31:53.00]  Esto era el primero que
[1:31:53.00]-[1:31:55.00]  en las neveras ya, que hacían dulces
[1:31:55.00]-[1:31:57.00]  y lo ponían, si querían, aquello
[1:31:57.00]-[1:31:59.00]  como un helado, quiero decir.
[1:31:59.00]-[1:32:01.00]  Y la correa de sacos,
[1:32:01.00]-[1:32:03.00]  aquello, las celtas de antes.
[1:32:03.00]-[1:32:05.00]  Esto en las fiestas viejas.
[1:32:05.00]-[1:32:07.00]  Cuando ya hubo cariscos,
[1:32:07.00]-[1:32:09.00]  pero de...
[1:32:09.00]-[1:32:11.00]  Más adelante...
[1:32:11.00]-[1:32:13.00]  Cuando se batía para hacer el pan,
[1:32:13.00]-[1:32:15.00]  se pasaba la tabla, porque se había ya cogido
[1:32:15.00]-[1:32:17.00]  el trigo, luego lo poníamos
[1:32:17.00]-[1:32:19.00]  a la era y luego pasaban
[1:32:19.00]-[1:32:21.00]  los animales con un rubo
[1:32:21.00]-[1:32:23.00]  y machacaban.
[1:32:23.00]-[1:32:25.00]  Y luego se batía, que decían,
[1:32:25.00]-[1:32:27.00]  y antes no iba al horno.
[1:32:27.00]-[1:32:29.00]  Tela marinera,
[1:32:29.00]-[1:32:31.00]  cuando empezaron los primeros
[1:32:31.00]-[1:32:33.00]  para ir con cosas al ves.
[1:32:33.00]-[1:32:35.00]  Esto cuando jugábamos los hombres
[1:32:35.00]-[1:32:37.00]  se ponía un chico en la pared.
[1:32:37.00]-[1:32:39.00]  Así de pie.
[1:32:39.00]-[1:32:41.00]  Y luego los otros
[1:32:41.00]-[1:32:43.00]  y uno así me parece.
[1:32:43.00]-[1:32:45.00]  Churro, media manga,
[1:32:45.00]-[1:32:47.00]  mangotero.
[1:32:47.00]-[1:32:49.00]  Y el que estaba debajo tenía
[1:32:49.00]-[1:32:51.00]  que adivinar donde...
[1:32:51.00]-[1:32:53.00]  Si uno no adivinaba...
[1:32:53.00]-[1:32:55.00]  Se ponían dos o tres apoyados
[1:32:55.00]-[1:32:57.00]  al que estaba en la pared.
[1:32:57.00]-[1:32:59.00]  Y los venían corriendo los chicos
[1:32:59.00]-[1:33:01.00]  y iban dando saltos y como más adelante
[1:33:01.00]-[1:33:03.00]  podían ponerse mejor.
[1:33:03.00]-[1:33:05.00]  Y hasta que no temblaban
[1:33:05.00]-[1:33:07.00]  como los castillos.
[1:33:07.00]-[1:33:09.00]  Los de abajo, como más iban y si no
[1:33:09.00]-[1:33:11.00]  que el perdía, tenía que pagar
[1:33:11.00]-[1:33:13.00]  y vendimos.
[1:33:13.00]-[1:33:15.00]  Y cosas así.
[1:33:15.00]-[1:33:17.00]  Si jugábamos nosotros con muñecas
[1:33:17.00]-[1:33:19.00]  nos las hacíamos de trapo,
[1:33:19.00]-[1:33:21.00]  de trocitos que hacíamos
[1:33:21.00]-[1:33:23.00]  de lo que ellos hacíamos.
[1:33:23.00]-[1:33:25.00]  Que ahora se compran con los trozos
[1:33:25.00]-[1:33:27.00]  cocidos.
[1:33:27.00]-[1:33:29.00]  Antes lo hacíamos pedazos.
[1:33:29.00]-[1:33:31.00]  Hemos puesto un pedazo.
[1:33:31.00]-[1:33:33.00]  Pues ahora son los que
[1:33:33.00]-[1:33:35.00]  comprais.
[1:33:35.00]-[1:33:37.00]  Ahora todo agujereado.
[1:33:37.00]-[1:33:39.00]  Que bien estaríamos.
[1:33:39.00]-[1:33:41.00]  Siempre cosiendo.
[1:33:41.00]-[1:33:43.00]  Todo cambió.
[1:33:43.00]-[1:33:45.00]  Mira, un traje
[1:33:45.00]-[1:33:47.00]  de bellut que decíamos nosotros.
[1:33:47.00]-[1:33:49.00]  Era una tela de estas de pana.
[1:33:49.00]-[1:33:51.00]  Negro que se solía llevar los hombres.
[1:33:51.00]-[1:33:53.00]  Ya quedaban cuando lo llevaban
[1:33:53.00]-[1:33:55.00]  a diario, que lo habían llevado toda la vida
[1:33:55.00]-[1:33:57.00]  blancos.
[1:33:57.00]-[1:33:59.00]  Luego claro, cuando tenían que coserlo
[1:33:59.00]-[1:34:01.00]  el trozo de tela era negro
[1:34:01.00]-[1:34:03.00]  tal cual lo compraran
[1:34:03.00]-[1:34:05.00]  el traje que se hacía.
[1:34:05.00]-[1:34:07.00]  Y luego si que lo llevaban como ahora
[1:34:07.00]-[1:34:09.00]  un color.
[1:34:09.00]-[1:34:11.00]  Y no cabía más ya.
[1:34:11.00]-[1:34:13.00]  Y se aprovechaba porque estaba cortado ya.
[1:34:13.00]-[1:34:15.00]  Pero todo lleno.
[1:34:15.00]-[1:34:17.00]  Esto antes todo.
[1:34:17.00]-[1:34:19.00]  No había nada.
[1:34:19.00]-[1:34:21.00]  Ni se cobraba nada de pensión.
[1:34:21.00]-[1:34:23.00]  Los abuelitos
[1:34:23.00]-[1:34:25.00]  en la calle que nosotros hicimos
[1:34:25.00]-[1:34:27.00]  yendo para el río
[1:34:27.00]-[1:34:29.00]  lo que era aquello siempre
[1:34:29.00]-[1:34:31.00]  la calle que decíamos
[1:34:31.00]-[1:34:33.00]  íbamos al huerto nosotros
[1:34:33.00]-[1:34:35.00]  y veías a todos que no debían ser tan
[1:34:35.00]-[1:34:37.00]  abuelos, pero los veías abuelos.
[1:34:37.00]-[1:34:39.00]  Las moscas ayudando
[1:34:39.00]-[1:34:41.00]  en todos los sitios.
[1:34:41.00]-[1:34:43.00]  Claro, no se podía.
[1:34:43.00]-[1:34:45.00]  No ganaban.
[1:34:45.00]-[1:34:47.00]  Más a comer todos, pues allí era
[1:34:47.00]-[1:34:49.00]  que veías...
[1:34:49.00]-[1:34:51.00]  Allí tocaba el sol, allí se reseraban
[1:34:51.00]-[1:34:53.00]  y en vez que ahora nosotros
[1:34:53.00]-[1:34:55.00]  vamos al bar, ellos iban
[1:34:55.00]-[1:34:57.00]  allá a calentarse un poco
[1:34:57.00]-[1:34:59.00]  y hablar con
[1:34:59.00]-[1:35:01.00]  ellos, mira. Todo era muy
[1:35:01.00]-[1:35:03.00]  para los guerrajos.
[1:35:03.00]-[1:35:05.00]  Ya no, y años un poco para que acabara.
[1:35:05.00]-[1:35:07.00]  Pero muy cambiados.
[1:35:07.00]-[1:35:09.00]  Bueno, los padres vuestros aún no.
[1:35:09.00]-[1:35:11.00]  Pero nosotros
[1:35:11.00]-[1:35:13.00]  ya...
[1:35:13.00]-[1:35:15.00]  Y cosas así muchas,
[1:35:15.00]-[1:35:17.00]  pero claro, nos les sale todo.
[1:35:17.00]-[1:35:19.00]  Bueno,
[1:35:19.00]-[1:35:21.00]  ¿Algunas fotos o...?
[1:35:21.00]-[1:35:23.00]  ¿Queréis ver alguna foto de alguno?
[1:35:23.00]-[1:35:25.00]  ¿Vosotros?
[1:35:25.00]-[1:35:27.00]  ¿De qué más dicho?
[1:35:27.00]-[1:35:29.00]  ¿De qué tipo?
[1:35:29.00]-[1:35:31.00]  ¿De qué tema más o menos?
[1:35:31.00]-[1:35:33.00]  ¿De qué tema os dicho?
[1:35:33.00]-[1:35:35.00]  Un poco de todos, un poco de cada uno que veo.
[1:35:35.00]-[1:35:37.00]  Hay de iglesia,
[1:35:37.00]-[1:35:39.00]  hay de fútbol, hay de
[1:35:39.00]-[1:35:41.00]  toda clase de...
[1:35:41.00]-[1:35:43.00]  en deportes también, de...
[1:35:43.00]-[1:35:45.00]  corre a pie, corre con bicicleta,
[1:35:45.00]-[1:35:47.00]  bueno, de todo un poco.
[1:35:47.00]-[1:35:49.00]  Mejor post-training, el de jose.
[1:35:49.00]-[1:35:51.00]  Con los niños en la calle.
[1:35:51.00]-[1:35:53.00]  Corre de sacos también.
[1:35:53.00]-[1:35:55.00]  Ahora te miro a ver
[1:35:55.00]-[1:35:57.00]  aquí lo que tengo, ¿eh? De juegos y...
[1:35:57.00]-[1:35:59.00]  Yo creo que es más fácil que tengas y más a mano.
[1:35:59.00]-[1:36:01.00]  Bueno, los tengo aquí ahora.
[1:36:01.00]-[1:36:03.00]  O sea, sistema de... de juegos.
[1:36:03.00]-[1:36:05.00]  Juegos, a nuestra manera, para todo...
[1:36:05.00]-[1:36:07.00]  Y luego, como tenemos
[1:36:07.00]-[1:36:09.00]  tantas fotos y nosotros lo tenemos
[1:36:09.00]-[1:36:11.00]  a nuestra manera, si es de iglesia,
[1:36:11.00]-[1:36:13.00]  para terminar más fruto de mirar, le pongo iglesia,
[1:36:13.00]-[1:36:15.00]  fútbol, toro, lo que sea, como hay
[1:36:15.00]-[1:36:17.00]  tantas de cada tema,
[1:36:17.00]-[1:36:19.00]  pues ahora hacemos partes,
[1:36:19.00]-[1:36:21.00]  ¿sabes? Separando.
[1:36:21.00]-[1:36:23.00]  Y pues en la misma, lo primero, iglesia,
[1:36:23.00]-[1:36:25.00]  pero luego tal procesión, tal otra,
[1:36:25.00]-[1:36:27.00]  comunión, casamientos, bodas, bautizas...
[1:36:27.00]-[1:36:29.00]  Y así, pues claro, con los...
[1:36:29.00]-[1:36:31.00]  las partes separadas...
[1:36:31.00]-[1:36:33.00]  Así lo encuentro más rápido que todo.
[1:36:33.00]-[1:36:35.00]  Claro, así es más fácil.
[1:36:35.00]-[1:36:37.00]  Bueno, miro juegos y está.
[1:36:37.00]-[1:36:39.00]  ¿O quieres que mire más?
[1:36:39.00]-[1:36:41.00]  No, no puedo sin mirar.
[1:36:41.00]-[1:36:43.00]  ¿Eh?
[1:36:43.00]-[1:36:45.00]  ¿Tienes que mirar más?
[1:36:45.00]-[1:36:47.00]  No, ya se lo tria y...
[1:36:47.00]-[1:36:49.00]  Te vamos a la comida y ya está.
[1:36:49.00]-[1:36:51.00]  Vale.
[1:36:51.00]-[1:36:53.00]  Mientras vamos con...
[1:36:55.00]-[1:36:57.00]  No, esto hay muchas, claro.
[1:36:57.00]-[1:36:59.00]  Estaría estos días
[1:36:59.00]-[1:37:01.00]  mirando...
[1:37:01.00]-[1:37:03.00]  ¿Te podría decir que los jóvenes de antes
[1:37:03.00]-[1:37:05.00]  eran más pillos que los de hoy en día?
[1:37:05.00]-[1:37:07.00]  Hombre, también teníamos algo de pillos.
[1:37:07.00]-[1:37:09.00]  Sí, sí.
[1:37:09.00]-[1:37:11.00]  Se llama tícaros.
[1:37:11.00]-[1:37:13.00]  ¿Recuerda
[1:37:13.00]-[1:37:15.00]  la mayor bronca
[1:37:15.00]-[1:37:17.00]  que hayas recibido por parte de sus padres?
[1:37:17.00]-[1:37:19.00]  No sé, pero alguna sí que recibí
[1:37:19.00]-[1:37:21.00]  por no ir al cole,
[1:37:21.00]-[1:37:23.00]  por que a veces de ir al cole me iba a jugar
[1:37:23.00]-[1:37:25.00]  al río.
[1:37:25.00]-[1:37:27.00]  Al río sí que les había mal que fuera porque...
[1:37:27.00]-[1:37:29.00]  No porque fuera al río, porque
[1:37:29.00]-[1:37:31.00]  era peligroso.
[1:37:31.00]-[1:37:33.00]  Aquí se ahobaron algunos chicos, eh.
[1:37:33.00]-[1:37:35.00]  A lo mejor se tiraban
[1:37:35.00]-[1:37:37.00]  a nadar o no sabían mucho
[1:37:37.00]-[1:37:39.00]  o algún remolino de que pas que hay.
[1:37:39.00]-[1:37:41.00]  En fin, se da...
[1:37:41.00]-[1:37:43.00]  alguno ha perdido la vida.
[1:37:45.00]-[1:37:47.00]  Si no, decía por ejemplo los vecinos
[1:37:47.00]-[1:37:49.00]  también.
[1:37:49.00]-[1:37:51.00]  Que no sé, el cerco, no sé describirlo.
[1:37:51.00]-[1:37:53.00]  No sé lo que hay en los rumiros,
[1:37:53.00]-[1:37:55.00]  porque ellos no están ahora.
[1:37:55.00]-[1:37:57.00]  ¿Estáis igual? No, no, poneros vosotros.
[1:37:57.00]-[1:37:59.00]  ¿No pasáis vosotros? No, no, yo de sentada no.
[1:37:59.00]-[1:38:01.00]  Encontradéis primero de color.
[1:38:01.00]-[1:38:03.00]  Si no las queréis, os pasáis más papilas.
[1:38:03.00]-[1:38:05.00]  Séntate y vas poniéndolas así
[1:38:05.00]-[1:38:07.00]  y te las vas mirando todas.
[1:38:07.00]-[1:38:09.00]  Vale, pero...
[1:38:09.00]-[1:38:11.00]  Por que vosotras si se escribís luego, eh.
[1:38:11.00]-[1:38:13.00]  Luego ya, si alguna queréis...
[1:38:15.00]-[1:38:17.00]  Si queréis ir dejándolas aquí,
[1:38:17.00]-[1:38:19.00]  eh. Vale.
[1:38:19.00]-[1:38:21.00]  Si alguna os interesa saber lo que es
[1:38:21.00]-[1:38:23.00]  la patas en la roja, no, eh.
[1:38:23.00]-[1:38:25.00]  Estos eran cochecitos
[1:38:25.00]-[1:38:27.00]  que se hacían. Este chico sabía
[1:38:27.00]-[1:38:29.00]  esto de... Estos son recientes, no.
[1:38:29.00]-[1:38:31.00]  Esta color al menos, no. Sí, pero esto se lo
[1:38:31.00]-[1:38:33.00]  hacía él también, eh, para ir a los juegos.
[1:38:33.00]-[1:38:35.00]  Los andrónimos,
[1:38:35.00]-[1:38:37.00]  bueno, los recientes sí, pero ya...
[1:38:37.00]-[1:38:39.00]  No, pero esos de...
[1:38:39.00]-[1:38:41.00]  Sí, hay todas las de color
[1:38:41.00]-[1:38:43.00]  normalmente más, sí.
[1:38:43.00]-[1:38:45.00]  Sí, también los 80,
[1:38:45.00]-[1:38:47.00]  o así. Este es,
[1:38:47.00]-[1:38:49.00]  también es un mismo, con esta mochito
[1:38:49.00]-[1:38:51.00]  va por toro, por los toros
[1:38:51.00]-[1:38:53.00]  haciendo de bromas, se hicieron.
[1:38:53.00]-[1:38:55.00]  Este también, pero este
[1:38:55.00]-[1:38:57.00]  tiene más años. Eso también se lo hacía en ellos.
[1:38:57.00]-[1:38:59.00]  Hay muchos aquí,
[1:38:59.00]-[1:39:01.00]  no sé si... Hay una tradición de como
[1:39:01.00]-[1:39:03.00]  de hacer autos locos. Sí, sí, sí,
[1:39:03.00]-[1:39:05.00]  sí. Como... Andrónimos aquí.
[1:39:05.00]-[1:39:07.00]  Sí, esto de andrónimos se hicieron así,
[1:39:07.00]-[1:39:09.00]  se lo hacía en ellos. Esta es la gente que iba
[1:39:09.00]-[1:39:11.00]  a verlo, a la calle,
[1:39:11.00]-[1:39:13.00]  que bajaban. Bueno, esto ya es todo más de...
[1:39:13.00]-[1:39:15.00]  Vale, este. Esto ya lo...
[1:39:15.00]-[1:39:17.00]  Muy... Ah, si nos ha pasado un poquito
[1:39:17.00]-[1:39:19.00]  por la gente. Sí, sí, eso es...
[1:39:19.00]-[1:39:21.00]  Bueno, estos son de antes, ya es de...
[1:39:21.00]-[1:39:23.00]  Casi mi edad, eh.
[1:39:23.00]-[1:39:25.00]  Sí, sí. Los que venían antes,
[1:39:25.00]-[1:39:27.00]  ya se ve más o menos, eh.
[1:39:27.00]-[1:39:29.00]  Estos ya es...
[1:39:29.00]-[1:39:31.00]  Los altos de choque. De los años 60 este,
[1:39:31.00]-[1:39:33.00]  eh. Estos ya son de
[1:39:33.00]-[1:39:35.00]  sobre 55, 60 estos.
[1:39:35.00]-[1:39:37.00]  Este más
[1:39:37.00]-[1:39:39.00]  atrás, del 50
