[0:00:00.00]-[0:00:02.00]  Hola, buenas tardes.
[1:02:23.00]-[1:02:24.00]  No, no.
[1:02:24.00]-[1:02:35.00]  Como era hijo, se quedó siempre al lado de la madre, porque mi abuelo, el padre de
[1:02:35.00]-[1:02:38.00]  mi padre estuvo 30 años en Cuba.
[1:02:38.00]-[1:02:44.00]  Ya cuando vino, ya estaba mi padre casado y mi hermana la más vieja.
[1:02:44.00]-[1:02:47.00]  Y mi su hermana la más vieja.
[1:02:47.00]-[1:02:49.00]  Sí, ya estaba...
[1:02:49.00]-[1:02:52.00]  Y él se quedó siempre al lado de la...
[1:02:52.00]-[1:02:59.00]  Cuando vino, fuimos hasta allá arriba a encontrarlos, que vinieron por Agullo y bajaron por allá
[1:02:59.00]-[1:03:04.00]  arriba y fuimos a encontrarlos, que nos dijeron que venían ya de allá.
[1:03:04.00]-[1:03:06.00]  Después de 30 años.
[1:03:06.00]-[1:03:09.00]  Que no habían venido, no habían venido a visitar.
[1:03:09.00]-[1:03:10.00]  No había venido, no.
[1:03:10.00]-[1:03:13.00]  Y ese encuentro, ¿cómo fue?
[1:03:13.00]-[1:03:15.00]  Sí, fuimos a encontrarlos.
[1:03:15.00]-[1:03:16.00]  Más contentos.
[1:03:16.00]-[1:03:18.00]  Todos muy contentos, ¿no?
[1:03:18.00]-[1:03:21.00]  Y ellos luego se adaptaron aquí.
[1:03:21.00]-[1:03:23.00]  Ya después se quedó aquí.
[1:03:23.00]-[1:03:24.00]  Se quedó aquí.
[1:03:24.00]-[1:03:28.00]  Sí, ya se quedó con nosotros y ya de aquí.
[1:03:28.00]-[1:03:29.00]  Ya no se movió de aquí.
[1:03:29.00]-[1:03:30.00]  Y mi padre no.
[1:03:30.00]-[1:03:33.00]  Mi padre fue a La Palma, pero...
[1:03:33.00]-[1:03:34.00]  No estuvo...
[1:03:34.00]-[1:03:36.00]  Dos días o tres duró.
[1:03:36.00]-[1:03:38.00]  No estuvo, no se estuvo una semana.
[1:03:38.00]-[1:03:40.00]  Él estaba muy...
[1:03:40.00]-[1:03:41.00]  Porque lo muyaron los amigos.
[1:03:41.00]-[1:03:42.00]  A su familia.
[1:03:42.00]-[1:03:46.00]  Y se fue, pero él no se estuvo allá.
[1:03:46.00]-[1:03:49.00]  Pues el trabajo que tenía era el campo.
[1:03:49.00]-[1:03:53.00]  Entonces teníamos las vacas y eso.
[1:03:53.00]-[1:03:57.00]  Y se vivía de lo que daba el campo.
[1:03:57.00]-[1:04:04.00]  Y decían que aquí antes había más agua que ahora.
[1:04:04.00]-[1:04:06.00]  Sí, porque llovía mucho.
[1:04:06.00]-[1:04:09.00]  Antes sí, antes llovía invierno.
[1:04:09.00]-[1:04:13.00]  Teníamos de todas verduras.
[1:04:13.00]-[1:04:17.00]  Teníamos papa, cebolla, ajo.
[1:04:17.00]-[1:04:18.00]  De todo lo que daba el campo.
[1:04:18.00]-[1:04:21.00]  De todo lo que había del campo teníamos.
[1:04:21.00]-[1:04:25.00]  ¿Y hay cosas que hoy ya no se pueden cultivar porque no hay agua?
[1:04:25.00]-[1:04:27.00]  No, aquí no, aquí ya no.
[1:04:27.00]-[1:04:30.00]  La cremada mismo, el trigo, la corabanzo.
[1:04:30.00]-[1:04:32.00]  Eso ya no se puede cultivar.
[1:04:32.00]-[1:04:33.00]  La lanteja, todo eso.
[1:04:33.00]-[1:04:34.00]  Todo.
[1:04:34.00]-[1:04:37.00]  Esas costas estaban todas plantadas antes.
[1:04:37.00]-[1:04:40.00]  Todo eso lo tenía mi papá de medias para abajo.
[1:04:40.00]-[1:04:45.00]  Y le tocaba una hermana mía todos esos terrenos y los vendió.
[1:04:45.00]-[1:04:48.00]  Pero allí abajo sí había de todo.
[1:04:48.00]-[1:04:50.00]  Antes se vivía de medias.
[1:04:50.00]-[1:04:56.00]  La gente por ejemplo de sobreagulos, las rosas, y esos venían a sembrar aquí las vegas.
[1:04:56.00]-[1:05:02.00]  Esos venían de allá, traían sus reces, sus reces vacuna, los ponían en las vegas.
[1:05:02.00]-[1:05:05.00]  Ya empezaban a largar las vacas, todos esos campos.
[1:05:05.00]-[1:05:06.00]  Y entonces...
[1:05:06.00]-[1:05:07.00]  ¿Y sembraban de medias?
[1:05:07.00]-[1:05:09.00]  De lo que daba el campo.
[1:05:09.00]-[1:05:14.00]  Y sus animales, sus gallinas, lo que ellos tenían, lo que daba el campo.
[1:05:14.00]-[1:05:19.00]  Hasta que ya después la gente empezó a...
[1:05:19.00]-[1:05:23.00]  Ya empezaron los tomates en el sur y ya empezamos a irnos.
[1:05:23.00]-[1:05:25.00]  ¿En el sur de La Gomera?
[1:05:25.00]-[1:05:28.00]  En el sur de Tenerife.
[1:05:28.00]-[1:05:32.00]  La gente, pues, donde más se ha ido ha sido para el sur.
[1:05:32.00]-[1:05:37.00]  Y ya la gente, mucha gente se ha quedado allá, ha comprado allá.
[1:05:37.00]-[1:05:43.00]  Y así, porque aquí no tenemos nada.
[1:05:43.00]-[1:05:52.00]  ¿Y aquí no tienen presas, alguna presa para el agua, para conservar el agua, acumular el agua?
[1:05:52.00]-[1:05:57.00]  Aquí no nos han dado nada, llegaron a decir que no hay presa.
[1:05:57.00]-[1:06:00.00]  Hay una presa, pero aquí no han hecho nada.
[1:06:00.00]-[1:06:05.00]  Hay la de Chichelispe, la de Meriga.
[1:06:05.00]-[1:06:07.00]  Ahí no tenemos, no hacemos la vica.
[1:06:07.00]-[1:06:10.00]  La de La Rosa, la encantadora de Valle Hermoso, la de Cabecita.
[1:06:10.00]-[1:06:11.00]  O sea que hay muchas.
[1:06:11.00]-[1:06:12.00]  Sí, pero nosotros aquí...
[1:06:12.00]-[1:06:14.00]  Aquí no.
[1:06:14.00]-[1:06:17.00]  Aquí no tenemos sino la vica porque no...
[1:06:17.00]-[1:06:19.00]  Para trabajar el campo no.
[1:06:19.00]-[1:06:22.00]  Tenemos el agua del pozo de aquí, pero...
[1:06:22.00]-[1:06:26.00]  Está aquí la vica para tomar en casa.
[1:06:26.00]-[1:06:28.00]  Es donde antes iba la gente a coger el agua.
[1:06:28.00]-[1:06:31.00]  ¿Tienen pozos? ¿Aquí tienen pozos?
[1:06:31.00]-[1:06:32.00]  Sí.
[1:06:32.00]-[1:06:33.00]  Ahora sí.
[1:06:33.00]-[1:06:34.00]  ¿Y antiguamente no?
[1:06:34.00]-[1:06:35.00]  No, ahora sí tenemos.
[1:06:35.00]-[1:06:39.00]  ¿Y antes cómo hacían para tener agua?
[1:06:39.00]-[1:06:43.00]  Pues no te digo que nos íbamos para arriba para la vica a cogerla.
[1:06:43.00]-[1:06:46.00]  Nos poníamos en fila a ver cuándo nos tocaba.
[1:06:46.00]-[1:06:49.00]  La vica que es esa es una...
[1:06:49.00]-[1:06:50.00]  La vica es esa.
[1:06:50.00]-[1:06:51.00]  Una fuente.
[1:06:51.00]-[1:06:52.00]  La vica es aquí arriba.
[1:06:52.00]-[1:06:54.00]  ¿Dónde la lava?
[1:06:54.00]-[1:07:03.00]  Y una charca para lavar con batideros.
[1:07:03.00]-[1:07:05.00]  ¿Antes se iba a lavar todo el mundo?
[1:07:05.00]-[1:07:07.00]  Para lavar.
[1:07:07.00]-[1:07:11.00]  ¿Y en los barrancos cuando corría que pasaba el agua y estaban en esos barrancos siempre limpios?
[1:07:11.00]-[1:07:18.00]  Y cuando en los barrancos corría también iba uno, lavaba su ropa, la tendía en las paredes para ir limpia.
[1:07:18.00]-[1:07:23.00]  Y por la tarde iba uno a recogerla, a doblarla y recogerla y traerla para acá.
[1:07:23.00]-[1:07:26.00]  ¿Y cuando iba a lavar iba con amigas?
[1:07:26.00]-[1:07:30.00]  Sí, a veces sí, con amigas.
[1:07:30.00]-[1:07:36.00]  ¿Y cómo? ¿Y allí cantaban? ¿Se contaban cosas?
[1:07:36.00]-[1:07:41.00]  Uy, ahí se contaba todo. La que estaba soltera se contaba de su novio.
[1:07:41.00]-[1:07:47.00]  Y la que estaba casada de su marido y cómo la trataba, si la trataba bien o mal.
[1:07:47.00]-[1:07:49.00]  ¿Cantaban en el campo?
[1:07:49.00]-[1:07:51.00]  En el campo sí cantaban.
[1:07:51.00]-[1:07:54.00]  ¿Y qué canciones cantaban en el campo?
[1:07:54.00]-[1:07:56.00]  ¿Qué cantaban en el campo?
[1:07:56.00]-[1:07:59.00]  Cantarín, cantarín.
[1:07:59.00]-[1:08:00.00]  ¿Se sabe alguno?
[1:08:00.00]-[1:08:04.00]  ¿Usted se sabe algún cantar?
[1:08:04.00]-[1:08:08.00]  Yo se me hace mucho pero ya no me acuerdo de ellos.
[1:08:08.00]-[1:08:13.00]  Ellos antes se enamoraban cantando en el campo.
[1:08:13.00]-[1:08:18.00]  Amor mío, ¿dónde vas? Que no oyes mis reclamos.
[1:08:18.00]-[1:08:23.00]  Una y mil veces te llamo, ya no te llamo más.
[1:08:23.00]-[1:08:29.00]  Azúcar no me acuerdo.
[1:08:29.00]-[1:08:33.00]  Lo sabía muchos.
[1:08:39.00]-[1:08:43.00]  El santador, el santador.
[1:08:43.00]-[1:08:48.00]  A la virgen le cantaban...
[1:08:48.00]-[1:08:51.00]  Azúcar no me acuerdo, muchacha.
[1:08:51.00]-[1:08:54.00]  Cuando lo necesito me acuerdo y cuando no sí.
[1:08:54.00]-[1:08:56.00]  Sí, aquí cantaban...
[1:08:56.00]-[1:08:59.00]  ¿La virgen era la que más...
[1:08:59.00]-[1:09:01.00]  Antes, no.
[1:09:01.00]-[1:09:03.00]  ¿La que más cantaba?
[1:09:03.00]-[1:09:05.00]  La que cantaba más.
[1:09:05.00]-[1:09:07.00]  ¿La que cantaba más?
[1:09:07.00]-[1:09:09.00]  La que cantaba más.
[1:09:09.00]-[1:09:13.00]  ¿La virgen era la que más...
[1:09:13.00]-[1:09:20.00]  Antes en Nochebuena, el día de Año Nuevo, se cantaban los años nuevos.
[1:09:20.00]-[1:09:23.00]  Aquí con tambores, sí.
[1:09:23.00]-[1:09:27.00]  En algún tiempo, amor mío, eran mis deseos verte.
[1:09:27.00]-[1:09:31.00]  Y ahora se me da tanto ganarte como perderte.
[1:09:33.00]-[1:09:37.00]  Se cantaban también, le decían el día de Nochebuena,
[1:09:37.00]-[1:09:41.00]  estos versos a la virgen.
[1:09:41.00]-[1:09:43.00]  Sí, también.
[1:09:43.00]-[1:09:45.00]  Venían del cercano.
[1:09:45.00]-[1:09:47.00]  ¿Y a qué virgen le tenían devoción aquí?
[1:09:47.00]-[1:09:49.00]  Aquí la Candelaria.
[1:09:49.00]-[1:09:53.00]  Estando yo pastoreando, versos sí echaba también a la virgen.
[1:09:53.00]-[1:09:57.00]  Estando yo pastoreando en una montaña oscura,
[1:09:57.00]-[1:10:03.00]  en una montaña oscura, entre tantas espesuras,
[1:10:03.00]-[1:10:07.00]  una vereda encontré, con ella me encaminé,
[1:10:07.00]-[1:10:12.00]  que una estrella me guiaba, y siempre pude llegar a tu bendita morada.
[1:10:12.00]-[1:10:16.00]  Madre y Virgen Sagrada, honra y paz del mundo entero,
[1:10:16.00]-[1:10:21.00]  que distes a luz al mundo un infante puro y tierno,
[1:10:21.00]-[1:10:25.00]  para salvar al pecador de las penas del infierno.
[1:10:25.00]-[1:10:28.00]  Échame tu bendición que me voy a retirar,
[1:10:28.00]-[1:10:31.00]  porque la noche está oscura y me puedo caer.
[1:10:31.00]-[1:10:34.00]  ¿Su?
[1:10:34.00]-[1:10:39.00]  Antes, aquí había siempre fiesta.
[1:10:39.00]-[1:10:43.00]  Aquí, Semana Santa, era la gente caminando de Valladolid.
[1:10:43.00]-[1:10:47.00]  Andrés, de todos sitios, venían aquí de arriba.
[1:10:47.00]-[1:10:50.00]  Porque viene mi marido y me puede castigar.
[1:10:50.00]-[1:10:52.00]  Andrés, ¿qué le pasa?
[1:10:52.00]-[1:10:54.00]  ¿Qué le pasa?
[1:10:54.00]-[1:10:56.00]  ¿Qué le pasa?
[1:10:56.00]-[1:10:58.00]  ¿Qué le pasa?
[1:10:58.00]-[1:11:01.00]  Porque viene mi marido y me puede castigar.
[1:11:01.00]-[1:11:06.00]  Antes la gente de Valladolid, Andrés y de Aruri, venían a enterrar aquí de arriba.
[1:11:06.00]-[1:11:09.00]  Ya esto ha cambiado, pero antes era más...
[1:11:09.00]-[1:11:13.00]  toda esa zona, Herquito, Herque,
[1:11:13.00]-[1:11:15.00]  todo esto venía aquí de arriba.
[1:11:15.00]-[1:11:17.00]  La Dama...
[1:11:17.00]-[1:11:20.00]  Antes era todo mundo para que iba a llevar a la iglesia.
[1:11:20.00]-[1:11:23.00]  ¿Sí? ¿Y la gente era muy religiosa aquí?
[1:11:23.00]-[1:11:24.00]  Antes sí.
[1:11:24.00]-[1:11:26.00]  ¿Antes más que ahora?
[1:11:26.00]-[1:11:28.00]  Mucho más.
[1:11:28.00]-[1:11:30.00]  El cura que se murió aquí, don Omar,
[1:11:30.00]-[1:11:35.00]  ese vino a la Gomera y de la Gomera no volvió a salir.
[1:11:35.00]-[1:11:39.00]  Ahí está enterrado, en el cementerio aquí en Chipuzi.
[1:11:39.00]-[1:11:44.00]  ¿Y la gente iba a la misa todos los domingos, por ejemplo?
[1:11:44.00]-[1:11:46.00]  Sí, todos los domingos.
[1:11:46.00]-[1:11:48.00]  La Semana Santa era...
[1:11:48.00]-[1:11:52.00]  La Semana Santa, cumplían con la Semana Santa y...
[1:11:52.00]-[1:11:55.00]  ¿Y había iglesia? ¿Tenían iglesia en Chipuzi?
[1:11:55.00]-[1:11:57.00]  Sí, ahora sí, está la iglesia bonita.
[1:11:57.00]-[1:11:59.00]  Sí.
[1:11:59.00]-[1:12:04.00]  Entonces estaba más viejita la iglesia.
[1:12:04.00]-[1:12:10.00]  Estaba cura, la criada, la criada de Aruni.
[1:12:10.00]-[1:12:15.00]  Esta mujer era buena para hacer su comida y todo.
[1:12:15.00]-[1:12:18.00]  Y...
[1:12:18.00]-[1:12:21.00]  ¿Antes venía la gente?
[1:12:21.00]-[1:12:24.00]  Y tenía la casa parroquial, una casa buena.
[1:12:24.00]-[1:12:26.00]  Con su...
[1:12:26.00]-[1:12:28.00]  En los árboles que habían arriba,
[1:12:28.00]-[1:12:31.00]  a los alrededores tendían sus manteles.
[1:12:31.00]-[1:12:33.00]  Un montón de árboles bonitos.
[1:12:33.00]-[1:12:37.00]  Y la gente de Chipuzi, la gente que venía de otro sitio,
[1:12:37.00]-[1:12:39.00]  la gente que estaba aquí,
[1:12:39.00]-[1:12:44.00]  les dejaba su casa los días de fiesta para que ellos se quedaran aquí.
[1:12:44.00]-[1:12:47.00]  Ellos venían las víctimas de la fiesta y se quedaban todos...
[1:12:47.00]-[1:12:50.00]  Aunque fueran en el suelo, en cualquier parte...
[1:12:50.00]-[1:12:52.00]  Antes venían caminando.
[1:12:52.00]-[1:12:54.00]  Los que venían de la villa...
[1:12:54.00]-[1:12:57.00]  Los que tenían conocía, los de la villa que tenían conocía,
[1:12:57.00]-[1:12:59.00]  se quedaban las casas, las amigas.
[1:12:59.00]-[1:13:02.00]  Sí, vinían a la fiesta siempre para...
[1:13:02.00]-[1:13:04.00]  Las que vinían de la migua, también.
[1:13:04.00]-[1:13:05.00]  La de Candelaria.
[1:13:05.00]-[1:13:07.00]  ¿Es esa que tienen ahí?
[1:13:07.00]-[1:13:08.00]  Sí.
[1:13:08.00]-[1:13:11.00]  La de allá arriba, que tienen aquí, aquí, aquí, en la puerta.
[1:13:11.00]-[1:13:12.00]  No.
[1:13:12.00]-[1:13:13.00]  Entra...
[1:13:13.00]-[1:13:14.00]  Esta es la de Guadalupe.
[1:13:14.00]-[1:13:15.00]  Aquí es la entrada.
[1:13:15.00]-[1:13:17.00]  Enciende la luz.
[1:13:17.00]-[1:13:20.00]  No, no, esta es la de Santa Cruz, no la de aquí.
[1:13:20.00]-[1:13:22.00]  ¿Cómo está?
[1:13:22.00]-[1:13:24.00]  La de aquí es esta.
[1:13:24.00]-[1:13:26.00]  Esta es grande.
[1:13:26.00]-[1:13:28.00]  Es muy distinta.
[1:13:28.00]-[1:13:30.00]  Y ahí hay muchos fotos, pero...
[1:13:30.00]-[1:13:31.00]  Aquella.
[1:13:31.00]-[1:13:32.00]  La...
[1:13:32.00]-[1:13:33.00]  La Virgen...
[1:13:33.00]-[1:13:34.00]  La...
[1:13:34.00]-[1:13:35.00]  La Candelaria.
[1:13:35.00]-[1:13:37.00]  Esta es.
[1:13:37.00]-[1:13:38.00]  La que ellos tenían.
[1:13:38.00]-[1:13:40.00]  Ajá.
[1:13:40.00]-[1:13:43.00]  Y después están más eso.
[1:13:43.00]-[1:13:44.00]  ¿Y esta cuál es?
[1:13:44.00]-[1:13:46.00]  Esta es la de Guadalupe, la que está ahora.
[1:13:46.00]-[1:13:49.00]  Sí, que está paseando por Arura, que es la patrona de la Gomera.
[1:13:49.00]-[1:13:50.00]  Sí.
[1:13:50.00]-[1:13:51.00]  Pero aquí es la Virgen de Candelaria.
[1:13:51.00]-[1:13:52.00]  Sí.
[1:13:52.00]-[1:13:53.00]  Sí.
[1:13:53.00]-[1:13:57.00]  Y para Semana Santa también había...
[1:13:57.00]-[1:14:04.00]  Ellos cogían antes de Semana Santa, le cogían de comer a su ganado para que ya desde el
[1:14:04.00]-[1:14:06.00]  Jueves Santo ya no se hacía nada.
[1:14:06.00]-[1:14:08.00]  Ni queso, ni nada.
[1:14:08.00]-[1:14:10.00]  La leche la repartía.
[1:14:10.00]-[1:14:12.00]  Pero no...
[1:14:12.00]-[1:14:14.00]  Y esta es la casa de mi suegro.
[1:14:14.00]-[1:14:17.00]  El dote de mi suegra cuando se casó.
[1:14:17.00]-[1:14:21.00]  La Semana Losa y eso que tiene ahí dentro.
[1:14:21.00]-[1:14:23.00]  ¿Y aquí viven todo el año?
[1:14:23.00]-[1:14:24.00]  Losa...
[1:14:24.00]-[1:14:28.00]  No, la casa de mi madre es esta, pero nosotras estábamos más aquí en la de mi abuelo.
[1:14:28.00]-[1:14:31.00]  Aquí es donde parábamos por la cocina y todo.
[1:14:31.00]-[1:14:32.00]  Sí, mi hermano me quiere tener así.
[1:14:32.00]-[1:14:34.00]  ¿Y ustedes siguen haciendo queso?
[1:14:34.00]-[1:14:35.00]  ¿Eh?
[1:14:35.00]-[1:14:36.00]  Ya no.
[1:14:36.00]-[1:14:37.00]  ¿Ya no?
[1:14:37.00]-[1:14:38.00]  No.
[1:14:38.00]-[1:14:39.00]  Es que la hija de...
[1:14:39.00]-[1:14:40.00]  Nos ha dicho que ella compraba queso aquí.
[1:14:40.00]-[1:14:41.00]  En el invierno.
[1:14:41.00]-[1:14:42.00]  Sí, pero la casa...
[1:14:42.00]-[1:14:43.00]  Ah, en el invierno.
[1:14:43.00]-[1:14:45.00]  El queso lo hace acá en el cuarto que está allá.
[1:14:45.00]-[1:14:46.00]  Sí.
[1:14:46.00]-[1:14:47.00]  ¿Y quién hace el queso?
[1:14:47.00]-[1:14:48.00]  Losa.
[1:14:48.00]-[1:14:49.00]  Ella.
[1:14:49.00]-[1:14:50.00]  ¿Usted?
[1:14:50.00]-[1:14:51.00]  Sí, pero para casa, sí.
[1:14:51.00]-[1:14:52.00]  ¿Y ya no lo vende?
[1:14:52.00]-[1:14:53.00]  Dale un poquito.
[1:14:53.00]-[1:14:54.00]  No, no, no.
[1:14:54.00]-[1:14:55.00]  Ya no hay queso, ya no hay...
[1:14:55.00]-[1:14:57.00]  Dale un pedacito para que lo pruebe.
[1:14:57.00]-[1:14:59.00]  No, tranquila, si no es eso.
[1:14:59.00]-[1:15:00.00]  Que ya queso...
[1:15:00.00]-[1:15:01.00]  ¿Qué queso hace?
[1:15:01.00]-[1:15:02.00]  ¿Almohorote?
[1:15:02.00]-[1:15:07.00]  El almohorote tiene que ser el queso de un año para otro.
[1:15:07.00]-[1:15:11.00]  Para que te raye bien el queso y después hacer el almohorote.
[1:15:11.00]-[1:15:16.00]  Porque si vas a hacer con un queso tierno, un almohorote no te sirve.
[1:15:16.00]-[1:15:17.00]  Porque se te queda...
[1:15:17.00]-[1:15:21.00]  Eso, tiene que ser el queso de...
[1:15:21.00]-[1:15:23.00]  Que esté bien durito.
[1:15:23.00]-[1:15:24.00]  Sí.
[1:15:24.00]-[1:15:26.00]  Y tú coges el rallado y salga el queso como se quiere.
[1:15:26.00]-[1:15:28.00]  ¿Se quiere sentar usted aquí también?
[1:15:28.00]-[1:15:30.00]  No, tranquila, no.
[1:15:30.00]-[1:15:32.00]  Pero...
[1:15:32.00]-[1:15:34.00]  Que hoy no...
[1:15:34.00]-[1:15:36.00]  Ya no hacen tanto queso como antes.
[1:15:36.00]-[1:15:38.00]  Antes, sí, ya no hay aquí.
[1:15:38.00]-[1:15:44.00]  Y antes, nos han dicho que comían mucho menos carne que ahora.
[1:15:44.00]-[1:15:46.00]  Sí, es verdad que se comía menos.
[1:15:46.00]-[1:15:48.00]  Antes se comía menos carne.
[1:15:48.00]-[1:15:59.00]  Antes, uno tenía todos los años un cochino que matara para dar a los santos.
[1:15:59.00]-[1:16:04.00]  En el día San Juan, alguna cabrita.
[1:16:04.00]-[1:16:12.00]  Y después de vez en cuando, el que tenía sus carneros,
[1:16:12.00]-[1:16:17.00]  sus carneros mataban un carnero, una uveja, para hacer caldo.
[1:16:17.00]-[1:16:19.00]  Y eso es lo mejor que no de cabra.
[1:16:19.00]-[1:16:24.00]  Y otras veces de cabra, y la de cabra, pues se podía comer asada.
[1:16:24.00]-[1:16:31.00]  O cocinarle, hacerle una salsa en cruz.
[1:16:31.00]-[1:16:38.00]  Ponerle todo, los tiempos, y después dejarlo cocinar a su espacio, en cruz.
[1:16:38.00]-[1:16:42.00]  Y salía una carne que presta lo mejor.
[1:16:42.00]-[1:16:44.00]  ¿Cómo es en cruz?
[1:16:44.00]-[1:16:53.00]  En cruz, coger y ponerle el aceite, el vino,
[1:16:53.00]-[1:16:58.00]  y el tiempos y mazahua con ajo, perejil y esas cosas.
[1:16:58.00]-[1:17:09.00]  Después se hacía eso con vino y quedaba la carne bien preciosa, bien arreglada.
[1:17:09.00]-[1:17:13.00]  Porque así se aguizaba mucho mejor, se le ponía todo junto,
[1:17:13.00]-[1:17:19.00]  y después no había trastiendas de tener que coger ahora usted un puño y freírla,
[1:17:19.00]-[1:17:25.00]  y después otro, sino todo juntas en un caldero nuevo.
[1:17:25.00]-[1:17:32.00]  Sí, ¿y entonces comían carne una vez a la semana, una vez al mes?
[1:17:32.00]-[1:17:40.00]  No, según si, por ejemplo, si ahora tenemos un cabrito,
[1:17:40.00]-[1:17:49.00]  y nos comemos un cabrito, después nos comemos una de caldo,
[1:17:49.00]-[1:17:56.00]  de res de, sí, de corderos.
[1:17:56.00]-[1:17:58.00]  Entonces se hacía de caldo.
[1:17:58.00]-[1:18:04.00]  Pero la de cabra la ponía usted como compuesta,
[1:18:04.00]-[1:18:09.00]  porque le ponía todos los tiempos juntos, la cocinaba,
[1:18:09.00]-[1:18:19.00]  y cuando estuviera a visa eso se acababa, eso era.
[1:18:19.00]-[1:18:21.00]  ¿Y pescado también comían?
[1:18:21.00]-[1:18:24.00]  Pescado también.
[1:18:24.00]-[1:18:30.00]  De la rajita traían pescado, que yo no me gustaban las caballajías a última hora,
[1:18:30.00]-[1:18:34.00]  tenía allí una amiga, para que trajera caballajías a última hora, no.
[1:18:34.00]-[1:18:40.00]  Las hacían en area, las abrían y las hacían en area,
[1:18:40.00]-[1:18:45.00]  y después ya cuando estuvieran secas, con su aceite y eso,
[1:18:45.00]-[1:18:50.00]  las freía, unas las freía, otras las asaba, según me pareciera.
[1:18:50.00]-[1:18:53.00]  ¿Y qué es en area?
[1:18:53.00]-[1:18:57.00]  Decía que las caballajías las hacían en area.
[1:18:57.00]-[1:19:03.00]  En area abrían las todas.
[1:19:03.00]-[1:19:05.00]  ¿Sí? ¿Abierta en dos, no?
[1:19:05.00]-[1:19:13.00]  Y después las tendía al sol o dentro casa.
[1:19:13.00]-[1:19:17.00]  Ya abajo en la rajita las tendían en los callaos.
[1:19:17.00]-[1:19:20.00]  Las abrían y las tendían en los callaos,
[1:19:20.00]-[1:19:25.00]  y cuando estuvieran ya secas las sacaban a ellos,
[1:19:25.00]-[1:19:42.00]  y las vendían o las regalaban a los que tuvieran su amistad con ellos.
[1:19:42.00]-[1:19:48.00]  Y yo cuando mi papá tenía la tienda, acá ni se las hacía así.
[1:19:48.00]-[1:19:51.00]  Ponerle todo, todo, todo junto,
[1:19:51.00]-[1:19:55.00]  y después no tenía más que sacar y calentar y ponerle en los platos
[1:19:55.00]-[1:20:00.00]  a los hombres y a quienes llegaran a comer allí.
[1:20:00.00]-[1:20:06.00]  ¿Y en la tienda de su padre qué es lo que se vendía más?
[1:20:06.00]-[1:20:09.00]  No, en la casa, en la tienda de mi papá no tenía,
[1:20:09.00]-[1:20:13.00]  sino cosas vendibles.
[1:20:13.00]-[1:20:19.00]  Comía y bebía.
[1:20:19.00]-[1:20:23.00]  Pan, queso.
[1:20:23.00]-[1:20:25.00]  ¿El queso que ustedes hacían?
[1:20:25.00]-[1:20:27.00]  Y cosas de esas.
[1:20:27.00]-[1:20:31.00]  El queso lo hacía mi madre arriba en casa.
[1:20:31.00]-[1:20:37.00]  ¿Usted aprendió de su madre a hacer el queso?
[1:20:37.00]-[1:20:40.00]  Yo aprendí a hacer el queso con mi familia,
[1:20:40.00]-[1:20:42.00]  que estas de aquí abajo lo hacían bien,
[1:20:42.00]-[1:20:47.00]  y las de arriba también las hacían bien.
[1:20:47.00]-[1:20:51.00]  Y ahora aquí abajo las hacía.
[1:20:51.00]-[1:20:54.00]  ¿Y usted nunca ha comido queso del supermercado
[1:20:54.00]-[1:20:59.00]  y esos quesos que hacen, eso no le gusta a usted, no?
[1:20:59.00]-[1:21:01.00]  No, yo como nunca he.
[1:21:01.00]-[1:21:07.00]  Pa' hacer un bocata con pan, pa' desayunarme,
[1:21:07.00]-[1:21:10.00]  o comer en dar.
[1:21:10.00]-[1:21:17.00]  Hago un bocata con ese queso de fuera.
[1:21:17.00]-[1:21:24.00]  ¿Y el agua siempre han tenido que beber agua de botella?
[1:21:24.00]-[1:21:30.00]  No, la traíamos de la bica, en las tallas.
[1:21:30.00]-[1:21:33.00]  Venía a encargar con tallas de agua.
[1:21:33.00]-[1:21:34.00]  ¿Con las tallas de agua?
[1:21:34.00]-[1:21:36.00]  Esta es la talla.
[1:21:36.00]-[1:21:39.00]  ¿Esa es la cerámica que hacen aquí?
[1:21:39.00]-[1:21:43.00]  Sí, esta es la talla que estaba, esta.
[1:21:43.00]-[1:21:46.00]  La traían de agua.
[1:21:46.00]-[1:21:47.00]  ¿Y eso lo traían las mujeres?
[1:21:47.00]-[1:21:50.00]  Sí, esa es la talla de mi abuela.
[1:21:50.00]-[1:21:52.00]  Lleva ya años, está ahí.
[1:21:52.00]-[1:21:57.00]  En eso la traían ellas y antes...
[1:21:57.00]-[1:21:59.00]  Ahí se conservaba el agua.
[1:21:59.00]-[1:22:00.00]  Sí.
[1:22:00.00]-[1:22:04.00]  ¿Y eso es la cerámica que hacen aquí al lado?
[1:22:04.00]-[1:22:06.00]  Es el cercado, sí.
[1:22:06.00]-[1:22:11.00]  Entonces ya la traían, se hacían su ruedo,
[1:22:11.00]-[1:22:14.00]  se la cargaban y la traían de la bica pa' aquí debajo.
[1:22:14.00]-[1:22:15.00]  Sí.
[1:22:15.00]-[1:22:18.00]  Y antes había una fuente ahí.
[1:22:18.00]-[1:22:22.00]  Entonces también cogían el agua en la donde...
[1:22:22.00]-[1:22:24.00]  Que antes había...
[1:22:24.00]-[1:22:30.00]  Como llovía siempre, había fuentes de agua en más sitios sin ser en la bica.
[1:22:30.00]-[1:22:31.00]  Sí.
[1:22:31.00]-[1:22:42.00]  Aquí hay.
