[0:00:00.00]-[0:00:02.00]  ¿Cuántos años tiene?
[1:04:48.00]-[1:04:54.00]  y le daba vueltas, le trabajaba la pasta esa y ya cuando salía el aceite salía más,
[1:04:54.00]-[1:04:59.00]  como ahora las máquinas nuestras, las máquinas que hay más modernas, también cabe,
[1:04:59.00]-[1:05:04.00]  ahora pues ya no están las piedras para pelear, ya está la máquina que lo pisa,
[1:05:04.00]-[1:05:12.00]  y va pasando y ya sale el aceite, y el agua y eso se va y queda el aceite y ya sale,
[1:05:12.00]-[1:05:18.00]  ya es moderno, ya salió todo, pero antes y después, en el depósito el aceite va arriba y el agua abajo,
[1:05:18.00]-[1:05:28.00]  entonces en un calabacín lo quitábamos, lo poníamos así y se lo llevaba a casa, a casa,
[1:05:28.00]-[1:05:38.00]  ¿comprende?, sí, estaba bien, pero ya le digo, era una pobreza muy grande, era una pobreza muy grande,
[1:05:38.00]-[1:05:44.00]  trabajaba un mes, mes y medio porque aquí hay muchas, porque pasa la misma la envidia unos y otros,
[1:05:44.00]-[1:05:53.00]  a ver qué ganaba más uno que otro, porque era mucho la cosa que hay mucha envidia,
[1:05:53.00]-[1:06:02.00]  porque todos querían ganar y no se ganaba, y no se ganaba, y así que era un problema.
[1:06:02.00]-[1:06:07.00]  ¿Cómo se alimentaban antes?, ¿qué comían?
[1:06:07.00]-[1:06:18.00]  Comer de maravilla, verdura, el pescado que había, carne, carne poca, yo más pescado, fruta y cosas,
[1:06:18.00]-[1:06:31.00]  el cochino que hacíamos, el cochino era para comer en casa, primero comía la mostilla, el tocino,
[1:06:31.00]-[1:06:41.00]  que a mí no me gustaba, después llegaba y las mujeres ponían los huesos del cochino y todo eso
[1:06:41.00]-[1:06:49.00]  que le habían repelado para la morcilla y para la sobras, y todo eso, pues resulta que todo eso
[1:06:49.00]-[1:06:58.00]  estaba todo ahí, la longaniza, la sobrada, el samón, todo eso, entonces resulta que esto iba haciendo,
[1:06:58.00]-[1:07:05.00]  era para el verano, comprende, para el verano, mira, pues, hoy sobrasada, para desayunar,
[1:07:05.00]-[1:07:11.00]  pues sobrasada, un trozo de sobrasada y el pan ya está, y el pan también, hacíamos trigo,
[1:07:11.00]-[1:07:17.00]  íbamos a los molinos a coger el trigo, a molerlo, y después, que justamente,
[1:07:17.00]-[1:07:24.00]  entonces pasó mucho, porque resulta que teníamos, y entonces vino aquí a Franco,
[1:07:24.00]-[1:07:29.00]  y cuando se terminó la guerra, y resulta que entonces teníamos que declararlo todo,
[1:07:29.00]-[1:07:34.00]  todo a contrabando, y entonces resulta que teníamos que entregar el aceite,
[1:07:34.00]-[1:07:41.00]  tanto por ciento, y casi regalado, tenía que trabajar, y el aceite y el trigo igual,
[1:07:41.00]-[1:07:47.00]  y entonces el trigo después teníamos que ir nosotros al bolino a hacerlo, y es de contrabando,
[1:07:47.00]-[1:07:52.00]  y tenías que, era tuyo, tenías que ir a molerlo por el camino, que no te encontrara la guardia,
[1:07:52.00]-[1:07:58.00]  pues si te encontraba te lo quitabas, y si no, y el molino igual, iba y lo molía igual,
[1:07:58.00]-[1:08:06.00]  y así hacíamos el pan en casa, pan y eso ya tenía, por eso el que tenía más campo,
[1:08:06.00]-[1:08:16.00]  pues hacía más trigo, y hacía lentejas, hacía esto, garbanzos, hacía, ¿cómo le llamas?,
[1:08:16.00]-[1:08:24.00]  bueno, varias frutas, ¿no me entiendes?, sparrows, pisantes, eso que no me salía más,
[1:08:24.00]-[1:08:28.00]  pisantes y todas esas cosas, y eso hacía uno el campo, ¿comprende?,
[1:08:28.00]-[1:08:38.00]  entonces llevaba desde junio, y a última de junio, ya hacer eso, ya hacer y te lo hacía,
[1:08:38.00]-[1:08:43.00]  llenándole para hacer, ¿comprende?, y ya de ahí iba recreciéndolo, y el cochino que tenía,
[1:08:43.00]-[1:08:51.00]  y cuando venía octubre, noviembre, a veces ya se terminaba, y entonces ya le dije,
[1:08:51.00]-[1:08:57.00]  pues una cosa que como no me gustaba me acuerdo, que resulta que los huesos y todo eso del cochino,
[1:08:57.00]-[1:09:05.00]  los tenían en un jarrito en la casa, en el sótano, y cuando venía,
[1:09:05.00]-[1:09:16.00]  al lado de la cocina, y hacía el arroz y le ponían los huesos, y hacía el arroz de promenita,
[1:09:16.00]-[1:09:26.00]  y eso a mí no me pasaba por la garganta, así que ya venía, así fuimos, bueno, comérnos,
[1:09:26.00]-[1:09:32.00]  yo lo he dicho varias veces, yo vi la guerra y todo, y yo, hombre, no para decir,
[1:09:32.00]-[1:09:39.00]  sí que hacían a veces del maíz, hacían unos rollos ahí que sí que no me pasaba,
[1:09:39.00]-[1:09:45.00]  me hacía flaco, re, nada, trabajaba, y no, es que no me pasaba de la garganta,
[1:09:45.00]-[1:09:54.00]  y sin embargo, mi madre decía, si no vieras, no me lo creas, porque cuando me gustaba la comida,
[1:09:54.00]-[1:10:03.00]  comía, bueno, pues, y cuando no me gustaba, no comía nada, y yo le digo, va, si, si.
[1:10:03.00]-[1:10:05.00]  ¿Y entonces hacían pan, dice?
[1:10:05.00]-[1:10:10.00]  Sí, pan, todas las casas tenían, y ahí donde está la panadería, no,
[1:10:10.00]-[1:10:14.00]  ahí donde está la bandera, ahí estaba el horno de todo el pueblo,
[1:10:14.00]-[1:10:21.00]  ahí mismo estaba el horno, y vas allí, pagaban lo que fuera del horno,
[1:10:21.00]-[1:10:24.00]  y te duraba dos o tres días que hacías el pan.
[1:10:24.00]-[1:10:29.00]  Y pastas, pastas dulces y todo también igual,
[1:10:29.00]-[1:10:32.00]  aquí en este pueblo las pastas eran muy buenas,
[1:10:32.00]-[1:10:37.00]  el que tenía más, más buenas, eso más, pero sí.
[1:10:37.00]-[1:10:39.00]  ¿Y usted se acuerda de cómo se hacía el pan?
[1:10:39.00]-[1:10:47.00]  El pan, la lavadura, que desde el mismo pan aguardaban allí en un perolito
[1:10:47.00]-[1:10:52.00]  y se hacía agria, no sé cómo eso, como si fuera la lavadura,
[1:10:52.00]-[1:10:54.00]  y entonces agregaban eso y alcian,
[1:10:54.00]-[1:10:59.00]  después ya vino la lavadura, que ya ponían un pedacito,
[1:10:59.00]-[1:11:04.00]  y entonces pues la hacían y después cuando estaba bueno pues hacían el pan,
[1:11:04.00]-[1:11:06.00]  y después del pan cuando estaba bueno ya lo portaban,
[1:11:06.00]-[1:11:10.00]  le llevaban al horno, así todo.
[1:11:10.00]-[1:11:14.00]  No hombre, aquello era, dentro de la caga era bonito,
[1:11:14.00]-[1:11:19.00]  y era sano, porque era todo, no como ahora,
[1:11:19.00]-[1:11:22.00]  que tú te lo hacías en tu casa y te lo hacías en el molino,
[1:11:22.00]-[1:11:26.00]  y te lo hacías todo, no como ahora que hacen el trigo y lo traen a la fábrica,
[1:11:26.00]-[1:11:29.00]  y de la fábrica a la otra fábrica, y ya sabes lo que hacen.
[1:11:29.00]-[1:11:30.00]  ¿No es así?
[1:11:30.00]-[1:11:31.00]  Sí.
[1:11:31.00]-[1:11:32.00]  Ya le digo.
[1:11:32.00]-[1:11:36.00]  Y entonces, también hacían pastas, dice.
[1:11:36.00]-[1:11:42.00]  Sí, muchas pastas, buenas, buenas, buenas, buenas, de todas igual,
[1:11:42.00]-[1:11:46.00]  y eso lo hacen ahí en el horno, eso sí no lo puedo decir yo,
[1:11:46.00]-[1:11:49.00]  pero yo tengo a mi prima, sí que sabe hacerle uno,
[1:11:49.00]-[1:11:53.00]  y sí, sí, sí, ya lo tenían ya escrito en un papelito,
[1:11:53.00]-[1:11:55.00]  no comprendí, y entonces tanto de esto,
[1:11:55.00]-[1:11:58.00]  tanto medio vaso de agua, medio de aceite,
[1:11:58.00]-[1:12:02.00]  o un cuarto, después tantos huevos, harina,
[1:12:02.00]-[1:12:05.00]  y entonces se amasaba, y sí, sí, sí.
[1:12:05.00]-[1:12:07.00]  La una.
[1:12:07.00]-[1:12:11.00]  Bueno, y entonces, ¿qué comidas hay típicas aquí de este pueblo?
[1:12:11.00]-[1:12:15.00]  ¿Qué comidas? Pues mira, sí, no sé, yo sé que ya no,
[1:12:15.00]-[1:12:19.00]  es tanto tiempo, ya no sé, aquí pues a mí,
[1:12:19.00]-[1:12:24.00]  en esa época, le voy a decir, mi madre como no tenía manos,
[1:12:24.00]-[1:12:28.00]  tú me debemos tres hermanos, y eso hacía arroz,
[1:12:28.00]-[1:12:34.00]  arroz en paella, o arroz al horno, o arroz en crosta,
[1:12:34.00]-[1:12:37.00]  que ponen el arroz, y cuando ya está, le ponen un huevo,
[1:12:37.00]-[1:12:40.00]  y entonces lo tapan, y le ponen la brasa arriba,
[1:12:40.00]-[1:12:44.00]  y yo abajo, y entonces el huevo se hace como,
[1:12:44.00]-[1:12:47.00]  eso, arroz en crosta, pero ya le digo,
[1:12:47.00]-[1:12:51.00]  eso sí que no le puedo yo, informar, porque de cocinero yo,
[1:12:51.00]-[1:12:56.00]  de todo lo otro, y pues eso no.
[1:12:56.00]-[1:12:59.00]  ¿Y quesos? ¿Se acuerda si ahí hacían queso?
[1:12:59.00]-[1:13:04.00]  No, aquí queso no. Aquí queso lo hacían en una masía allá,
[1:13:04.00]-[1:13:07.00]  que tienen las bajas en el río, ¿sabes?
[1:13:07.00]-[1:13:11.00]  El queso ese que dicen como de burgos,
[1:13:11.00]-[1:13:16.00]  queso de burgos, bueno, ahora aquí hay una cantidad de queso,
[1:13:16.00]-[1:13:19.00]  no comprende, más grande, ¿no?,
[1:13:19.00]-[1:13:21.00]  de ahí que lo hacen en algunas partes,
[1:13:21.00]-[1:13:26.00]  pero aquí hacían eso, nada más allá, nada más allá hacían eso.
[1:13:26.00]-[1:13:30.00]  No, no, tenían las vacas, lo hacían, se defendían,
[1:13:30.00]-[1:13:33.00]  iba a planes, iba a planes, y aquí también,
[1:13:33.00]-[1:13:37.00]  pero no, eso ya, aquí no, ya le digo.
[1:13:37.00]-[1:13:41.00]  Aquí el pueblo este es muy repartido,
[1:13:41.00]-[1:13:43.00]  unas casas tiene mucho más,
[1:13:43.00]-[1:13:48.00]  y ahora la mayoría de casas que tenía mucho ya se quedaron,
[1:13:48.00]-[1:13:51.00]  ya se vendieron las fincas y todo, ya se quedaron,
[1:13:51.00]-[1:13:54.00]  todo repartido y lo que no se está quedando es abandonado,
[1:13:54.00]-[1:13:57.00]  ya no va nada, ¿comprende?
[1:13:57.00]-[1:14:01.00]  Sí, ya no, no, no, no, no activan,
[1:14:01.00]-[1:14:04.00]  yo mismo tengo dos campos y no sé,
[1:14:04.00]-[1:14:08.00]  ahora el día que yo no pueda, el día que no pueda se quedará abandonado.
[1:14:08.00]-[1:14:11.00]  Y mira, así que ya sí sabes que este hombre,
[1:14:11.00]-[1:14:15.00]  este hombre ha tenido campo y ha tenido mucha,
[1:14:15.00]-[1:14:19.00]  ha tenido tractores y todo,
[1:14:19.00]-[1:14:22.00]  y ha ido a trabajar ahí y él tenía una carnicería y tiene,
[1:14:22.00]-[1:14:25.00]  pues lo da uno o otro, y barata,
[1:14:25.00]-[1:14:28.00]  si quieren coger lo que no está abandonado, ¿comprendes?
[1:14:28.00]-[1:14:33.00]  Así que así está, sí, sí, este señor que estaba aquí ahora,
[1:14:33.00]-[1:14:37.00]  ya le digo, y el hijo trabaja en el secretario aquí,
[1:14:37.00]-[1:14:40.00]  en el ayuntamiento y ya saca,
[1:14:40.00]-[1:14:43.00]  y así que está todo, el día que, eso pues mira,
[1:14:43.00]-[1:14:46.00]  que se mueran, pero ya no, ya se quedará todo,
[1:14:46.00]-[1:14:49.00]  ya ni tendrá ni dueño casi,
[1:14:49.00]-[1:14:52.00]  porque el hijo dice, pasa lo mismo que todo,
[1:14:52.00]-[1:14:55.00]  ya no da nada, y mira, y se está quedando,
[1:14:55.00]-[1:14:58.00]  aquí viene eso, y este pueblo,
[1:14:58.00]-[1:15:01.00]  si en el verano hay más gente aquí,
[1:15:01.00]-[1:15:05.00]  porque están ahí muchas casitas que son del Collanos,
[1:15:05.00]-[1:15:08.00]  y algunas casas también,
[1:15:08.00]-[1:15:12.00]  pero si se quedan las casas ahora, pues mira,
[1:15:12.00]-[1:15:15.00]  cerradas, muchas, para vender,
[1:15:15.00]-[1:15:18.00]  no, va para atrás,
[1:15:18.00]-[1:15:21.00]  va muy para atrás, muy para atrás.
[1:15:21.00]-[1:15:23.00]  ¿Por qué este pueblo cuántos habitantes tiene?
[1:15:23.00]-[1:15:26.00]  Cuando yo era no sé, tenía 900,
[1:15:26.00]-[1:15:29.00]  a mil no sé si llegaba, no comprendía,
[1:15:29.00]-[1:15:32.00]  no sé si hay 400 o 500,
[1:15:32.00]-[1:15:35.00]  no sé, seguro eso ya no lo puedo decir,
[1:15:35.00]-[1:15:38.00]  ya le digo, del año que yo me fui,
[1:15:38.00]-[1:15:41.00]  tenía 26 años,
[1:15:41.00]-[1:15:44.00]  yo aquí ya no he estado,
[1:15:44.00]-[1:15:47.00]  yo vengo para acá, conozco a los padres,
[1:15:47.00]-[1:15:50.00]  los hijos, ya no conozco a nadie, no me entiende,
[1:15:50.00]-[1:15:53.00]  yo vengo a mi prima,
[1:15:53.00]-[1:15:56.00]  que es mayor, mi prima es un año más,
[1:15:56.00]-[1:15:59.00]  es un año menos que yo, el señor está acá,
[1:15:59.00]-[1:16:02.00]  y ya no, yo vengo ahí,
[1:16:02.00]-[1:16:05.00]  como ahora vengo a mi prima,
[1:16:05.00]-[1:16:08.00]  pero yo la mujer está en muro,
[1:16:08.00]-[1:16:11.00]  porque es casado y ella es de muro,
[1:16:11.00]-[1:16:14.00]  pero ya no conozco,
[1:16:14.00]-[1:16:17.00]  no sé, lo que pueda haber,
[1:16:17.00]-[1:16:20.00]  en el verano sí está lleno,
[1:16:20.00]-[1:16:23.00]  algunos de los huevos tienen casas por ahí,
[1:16:23.00]-[1:16:26.00]  y eso,
[1:16:26.00]-[1:16:29.00]  bueno,
[1:16:29.00]-[1:16:32.00]  Espérese, que nos tiene que contar la Mili,
[1:16:32.00]-[1:16:35.00]  que ha dicho que la hizo en paterna,
[1:16:35.00]-[1:16:38.00]  Ah, la Mili, la Mili estuvo yo muy bien,
[1:16:38.00]-[1:16:41.00]  la Mili,
[1:16:41.00]-[1:16:44.00]  pues la Mili,
[1:16:44.00]-[1:16:47.00]  mire cómo es la cosa,
[1:16:47.00]-[1:16:50.00]  le voy a decir, por la cosa,
[1:16:50.00]-[1:16:53.00]  mira si es sufrido,
[1:16:53.00]-[1:16:56.00]  la Mili yo venía ahí,
[1:16:56.00]-[1:16:59.00]  resulta que no tenía madre,
[1:16:59.00]-[1:17:02.00]  pero tenía que ir al servicio,
[1:17:02.00]-[1:17:05.00]  porque mi hermano no sé qué pasó,
[1:17:05.00]-[1:17:08.00]  resulta eso me acuerdo igual como ahora,
[1:17:08.00]-[1:17:11.00]  y se vamos por San José,
[1:17:11.00]-[1:17:14.00]  y resulta que estamos podando la bisplera de San José,
[1:17:14.00]-[1:17:17.00]  y mi hermano,
[1:17:17.00]-[1:17:20.00]  este que no explique ni que viva,
[1:17:20.00]-[1:17:23.00]  resulta que fuimos a podar al Macal,
[1:17:23.00]-[1:17:26.00]  fuimos a comer y comemos,
[1:17:26.00]-[1:17:29.00]  y resulta que dice, me duele la barriga, no puedo trabajar,
[1:17:29.00]-[1:17:32.00]  no puedo trabajar, por fin,
[1:17:32.00]-[1:17:35.00]  yo lo terminé,
[1:17:35.00]-[1:17:38.00]  y se vinimos a casa,
[1:17:38.00]-[1:17:41.00]  y el médico era don Pago Vitoria,
[1:17:41.00]-[1:17:44.00]  y entonces resulta que esa tarde había venido,
[1:17:44.00]-[1:17:47.00]  resulta que al día siguiente,
[1:17:47.00]-[1:17:50.00]  resulta que, a ver al médico,
[1:17:50.00]-[1:17:53.00]  cuando venga, al otro día,
[1:17:53.00]-[1:17:56.00]  al otro día cuando viene,
[1:17:56.00]-[1:17:59.00]  me dice, eso es la apéndice,
[1:17:59.00]-[1:18:02.00]  corriendo tiene que ir al coño,
[1:18:02.00]-[1:18:05.00]  a la clínica,
[1:18:05.00]-[1:18:08.00]  a los tres o cuatro días,
[1:18:08.00]-[1:18:11.00]  la cuestión es que me voy a la,
[1:18:11.00]-[1:18:14.00]  viene y otro hermano que tengo pequeño,
[1:18:14.00]-[1:18:17.00]  estaba aquí con mi prima, comiendo aquí,
[1:18:17.00]-[1:18:20.00]  comiendo el otro, a mi tía,
[1:18:20.00]-[1:18:23.00]  y él en la clínica, yo me voy a paterna,
[1:18:23.00]-[1:18:26.00]  y paso por la clínica, y mi madre cuidando a él,
[1:18:26.00]-[1:18:29.00]  así que me voy y me toca pasarla,
[1:18:29.00]-[1:18:32.00]  bueno,
[1:18:32.00]-[1:18:40.00]  Llego a Paterna y nada, y por San José, ya había pasado San José, pero esos días,
[1:18:40.00]-[1:18:49.00]  en los tres meses de recluta, y yo en el servicio allá en Paterna, y había un matrimonio que yo me llevaba muy bien,
[1:18:49.00]-[1:18:57.00]  que bebía en la calle también, que entonces estaba en, estaba en Valencia.
[1:18:57.00]-[1:19:08.00]  Y resulta que yo pues iba a verlos, de Paterna el domingo por la tarde, pues nos traen a Valencia y los veía, tenía un restaurante.
[1:19:08.00]-[1:19:18.00]  Y resulta que llega y lo veo, y bajo y lo veo y me voy a Paterna y a hacerle eso, pero seguí, me iba y en lo contrario.
[1:19:18.00]-[1:19:25.00]  Ahora resulta que vienen las fiestas, que son en Séncaime, y la víspera del domingo antes de las fiestas,
[1:19:25.00]-[1:19:31.00]  yo pues me voy a ver a este matrimonio allí y eso, y resulta que bajo y hablamos de qué,
[1:19:31.00]-[1:19:41.00]  y bailar la fiesta de eso, y yo digo, bueno no sé, yo pediré permiso, pero no sé yo si me darán o no me darán, y ya veremos.
[1:19:41.00]-[1:19:48.00]  La cuestión que bajamos bajo para despedirse y había un hombre allí hablando, que él lo conocía y todo,
[1:19:48.00]-[1:20:00.00]  y le cuenta el caso, le cuenta el caso y resulta que llega y yo no sé, yo por ala, ala bueno pues allá ya se veremos las fiestas y vamos.
[1:20:00.00]-[1:20:11.00]  Y me voy para Paterna. Al otro día me estaba buscando por el cuartel, buscando donde estaban, buscando que el comandante,
[1:20:11.00]-[1:20:27.00]  el comandante juez me quiere ver, y bueno la cuestión que me ven, mira que va el comandante juez que te quiere ver,
[1:20:27.00]-[1:20:33.00]  y me voy allá y entro y me presento y llega y me dice, ¿a dónde estuvo usted ayer?
[1:20:33.00]-[1:20:41.00]  Yo dije, yo en Valencia, y yo todo asustado, porque yo no había tenido nada, y dice, ¿y qué hizo? ¿y qué te ha dicho?
[1:20:41.00]-[1:20:49.00]  Yo lo mismo que le conté, tengo un amigo y fui a verlos y ahora como son las fiestas de Benimarfuy, el amigo,
[1:20:49.00]-[1:20:59.00]  y me dijo de ir y yo no sé si doy permiso al brigado o al teniente de eso, pues si me lo das y no, no.
[1:20:59.00]-[1:21:05.00]  Y todo eso y entonces dice, pues bueno, pues a va y le dice y le da permiso que se vaya.
[1:21:05.00]-[1:21:16.00]  Y resulta que lo conocía y este señor, la mujer le hacía el trabajo a la señora del comandante y le explicó la cosa y eso.
[1:21:16.00]-[1:21:25.00]  Y después fui y tu aquí, los días que me dio, 7 o 8 días, y me fui allí y cuando me fui me enchufó en el teniente en Valencia.
[1:21:25.00]-[1:21:32.00]  Y mira, una mila, una mila, un vez allá y la otra en casa, un vez allá y la otra en casa, tenía dos asistentes, un vez estaba yo,
[1:21:32.00]-[1:21:39.00]  y yo me iba y aquél iba y yo me iba, y así hasta la última, la mila y fue ese, el que tuve y así.
[1:21:39.00]-[1:21:50.00]  Sí, sí, eso hasta que terminé, eso terminé y estuvo, juramos bandera y después de bandera, resulta que ya habíamos juzgado bandera, todo eso.
[1:21:50.00]-[1:22:01.00]  Y cuando vino el retiro, la licencia, resulta que me estuvo un mes más, que no hice ni guardias, nada más que los dos guardias últimas,
[1:22:01.00]-[1:22:08.00]  y ya después hasta que me tocó, ya me licenció y mira, pasé una mila y de maravilla.
[1:22:08.00]-[1:22:12.00]  Y le castigaron alguna vez o no?
[1:22:12.00]-[1:22:25.00]  No, bueno, una vez me castigaron, pero no, una cosa que, porque, pero no fue el calabozón ni nada, no, no, eso nada, resulta que,
[1:22:25.00]-[1:22:36.00]  porque íbamos a veces, pues ya venía ya al campo, a lo mejor hacer esto, al otro, comprende, y entonces resulta que un día,
[1:22:36.00]-[1:22:47.00]  pues nos buscaban para otra cosa y nosotros estábamos allá, pero nada, no, no, si yo estuve allá que me mandó fular el capitán,
[1:22:47.00]-[1:22:53.00]  el sargento, no, me entiende, pero cosas de esas, y entonces no pasó nada, no, no, a mí no me castigo nunca.
[1:22:53.00]-[1:22:56.00]  Porque los castigos en qué consistían?
[1:22:56.00]-[1:23:10.00]  No, pues no, pues no, pues a veces hacer una guardia, comprender, cosas de esas, pero no, a veces pues limpiar la batería,
[1:23:10.00]-[1:23:20.00]  a limpiarlo, barrerlo y fregarlo, cosas de esas, no, entonces no era, no, sí.
[1:23:20.00]-[1:23:23.00]  Porque cuánto tiempo estuvo allí?
[1:23:23.00]-[1:23:38.00]  Yo 18 meses, entonces ya era poquito, los de 4 o 5 años atrás sí que era más, pero sí, entonces no, ya durábamos poco.
[1:23:38.00]-[1:23:44.00]  Lo que pasa es que nos daban la licencia para ir a casa, porque estábamos bajo el régimen, por eso le he dicho antes yo,
[1:23:44.00]-[1:23:51.00]  que yo hasta los 26 años me fui a Venezuela porque yo en casa, si el que se quería ir antes, nos dejaban salir,
[1:23:51.00]-[1:24:01.00]  porque encastaba en régimen de servicio, así que, bueno, ahora sí lo digo, no, no, ya está bien, ya, si lleva un rato.
[1:24:01.00]-[1:24:06.00]  No, no, no, no, ya no, ahora sí que no, ya no.
[1:24:06.00]-[1:24:13.00]  No, que le quería preguntar, que si antes de ir a la mili venían aquí al pueblo a medirles y a tallarles.
[1:24:13.00]-[1:24:16.00]  A medir el que, para el servicio?
[1:24:16.00]-[1:24:17.00]  Sí.
[1:24:17.00]-[1:24:23.00]  No, al ayuntamiento, eso sí, pero es una tontería, eso no me acuerdo yo.
[1:24:23.00]-[1:24:25.00]  ¿Y hacían una fiesta o no?
[1:24:25.00]-[1:24:30.00]  Sí, bueno, la fiesta sí, la fiesta sí la hacíamos aquí en la planta, aquí en una hoguera grandísima,
[1:24:30.00]-[1:24:42.00]  y traíamos la música y todos los quintos, y los teníamos, tenemos 6 quintos, y ahora quedamos 3.
[1:24:42.00]-[1:24:45.00]  Sí, quedamos 3.
[1:24:45.00]-[1:24:48.00]  ¿Y aquí en vez que fiestas hacen?
[1:24:48.00]-[1:25:01.00]  No, aquí, pues, esa es San Antonio, el 13 de junio, de junio, el 13 de junio, y ya esa y la de Hanchayme, ya no hacíamos más.
[1:25:01.00]-[1:25:10.00]  Después ya iba a Benelub, salía la fiesta de, esa día, el 10 de agosto, después San Gil en Alcocer,
[1:25:10.00]-[1:25:22.00]  y así en Beniarrer el 15 de agosto, en Benamé, en Benamé tocaba ahora este domingo, lo que pasa es que lo han hecho antes,
[1:25:22.00]-[1:25:32.00]  y así cosas, en Benamé, y la alcria el 29 de septiembre, planea en octubre, ya los otros ya no,
[1:25:32.00]-[1:25:40.00]  Almudaina el 24 de este mes pasado, también sabe, esos los pueblos que a veces íbamos,
[1:25:40.00]-[1:25:50.00]  más Alcocer y Berellú, los otros ya no, Beniarrer ya no, yo no iba, ya nunca, a Benamé es mejor si iba,
[1:25:50.00]-[1:25:57.00]  sabes, alguna, pero poco, si caía domingo eso, porque entonces la tenía cuando caía la fiesta.
[1:25:57.00]-[1:26:00.00]  ¿Y ese día hacían misa?
[1:26:00.00]-[1:26:08.00]  Sí, claro, bueno, nosotros, eso es en los pueblos, pero nosotros no, nosotros íbamos a misa aquí,
[1:26:08.00]-[1:26:11.00]  y entonces eso ya era aparte, ¿no comprendes?
[1:26:11.00]-[1:26:21.00]  Eso ya, además la misa lo hacían en los pueblos, la misa en los pueblos, si era entre semana, lo hacían como si fuera un domingo,
[1:26:21.00]-[1:26:25.00]  pero eso era en el pueblo de uno, pero en el otro pueblo de uno ya no tenía nada que ver, ¿comprendes?
[1:26:25.00]-[1:26:26.00]  Ya, ya, ya, sí.
[1:26:26.00]-[1:26:36.00]  Allá hacían, pero uno iba a las 6 de la tarde o las 7 hasta allá las 11, las 12, las 2 de la noche, ¿comprendes?, así,
[1:26:36.00]-[1:26:44.00]  ya hacían la profeción y lo que fuera, pero eso ya uno no tiene nada que ver, era el pueblo diferente, ¿comprendes?, sí.
[1:26:44.00]-[1:26:46.00]  ¿Y ustedes entonces iban a los bailes?
[1:26:46.00]-[1:26:48.00]  Sí, eso era, los bailes, claro, sí.
[1:26:48.00]-[1:26:50.00]  ¿Y allí conocían a las chicas?
[1:26:50.00]-[1:27:00.00]  A las chicas, sí, claro, y algunos por la tía novia se casaban en otro pueblo, algunos hubo, y algunos hubo que se casaran,
[1:27:00.00]-[1:27:12.00]  yo no, yo fue porque mi mujer, una hermana, se fue en el mismo barco que yo a Venezuela, se fuéramos juntos,
[1:27:12.00]-[1:27:17.00]  y después ya estaba yo 7 años soltero allí, y entonces me voy a casar,
[1:27:17.00]-[1:27:24.00]  y entonces yo como iba tocando las puertas, como le he dicho, la encontré un día, y hablando, hablando, hablando,
[1:27:24.00]-[1:27:32.00]  entonces resulta que hablando, pues, él dice, yo tengo una hermana en casa, también, tengo tres hermanos, no sé,
[1:27:32.00]-[1:27:40.00]  y entonces me enseñó las fotos y eso, y bueno, cuando vaya, yo voy y voy a ver a la que más me gusta, y es así,
[1:27:40.00]-[1:27:56.00]  y entonces pues vine y la vi y me casé, ¿sabes?, la hizo novia y estuvo aquí medio año, vino por julio y estuvo hasta noviembre o diciembre, casi fue,
[1:27:56.00]-[1:28:08.00]  o no sé si, o primero de enero, eso sí no recuerdo bien, sé que fue medio año, y se fuimos para allá, comprende.
[1:28:08.00]-[1:28:10.00]  ¿Por qué ya? ¿De dónde era?
[1:28:10.00]-[1:28:19.00]  De Muro, él era de Muro, y su hermana era de Muro también, que yo las conocía de verla, a la hermana, la que me dijo eso,
[1:28:19.00]-[1:28:26.00]  y yo la conocía de verla, y después fuimos en el mismo barco, y el hombre y el esposo era de Muro también, también en el mismo barco,
[1:28:26.00]-[1:28:35.00]  pues resulta que es a donde la vimos, se conocía, y claro, esa cosa es igual que una cosa como ahora,
[1:28:35.00]-[1:28:44.00]  aquí mismo tú ves la gente a lo mejor y le dices a Dios eso, pero no haces caso, igual que eso, y ahora si vas a Madrid,
[1:28:44.00]-[1:28:51.00]  vas a suponer, si ahora uno de aquí, bueno, a lo mejor aquí no le haces caso y allá ya haces amistad más,
[1:28:51.00]-[1:28:59.00]  pero que es del pueblo tuyo o del vecino, más allá aún más, entonces allá uno a donde iba, pues a buscar,
[1:28:59.00]-[1:29:09.00]  pues si encontraba al amigo, a veces cuando no, pues un domingo, vamos a ver a fulano a ver, a ver y hablarlo, es la cosa que hay.
[1:29:09.00]-[1:29:19.00]  Entonces, como ahora otra cosa, uno llegaba y era de Gandía o era de Alcoy, y también hacía amistad, porque eran de aquí, de Acerca,
[1:29:19.00]-[1:29:27.00]  entonces pues hacía amistad, porque ya tienes un arrimo, porque si te pasara algo, pues siempre aquel te puede solucionar algo,
[1:29:27.00]-[1:29:36.00]  porque el del país también puede ser, pero resulta la cosa que es que acá país tiene una cosa y eso hay que una...
[1:29:36.00]-[1:29:48.00]  En Venezuela igual no es porque hay mala gente, hay de todo, igual que en todas partes, pero resulta que la mayoría tanto ganado tanto comido,
[1:29:48.00]-[1:29:58.00]  no es gente que más se lo gasta todo enseguida, y entonces claro, a lo mejor valen y si lo valen y te hacen favor,
[1:29:58.00]-[1:30:02.00]  lo mejor te hacen favor y te quieren cobrar doble de lo que valen, ¿me entiendes?
