[0:00:00.00]-[0:00:02.00]  ¿No hay una silla?
[0:53:44.76]-[0:53:46.76]  no puedo comprar otra cosa
[0:53:46.76]-[0:53:48.76]  ¿y si lo cosecha? ¿qué lo vende?
[0:53:48.76]-[0:53:50.76]  no, no, no, lo que he cosecho es para ganar
[0:53:50.76]-[0:53:52.76]  hombre, si me sobra
[0:53:52.76]-[0:53:54.76]  como hace 3 años
[0:53:54.76]-[0:53:56.76]  me sobro por lo que vengo
[0:53:56.76]-[0:53:58.76]  ¿y sabe usted por qué ha cambiado el clima tanto?
[0:53:58.76]-[0:54:00.76]  ¿por qué ya no llueve por aquí?
[0:54:00.76]-[0:54:02.76]  muy bien
[0:54:02.76]-[0:54:04.76]  se retiraron los tiempos de ahí
[0:54:04.76]-[0:54:06.76]  no hace conmigo agarrar
[0:54:06.76]-[0:54:08.76]  porque si salimos de las casas
[0:54:08.76]-[0:54:10.76]  estamos de vuelta a vivir
[0:54:10.76]-[0:54:12.76]  yo, yo...
[0:54:12.76]-[0:54:14.76]  todas las semanas, un par de veces lo creo
[0:54:14.76]-[0:54:16.76]  y ahora lo que digas
[0:54:16.76]-[0:54:18.76]  un año sin cada una voto
[0:54:20.76]-[0:54:22.76]  pero en cualquier estación
[0:54:22.76]-[0:54:24.76]  ¿primadera, verano?
[0:54:24.76]-[0:54:26.76]  no, en todos los tiempos
[0:54:26.76]-[0:54:28.76]  antes llovía
[0:54:28.76]-[0:54:30.76]  siempre
[0:54:30.76]-[0:54:32.76]  en el verano, cuando no se le descuidaba
[0:54:32.76]-[0:54:34.76]  una nube esa del ruedano
[0:54:34.76]-[0:54:36.76]  venga, todo regado
[0:54:36.76]-[0:54:38.76]  y ahora
[0:54:38.76]-[0:54:40.76]  ahora ya hemos trepado dos días del ruedano
[0:54:40.76]-[0:54:42.76]  y no ha caído nada
[0:54:42.76]-[0:54:46.76]  y ahora ya no ha caído nada
[0:54:46.76]-[0:54:48.76]  ¿y está usted siempre
[0:54:48.76]-[0:54:50.76]  siempre por aquí por la zona
[0:54:50.76]-[0:54:52.76]  o por el pueblo?
[0:54:52.76]-[0:54:54.76]  no, no habrá salido a hacerse el viste en mitad
[0:54:54.76]-[0:54:56.76]  yo regado
[0:54:56.76]-[0:54:58.76]  ¿y donde levantamos?
[0:54:58.76]-[0:55:00.76]  soy marinero
[0:55:00.76]-[0:55:02.76]  ¿es marinero?
[0:55:02.76]-[0:55:04.76]  dos años me tiene
[0:55:04.76]-[0:55:06.76]  24 meses
[0:55:06.76]-[0:55:08.76]  ¿y tiene barco?
[0:55:08.76]-[0:55:10.76]  24 meses
[0:55:10.76]-[0:55:12.76]  y en Francia también he estado
[0:55:12.76]-[0:55:14.76]  en la isla de Córdoba
[0:55:14.76]-[0:55:16.76]  en la isla de Córdoba
[0:55:16.76]-[0:55:18.76]  allí me tiene seis meses
[0:55:18.76]-[0:55:20.76]  ¿pero en la micro o...?
[0:55:20.76]-[0:55:22.76]  no, no, no, trabajando
[0:55:22.76]-[0:55:24.76]  ¿y en qué te trabajas en Córdoba?
[0:55:24.76]-[0:55:26.76]  pues estábamos cerrando limoneros
[0:55:26.76]-[0:55:28.76]  y naranjos
[0:55:28.76]-[0:55:30.76]  y en la viña, en la uva
[0:55:30.76]-[0:55:32.76]  ¿rependimiendo?
[0:55:32.76]-[0:55:34.76]  ¿pero hecho en zona de uva también esta parte?
[0:55:34.76]-[0:55:36.76]  aquello no era mandio tú
[0:55:36.76]-[0:55:38.76]  yo tenía 18 años
[0:55:38.76]-[0:55:40.76]  después ya sin después
[0:55:40.76]-[0:55:42.76]  y después me he quedado en la viña
[0:55:42.76]-[0:55:44.76]  y una vuelta más
[0:55:44.76]-[0:55:46.76]  ¿pero salió usted
[0:55:46.76]-[0:55:48.76]  por gusto, no? porque teniendo aquí
[0:55:48.76]-[0:55:50.76]  pie, rato, podría haber quedado...
[0:55:50.76]-[0:55:52.76]  por las cosas de los amigos
[0:55:52.76]-[0:55:54.76]  se iba todo allí
[0:55:54.76]-[0:55:56.76]  y siempre con las carras
[0:55:56.76]-[0:55:58.76]  y ya vámonos para allá
[0:55:58.76]-[0:56:00.76]  y lo fui
[0:56:00.76]-[0:56:02.76]  y me dieron un contrato por seis meses
[0:56:02.76]-[0:56:04.76]  y después ya
[0:56:04.76]-[0:56:06.76]  me vine de allí
[0:56:06.76]-[0:56:08.76]  el patrón no creía que me viniera
[0:56:08.76]-[0:56:10.76]  ni parió
[0:56:10.76]-[0:56:12.76]  porque me firmé un contrato de un año
[0:56:12.76]-[0:56:14.76]  entonces tuve que escribir
[0:56:14.76]-[0:56:16.76]  que estaba acá mi madre
[0:56:16.76]-[0:56:18.76]  y a mi padre dije que no me había quedado
[0:56:18.76]-[0:56:20.76]  y me tenía que ir
[0:56:20.76]-[0:56:22.76]  a mi padre tenía mucha rica
[0:56:22.76]-[0:56:24.76]  de idad y no tenía la otra
[0:56:24.76]-[0:56:26.76]  como que no se pasaba por el pelo
[0:56:26.76]-[0:56:28.76]  porque no tenías ganas de quedar
[0:56:28.76]-[0:56:30.76]  en esa vida
[0:56:30.76]-[0:56:32.76]  y ya me vine y ya no volví más
[0:56:32.76]-[0:56:34.76]  ¿les con seis meses tuvo bastante?
[0:56:34.76]-[0:56:36.76]  si
[0:56:36.76]-[0:56:38.76]  ¿y en la marina, en el barco
[0:56:38.76]-[0:56:40.76]  le dio usted tiempo de ver mundo o no?
[0:56:40.76]-[0:56:42.76]  no me parqué
[0:56:42.76]-[0:56:44.76]  estuve en el arsenal
[0:56:44.76]-[0:56:46.76]  ¿en el arsenal de la tierra donde estaba la barca?
[0:56:46.76]-[0:56:48.76]  en el cuartel
[0:56:48.76]-[0:56:50.76]  estaban todos los maquinarios
[0:56:50.76]-[0:56:52.76]  de los barcos
[0:56:52.76]-[0:56:54.76]  y eso
[0:56:54.76]-[0:56:56.76]  me embaltaba en un cuartel
[0:56:56.76]-[0:56:58.76]  y me levanto
[0:56:58.76]-[0:57:00.76]  y me digo el comandante
[0:57:00.76]-[0:57:02.76]  y le digo al comandante
[0:57:02.76]-[0:57:04.76]  y le digo al comandante
[0:57:04.76]-[0:57:06.76]  que puede ser
[0:57:06.76]-[0:57:08.76]  por la mejor te vamos para aquí
[0:57:08.76]-[0:57:10.76]  y te traerás cuando vayas a la inviértum
[0:57:10.76]-[0:57:12.76]  y lo pido a todos aquí en Montonegorgo
[0:57:12.76]-[0:57:14.76]  y lo hice en su piso
[0:57:14.76]-[0:57:16.76]  un salsu
[0:57:16.76]-[0:57:18.76]  y entonces
[0:57:18.76]-[0:57:20.76]  mi padre me vine a visitar
[0:57:20.76]-[0:57:22.76]  y me dijo
[0:57:22.76]-[0:57:24.76]  salsu, no me lo pites
[0:57:24.76]-[0:57:26.76]  déjamelo por el pueblo
[0:57:26.76]-[0:57:28.76]  porque está girando
[0:57:28.76]-[0:57:30.76]  y nada, ya con 10 días de permiso
[0:57:30.76]-[0:57:32.76]  cuando me hubo un parcao
[0:57:32.76]-[0:57:34.76]  y después cogi
[0:57:34.76]-[0:57:36.76]  y ya con las maletas y todo para embarcarme
[0:57:36.76]-[0:57:38.76]  y para irme
[0:57:38.76]-[0:57:40.76]  y yo con mis maletas
[0:57:40.76]-[0:57:42.76]  y ya para el barco
[0:57:42.76]-[0:57:44.76]  entonces, a mí no te den un parco por tu número
[0:57:44.76]-[0:57:46.76]  era por tu número
[0:57:46.76]-[0:57:48.76]  era por tu nombre
[0:57:48.76]-[0:57:50.76]  yo tenía el 120
[0:57:50.76]-[0:57:52.76]  y todos ahí esperando el barco
[0:57:52.76]-[0:57:54.76]  para montarlo
[0:57:54.76]-[0:57:56.76]  entonces, el 120 que se presente en el detalle
[0:57:56.76]-[0:57:58.76]  la reo parleta
[0:57:58.76]-[0:58:00.76]  y el 10 chiquitísimo que será esto
[0:58:00.76]-[0:58:02.76]  y después van a que te van a tener su
[0:58:02.76]-[0:58:04.76]  porque la maleta
[0:58:04.76]-[0:58:06.76]  y te va a trapar la cantidad
[0:58:06.76]-[0:58:08.76]  que no te va
[0:58:08.76]-[0:58:10.76]  y que habrá con el coronel
[0:58:10.76]-[0:58:12.76]  y que han hecho un cambio
[0:58:12.76]-[0:58:14.76]  se va uno de ese vídeo
[0:58:14.76]-[0:58:16.76]  y siempre que hay
[0:58:16.76]-[0:58:18.76]  y ahí me vine
[0:58:18.76]-[0:58:20.76]  y te lo digo tú, que no te vas a morir
[0:58:20.76]-[0:58:22.76]  me venía toda la semana por lo
[0:58:22.76]-[0:58:24.76]  sólo viernes
[0:58:24.76]-[0:58:26.76]  y no te te dote si me...
[0:58:26.76]-[0:58:28.76]  el mundo
[0:58:28.76]-[0:58:30.76]  y yo me diría, vamos al mundo y a ver si te he visto otra tía
[0:58:30.76]-[0:58:32.76]  te habías visto un tecorsega
[0:58:32.76]-[0:58:34.76]  joder, corsega y marseña
[0:58:34.76]-[0:58:36.76]  y lime
[0:58:36.76]-[0:58:38.76]  y cuando los ganaderos
[0:58:38.76]-[0:58:40.76]  los sacaban viajando
[0:58:40.76]-[0:58:42.76]  y yo me iba a un único que íbamos a un quince días por ahí
[0:58:42.76]-[0:58:44.76]  de vacaciones, sin pagar nada
[0:58:44.76]-[0:58:46.76]  nada
[0:58:46.76]-[0:58:48.76]  porque se los pagaban a usted o qué?
[0:58:48.76]-[0:58:50.76]  los pagaban los directivos de la ganadería
[0:58:50.76]-[0:58:52.76]  y luego con un coche niño
[0:58:52.76]-[0:58:54.76]  que íbamos por ahí, quince días
[0:58:54.76]-[0:58:56.76]  y yo, Andrés te he visto como a mi
[0:58:56.76]-[0:58:58.76]  te he visto como a quien me pertenece
[0:58:58.76]-[0:59:00.76]  tu te ves que está
[0:59:00.76]-[0:59:02.76]  muy enterrado
[0:59:02.76]-[0:59:04.76]  estoy enterrado, soy un dios
[0:59:04.76]-[0:59:06.76]  ahora está Andrés, no, que no
[0:59:06.76]-[0:59:08.76]  usted es tan mayor
[0:59:08.76]-[0:59:10.76]  ya tengo casi 70 años
[0:59:10.76]-[0:59:12.76]  si, algo no lo parece
[0:59:12.76]-[0:59:14.76]  los sigo
[0:59:14.76]-[0:59:16.76]  y eras el mayor de los hermanos o no?
[0:59:16.76]-[0:59:18.76]  ¡Eva!
[0:59:18.76]-[0:59:20.76]  ah, como tu, te con su padre y mi hijo
[0:59:20.76]-[0:59:22.76]  tú te cuentes favorito o mayor
[0:59:22.76]-[0:59:24.76]  porque los otros
[0:59:24.76]-[0:59:26.76]  el mayor si era de los que andaban a viajar
[0:59:26.76]-[0:59:28.76]  estaba junto con Luis y ya tiene 63 años
[0:59:28.76]-[0:59:30.76]  y otro que iba
[0:59:30.76]-[0:59:32.76]  detrás de ese era un que
[0:59:32.76]-[0:59:34.76]  era un suro que se le caó la piasa
[0:59:34.76]-[0:59:36.76]  a la ganadería lo
[0:59:36.76]-[0:59:38.76]  le han modificado este mayor
[0:59:38.76]-[0:59:40.76]  y otro que tengo
[0:59:40.76]-[0:59:42.76]  menor que está en
[0:59:42.76]-[0:59:44.76]  en un bodi
[0:59:44.76]-[0:59:46.76]  en Granada
[0:59:46.76]-[0:59:48.76]  se casó allí y está allí
[0:59:48.76]-[0:59:50.76]  y ese tampoco quería ganar
[0:59:50.76]-[0:59:52.76]  ganadería lo movió dos
[0:59:52.76]-[0:59:54.76]  y claro como lo tuve ya se casó
[0:59:54.76]-[0:59:56.76]  y eso cuando es de mi padre
[0:59:56.76]-[0:59:58.76]  pues siempre era yo que estaba
[0:59:58.76]-[1:00:00.76]  en la casa
[1:00:00.76]-[1:00:02.76]  si no tuvieras un que de hermana, ¿cómo te vivieras?
[1:00:02.76]-[1:00:04.76]  cuatro hermanas
[1:00:04.76]-[1:00:06.76]  éramos siete
[1:00:06.76]-[1:00:08.76]  siete
[1:00:08.76]-[1:00:10.76]  somos tres hermanas porque hay dos
[1:00:10.76]-[1:00:12.76]  no eran tres hermanas
[1:00:12.76]-[1:00:14.76]  es cuatro hermanas
[1:00:14.76]-[1:00:16.76]  somos tres hermanas y una hermana
[1:00:16.76]-[1:00:18.76]  la mayor y uno que me siguió
[1:00:18.76]-[1:00:20.76]  a la mayor cuida
[1:00:20.76]-[1:00:22.76]  ¿Iban ustedes juntos a la escuela
[1:00:22.76]-[1:00:24.76]  los hermanos o...?
[1:00:24.76]-[1:00:26.76]  Era mi padre
[1:00:26.76]-[1:00:28.76]  un maestro, un trinomotivo de la escuela
[1:00:28.76]-[1:00:30.76]  íbamos a la noche
[1:00:30.76]-[1:00:32.76]  mi padre de papá
[1:00:32.76]-[1:00:34.76]  y yo de mamá
[1:00:34.76]-[1:00:36.76]  ¿A casa de maestro?
[1:00:36.76]-[1:00:38.76]  vivía al lado de nosotros
[1:00:40.76]-[1:00:42.76]  lo que hemos aprendido
[1:00:42.76]-[1:00:44.76]  lo aprendimos jugando
[1:00:44.76]-[1:00:46.76]  pues no teníamos mucho para ir
[1:00:46.76]-[1:00:48.76]  y bueno
[1:00:48.76]-[1:00:50.76]  fuimos a la escuela
[1:00:50.76]-[1:00:52.76]  hasta los diez o doce años
[1:00:52.76]-[1:00:54.76]  entonces ya cuando llegamos
[1:00:54.76]-[1:00:56.76]  a trabajar
[1:00:56.76]-[1:00:58.76]  entonces digo, ¿cómo es que te llevo?
[1:00:58.76]-[1:01:00.76]  por la noche te enseñamos
[1:01:00.76]-[1:01:02.76]  más que en la escuela
[1:01:02.76]-[1:01:04.76]  y entonces después veníamos
[1:01:04.76]-[1:01:06.76]  una noche, mandé a mi casa
[1:01:06.76]-[1:01:08.76]  nos pedimos a su casa
[1:01:08.76]-[1:01:10.76]  y entonces veníamos casi al lado
[1:01:10.76]-[1:01:12.76]  ¿No sabías de antojcelo
[1:01:12.76]-[1:01:14.76]  eléctrica en el pueblo?
[1:01:14.76]-[1:01:16.76]  Sí, sí, sí
[1:01:16.76]-[1:01:18.76]  ¿Y agua corriente había también?
[1:01:18.76]-[1:01:20.76]  Cuando empezábamos la escuela
[1:01:20.76]-[1:01:22.76]  no, la pusimos después
[1:01:22.76]-[1:01:24.76]  pero sí, agua corriente también había
[1:01:24.76]-[1:01:26.76]  pero cuando éramos sagales
[1:01:26.76]-[1:01:28.76]  no, pero ya nos íbamos a la escuela
[1:01:28.76]-[1:01:30.76]  de eso sí había agua corriente
[1:01:30.76]-[1:01:32.76]  y de sagales que íbamos
[1:01:32.76]-[1:01:34.76]  ¿Y de sagales que íbamos?
[1:01:34.76]-[1:01:36.76]  ¿Al río por agua? ¿Había río aquí o...?
[1:01:36.76]-[1:01:38.76]  Una fuente que vio
[1:01:38.76]-[1:01:40.76]  con las curras que tenían
[1:01:40.76]-[1:01:42.76]  y una agua que cubrían cuatro cántaros
[1:01:42.76]-[1:01:44.76]  de eso de 20 litros
[1:01:44.76]-[1:01:46.76]  y tenían unas tenazas muy grandes
[1:01:46.76]-[1:01:48.76]  y entonces íbamos
[1:01:48.76]-[1:01:50.76]  a la semana
[1:01:50.76]-[1:01:52.76]  íbamos un día trayendo agua
[1:01:52.76]-[1:01:54.76]  y llevábamos las tenazas
[1:01:54.76]-[1:01:56.76]  toda la semana íbamos
[1:01:56.76]-[1:01:58.76]  a la semana
[1:01:58.76]-[1:02:00.76]  ¿Y luego cogían el agua de ahí?
[1:02:00.76]-[1:02:02.76]  ¿Y al agua donde iban las mujeres también?
[1:02:02.76]-[1:02:04.76]  A mí al agua de hoy
[1:02:04.76]-[1:02:06.76]  y ya no
[1:02:06.76]-[1:02:08.76]  ¿Que ya no queda?
[1:02:08.76]-[1:02:10.76]  Tenía un acelio
[1:02:10.76]-[1:02:12.76]  de agua
[1:02:12.76]-[1:02:14.76]  para regar
[1:02:14.76]-[1:02:16.76]  entonces hicieron un lavadero
[1:02:16.76]-[1:02:18.76]  como si fuera una pica de esas que tienen para lavar
[1:02:18.76]-[1:02:20.76]  pero no, para regarla
[1:02:20.76]-[1:02:22.76]  y iban las mujeres a lavar
[1:02:22.76]-[1:02:24.76]  y a regar y a todo eso
[1:02:24.76]-[1:02:26.76]  Y a cotillear seguro
[1:02:26.76]-[1:02:28.76]  ¿No?
[1:02:28.76]-[1:02:30.76]  A más de trabajar
[1:02:32.76]-[1:02:34.76]  ¿Y cuando
[1:02:34.76]-[1:02:36.76]  llegaba la época
[1:02:36.76]-[1:02:38.76]  de buscar novia
[1:02:38.76]-[1:02:40.76]  y de casarse en el pueblo
[1:02:40.76]-[1:02:42.76]  Eso se hace en un libro
[1:02:42.76]-[1:02:44.76]  Yo te ha dado un
[1:02:44.76]-[1:02:46.76]  y iban a ver
[1:02:46.76]-[1:02:48.76]  en Bervena, en Bervena
[1:02:48.76]-[1:02:50.76]  en el mesio
[1:02:50.76]-[1:02:52.76]  ¿En la iglesia? ¿Dentro de la iglesia?
[1:02:52.76]-[1:02:54.76]  Sí, de ahí
[1:02:54.76]-[1:02:56.76]  llegábamos los veneges
[1:02:56.76]-[1:02:58.76]  como una
[1:02:58.76]-[1:03:00.76]  misa
[1:03:00.76]-[1:03:02.76]  y todas las mozas iban
[1:03:02.76]-[1:03:04.76]  a traer los mocos por los tramos
[1:03:04.76]-[1:03:06.76]  ¿No entraban ustedes?
[1:03:06.76]-[1:03:08.76]  A algunos entraban, a mí no entraban
[1:03:08.76]-[1:03:10.76]  yo me quedaba en el portal
[1:03:10.76]-[1:03:12.76]  y cuando salía
[1:03:12.76]-[1:03:14.76]  salíamos con ellas en la fiesta
[1:03:14.76]-[1:03:16.76]  bailábamos
[1:03:16.76]-[1:03:18.76]  hacíamos música
[1:03:18.76]-[1:03:20.76]  y bailábamos
[1:03:20.76]-[1:03:22.76]  ¿Pero tocaban ustedes mismos la música?
[1:03:22.76]-[1:03:24.76]  Sí, con unos trancas
[1:03:24.76]-[1:03:26.76]  de esas
[1:03:26.76]-[1:03:28.76]  y unas pantaletas
[1:03:28.76]-[1:03:30.76]  y se bailaba a la jota
[1:03:30.76]-[1:03:32.76]  ¿Aquí se bailaba a la jota?
[1:03:32.76]-[1:03:34.76]  ¿La cordión también lo tocaba?
[1:03:34.76]-[1:03:36.76]  Sí, también
[1:03:36.76]-[1:03:38.76]  Se divertía
[1:03:38.76]-[1:03:40.76]  no había
[1:03:40.76]-[1:03:42.76]  naves
[1:03:42.76]-[1:03:44.76]  que se obligaban
[1:03:44.76]-[1:03:46.76]  para conservar
[1:03:46.76]-[1:03:48.76]  pero había siempre una nave
[1:03:48.76]-[1:03:50.76]  a lo mejor estaba desocupado
[1:03:50.76]-[1:03:52.76]  porque todas hacíamos una fiesta allí
[1:03:52.76]-[1:03:54.76]  toda la juventud
[1:03:54.76]-[1:03:56.76]  y los que sabían tocar
[1:03:56.76]-[1:03:58.76]  ¿Y usted tocaba algún instrumento?
[1:03:58.76]-[1:04:02.76]  Yo no, yo tocaba el instrumento de las payas
[1:04:02.76]-[1:04:04.76]  Yo más que bailar
[1:04:04.76]-[1:04:06.76]  y apenas me podía cansar
[1:04:06.76]-[1:04:08.76]  ¿Y se dejaban enganchar?
[1:04:08.76]-[1:04:10.76]  Una me lavaba con dos
[1:04:10.76]-[1:04:12.76]  y otra se me dejaba
[1:04:12.76]-[1:04:14.76]  ¿Pero los dejaban ya ustedes solos
[1:04:14.76]-[1:04:16.76]  o llevaban carabinas?
[1:04:16.76]-[1:04:18.76]  No, no, no, no
[1:04:18.76]-[1:04:20.76]  los madres
[1:04:20.76]-[1:04:22.76]  de ellas iban mucho
[1:04:22.76]-[1:04:24.76]  y llevaban un picaruto
[1:04:24.76]-[1:04:26.76]  y no nada
[1:04:26.76]-[1:04:28.76]  ¿Ya teníó usted fama en el pueblo?
[1:04:28.76]-[1:04:30.76]  ¿Qué había dicho usted
[1:04:30.76]-[1:04:32.76]  para hablar de una fama?
[1:04:32.76]-[1:04:34.76]  Madre mía, ¿qué había dicho?
[1:04:34.76]-[1:04:36.76]  Que iba de flor en flor
[1:04:36.76]-[1:04:38.76]  ¿Tuvo usted muchas novias?
[1:04:38.76]-[1:04:40.76]  Más de 20
[1:04:40.76]-[1:04:42.76]  Pero tuve una reserva
[1:04:42.76]-[1:04:44.76]  desde que tenía 10 años
[1:04:44.76]-[1:04:46.76]  esa era la reserva
[1:04:46.76]-[1:04:48.76]  cuando tenía 10 años
[1:04:48.76]-[1:04:50.76]  ¿Que se conocieron en la escuela?
[1:04:50.76]-[1:04:52.76]  Y yo al lugar antes por ahí
[1:04:52.76]-[1:04:54.76]  cuando veía
[1:04:54.76]-[1:04:56.76]  lo que iban haciendo en una fiesta
[1:04:56.76]-[1:04:58.76]  que se abrió la huida
[1:04:58.76]-[1:05:00.76]  y yo digo, ¡ah si!
[1:05:00.76]-[1:05:02.76]  a la remantado
[1:05:02.76]-[1:05:04.76]  y yo estaba aquí con mi
[1:05:04.76]-[1:05:06.76]  y yo iba a la huida
[1:05:06.76]-[1:05:08.76]  y yo iba a la huida
[1:05:08.76]-[1:05:10.76]  ¿Lo dejó usted y de flor en flor?
[1:05:10.76]-[1:05:12.76]  No, no me dejó
[1:05:12.76]-[1:05:14.76]  lo fallábamos
[1:05:14.76]-[1:05:16.76]  pero enseguida cuando llegaba
[1:05:16.76]-[1:05:18.76]  a volar con el día
[1:05:18.76]-[1:05:20.76]  ¡Sáchate!
[1:05:20.76]-[1:05:22.76]  con brande en aquella época
[1:05:22.76]-[1:05:24.76]  y tuvia tampoco le dejaban a las mujeres hacer
[1:05:24.76]-[1:05:26.76]  nada, nada más que
[1:05:26.76]-[1:05:28.76]  hablar un rato
[1:05:28.76]-[1:05:30.76]  Sí, fue una chiste de jamás
[1:05:30.76]-[1:05:32.76]  eso era la chiste
[1:05:32.76]-[1:05:34.76]  igual
[1:05:34.76]-[1:05:36.76]  no te dejan de ver
[1:05:36.76]-[1:05:38.76]  que te dejan a jugar
[1:05:38.76]-[1:05:40.76]  y yo era de tuvaria
[1:05:40.76]-[1:05:42.76]  y yo era de puercer de los niños
[1:05:42.76]-[1:05:44.76]  se parió el termó todo
[1:05:44.76]-[1:05:46.76]  y yo, así, fui mujer
[1:05:46.76]-[1:05:48.76]  pero desde los 10 años, ¿de cuando?
[1:05:48.76]-[1:05:50.76]  Yo de niño, era un chiquito
[1:05:50.76]-[1:05:52.76]  y yo acababa de tirar una semana
[1:05:52.76]-[1:05:54.76]  o un mes con él
[1:05:54.76]-[1:05:56.76]  pero ahora escondía vivo
[1:05:56.76]-[1:05:58.76]  ¿Hasta qué te calzó?
[1:05:58.76]-[1:06:00.76]  Y un día me dijo
[1:06:00.76]-[1:06:02.76]  que viera conmigo y te voy a pedir a la flor
[1:06:02.76]-[1:06:04.76]  y ya no vamos a vivir
[1:06:04.76]-[1:06:06.76]  ¿Y se la llevó sin casarse de guitarra?
[1:06:06.76]-[1:06:08.76]  No, llevó una semana
[1:06:08.76]-[1:06:10.76]  y ya está viva
[1:06:10.76]-[1:06:12.76]  pero es mala mía
[1:06:12.76]-[1:06:14.76]  por semana mía y mía
[1:06:14.76]-[1:06:16.76]  y que eso se hace antes mucho, ¿verdad?
[1:06:16.76]-[1:06:18.76]  Madre, no te dejaba
[1:06:18.76]-[1:06:20.76]  no te dejaba, no tenía siete sopertas
[1:06:20.76]-[1:06:22.76]  querían llevarte a la pasealda
[1:06:22.76]-[1:06:24.76]  y todo, y no dejaba de salir
[1:06:24.76]-[1:06:26.76]  y yo estaba un cabreo
[1:06:26.76]-[1:06:28.76]  y yo
[1:06:28.76]-[1:06:30.76]  ¿o te quedas o te lleves?
[1:06:30.76]-[1:06:32.76]  y si no me llevo otro
[1:06:32.76]-[1:06:34.76]  y ya no
[1:06:34.76]-[1:06:36.76]  Y se osó de usted la carterera
[1:06:36.76]-[1:06:38.76]  y luego ya cuando hicieron
[1:06:38.76]-[1:06:40.76]  la boda, lo celebraron
[1:06:40.76]-[1:06:42.76]  ¿se celebraron entonces la boda o no?
[1:06:42.76]-[1:06:44.76]  Mi suero no me acuerdo
[1:06:44.76]-[1:06:46.76]  ¿El cabreo que tenías?
[1:06:46.76]-[1:06:48.76]  No, no, no, no
[1:06:48.76]-[1:06:50.76]  mi padre y mi madre lo hacían el rojo
[1:06:50.76]-[1:06:52.76]  ¿Y qué es lo que se hacía
[1:06:52.76]-[1:06:54.76]  para el convite entonces?
[1:06:54.76]-[1:06:56.76]  Joven
[1:06:56.76]-[1:06:58.76]  vino, cerveza, todo
[1:06:58.76]-[1:07:00.76]  y carne
[1:07:00.76]-[1:07:02.76]  ¿Parellas hacían también aquí?
[1:07:02.76]-[1:07:04.76]  Sí, sí
[1:07:04.76]-[1:07:06.76]  ¿Pachos también?
[1:07:06.76]-[1:07:08.76]  Las pachos, las amigas
[1:07:08.76]-[1:07:10.76]  ¿Pero las gachas amigas aquí
[1:07:10.76]-[1:07:12.76]  se hacen con harina
[1:07:12.76]-[1:07:14.76]  y con agua o se hacen con otra cosa?
[1:07:14.76]-[1:07:16.76]  Las gachas amigas
[1:07:16.76]-[1:07:18.76]  con agua
[1:07:18.76]-[1:07:20.76]  ¿Y con carne o sin agua?
[1:07:20.76]-[1:07:22.76]  Pestado, pestado
[1:07:22.76]-[1:07:24.76]  con tu vieja
[1:07:24.76]-[1:07:26.76]  cosas de las gachas amigas
[1:07:26.76]-[1:07:28.76]  cada uno se echaba un grito
[1:07:28.76]-[1:07:30.76]  si fue una fuente de dos
[1:07:30.76]-[1:07:32.76]  hay alguien que le gustan sobras
[1:07:32.76]-[1:07:34.76]  y él le gusta con carne
[1:07:34.76]-[1:07:36.76]  ¿Y si fueron ustedes de luna de miel
[1:07:36.76]-[1:07:38.76]  o no se estilaba así?
[1:07:38.76]-[1:07:40.76]  Yo sigo, me dieron un mes
[1:07:40.76]-[1:07:42.76]  ¿Un mes de luna de miel?
[1:07:42.76]-[1:07:44.76]  Me le ve 20.000 euros
[1:07:44.76]-[1:07:46.76]  ¿Andando?
[1:07:46.76]-[1:07:48.76]  75.000 pesos
[1:07:48.76]-[1:07:50.76]  ya tenemos los apelidos
[1:07:50.76]-[1:07:52.76]  ¿Y los me fueron?
[1:07:52.76]-[1:07:54.76]  Por ahí, cartagera
[1:07:54.76]-[1:07:56.76]  navegaste
[1:07:56.76]-[1:07:58.76]  no, no, fui un buen par de horas
[1:07:58.76]-[1:08:00.76]  y vos también tenías ni comida
[1:08:00.76]-[1:08:02.76]  ahora ni estuvimos
[1:08:02.76]-[1:08:04.76]  un mes
[1:08:04.76]-[1:08:06.76]  ¿Y al final hiciste la paz con su suegro?
[1:08:06.76]-[1:08:08.76]  Sí
[1:08:08.76]-[1:08:10.76]  Bueno, pues si, a ver, cuando se les fuera
[1:08:10.76]-[1:08:12.76]  me dejaban en verano y me dejaban en casa
[1:08:12.76]-[1:08:14.76]  y yo me quedé, pues se puso en el tema
[1:08:14.76]-[1:08:16.76]  Ay, ay
[1:08:16.76]-[1:08:18.76]  ¿Y después de eso
[1:08:18.76]-[1:08:20.76]  dejaban los curas casados
[1:08:20.76]-[1:08:22.76]  en la iglesia o no?
[1:08:22.76]-[1:08:24.76]  El primero fui yo
[1:08:24.76]-[1:08:26.76]  ¿El primero que lo creía se robó la huelga
[1:08:26.76]-[1:08:28.76]  usted?
[1:08:28.76]-[1:08:30.76]  Dice el cura que yo crecía que era una novia
[1:08:30.76]-[1:08:32.76]  que los casaba en el portal
[1:08:32.76]-[1:08:34.76]  y me dice el cura
[1:08:34.76]-[1:08:36.76]  digo, esta no es seria
[1:08:36.76]-[1:08:38.76]  que está claro que no es
[1:08:38.76]-[1:08:40.76]  que está claro que no es
[1:08:40.76]-[1:08:42.76]  no se puede hacer
[1:08:42.76]-[1:08:44.76]  es una tradición que traemos
[1:08:44.76]-[1:08:46.76]  que yo esa la caiga por pena
