[0:00:00.00]-[0:00:05.00]  No hagas preguntas comprometidas.
[0:54:15.00]-[0:54:22.00]  Los alientos luego se cogían y llegaban a la leña, comaban como leña y cosas de esas.
[0:54:22.00]-[0:54:24.00]  ¿Y para la vendimia?
[0:54:24.00]-[0:54:29.00]  Para la vendimia pues se llevaban puertas, mira, estos son puertas, de vendimia.
[0:54:29.00]-[0:54:33.00]  Y ahí se llevaban unas puertas, a lo mejor las llevaban entre dos,
[0:54:33.00]-[0:54:35.00]  cuando las llenaban pues las echaban a un juguete.
[0:54:35.00]-[0:54:37.00]  A lo mejor apretaban, a ser un billar,
[0:54:37.00]-[0:54:41.00]  apretaban y cuando había dos o catorce pues en un carro se echaban,
[0:54:41.00]-[0:54:45.00]  porque es que no cogían más y ahora pues en un trasto de están treinta.
[0:54:45.00]-[0:54:47.00]  ¿Y qué vendimiaban todos o...?
[0:54:47.00]-[0:54:50.00]  Pues todo lo que se tecía, por aquí todo lo que venía.
[0:54:50.00]-[0:54:52.00]  ¿A la ventimia?
[0:54:52.00]-[0:54:58.00]  Sí, aquí, ten en cuenta que este polo, y fijate tú que es un polo pequeño que puede tener...
[0:54:58.00]-[0:55:06.00]  dos mil habitantes y en cambio que cogía a lo mejor cinco o seis millones de kilos de agua.
[0:55:06.00]-[0:55:10.00]  Y eso había que cogerlo en un espacio de quince días,
[0:55:10.00]-[0:55:17.00]  porque se hace ya en el medio de octubre, expuesto a que llueva y sea mucho más costoso,
[0:55:17.00]-[0:55:18.00]  y eso tiene un tiempo.
[0:55:18.00]-[0:55:20.00]  O sea que hay que hacerlo...
[0:55:20.00]-[0:55:23.00]  Porque las actitudas eran igual, vamos, no es que fuera igual,
[0:55:23.00]-[0:55:26.00]  pero si no ibas hoy ibas mañana y si una actitud no se caía no pasaba nada.
[0:55:26.00]-[0:55:31.00]  Pues haría un poquito más trabajo cogerla, pero no, no se estropeaba como la uva,
[0:55:31.00]-[0:55:36.00]  que se reventaba y que se mosteaba y que iba a cogerla y se desgranaba y caía al suelo.
[0:55:36.00]-[0:55:38.00]  O sea que había que ir en su momento.
[0:55:38.00]-[0:55:43.00]  Sí, eso tenía un espacio de tiempo y era cuando se hacía.
[0:55:43.00]-[0:55:46.00]  Y entonces pues todo el mundo tenía corte.
[0:55:46.00]-[0:55:49.00]  Si venían de fuera, pues con pulanos,
[0:55:49.00]-[0:55:52.00]  porque todo el mundo solía meter los que podía con el fin de...
[0:55:52.00]-[0:55:59.00]  Bueno, en una semana pues había dos, y a lo mejor se habían cogido en esa casa 200.000 kilos de uva.
[0:55:59.00]-[0:56:02.00]  Y eso lo hacían entonces y lo hacen ahora.
[0:56:02.00]-[0:56:06.00]  Entonces había 40 bodegas y ahora pues hay dos,
[0:56:06.00]-[0:56:10.00]  está la cooperativa ahí, está el vino madril que está ahí,
[0:56:10.00]-[0:56:15.00]  que ya te lo dejan embotellado y ya esos son los procedimientos para hacerlo.
[0:56:15.00]-[0:56:21.00]  Porque ahora ya te hacen vino blanco, vino tinto, rosado, vino añejo...
[0:56:21.00]-[0:56:24.00]  ¿Y antes sólo hacían uno?
[0:56:24.00]-[0:56:28.00]  Pues antes se hacía el vino blanco y el tinto.
[0:56:28.00]-[0:56:31.00]  Y el vino rosado no...
[0:56:31.00]-[0:56:35.00]  El vino rosado no es más que aquí había muy buen vino tinto
[0:56:35.00]-[0:56:41.00]  y se le hecha una mezcla de blanco y tinto y le dejas en el color que quieras, que es un color clarito.
[0:56:41.00]-[0:56:44.00]  Ya eso es algo que ha venido después.
[0:56:44.00]-[0:56:47.00]  Sí, entonces las cosas ya las han sacado los químicos y eso.
[0:56:47.00]-[0:56:52.00]  Antes había pues hombres que tenían el instinto de que conocían las cepas
[0:56:52.00]-[0:56:55.00]  y hacían el vino muy bien y a lo mejor sabían él.
[0:56:55.00]-[0:56:59.00]  Y hoy ya pues tiene que ser un perito.
[0:56:59.00]-[0:57:02.00]  Y ese sabe que tiene esta acidez y que tiene que...
[0:57:02.00]-[0:57:05.00]  Antes era más o menos los que sabían.
[0:57:05.00]-[0:57:08.00]  Una cosa natural. El vino se hacía solo.
[0:57:08.00]-[0:57:13.00]  Mira, nosotros sacábamos un vino porque teníamos muy buenas uvas.
[0:57:13.00]-[0:57:20.00]  Y las uvas tintas por aquí era lo bueno y sacábamos un vino de este tipo de la mancha pero con 18 grados.
[0:57:20.00]-[0:57:22.00]  Y no sabíamos hacer vino.
[0:57:22.00]-[0:57:30.00]  Pero era más que las viñas fueran buenas, que tuvieran fondosidad, que estuvieran bien labradas y que fueran buenas.
[0:57:30.00]-[0:57:35.00]  Que le pillara también a la viña en una edad porque eso pasaba que en todo.
[0:57:35.00]-[0:57:38.00]  No tiene el mismo rendimiento pues eso.
[0:57:38.00]-[0:57:42.00]  Una mujer que tiene 60 años apando tuvo 20.
[0:57:42.00]-[0:57:45.00]  Pues para mí me lo ves y dices, esa mujer.
[0:57:45.00]-[0:57:47.00]  Y esa mujer creo que fue preciosa.
[0:57:47.00]-[0:57:52.00]  Cuando tenía 17 años no había trago regal y después hacía un rato feo, vayan a la edad, chao.
[0:57:52.00]-[0:57:55.00]  Y ahora tiene las típicas verrugas en la cara.
[0:57:55.00]-[0:57:58.00]  Y eso pasaba pues en la mitad de la edad igual.
[0:57:58.00]-[0:58:01.00]  ¿Y la uva entonces pisaba ustedes? ¿La uva?
[0:58:01.00]-[0:58:04.00]  La uva generalmente al principio.
[0:58:04.00]-[0:58:10.00]  Yo he visto en la bodega, ya que es la cooperativa, que la compró uno de Madrid que decía en el tiempo del amor.
[0:58:10.00]-[0:58:13.00]  Ese cuando llegaba la temporada la uva se pisaba.
[0:58:13.00]-[0:58:18.00]  Se quedaban descalzos, ya pasaba, estaban bailando y haciendo así, se pisaba la uva.
[0:58:18.00]-[0:58:26.00]  Y ahí ya traían los menos 25 golpillos de estos de Madrid que venían porque a la hora de comer, a la hora de comer, a cinco de los jugadores terminaban.
[0:58:26.00]-[0:58:29.00]  Y pisaban la uva a patas.
[0:58:29.00]-[0:58:33.00]  Y luego se apretaba con una prensa que se estaba bailando a mano.
[0:58:33.00]-[0:58:39.00]  Y hoy pues llega, vuelca la uva en un sitio donde lleva un sin fin.
[0:58:39.00]-[0:58:52.00]  Donde va entrando un chorro y sale por una prensa que sale más que el cubeto de gordo y sale la casca y no se toca a mano y se aprieta más.
[0:58:52.00]-[0:58:54.00]  Entonces antes traían gente para...
[0:58:54.00]-[0:58:56.00]  Y antes pues había mucha gente en eso.
[0:58:56.00]-[0:58:58.00]  Y se hacía a base de mano.
[0:58:58.00]-[0:59:00.00]  Los trasiegos pasaba igual.
[0:59:00.00]-[0:59:02.00]  ¿Qué son los trasiegos?
[0:59:02.00]-[0:59:04.00]  El trasiego era cambiar el vino de un lado para otro.
[0:59:04.00]-[0:59:15.00]  Pero como no existían ni las bombas, de una piel de cabra, las desmolvían, se les daba a pez y sacaban un pellejo que llamaban y cogían y ahí echaban a lo mejor 40 litros.
[0:59:15.00]-[0:59:20.00]  Y un hombre lo cogían entre dos, lo echaban así y salían andando y le llevaban otra tenaja.
[0:59:20.00]-[0:59:25.00]  Y se pasaba uno para mover, por merengue, a dos mil litros estaban entre dos todo el día.
[0:59:25.00]-[0:59:31.00]  Y hoy se coge, se echa una bomba y se lleva a medio kilómetro y se ha hecho en dos minutos.
[0:59:31.00]-[0:59:32.00]  Ya, ya.
[0:59:32.00]-[0:59:33.00]  Porque se tardaba un día.
[0:59:33.00]-[0:59:36.00]  ¿Y ya cuando tenían el vino en las bodegas, como en Cuba?
[0:59:36.00]-[0:59:40.00]  No, cuando se terminaba el vino en las bodegas eran tenajas.
[0:59:40.00]-[0:59:46.00]  Tenajas eran cosas de barro que venían a coger pues unas 300 arrobas que se hacían en Colmenar.
[0:59:46.00]-[0:59:52.00]  En Colmenar de Orejas era un sitio donde tenían un barro especial para tenajas y además había gente que lo sabía hacer.
[0:59:52.00]-[0:59:57.00]  Luego después vinieron desde un momento armado los conos y luego después pues ya venían.
[0:59:57.00]-[0:59:58.00]  ¿Y los fríos hay?
[0:59:58.00]-[1:00:05.00]  Hay, hay y hacer inoxidable pues hay unos depósitos que cogen a lo mejor 200 mil litros cada día.
[1:00:05.00]-[1:00:06.00]  Ya, ya, ya.
[1:00:06.00]-[1:00:07.00]  Pero antes eran de barro.
[1:00:07.00]-[1:00:08.00]  Antes eran de barro.
[1:00:08.00]-[1:00:10.00]  ¿Y qué estaban, en bodegas, están por el monte o...?
[1:00:10.00]-[1:00:14.00]  No, no, en bodegas dentro de los pueblos, el Naves, ahí abajo estaba la bodega.
[1:00:14.00]-[1:00:21.00]  Y generalmente tenía pues como aquí hay una cueva que es como si dijéramos una boca del metro de Madrid.
[1:00:21.00]-[1:00:24.00]  Y ahí había depósitos grandes para la conservación del vino.
[1:00:24.00]-[1:00:26.00]  Hoy ya tienes cámaras.
[1:00:26.00]-[1:00:29.00]  ¿Y cómo eran esos sitios para conservar el vino?
[1:00:29.00]-[1:00:32.00]  ¿Que vendían ahí las tinanzas y dejaban un año o cómo?
[1:00:32.00]-[1:00:43.00]  No, no, no, ahí se cogía y cuando el vino caía, porque el vino fermenta y va subiendo, va subiendo y entonces se le pincha y se mueve muchas veces con el fin de que no se reseque.
[1:00:43.00]-[1:00:48.00]  Y luego ya cuando vienen los hielos pues cae y entonces se traslíga.
[1:00:48.00]-[1:00:53.00]  Y se echaba una canilla abajo que llaman y sale el vino claro.
[1:00:53.00]-[1:01:03.00]  Y ya se mete para conservarlo, se metía en esos sitios así porque era bueno que estuviera por ejemplo que no pasara de 8 grados de calor.
[1:01:03.00]-[1:01:10.00]  Y hoy ya no, hoy ya lo primero tienes productos químicos donde lo mismo da que se calienten que no.
[1:01:10.00]-[1:01:13.00]  Todo el vino sale igual que antes no salía igual.
[1:01:13.00]-[1:01:23.00]  Salía uno mejor que otro pero no salía igual y hoy te sale igual porque en un depósito de esos solos pues meten a lo mejor 200 mil o 400 mil.
[1:01:23.00]-[1:01:32.00]  A lo mejor una bodega tiene 5 o 6 depósitos de esos y hace 3 millones de kilos de cepas, de uvas.
[1:01:32.00]-[1:01:43.00]  Y antes guardaban uva en casa para todos.
[1:01:43.00]-[1:01:49.00]  Antes llegaban y una casa pues a lo mejor que fuera 4 o 5 conservaban.
[1:01:49.00]-[1:01:54.00]  Y metían así en cuerdas que se colgaban a lo mejor 80 kilos de uvas.
[1:01:54.00]-[1:01:57.00]  Y después lo comían como postres.
[1:01:57.00]-[1:02:04.00]  Y ahora pues son 4 y yo quiero naranja, el otro quiere cuve y el otro le gustan las peras o un plátano.
[1:02:04.00]-[1:02:06.00]  Y antes lo que había era uva.
[1:02:06.00]-[1:02:11.00]  Claro, lo que había era uva porque como se vivía mal, pues qué te voy a decir.
[1:02:11.00]-[1:02:15.00]  Yo lo he visto de chico y ya te digo que yo soy de los que me he creado bien.
[1:02:15.00]-[1:02:19.00]  Pero yo lo he visto aquí de chico que las cosas no se comproban más que las que no se tenían.
[1:02:19.00]-[1:02:24.00]  Aquí no venían vendedores ambulantes como viven ahora todos los jueves que trajeran peras.
[1:02:24.00]-[1:02:31.00]  Pues el que tenía un botecito ahí y tenía un peral pero el binario no siento que estuviera malo.
[1:02:31.00]-[1:02:35.00]  Mira, de aquí era el dueño, fíjate lo que te voy a decir.
[1:02:35.00]-[1:02:40.00]  De aquí era el dueño de la fábrica de cervezas Mao.
[1:02:40.00]-[1:02:45.00]  Y era un hombre rico que se casó con una mujer así y era un hombre muy rico.
[1:02:45.00]-[1:02:52.00]  Y se ponía el médico, se ponía a uno malo y comía una cosa para reconstituyente.
[1:02:52.00]-[1:02:57.00]  Decía el médico, ¿quiere usted que tomara unos botellines de cerveza o unas botellas de cerveza?
[1:02:57.00]-[1:03:03.00]  Que iba en casa de Mao, del dueño este de la fábrica Mao, y como era un hombre rico,
[1:03:03.00]-[1:03:06.00]  y eran casos que no se daban mucho y siempre mandaban por un médico,
[1:03:06.00]-[1:03:12.00]  pues llegaba y decía, mira usted venimos a ver si nos puede usted vender, por ejemplo, seis botellas.
[1:03:12.00]-[1:03:17.00]  Es que está mi padre malo y cogía ahí, si quería seis te daba ocho, pero te las regalaba.
[1:03:17.00]-[1:03:24.00]  Porque era generoso, porque era gente, mira, yo una vez me acuerdo que criábamos nosotros conejos,
[1:03:24.00]-[1:03:29.00]  teníamos nosotros ahí un corral y habíamos los menos 200 conejos.
[1:03:29.00]-[1:03:37.00]  Y la mujer de Carlos Mao, de una hija de la que se casó aquí, de la dueña, del dueño,
[1:03:37.00]-[1:03:44.00]  la mujer y un hijo del dueño, pues era una especialidad, tirando con escopeta era un linde.
[1:03:44.00]-[1:03:50.00]  Y me acuerdo que siempre, pues todo era en rebeldía, así la miraba con respeto y eso.
[1:03:50.00]-[1:03:58.00]  Y tenía unos 35 años o algo así, iba de paseo un día con su marido,
[1:03:58.00]-[1:04:03.00]  y decía mi madre, lo que valgan los conejos después de lo que nos comamos nosotros, para vosotros.
[1:04:03.00]-[1:04:06.00]  Vale, a lo mejor vos presentas.
[1:04:06.00]-[1:04:10.00]  Y pasaba ella y estaba la puerta abierta y la vio, y claro con esa autoridad también.
[1:04:10.00]-[1:04:15.00]  Voy a tirar, a matar a aquel conejo, por ejemplo, a tirarle al gato aquel,
[1:04:15.00]-[1:04:21.00]  y tirarle que le dieran el ojo izquierdo, y era una especialidad así la que tenía.
[1:04:21.00]-[1:04:27.00]  Y cogió y tiró a un conejo, a uno le dio un mojo, a otro le dio una sellita, le tenía las lentes,
[1:04:27.00]-[1:04:29.00]  y los mató a los dos.
[1:04:29.00]-[1:04:35.00]  Y valían los conejos dos pesetas, y nosotros como era ella, pues no nos atrevimos a decir nada.
[1:04:35.00]-[1:04:46.00]  Y luego cuando terminó, pues nosotros no nos atrevíamos ni a decir lo que nos iban a quedar por los conejos.
[1:04:46.00]-[1:04:48.00]  Le decía, ¿a las que queréis ir por los conejos?
[1:04:48.00]-[1:04:51.00]  Y ella dice, no, no nos atrevimos a hablar.
[1:04:51.00]-[1:04:58.00]  Y ahí va otro conejo y dice, mira pues, vale un conejo dos pesetas, a todos los honduros,
[1:04:58.00]-[1:05:05.00]  y en el puesto de Bebanus nos dio dos.
[1:05:05.00]-[1:05:08.00]  Claro, los conejos eran de ella, porque los conejos eran mentiros,
[1:05:08.00]-[1:05:14.00]  pero luego ya ella se fue, cogió y se iba, y nosotros nos dieron los carnes y dice,
[1:05:14.00]-[1:05:17.00]  ¿quiere usted que se los llevemos a su casa?
[1:05:17.00]-[1:05:21.00]  Y dice, mi hermano, ya te digo con respeto que tú te hagas de la mujer.
[1:05:21.00]-[1:05:27.00]  Y dice, no, no, si yo no quiero los conejos, los conejos los cogís ahora y se los lleváis a tu madre,
[1:05:27.00]-[1:05:30.00]  para que os lo hagas vosotros para cenar o para hacerme el otro día.
[1:05:30.00]-[1:05:36.00]  Y ella no quería más el capricho y estaba, que yo pues, nos pidimos nosotros loco de contentos.
[1:05:36.00]-[1:05:39.00]  Nosotros no sabíamos lo que valían los conejos y además no sabíamos los conejos.
[1:05:39.00]-[1:05:45.00]  Pero te quería decir que eso es que vivía mal.
[1:05:45.00]-[1:05:50.00]  Pero en el pueblo había cosas, ¿no había... hay otros pueblos que estaban peor por aquí cerca?
[1:05:50.00]-[1:05:54.00]  No, sí, este es el pueblo que, dentro de lo mal, el pueblo que mejor ha vivido aquí.
[1:05:54.00]-[1:06:00.00]  Por aquí, porque era el pueblo que ricos menos tenía y pobres, pobres no tenía.
[1:06:00.00]-[1:06:06.00]  Aquí, pues qué te voy a decir, no vivía nadie en una casa en renta, porque todo el mundo tenía su casita.
[1:06:06.00]-[1:06:11.00]  Aquí sembraba y si no sembraba, pues luego después, como se criaba de todo,
[1:06:11.00]-[1:06:17.00]  pues se aprovechaba los garbanzos, iba la mujer a buscar garbanzos y había cogido garbanzos para ella,
[1:06:17.00]-[1:06:23.00]  cogió, por ejemplo, 15 o 20 kilos que tenían para el año y cosas de esas así.
[1:06:23.00]-[1:06:27.00]  Todo el mundo sembraba alguna cotita, aunque no fuera más que para ellos.
[1:06:27.00]-[1:06:34.00]  Y era el pueblo que mejor se vivía, pero dentro de lo que se vivía, se vivía mal.
[1:06:34.00]-[1:06:39.00]  Ahora, lo que se vivía era con más orden.
[1:06:39.00]-[1:06:41.00]  Con más orden.
[1:06:41.00]-[1:06:45.00]  Sí, con más orden que se vivía hoy y con más respeto.
[1:06:45.00]-[1:06:47.00]  Con más respeto.
[1:06:47.00]-[1:06:57.00]  Si cuando una mujer, yo mismo, ya tengo 75 años, pero si cuando yo tenía 18 años,
[1:06:57.00]-[1:07:05.00]  una chica, como salen ahora en el verano todas, pues un pantaloncito y va a enseñar así el ombligo.
[1:07:05.00]-[1:07:12.00]  A aquella se le había sacado hasta unas compras y hoy es una cosa general.
[1:07:12.00]-[1:07:20.00]  Hasta que te vienes de vida y hasta en la manera de hablar, no es retería cultural, pero rezao más preparado.
[1:07:20.00]-[1:07:23.00]  Yo no veía, no me acuerdo nunca de presencia ahí.
[1:07:23.00]-[1:07:27.00]  Yo tenía amistades con chicas y con las de ellas, de que dijera una,
[1:07:27.00]-[1:07:34.00]  joder, él está tiqueto, como te lo dice hoy una chica que ha terminado económica o ha terminado la carrera de medicina,
[1:07:34.00]-[1:07:37.00]  pero coño, siempre está igual.
[1:07:37.00]-[1:07:46.00]  Esa manera de hablar, no, no, es que eso es así, yo no sé si vos sos padre o vuestras abuelas se han hablado a vosotros alguna vez, pero que eso es así.
[1:07:46.00]-[1:07:51.00]  Y se vivía mal, pero se vivía con más orden.
[1:07:51.00]-[1:07:54.00]  Pues...
[1:07:54.00]-[1:08:03.00]  Porque ya te digo, yo hasta ahora no conocía yo que había vida aquí, pues, drogaos,
[1:08:03.00]-[1:08:09.00]  que hay como uno que pega una puñala a un taxista y le mato, pues nada más que por robar y correr desde ahí.
[1:08:09.00]-[1:08:12.00]  Aquí no, esto es lo de Madrid.
[1:08:12.00]-[1:08:15.00]  ¿Y cómo eran las bodas?
[1:08:15.00]-[1:08:25.00]  La boda se hacía un novio de ella, y así estabas hablando a lo mejor tres o cuatro años, y luego a los tres o cuatro años te casabas.
[1:08:25.00]-[1:08:28.00]  ¿Y qué regalos daba el novio a la novia?
[1:08:28.00]-[1:08:37.00]  Uy, pues poco, porque cuando no había, decían, le ha dado, pues no creas tú, bien se ve que en su casa funcionan bien,
[1:08:37.00]-[1:08:42.00]  que le han dado de vista mil pesetas, para que le comprara todos los muebles, mil pesetas, por ejemplo.
[1:08:42.00]-[1:08:48.00]  Eso era lo rico, para que le comprara muebles y todo lo que debiera decir, porque tú, mírate lo que podía hacer.
[1:08:48.00]-[1:08:52.00]  Hola, ¿qué le joro?
[1:08:52.00]-[1:08:55.00]  Y en cambio, pues ahí se vive de esa manera.
[1:08:55.00]-[1:08:59.00]  ¿Y los que tenían menos, qué regalos hacían?
[1:08:59.00]-[1:09:01.00]  Pues los que tenían menos, pues menos.
[1:09:01.00]-[1:09:06.00]  Mira, nosotros teníamos un peón, que era muy bueno, un peón era un obrero que trabajaba muchas veces con nosotros,
[1:09:06.00]-[1:09:19.00]  y decía, pues yo digo la verdad, cuando me casé, a recogí, decía él, de regalos tres duros, que había recogido.
[1:09:19.00]-[1:09:29.00]  Dice, a otro día de casarme, porque lo que hacen los viajes de novio era a lo mejor a ver a sus tías y vivían tan por el, a diez kilómetros,
[1:09:29.00]-[1:09:34.00]  dice, a otro día de casarme, no tenía el jornal, me bajé a buscar setas.
[1:09:34.00]-[1:09:39.00]  Y cogió setas y subió para comer setas, por otro si sabéis lo que son las setas.
[1:09:39.00]-[1:09:44.00]  Bueno, daba a tu madre y a mi madre, y así se apayó.
[1:09:44.00]-[1:09:50.00]  Y luego a los tres o cuatro días, pues, me dijo Julano, ¿Quieres venir a trabajar conmigo?
[1:09:50.00]-[1:09:52.00]  Y ya nos fue a trabajar de ordinario.
[1:09:52.00]-[1:09:59.00]  Y otro le digo un día, digo, tío Mariano, porque aquí se decía, no señor Mariano, sino tío Mariano mucho,
[1:09:59.00]-[1:10:03.00]  digo tío Mariano, si no se enfada usted, le pregunto una cosa.
[1:10:03.00]-[1:10:08.00]  Y el hombre que era muy vivo, era uno que le habían traído de la inclusa, se había creado aquí,
[1:10:08.00]-[1:10:16.00]  dice, yo no me enfado Paco, aunque me preguntes por qué me llaman bailarín, y precisamente le iba a preguntar.
[1:10:16.00]-[1:10:21.00]  ¿Qué le decían a este tío bailarín? Digo, ¿Por qué le decían a este tío bailarín?
[1:10:21.00]-[1:10:26.00]  Dice, pues mira, porque yo pasaba tanto hambre, que entonces cuando llegaba la primavera,
[1:10:26.00]-[1:10:32.00]  como era tanta gente a trabajar al campo, se juntaban y, ¿Dónde vas? Pues a tal sitio, a ver si comemos juntos.
[1:10:32.00]-[1:10:35.00]  Y se juntaban a lo mejor cinco o seis a comer en el mismo sitio.
[1:10:35.00]-[1:10:40.00]  Y cuando llegaba la hora a comer, pues el linario les llevaban cocido,
[1:10:40.00]-[1:10:48.00]  y yo me iba por allí donde estaban ellos y decía, si me dais dos ropas de galvanzo, bailo.
[1:10:48.00]-[1:10:53.00]  Y había muchos que dijeron, así atraten y come, o toma las ropas de galvanzo y no bailes en linario.
[1:10:53.00]-[1:11:00.00]  Yo no sabía bailar, iba a trabajar ahí, hacia lo que podía, viste, descalzo, viste y no.
[1:11:00.00]-[1:11:04.00]  Y fíjate tú, a lo que diga que me dice, que me dice una cosa que no se ha dicho a nadie.
[1:11:04.00]-[1:11:07.00]  Digo, ¿Qué me vas a decirte?
[1:11:07.00]-[1:11:15.00]  Dice, cuando yo me casé, ese era en unos pantalones de espana, pero no tenía cartoncillos.
[1:11:15.00]-[1:11:20.00]  Dice, la noche de novio, cuando llegaba la hora de acostarse con la mujer y eso, pues,
[1:11:20.00]-[1:11:28.00]  es que a mí me parecía muy duro, y estaba trabajando con el tío Fulano, y me dejaron unos cartoncillos de chico.
[1:11:28.00]-[1:11:32.00]  Y me quité los pantalones y llevaba cartoncillos.
[1:11:32.00]-[1:11:38.00]  Dice, pero ya cuando llevaba cuatro o cinco días, se notó que decía la mujer, la mujer cogió, lavó los pantalones de Dios,
[1:11:38.00]-[1:11:42.00]  y fuimos a llevárselos al otro, y yo seguía sin cartoncillos.
[1:11:42.00]-[1:11:48.00]  Porque le dije un día, digo, coño, que más lo haces usted, y estoy más contento que una foscua.
[1:11:48.00]-[1:11:50.00]  Dice, ¿Qué me vas a decir?
[1:11:50.00]-[1:11:56.00]  Dice, mira, el primer jefe que he tenido en toda mi vida, porque la mujer y un chico,
[1:11:56.00]-[1:12:01.00]  pues yo no sé qué, ya sabía hacer el punto, y no tenía mucho cabello, y dije, bueno, voy a hacer el jefe.
[1:12:01.00]-[1:12:05.00]  Y yo dije, cuando tenía ella, pues a lo mejor 75 años,
[1:12:05.00]-[1:12:10.00]  y estaba tan contento porque había hecho el primer jefe de toda su vida.
[1:12:10.00]-[1:12:18.00]  Y así, dice, yo cerramos unos pantalones de espana, cuando se casó, y eso que lo demás tampoco.
[1:12:18.00]-[1:12:23.00]  Y en cambio aquel hombre era un bueno santo, que era para haber dicho, así se prenden Dios y su Padre,
[1:12:23.00]-[1:12:29.00]  con todo lo que yo estoy pasando, porque se muera todo Cristo aquí, y era una buena persona.
[1:12:29.00]-[1:12:34.00]  Y ahora que tiene razón para ser buena persona, pues está deseando de hacer una faena.
[1:12:38.00]-[1:12:41.00]  Pues nos ha hablado de muchísimas cosas.
[1:12:41.00]-[1:12:45.00]  No, yo os he dicho lo que es la vida, lo que era la vida en el pueblo,
[1:12:45.00]-[1:12:53.00]  y lo que eran las comidas, que comían mucha tacha, pero acá era harina de almuerzas,
[1:12:53.00]-[1:12:56.00]  que se hacía mucho y era muy barata.
[1:12:56.00]-[1:13:00.00]  Y a lo mejor una cosa que había 20 de diciembre comían 5 o 6.
[1:13:00.00]-[1:13:04.00]  Y las bodas duraban más de un día, ¿no?
[1:13:04.00]-[1:13:08.00]  No, las bodas según tu día, pero de ordinaria era un día, pero las bodas se hacían.
[1:13:08.00]-[1:13:10.00]  ¿Qué te crees que era un menú de las bodas?
[1:13:10.00]-[1:13:16.00]  Pues por ejemplo, cocidos, o pepitoria, porque tenían a lo mejor en casa de la novia
[1:13:16.00]-[1:13:22.00]  8 o 10 gallinas que eran viejas ya, y esos días hacían muy buenas pepitorias, o patatas quizás.
[1:13:22.00]-[1:13:28.00]  O se tenían natillas, otra cosa así, no creas tú que las bodas se ponían como ahora,
[1:13:28.00]-[1:13:32.00]  que va a ser una boda y da no sé qué, como se tiran las cosas.
[1:13:32.00]-[1:13:37.00]  Otro día estuve yo, precisamente en el restaurante Torres, ahí en la plaza Toros, en Madrid,
[1:13:37.00]-[1:13:41.00]  donde se casó el hijo mío, y se casaba la hija de una sobrina mía,
[1:13:41.00]-[1:13:49.00]  y nos llevaban las gambas peladas, y las gambas se llevaban a las relaciones de gambas que no las querían nadie.
[1:13:49.00]-[1:13:53.00]  Y cosas de esas así, el destrozo que hay hoy.
[1:13:53.00]-[1:13:58.00]  Llegaba uno y a lo mejor el bonito, que estaba tan bueno, coge un poquito,
[1:13:58.00]-[1:14:01.00]  yo no quiero más, no me pongas esta mierda.
[1:14:01.00]-[1:14:06.00]  Y lo dejaba, y eso iba algo como la basura, porque lo veía yo cuando lo recogían los camareras,
[1:14:06.00]-[1:14:10.00]  ah, está ahí, entonces no se vivía así.
[1:14:10.00]-[1:14:18.00]  Ahora, no viviéndose así, pues llegaba, y tal como esta casa la compró mi madre.
[1:14:18.00]-[1:14:23.00]  Y costó 75 mil pesetas toda esta casa, con 90 metros cuadrados que tiene por ahí,
[1:14:23.00]-[1:14:30.00]  una casa que tiene por lo menos 20 habitaciones, o más, y esa la compró mi madre.
[1:14:30.00]-[1:14:33.00]  Agarrando por menos en el lado real estos días.
[1:14:33.00]-[1:14:39.00]  Y hoy, pues mira, esa es una chica mía, que va por menos en la vida de una amiga ahora un poco,
[1:14:39.00]-[1:14:42.00]  y para eso tiene que coger un coche.
[1:14:42.00]-[1:14:48.00]  ¿Y usted a su mujer, qué regalo a su mujer, cuando se iban a casar y eso?
[1:14:48.00]-[1:14:52.00]  Bueno, cuando yo me casé ya eran otras, ya se vivía bien.
[1:14:52.00]-[1:14:54.00]  ¿Y qué regalo...?
[1:14:54.00]-[1:14:58.00]  Cuando yo me casé, pues a mi mujer tenía un buen regalo,
[1:14:58.00]-[1:15:01.00]  porque a mi mujer la compré unos pendientes preciosos,
[1:15:01.00]-[1:15:07.00]  y una pulgera de oro que pesaba cuarto kilo y un reloj de oro lo mismo,
[1:15:07.00]-[1:15:09.00]  y cosas de esas así, que no...
[1:15:09.00]-[1:15:12.00]  Y ya cuando yo me casé ya era diferente.
[1:15:12.00]-[1:15:15.00]  Pues nos vamos a ir ya, muchas gracias.
[1:15:15.00]-[1:15:18.00]  Bueno, pues yo creo que os he informado en lo que os he informado.
[1:15:18.00]-[1:15:19.00]  ¿Usted ha vivido?
[1:15:19.00]-[1:15:20.00]  Sí.
[1:15:20.00]-[1:15:21.00]  ¿Y sus padres también eran de aquí?
[1:15:21.00]-[1:15:24.00]  Y mis padres eran de aquí.
[1:15:24.00]-[1:15:29.00]  Y mi mujer igual, ha vivido aquí siempre, y sus padres eran de aquí.
[1:15:29.00]-[1:15:32.00]  Los abuelos ni de ella ni de los míos eran de aquí.
[1:15:32.00]-[1:15:36.00]  Y vienen uno de Fuentilueña y otro de la parte de Guadalajara.
[1:15:36.00]-[1:15:41.00]  Y el apellido mío no es de Guadalajara, está de Amergo.
[1:15:41.00]-[1:15:47.00]  Todo el de Guadalajara es de la misma familia, de Alamanca.
