[0:00:00.00]-[0:00:02.00]  ¿Queréis que la come?
[0:53:59.00]-[0:54:01.00]  Así tiene.
[0:54:01.00]-[0:54:03.00]  Y muchas ovejas que hay en este pueblo.
[0:54:03.00]-[0:54:05.00]  Que le digo que...
[0:54:05.00]-[0:54:07.00]  Que tenemos que cerrar las ventanas y mediar brilas.
[0:54:07.00]-[0:54:09.00]  De los olores que tenemos a ovejas y tocino.
[0:54:11.00]-[0:54:13.00]  Hay algún campo que a ver si lo labra
[0:54:13.00]-[0:54:15.00]  el pichón.
[0:54:15.00]-[0:54:17.00]  Que me viene un olor que no puedo abrir las ventanas.
[0:54:19.00]-[0:54:21.00]  ¿Qué vamos a hacer?
[0:54:21.00]-[0:54:23.00]  Aún tenemos buena idea.
[0:54:23.00]-[0:54:25.00]  Pero cuando echan el fimo
[0:54:25.00]-[0:54:27.00]  tienen que envolverlo
[0:54:27.00]-[0:54:29.00]  antes de las 40 horas.
[0:54:29.00]-[0:54:31.00]  Y los tocinos igual echan este pulín que hay.
[0:54:31.00]-[0:54:33.00]  Bueno, si vosotros no lo habéis oído.
[0:54:33.00]-[0:54:35.00]  ¿Usted cuántos años tiene?
[0:54:35.00]-[0:54:37.00]  Porque está muy bien, ¿eh?
[0:54:37.00]-[0:54:39.00]  Sí, pues tengo 87.
[0:54:39.00]-[0:54:41.00]  Fíjese, pero tiene su cabeza muy entera, ¿eh?
[0:54:41.00]-[0:54:43.00]  Está muy, muy bien.
[0:54:43.00]-[0:54:45.00]  Parece mucho más joven.
[0:54:45.00]-[0:54:47.00]  Pues yo soy muy joven
[0:54:47.00]-[0:54:49.00]  y trabaja.
[0:54:49.00]-[0:54:51.00]  Yo he trabajado mucho.
[0:54:53.00]-[0:54:55.00]  Y conservo uno mejor.
[0:54:55.00]-[0:54:57.00]  Esta tiene unas manos.
[0:54:57.00]-[0:54:59.00]  Y hacen de todo.
[0:54:59.00]-[0:55:01.00]  Y hacer salsicicos para niños, de chaqueta.
[0:55:01.00]-[0:55:03.00]  Hacimos con todo el mundo un gorjero.
[0:55:05.00]-[0:55:07.00]  Lo que han hecho la hija y esta de ejercerse a la máquina.
[0:55:07.00]-[0:55:09.00]  Que también tiene una máquina de...
[0:55:09.00]-[0:55:11.00]  De hacer ejercer.
[0:55:11.00]-[0:55:13.00]  Y trabajando para hacer cosas bonitas.
[0:55:17.00]-[0:55:19.00]  Han hecho de todo.
[0:55:19.00]-[0:55:21.00]  De todo, más que del campo.
[0:55:21.00]-[0:55:23.00]  Sí.
[0:55:23.00]-[0:55:25.00]  Porque teníamos el teléfono
[0:55:25.00]-[0:55:27.00]  y lo tuvimos 25 años.
[0:55:27.00]-[0:55:29.00]  ¿Y el teléfono?
[0:55:29.00]-[0:55:31.00]  25 años desde que lo pusieron
[0:55:31.00]-[0:55:33.00]  hasta que lo pusieron automático.
[0:55:35.00]-[0:55:37.00]  Y entonces trabajábamos cosas finas.
[0:55:37.00]-[0:55:39.00]  Os he contado eso.
[0:55:39.00]-[0:55:41.00]  Hago jabón y hago mazaba
[0:55:41.00]-[0:55:43.00]  y todo que queráis.
[0:55:43.00]-[0:55:45.00]  Pero trabajábamos para Zaragoza.
[0:55:47.00]-[0:55:49.00]  Y mi chica se ha examinado en Madrid
[0:55:49.00]-[0:55:51.00]  con el albuna haciéndolo ella.
[0:55:51.00]-[0:55:53.00]  Y han aprobado.
[0:55:53.00]-[0:55:55.00]  En Madrid, algunas.
[0:55:55.00]-[0:55:57.00]  Han aprobado con las manos de mi chica.
[0:55:59.00]-[0:56:01.00]  Así que del mundo
[0:56:01.00]-[0:56:03.00]  ya no se puede contar más que.
[0:56:03.00]-[0:56:05.00]  Ahora nada.
[0:56:05.00]-[0:56:07.00]  Como otra cosa no lo tenían, pues...
[0:56:07.00]-[0:56:09.00]  Viva.
[0:56:09.00]-[0:56:11.00]  Pues muchas gracias.
[0:56:11.00]-[0:56:13.00]  De nada.
[0:56:13.00]-[0:56:15.00]  ¿No les he dicho que no se llama la peli?
[0:56:15.00]-[0:56:17.00]  Sí.
[0:56:21.00]-[0:56:23.00]  Pues encantada.
[0:56:23.00]-[0:56:25.00]  Muchísimas gracias.
[0:56:25.00]-[0:56:27.00]  Luego vendrá mi chica y si venís a
[0:56:27.00]-[0:56:29.00]  a verla otra vez,
[0:56:29.00]-[0:56:31.00]  ella se os contará de la vida de ahora.
[0:56:31.00]-[0:56:33.00]  Que la vida de Zaragoza
[0:56:33.00]-[0:56:35.00]  lleva 16 años y también la sabe.
[0:56:35.00]-[0:56:37.00]  Pero mi chica con mucho eso.
[0:56:37.00]-[0:56:39.00]  Porque hasta siempre
[0:56:39.00]-[0:56:41.00]  estuvo 14 años con las monjas
[0:56:41.00]-[0:56:43.00]  que iban a Tramacastilla.
[0:56:43.00]-[0:56:45.00]  Otra de aquí.
[0:56:45.00]-[0:56:47.00]  Y ella, para que hacían
[0:56:47.00]-[0:56:49.00]  para los pobres
[0:56:49.00]-[0:56:51.00]  que llevaban chicos
[0:56:51.00]-[0:56:53.00]  a Tramacastilla.
[0:56:53.00]-[0:56:55.00]  Las mongicas.
[0:56:55.00]-[0:56:57.00]  Y las mongicas
[0:56:57.00]-[0:56:59.00]  para ella
[0:56:59.00]-[0:57:01.00]  son las madres.
[0:57:01.00]-[0:57:03.00]  Y ya te digo.
[0:57:03.00]-[0:57:05.00]  Esa es nuestra vida,
[0:57:05.00]-[0:57:07.00]  pero tranquila y bien.
[0:57:07.00]-[0:57:09.00]  ¿Y su hija va a venir hoy porque es sábado?
[0:57:09.00]-[0:57:11.00]  ¿Su hija viene hoy porque es fin de semana?
[0:57:11.00]-[0:57:13.00]  Mi hija no viene,
[0:57:13.00]-[0:57:15.00]  tiene calderas
[0:57:15.00]-[0:57:17.00]  que está de portera.
[0:57:17.00]-[0:57:19.00]  Y hasta junio,
[0:57:19.00]-[0:57:21.00]  para junio vendrá.
[0:57:21.00]-[0:57:23.00]  Estuvo el día San Jorge
[0:57:23.00]-[0:57:25.00]  que subió con sus hijas
[0:57:25.00]-[0:57:27.00]  y sus yernas.
[0:57:27.00]-[0:57:29.00]  Y ya está.
[0:57:29.00]-[0:57:31.00]  Y sus yernas.
[0:57:31.00]-[0:57:33.00]  Pero se fueron,
[0:57:33.00]-[0:57:35.00]  pero está mi yerno.
[0:57:35.00]-[0:57:37.00]  Está aquí mi yerno
[0:57:37.00]-[0:57:39.00]  que tenemos huertas.
[0:57:39.00]-[0:57:41.00]  Tiene que ir a la huerta.
[0:57:41.00]-[0:57:43.00]  Nosotros no hemos trabajado en la huerta.
[0:57:43.00]-[0:57:45.00]  Teníamos campos,
[0:57:45.00]-[0:57:47.00]  pero nosotras no hemos trabajado en la huerta.
[0:57:47.00]-[0:57:49.00]  Nosotras trabajábamos nuestros mondongos
[0:57:49.00]-[0:57:51.00]  y eso sí.
[0:57:51.00]-[0:57:53.00]  Eso siempre nosotras.
[0:57:53.00]-[0:57:55.00]  Pero el campo no.
[0:57:55.00]-[0:57:57.00]  El campo no. Ustedes la huerta no.
[0:57:57.00]-[0:57:59.00]  El año pasado,
[0:57:59.00]-[0:58:01.00]  el pedrillo nos cogimos
[0:58:01.00]-[0:58:03.00]  todas almendras y todas uvas.
[0:58:03.00]-[0:58:05.00]  Porque mira,
[0:58:05.00]-[0:58:07.00]  sí no.
[0:58:07.00]-[0:58:09.00]  Pero hay que saberla todo.
[0:58:09.00]-[0:58:11.00]  Sí, claro, hay que saber todo.
[0:58:11.00]-[0:58:13.00]  Sí, sí.
[0:58:21.00]-[0:58:23.00]  Vale, vale, vale.
[0:58:23.00]-[0:58:25.00]  Vale.
[0:58:25.00]-[0:58:27.00]  Muchas gracias.
[0:58:27.00]-[0:58:29.00]  Que tengáis suerte en lo que estábais aquí.
[0:58:29.00]-[0:58:31.00]  Muchas gracias.
[0:58:31.00]-[0:58:33.00]  Mis hijas también trabajan.
[0:58:33.00]-[0:58:35.00]  Una de las costuras,
[0:58:35.00]-[0:58:37.00]  que fue en una empresa,
[0:58:37.00]-[0:58:39.00]  pero lleva la contabilidad de la empresa.
[0:58:39.00]-[0:58:41.00]  Ah, muy bien.
[0:58:41.00]-[0:58:43.00]  Sí.
[0:58:43.00]-[0:58:45.00]  Y la una ya está casada
[0:58:45.00]-[0:58:47.00]  y la otra se casará pronto.
[0:58:47.00]-[0:58:49.00]  Vino el chico el otro día con ella.
[0:58:49.00]-[0:58:51.00]  Y la otra se casará pronto.
[0:58:51.00]-[0:58:53.00]  Vino el chico el otro día con ella.
[0:58:53.00]-[0:58:55.00]  Vino el chico el otro día con ella.
[0:58:57.00]-[0:58:59.00]  O sea que ya está
[0:58:59.00]-[0:59:01.00]  casada a punto.
[0:59:01.00]-[0:59:03.00]  Gracias.
[0:59:03.00]-[0:59:05.00]  Muchas gracias.
[0:59:05.00]-[0:59:07.00]  De nada.
[0:59:09.00]-[0:59:11.00]  Desde luego el pueblo se está muy tranquilo.
[0:59:11.00]-[0:59:13.00]  Sí, sí, desde luego.
[0:59:13.00]-[0:59:15.00]  Bueno.
[0:59:15.00]-[0:59:17.00]  Aquí, nos damos 200.
[0:59:17.00]-[0:59:19.00]  200.
[0:59:19.00]-[0:59:21.00]  ¿Bastantes entonces?
[0:59:21.00]-[0:59:23.00]  Sí, sí.
[0:59:25.00]-[0:59:27.00]  Están a mal parque las casas bastante.
[0:59:27.00]-[0:59:29.00]  Sí.
[0:59:29.00]-[0:59:31.00]  ¿Más gente en verano viene, no?
[0:59:31.00]-[0:59:33.00]  Sí, eso que han comprado muchas casas.
[0:59:33.00]-[0:59:35.00]  Mira, esta era de mi padre. La vendimos por mi hermana.
[0:59:35.00]-[0:59:37.00]  Es de mi abuela.
[0:59:37.00]-[0:59:39.00]  ¿Qué nos digan?
[0:59:39.00]-[0:59:41.00]  ¿Qué nos digan?
[0:59:41.00]-[0:59:43.00]  ¿Y de qué día se es el pueblo?
[0:59:43.00]-[0:59:45.00]  ¿A qué día se pertenece el pueblo?
[0:59:45.00]-[0:59:47.00]  A cada zona.
[0:59:47.00]-[0:59:49.00]  A cada zona.
[0:59:49.00]-[0:59:51.00]  Tengo una iglesia preciosa.
[0:59:51.00]-[0:59:53.00]  ¿A mí sí está en el castillo, eh?
[0:59:53.00]-[0:59:55.00]  No, no lo he visto desde aquí, pero es muy bonito.
[0:59:55.00]-[0:59:57.00]  Pues hay un chico enseñándolo.
[0:59:57.00]-[0:59:59.00]  Los sábados y domingos.
[0:59:59.00]-[1:00:01.00]  Ahora son las 7 y cuarto.
[1:00:01.00]-[1:00:03.00]  Hasta las 8 están.
[1:00:03.00]-[1:00:05.00]  Pues lo que es por dentro lo gustaría más.
[1:00:05.00]-[1:00:07.00]  Hay pocos costinhos como este, eh.
[1:00:07.00]-[1:00:09.00]  Pues no nos queda verlo, man.
[1:00:09.00]-[1:00:11.00]  Pues si a las 8
[1:00:11.00]-[1:00:13.00]  quieras, que si subís con el coche,
[1:00:13.00]-[1:00:15.00]  que se sube.
[1:00:15.00]-[1:00:17.00]  ¿Todo eso por las eras?
[1:00:17.00]-[1:00:19.00]  Sí, sí.
[1:00:19.00]-[1:00:21.00]  Los autobuses han venido a verlo.
[1:00:21.00]-[1:00:23.00]  Pero...
[1:00:23.00]-[1:00:25.00]  Y ya, eh.
[1:00:25.00]-[1:00:27.00]  Que a las 8 cierra, eh.
[1:00:27.00]-[1:00:29.00]  Y cogís el coche, tiráis todo
[1:00:29.00]-[1:00:31.00]  y metéis el bosacale y tiráis toda esa calle hacia el castillo.
[1:00:31.00]-[1:00:33.00]  Y subís hasta arriba.
[1:00:33.00]-[1:00:35.00]  Gracias.
[1:00:35.00]-[1:00:47.00]  ¡Adiós!
