[0:00:00.00]-[0:00:02.00]  Hola, buenos días.
[1:05:29.00]-[1:05:31.00]  que se le va quedo a las escaleras abajo
[1:05:31.00]-[1:05:33.00]  y estaba reventa el chiquillo
[1:05:33.00]-[1:05:42.00]  y eso me paso a mi también
[1:05:42.00]-[1:05:44.00]  osea que ha tenido usted que
[1:05:44.00]-[1:05:45.00]  verselas en situación
[1:05:45.00]-[1:05:47.00]  yo eso le digo, yo no es que me tenga por eso
[1:05:47.00]-[1:05:49.00]  por nada del mundo
[1:05:49.00]-[1:05:52.00]  eso pueden preguntar por la truquita de droga
[1:05:52.00]-[1:05:54.00]  y a ver que chica es esa
[1:05:54.00]-[1:05:56.00]  a ver lo que le dicen
[1:05:56.00]-[1:05:58.00]  y como aprendi a pinchar?
[1:05:58.00]-[1:06:00.00]  pues nada que me enseño
[1:06:00.00]-[1:06:02.00]  vivia aquí mi suegro
[1:06:02.00]-[1:06:04.00]  y eso yo digo voy a probar a ver
[1:06:04.00]-[1:06:06.00]  y probé y nada
[1:06:06.00]-[1:06:08.00]  y ahí estoy
[1:06:08.00]-[1:06:10.00]  y sigue poniendo hoy en día
[1:06:10.00]-[1:06:12.00]  hoy sigue pinchando?
[1:06:12.00]-[1:06:14.00]  solo pincho a mi nuera o alguno
[1:06:14.00]-[1:06:16.00]  si viene de eso dice
[1:06:16.00]-[1:06:18.00]  pinchame por favor que
[1:06:18.00]-[1:06:20.00]  que me tengo que poner esto
[1:06:20.00]-[1:06:22.00]  y estoy aquí de vacaciones o eso
[1:06:22.00]-[1:06:24.00]  y así alguna coseta
[1:06:24.00]-[1:06:26.00]  pero para todo el mundo ya no
[1:06:28.00]-[1:06:30.00]  y recuerda algo?
[1:06:30.00]-[1:06:32.00]  es para un trabajo que tenemos que hacer
[1:06:32.00]-[1:06:34.00]  un trabajo para la universidad
[1:06:34.00]-[1:06:36.00]  para una asignatura
[1:06:36.00]-[1:06:38.00]  y para saber como se vivia
[1:06:38.00]-[1:06:40.00]  si si antes de eso
[1:06:40.00]-[1:06:42.00]  porque ya todo esto se esta perdiendo
[1:06:42.00]-[1:06:44.00]  ya nadie sabe
[1:06:44.00]-[1:06:46.00]  no no no
[1:06:46.00]-[1:06:48.00]  yo ya le digo que
[1:06:48.00]-[1:06:50.00]  yo no me tengo por nada
[1:06:50.00]-[1:06:52.00]  ni curiosa ni no
[1:06:52.00]-[1:06:54.00]  yo soy de monton
[1:06:54.00]-[1:06:56.00]  mas no quiero ser
[1:06:56.00]-[1:06:58.00]  ni seré ni nada
[1:06:58.00]-[1:07:00.00]  yo quiero ser una esa
[1:07:00.00]-[1:07:02.00]  y yo les he contado mi historia
[1:07:02.00]-[1:07:04.00]  y la que ha sido y la que es
[1:07:04.00]-[1:07:06.00]  la verdad es
[1:07:06.00]-[1:07:08.00]  no nada de nada
[1:07:08.00]-[1:07:10.00]  y no quiero que me pase nada a mi
[1:07:10.00]-[1:07:12.00]  no
[1:07:12.00]-[1:07:14.00]  no quiero eso porque vamos
[1:07:14.00]-[1:07:16.00]  que yo como aquel que dice
[1:07:16.00]-[1:07:18.00]  se lo he dicho como si fueran familia
[1:07:18.00]-[1:07:20.00]  yo no
[1:07:20.00]-[1:07:22.00]  y se lo agradecemos mucho porque
[1:07:22.00]-[1:07:24.00]  tenemos que hacer ese trabajo sobre como eran las
[1:07:24.00]-[1:07:26.00]  pues nada si a mi me ha venido
[1:07:26.00]-[1:07:28.00]  un señor
[1:07:28.00]-[1:07:30.00]  y dice este año pasaron
[1:07:30.00]-[1:07:32.00]  hace años que le dijera
[1:07:32.00]-[1:07:34.00]  que casa
[1:07:34.00]-[1:07:36.00]  era la mas vieja y digo
[1:07:36.00]-[1:07:38.00]  yo no se lo puedo decir
[1:07:38.00]-[1:07:40.00]  lo que me han dicho
[1:07:40.00]-[1:07:42.00]  lo que ustedes me han dicho
[1:07:42.00]-[1:07:44.00]  si que se lo he podido decir porque lo he hecho
[1:07:44.00]-[1:07:46.00]  mucho y de muy pequeña
[1:07:46.00]-[1:07:48.00]  en mi casa y aqui
[1:07:48.00]-[1:07:50.00]  lo de las matanzas
[1:07:50.00]-[1:07:52.00]  y se lo he hecho la verdad
[1:07:52.00]-[1:07:54.00]  y lo de la ropa y lo que es
[1:07:54.00]-[1:07:56.00]  todo lo que le he dicho es cierto
[1:07:56.00]-[1:07:58.00]  sin ninguna alabancia ni nada
[1:07:58.00]-[1:08:00.00]  y yo soy pues una chica
[1:08:00.00]-[1:08:02.00]  pues tal cual de montón
[1:08:02.00]-[1:08:04.00]  no soy ni mas ni menos
[1:08:04.00]-[1:08:06.00]  nada mas que soy como soy
[1:08:06.00]-[1:08:08.00]  me gusta tenerlo limpio
[1:08:08.00]-[1:08:10.00]  y me gusta hacer las cosas
[1:08:10.00]-[1:08:12.00]  y eso lo que la verdad
[1:08:12.00]-[1:08:14.00]  y no otra cosa no puedo decirles
[1:08:14.00]-[1:08:16.00]  ¿te gustaba cantar?
[1:08:16.00]-[1:08:18.00]  cantar no
[1:08:18.00]-[1:08:20.00]  cantar no
[1:08:20.00]-[1:08:22.00]  tambien tengo cosas que tambien se poesias
[1:08:22.00]-[1:08:24.00]  que no me han hecho
[1:08:24.00]-[1:08:26.00]  y tambien eso
[1:08:26.00]-[1:08:28.00]  tambien eso
[1:08:28.00]-[1:08:30.00]  ¿que poesia sabe usted?
[1:08:30.00]-[1:08:32.00]  ay no
[1:08:32.00]-[1:08:34.00]  no las habia
[1:08:34.00]-[1:08:36.00]  ya no
[1:08:36.00]-[1:08:38.00]  ya no recuerdo
[1:08:38.00]-[1:08:40.00]  pues una de mi padre
[1:08:40.00]-[1:08:42.00]  mi padre
[1:08:42.00]-[1:08:44.00]  eramos 7 y quedabamos
[1:08:44.00]-[1:08:46.00]  por mis
[1:08:46.00]-[1:08:48.00]  4 hermanos
[1:08:48.00]-[1:08:50.00]  y nosotras 3
[1:08:50.00]-[1:08:52.00]  me asfixiaron mi anillo
[1:08:52.00]-[1:08:54.00]  y
[1:08:54.00]-[1:08:56.00]  y pasó una cosa
[1:08:56.00]-[1:08:58.00]  pero yo pues le di
[1:08:58.00]-[1:09:00.00]  agas y lo hice
[1:09:00.00]-[1:09:02.00]  dice el dia 30 de junio
[1:09:02.00]-[1:09:04.00]  fue un dia muy señalado
[1:09:04.00]-[1:09:06.00]  cuando se levanta Daniel
[1:09:06.00]-[1:09:08.00]  a despertar a sus hijos que iban a coger
[1:09:08.00]-[1:09:10.00]  el albanzos y te ven un animal
[1:09:10.00]-[1:09:12.00]  ni era perro ni era zorra
[1:09:12.00]-[1:09:14.00]  ni otro ferozo animal que era chino
[1:09:14.00]-[1:09:16.00]  de ojovero que a la una de la mañana
[1:09:16.00]-[1:09:18.00]  se le había salido de porra
[1:09:18.00]-[1:09:20.00]  y otro dia por la mañana se tira a ojovero
[1:09:20.00]-[1:09:22.00]  no, Catalina como loca
[1:09:22.00]-[1:09:24.00]  preguntando que se habian visto a su chino
[1:09:24.00]-[1:09:26.00]  y todo el dia yo no he visto nada
[1:09:26.00]-[1:09:28.00]  hombre, decirme la verdad que lo quiero
[1:09:28.00]-[1:09:30.00]  para mi hija cuando se vaya a casar
[1:09:30.00]-[1:09:32.00]  en aquella entremedia viene la milagro
[1:09:32.00]-[1:09:34.00]  del rio y le cuentas lo que pasa
[1:09:34.00]-[1:09:36.00]  no te apures Catalina
[1:09:36.00]-[1:09:38.00]  y te dejes de apurar que yo ya les tengo 5 pavos
[1:09:38.00]-[1:09:40.00]  y una cerda para criar
[1:09:40.00]-[1:09:42.00]  ya se van los dos y se quedan los dos
[1:09:42.00]-[1:09:44.00]  muy suspensos y le dicen uno al otro
[1:09:44.00]-[1:09:46.00]  vamos a ver el majuelo a ver si tiene veros
[1:09:46.00]-[1:09:48.00]  para el pobre ton
[1:09:48.00]-[1:09:50.00]  que bastante hambre ha pasado
[1:09:50.00]-[1:09:52.00]  el pobre perro este invierno
[1:09:52.00]-[1:09:54.00]  pero tambien le ha viudado el pobre perro
[1:09:54.00]-[1:09:56.00]  el pobre Emilio Tornero
[1:09:56.00]-[1:09:58.00]  ya te suben al majuelo te ven pelos y semañales
[1:09:58.00]-[1:10:00.00]  donde le habían bajado del rabo
[1:10:00.00]-[1:10:02.00]  los tres hijos del padre
[1:10:02.00]-[1:10:04.00]  ya se tira a ojovero
[1:10:04.00]-[1:10:06.00]  casa a su amigo Daniel
[1:10:06.00]-[1:10:08.00]  Daniel has visto mi chino? ahi lo tienes ojovero
[1:10:08.00]-[1:10:10.00]  Daniel tu si me has ocultado al chino
[1:10:10.00]-[1:10:12.00]  pero si te has de penar
[1:10:12.00]-[1:10:14.00]  mira bien lo que dices ojo todo y no me creas
[1:10:14.00]-[1:10:16.00]  que es un ligon que yo te he de mal
[1:10:16.00]-[1:10:18.00]  lo que te he de beneficio
[1:10:18.00]-[1:10:20.00]  gracias gracias sacramentos
[1:10:20.00]-[1:10:22.00]  Daniel y toda la familia
[1:10:22.00]-[1:10:24.00]  que te quedaris como buenos vecinos de la costilla
[1:10:24.00]-[1:10:26.00]  pero yo este chino se que vaya
[1:10:26.00]-[1:10:28.00]  yo le rompo las costillas
[1:10:28.00]-[1:10:30.00]  las costillas no le rompio pero le rompio una pata
[1:10:30.00]-[1:10:32.00]  que otro dia tuvieron que preparar una pequeña matanza
[1:10:32.00]-[1:10:34.00]  eso lo hice yo
[1:10:34.00]-[1:10:36.00]  madre mia
[1:10:36.00]-[1:10:38.00]  bravo
[1:10:38.00]-[1:10:40.00]  y cuando lo hizo
[1:10:40.00]-[1:10:42.00]  hizo ese poema usted?
[1:10:42.00]-[1:10:44.00]  cuando lo hice pues yo que se los años
[1:10:44.00]-[1:10:46.00]  que tendria
[1:10:46.00]-[1:10:48.00]  pues tendria a lo mejor 20 o 25
[1:10:48.00]-[1:10:50.00]  o lo que se
[1:10:50.00]-[1:10:52.00]  y lo repite muy a menudo en su cabeza o a sus nietos
[1:10:52.00]-[1:10:54.00]  ehhh
[1:10:54.00]-[1:10:56.00]  dice que tengo que tengo hay una
[1:10:56.00]-[1:10:58.00]  radio bueno que me la han regalo
[1:10:58.00]-[1:11:00.00]  de un casé
[1:11:00.00]-[1:11:02.00]  y me miraron a ver si podia
[1:11:02.00]-[1:11:04.00]  grabarlo para que lo tengan
[1:11:04.00]-[1:11:06.00]  de recuerdo y una corona
[1:11:06.00]-[1:11:08.00]  le voy a echar a ver si me sale
[1:11:08.00]-[1:11:10.00]  una corona yo hice de perlas y de brillantes
[1:11:10.00]-[1:11:12.00]  de rubid y de amante para una mujer
[1:11:12.00]-[1:11:14.00]  que quise pero yo tambien le hice
[1:11:14.00]-[1:11:16.00]  con un letrero estampado que decia
[1:11:16.00]-[1:11:18.00]  desgraciado muero por una mujer
[1:11:18.00]-[1:11:20.00]  muero y de por la pena loco de tanto
[1:11:20.00]-[1:11:22.00]  querer cuando yo me este muriendo vi
[1:11:22.00]-[1:11:24.00]  contempla mi agonia y la nalgrima
[1:11:24.00]-[1:11:26.00]  en pia se que ha de llorar por mi
[1:11:26.00]-[1:11:28.00]  pero cuando yo no este li preguntale
[1:11:28.00]-[1:11:30.00]  ser por tu herrero preguntale
[1:11:30.00]-[1:11:32.00]  si te quiero y el te respondera que si
[1:11:32.00]-[1:11:34.00]  yo te adoro como adora la ciena flor al rocio
[1:11:34.00]-[1:11:36.00]  como el corazon al lirio eres de mal
[1:11:36.00]-[1:11:38.00]  corazon y de malos sentimientos
[1:11:38.00]-[1:11:40.00]  te burlas de mi pasion te voy a ser de mis tormentas
[1:11:40.00]-[1:11:42.00]  ya ya ha llegado la ocasión
[1:11:42.00]-[1:11:44.00]  de que te acuerdes de mi
[1:11:44.00]-[1:11:46.00]  y entonces te haré sufrir como tu me estas diciendo
[1:11:46.00]-[1:11:48.00]  y mira que yo he tratado de llegar
[1:11:48.00]-[1:11:50.00]  hasta aborrecerte pero no lo he
[1:11:50.00]-[1:11:52.00]  conseguido y maldigo de mi suerte
[1:11:52.00]-[1:11:54.00]  porque se que nací yo tan solo para quererte
[1:11:54.00]-[1:11:56.00]  yo le pregunte a la luna que era lo que tu pensabas
[1:11:56.00]-[1:11:58.00]  cuando una noche muy triste a tu balcón
[1:11:58.00]-[1:12:00.00]  te asomabas, te estaba pensando
[1:12:00.00]-[1:12:02.00]  y estaba
[1:12:02.00]-[1:12:04.00]  si estabas pensando en mi o estabas dentro de la almita
[1:12:04.00]-[1:12:06.00]  cuando te vi tan bonita cuando yo te conocí
[1:12:06.00]-[1:12:08.00]  te di mi amor verdadero
[1:12:08.00]-[1:12:10.00]  cuando tuyo lo vindraste
[1:12:10.00]-[1:12:12.00]  en cambio me despreciaste porque no tenias dinero
[1:12:12.00]-[1:12:14.00]  si es que tu amor convicioso es capaz
[1:12:14.00]-[1:12:16.00]  de una reventa para mi no es
[1:12:16.00]-[1:12:18.00]  aflienta que por un querer profundo
[1:12:18.00]-[1:12:20.00]  pida el reventor del mundo limón de mi
[1:12:20.00]-[1:12:22.00]  me reventa
[1:12:22.00]-[1:12:24.00]  muy bien, ¿eso también lo hizo usted?
[1:12:24.00]-[1:12:26.00]  ¿Eso también lo hizo usted?
[1:12:26.00]-[1:12:28.00]  También me lo enseñó mi hermano
[1:12:28.00]-[1:12:30.00]  un hermano mio que me lo enseñó
[1:12:30.00]-[1:12:32.00]  ¿Tenemos una memoria?
[1:12:32.00]-[1:12:34.00]  Bueno, ya va
[1:12:34.00]-[1:12:36.00]  va, va, va
[1:12:36.00]-[1:12:38.00]  ¿Y sabe uno que decía que eran los amantes de Sequería?
[1:12:38.00]-[1:12:40.00]  No se
[1:12:40.00]-[1:12:42.00]  lo que pasa
[1:12:42.00]-[1:12:44.00]  ¿sabe que mi hermano quedo
[1:12:44.00]-[1:12:46.00]  ciego de la tensión?
[1:12:46.00]-[1:12:48.00]  y tenia muchos libros, muchos
[1:12:48.00]-[1:12:50.00]  y se los dio
[1:12:50.00]-[1:12:52.00]  y no dio el quien fue
[1:12:52.00]-[1:12:54.00]  y no pude yo hacerme ya con nada
[1:12:54.00]-[1:12:56.00]  Y por aquí venian
[1:12:56.00]-[1:12:58.00]  cegos que vendian coplas
[1:12:58.00]-[1:13:00.00]  No, no, no creo yo
[1:13:00.00]-[1:13:02.00]  de eso no, por aquí no
[1:13:02.00]-[1:13:04.00]  Yo creo que si un poco
[1:13:04.00]-[1:13:06.00]  libre, así que quiere decir
[1:13:06.00]-[1:13:08.00]  un poco, que no
[1:13:08.00]-[1:13:10.00]  sea así muy tonta del todo, así muy
[1:13:10.00]-[1:13:12.00]  eso, me se ha quedado así
[1:13:12.00]-[1:13:14.00]  un poquito de memoria
[1:13:14.00]-[1:13:16.00]  Y me dice que decía
[1:13:16.00]-[1:13:18.00]  pobres santo, pobres santo
[1:13:18.00]-[1:13:20.00]  tres días antes del pascua
[1:13:20.00]-[1:13:22.00]  Ah, si
[1:13:22.00]-[1:13:24.00]  Cuando el reventor del mundo a su discípulo se llamaba
[1:13:24.00]-[1:13:26.00]  Sí
[1:13:26.00]-[1:13:34.00]  ¿Y sabe alguno de ese tipo?
[1:13:34.00]-[1:13:36.00]  Nada
[1:13:36.00]-[1:13:38.00]  ¿O uno de Santa Elena?
[1:13:38.00]-[1:13:40.00]  No, no, no, no
[1:13:40.00]-[1:13:42.00]  de otros si que se
[1:13:42.00]-[1:13:44.00]  algo por ahí de nunca, pero no
[1:13:44.00]-[1:13:46.00]  de algún idioma nada
[1:13:46.00]-[1:13:48.00]  ¿Y que le iba a decir, en las gallinas que nos estaba contando al principio
[1:13:48.00]-[1:13:50.00]  ¿donde estaban las gallinas antiguas?
[1:13:50.00]-[1:13:52.00]  Ande en corrales sueltos
[1:13:52.00]-[1:13:54.00]  y ahora estan en
[1:13:54.00]-[1:13:56.00]  jaulas
[1:13:56.00]-[1:13:58.00]  ¿Y que comían antiguamente?
[1:13:58.00]-[1:14:00.00]  Maíz y trigo y cebada
[1:14:00.00]-[1:14:02.00]  ¿Y para que se tenia?
[1:14:02.00]-[1:14:04.00]  ¿Para que se tenia en las gallinas?
[1:14:04.00]-[1:14:06.00]  Para que para
[1:14:06.00]-[1:14:08.00]  teníamos para gastar el consumo
[1:14:08.00]-[1:14:10.00]  de la casa y para si te sobraba
[1:14:10.00]-[1:14:12.00]  una docena de huevos pues la vendia
[1:14:12.00]-[1:14:14.00]  ¿No me lo compras
[1:14:14.00]-[1:14:16.00]  latas o
[1:14:16.00]-[1:14:18.00]  cualquier cosa que no la tenias en la casa?
[1:14:18.00]-[1:14:20.00]  Claro, ¿pero no criaban?
[1:14:20.00]-[1:14:22.00]  No, también si, también se hacía
[1:14:22.00]-[1:14:24.00]  lluecas, también se tenia
[1:14:24.00]-[1:14:26.00]  cimentar también un pollo, un gallo
[1:14:26.00]-[1:14:28.00]  que le dian y lo tenias
[1:14:28.00]-[1:14:30.00]  y luego se quedaban lluecas en
[1:14:30.00]-[1:14:32.00]  el nido y entonces se le ponian
[1:14:32.00]-[1:14:34.00]  que no tuviera
[1:14:34.00]-[1:14:36.00]  que no estuviera la luna llena
[1:14:36.00]-[1:14:38.00]  ¿Si?
[1:14:38.00]-[1:14:40.00]  Si, porque si no se
[1:14:40.00]-[1:14:42.00]  si a lo mejor hoy lo ponias
[1:14:42.00]-[1:14:44.00]  y a la noche volvía la luna
[1:14:44.00]-[1:14:46.00]  se quedaban todos fueros y no salian
[1:14:46.00]-[1:14:48.00]  y tenia que ser
[1:14:48.00]-[1:14:50.00]  si podia ser el menguante
[1:14:50.00]-[1:14:52.00]  ¿Y cuanto tiempo estaba la gallina?
[1:14:52.00]-[1:14:54.00]  21 dias
[1:14:54.00]-[1:14:56.00]  21 dias
[1:14:56.00]-[1:14:58.00]  Y luego como crecías
[1:14:58.00]-[1:15:00.00]  que no te lo dian
[1:15:00.00]-[1:15:02.00]  No pero tu tocas me palillos de eso
[1:15:02.00]-[1:15:04.00]  de con las uñas pintar
[1:15:04.00]-[1:15:06.00]  y maquillar y de todo eso
[1:15:06.00]-[1:15:08.00]  de eso a lo mejor no lo
[1:15:08.00]-[1:15:10.00]  porque no
[1:15:10.00]-[1:15:12.00]  hombre me gusta salir también
[1:15:12.00]-[1:15:14.00]  que yo cuando salgo me gusta
[1:15:14.00]-[1:15:16.00]  siempre me dicen mis noeras para ir al
[1:15:16.00]-[1:15:18.00]  medico para ir a pedronel para ir a requena
[1:15:18.00]-[1:15:20.00]  ¿Como va? Dio pues me gusta ir
[1:15:20.00]-[1:15:22.00]  pero aquí
[1:15:22.00]-[1:15:24.00]  no va y uno se va con...
[1:15:24.00]-[1:15:26.00]  vengo de los animales
[1:15:26.00]-[1:15:28.00]  Porque antiguamente la mujer no se maquillaba
[1:15:28.00]-[1:15:30.00]  Si no tenemos
[1:15:30.00]-[1:15:32.00]  perras que antes, había pocas
[1:15:32.00]-[1:15:34.00]  perras antes, antes no era
[1:15:34.00]-[1:15:36.00]  como antes cariño
[1:15:36.00]-[1:15:38.00]  antes no lo había
[1:15:38.00]-[1:15:40.00]  Yo he ido
[1:15:40.00]-[1:15:42.00]  te vas a reir
[1:15:42.00]-[1:15:44.00]  yo he ido a casa del rio a 2 horas
[1:15:44.00]-[1:15:46.00]  hay
[1:15:46.00]-[1:15:48.00]  una cesta
[1:15:48.00]-[1:15:50.00]  con 30 a lo mejor
[1:15:50.00]-[1:15:52.00]  15 u 20 docenas de huevos
[1:15:52.00]-[1:15:54.00]  y un pollo o un conejo
[1:15:54.00]-[1:15:56.00]  hay en la mano
[1:15:56.00]-[1:15:58.00]  Y éramos 7
[1:15:58.00]-[1:16:00.00]  eso pero no es lo de ahora
[1:16:00.00]-[1:16:02.00]  La vida de hace
[1:16:02.00]-[1:16:04.00]  muchos años no es la de ahora
[1:16:06.00]-[1:16:08.00]  ¿Sabes?
[1:16:08.00]-[1:16:10.00]  Y en mi casa comíamos
[1:16:10.00]-[1:16:12.00]  ¿Sabes?
[1:16:12.00]-[1:16:14.00]  Hay gente que no comía pan
[1:16:14.00]-[1:16:16.00]  Que mi marido estuvo en la guerra
[1:16:16.00]-[1:16:18.00]  y eso, ¿eh?
[1:16:18.00]-[1:16:20.00]  Y no eso
[1:16:20.00]-[1:16:22.00]  Y había un molino en casa del rio
[1:16:22.00]-[1:16:24.00]  y digo
[1:16:24.00]-[1:16:26.00]  Padre, habíamos unos montones
[1:16:26.00]-[1:16:28.00]  de maíz
[1:16:28.00]-[1:16:30.00]  y buscábamos gente para que nos ayudaran
[1:16:30.00]-[1:16:32.00]  a...
[1:16:32.00]-[1:16:34.00]  Y mi padre, pues entonces había eso
[1:16:34.00]-[1:16:36.00]  y dice, pues nada, ahora voy a meter ahí
[1:16:36.00]-[1:16:38.00]  una sandía
[1:16:38.00]-[1:16:40.00]  o voy a meter cualquier cosa
[1:16:40.00]-[1:16:42.00]  o dos
[1:16:42.00]-[1:16:44.00]  o cualquier cosa, o pasta
[1:16:44.00]-[1:16:46.00]  y habló todo
[1:16:46.00]-[1:16:48.00]  del montón y decía
[1:16:48.00]-[1:16:50.00]  cuando se termine el montón
[1:16:50.00]-[1:16:52.00]  entonces a comerlo, mientras no
[1:16:52.00]-[1:16:54.00]  ¿eh?
[1:16:54.00]-[1:16:56.00]  Y era eso, ¿sabes?
[1:16:56.00]-[1:16:58.00]  Cosas así que
[1:16:58.00]-[1:17:00.00]  mi padre se yo que
[1:17:00.00]-[1:17:02.00]  no pasaba
[1:17:02.00]-[1:17:04.00]  Y le dijo a...
[1:17:04.00]-[1:17:06.00]  Dice, oye
[1:17:06.00]-[1:17:08.00]  Dice, pensó
[1:17:08.00]-[1:17:10.00]  de quitarles el culo
[1:17:10.00]-[1:17:12.00]  a las...
[1:17:12.00]-[1:17:14.00]  a la panoja
[1:17:14.00]-[1:17:16.00]  y la flor
[1:17:16.00]-[1:17:18.00]  en la punta, dice
[1:17:18.00]-[1:17:20.00]  y dejar el centro y quitarle todo el pelo
[1:17:20.00]-[1:17:22.00]  que tiene el maíz
[1:17:22.00]-[1:17:24.00]  en la panoja, dice para
[1:17:24.00]-[1:17:26.00]  por si acaso nos falta harina
[1:17:26.00]-[1:17:28.00]  dice, hacer luego minchos
[1:17:28.00]-[1:17:30.00]  minchos
[1:17:30.00]-[1:17:32.00]  minchos se dice, sabe usted
[1:17:32.00]-[1:17:34.00]  minchos se decía un... masa
[1:17:34.00]-[1:17:36.00]  ¿sabes? con aceite y...
[1:17:36.00]-[1:17:38.00]  con salina de maíz
[1:17:38.00]-[1:17:40.00]  se cernía, ¿sabes?
[1:17:40.00]-[1:17:42.00]  que la abuela no tenía
[1:17:42.00]-[1:17:44.00]  ningún desperdicio ese maíz
[1:17:44.00]-[1:17:46.00]  era el centro de la panoja, ¿sabes?
[1:17:46.00]-[1:17:48.00]  y dice, por si acaso mi padre
[1:17:48.00]-[1:17:50.00]  siempre va con... y vamos nosotros
[1:17:50.00]-[1:17:52.00]  con la idea esa de decir
[1:17:52.00]-[1:17:54.00]  por si acaso
[1:17:54.00]-[1:17:56.00]  tú nos tienes que moler
[1:17:56.00]-[1:17:58.00]  esa harina para minchos
[1:17:58.00]-[1:18:00.00]  dice, pues bueno, pero mi hijo
[1:18:00.00]-[1:18:02.00]  mi marido ha estado en...
[1:18:02.00]-[1:18:04.00]  mira, Bobby
[1:18:04.00]-[1:18:06.00]  la compañía mía, claro
[1:18:06.00]-[1:18:08.00]  Bobby
[1:18:08.00]-[1:18:10.00]  y no
[1:18:10.00]-[1:18:12.00]  le llegábamos a necesitar
[1:18:12.00]-[1:18:14.00]  pero en tiempos
[1:18:14.00]-[1:18:16.00]  antes no era lo de ahora
[1:18:16.00]-[1:18:18.00]  ¿sabes?
[1:18:18.00]-[1:18:20.00]  ¿y el molino era del pueblo?
[1:18:20.00]-[1:18:22.00]  sí, era de...
[1:18:22.00]-[1:18:24.00]  de Casar del Río, sí
[1:18:24.00]-[1:18:26.00]  ¿pero era de alguien? Sí, sí, del amo
[1:18:26.00]-[1:18:28.00]  el amo, sí, se llamaba
[1:18:28.00]-[1:18:30.00]  y el otro...
[1:18:30.00]-[1:18:32.00]  no sé cómo
[1:18:32.00]-[1:18:34.00]  no me acuerdo cómo se llamaba
[1:18:34.00]-[1:18:36.00]  el otro
[1:18:36.00]-[1:18:38.00]  vivían en la punta del puente de allá
[1:18:38.00]-[1:18:40.00]  allí tenían el molino
[1:18:40.00]-[1:18:42.00]  ¿había que pagar? Sí, sí
[1:18:42.00]-[1:18:44.00]  se pagaba el maquillaje
[1:18:44.00]-[1:18:46.00]  si a lo mejor pesaba
[1:18:46.00]-[1:18:48.00]  20 kilos el saco
[1:18:48.00]-[1:18:50.00]  de harina y le pertenía
[1:18:50.00]-[1:18:52.00]  el 5 o el 2 por ciento, pues eso
[1:18:52.00]-[1:18:54.00]  pagaba
[1:18:54.00]-[1:18:56.00]  ¿y cómo era el molino por dentro?
[1:18:56.00]-[1:18:58.00]  pues muelas, muelas de esas
[1:18:58.00]-[1:19:00.00]  de luz, pues
[1:19:00.00]-[1:19:02.00]  como te voy a decir
[1:19:02.00]-[1:19:04.00]  comparando y engualándote
[1:19:04.00]-[1:19:06.00]  como una muela de un
[1:19:06.00]-[1:19:08.00]  cuchillo a lo mejor que mueles
[1:19:08.00]-[1:19:10.00]  para moler un tal
[1:19:10.00]-[1:19:12.00]  cual cuchillo por ahí que
[1:19:12.00]-[1:19:14.00]  que te lasean un poco
[1:19:14.00]-[1:19:16.00]  pues igual. ¿Pero eran de madera?
[1:19:16.00]-[1:19:18.00]  ¿el qué? No, no, no, de piedra
[1:19:18.00]-[1:19:20.00]  de piedra, eran de piedra, eran de piedra
[1:19:20.00]-[1:19:22.00]  sí, eran de piedra
[1:19:22.00]-[1:19:24.00]  ¿pero era con...? Sí, sí, con luz
[1:19:24.00]-[1:19:26.00]  con luz, sí, sí
[1:19:26.00]-[1:19:28.00]  y con agua, que entraba el agua
[1:19:28.00]-[1:19:30.00]  y para...
[1:19:30.00]-[1:19:32.00]  ¿Era molino de agua? No, de...
[1:19:32.00]-[1:19:34.00]  pero para las maquinarias
[1:19:34.00]-[1:19:36.00]  maquinarias de esos sí
[1:19:36.00]-[1:19:38.00]  antes era
[1:19:38.00]-[1:19:40.00]  todo, pues mucho
[1:19:40.00]-[1:19:42.00]  eso antes se comía
[1:19:42.00]-[1:19:44.00]  pero... pero
[1:19:44.00]-[1:19:46.00]  no era lo de hoy, lo de hoy
[1:19:46.00]-[1:19:48.00]  ¿qué pasaba antes?
[1:19:48.00]-[1:19:50.00]  hace 6, 8 o 15 años
[1:19:50.00]-[1:19:52.00]  todo iba a manta
[1:19:52.00]-[1:19:54.00]  ¿y ahora qué? Pues una cosa parecida
[1:19:54.00]-[1:19:56.00]  ¿sabí usted?
[1:19:56.00]-[1:19:58.00]  así que ya está
[1:19:58.00]-[1:20:00.00]  antes no había por no...
[1:20:00.00]-[1:20:02.00]  es porque no había, ¿sabes?
[1:20:02.00]-[1:20:04.00]  ¿Pues por ejemplo pescado? Aquí comían mucho
[1:20:04.00]-[1:20:06.00]  ¿eh? Pescado
[1:20:06.00]-[1:20:08.00]  pues... sí, que pasaba el río Cabrieli
[1:20:08.00]-[1:20:10.00]  y se hacían unos ansones
[1:20:10.00]-[1:20:12.00]  ¿uns ansones?
[1:20:12.00]-[1:20:14.00]  ansones, sí, ansones que
[1:20:14.00]-[1:20:16.00]  que se hacían de varas de...
[1:20:16.00]-[1:20:18.00]  de...
[1:20:18.00]-[1:20:20.00]  de sabina y se hacían
[1:20:20.00]-[1:20:22.00]  de punta, así ancho
[1:20:22.00]-[1:20:24.00]  y eso, y luego le metían otro pequeño
[1:20:24.00]-[1:20:26.00]  que metían los ansones y ya no podían
