[0:00:00.00]-[0:00:02.00]  ¿La hierba buena, no?
[1:06:56.80]-[1:07:04.80]  Los topos, esos de agua son muy grandes, son como ratones, son así.
[1:07:04.80]-[1:07:09.80]  Y si metes la mano, donde está él, esto qué, ¡an!
[1:07:09.80]-[1:07:12.80]  Y si hablamos de este médico aquí,
[1:07:12.80]-[1:07:19.80]  ¿es que supongo que como es pueblo, aquí hay más medicinas de hierbas o así?
[1:07:19.80]-[1:07:21.80]  No, no, ha habido siempre farmacia.
[1:07:21.80]-[1:07:22.80]  ¿Sí? ¿Siempre?
[1:07:22.80]-[1:07:25.80]  Siempre, toda mi vida he visto farmacia.
[1:07:25.80]-[1:07:30.80]  Además era un farmacéutico que era gente de aquí del pueblo.
[1:07:30.80]-[1:07:35.80]  Ya después que murió ese, ha habido ya 14.
[1:07:35.80]-[1:07:38.80]  Tome, porque cuando era niño era bastante.
[1:07:38.80]-[1:07:42.80]  Un médico que no quería farmacéutico, que había solo botiquín,
[1:07:42.80]-[1:07:44.80]  y así todo creía que era país.
[1:07:44.80]-[1:07:47.80]  Pero la gente en casa, por ejemplo, como usted, ¿está tira?
[1:07:47.80]-[1:07:52.80]  Ah, eso sí, eso, y aquí hay quien conoce las hierbas, muchas, muchas.
[1:07:52.80]-[1:07:56.80]  Hay gente que conoce la hierba, pero no sé qué sabe qué.
[1:07:56.80]-[1:07:59.80]  Uno tiene caqueca, pues no sé qué...
[1:07:59.80]-[1:08:03.80]  El otro la orina, bueno por la orina, el otro...
[1:08:03.80]-[1:08:13.80]  Oye, además hay libros, antes no, pero ahora hay libros de esos que te dicen,
[1:08:13.80]-[1:08:16.80]  ya traes, ya traes para que valen.
[1:08:16.80]-[1:08:18.80]  Yo también tengo uno.
[1:08:18.80]-[1:08:21.80]  Y hay de muchas cosas, hay muchas hierbas aquí,
[1:08:21.80]-[1:08:24.80]  y hay de muchas clases de hierbas, muchas.
[1:08:24.80]-[1:08:25.80]  ¿Por qué, no?
[1:08:25.80]-[1:08:26.80]  Sí.
[1:08:26.80]-[1:08:31.80]  ¿Cómo llaman a las abejas abejas, no?
[1:08:31.80]-[1:08:34.80]  ¿Y la colmena tiene un nombre especial?
[1:08:34.80]-[1:08:35.80]  No.
[1:08:35.80]-[1:08:36.80]  ¿Colmena?
[1:08:36.80]-[1:08:43.80]  Colmena, más que... Antes había corchos, eran de corcho,
[1:08:43.80]-[1:08:49.80]  en vez de que son a cuadradar, entonces eran de corcho, había muchas de corcho.
[1:08:49.80]-[1:09:00.80]  ¿Y mucho de la abeja cómo llaman?
[1:09:00.80]-[1:09:04.80]  No lo sé, no lo sé, no lo pibaré.
[1:09:04.80]-[1:09:13.80]  La pica una abeja.
[1:09:13.80]-[1:09:15.80]  Me sale ahora.
[1:09:15.80]-[1:09:16.80]  ¿Le llaman rejón?
[1:09:16.80]-[1:09:17.80]  No.
[1:09:17.80]-[1:09:18.80]  ¿Vizque?
[1:09:18.80]-[1:09:19.80]  No, gizque.
[1:09:19.80]-[1:09:20.80]  ¿Qué buena?
[1:09:20.80]-[1:09:25.80]  Gizque, la que te deja el gizque ya se muere.
[1:09:25.80]-[1:09:26.80]  ¿Cómo dice aquí, gizque?
[1:09:26.80]-[1:09:27.80]  Gizque, gizque.
[1:09:27.80]-[1:09:28.80]  ¿Gizque?
[1:09:28.80]-[1:09:29.80]  Gizque.
[1:09:29.80]-[1:09:31.80]  Es enorme esa linea.
[1:09:31.80]-[1:09:33.80]  Me queda un blanco, a lo mejor el pato blanco,
[1:09:33.80]-[1:09:36.80]  el que queda de blanco ya.
[1:09:36.80]-[1:09:39.80]  ¿Y usted sabe cocinar o así prepara una cosa así,
[1:09:39.80]-[1:09:44.80]  típica de esta zona, o hay una comida especial?
[1:09:44.80]-[1:09:51.80]  Yo, para mí, todo es bueno.
[1:09:51.80]-[1:09:54.80]  Todo es bueno.
[1:09:54.80]-[1:09:56.80]  Sí, se cocina.
[1:09:56.80]-[1:10:01.80]  Me cocino yo todo.
[1:10:01.80]-[1:10:05.80]  Me hago mis coisos también.
[1:10:05.80]-[1:10:06.80]  ¿En casa?
[1:10:06.80]-[1:10:08.80]  En casa me habéis dejado.
[1:10:08.80]-[1:10:16.80]  Mira, no sé por qué no habéis pillado uno, porque me lo he terminado hoy y ya.
[1:10:16.80]-[1:10:18.80]  Sí.
[1:10:18.80]-[1:10:22.80]  Medio pueblo ha comido los mis coisos míos.
[1:10:22.80]-[1:10:23.80]  Sí.
[1:10:23.80]-[1:10:25.80]  Seguro.
[1:10:25.80]-[1:10:28.80]  La maestra, esa que os ha dicho, no, pero el maestro ha comido.
[1:10:28.80]-[1:10:32.80]  La maestra no lo sé si estaría o no, porque vive ahí tocando de...
[1:10:32.80]-[1:10:39.80]  Están mis hijos, mi único hijo que tengo casado, Silvazo.
[1:10:39.80]-[1:10:43.80]  Se nos ha setacado el maestro, y nos dice,
[1:10:43.80]-[1:10:47.80]  si esto va de PP, y dice, ¡ah, brosader!
[1:10:47.80]-[1:10:51.80]  O sea que cualquiera...
[1:10:51.80]-[1:10:52.80]  No me duele.
[1:10:52.80]-[1:10:54.80]  ¿Y qué prohibían antes los padres?
[1:10:54.80]-[1:11:01.80]  ¿Qué dejaban hacer y qué no dejaban hacer?
[1:11:01.80]-[1:11:07.80]  Lo que no dejaban hacer es lo que hacías.
[1:11:07.80]-[1:11:10.80]  Es así, por lo general.
[1:11:10.80]-[1:11:16.80]  Pero, por ejemplo, ¿nos puede contar o qué...?
[1:11:16.80]-[1:11:20.80]  No, yo soy un buen chico.
[1:11:20.80]-[1:11:24.80]  Bueno, en general, ¿no? Si personalizan.
[1:11:24.80]-[1:11:26.80]  No.
[1:11:26.80]-[1:11:30.80]  Aquí se ha vivido muy ahora.
[1:11:30.80]-[1:11:32.80]  Aunque ahora dicen, ¡adam chaval!
[1:11:32.80]-[1:11:35.80]  Antes eras unos esclavos.
[1:11:35.80]-[1:11:38.80]  Yo lo digo, yo cuento a mi niñez, un esclavo.
[1:11:38.80]-[1:11:39.80]  Yo he sido un esclavo.
[1:11:39.80]-[1:11:43.80]  Trabajando desde ocho años, ha sido.
[1:11:43.80]-[1:11:46.80]  De pastor.
[1:11:46.80]-[1:11:52.80]  Primero con vacas, luego con ovejas.
[1:11:52.80]-[1:11:56.80]  Fui una temporada con tratantes.
[1:11:56.80]-[1:12:03.80]  Después me metí de pendiente.
[1:12:03.80]-[1:12:05.80]  ¿Pendiente en una tienda?
[1:12:05.80]-[1:12:08.80]  Dependiente en una tienda.
[1:12:08.80]-[1:12:12.80]  Me fui porque me pagaban pujo.
[1:12:12.80]-[1:12:15.80]  Y yo quería correr más.
[1:12:15.80]-[1:12:18.80]  En aquello, digo, que no, que...
[1:12:18.80]-[1:12:21.80]  Me fui a Namasía.
[1:12:21.80]-[1:12:24.80]  Un año que me faltaba hasta llegar a los mil.
[1:12:24.80]-[1:12:27.80]  Me fui de la mil y volví otra vez a la misma tienda.
[1:12:27.80]-[1:12:30.80]  Yo no he riñido con nadie.
[1:12:30.80]-[1:12:32.80]  Me he marchado yo solo por eso.
[1:12:32.80]-[1:12:35.80]  De las casas que me han contratado, me he marchado yo por decir,
[1:12:35.80]-[1:12:39.80]  ¡eh! Yo quiero más, que gano más.
[1:12:39.80]-[1:12:43.80]  ¿Qué época de su vida le gustó?
[1:12:43.80]-[1:12:47.80]  Porque, date cuenta, yo me hacía un inventario.
[1:12:47.80]-[1:12:49.80]  Hacía un inventario.
[1:12:49.80]-[1:12:56.80]  Y en la antigua, y unos dos cestos, uno a cada lado,
[1:12:56.80]-[1:13:04.80]  me cargaban olivas, cosas para vender por las masías.
[1:13:04.80]-[1:13:11.80]  Se daban una, ibas vendiendo por las masías, les compraba los pollos, conejos, huevos.
[1:13:11.80]-[1:13:19.80]  Llegaba, nos volvías y entregabas. A pasar cuentas, a pasar cuentas.
[1:13:19.80]-[1:13:23.80]  He vendido tanto, los otros aquí están.
[1:13:23.80]-[1:13:25.80]  De esto he comprado tanto.
[1:13:25.80]-[1:13:28.80]  De las perras, aquí está el jugaje.
[1:13:28.80]-[1:13:31.80]  Y daba, hacía la dividación y ya está.
[1:13:31.80]-[1:13:34.80]  Y un día digo, ¡jo, qué día más rico, eh!
[1:13:34.80]-[1:13:36.80]  ¡Jo!
[1:13:36.80]-[1:13:38.80]  ¿70 duros que me he ganado hoy?
[1:13:38.80]-[1:13:44.80]  Y los 70 duros tú me los das en tres meses.
[1:13:44.80]-[1:13:48.80]  Así que si no me das más, me voy.
[1:13:48.80]-[1:13:51.80]  Aún un ejemplo.
[1:13:51.80]-[1:13:53.80]  Sin greñir ni nada.
[1:13:53.80]-[1:13:56.80]  ¿Por qué? Al otro día a casa.
[1:13:56.80]-[1:13:57.80]  ¿Dónde está Pepe?
[1:13:57.80]-[1:13:59.80]  En la cama.
[1:13:59.80]-[1:14:03.80]  No, no, no, no le dames que no gano.
[1:14:03.80]-[1:14:05.80]  Oye, que te daré lo que me has pedido.
[1:14:05.80]-[1:14:08.80]  Y le digo, ¿has hecho tarde, amigo?
[1:14:08.80]-[1:14:16.80]  Ya tengo otro... ¿la vez que me fui a la masía?
[1:14:16.80]-[1:14:18.80]  Ya ni fui por eso, por eso.
[1:14:18.80]-[1:14:20.80]  Y luego, cuando estaba en el guacil sí que estaba a gusto.
[1:14:20.80]-[1:14:22.80]  Me gustaba el trabajo.
[1:14:22.80]-[1:14:24.80]  Luego me fui a batir pinos.
[1:14:24.80]-[1:14:25.80]  A batir pinos.
[1:14:25.80]-[1:14:28.80]  Y ahí ya había, estaban cuatro o cinco cuadrillas, ¿eh?
[1:14:28.80]-[1:14:30.80]  De 12, 14 hombres.
[1:14:30.80]-[1:14:32.80]  Se hacían muchos pinos entonces, de mucha madera.
[1:14:32.80]-[1:14:33.80]  ¿Batir es cortarlos?
[1:14:33.80]-[1:14:36.80]  Cortarlos, sí, cortarlos y pelarlos.
[1:14:36.80]-[1:14:40.80]  Y...
[1:14:40.80]-[1:14:46.80]  Como nevaba tanto y cosas de esas, yo muchas veces estuve de estar arrodillado,
[1:14:46.80]-[1:14:48.80]  y encima la nieve, pa, pa.
[1:14:48.80]-[1:14:50.80]  No, no había motosierros.
[1:14:50.80]-[1:14:52.80]  Que no había motosierros entonces, a uno no.
[1:14:52.80]-[1:14:55.80]  O un...
[1:14:55.80]-[1:14:57.80]  un tonzado, ¿qué se llama?
[1:14:57.80]-[1:14:58.80]  Tonzado.
[1:14:58.80]-[1:14:59.80]  Tonzado.
[1:14:59.80]-[1:15:00.80]  Un tonzado, un cierro.
[1:15:00.80]-[1:15:01.80]  Un cierro, un tonzado.
[1:15:01.80]-[1:15:04.80]  Pues, a cortarlos.
[1:15:04.80]-[1:15:06.80]  Pues ahí ya me pone el dolor.
[1:15:06.80]-[1:15:08.80]  Así que, y...
[1:15:08.80]-[1:15:11.80]  Y cogí un reyuma que pagué, ¿sabes?
[1:15:11.80]-[1:15:15.80]  Y me las vi ahí, me las dejé a dar para trabajar.
[1:15:15.80]-[1:15:19.80]  Salió la plaza vacante de Alguacil Municipal,
[1:15:19.80]-[1:15:21.80]  y yo me acuntó.
[1:15:21.80]-[1:15:24.80]  Y salí elegido.
[1:15:24.80]-[1:15:30.80]  Después crearon la plaza, al año y medio.
[1:15:30.80]-[1:15:36.80]  Y como ya llevaba año y medio, ya pusieron que tendría ventaja el que tuviera permiso.
[1:15:36.80]-[1:15:38.80]  Pero eso ya pa' que no me fuera yo.
[1:15:38.80]-[1:15:41.80]  Era ya no, no echó nadie más.
[1:15:41.80]-[1:15:46.80]  La primera vez y cinco o seis, cuando llegué después,
[1:15:46.80]-[1:15:50.80]  que me eligieron a mí, provisionalmente.
[1:15:50.80]-[1:15:56.80]  Y al año y medio, que fue lo que costó todo el papelero, porque...
[1:15:56.80]-[1:16:04.80]  Estas plazas, que se creaban así, tenían derecho con la dictadura.
[1:16:04.80]-[1:16:10.80]  Los combatientes, todos los Guadalajiles retirados,
[1:16:10.80]-[1:16:16.80]  toda esa gente, todos acababan con los sueldos, con los colegios y por todo.
[1:16:16.80]-[1:16:20.80]  Entraban a todo. Y esta la dejaron libre.
[1:16:20.80]-[1:16:25.80]  Salió dos veces, anunciado el bocino fidal del Estado.
[1:16:25.80]-[1:16:29.80]  Y ya llamaron y dicen, sí, la dejamos libre.
[1:16:29.80]-[1:16:34.80]  Y la dejaron libre porque la crearon o el otro aguacil que había lo dejó.
[1:16:34.80]-[1:16:38.80]  No, no, no había aguacil. La crearon y la crearon.
[1:16:38.80]-[1:16:42.80]  Porque había uno que cuando quería el ciber y cuando no quería, venía ahí.
[1:16:42.80]-[1:16:45.80]  Que no tenía ni derecho a nada.
[1:16:45.80]-[1:16:49.80]  Y estaba toda casa, porque traían leña.
[1:16:49.80]-[1:16:55.80]  La leña, el ayuntamiento, lo abastecían de leña los de las masías.
[1:16:55.80]-[1:16:58.80]  Entrar leña, ahora todos salían tras leña.
[1:16:58.80]-[1:17:03.80]  Y yo digo, tú no eres aguacil, tú estás en casa.
[1:17:03.80]-[1:17:08.80]  El aguacil soy yo. Sí, si vienen, el aguacil soy yo.
[1:17:08.80]-[1:17:13.80]  Tú no, aquí no te pasas.
[1:17:13.80]-[1:17:19.80]  Y ahí me subí. 34 años ahí siguiendo.
[1:17:19.80]-[1:17:25.80]  ¿Y recuerda algún momento en que ahí estabas especialmente asustado, en la guerra?
[1:17:25.80]-[1:17:29.80]  ¿O qué temían aquí en el pueblo más?
[1:17:29.80]-[1:17:35.80]  No hace caso. Ahí no se hace caso ya. Se acostumbra una...
[1:17:35.80]-[1:17:42.80]  En las calles más altas del pueblo, allí vivía una tía mía.
[1:17:42.80]-[1:17:45.80]  Una chica también tenía, un poco más joven.
[1:17:45.80]-[1:17:53.80]  Pues vamos, que allí se veían arriba en la montaña los...
[1:17:53.80]-[1:17:58.80]  Los nacionales que decían. Y ahí los rujos.
[1:17:58.80]-[1:18:05.80]  ¡Ey! Te boteaban. ¡Bronto bajaremos, pronto bajaremos!
[1:18:05.80]-[1:18:11.80]  Y al volviarse en la plaza, nosotros los chavaleros no nos daban cuenta.
[1:18:11.80]-[1:18:15.80]  ¿Y aquí en el pueblo no había gente que, por ejemplo aquí,
[1:18:15.80]-[1:18:20.80]  no dijeran yo soy rojo y otros, aquí no había la lucha entre gente?
[1:18:20.80]-[1:18:23.80]  No, en este pueblo no pasó nada.
[1:18:23.80]-[1:18:25.80]  No nos pasan nada.
[1:18:25.80]-[1:18:29.80]  No nos hemos ofendido en este pueblo.
[1:18:29.80]-[1:18:35.80]  Sin embargo, hay un lugar que mataron unos y luego entre nosotros mataron a 12 o 14
[1:18:35.80]-[1:18:39.80]  y ahí hicieron una escabechina en un pueblo aquí.
[1:18:39.80]-[1:18:41.80]  ¿Eso es escabechina?
[1:18:41.80]-[1:18:44.80]  Escabechines matan muchos. Familias enteras.
[1:18:44.80]-[1:18:47.80]  ¿Y eso pasó en Gudal? ¿Qué pasa? ¿Estaban enfrentados?
[1:18:47.80]-[1:18:50.80]  Sí, sí, sí, también estaban.
[1:18:50.80]-[1:18:55.80]  Si te hablas con uno, no lees la palabra a otro.
[1:18:55.80]-[1:18:57.80]  ¿Y tanto, tanto?
[1:18:57.80]-[1:18:59.80]  Tanto. Aún siguen.
[1:18:59.80]-[1:19:00.80]  ¿Aún siguen?
[1:19:00.80]-[1:19:02.80]  Aún siguen, sí, aún siguen.
[1:19:02.80]-[1:19:03.80]  ¿Y por qué?
[1:19:03.80]-[1:19:06.80]  Yo a veces he subido de fiesta.
[1:19:06.80]-[1:19:11.80]  Oye, si yo me llevo bien contigo y contigo, ¿por qué no puedo hablar con los dos?
[1:19:11.80]-[1:19:16.80]  Y enseguida decían, oye, ahora no vuelvas a hablar con ese, ¿eh?
[1:19:16.80]-[1:19:19.80]  Oye, ¿y a mí qué?
[1:19:19.80]-[1:19:22.80]  Yo he hecho un vaso vino contigo y un vaso vino contigo.
[1:19:22.80]-[1:19:25.80]  Y otro con este, yo con cualquiera. Yo me hago con todo el mundo.
[1:19:25.80]-[1:19:27.80]  A ver, ¿por qué?
[1:19:27.80]-[1:19:32.80]  Oye, y ahí no son así.
[1:19:32.80]-[1:19:39.80]  Pues está dentro. Es que, ¿cómo, no entiendo, cómo a un pueblo así se llevaron las informaciones?
[1:19:39.80]-[1:19:42.80]  Se traían las informaciones. ¿De dónde?
[1:19:42.80]-[1:19:46.80]  ¿Quién informa a este pueblo de lo que pasa?
[1:19:46.80]-[1:19:50.80]  Como no había entonces periódicos o así, ¿no?
[1:19:50.80]-[1:19:55.80]  Las informaciones siempre han estado.
[1:19:55.80]-[1:20:00.80]  Había dos radios en el pueblo y los ponían.
[1:20:00.80]-[1:20:12.80]  Un maestro tenía la radio cuando...
[1:20:12.80]-[1:20:20.80]  ¡Ay, qué pensamiento! Me ha venido un pensamiento porque...
[1:20:20.80]-[1:20:27.80]  El maestro que había, otra vez, puso la plata, tiene una ventana, la plata era del ayuntamiento.
[1:20:27.80]-[1:20:32.80]  Y le puso ahí la ventana y yo oía.
[1:20:32.80]-[1:20:39.80]  Luego al otro día, en la escuela el maestro nos explicaba, que dice...
[1:20:39.80]-[1:20:44.80]  Mañana se abrirán las cortes españolas y saldrán los puercos.
[1:20:44.80]-[1:20:47.80]  Y era familia de él.
[1:20:47.80]-[1:20:49.80]  ¡Ven aquí, ven!
[1:20:49.80]-[1:20:57.80]  ¿Cuántos cachetes? Dice que se abrirían las cortes y si se abren las cortes se salen los cuerpos.
[1:20:57.80]-[1:21:02.80]  Él no sabía lo que eran las cortes, ¿sabes? No sabía.
[1:21:02.80]-[1:21:07.80]  Eso es cierto, ¿eh?
[1:21:07.80]-[1:21:11.80]  Además, aún vive quien lo cuenta también.
[1:21:11.80]-[1:21:14.80]  Pero el que lo dijo aún vive también.
[1:21:14.80]-[1:21:16.80]  Tiene dos años más que yo.
[1:21:16.80]-[1:21:18.80]  Era familia del maestro.
[1:21:18.80]-[1:21:25.80]  Y dice, si se abren las cortes españolas y saldrán los puercos.
[1:21:25.80]-[1:21:27.80]  Ay, Dios mío.
[1:21:27.80]-[1:21:34.80]  ¿Y usted, pues, usted, ¿cuántos años tuvo entonces en la guerra civil?
[1:21:34.80]-[1:21:37.80]  Yo en la guerra no estuve.
[1:21:37.80]-[1:21:39.80]  Yo en la guerra no estuve, era joven, ¿sabes?
[1:21:39.80]-[1:21:41.80]  ¿Cuántos años?
[1:21:41.80]-[1:21:49.80]  Yo en mi hermano tenía dos años más que yo. Y ya no se lo llevaron.
[1:21:49.80]-[1:21:55.80]  Nada más que se llegaron a Mora y ya llamaron el primer retrato de su quinta, que él hubiera ido.
[1:21:55.80]-[1:21:57.80]  Era de 1942.
[1:21:57.80]-[1:22:01.80]  Así la quinta más joven que se fue, era de 1941.
[1:22:01.80]-[1:22:04.80]  Tenían 17 niños.
[1:22:04.80]-[1:22:06.80]  Y la quinta lo sacó.
[1:22:06.80]-[1:22:11.80]  No había maletas.
[1:22:11.80]-[1:22:14.80]  Lo cogían en un salto y llevaban en una poida de pan.
[1:22:14.80]-[1:22:16.80]  Sí.
[1:22:16.80]-[1:22:29.80]  ¿Cuántos años tuvo usted entonces cuando empezó la guerra?
[1:22:29.80]-[1:22:31.80]  Nací el 23.
[1:22:31.80]-[1:22:32.80]  ¿23?
[1:22:32.80]-[1:22:33.80]  Nací el 23.
[1:22:33.80]-[1:22:35.80]  Y empezó el 36.
[1:22:35.80]-[1:22:37.80]  Pues jovencito, ¿no?
[1:22:37.80]-[1:22:39.80]  Pues un niño, todo abrió.
[1:22:39.80]-[1:22:45.80]  Sí.
[1:22:45.80]-[1:22:58.80]  ¿Y hubo algún momento en que estuviera decepcionado porque no el maestro no animara a los chicos a estudiar?
[1:22:58.80]-[1:23:07.80]  Sí, hubo de todo. A lo mejor hacían de maestro un grupo de pueblo.
[1:23:07.80]-[1:23:11.80]  ¿Pero aquí los padres animaban a los hijos a estudiar o no?
[1:23:11.80]-[1:23:17.80]  Entonces solo estudiaban a los ricos.
[1:23:17.80]-[1:23:28.80]  Yo les digo la verdad, yo al verano aquel, el 36, me veía en la tele.
[1:23:28.80]-[1:23:30.80]  Me decía, ¿dónde está?
[1:23:30.80]-[1:23:33.80]  Que era familia.
[1:23:33.80]-[1:23:36.80]  Pero ya no.
[1:23:36.80]-[1:23:41.80]  Yo igual hubiera salido, ¿viste?
[1:23:41.80]-[1:23:44.80]  Sin poderse casar, ¿no?
[1:23:44.80]-[1:23:47.80]  No, no, no.
[1:23:47.80]-[1:23:51.80]  Ya la que van a salir se van.
[1:23:51.80]-[1:23:53.80]  No hay ninguno.
[1:23:53.80]-[1:23:55.80]  Todos estudian ahora.
[1:23:55.80]-[1:23:57.80]  Monjas sí que hay.
[1:23:57.80]-[1:23:58.80]  ¿Hay monjas?
[1:23:58.80]-[1:23:59.80]  ¿Aquí?
[1:23:59.80]-[1:24:01.80]  No, de aquí.
[1:24:01.80]-[1:24:07.80]  ¿De aquí hay más hombres o más mujeres?
[1:24:07.80]-[1:24:10.80]  Pues, acá no hay un poco más las mujeres.
[1:24:10.80]-[1:24:11.80]  ¿Así?
[1:24:11.80]-[1:24:12.80]  Por 30, sí.
[1:24:12.80]-[1:24:15.80]  ¿Por el turismo?
[1:24:15.80]-[1:24:18.80]  Es por el turismo, ¿no?
[1:24:18.80]-[1:24:23.80]  Que las mujeres trabajan en el turismo o no.
[1:24:23.80]-[1:24:28.80]  Las mujeres ahora trabajan todas que quieren.
[1:24:28.80]-[1:24:30.80]  Todas que tienen trabajo ahora.
[1:24:30.80]-[1:24:33.80]  Ahora que no trabajan es porque no quieren.
[1:24:33.80]-[1:24:43.80]  Si habrá más de 40 y más de 50 extranjeros trabajando ahí.
[1:24:43.80]-[1:24:46.80]  Pero están colombianos, vatorianos.
[1:24:46.80]-[1:24:47.80]  ¿Sí?
[1:24:47.80]-[1:24:50.80]  Sí, sí, sí.
[1:24:50.80]-[1:24:52.80]  ¿Y de qué trabajan?
[1:24:52.80]-[1:24:54.80]  La mayoría en la construcción.
[1:24:54.80]-[1:24:55.80]  ¿Cómo?
[1:24:55.80]-[1:24:59.80]  Hay muchos, pero muchos.
[1:24:59.80]-[1:25:04.80]  Es que me parece un poco raro que un extranjero...
[1:25:04.80]-[1:25:09.80]  ¿Ha venido una familia?
[1:25:09.80]-[1:25:11.80]  Me he confundido ahora.
[1:25:11.80]-[1:25:13.80]  No sé, mi familia.
[1:25:13.80]-[1:25:17.80]  ¿Cómo son? ¿De dónde son estos?
[1:25:17.80]-[1:25:20.80]  Siete hijos, el padre y la madre.
[1:25:20.80]-[1:25:22.80]  Trabajadores, como raro.
[1:25:22.80]-[1:25:26.80]  ¡Qué buenos chicos son!
[1:25:26.80]-[1:25:30.80]  Me proporcionó casar y un ayuntamiento.
[1:25:30.80]-[1:25:31.80]  Y sí, sí, sí.
[1:25:31.80]-[1:25:35.80]  Me traigo otra familia.
[1:25:35.80]-[1:25:37.80]  ¿Son de América Latina o de Europa?
[1:25:37.80]-[1:25:39.80]  Sí, sí, sí. Hablan español.
[1:25:39.80]-[1:25:40.80]  Ah, sí, sí.
[1:25:40.80]-[1:25:42.80]  Hablan español igual que nosotros.
[1:25:42.80]-[1:25:44.80]  Pero que hay rusos.
[1:25:44.80]-[1:25:45.80]  ¿Sí? ¿Rusos?
[1:25:45.80]-[1:25:46.80]  Rusos, rusos.
[1:25:46.80]-[1:25:50.80]  Hay rusos. Hay rusos.
[1:25:50.80]-[1:25:53.80]  ¿Hablan bien español?
[1:25:53.80]-[1:25:57.80]  Cuando le preguntas algo, entre ellos no.
[1:25:57.80]-[1:25:58.80]  Claro.
[1:25:58.80]-[1:26:02.80]  Entre ellos van tres y además trabajan a destajo.
[1:26:02.80]-[1:26:04.80]  Me parece que trabajan a destajo.
[1:26:04.80]-[1:26:07.80]  Porque, yo digo esto, y dicen, si trabajan a metro,
[1:26:07.80]-[1:26:08.80]  trabajan a destajo.
[1:26:08.80]-[1:26:10.80]  Y dicen, no son avariciosos.
[1:26:10.80]-[1:26:11.80]  No quieren ganar mucho dinero.
[1:26:11.80]-[1:26:13.80]  Total tiene para...
[1:26:13.80]-[1:26:15.80]  Vale.
[1:26:15.80]-[1:26:17.80]  ¿Vienen aquí en el pueblo también?
[1:26:17.80]-[1:26:19.80]  Sí, sí, sí. Ya te digo, sí.
[1:26:19.80]-[1:26:22.80]  Viven muchísimos. Hay muchos. Sí, sí, sí.
[1:26:22.80]-[1:26:24.80]  ¿Y la gente?
[1:26:24.80]-[1:26:28.80]  Hombre, por regla general, el que se queda en un pueblo
[1:26:28.80]-[1:26:30.80]  tiene que ser un poco bueno, sino...
[1:26:34.80]-[1:26:38.80]  Hay una cooperativa de chicas, una cooperativa de estil.
[1:26:38.80]-[1:26:41.80]  Sí. ¿Aquí en el pueblo?
[1:26:41.80]-[1:26:42.80]  En el pueblo, sí.
[1:26:42.80]-[1:26:43.80]  Y...
[1:26:46.80]-[1:26:49.80]  El que quiere trabajar, la mujer tiene que trabajar.
[1:26:49.80]-[1:26:52.80]  Y los chicos están. Ahora, ahí los chicos.
[1:26:52.80]-[1:26:54.80]  El uno es...
[1:26:56.80]-[1:26:58.80]  Es agra... agra...
[1:27:03.80]-[1:27:05.80]  Bueno, da igual, pero que no es del pueblo.
[1:27:05.80]-[1:27:07.80]  Ni de España.
[1:27:07.80]-[1:27:09.80]  Ni de España se va.
[1:27:09.80]-[1:27:11.80]  Es que el médico se nos casó con una negra.
[1:27:14.80]-[1:27:17.80]  El médico es de Zaragoza.
[1:27:17.80]-[1:27:19.80]  Y... ¿Se fue a Cuba o qué?
[1:27:19.80]-[1:27:21.80]  Y se fue...
[1:27:21.80]-[1:27:23.80]  No, a África.
[1:27:23.80]-[1:27:25.80]  ¿A África?
[1:27:27.80]-[1:27:29.80]  ¿A dónde fue?
[1:27:31.80]-[1:27:33.80]  A la zona ecuatoriana.
[1:27:33.80]-[1:27:35.80]  Por ahí.
[1:27:37.80]-[1:27:39.80]  No me sale. Me quedo blanco y no...
[1:27:39.80]-[1:27:41.80]  No, no, no.
[1:27:41.80]-[1:27:43.80]  Esa es una molata o una negra.
[1:27:43.80]-[1:27:45.80]  Negra, negra.
[1:27:45.80]-[1:27:49.80]  Hay un sobrino de ella, va a trabajar con las chicas.
[1:27:49.80]-[1:27:51.80]  O sea que van chicos también.
[1:27:51.80]-[1:27:53.80]  ¿Qué hacen? No lo sé.
[1:27:53.80]-[1:27:55.80]  Porque no lo sé.
[1:27:55.80]-[1:27:59.80]  Más que buscan las chicas que quieren ir a trabajar.
[1:27:59.80]-[1:28:01.80]  Siempre...
[1:28:01.80]-[1:28:03.80]  No entran con ellas.
[1:28:03.80]-[1:28:05.80]  No van como las otras.
[1:28:05.80]-[1:28:07.80]  Porque ellas son una sociedad que se formaron.
[1:28:07.80]-[1:28:09.80]  Pero que necesitan más personal.
[1:28:09.80]-[1:28:11.80]  La mayoría de las veces.
[1:28:11.80]-[1:28:13.80]  Y buscan.
[1:28:13.80]-[1:28:15.80]  Ahora mismo van dos chicos que son estancados los dos.
[1:28:15.80]-[1:28:19.80]  El uno es de lo que te digo yo de...
[1:28:19.80]-[1:28:21.80]  de negro, completamente negro.
[1:28:21.80]-[1:28:23.80]  Negro.
[1:28:23.80]-[1:28:25.80]  Y ya te digo, hay de todas...
[1:28:27.80]-[1:28:29.80]  de todas castas de pájaros ahí.
[1:28:31.80]-[1:28:35.80]  ¿A qué dicen pájaros o pájaros?
[1:28:35.80]-[1:28:37.80]  En tiempos de los rabares, había nombres de pájaros.
[1:28:37.80]-[1:28:39.80]  Subían los rasones y cogían a los pájaros.
[1:28:39.80]-[1:28:43.80]  ¿Ah sí?
