[0:00:00.00]-[0:00:06.00]  ¿Usted cómo se llama?
[0:56:21.00]-[0:56:23.00]  es muy distinto ya la juventud.
[0:56:23.00]-[0:56:25.00]  ¿Usted crió a sus hijos como...?
[0:56:25.00]-[0:56:27.00]  Yo los he criado del pecho.
[0:56:27.00]-[0:56:29.00]  A todos.
[0:56:29.00]-[0:56:31.00]  Y les he dado...
[0:56:31.00]-[0:56:33.00]  Pues te voy a decir,
[0:56:33.00]-[0:56:35.00]  que 14 meses.
[0:56:35.00]-[0:56:37.00]  Al menos, 19 meses.
[0:56:37.00]-[0:56:39.00]  Digo.
[0:56:39.00]-[0:56:41.00]  Porque se llevan casi 3 años.
[0:56:41.00]-[0:56:43.00]  ¿Y consejos les daba?
[0:56:43.00]-[0:56:45.00]  Consejos, se han dado muchos.
[0:56:45.00]-[0:56:47.00]  Luego, cada uno ha cogido los que ha querido.
[0:56:47.00]-[0:56:49.00]  ¿Qué consejos daba usted?
[0:56:49.00]-[0:56:51.00]  Por lo regular se dan buenos.
[0:56:51.00]-[0:56:53.00]  Todos los padres se dan consejos buenos.
[0:56:53.00]-[0:56:55.00]  Y he hecho lo que he podido por ellos.
[0:56:55.00]-[0:56:57.00]  Los he mandado clases particulares.
[0:56:57.00]-[0:56:59.00]  Y lo sé eso.
[0:56:59.00]-[0:57:01.00]  Oye, yo mis hijas, las dos,
[0:57:01.00]-[0:57:03.00]  han hecho taquimeganografía.
[0:57:03.00]-[0:57:05.00]  Han hecho...
[0:57:05.00]-[0:57:07.00]  Tiengo comercio.
[0:57:07.00]-[0:57:09.00]  Y tienen...
[0:57:09.00]-[0:57:11.00]  Eso, las cosas se...
[0:57:11.00]-[0:57:13.00]  Ya, pues cambian.
[0:57:13.00]-[0:57:15.00]  Yo he hecho lo que he podido por ellos.
[0:57:15.00]-[0:57:17.00]  ¿Tiene nietos?
[0:57:17.00]-[0:57:19.00]  Tengo 8 nietos.
[0:57:19.00]-[0:57:21.00]  De un hijo, 4.
[0:57:21.00]-[0:57:23.00]  De otra hija, otras 4.
[0:57:23.00]-[0:57:25.00]  ¿Y no te diferencia
[0:57:25.00]-[0:57:27.00]  en cómo educan sus hijos?
[0:57:27.00]-[0:57:29.00]  Pues mira, ahora es muy diferente.
[0:57:29.00]-[0:57:31.00]  Yo, porque mis nietos tienen carrera ya.
[0:57:31.00]-[0:57:33.00]  ¿Los nietos tienen carrera ya?
[0:57:33.00]-[0:57:35.00]  Sí.
[0:57:35.00]-[0:57:37.00]  Una nieta tiene ciencias políticas.
[0:57:37.00]-[0:57:39.00]  Y otro tiene...
[0:57:39.00]-[0:57:41.00]  Está terminando
[0:57:41.00]-[0:57:43.00]  esto...
[0:57:43.00]-[0:57:45.00]  Me duele la cabeza.
[0:57:45.00]-[0:57:47.00]  ¿Cómo se llama?
[0:57:47.00]-[0:57:49.00]  Formación profesional.
[0:57:49.00]-[0:57:51.00]  Para cosas de esto, de maquinaria y eso.
[0:57:53.00]-[0:57:55.00]  Y otro más pequeño que está estudiando.
[0:57:55.00]-[0:57:57.00]  Ahora toda la gente
[0:57:57.00]-[0:57:59.00]  estudia en los pueblos, porque ahora salen
[0:57:59.00]-[0:58:01.00]  los coches cargados de...
[0:58:01.00]-[0:58:03.00]  Todos hacen... Hasta co,
[0:58:03.00]-[0:58:05.00]  por lo menos la mayoría, hacen.
[0:58:05.00]-[0:58:07.00]  Todos los chicos.
[0:58:07.00]-[0:58:09.00]  ¿Usted cree que hace falta que la gente se vaya del pueblo para trabajar?
[0:58:09.00]-[0:58:11.00]  Pues mira,
[0:58:11.00]-[0:58:13.00]  no hacía falta que se fuera nadie.
[0:58:13.00]-[0:58:15.00]  Los primeros, en todas las
[0:58:15.00]-[0:58:17.00]  carreras del pueblo, si se hubiese cada uno,
[0:58:17.00]-[0:58:19.00]  hubiera vivido.
[0:58:19.00]-[0:58:21.00]  Y así, pues,
[0:58:21.00]-[0:58:23.00]  los mayores estamos solos.
[0:58:23.00]-[0:58:25.00]  Nos vemos muy solos. A veces.
[0:58:25.00]-[0:58:27.00]  Porque, oye,
[0:58:27.00]-[0:58:29.00]  vamos a llegar a un tiempo que no tenemos
[0:58:29.00]-[0:58:31.00]  quien nos auxilie.
[0:58:31.00]-[0:58:33.00]  O sea que un joven aquí podría
[0:58:33.00]-[0:58:35.00]  trabajar perfectamente.
[0:58:35.00]-[0:58:37.00]  Hombre, uno a lo mejor en cada casa,
[0:58:37.00]-[0:58:39.00]  si había veinte vecinos o treinta, pues a lo mejor
[0:58:39.00]-[0:58:41.00]  había vivido. ¿Me entiendes?
[0:58:41.00]-[0:58:43.00]  Pero...
[0:58:43.00]-[0:58:45.00]  Que, oye, las cosas
[0:58:45.00]-[0:58:47.00]  se ponen como
[0:58:47.00]-[0:58:49.00]  quieren y la gente, pues, ha emigrado,
[0:58:49.00]-[0:58:51.00]  como están en todos los lados, emigrando.
[0:58:51.00]-[0:58:53.00]  Y...
[0:58:53.00]-[0:58:55.00]  también se tiene que pasar mal fuera, ¿no crees que no?
[0:58:55.00]-[0:58:57.00]  Habrá quien lo pase bien y habrá quien lo
[0:58:57.00]-[0:58:59.00]  pase mal.
[0:58:59.00]-[0:59:01.00]  Nada.
[0:59:01.00]-[0:59:03.00]  ¿Hemos terminado?
[0:59:03.00]-[0:59:05.00]  Ah, miel.
[0:59:05.00]-[0:59:07.00]  Tienen miel en el pueblo.
[0:59:07.00]-[0:59:09.00]  Aquí no, mira, aquí miel
[0:59:09.00]-[0:59:11.00]  no, pero... Yo
[0:59:11.00]-[0:59:13.00]  sí que os puedo decir de cómo
[0:59:13.00]-[0:59:15.00]  hacían la miel, porque precisamente
[0:59:15.00]-[0:59:17.00]  una vez fui a ver catar unas
[0:59:17.00]-[0:59:19.00]  colmenas. Ah, sí. Pues a ver, explíquemelo
[0:59:19.00]-[0:59:21.00]  un poco, que eso sí que no...
[0:59:21.00]-[0:59:23.00]  Y eso, pues, mira, había, tenían
[0:59:23.00]-[0:59:25.00]  como una casita y tenían
[0:59:25.00]-[0:59:27.00]  panales, unos
[0:59:27.00]-[0:59:29.00]  que hacían de madera,
[0:59:29.00]-[0:59:31.00]  como cajones de madera,
[0:59:31.00]-[0:59:33.00]  eso era antes, antiguamente.
[0:59:33.00]-[0:59:35.00]  Y ahora, yo no sé, ahora las hay artificiales.
[0:59:35.00]-[0:59:37.00]  Ahora hay
[0:59:37.00]-[0:59:39.00]  ya cosas artificiales porque
[0:59:39.00]-[0:59:41.00]  yo he leído y las he visto. Pero...
[0:59:41.00]-[0:59:43.00]  Entonces, cuando yo lo vi, pues
[0:59:43.00]-[0:59:45.00]  eran de madera. Y tenían
[0:59:45.00]-[0:59:47.00]  quince o veinte cajones y
[0:59:47.00]-[0:59:49.00]  tenían un colmenar, una
[0:59:49.00]-[0:59:51.00]  casita que las hacía fuera en
[0:59:51.00]-[0:59:53.00]  un campo, en un majuelo. Yo
[0:59:53.00]-[0:59:55.00]  donde las vi era en un majuelo que tenían
[0:59:55.00]-[0:59:57.00]  árboles frutales.
[0:59:57.00]-[0:59:59.00]  Habían almendros
[0:59:59.00]-[1:00:01.00]  y había cosas.
[1:00:01.00]-[1:00:03.00]  Y, claro, fuimos a verlos catar.
[1:00:03.00]-[1:00:05.00]  Entonces, un señor se
[1:00:05.00]-[1:00:07.00]  ponía una careta
[1:00:07.00]-[1:00:09.00]  de alambre, ¿sabes?
[1:00:09.00]-[1:00:11.00]  Y iba cortando los panales.
[1:00:11.00]-[1:00:13.00]  No cortaba todo.
[1:00:13.00]-[1:00:15.00]  Las dejaba allí para que comerían
[1:00:15.00]-[1:00:17.00]  las conmenas, para que
[1:00:17.00]-[1:00:19.00]  se mantendrían.
[1:00:19.00]-[1:00:21.00]  Las tres partes las quitaban
[1:00:21.00]-[1:00:23.00]  y la una se la dejaban.
[1:00:23.00]-[1:00:25.00]  Y luego lo cogía, lo echaban
[1:00:25.00]-[1:00:27.00]  en un caldero.
[1:00:27.00]-[1:00:29.00]  Y yo no sé cómo...
[1:00:29.00]-[1:00:31.00]  Eso es lo que no te puedo decir porque
[1:00:31.00]-[1:00:33.00]  no es el tiempo que lo tuvieron cociendo.
[1:00:33.00]-[1:00:35.00]  Pero a un lado va la miel...
[1:00:35.00]-[1:00:37.00]  En el caldero, no sé...
[1:00:37.00]-[1:00:39.00]  A un lado va la miel y en el otro
[1:00:39.00]-[1:00:41.00]  la cera se debe de subir para arriba.
[1:00:41.00]-[1:00:43.00]  ¿Sabes?
[1:00:43.00]-[1:00:45.00]  Y quitan la cera.
[1:00:45.00]-[1:00:47.00]  De la miel. Y nada más eso.
[1:00:47.00]-[1:00:49.00]  Y ¿dónde lo conservan?
[1:00:49.00]-[1:00:51.00]  Yo no vi mal.
[1:00:51.00]-[1:00:53.00]  Luego en orillas o en tarros.
[1:00:53.00]-[1:00:55.00]  Ahora lo meten en tarros.
[1:00:55.00]-[1:00:57.00]  ¿Y la cera?
[1:00:57.00]-[1:00:59.00]  La cera la vendían para
[1:00:59.00]-[1:01:01.00]  hacer velas. Antes se gastaban muchas
[1:01:01.00]-[1:01:03.00]  velas en los pueblos
[1:01:03.00]-[1:01:05.00]  para llevarlas a las
[1:01:05.00]-[1:01:07.00]  iglesias, para las casas...
[1:01:07.00]-[1:01:09.00]  ¿En las casas se hacían las velas?
[1:01:09.00]-[1:01:11.00]  En las casas también se hacían velas.
[1:01:11.00]-[1:01:13.00]  ¿Cómo se hace una vela?
[1:01:13.00]-[1:01:15.00]  Pues tenían un molde.
[1:01:15.00]-[1:01:17.00]  Un molde de una hojalata,
[1:01:17.00]-[1:01:19.00]  una chapa.
[1:01:19.00]-[1:01:21.00]  Ponían un pabilo fuerte.
[1:01:21.00]-[1:01:23.00]  Abajo ponían una punta
[1:01:23.00]-[1:01:25.00]  para que sujetara.
[1:01:25.00]-[1:01:27.00]  Y llenaban el cacharrito.
[1:01:27.00]-[1:01:29.00]  Y eso lo metían en agua.
[1:01:29.00]-[1:01:31.00]  Cuando se quedaba la vela dura
[1:01:31.00]-[1:01:33.00]  pues tiraban de ella
[1:01:33.00]-[1:01:35.00]  ¿Y la sacaban?
[1:01:35.00]-[1:01:37.00]  ¿De dónde se saca la cera? Se compra.
[1:01:37.00]-[1:01:39.00]  La cera era de las colmenas.
[1:01:39.00]-[1:01:41.00]  Pero la gente
[1:01:41.00]-[1:01:43.00]  no tendría colmenas en su casa.
[1:01:43.00]-[1:01:45.00]  Bueno, eso el que tenía un colmenar.
[1:01:45.00]-[1:01:47.00]  Que había a lo mejor...
[1:01:47.00]-[1:01:49.00]  Aquí yo no conocí
[1:01:49.00]-[1:01:51.00]  nunca ninguno. Yo fui en un pueblo de fuera.
[1:01:51.00]-[1:01:53.00]  ¿En el que vivían las cernistas?
[1:01:53.00]-[1:01:55.00]  No.
[1:01:55.00]-[1:01:57.00]  Bueno, entonces la miel se conservaba en tarros.
[1:01:57.00]-[1:01:59.00]  Bueno, en tarros y en ollas. Yo lo he conocido en ollas.
[1:01:59.00]-[1:02:01.00]  El que tenía...
[1:02:01.00]-[1:02:03.00]  que compraba a lo mejor cuatro o cinco kilos
[1:02:03.00]-[1:02:05.00]  o eso, mi abuelo
[1:02:05.00]-[1:02:07.00]  salía...
[1:02:13.00]-[1:02:15.00]  ¿Era en ollas de barro entonces?
[1:02:15.00]-[1:02:17.00]  Sí.
[1:02:17.00]-[1:02:19.00]  ¿Y es como...
[1:02:19.00]-[1:02:21.00]  Usted lo conocía? Yo lo he conocido.
[1:02:21.00]-[1:02:23.00]  Y luego más joven, ahora más...
[1:02:23.00]-[1:02:25.00]  Pues ya lo ves que lo meten en tarros.
[1:02:25.00]-[1:02:27.00]  Que ahora lo venden en tarros. Pero se conserva bien
[1:02:27.00]-[1:02:29.00]  en el barro.
[1:02:29.00]-[1:02:31.00]  Se conserva bien.
[1:02:31.00]-[1:02:33.00]  ¿Y para qué utilizan la miel?
[1:02:33.00]-[1:02:35.00]  La miel es buenísima
[1:02:35.00]-[1:02:37.00]  para cantidad de cosas.
[1:02:37.00]-[1:02:39.00]  Para la garganta mismo.
[1:02:39.00]-[1:02:41.00]  Ahora yo si me tomo una cucharada, me viene bien.
[1:02:41.00]-[1:02:43.00]  Una cucharada de miel con limón
[1:02:43.00]-[1:02:45.00]  viene bien para la garganta.
[1:02:45.00]-[1:02:47.00]  Para muchas cosas.
[1:02:47.00]-[1:02:49.00]  La miel. Hay quien no puede tomar azúcar
[1:02:49.00]-[1:02:51.00]  y toma miel.
[1:02:51.00]-[1:02:53.00]  ¿Ya ves?
[1:02:53.00]-[1:02:55.00]  O sea que sí utilizan la miel.
[1:02:55.00]-[1:02:57.00]  La miel pues...
[1:02:57.00]-[1:02:59.00]  Se sigue utilizando mucho.
[1:02:59.00]-[1:03:01.00]  ¿Y para algún dulce?
[1:03:01.00]-[1:03:03.00]  También lo echan para dulces también.
[1:03:03.00]-[1:03:05.00]  También aprovechan para dulces.
[1:03:05.00]-[1:03:07.00]  La miel.
[1:03:07.00]-[1:03:09.00]  Ya te digo.
[1:03:09.00]-[1:03:11.00]  ¿Y es en algún pueblo de cerca donde se...
[1:03:11.00]-[1:03:13.00]  Donde vio usted lo de la miel?
[1:03:13.00]-[1:03:15.00]  Pues no, no es tan cerca.
[1:03:15.00]-[1:03:17.00]  18 o 20 kilómetros.
[1:03:17.00]-[1:03:19.00]  Un amigo nuestro que tenía
[1:03:19.00]-[1:03:21.00]  y una vez pues nos invitó
[1:03:21.00]-[1:03:23.00]  cuando...
[1:03:23.00]-[1:03:25.00]  cuando cataron, que hacían la cata.
[1:03:25.00]-[1:03:27.00]  Pues fuimos y...
[1:03:27.00]-[1:03:29.00]  ¿Y la cata qué es?
[1:03:29.00]-[1:03:31.00]  Pues cuando hacen eso.
[1:03:31.00]-[1:03:33.00]  Cuando quitan de los enjambres
[1:03:33.00]-[1:03:35.00]  quitan la miel
[1:03:35.00]-[1:03:37.00]  que sale como empanales.
[1:03:37.00]-[1:03:39.00]  Sale como si...
[1:03:39.00]-[1:03:41.00]  Como si sería un pan.
[1:03:41.00]-[1:03:43.00]  ¿Sabes? Lo llaman empanales.
[1:03:43.00]-[1:03:45.00]  Tiene como agujeritos.
[1:03:45.00]-[1:03:47.00]  Y lo quitan, lo cortan con un cuchillo
[1:03:47.00]-[1:03:49.00]  y lo llevan pues a casa.
[1:03:49.00]-[1:03:51.00]  Y luego en casa pues lo echaban
[1:03:51.00]-[1:03:53.00]  en un caldero y lo hacía.
[1:03:53.00]-[1:03:55.00]  Yo luego ya no me arrimé.
[1:03:55.00]-[1:03:57.00]  ¿Se llevan todo el panal o...?
[1:03:57.00]-[1:03:59.00]  Dejan un cacho.
[1:03:59.00]-[1:04:01.00]  Dejan... Los panales los parten.
[1:04:01.00]-[1:04:03.00]  Van partiendo y los...
[1:04:03.00]-[1:04:05.00]  Echan en un cesto, en una cosa.
[1:04:05.00]-[1:04:07.00]  Y como se separa la miel del panal.
[1:04:07.00]-[1:04:09.00]  Porque digo yo que el panal no será solo miel.
[1:04:09.00]-[1:04:11.00]  Pero es que está...
[1:04:11.00]-[1:04:13.00]  Está como cera.
[1:04:13.00]-[1:04:15.00]  Está como una cosa dura.
[1:04:15.00]-[1:04:17.00]  Que tú no sabes lo que es.
[1:04:17.00]-[1:04:19.00]  Nada más que ves que tiene
[1:04:19.00]-[1:04:21.00]  como agujeritos, como eso.
[1:04:21.00]-[1:04:23.00]  Que va entre los agujeros algunas veces.
[1:04:23.00]-[1:04:25.00]  Hasta alguna colmena, ¿eh?
[1:04:25.00]-[1:04:27.00]  Que se lleva alguna abeja.
[1:04:27.00]-[1:04:29.00]  Y luego ya pues eso
[1:04:29.00]-[1:04:31.00]  al echarlo en las calderas.
[1:04:31.00]-[1:04:33.00]  Yo no sé si lo darán mucho calor o poco.
[1:04:33.00]-[1:04:35.00]  Porque es que ese procedimiento
[1:04:35.00]-[1:04:37.00]  no te lo puedo decir.
[1:04:37.00]-[1:04:39.00]  Porque no lo vi hacer.
[1:04:39.00]-[1:04:41.00]  Yo ya cuando me lo dieron la miel en el plato
[1:04:41.00]-[1:04:43.00]  y la cera que lo vi.
[1:04:43.00]-[1:04:45.00]  ¿Sabes?
[1:04:45.00]-[1:04:47.00]  O sea que se calienta todo el panal.
[1:04:47.00]-[1:04:49.00]  Lo calientan. Eso sí que es de rojo.
[1:04:49.00]-[1:04:51.00]  Lo calientan en un caldero.
[1:04:51.00]-[1:04:53.00]  Y eso. Y yo creo que la miel
[1:04:53.00]-[1:04:55.00]  queda abajo y la cera sube arriba.
[1:04:55.00]-[1:04:57.00]  O es al revés.
[1:04:57.00]-[1:04:59.00]  Pero no. La miel tiene que ser
[1:04:59.00]-[1:05:01.00]  abajo porque pesa más.
[1:05:01.00]-[1:05:03.00]  Que la cera pesa menos.
[1:05:03.00]-[1:05:05.00]  Y yo creo que eso.
[1:05:05.00]-[1:05:07.00]  Y se separan las dos cosas.
[1:05:07.00]-[1:05:09.00]  Se separan las dos cosas.
[1:05:09.00]-[1:05:11.00]  Luego claro. Lo van quitando y se separan.
[1:05:11.00]-[1:05:13.00]  Y hay que esperar a que se
[1:05:13.00]-[1:05:15.00]  enfría para meter en
[1:05:15.00]-[1:05:17.00]  tarros o...
[1:05:17.00]-[1:05:19.00]  Eso lo tienen que dejar enfriar mujeres.
[1:05:19.00]-[1:05:21.00]  Quitan eso.
[1:05:21.00]-[1:05:23.00]  Lo dejarán cuando esté templado.
[1:05:23.00]-[1:05:25.00]  Pues para echarlo en tarros lo tienen que dejar casi frío.
[1:05:25.00]-[1:05:27.00]  Porque los tarros no se parten.
[1:05:27.00]-[1:05:29.00]  Pero...
[1:05:29.00]-[1:05:31.00]  Si lo echan en una olla, pues la olla
[1:05:31.00]-[1:05:33.00]  aguanta más. O en un...
[1:05:33.00]-[1:05:35.00]  O en un perol de porcelán. O en una cosa.
[1:05:35.00]-[1:05:37.00]  No sé. Cada uno lo echaría.
[1:05:37.00]-[1:05:39.00]  Lo que fuera. Yo nada más lo he visto eso.
[1:05:39.00]-[1:05:41.00]  En ese procedimiento.
[1:05:41.00]-[1:05:43.00]  Y luego catarlo. Es que un poquito de miel
[1:05:43.00]-[1:05:45.00]  se la toma usted.
[1:05:45.00]-[1:05:47.00]  Esa es la cata. Se prueba un poco de miel.
[1:05:47.00]-[1:05:49.00]  Bueno. La cata pues el que
[1:05:49.00]-[1:05:51.00]  quiere comer el miel luego pues lo come.
[1:05:51.00]-[1:05:53.00]  Y el que no pues no lo come.
[1:05:53.00]-[1:05:55.00]  Que no... Ya te digo.
[1:05:55.00]-[1:05:57.00]  ¿Sabes lo que tiene la abeja?
[1:05:57.00]-[1:05:59.00]  Que llegando ahora el mes de junio
[1:05:59.00]-[1:06:01.00]  para que crie en el gemelo...
[1:06:01.00]-[1:06:03.00]  ¿Y qué cría, Damián?
[1:06:03.00]-[1:06:05.00]  Para que crie... Para que...
[1:06:05.00]-[1:06:07.00]  Para que haga salzada en jambre.
[1:06:07.00]-[1:06:09.00]  Para que... Para que...
[1:06:09.00]-[1:06:11.00]  Una cría como los huevos.
[1:06:11.00]-[1:06:13.00]  ¿Pasabés?
[1:06:13.00]-[1:06:15.00]  Y es que no... Ahora las abejas
[1:06:15.00]-[1:06:17.00]  pues van a las flores.
[1:06:17.00]-[1:06:19.00]  Mira, yo ahora mismo tengo flores
[1:06:19.00]-[1:06:21.00]  en casa. Tengo alelíes.
[1:06:21.00]-[1:06:23.00]  Y van... Y hay abejas. En ellas
[1:06:23.00]-[1:06:25.00]  que van al néctar de las...
[1:06:25.00]-[1:06:27.00]  de las flores.
[1:06:27.00]-[1:06:29.00]  Van las abejas.
[1:06:29.00]-[1:06:31.00]  Igual que los moscones van también.
[1:06:31.00]-[1:06:33.00]  Van las flores mucho al romero.
[1:06:33.00]-[1:06:35.00]  Por eso
[1:06:35.00]-[1:06:37.00]  la miel de cada sitio
[1:06:37.00]-[1:06:39.00]  tiene... Me está doliendo la nuca el ron.
[1:06:39.00]-[1:06:41.00]  Tiene... Cada sitio
[1:06:41.00]-[1:06:43.00]  tiene un gusto la miel.
[1:06:43.00]-[1:06:45.00]  Un sitio sabe a brezzo.
[1:06:45.00]-[1:06:47.00]  En otro sabe a romero. ¿No vosotros no habéis
[1:06:47.00]-[1:06:49.00]  notado que cuando habéis comido miel
[1:06:49.00]-[1:06:51.00]  que está distinta?
[1:06:51.00]-[1:06:53.00]  Que tiene un saborcillo.
[1:06:53.00]-[1:06:55.00]  No, pues las
[1:06:55.00]-[1:06:57.00]  hay... Las hay que... Hay miel
[1:06:57.00]-[1:06:59.00]  que sabe a romero, pero mucho.
[1:06:59.00]-[1:07:01.00]  Y otra pues que sabe
[1:07:01.00]-[1:07:03.00]  a... a flores.
[1:07:03.00]-[1:07:05.00]  Que eso.
[1:07:05.00]-[1:07:07.00]  Eso depende de la abeja.
[1:07:07.00]-[1:07:09.00]  Depende del sitio que...
[1:07:09.00]-[1:07:11.00]  Que crie.
[1:07:11.00]-[1:07:13.00]  El sitio que esté. Entonces la parte
[1:07:13.00]-[1:07:15.00]  que se deja en la colmena.
[1:07:15.00]-[1:07:17.00]  Pues esa es para alimentarse.
[1:07:17.00]-[1:07:19.00]  La cría.
[1:07:19.00]-[1:07:21.00]  Luego. Cuando sale.
[1:07:21.00]-[1:07:23.00]  Pues es para que se alimente la cría.
[1:07:23.00]-[1:07:25.00]  Y si no tienen los años que vienen
[1:07:25.00]-[1:07:27.00]  malos, que hay años, yo no sé si es
[1:07:27.00]-[1:07:29.00]  cuando llueve mucho.
[1:07:29.00]-[1:07:31.00]  O cuando no llueve.
[1:07:31.00]-[1:07:33.00]  Eso sí que no te puedo decir.
[1:07:33.00]-[1:07:35.00]  Pues tienen...
[1:07:35.00]-[1:07:37.00]  Resulta que entonces tienen
[1:07:37.00]-[1:07:39.00]  las...
[1:07:39.00]-[1:07:41.00]  Tienen que echar azúcar. Porque
[1:07:41.00]-[1:07:43.00]  si no tienen miel,
[1:07:43.00]-[1:07:45.00]  tienen que ponerlas azúcar.
[1:07:45.00]-[1:07:47.00]  Azúcar. Sí. A las colmenas.
[1:07:47.00]-[1:07:49.00]  Para que se alimenten.
[1:07:49.00]-[1:07:51.00]  O ponerlas... Comprar miel
[1:07:51.00]-[1:07:53.00]  y ponérselo.
[1:07:53.00]-[1:07:55.00]  Porque es que necesitan alimento.
[1:07:55.00]-[1:07:57.00]  Si no tienen, porque hay
[1:07:57.00]-[1:07:59.00]  veces que crían... O sea que tienen
[1:07:59.00]-[1:08:01.00]  mucha miel. Pero hay años
[1:08:01.00]-[1:08:03.00]  que se da mal. Yo no sé si es el año
[1:08:03.00]-[1:08:05.00]  que viene seco o el año que viene frío.
[1:08:05.00]-[1:08:07.00]  Eso no te puedo decir.
[1:08:07.00]-[1:08:09.00]  No.
[1:08:09.00]-[1:08:11.00]  Una cosa que se me había olvidado de preguntarles.
[1:08:11.00]-[1:08:13.00]  La colada.
[1:08:13.00]-[1:08:15.00]  ¿Cómo se... Aquí se iba...
[1:08:15.00]-[1:08:17.00]  ¿La ropa? Sí.
[1:08:17.00]-[1:08:19.00]  Ahí se me están preguntando ya mucho.
[1:08:19.00]-[1:08:21.00]  Me duele la cabeza.
[1:08:21.00]-[1:08:23.00]  Pues aquí se lavaban en un lavadero.
[1:08:23.00]-[1:08:25.00]  Sí. Se iba a un lavadero que había ahí.
[1:08:25.00]-[1:08:27.00]  No había rollos aquí.
[1:08:27.00]-[1:08:29.00]  Se lavaban en lavaderos.
[1:08:29.00]-[1:08:31.00]  Iban todas las señoras a lavar
[1:08:31.00]-[1:08:33.00]  al lavadero.
[1:08:33.00]-[1:08:35.00]  Y se lavaba bien. Con jabón.
[1:08:35.00]-[1:08:37.00]  Luego se dejaban la ropa blanca en jabón
[1:08:37.00]-[1:08:39.00]  porque entonces había menos ropa
[1:08:39.00]-[1:08:41.00]  y estaban más sucias.
[1:08:41.00]-[1:08:43.00]  Porque se trabajaba más en el campo.
[1:08:43.00]-[1:08:45.00]  Y se dejaban jabón.
[1:08:45.00]-[1:08:47.00]  Y después
[1:08:47.00]-[1:08:49.00]  se traía a casa.
[1:08:49.00]-[1:08:51.00]  Se tendían el prao, la ropa...
[1:08:51.00]-[1:08:53.00]  Se dejaba el jabón y se llevaba a casa con jabón.
[1:08:53.00]-[1:08:55.00]  Sí, se dejaba con jabón.
[1:08:55.00]-[1:08:57.00]  Y se tendía el prao.
[1:08:57.00]-[1:08:59.00]  Y se regaba.
[1:08:59.00]-[1:09:01.00]  Se quitaba todo el amarillo de la ropa.
[1:09:01.00]-[1:09:03.00]  O sea, si tú hicies
[1:09:03.00]-[1:09:05.00]  una ropa blanca amarilla,
[1:09:05.00]-[1:09:07.00]  la sacas a un prao,
[1:09:07.00]-[1:09:09.00]  la tiendes,
[1:09:09.00]-[1:09:11.00]  la riegas cuando
[1:09:11.00]-[1:09:13.00]  está seca la prenda
[1:09:13.00]-[1:09:15.00]  y se la blanquea.
[1:09:15.00]-[1:09:17.00]  Si es nylon
[1:09:17.00]-[1:09:19.00]  se pone amarilla cada vez.
[1:09:19.00]-[1:09:21.00]  Más amarilla. Pero si
[1:09:21.00]-[1:09:23.00]  está en...
[1:09:23.00]-[1:09:25.00]  Si es hilo,
[1:09:25.00]-[1:09:27.00]  pues se pone blanca. Muy blanca.
[1:09:27.00]-[1:09:29.00]  Y luego después
[1:09:29.00]-[1:09:31.00]  se hacía la colada
[1:09:31.00]-[1:09:33.00]  que se echaba lejía.
[1:09:33.00]-[1:09:35.00]  Había quien raspaba jabón.
[1:09:35.00]-[1:09:37.00]  Y luego ya empezaron a venir lo que es
[1:09:37.00]-[1:09:39.00]  la lejía. Y claro, la gente como
[1:09:39.00]-[1:09:41.00]  se quedaba la ropa más blanquita,
[1:09:41.00]-[1:09:43.00]  pues echaban lejía.
[1:09:43.00]-[1:09:45.00]  Eso hoy lo hemos hecho.
[1:09:45.00]-[1:09:47.00]  Pues nada, ahora las lavadoras automáticas.
[1:09:47.00]-[1:09:49.00]  Son las que funcionan en todas
[1:09:49.00]-[1:09:51.00]  las casas.
[1:09:51.00]-[1:09:53.00]  Si puedes lavar un trasto a mano que quieras
[1:09:53.00]-[1:09:55.00]  lavar una cosa, por no poner
[1:09:55.00]-[1:09:57.00]  la lavadora, pues un
[1:09:57.00]-[1:09:59.00]  poquito, pero no.
[1:09:59.00]-[1:10:01.00]  ¿Y el agua del lavadero de donde
[1:10:01.00]-[1:10:03.00]  venía? Pues un manantial
[1:10:03.00]-[1:10:05.00]  que había. Y ahora ya
[1:10:05.00]-[1:10:07.00]  ni eso. Ahora han tenido que hacer un pozo
[1:10:07.00]-[1:10:09.00]  un sondeo, porque no hay agua.
[1:10:09.00]-[1:10:11.00]  Mira, por aquí antes
[1:10:11.00]-[1:10:13.00]  por este praba abajo,
[1:10:13.00]-[1:10:15.00]  corría el agua que se mataba, por ahí.
[1:10:15.00]-[1:10:17.00]  Y ahora ya no hay nada.
[1:10:17.00]-[1:10:19.00]  La cosa está mal.
[1:10:19.00]-[1:10:21.00]  ¿Y para las casas el agua?
[1:10:21.00]-[1:10:23.00]  Para las casas hay agua corriente.
[1:10:23.00]-[1:10:25.00]  Sí, pero...
[1:10:25.00]-[1:10:27.00]  ¿Qué han hecho?
[1:10:27.00]-[1:10:29.00]  Pero no habrá agua caliente desde hace mucho.
[1:10:29.00]-[1:10:31.00]  Agua caliente en las casas
[1:10:31.00]-[1:10:33.00]  con un calentador
[1:10:33.00]-[1:10:35.00]  que tienes. El que uno es
[1:10:35.00]-[1:10:37.00]  eléctrico, otro es de gas.
