[0:00:00.00]-[0:00:04.92]  Y aquí estoy nativa.
[0:47:02.96]-[0:47:03.96]  Aquí pisar la uva y aquí al vino.
[0:47:03.96]-[0:47:04.96]  Sí, sí, sí.
[0:47:04.96]-[0:47:05.96]  ¿Está bueno?
[0:47:05.96]-[0:47:06.96]  ¿Está pagado?
[0:47:06.96]-[0:47:07.96]  ¿Quieres alguna?
[0:47:07.96]-[0:47:08.96]  ¿Quieres alguna copeta?
[0:47:08.96]-[0:47:09.96]  Si quieres una de esas, no te cuesta nada.
[0:47:09.96]-[0:47:10.96]  Es que aquí todo el mundo lleva las cajas grandes.
[0:47:10.96]-[0:47:11.96]  Claro.
[0:47:11.96]-[0:47:32.96]  De no ser para regalos o cosas así que te cogen los estuches.
[0:47:32.96]-[0:47:35.96]  ¿Cuántas están las cajas grandes?
[0:47:35.96]-[0:47:36.96]  Esta es a cinco quinientas.
[0:47:36.96]-[0:47:49.96]  ¿Y dónde envasan el vino y todo?
[0:47:49.96]-[0:48:03.96]  ¿Y dónde envasan el vino y todo?
[0:48:03.96]-[0:48:20.96]  ¿Y dónde envasan el vino y todo?
[0:48:20.96]-[0:48:35.96]  ¿Y dónde envasan el vino y todo?
[0:48:35.96]-[0:48:54.96]  ¿Y dónde envasan el vino y todo?
[0:48:54.96]-[0:49:09.96]  ¿Y dónde envasan el vino y todo?
[0:49:09.96]-[0:49:24.96]  ¿Y dónde envasan el vino y todo?
[0:49:24.96]-[0:49:39.96]  ¿Y dónde envasan el vino y todo?
[0:49:39.96]-[0:49:54.96]  ¿Y dónde envasan el vino y todo?
[0:49:54.96]-[0:50:09.96]  ¿Y dónde envasan el vino y todo?
[0:50:09.96]-[0:50:24.96]  ¿Y dónde envasan el vino y todo?
[0:50:24.96]-[0:50:39.96]  ¿Y dónde envasan el vino y todo?
[0:50:39.96]-[0:50:54.96]  ¿Y dónde envasan el vino y todo?
[0:50:54.96]-[0:51:09.96]  ¿Y dónde envasan el vino y todo?
[0:51:09.96]-[0:51:24.96]  ¿Y dónde envasan el vino y todo?
[0:51:24.96]-[0:51:39.96]  ¿Y dónde envasan el vino y todo?
[0:51:39.96]-[0:51:54.96]  ¿Y dónde envasan el vino y todo?
[0:51:54.96]-[0:52:09.96]  ¿Y dónde envasan el vino y todo?
[0:52:09.96]-[0:52:24.96]  ¿Y dónde envasan el vino y todo?
[0:52:24.96]-[0:52:39.96]  ¿Y dónde envasan el vino y todo?
[0:52:39.96]-[0:52:54.96]  ¿Y dónde envasan el vino y todo?
[0:52:54.96]-[0:53:09.96]  ¿Y dónde envasan el vino y todo?
[0:53:09.96]-[0:53:24.96]  ¿Y dónde envasan el vino y todo?
[0:53:24.96]-[0:53:39.96]  ¿Y dónde envasan el vino y todo?
[0:53:39.96]-[0:53:54.96]  ¿Y dónde envasan el vino y todo?
[0:53:54.96]-[0:54:17.96]  ¿Y dónde envasan el vino y todo?
[0:54:17.96]-[0:54:32.96]  ¿Y dónde envasan el vino y todo?
[0:54:32.96]-[0:54:47.96]  ¿Y dónde envasan el vino y todo?
[0:54:47.96]-[0:55:02.96]  ¿Y dónde envasan el vino y todo?
[0:55:02.96]-[0:55:17.96]  ¿Y dónde envasan el vino y todo?
[0:55:17.96]-[0:55:32.96]  ¿Y dónde envasan el vino y todo?
[0:55:32.96]-[0:55:47.96]  ¿Y dónde envasan el vino y todo?
[0:55:47.96]-[0:56:02.96]  ¿Y dónde envasan el vino y todo?
[0:56:02.96]-[0:56:17.96]  ¿Y dónde envasan el vino y todo?
[0:56:17.96]-[0:56:32.96]  ¿Y dónde envasan el vino y todo?
[0:56:32.96]-[0:56:47.96]  ¿Y dónde envasan el vino y todo?
[0:56:47.96]-[0:57:02.96]  ¿Y dónde envasan el vino y todo?
[0:57:02.96]-[0:57:22.96]  ¿Y dónde envasan el vino y todo?
[0:57:22.96]-[0:57:37.96]  ¿Y dónde envasan el vino y todo?
[0:57:37.96]-[0:57:52.96]  ¿Y dónde envasan el vino y todo?
[0:57:52.96]-[0:58:07.96]  ¿Y dónde envasan el vino y todo?
[0:58:07.96]-[0:58:22.96]  ¿Y dónde envasan el vino y todo?
[0:58:22.96]-[0:58:37.96]  ¿Y dónde envasan el vino y todo?
[0:58:37.96]-[0:59:00.96]  ¿Y dónde envasan el vino y todo?
[0:59:00.96]-[0:59:15.96]  ¿Y dónde envasan el vino y todo?
[0:59:15.96]-[0:59:30.96]  ¿Y dónde envasan el vino y todo?
[0:59:30.96]-[0:59:45.96]  ¿Y dónde envasan el vino y todo?
[0:59:45.96]-[1:00:00.96]  ¿Y dónde envasan el vino y todo?
[1:00:00.96]-[1:00:15.96]  ¿Y dónde envasan el vino y todo?
[1:00:15.96]-[1:00:30.96]  ¿Y dónde envasan el vino y todo?
[1:00:30.96]-[1:00:45.96]  ¿Y dónde envasan el vino y todo?
[1:00:45.96]-[1:01:00.96]  ¿Y dónde envasan el vino y todo?
[1:01:00.96]-[1:01:18.96]  ¿Y dónde envasan el vino y todo?
[1:01:18.96]-[1:01:42.96]  ¿Y dónde envasan el vino y todo?
[1:01:48.96]-[1:02:15.96]  ¿Y dónde envasan el vino y todo?
[1:02:15.96]-[1:02:40.96]  ¿Y dónde envasan el vino y todo?
[1:02:40.96]-[1:03:05.96]  ¿Y dónde envasan el vino y todo?
[1:03:05.96]-[1:03:20.96]  ¿Y dónde envasan el vino y todo?
[1:03:20.96]-[1:03:35.96]  ¿Y dónde envasan el vino y todo?
[1:03:35.96]-[1:03:50.96]  ¿Y dónde envasan el vino y todo?
[1:03:50.96]-[1:04:05.96]  ¿Y dónde envasan el vino y todo?
[1:04:05.96]-[1:04:20.96]  ¿Y dónde envasan el vino y todo?
[1:04:20.96]-[1:04:35.96]  ¿Y dónde envasan el vino y todo?
[1:04:35.96]-[1:04:50.96]  ¿Y dónde envasan el vino y todo?
[1:04:50.96]-[1:05:05.96]  ¿Y dónde envasan el vino y todo?
[1:05:05.96]-[1:05:20.96]  ¿Y dónde envasan el vino y todo?
[1:05:20.96]-[1:05:35.96]  ¿Y dónde envasan el vino y todo?
[1:05:35.96]-[1:05:50.96]  ¿Y dónde envasan el vino y todo?
[1:05:50.96]-[1:06:05.96]  ¿Y dónde envasan el vino y todo?
[1:06:05.96]-[1:06:20.96]  ¿Y dónde envasan el vino y todo?
[1:06:20.96]-[1:06:35.96]  ¿Y dónde envasan el vino y todo?
[1:06:35.96]-[1:06:50.96]  ¿Y dónde envasan el vino y todo?
[1:06:50.96]-[1:07:05.96]  ¿Y dónde envasan el vino y todo?
[1:07:05.96]-[1:07:20.96]  ¿Y dónde envasan el vino y todo?
[1:07:20.96]-[1:07:35.96]  ¿Y dónde envasan el vino y todo?
[1:07:35.96]-[1:07:50.96]  ¿Y dónde envasan el vino y todo?
[1:07:50.96]-[1:08:05.96]  ¿Y dónde envasan el vino y todo?
[1:08:05.96]-[1:08:20.96]  ¿Y dónde envasan el vino y todo?
[1:08:20.96]-[1:08:35.96]  ¿Y dónde envasan el vino y todo?
[1:08:35.96]-[1:08:50.96]  ¿Y dónde envasan el vino y todo?
[1:08:50.96]-[1:09:05.96]  ¿Y dónde envasan el vino y todo?
[1:09:05.96]-[1:09:20.96]  ¿Y dónde envasan el vino y todo?
[1:09:20.96]-[1:09:35.96]  ¿Y dónde envasan el vino y todo?
[1:09:35.96]-[1:09:50.96]  ¿Y dónde envasan el vino y todo?
[1:09:50.96]-[1:10:05.96]  ¿Y dónde envasan el vino y todo?
[1:10:05.96]-[1:10:20.96]  ¿Y dónde envasan el vino y todo?
[1:10:20.96]-[1:10:35.96]  ¿Y dónde envasan el vino y todo?
[1:10:35.96]-[1:10:50.96]  ¿Y dónde envasan el vino y todo?
[1:10:50.96]-[1:11:05.96]  ¿Y dónde envasan el vino y todo?
[1:11:05.96]-[1:11:20.96]  ¿Y dónde envasan el vino y todo?
[1:11:20.96]-[1:11:35.96]  ¿Y dónde envasan el vino y todo?
[1:11:35.96]-[1:11:50.96]  ¿Y dónde envasan el vino y todo?
[1:11:50.96]-[1:12:05.96]  ¿Y dónde envasan el vino y todo?
[1:12:05.96]-[1:12:20.96]  ¿Y dónde envasan el vino y todo?
[1:12:20.96]-[1:12:35.96]  ¿Y dónde envasan el vino y todo?
[1:12:35.96]-[1:12:50.96]  ¿Y dónde envasan el vino y todo?
[1:12:50.96]-[1:13:05.96]  ¿Y dónde envasan el vino y todo?
[1:13:05.96]-[1:13:20.96]  ¿Y dónde envasan el vino y todo?
[1:13:20.96]-[1:13:35.96]  ¿Y dónde envasan el vino y todo?
[1:13:35.96]-[1:13:50.96]  ¿Y dónde envasan el vino y todo?
[1:13:50.96]-[1:14:05.96]  ¿Y dónde envasan el vino y todo?
[1:14:05.96]-[1:14:20.96]  ¿Y dónde envasan el vino y todo?
[1:14:20.96]-[1:14:35.96]  ¿Y dónde envasan el vino y todo?
[1:14:35.96]-[1:14:50.96]  ¿Y dónde envasan el vino y todo?
[1:14:50.96]-[1:15:13.96]  ¿Y dónde envasan el vino y todo?
[1:15:13.96]-[1:15:38.96]  ¿Y dónde envasan el vino y todo?
[1:15:38.96]-[1:15:53.96]  ¿Y dónde envasan el vino y todo?
[1:15:53.96]-[1:16:08.96]  ¿Y dónde envasan el vino y todo?
[1:16:08.96]-[1:16:23.96]  ¿Y dónde envasan el vino y todo?
[1:16:23.96]-[1:16:38.96]  ¿Y dónde envasan el vino y todo?
[1:16:38.96]-[1:17:01.96]  ¿Y dónde envasan el vino y todo?
[1:17:01.96]-[1:17:26.96]  ¿Y dónde envasan el vino y todo?
[1:17:26.96]-[1:17:41.96]  ¿Y dónde envasan el vino y todo?
[1:17:41.96]-[1:17:56.96]  ¿Y dónde envasan el vino y todo?
[1:17:56.96]-[1:18:11.96]  ¿Y dónde envasan el vino y todo?
[1:18:11.96]-[1:18:26.96]  ¿Y dónde envasan el vino y todo?
[1:18:26.96]-[1:18:41.96]  ¿Y dónde envasan el vino y todo?
[1:18:41.96]-[1:18:56.96]  ¿Y dónde envasan el vino y todo?
[1:18:56.96]-[1:19:11.96]  ¿Y dónde envasan el vino y todo?
[1:19:11.96]-[1:19:26.96]  ¿Y dónde envasan el vino y todo?
[1:19:26.96]-[1:19:41.96]  ¿Y dónde envasan el vino y todo?
[1:19:41.96]-[1:19:56.96]  ¿Y dónde envasan el vino y todo?
[1:19:56.96]-[1:20:11.96]  ¿Y dónde envasan el vino y todo?
[1:20:11.96]-[1:20:26.96]  ¿Y dónde envasan el vino y todo?
[1:20:26.96]-[1:20:41.96]  ¿Y dónde envasan el vino y todo?
[1:20:41.96]-[1:21:01.96]  ¿Y dónde envasan el vino y todo?
[1:21:01.96]-[1:21:11.96]  ¿Cómo se diría la bodega?
[1:21:11.96]-[1:21:13.96]  ¿Ya has seguido el cursillo?
[1:21:13.96]-[1:21:31.96]  Sí, me llevará un buen rato.
