[0:00:00.00]-[0:00:02.00]  ¿Fue mucha gente o...?
[0:51:04.00]-[0:51:06.00]  En el campo, y a la mar.
[0:51:06.00]-[0:51:09.00]  Pero ahora, para ir al mar tienes que pagar un seguro y todo.
[0:51:09.00]-[0:51:12.00]  No te puedes hacer lo que tú quieras. ¿Qué bocanillo?
[0:51:12.00]-[0:51:13.00]  Dame eso.
[0:51:13.00]-[0:51:14.00]  ¿Ostras tuyas?
[0:51:14.00]-[0:51:15.00]  Lo del cuello.
[0:51:17.00]-[0:51:18.00]  ¿Qué le tienes en casa?
[0:51:18.00]-[0:51:20.00]  No sé, que le tire esa pantallita.
[0:51:21.00]-[0:51:22.00]  Eso es lo que hago.
[0:51:26.00]-[0:51:27.00]  ¿Y ellas son sus hijas?
[0:51:28.00]-[0:51:31.00]  Mi hija es la que está la mayor. Después tengo mi nieto y mi nieta.
[0:51:31.00]-[0:51:32.00]  Ah, su nieta.
[0:51:32.00]-[0:51:35.00]  Mi nieta la viene todos los días a bañarlo ya. Está con él.
[0:51:35.00]-[0:51:38.00]  Cuéntanos, ¿cómo fue su crianza? ¿Cómo fue su educación?
[0:51:38.00]-[0:51:39.00]  ¿La mía?
[0:51:39.00]-[0:51:40.00]  Sí.
[0:51:40.00]-[0:51:45.00]  Ya te dije que mi madre vendía pescado y me crió a mí también.
[0:51:48.00]-[0:51:50.00]  Pero era una educación muy estricta.
[0:51:50.00]-[0:51:55.00]  ¿No es como hoy en día que apenas se castiga a los hijos, ni se les pega?
[0:51:55.00]-[0:51:59.00]  No, yo no. Mi padre a mí ni mi madre me castigaban.
[0:52:01.00]-[0:52:02.00]  Mi madre era muy buena.
[0:52:02.00]-[0:52:05.00]  Ahora que había que tener un respeto para los padres.
[0:52:05.00]-[0:52:07.00]  ¿Hoy en día así ya no se tiene?
[0:52:07.00]-[0:52:10.00]  ¿Qué? Hoy en día no se tiene ni niña.
[0:52:11.00]-[0:52:13.00]  Por hacerle el gusto. Por hacerle el gusto.
[0:52:13.00]-[0:52:17.00]  Porque mi padre le decía señor.
[0:52:18.00]-[0:52:20.00]  Porque no quería sino que le dijera señor.
[0:52:20.00]-[0:52:21.00]  Una vez sí me pegó.
[0:52:22.00]-[0:52:26.00]  Porque mira, se iba a hacer la tarde y tenemos el callarrito así de petróleo, de ruta.
[0:52:26.00]-[0:52:28.00]  Y cuando iba a ir a coger los calamares.
[0:52:28.00]-[0:52:32.00]  Me dijo porque la carretera era así de árboles, toda sellada.
[0:52:33.00]-[0:52:36.00]  Tu sentías un pajo y para ti era un miedo.
[0:52:37.00]-[0:52:41.00]  Porque no veías nada pero sentías un rollo de árboles.
[0:52:41.00]-[0:52:43.00]  Y tú decías, bueno, ahí están los hombres escondidos.
[0:52:45.00]-[0:52:49.00]  Porque estaba muy cerrada y ya se estaba haciendo de noche.
[0:52:50.00]-[0:52:53.00]  Y me dijo que fuera a comprar el petróleo para ir a la mar.
[0:52:54.00]-[0:52:56.00]  Y yo le dije, mamá, yo no voy, yo no voy.
[0:52:56.00]-[0:53:00.00]  Me fui por ahí para allá, por la salina, para la piscina.
[0:53:01.00]-[0:53:04.00]  Y me fui para allá a esconderme para no ir.
[0:53:05.00]-[0:53:07.00]  Fue él por ahí para allá.
[0:53:08.00]-[0:53:11.00]  Porque no fui. Me cogió y me puso aquí. Se quitó la espalcata.
[0:53:12.00]-[0:53:14.00]  Después no caminaba yo, que me saltó el culo.
[0:53:15.00]-[0:53:16.00]  Y no caminaba.
[0:53:17.00]-[0:53:19.00]  Pero yo le decía, papá, que yo tengo...
[0:53:19.00]-[0:53:20.00]  Adiós, que va.
[0:53:21.00]-[0:53:23.00]  Hasta luego. Adiós.
[0:53:23.00]-[0:53:26.00]  Y le dije yo que yo tenía miedo, yo tenía miedo, papá,
[0:53:27.00]-[0:53:28.00]  que la carretera esta noche...
[0:53:29.00]-[0:53:30.00]  a buscar el petróleo.
[0:53:30.00]-[0:53:31.00]  Y fui después de entre noche y día,
[0:53:32.00]-[0:53:34.00]  que todavía era la hora que estaba abierta la tienda,
[0:53:34.00]-[0:53:35.00]  y fui a buscar el petróleo.
[0:53:35.00]-[0:53:37.00]  Aquella hora se fue la alarma.
[0:53:38.00]-[0:53:39.00]  Aquella hora me pegó una espalcata.
[0:53:39.00]-[0:53:40.00]  Siempre me acuerdo.
[0:53:41.00]-[0:53:43.00]  Pero quería que le dijera, señor.
[0:53:45.00]-[0:53:48.00]  ¿El petróleo era para el barco, no?
[0:53:49.00]-[0:53:50.00]  Para el barco, en sí.
[0:53:50.00]-[0:53:52.00]  ¿El petróleo era para el barco, no?
[0:53:53.00]-[0:53:54.00]  Para el barco encender un mechón.
[0:53:56.00]-[0:53:57.00]  Como los indios se ve en la tele.
[0:53:58.00]-[0:53:59.00]  Porque iba por la noche, ¿no?
[0:53:59.00]-[0:54:00.00]  Por la noche cogía calamares.
[0:54:01.00]-[0:54:02.00]  Y cogía barres así de calamares.
[0:54:03.00]-[0:54:05.00]  En la embarcación de San Chica, que te digo.
[0:54:06.00]-[0:54:08.00]  ¿Y cómo pescaban los calamares?
[0:54:09.00]-[0:54:12.00]  ¿Cómo funcionaron? No conozco mucho la pesta.
[0:54:13.00]-[0:54:15.00]  Mira, hay unas cosas que tienen muchas cubas para arriba,
[0:54:16.00]-[0:54:17.00]  que le dicen la potera.
[0:54:17.00]-[0:54:18.00]  Eso se hace así para abajo.
[0:54:19.00]-[0:54:22.00]  Y el calamares, como es blanco, aquello blanco,
[0:54:23.00]-[0:54:24.00]  viene el calamares a comer.
[0:54:25.00]-[0:54:26.00]  Entonces él a la parrilla y lo trae.
[0:54:27.00]-[0:54:30.00]  Y otra, también, con unos pescaditos blancos así,
[0:54:31.00]-[0:54:33.00]  se le quita los cerros de los lados, las espinas,
[0:54:34.00]-[0:54:35.00]  y se echa para abajo y se pega.
[0:54:36.00]-[0:54:38.00]  Y él también lo ala para arriba, que ya tiene un anzuelo.
[0:54:39.00]-[0:54:40.00]  Así se cogían los calamares.
[0:54:40.00]-[0:54:42.00]  ¿Y cómo se los cocina después?
[0:54:43.00]-[0:54:44.00]  ¿A usted qué le gusta cocinar?
[0:54:45.00]-[0:54:46.00]  ¡Oh, cosas ricas!
[0:54:47.00]-[0:54:49.00]  Mi padre dejaba los calamares así chiquititos.
[0:54:50.00]-[0:54:54.00]  Y le decía a mi madre,
[0:54:55.00]-[0:54:57.00]  manda al niño a buscar una botella de vino.
[0:54:58.00]-[0:55:00.00]  Mandaba con una botella de vino.
[0:55:01.00]-[0:55:04.00]  Y entonces mandaba con una botella de vino,
[0:55:05.00]-[0:55:06.00]  y él se lo llevaba a la parrilla.
[0:55:07.00]-[0:55:08.00]  Y él lo llevaba a la parrilla.
[0:55:08.00]-[0:55:12.00]  Mandaba con una botella de vino y entonces él lo freía.
[0:55:13.00]-[0:55:17.00]  Al freírlo, se lo comía en tinta, con su tinta.
[0:55:18.00]-[0:55:19.00]  ¿Sabe lo que es?
[0:55:20.00]-[0:55:21.00]  ¿Negro?
[0:55:22.00]-[0:55:23.00]  Sí, negro.
[0:55:24.00]-[0:55:25.00]  Y después comía él y se iba a acostar a dormir
[0:55:26.00]-[0:55:28.00]  para ir al siguiente día otra vez a la mar.
[0:55:29.00]-[0:55:31.00]  Y nosotros los vendíamos, los otros calamares grandes.
[0:55:32.00]-[0:55:33.00]  Se vendía.
[0:55:33.00]-[0:55:40.00]  ¿Por qué se acompañaba a los calamares con papas?
[0:55:41.00]-[0:55:43.00]  Ah, los calamares se arregla con papas.
[0:55:44.00]-[0:55:46.00]  Yo arreglo los calamares con papas riquísimas.
[0:55:47.00]-[0:55:48.00]  Y se quedan riquísimas.
[0:55:49.00]-[0:55:51.00]  Después le ponemos una zanahoria, las papitas picadas.
[0:55:52.00]-[0:55:55.00]  Los calamares hay que pasarlas un poquito por aceite.
[0:55:56.00]-[0:55:57.00]  Un poquito por aceite nada más.
[0:55:58.00]-[0:55:59.00]  Con un piquito de aceite en el caldero.
[0:56:00.00]-[0:56:01.00]  Se le escurre el aceite.
[0:56:01.00]-[0:56:03.00]  Se pone solo con agua al fuego al viz.
[0:56:04.00]-[0:56:05.00]  Y cuando usted el calama es dieznito,
[0:56:06.00]-[0:56:07.00]  que tú lo cojas con la mano y se queda dieznito,
[0:56:08.00]-[0:56:10.00]  entonces le pones agua caliente
[0:56:11.00]-[0:56:13.00]  y le pones las papas y las zanahorias.
[0:56:14.00]-[0:56:15.00]  Con la fritura.
[0:56:16.00]-[0:56:17.00]  Con una fritura, ¿sabes lo que es una fritura?
[0:56:18.00]-[0:56:19.00]  Bueno, con una fritura
[0:56:20.00]-[0:56:21.00]  y se hacen los calamares con papas.
[0:56:22.00]-[0:56:23.00]  Te quedas loca con mientras.
[0:56:24.00]-[0:56:25.00]  Un arte, un arte de cocinar.
[0:56:26.00]-[0:56:27.00]  Sí, sí. Se quedan tan buenos.
[0:56:27.00]-[0:56:30.00]  Y si no fritos ellos, ¿redajas?
[0:56:31.00]-[0:56:32.00]  También son muy buenos.
[0:56:33.00]-[0:56:34.00]  Pero con papas muy buenos.
[0:56:35.00]-[0:56:37.00]  Que se amasabocan con agua fría.
[0:56:38.00]-[0:56:39.00]  Sí.
[0:56:40.00]-[0:56:42.00]  Quien solo coma con agua fría, a nosotros nos gusta así.
[0:56:43.00]-[0:56:44.00]  Y si no con pan.
[0:56:45.00]-[0:56:47.00]  Hay muchas cosas.
[0:56:48.00]-[0:56:50.00]  Luego queríamos preguntarle un tema
[0:56:51.00]-[0:56:52.00]  que es muy importante.
[0:56:53.00]-[0:56:54.00]  ¿Qué es lo que se llama la fritura?
[0:56:54.00]-[0:56:56.00]  Luego queríamos preguntarle un tema.
[0:56:57.00]-[0:56:59.00]  ¿Cómo se vivió la guerra civil?
[0:57:00.00]-[0:57:01.00]  No te sé decir.
[0:57:02.00]-[0:57:03.00]  Yo era muy chiquitita.
[0:57:04.00]-[0:57:05.00]  ¿Tiene algún recuerdo que le hayan contado?
[0:57:06.00]-[0:57:07.00]  No.
[0:57:08.00]-[0:57:09.00]  Era muy chiquitita.
[0:57:20.00]-[0:57:22.00]  Ah, tengo una última pregunta.
[0:57:22.00]-[0:57:24.00]  Cuando se hacía el pan,
[0:57:25.00]-[0:57:27.00]  usted me habló que se ponía la harina, la levadura.
[0:57:28.00]-[0:57:29.00]  ¿Cómo se conseguía la levadura?
[0:57:30.00]-[0:57:34.00]  O se la traían de arriba, donde se hacía mucho pan.
[0:57:35.00]-[0:57:36.00]  Se la vendían.
[0:57:37.00]-[0:57:38.00]  Ah, se la vendían.
[0:57:39.00]-[0:57:41.00]  Sí, cuando ha dicho lo del pan, ha dicho mata la uva.
[0:57:42.00]-[0:57:43.00]  Mata la uva. Se le pone mata la uva.
[0:57:44.00]-[0:57:45.00]  ¿Pero eso qué es?
[0:57:46.00]-[0:57:47.00]  Es una cebolla.
[0:57:48.00]-[0:57:49.00]  Para que se compre.
[0:57:49.00]-[0:57:51.00]  Para que se quede en el pan.
[0:57:52.00]-[0:57:53.00]  Y darle gusto.
[0:57:54.00]-[0:57:55.00]  Dale gusto.
[0:57:56.00]-[0:57:59.00]  Incluso cuando se tiene la regla, es bueno que se hace agua.
[0:58:00.00]-[0:58:01.00]  Y el comino.
[0:58:02.00]-[0:58:03.00]  ¿Sabe lo que es comino?
[0:58:04.00]-[0:58:05.00]  El comino es bueno para la regla.
[0:58:06.00]-[0:58:07.00]  Cuando hay olor a los ovarios, es bueno.
[0:58:08.00]-[0:58:10.00]  Mi nieta se lo toma y se le quita los dolores.
[0:58:11.00]-[0:58:12.00]  Se lo toma en infusión.
[0:58:13.00]-[0:58:14.00]  Sí, se lo hace en infusión.
[0:58:15.00]-[0:58:16.00]  Es muy bueno.
[0:58:16.00]-[0:58:19.00]  Es muy bueno. Es muy bueno de tomar, pero es bueno de curar.
[0:58:20.00]-[0:58:21.00]  Sí.
[0:58:26.00]-[0:58:27.00]  Bueno, creo que...
[0:58:28.00]-[0:58:29.00]  Hemos terminado. Muchísimas gracias.
[0:58:30.00]-[0:58:31.00]  Ha sido muy amable.
[0:58:32.00]-[0:58:33.00]  Las informaciones...
[0:58:34.00]-[0:58:35.00]  Adiosísimas.
[0:58:36.00]-[0:58:37.00]  Te vas a llevar la nana mía.
[0:58:38.00]-[0:58:39.00]  Sí, ha sido preciosa.
[0:58:41.00]-[0:58:44.00]  A mi nieta le gusta mucho.
[0:58:44.00]-[0:58:45.00]  Fuimos a verla una vez.
[0:58:46.00]-[0:58:47.00]  Y después me vi yo en pantalla cantando.
[0:58:48.00]-[0:58:49.00]  Y yo, ¡eh!
[0:58:50.00]-[0:58:51.00]  Yo no vengo.
[0:58:52.00]-[0:58:53.00]  Después me vi cantando yo.
[0:58:54.00]-[0:58:55.00]  Ella llevó una muñeca que era la niña.
[0:58:56.00]-[0:58:58.00]  Ella hizo el papel como que ella era.
[0:59:01.00]-[0:59:02.00]  Hola, abuela.
[0:59:03.00]-[0:59:04.00]  ¿Viene de tu casa a la Zafran?
[0:59:05.00]-[0:59:06.00]  Sí.
[0:59:09.00]-[0:59:10.00]  A ti te dé una bolsa.
[0:59:11.00]-[0:59:12.00]  Vale.
[0:59:12.00]-[0:59:13.00]  ¿Y dónde vas, abuela?
[0:59:14.00]-[0:59:15.00]  ¿Estás mejor?
[0:59:18.00]-[0:59:20.00]  Pero ahí te ponen la comida al fuego.
[0:59:24.00]-[0:59:25.00]  Anda para enseñarle la...
[0:59:26.00]-[0:59:27.00]  Eso no.
[0:59:28.00]-[0:59:29.00]  ¿Ya terminaron?
[0:59:30.00]-[0:59:31.00]  Sí, sí. Muchísimas gracias.
[0:59:32.00]-[0:59:33.00]  No queremos molestarla más.
[0:59:34.00]-[0:59:35.00]  Claro, déjase la comida.
[0:59:36.00]-[0:59:37.00]  Así más malas las siempre.
[0:59:37.00]-[0:59:39.00]  ¿Viste la foto?
[0:59:40.00]-[0:59:41.00]  Mira, este era mi hermano.
[0:59:42.00]-[0:59:43.00]  Mira, la puerta que está aquí.
[0:59:44.00]-[0:59:45.00]  ¿Está por aquí?
[0:59:46.00]-[0:59:47.00]  Sí.
[0:59:48.00]-[0:59:49.00]  Mira, ¿dónde está mi hermano de pie?
[0:59:50.00]-[0:59:51.00]  Fíjate tú que es nada más que tirilla.
[0:59:52.00]-[0:59:53.00]  Sí.
[0:59:54.00]-[0:59:55.00]  Ahí que tú miras de la cortina para hacer el traje.
[0:59:56.00]-[0:59:57.00]  Ah, el traje que ha dicho, sí.
[0:59:58.00]-[0:59:59.00]  Sí, y aquel es mi padre, que es el mismo que este.
[1:00:00.00]-[1:00:01.00]  Aquí, mira, un calamán tiene las manos.
[1:00:02.00]-[1:00:03.00]  ¿Lo ves?
[1:00:04.00]-[1:00:05.00]  Ah, sí.
[1:00:05.00]-[1:00:06.00]  No es mentira.
[1:00:07.00]-[1:00:08.00]  Y después esta es el agua.
[1:00:09.00]-[1:00:10.00]  Y vamos al pueblo a buscar.
[1:00:11.00]-[1:00:13.00]  Vamos así caminando al pueblo, mirando en la cabeza.
[1:00:14.00]-[1:00:15.00]  Ahí no estoy yo.
[1:00:16.00]-[1:00:17.00]  Están mis hermanas.
[1:00:18.00]-[1:00:19.00]  Mi hermana es esta.
[1:00:20.00]-[1:00:21.00]  Y llevaban eso en la cabeza.
[1:00:22.00]-[1:00:23.00]  En la cabeza, mi niña.
[1:00:24.00]-[1:00:25.00]  ¿Esa hacía daño? ¿Dónde había?
[1:00:26.00]-[1:00:28.00]  Esta es mi hermana y esta es el muy jovencita.
[1:00:29.00]-[1:00:30.00]  Mi hermana.
[1:00:31.00]-[1:00:32.00]  Y después estas son amigas.
[1:00:32.00]-[1:00:36.00]  Estas son muertas y estas son vivas.
[1:00:37.00]-[1:00:39.00]  Esta es viva y esta, ¿saben?
[1:00:40.00]-[1:00:41.00]  Las demás son muertas.
[1:00:42.00]-[1:00:43.00]  ¿Está en la vida?
[1:00:44.00]-[1:00:45.00]  Sí.
[1:00:45.00]-[1:01:02.00]  Aquí es mi padre, moviendo calamán.
