[0:00:00.00]-[0:00:02.00]  Claro, para bailarla, sí.
[0:51:04.00]-[0:51:05.00]  ¿Y cómo avisan?
[0:51:05.00]-[0:51:07.00]  Vienen desde León y de Astorga.
[0:51:07.00]-[0:51:08.00]  ¿Pero cómo avisan?
[0:51:08.00]-[0:51:09.00]  La que la practican.
[0:51:09.00]-[0:51:10.00]  ¿Y si hay una urgencia, cómo avisan?
[0:51:10.00]-[0:51:13.00]  Vienen muy rápidos que vienen.
[0:51:13.00]-[0:51:17.00]  Viene, avisamos a urgencias y vienen rápidos.
[0:51:17.00]-[0:51:19.00]  Luego vienen, sí, sí, vienen.
[0:51:19.00]-[0:51:21.00]  Vienen desde León, de Astorga, donde tengan.
[0:51:21.00]-[0:51:24.00]  ¿Habéis dicho que viene médico y…?
[0:51:24.00]-[0:51:27.00]  Viene la practicante y el médico, todo, todo.
[0:51:27.00]-[0:51:35.00]  Y los martes, los lunes y los viernes vienen todos, la practicante y el médico.
[0:51:35.00]-[0:51:38.00]  Y los otros días casi también vienen.
[0:51:38.00]-[0:51:41.00]  Pasan para los pueblos y mucha gente va por ahí a consultar.
[0:51:41.00]-[0:51:44.00]  Aquí estaba el ambulatorio.
[0:51:44.00]-[0:51:47.00]  Ese que estaba acá para la infección.
[0:51:47.00]-[0:51:50.00]  Pero fue bien poco tiempo aquí.
[0:51:50.00]-[0:51:53.00]  Bueno, pero después vino otro morro y todo.
[0:51:53.00]-[0:51:55.00]  Después vino otro y también estuvo…
[0:51:55.00]-[0:51:57.00]  Bueno, bueno, pero médicos ha habido, sí.
[0:51:57.00]-[0:51:59.00]  Médicos, superediscos, ha habido todo.
[0:51:59.00]-[0:52:02.00]  ¿Hay una vacuna en parto o había una mujer que…
[0:52:02.00]-[0:52:06.00]  Para el parto se arreglaban aquí en el pueblo siempre.
[0:52:06.00]-[0:52:09.00]  Hasta cuando ya… no sé, después…
[0:52:09.00]-[0:52:12.00]  ¿Había una mujer que entendía algo y la hacía ella?
[0:52:12.00]-[0:52:15.00]  Una mujer, iba una mujer, mandaba a una mujer…
[0:52:15.00]-[0:52:17.00]  Siempre había alguna mujer mayor que…
[0:52:17.00]-[0:52:19.00]  ¿Y la madre suya también?
[0:52:19.00]-[0:52:22.00]  Sí, mi madre siempre iba.
[0:52:22.00]-[0:52:29.00]  Siempre no, pero muchas veces iba, la llamaban porque se veía que entendía algo, yo qué sé.
[0:52:29.00]-[0:52:31.00]  ¿Y la sra. Valdés también?
[0:52:31.00]-[0:52:33.00]  La madre de su madre.
[0:52:33.00]-[0:52:38.00]  Bueno, y la sra. Valdés, la madre de su madre también iba.
[0:52:38.00]-[0:52:42.00]  Pero aquí nunca jamás iba nadie a dar a luz afuera.
[0:52:42.00]-[0:52:44.00]  Sí, estaba bueno.
[0:52:44.00]-[0:52:45.00]  ¿Estaba bueno?
[0:52:45.00]-[0:52:47.00]  Pero no, no.
[0:52:48.00]-[0:52:51.00]  ¿Y cuando moría una persona qué se hacía?
[0:52:51.00]-[0:52:54.00]  Bueno, pues cuando se moría una persona, pues…
[0:52:54.00]-[0:52:58.00]  Aquí se moría en el pueblo porque antes no lo llevaban para León como ahora,
[0:52:58.00]-[0:53:01.00]  que ahora todos nos tenemos que morir en León.
[0:53:01.00]-[0:53:05.00]  Pues se morían aquí en casa, porque iba el médico a verlos,
[0:53:05.00]-[0:53:08.00]  pero no los sacaban de casa.
[0:53:08.00]-[0:53:12.00]  Nunca, nunca me acuerdo yo casi que se sacaran la gente de casa.
[0:53:12.00]-[0:53:16.00]  No es como ahora que luego, nada más que sean un poquito enfermos luego marchan, pero…
[0:53:16.00]-[0:53:23.00]  Pero aquí venía el médico, iba el médico a casa a verla y a atenderla,
[0:53:23.00]-[0:53:27.00]  a ponerle alguna inyección o alguna cosa que le hiciera falta.
[0:53:27.00]-[0:53:31.00]  Y en casa se morían todos los mundo, aquí en el pueblo.
[0:53:31.00]-[0:53:33.00]  En mi misma casa.
[0:53:33.00]-[0:53:35.00]  ¿Qué nos sacaban de casa?
[0:53:35.00]-[0:53:37.00]  ¿Algun apacible o algún salado?
[0:53:37.00]-[0:53:41.00]  Entonces algunos nos sacaban a nadie, a nadie, a nadie, de casa.
[0:53:41.00]-[0:53:47.00]  Y ahora sí. Ahora aunque sea por bien poca cosa, luego marchan con ellos para León.
[0:53:47.00]-[0:53:49.00]  Antes murían mucha gente aquí de furmonías y de eso porque…
[0:53:49.00]-[0:53:51.00]  Que lo que fuera, ahí a lo mejor no nos entendían.
[0:53:51.00]-[0:53:53.00]  Y no se había incurtado eso.
[0:53:53.00]-[0:53:56.00]  ¿Y el tifo? Cuando hubo el tifo por aquí, murió mucha gente del tifo.
[0:53:56.00]-[0:53:57.00]  Morió mucha gente.
[0:53:57.00]-[0:53:58.00]  ¿No se había incurtado eso en…
[0:53:58.00]-[0:54:01.00]  Pues mira, cuando estaba el tifo estaba…
[0:54:01.00]-[0:54:03.00]  Pero no lo entendió.
[0:54:03.00]-[0:54:04.00]  ¿No entendían la enfermedad?
[0:54:04.00]-[0:54:08.00]  No entendía la enfermedad esa. Y murieron, se estaba produciendo.
[0:54:08.00]-[0:54:11.00]  Le mandaban luego poner nieve porque tenía mucha fiebre y…
[0:54:11.00]-[0:54:14.00]  Bueno, bueno, porque no entendieron, no entendieron.
[0:54:14.00]-[0:54:18.00]  Y los dejaron morir. Aquello sí fue culpa del médico, sí.
[0:54:18.00]-[0:54:25.00]  No fue culpa de otra cosa, no. Fue culpa que no entendió el mal ese.
[0:54:25.00]-[0:54:29.00]  ¿Y aquí se hacía algún duelo en especial o en…
[0:54:29.00]-[0:54:32.00]  ¿Cuándo se tardaba mucho en enterrar a los muertos o…?
[0:54:32.00]-[0:54:34.00]  No, aquí nada, 24 horas nada más.
[0:54:34.00]-[0:54:35.00]  ¿Nada más?
[0:54:35.00]-[0:54:39.00]  Sí, sí. Nada más 24, sí.
[0:54:39.00]-[0:54:42.00]  ¿Y se encargaban las mafieras de preparar el muerto o…?
[0:54:42.00]-[0:54:44.00]  Bueno, pues los familiares…
[0:54:44.00]-[0:54:46.00]  ¿O familiares o viajaban…?
[0:54:46.00]-[0:54:51.00]  Los familiares que más cercanos se fueran de la familia.
[0:54:51.00]-[0:54:56.00]  Los más cercanos.
[0:54:56.00]-[0:55:00.00]  Porque antes decían a la gente así vestida de todo.
[0:55:00.00]-[0:55:05.00]  Sí, y la ropa, le ponían la ropa mejor que tuvieran. Siempre.
[0:55:05.00]-[0:55:08.00]  Que ahora no los visten más que le ponen una sábana.
[0:55:08.00]-[0:55:11.00]  No, ahora le ponen una sábana revocada y ya está.
[0:55:11.00]-[0:55:15.00]  La preparan bien, como que es una santa.
[0:55:15.00]-[0:55:18.00]  ¿Y se cantaban canciones o no?
[0:55:18.00]-[0:55:21.00]  No, no.
[0:55:21.00]-[0:55:27.00]  Pero antes de enterrar al muerto tenían que venir un cura, ¿no?
[0:55:27.00]-[0:55:29.00]  Hombre, estaba el señor cura, sí.
[0:55:29.00]-[0:55:30.00]  ¿Aquí viene el cura?
[0:55:30.00]-[0:55:33.00]  Sí, el cura sí. Antes siempre había cura por aquí.
[0:55:33.00]-[0:55:35.00]  Sí, sí, iba el cura.
[0:55:35.00]-[0:55:37.00]  ¿Y cura le daban para las iglesias, o sí?
[0:55:37.00]-[0:55:39.00]  ¿Y cura le daban? Bueno, como ahora.
[0:55:39.00]-[0:55:41.00]  ¿Y había mucho respeto al cura en que eso?
[0:55:41.00]-[0:55:43.00]  Sí, entonces sí.
[0:55:43.00]-[0:55:46.00]  Entonces al cura sí le había respeto, sí.
[0:55:46.00]-[0:55:53.00]  Me acuerdo yo cuando éramos pequeños, íbamos a besarle la mano al señor cura.
[0:55:53.00]-[0:55:55.00]  Siempre le iban a besar la mano.
[0:55:55.00]-[0:56:00.00]  Cuando los niños estaban corriendo por ahí y pasaba el señor cura, siempre le iban a besar la mano.
[0:56:00.00]-[0:56:02.00]  Ponía así la mano para que la besara.
[0:56:02.00]-[0:56:04.00]  Sí, sí.
[0:56:04.00]-[0:56:06.00]  Entonces había respeto de no ir a fiestas.
[0:56:06.00]-[0:56:08.00]  Entonces teníamos miedo a todo.
[0:56:08.00]-[0:56:10.00]  ¿Cómo dice que antes?
[0:56:10.00]-[0:56:14.00]  Que teníamos miedo a las cosas. No es como ahora, que no tiene miedo a nadie.
[0:56:14.00]-[0:56:21.00]  Cuando venían los guardias, guardia civil, que asomaban por esa carretera para acá,
[0:56:21.00]-[0:56:27.00]  y estábamos ahí, nosotros teníamos la escuela en esa casa que hay aquí, primera.
[0:56:27.00]-[0:56:31.00]  Ahí fuimos nosotros a la escuela.
[0:56:31.00]-[0:56:38.00]  Entonces, veníamos a asomar los guardias, ¿cómo corríamos para adentro?
[0:56:38.00]-[0:56:40.00]  Al ver los guardias.
[0:56:40.00]-[0:56:46.00]  Pero después vinieron para aquí a vivir, vinieron por aquí viviendo por las casas.
[0:56:46.00]-[0:56:48.00]  Hubo muchos guardias por aquí.
[0:56:48.00]-[0:56:52.00]  Después ya le teníamos de respeto a los guardias como a otro cualquiera.
[0:56:52.00]-[0:56:55.00]  Como vimos que eran como los demás.
[0:56:55.00]-[0:57:00.00]  Pero antes se conoce que al ver a aquellos guardias asomar allí con aquel triconio,
[0:57:00.00]-[0:57:05.00]  tenían una capotina negra, y después un triconio así atravesado negro,
[0:57:05.00]-[0:57:08.00]  nada más que los viéramos, cómo corríamos para adentro.
[0:57:08.00]-[0:57:11.00]  Y entonces nos metían miedo los padres, y decían, mira, no creas en eso,
[0:57:11.00]-[0:57:13.00]  bueno, pues mañana manda los vanos.
[0:57:13.00]-[0:57:19.00]  Claro, entonces nos tenemos más respeto a todos, porque nos metían miedo con las cosas.
[0:57:19.00]-[0:57:22.00]  No es como ahora, que ahora no hay miedo a nada.
[0:57:22.00]-[0:57:27.00]  ¿Sus hijos entonces no tienen miedo y sus nietos no?
[0:57:27.00]-[0:57:30.00]  Claro, mis nietos ahora ya son mozos.
[0:57:30.00]-[0:57:38.00]  ¿Qué respeto van a tener? Ahora ya están por allí, trabajando también.
[0:57:38.00]-[0:57:40.00]  ¿Cuántos habitantes tiene este pueblo?
[0:57:40.00]-[0:57:45.00]  Pues esto ahora pocos. ¿Cuántos hay que tenemos en total?
[0:57:45.00]-[0:57:48.00]  Unos sesenta personas a lo mejor.
[0:57:48.00]-[0:57:49.00]  ¿Cuántos?
[0:57:49.00]-[0:57:50.00]  Sesenta personas.
[0:57:50.00]-[0:57:51.00]  No, vecinos no.
[0:57:51.00]-[0:57:53.00]  No, personas, personas. No, vecinos yo qué sé.
[0:57:53.00]-[0:57:54.00]  ¿Personas que los atrapen?
[0:57:54.00]-[0:57:57.00]  Unas sesenta a lo mejor, uno los hace.
[0:57:57.00]-[0:58:00.00]  Mira que hay unos sesenta.
[0:58:00.00]-[0:58:02.00]  Sesenta vecinos.
[0:58:02.00]-[0:58:05.00]  Sesenta personas, personas.
[0:58:05.00]-[0:58:08.00]  ¿Y jóvenes que van aquí o no?
[0:58:08.00]-[0:58:15.00]  Jóvenes no. Hay por ahí, algunos jóvenes, pero ya no son jóvenes, ya son...
[0:58:15.00]-[0:58:21.00]  ¿Y cómo celebraron la boda ustedes cuando se casaron?
[0:58:21.00]-[0:58:25.00]  ¿Vieron torna boda, boda y torna boda o solamente...?
[0:58:25.00]-[0:58:34.00]  Nada, nada más que una comida y una cena en casa de los padres de uno y de los padres del otro.
[0:58:34.00]-[0:58:41.00]  Se llamaban los padrinos y algún familiar más cerca.
[0:58:41.00]-[0:58:42.00]  ¿Y se celebraba la boda?
[0:58:42.00]-[0:58:43.00]  Sí, y nada más.
[0:58:43.00]-[0:58:45.00]  ¿A la boda se hacía buena boda?
[0:58:45.00]-[0:58:49.00]  Algunos sí, algunos se hacían buena boda, mucha boda, sí.
[0:58:49.00]-[0:58:54.00]  Mandaban mucha gente, mucha juventud, entonces como había tanta juventud, pues se hacía mucho.
[0:58:54.00]-[0:58:56.00]  ¿Pero no ponían más lata? ¿Era una grasa?
[0:58:56.00]-[0:58:57.00]  Corrían el bollo.
[0:58:57.00]-[0:59:00.00]  ¿Qué era eso? ¿Qué era eso?
[0:59:00.00]-[0:59:03.00]  Corrían el bollo, sí.
[0:59:03.00]-[0:59:05.00]  Es una costumbre de aquí.
[0:59:05.00]-[0:59:07.00]  Es una costumbre de aquí, sí.
[0:59:07.00]-[0:59:11.00]  Iban para allá abajo, por debajo del pueblo hay una pradera grande.
[0:59:11.00]-[0:59:13.00]  ¿Qué bien saber lo que es pradera, o no?
[0:59:13.00]-[0:59:15.00]  Sí, sí, hasta ahí sí.
[0:59:15.00]-[0:59:18.00]  Pues iban para esa pradera, para la pradera y corrían el bollo.
[0:59:18.00]-[0:59:29.00]  Hacían un bollo, que le echarían un pan que tenía así manos y pies.
[0:59:29.00]-[0:59:33.00]  La hacían en la valla, la forma de una persona.
[0:59:33.00]-[0:59:36.00]  Y echabanle por arriba un poco de miel y después unas almendrinas.
[0:59:36.00]-[0:59:39.00]  Yo no lo sé, lo que le echaban, era amarillo.
[0:59:39.00]-[0:59:41.00]  Y pues algunas de fran.
[0:59:41.00]-[0:59:44.00]  Sí, amarillo, estaba como apegado a aquello.
[0:59:44.00]-[0:59:56.00]  Y después el padrino iba a correr el bollo y se ponía allá abajo del todo.
[0:59:56.00]-[0:59:59.00]  Y iban después unos chavales.
[0:59:59.00]-[1:00:02.00]  Pero ¿qué era correr el bollo? Explíquenos qué es eso.
[1:00:02.00]-[1:00:07.00]  Bueno, correr el bollo es que se iba a poner el padrino allá abajo del todo, en un trozo.
[1:00:07.00]-[1:00:10.00]  El padrino y el novio iban.
[1:00:10.00]-[1:00:16.00]  Iban y poníanse allá abajo y llevaban el bollo con ellos.
[1:00:16.00]-[1:00:20.00]  Y después corrían dos y pues otros dos o así.
[1:00:20.00]-[1:00:22.00]  ¿Pero los demás que estaban en todo eso la semana?
[1:00:22.00]-[1:00:24.00]  Los de la boda.
[1:00:24.00]-[1:00:27.00]  ¿Y iba un mota que llamábamos motos?
[1:00:27.00]-[1:00:30.00]  No, iban dos jóvenes, dos motos.
[1:00:30.00]-[1:00:33.00]  Iban dos motos, corrían también las motas.
[1:00:33.00]-[1:00:34.00]  Yo nunca las vi correr.
[1:00:34.00]-[1:00:36.00]  Pero en todas las motas no corrían aquí en la carretera.
[1:00:36.00]-[1:00:38.00]  Ah, bueno, aquí en la de la madrina sí, pero en el padrino no.
[1:00:38.00]-[1:00:40.00]  Era allá abajo.
[1:00:40.00]-[1:00:49.00]  Iban los motos a correr y pues corrían y el que más pronto llegaba al que tenía el bollo, era el que ganaba la corona.
[1:00:49.00]-[1:00:57.00]  Y después de que, si llegaba más pronto le daban la corona, después cada uno le daba una cosa.
[1:00:57.00]-[1:01:02.00]  Entonces, como era cuando un tabien, cinco duros era mucho.
[1:01:02.00]-[1:01:04.00]  ¿Sabes lo que son cinco duros?
[1:01:04.00]-[1:01:05.00]  Sí, sí.
[1:01:05.00]-[1:01:07.00]  Ah, ya no sabía.
[1:01:07.00]-[1:01:09.00]  Pues le ponían a lo mejor cinco duros.
[1:01:09.00]-[1:01:10.00]  Era muchísimo dinero.
[1:01:10.00]-[1:01:13.00]  Era mucho dinero, ya, ¡ay madre!
[1:01:13.00]-[1:01:16.00]  Ganaban cinco duros y con la corona el primero que llegaba.
[1:01:16.00]-[1:01:18.00]  Eso ya era mucho.
[1:01:18.00]-[1:01:19.00]  Claro.
[1:01:19.00]-[1:01:25.00]  Oye, si ya te digo yo que pagábamos dos pesetas en todo, para la tenencia del médico, iban a poner las pesetas.
[1:01:25.00]-[1:01:27.00]  ¿Y desde dónde corrían?
[1:01:27.00]-[1:01:33.00]  Bueno, aquí en la plaza también, cuando las de la madrina corrían aquí.
[1:01:33.00]-[1:01:35.00]  Aquí en la plaza corrían.
[1:01:35.00]-[1:01:37.00]  ¿Y había dos carreras?
[1:01:37.00]-[1:01:39.00]  Una arriba y otra abajo.
[1:01:39.00]-[1:01:47.00]  Por la mañana, al salir de misa, de que se casaban, bajaban por allá abajo por una pradera y corrían el bollo del padrino.
[1:01:47.00]-[1:01:50.00]  Por la mañana, después de misa, antes de comer.
[1:01:50.00]-[1:01:57.00]  Después ya de que comían y más tarde que empezaban a hacer el baile, porque después ya hacían mucho baile aquí.
[1:01:57.00]-[1:01:59.00]  Aquí venían con el tambor.
[1:01:59.00]-[1:02:01.00]  El tambor si sabéis lo que es.
[1:02:01.00]-[1:02:09.00]  Con el tambor bailaban ahí, la plata esa y las motas y todo, la gente de la boda, lo que quisiera, claro.
[1:02:09.00]-[1:02:12.00]  Y después corrían el bollo de la madrina.
[1:02:12.00]-[1:02:14.00]  Y también hacían igual.
[1:02:14.00]-[1:02:25.00]  También se ponía la madrina y la novia para un lado y también tenían el bollo y la que más pronto llegara pues ganaba también lo que le pusieran.
[1:02:25.00]-[1:02:30.00]  Si le ponían cinco duros o si le ponían dos o lo que fuera, ganaban aquellos duros.
[1:02:30.00]-[1:02:32.00]  Y la corona.
[1:02:32.00]-[1:02:36.00]  Después estábamos todos la gente del pueblo los...
[1:02:36.00]-[1:02:38.00]  Pero casi todos íbamos a mirar.
[1:02:38.00]-[1:02:39.00]  Todos lo comían.
[1:02:39.00]-[1:02:45.00]  Y después para que el bollo comían, atrocinan que tienen unas toallas y recartiéndolo a toda la gente.
[1:02:45.00]-[1:02:47.00]  Eso si a la tarde si.
[1:02:47.00]-[1:02:58.00]  El bollo después lo partían a trocines a trocines y iban con unas toallas, unas chicas por un lado, otras chicas por otro, como estaba toda la gente mirando por el baile.
[1:02:58.00]-[1:03:00.00]  Unos por un lado, otros por otro.
[1:03:00.00]-[1:03:04.00]  Y iban las chicas con una toalla.
[1:03:04.00]-[1:03:06.00]  Iba la madrina y la novia.
[1:03:06.00]-[1:03:09.00]  Bueno, la madrina y la novia y la otra por otro lado y otras por otro.
[1:03:09.00]-[1:03:11.00]  Repartiendo las de la boda.
[1:03:11.00]-[1:03:12.00]  Repartiendo las...
[1:03:12.00]-[1:03:14.00]  Aquellos trocines, aquellos trocines.
[1:03:14.00]-[1:03:15.00]  Aquellos trocines para la gente.
[1:03:15.00]-[1:03:20.00]  Y la gente quedaba bien contenta porque le daban aquellos trocines del bollo porque ya le gustaba mucho.
[1:03:20.00]-[1:03:25.00]  Si no hubiera todos a lo mejor pintaran un poco que tiene una garza por encima y también la partían más para llegar a la gente.
[1:03:25.00]-[1:03:26.00]  Claro.
[1:03:26.00]-[1:03:29.00]  Para que llegara, como que era todo bollo.
[1:03:29.00]-[1:03:33.00]  Y una garza de la otra, que más da, si todo era pan.
[1:03:33.00]-[1:03:37.00]  ¿Y el grupo que tocaba en este barrio?
[1:03:37.00]-[1:03:38.00]  ¿El que?
[1:03:38.00]-[1:03:42.00]  ¿El grupo que tocaba aquí en la fiesta, este barrio, este pueblo?
[1:03:42.00]-[1:03:43.00]  ¿El que tocaba?
[1:03:43.00]-[1:03:44.00]  Sí.
[1:03:44.00]-[1:03:48.00]  El tocaba un señor que le llamamos el tamboritero, pero tocaba con el tambor.
[1:03:48.00]-[1:03:50.00]  Y solo él, no había otro.
[1:03:50.00]-[1:03:51.00]  Sí, sí, no, entonces no.
[1:03:51.00]-[1:03:53.00]  Después, ahora ya más tarde sí, ya empezaron a venir.
[1:03:53.00]-[1:03:54.00]  ¿Era del pueblo, sí?
[1:03:54.00]-[1:03:55.00]  Era del pueblo, sí.
[1:03:55.00]-[1:03:57.00]  ¿No vinían músicos de...
[1:03:57.00]-[1:04:01.00]  Más tarde ya, más tarde sí, pero ahora ya más, tres años de antes, pero no.
[1:04:01.00]-[1:04:05.00]  Entonces no, cuando nosotros éramos el tamboritero.
[1:04:05.00]-[1:04:07.00]  El tamboritero que había allá.
[1:04:07.00]-[1:04:10.00]  ¿Y de que los músicos para las bodas vinieron alguna vez?
[1:04:10.00]-[1:04:13.00]  No, no, ahora ya para las fiestas, pero no, no.
[1:04:13.00]-[1:04:20.00]  Músicos de esas, de eso vinía ahora, pero entonces no.
[1:04:20.00]-[1:04:24.00]  Entonces era el tamboritero.
[1:04:24.00]-[1:04:31.00]  Y todos bailaban, todos los de la boda salían al baile y bueno, menudo juegas que se pagaban entonces.
[1:04:31.00]-[1:04:33.00]  Entonces sí, bailaban la gente mayor, como nosotros.
[1:04:33.00]-[1:04:35.00]  Casi como nosotros iban al baile.
[1:04:35.00]-[1:04:36.00]  Y bailaban, y eso sí.
[1:04:36.00]-[1:04:38.00]  Iban a todos los bailecitos.
[1:04:38.00]-[1:04:44.00]  No, no, todo el mundo iba a bailar ese día.
[1:04:44.00]-[1:04:52.00]  No es como ahora, que ahora aquí ya no hay nada, se acabó todo, pero llega el día de Corpus y trae la música y no sale nadie al baile.
[1:04:52.00]-[1:04:53.00]  Sí.
[1:04:53.00]-[1:04:54.00]  ¿Y los jóvenes no bailan?
[1:04:54.00]-[1:05:00.00]  No, no, pero los jóvenes bailan ya.
[1:05:00.00]-[1:05:03.00]  Si hay algunos jóvenes marchan todavía.
[1:05:03.00]-[1:05:05.00]  Para Estorga o para donde quiera.
[1:05:05.00]-[1:05:07.00]  ¿Ahora si hay una boda más que...
[1:05:07.00]-[1:05:10.00]  No, no hay bodas ahora aquí.
[1:05:10.00]-[1:05:12.00]  No se casa nadie.
[1:05:12.00]-[1:05:16.00]  ¿Ahora si hay una boda, se casan, marchan para...
[1:05:16.00]-[1:05:20.00]  Marchan a comer, pues por ahí ya no.
[1:05:20.00]-[1:05:24.00]  Y ya no hacen bailes ni hacen nada aquí.
[1:05:24.00]-[1:05:32.00]  Bueno, allí...
[1:05:32.00]-[1:05:35.00]  Pero después marchan a comer y ya bailan.
[1:05:35.00]-[1:05:40.00]  Se van por allí para donde comen o así, por allá van al baile y ya que ya no hay nada.
[1:05:40.00]-[1:05:43.00]  No, aquí ya no, ya se acabó.
[1:05:43.00]-[1:05:46.00]  Ay madre, ya le hemos contado bastantes cosas.
[1:05:46.00]-[1:05:48.00]  Madre mía.
[1:05:48.00]-[1:05:53.00]  Nos ha contado nada del jabón, aquí por ejemplo la higiene de antes como era,
[1:05:53.00]-[1:05:55.00]  porque ahora la gente se lava mucho más.
[1:05:55.00]-[1:06:00.00]  Antes como era, aquí tenían agua corriente, había fuentes.
[1:06:00.00]-[1:06:01.00]  Fuentes, fuentes nada más.
[1:06:01.00]-[1:06:03.00]  Y otra que hay ahí bajo las carreteras.
[1:06:03.00]-[1:06:07.00]  Bueno, bueno, a fuentes había fuentes, íbamos a buscar la...
[1:06:07.00]-[1:06:09.00]  ¿Quién iba a buscar el agua?
[1:06:09.00]-[1:06:11.00]  Pues nosotros, los hombres.
[1:06:11.00]-[1:06:12.00]  ¿Los hombres?
[1:06:12.00]-[1:06:14.00]  Y las mujeres, los que éramos en casa.
[1:06:14.00]-[1:06:17.00]  ¿Y hasta donde está la chana?
[1:06:17.00]-[1:06:18.00]  ¿Hasta donde había agua corriente?
[1:06:18.00]-[1:06:20.00]  ¿Aquí los hombres buscaban el agua?
[1:06:20.00]-[1:06:22.00]  Entonces, ¿por qué no? ¿Qué remedio?
[1:06:22.00]-[1:06:23.00]  Porque en otros sitios ahora son las mujeres.
[1:06:23.00]-[1:06:25.00]  Anda, y aquí el que podía.
[1:06:25.00]-[1:06:28.00]  Porque las mujeres no van a trabajar tanto, pero aquí como íbamos a comer...
[1:06:28.00]-[1:06:30.00]  Aquí trabajábamos las mujeres que nosotros.
[1:06:30.00]-[1:06:34.00]  Y teníamos un poquitín más, pero llegábamos aún llegando a la tierra,
[1:06:34.00]-[1:06:39.00]  en un instante más tonto por causa de los animales y a buscar agua la gente.
[1:06:39.00]-[1:06:44.00]  Sí, bueno, entonces sí que es verdad que el agua era malo.
[1:06:44.00]-[1:06:47.00]  ¿Y la agua corriente cuánto hace que la tenemos?
[1:06:47.00]-[1:06:49.00]  Bueno, ya hace muchos años.
[1:06:49.00]-[1:06:50.00]  Sí, muchos años.
[1:06:50.00]-[1:06:51.00]  Hombre, no.
[1:06:51.00]-[1:06:53.00]  Hombre, a lo mejor hace 30 años que la tenemos, pero...
[1:06:53.00]-[1:06:55.00]  Y más de 30 también.
[1:06:55.00]-[1:06:56.00]  Y más de 30, gracias.
[1:06:56.00]-[1:06:58.00]  Hombre, no. Dime a mí que no.
[1:06:58.00]-[1:07:01.00]  Porque no lo sé yo que hace más de 30.
[1:07:01.00]-[1:07:04.00]  ¿Y cómo se lavaba la ropa?
[1:07:04.00]-[1:07:08.00]  Pues la íbamos a lavar con unas... le llamábamos lavaderas.
[1:07:08.00]-[1:07:10.00]  ¿Las rias?
[1:07:10.00]-[1:07:14.00]  En el río, algunas veces, cuando era por último de verano,
[1:07:14.00]-[1:07:19.00]  y que se terminaba de la era del campo, íbamos para el río.
[1:07:19.00]-[1:07:26.00]  Llegábamos en el carro con las vacas y llevábamos la ropa y la lavábamos en el río.
[1:07:26.00]-[1:07:28.00]  Llevábamos una lavadera.
[1:07:28.00]-[1:07:30.00]  Y lavábamos allí en el río.
[1:07:30.00]-[1:07:35.00]  Y ahí, en unas praderas que ahí para ese lado allá,
[1:07:35.00]-[1:07:40.00]  hicieron unos pilones y íbamos allí a lavar todas.
[1:07:40.00]-[1:07:41.00]  En unos pilones.
[1:07:41.00]-[1:07:44.00]  Hicieron tres pilones.
[1:07:44.00]-[1:07:47.00]  Uno aquí y otro aquí, así, todos seguidos.
[1:07:47.00]-[1:07:50.00]  Y iba el agua corriendo de uno para otro.
[1:07:50.00]-[1:07:54.00]  Y el primero estaba más limpio, el otro ya más sucio, claro, porque la ensuciábamos.
[1:07:54.00]-[1:07:58.00]  Y el otro, pues, para empezar a lavar la ropa, allí en aquella sucia.
[1:07:58.00]-[1:08:03.00]  Después más arriba, después para que lavaran la otra más arriba del primero.
[1:08:03.00]-[1:08:05.00]  Y allí lavábamos siempre.
[1:08:05.00]-[1:08:09.00]  Y eso ya fue ahora más tarde que antes ni eso.
[1:08:09.00]-[1:08:15.00]  En este tiempo de invierno de antes, pues, al corrir agua por ahí por el plantel y por las ríos.
[1:08:15.00]-[1:08:21.00]  Sí, ahora en este tiempo, pues, íbamos a lavar a un redero que ocurría ahí por abajo.
[1:08:21.00]-[1:08:22.00]  ¿Y en invierno?
[1:08:22.00]-[1:08:24.00]  En invierno lavábamos ahí con el frío.
[1:08:24.00]-[1:08:26.00]  Sí, qué remedio.
[1:08:26.00]-[1:08:29.00]  Y no teníamos ni guantes, que no es como ahora que los tenemos.
[1:08:29.00]-[1:08:32.00]  Nosotros lavábamos en nuestra casa toda la vida porque teníamos una fiesta.
[1:08:32.00]-[1:08:35.00]  Y la sacábamos para una pachada.
[1:08:35.00]-[1:08:37.00]  Para un balde.
[1:08:37.00]-[1:08:40.00]  Y lavábamos ahí las ropas.
[1:08:40.00]-[1:08:47.00]  Y la llevábamos a clagar, pues, las praderas porque si no no nos lavaba bien porque no es como el jabón es ahora que aclara la ropa allí solos.
[1:08:47.00]-[1:08:49.00]  Entonces jabones no había.
[1:08:49.00]-[1:08:51.00]  No había detergentes como ahora.
[1:08:51.00]-[1:08:54.00]  Entonces la tendíamos en un...
[1:08:54.00]-[1:08:59.00]  Para que se pusiera blanca para que se quedara más clara y eso.
[1:08:59.00]-[1:09:02.00]  La tendíamos las praderas verdes.
[1:09:02.00]-[1:09:05.00]  Las praderas verdes la tendíamos la ropa.
[1:09:05.00]-[1:09:10.00]  Para que estuviera el sol y la regábamos con la regadera.
[1:09:10.00]-[1:09:13.00]  Y para que se pusiera más blanca, claro.
[1:09:13.00]-[1:09:15.00]  Para que aclarara y después...
[1:09:15.00]-[1:09:17.00]  Voy a buscar un jabón que tiene un compañero que va a buscar.
