[0:00:00.00]-[0:00:07.00]  ¿Y sin mamar?
[1:03:44.00]-[1:03:48.00]  Y aquí tenemos, por aquí, todos estos pueblos portugueses
[1:03:48.00]-[1:03:52.00]  y por aquí, hasta cerca de Buenaventa, nos conocemos todos.
[1:03:52.00]-[1:03:55.00]  Porque aquí no hay gente ya.
[1:03:55.00]-[1:03:58.00]  Aquí se conoce la gente.
[1:04:04.00]-[1:04:06.00]  ¿Ahora qué se te mueve?
[1:04:06.00]-[1:04:08.00]  Pues eso sí que no te lo puedo decir.
[1:04:08.00]-[1:04:11.00]  ¿Por qué se hace eso? ¿Por qué se remueven las huelgas?
[1:04:11.00]-[1:04:14.00]  Eso se llama bagazo.
[1:04:14.00]-[1:04:16.00]  Y se seca porque al hervir,
[1:04:16.00]-[1:04:19.00]  cuando hierva un húmedo de vino, suba hasta arriba.
[1:04:19.00]-[1:04:21.00]  Hasta así.
[1:04:21.00]-[1:04:24.00]  Y entonces hay que calcarlo para que se moje.
[1:04:24.00]-[1:04:28.00]  Y ahora cuando empieza a bajar, se hace un agujero.
[1:04:28.00]-[1:04:31.00]  ¿Queréis probarlo?
[1:04:31.00]-[1:04:33.00]  ¿Queréis probarlo?
[1:04:33.00]-[1:04:35.00]  ¡Hay un vasito!
[1:04:35.00]-[1:04:38.00]  ¡Ten la bala, o se lo hace!
[1:04:38.00]-[1:04:41.00]  ¿Y el orujo entonces también se hace esto?
[1:04:41.00]-[1:04:44.00]  ¿El orujo entonces también sale de aquí?
[1:04:44.00]-[1:04:47.00]  Este es el orujo, esto es para el orujo.
[1:04:47.00]-[1:04:50.00]  Esto ahora se seca, hay que desprevirlo,
[1:04:50.00]-[1:04:53.00]  y después esto se mete en una lambique,
[1:04:53.00]-[1:04:56.00]  y es donde sale la guardiáncia.
[1:04:56.00]-[1:05:00.00]  ¿Y en la lambique se cuelge todo esto y lo que se destina es el orujo?
[1:05:00.00]-[1:05:02.00]  Exactamente.
[1:05:02.00]-[1:05:05.00]  Ahora lo hacemos con gas butano.
[1:05:05.00]-[1:05:08.00]  ¿Antes se hacía con leña?
[1:05:08.00]-[1:05:11.00]  Antes se hacía con leña, pero ahora...
[1:05:11.00]-[1:05:14.00]  Tiene un tanto bello, porque era mayor.
[1:05:14.00]-[1:05:16.00]  ¡Qué porrosalias!
[1:05:16.00]-[1:05:18.00]  ¡Qué porrosalias!
[1:05:18.00]-[1:05:20.00]  ¡Qué porrosalias!
[1:05:20.00]-[1:05:22.00]  ¡Qué bueno!
[1:05:22.00]-[1:05:24.00]  ¡Qué bueno!
[1:05:24.00]-[1:05:26.00]  ¡Qué bueno!
[1:05:26.00]-[1:05:28.00]  ¡Mira lo que ha bajado!
[1:05:28.00]-[1:05:30.00]  ¡Qué fin de semana!
[1:05:30.00]-[1:05:32.00]  ¡Qué fin de semana!
[1:05:32.00]-[1:05:36.00]  Este fue lleno esta mañana, que no está asentado todavía.
[1:05:36.00]-[1:05:39.00]  Esto dentro de unos días asienta todo.
[1:05:39.00]-[1:05:41.00]  Esto fue sumar espum.
[1:05:41.00]-[1:05:43.00]  Está bueno, ¿eh?
[1:05:43.00]-[1:05:45.00]  Está bueno.
[1:05:45.00]-[1:05:47.00]  Es natural, natural.
[1:05:47.00]-[1:05:49.00]  Sí, sí.
[1:05:49.00]-[1:05:52.00]  ¿Puede ir a beber, hombre? Que os damos otro vaso.
[1:05:52.00]-[1:05:54.00]  No, no, no.
[1:05:54.00]-[1:05:57.00]  Que tenemos que seguir trabajando, y si no, luego de haberlo...
[1:05:57.00]-[1:05:59.00]  Y la semana vino.
[1:05:59.00]-[1:06:02.00]  Y la semana vino.
[1:06:02.00]-[1:06:04.00]  Al final ha venido, ¿no?
[1:06:04.00]-[1:06:06.00]  Sí, al final ha venido.
[1:06:06.00]-[1:06:08.00]  Pero ¿es de aquí o es de Manzalbos?
[1:06:08.00]-[1:06:10.00]  El padre era de aquí.
[1:06:10.00]-[1:06:12.00]  Era de aquí.
[1:06:12.00]-[1:06:14.00]  Y la madre de Manzalbos.
[1:06:14.00]-[1:06:16.00]  Bueno, están aquí al lado, ¿no?
[1:06:16.00]-[1:06:18.00]  Sí, están a dos kilómetros.
[1:06:18.00]-[1:06:21.00]  Que ese hijo que tenía que trabajar y tal...
[1:06:21.00]-[1:06:24.00]  Sí, ella anda con una furgoneta, con las setas y con eso.
[1:06:24.00]-[1:06:26.00]  Sí.
[1:06:26.00]-[1:06:28.00]  Y tiene un trabajo que no te digo nada.
[1:06:28.00]-[1:06:30.00]  Sí, de vez en cuando sí que veo que...
[1:06:30.00]-[1:06:33.00]  Enseño alguna foto por ahí de setas así, grandes.
[1:06:33.00]-[1:06:35.00]  ¿Tú la conoces? ¿Tú la conoces?
[1:06:35.00]-[1:06:37.00]  No, recién que... Sí, sí.
[1:06:39.00]-[1:06:41.00]  ¿A ella la conocíais?
[1:06:41.00]-[1:06:43.00]  Sí, yo sí.
[1:06:43.00]-[1:06:45.00]  Yo sí que alguna vez he estado tocando con ella.
[1:06:49.00]-[1:06:52.00]  Si queréis a los Reyes en la fiesta esa, así que os iba a gustar.
[1:06:52.00]-[1:06:54.00]  Igual os apuntabais y todo, ¿eh?
[1:06:54.00]-[1:06:56.00]  Sí, posiblemente.
[1:06:56.00]-[1:06:58.00]  Y se come de lujo.
[1:06:58.00]-[1:07:00.00]  Vaya.
[1:07:00.00]-[1:07:02.00]  Desayunas, comer, meriendas, sobresayunas, cenas...
[1:07:02.00]-[1:07:04.00]  Por diez euros.
[1:07:04.00]-[1:07:07.00]  A las dos de la mañana si tiene ese amor, puede ir a comer ayer otra vez.
[1:07:07.00]-[1:07:10.00]  Pero es ternero siempre, ¿es ayunas ternero?
[1:07:10.00]-[1:07:12.00]  ¡No!
[1:07:12.00]-[1:07:14.00]  No es siempre ternera, no.
[1:07:14.00]-[1:07:16.00]  Se hacen cocidos, se hace...
[1:07:16.00]-[1:07:22.00]  Se hace ternera, se hacen filetes, se hace carne guisada, se hacen callos...
[1:07:22.00]-[1:07:24.00]  Se hace de...
[1:07:24.00]-[1:07:26.00]  Bacalao...
[1:07:26.00]-[1:07:28.00]  Se...
[1:07:28.00]-[1:07:30.00]  Cada día es una comida o dos.
[1:07:30.00]-[1:07:32.00]  Es un cambio de todos los días.
[1:07:32.00]-[1:07:34.00]  Es verdad.
[1:07:34.00]-[1:07:36.00]  ¿Pero entonces cuánto dura esa comida?
[1:07:36.00]-[1:07:38.00]  Hasta que se acaba la comida.
[1:07:38.00]-[1:07:41.00]  Hay algunos que a los tres días ya no vuelven.
[1:07:41.00]-[1:07:43.00]  Que ya no resisten.
[1:07:43.00]-[1:07:45.00]  No aguantan la fiesta.
[1:07:45.00]-[1:07:47.00]  Claro.
[1:07:47.00]-[1:07:49.00]  Porque aquí hay poca gente.
[1:07:49.00]-[1:07:51.00]  O no, pero para trabajar no, pero para eso sí.
[1:07:51.00]-[1:07:53.00]  Para eso sí no.
[1:07:53.00]-[1:07:55.00]  ¿Viene gente de fuera también o...?
[1:07:55.00]-[1:07:57.00]  No, no, solo del pueblo.
[1:07:57.00]-[1:07:59.00]  Puedes traer algún invitado, puedes...
[1:07:59.00]-[1:08:01.00]  Sí, pero es raro, porque no me gusta mucho porque...
[1:08:01.00]-[1:08:03.00]  Son del pueblo.
[1:08:03.00]-[1:08:06.00]  Aquí hay 69 personas, me parece que somos del pueblo.
[1:08:06.00]-[1:08:08.00]  O sea que poquitas.
[1:08:08.00]-[1:08:10.00]  Poquitas, esto se quedó vacío.
[1:08:10.00]-[1:08:12.00]  Y...
[1:08:12.00]-[1:08:14.00]  Y en el pasado éramos...
[1:08:14.00]-[1:08:16.00]  Casi todos.
[1:08:16.00]-[1:08:18.00]  Éramos casi 70 personas a comer.
[1:08:18.00]-[1:08:20.00]  Con 69 que somos del pueblo,
[1:08:20.00]-[1:08:23.00]  éramos casi 70 o 70 y tantas.
[1:08:23.00]-[1:08:25.00]  Claro.
[1:08:25.00]-[1:08:28.00]  Sí, porque vieron los hijos de los que están fuera, las chicas de los novios...
[1:08:28.00]-[1:08:30.00]  Sí, sí.
[1:08:30.00]-[1:08:32.00]  Sí.
[1:08:32.00]-[1:08:34.00]  Es una comida muy bonita.
[1:08:34.00]-[1:08:36.00]  Eso sí que es...
[1:08:36.00]-[1:08:38.00]  Que comen allí...
[1:08:38.00]-[1:08:40.00]  O sea, aquí gente joven entonces no hay, ¿no?
[1:08:40.00]-[1:08:42.00]  Hay poca gente.
[1:08:42.00]-[1:08:44.00]  Y ahora hay unos cuantos chicos aquí,
[1:08:44.00]-[1:08:46.00]  porque quedaron sin trabajo.
[1:08:46.00]-[1:08:48.00]  ¿Y si vienen para acá?
[1:08:48.00]-[1:08:50.00]  Este también estaba en Madrid.
[1:08:50.00]-[1:08:52.00]  Yo también.
[1:08:52.00]-[1:08:54.00]  Un chico mío estaba en Madrid y se vino para acá.
[1:08:54.00]-[1:08:56.00]  ¿Y ahora qué se dedican al campo?
[1:08:56.00]-[1:08:58.00]  Aquí, ahora comer de los...
[1:08:58.00]-[1:09:00.00]  De los padres.
[1:09:00.00]-[1:09:02.00]  Es el paro.
[1:09:02.00]-[1:09:04.00]  Los que pueden trabajar algo van trabajando, pero...
[1:09:04.00]-[1:09:06.00]  Claro.
[1:09:06.00]-[1:09:08.00]  A vivir con los padres, ¿qué vas a hacer?
[1:09:08.00]-[1:09:10.00]  A ver.
[1:09:10.00]-[1:09:12.00]  En Madrid yo el tiempo que he estado nunca he estado parado.
[1:09:12.00]-[1:09:14.00]  Hasta que vino va con este,
[1:09:14.00]-[1:09:16.00]  que la empresa quedó sin nadie.
[1:09:16.00]-[1:09:18.00]  Patatas, peches, alberta, de todo.
[1:09:18.00]-[1:09:20.00]  No es tan como en las capitales.
[1:09:20.00]-[1:09:22.00]  Aquí tienes patatas, tienes...
[1:09:22.00]-[1:09:24.00]  De todo.
[1:09:24.00]-[1:09:26.00]  De la huerta tienes judías, tienes tomates, tienes pimientos, tienes de todo.
[1:09:26.00]-[1:09:28.00]  Claro.
[1:09:28.00]-[1:09:30.00]  Y claro, no creer pues...
[1:09:30.00]-[1:09:32.00]  No creer...
[1:09:32.00]-[1:09:34.00]  Con nada, con nada vive una persona.
[1:09:34.00]-[1:09:36.00]  Claro.
[1:09:36.00]-[1:09:38.00]  No es igual como ir a la plaza...
[1:09:38.00]-[1:09:40.00]  Y yo estoy mirando la televisión y veo lo que está pasando por ahí.
[1:09:40.00]-[1:09:42.00]  Aquí si te economizas algo,
[1:09:42.00]-[1:09:44.00]  con 400 euros pasas bien el mes.
[1:09:44.00]-[1:09:46.00]  Claro.
[1:09:46.00]-[1:09:48.00]  Pero en Madrid con 400 euros.
[1:09:48.00]-[1:09:50.00]  Pasas bien el día.
[1:09:50.00]-[1:09:52.00]  Y que te hagas que pasar el...
[1:09:52.00]-[1:09:54.00]  pagar la...
[1:09:54.00]-[1:09:56.00]  La hipoteca.
[1:09:56.00]-[1:09:58.00]  La casa.
[1:09:58.00]-[1:10:00.00]  Malditas hipotecas.
[1:10:00.00]-[1:10:02.00]  Nos estamos a punto de...
[1:10:02.00]-[1:10:04.00]  Sí, aquí hay un recinto.
[1:10:04.00]-[1:10:06.00]  Sí, aquí hay un recinto.
[1:10:06.00]-[1:10:08.00]  Sí, sí, sí.
[1:10:08.00]-[1:10:10.00]  A la noche está gente quente.
[1:10:10.00]-[1:10:12.00]  Desde día está fresco.
[1:10:12.00]-[1:10:14.00]  Concibo a calos del día.
[1:10:14.00]-[1:10:16.00]  De día...
[1:10:16.00]-[1:10:18.00]  Paso, paso.
[1:10:22.00]-[1:10:24.00]  Yo soy...
[1:10:24.00]-[1:10:26.00]  Claro.
[1:10:26.00]-[1:10:28.00]  Bueno, ya os revisto un poco.
[1:10:28.00]-[1:10:30.00]  Eres una tenis de un pillarangoste.
[1:10:30.00]-[1:10:32.00]  Quiere costar una ratita, ¿sabes?
[1:10:32.00]-[1:10:34.00]  Sí.
[1:10:34.00]-[1:10:36.00]  Pues estoy rido.
[1:10:36.00]-[1:10:38.00]  Sí, verdad.
[1:10:38.00]-[1:10:40.00]  Yo lloraba de la grisa.
[1:10:40.00]-[1:10:42.00]  Yo tengo las lágrimas.
[1:10:44.00]-[1:10:48.00]  Hay aquí un señor que te empieza a contar una historia y se tira una hora contándola.
[1:10:48.00]-[1:10:50.00]  Sí.
[1:10:50.00]-[1:10:54.00]  No, pero que es una historia larga, larga, larga, larga, larga, pero muy bonita.
[1:10:54.00]-[1:10:56.00]  Sí.
[1:10:56.00]-[1:10:58.00]  Levo el pedal.
[1:10:58.00]-[1:11:00.00]  Pero le dan las castañas.
[1:11:02.00]-[1:11:04.00]  Versos antiguos, bueno...
[1:11:04.00]-[1:11:06.00]  Les dan las castañas.
[1:11:06.00]-[1:11:08.00]  Pero que te dura media hora.
[1:11:08.00]-[1:11:10.00]  Sí, sí, sí.
[1:11:10.00]-[1:11:12.00]  Tiene un cerebro, ese hombre, cajón.
[1:11:12.00]-[1:11:14.00]  Se llega a ver estudiar.
[1:11:18.00]-[1:11:20.00]  Leé muchos libros, le gusta mucho la lectura.
[1:11:20.00]-[1:11:22.00]  Sí, ese hombre, pues...
[1:11:22.00]-[1:11:24.00]  Conoce la historia de todo el mundo.
[1:11:24.00]-[1:11:26.00]  Ese es uno de los romanos antiguos.
[1:11:26.00]-[1:11:28.00]  Pero el que sabe, mira.
[1:11:28.00]-[1:11:32.00]  Esas eran historias que decían que pasaban siempre en Lugo.
[1:11:32.00]-[1:11:34.00]  En Lugo.
[1:11:34.00]-[1:11:36.00]  No, no, ese señor es de aquí.
[1:11:36.00]-[1:11:38.00]  Es de aquí.
[1:11:38.00]-[1:11:42.00]  Bueno, tiene ahora 67 años.
[1:11:42.00]-[1:11:44.00]  67 años.
[1:11:44.00]-[1:11:48.00]  Pero las historias todas que pasaban, las más macabras, que ves que había unas coplas.
[1:11:48.00]-[1:11:50.00]  Sí, sí, sí.
[1:11:50.00]-[1:11:52.00]  Unas coplas que todas pasaban en Lugo.
[1:11:52.00]-[1:11:56.00]  Y venían ciegos por aquí, cantaban esas coplas y se aprendían.
[1:11:56.00]-[1:12:00.00]  Éramos pequeños y se aprendían esas coplas.
[1:12:00.00]-[1:12:02.00]  Y se las aprendió todas.
[1:12:02.00]-[1:12:04.00]  Sí.
[1:12:04.00]-[1:12:08.00]  Cuando eres pequeño, mira, tú aprendes que...
[1:12:08.00]-[1:12:10.00]  Y todo lo más...
[1:12:10.00]-[1:12:12.00]  Hasta en latín.
[1:12:12.00]-[1:12:16.00]  Porque eran coplas de cosas que pasaban.
[1:12:16.00]-[1:12:20.00]  Lo que está pasando ahora que están asesinando mujeres y están asesinando...
[1:12:20.00]-[1:12:24.00]  Eso pasaba antes igual, pero como no se sabía, no había televisión.
[1:12:24.00]-[1:12:28.00]  Cuando empezó que vino la televisión aquí.
[1:12:28.00]-[1:12:30.00]  Ya hace.
[1:12:30.00]-[1:12:32.00]  Ya hace años que vino.
[1:12:32.00]-[1:12:34.00]  Pues yo estaba en Alemania cuando vino.
[1:12:34.00]-[1:12:36.00]  Hace casi 40 años.
[1:12:36.00]-[1:12:40.00]  Que creo que... 40 años de los años me he hecho ir para allá.
[1:12:40.00]-[1:12:46.00]  La primera televisión que yo trajo para esta casa, dos de mis sogros, venían de Alemania.
[1:12:46.00]-[1:12:48.00]  Sí.
[1:12:48.00]-[1:12:52.00]  Y había que pagar la frontera, si no, no te dejaban pasar.
[1:12:52.00]-[1:12:54.00]  No te dejaban pasarla, ¿no?
[1:12:54.00]-[1:12:58.00]  Y la primera que nosotros tuvimos la trajo mi tía de Suiza.
[1:12:58.00]-[1:13:02.00]  Y tenías que llegar a la frontera y ponían allí un chisme.
[1:13:02.00]-[1:13:06.00]  Tú venías con los paquetes y los ponías allí.
[1:13:06.00]-[1:13:10.00]  Pero si tú le decías, oye mira que se tiene un buen premio.
[1:13:10.00]-[1:13:12.00]  Al policía.
[1:13:12.00]-[1:13:15.00]  Después se cagaban en Cristo los policías.
[1:13:15.00]-[1:13:19.00]  Cogían una tiza y le ponían una cruz.
[1:13:19.00]-[1:13:23.00]  Y después le daban lo que te daba la gana a ti.
[1:13:23.00]-[1:13:27.00]  Porque en el momento que llevaba la cruz, es que te la había marcado.
[1:13:27.00]-[1:13:29.00]  Te pagaban si querías.
[1:13:29.00]-[1:13:34.00]  Pero al final los tíos se daban con cuenta y ya no la marcaban.
[1:13:34.00]-[1:13:35.00]  Claro.
[1:13:35.00]-[1:13:38.00]  Y yo venía con uno y traíamos dos televisiones.
[1:13:38.00]-[1:13:40.00]  Y dices, ahí tienen dos.
[1:13:40.00]-[1:13:44.00]  Y aquel tenía una jeta, este del pueblo mío y de Santibón.
[1:13:44.00]-[1:13:46.00]  Y dices, tú tienes un premio.
[1:13:46.00]-[1:13:49.00]  Estos dos paquetes tienen un premio.
[1:13:49.00]-[1:13:53.00]  Después le dimos mil pesetas cada uno.
[1:13:53.00]-[1:13:58.00]  Y el tío quedó con una, que quería por lo menos diez mil pesetas.
[1:13:58.00]-[1:14:02.00]  Tú sabes cómo valía un televisión antes.
[1:14:02.00]-[1:14:05.00]  Venía un montón de dinero de la vez.
[1:14:05.00]-[1:14:10.00]  Y eran de blanco y negro.
[1:14:10.00]-[1:14:15.00]  Que no las había de color.
[1:14:15.00]-[1:14:18.00]  A la gente ahora es que se piensan.
[1:14:18.00]-[1:14:22.00]  Cuando yo fui a Alemania todavía no la había de color aquí.
[1:14:22.00]-[1:14:24.00]  Por todo el pueblo.
[1:14:24.00]-[1:14:26.00]  ¿Vais así por todo el pueblito?
[1:14:26.00]-[1:14:27.00]  Sí.
[1:14:27.00]-[1:14:28.00]  ¿Por todo el pueblo?
[1:14:28.00]-[1:14:29.00]  Sí.
[1:14:29.00]-[1:14:31.00]  No vayan los que elegimos.
[1:14:31.00]-[1:14:33.00]  Claro.
[1:14:33.00]-[1:14:35.00]  Sí.
[1:14:35.00]-[1:14:37.00]  Tenemos que ir a Vilalas ahora.
[1:14:37.00]-[1:14:39.00]  ¿A dónde vais?
[1:14:39.00]-[1:14:40.00]  Vilalas.
[1:14:40.00]-[1:14:41.00]  ¿Vila Bella?
[1:14:41.00]-[1:14:43.00]  No, Vilalas, al lado de Orense.
[1:14:43.00]-[1:14:44.00]  Ah ¿Vilalas?
[1:14:44.00]-[1:14:45.00]  No, Vilalas.
[1:14:45.00]-[1:14:46.00]  ¿Vilalas?
[1:14:46.00]-[1:14:47.00]  No, no.
[1:14:47.00]-[1:14:49.00]  Sí, sí, seguro.
[1:14:49.00]-[1:14:51.00]  ¿No será Vilaza?
[1:14:51.00]-[1:14:53.00]  Sí, sí, seguro.
[1:14:53.00]-[1:14:55.00]  No será Vilaza.
[1:14:55.00]-[1:14:57.00]  Vilaza no, es para el otro lado justo.
[1:14:57.00]-[1:14:59.00]  Vilala se llama.
[1:14:59.00]-[1:15:01.00]  Sí, es muy pequeñito aquello.
[1:15:05.00]-[1:15:07.00]  Claro.
[1:15:07.00]-[1:15:13.00]  Yo sé que está al lado de Orense, que está, no sé si a 12 kilómetros o algo así.
[1:15:13.00]-[1:15:15.00]  Saliendo hacia Santiago, no sé.
[1:15:15.00]-[1:15:17.00]  No lo sé, la verdad es que no lo sé.
[1:15:17.00]-[1:15:19.00]  Ah, Vilaza.
[1:15:19.00]-[1:15:21.00]  Vilaza.
[1:15:21.00]-[1:15:23.00]  No, no, no.
[1:15:23.00]-[1:15:25.00]  Vilala, así.
[1:15:25.00]-[1:15:27.00]  Sí, sí, sí, está al lado de control de Vilaza.
[1:15:29.00]-[1:15:31.00]  No me suena.
[1:15:31.00]-[1:15:33.00]  ¿De aquí en Berín?
[1:15:33.00]-[1:15:35.00]  Sí.
[1:15:35.00]-[1:15:37.00]  A ver si es Vilaza.
[1:15:37.00]-[1:15:39.00]  No, justo pregunté yo también eso, pero no, me dijeron que era Vilala.
[1:15:39.00]-[1:15:41.00]  Vilala.
[1:15:41.00]-[1:15:43.00]  Pues no me suena.
[1:15:43.00]-[1:15:45.00]  No me suena, está ahí.
[1:15:45.00]-[1:15:49.00]  A la parte de arriba está Benzas, Laza.
[1:15:49.00]-[1:15:51.00]  Ah, y llegáis en media hora.
[1:15:51.00]-[1:15:53.00]  Sí, en media hora.
[1:15:53.00]-[1:15:55.00]  Sí, media hora a Berín, en media hora.
[1:15:55.00]-[1:15:57.00]  Sí, es que las distancias son relativamente cortas.
[1:15:57.00]-[1:15:59.00]  Sí.
[1:15:59.00]-[1:16:01.00]  Además está bien comunicado.
[1:16:01.00]-[1:16:03.00]  Sí, ojo, cogeis la autovía ahí, en el veredero.
[1:16:03.00]-[1:16:05.00]  Y estáis al fin.
[1:16:05.00]-[1:16:07.00]  ¿De aquí media hora a Berín?
[1:16:07.00]-[1:16:09.00]  Sí, es lo que tardamos desde allí.
[1:16:09.00]-[1:16:11.00]  Pues muy bien.
[1:16:11.00]-[1:16:13.00]  Pues ya habéis pasado un ratito aquí.
[1:16:13.00]-[1:16:15.00]  Sí.
[1:16:15.00]-[1:16:17.00]  ¿Y esto qué es, para conejos?
[1:16:17.00]-[1:16:21.00]  Esto es para nosotros, porque estamos haciendo un estudio sobre la vida en los campos y la vida en los pueblos y tal.
[1:16:21.00]-[1:16:23.00]  Ah, para la universidad, así.
[1:16:23.00]-[1:16:25.00]  ¿Vais a hacer una foto?
[1:16:25.00]-[1:16:27.00]  Sí, claro.
[1:16:27.00]-[1:16:29.00]  ¿Vais a hacer una foto?
[1:16:29.00]-[1:16:31.00]  Sí, hombre.
[1:16:35.00]-[1:16:37.00]  Claro.
[1:16:37.00]-[1:16:39.00]  Sí, creo que sí.
[1:16:39.00]-[1:16:41.00]  Siéntese aquí.
[1:16:41.00]-[1:16:43.00]  Siéntese allí.
[1:16:45.00]-[1:16:47.00]  A ver si le rompemos la máquina.
[1:16:47.00]-[1:16:49.00]  A ver si le rompemos la máquina.
[1:16:51.00]-[1:16:53.00]  No sé qué le rompa.
[1:16:55.00]-[1:16:57.00]  Hay que decir patatas fritas, eh.
[1:17:01.00]-[1:17:03.00]  Haz otra, por si acaso.
[1:17:03.00]-[1:17:05.00]  ¡Esta, esta!
[1:17:07.00]-[1:17:09.00]  ¿Qué es eso?
[1:17:09.00]-[1:17:11.00]  A ver, voy a hacer otra, porque es que yo aquí no tengo...
[1:17:17.00]-[1:17:19.00]  ¡Core, corre!
[1:17:19.00]-[1:17:21.00]  Bueno, pero aquí...
[1:17:21.00]-[1:17:23.00]  Bota aquí el dedo.
[1:17:23.00]-[1:17:25.00]  Nos cogerá aquí.
[1:17:25.00]-[1:17:27.00]  Ya está.
[1:17:27.00]-[1:17:29.00]  Ya está.
[1:17:29.00]-[1:17:31.00]  Esa salió.
[1:17:31.00]-[1:17:33.00]  Ah, estupendamente.
[1:17:35.00]-[1:17:37.00]  El equipo...
[1:17:37.00]-[1:17:39.00]  Mira cómo está.
[1:17:39.00]-[1:17:41.00]  Mira cómo está.
[1:17:41.00]-[1:17:43.00]  A las universidades de Madrid.
[1:17:43.00]-[1:17:45.00]  Aquí nos cobran unos carteles y dicen, mira.
[1:17:47.00]-[1:17:49.00]  Mira qué fugitivos hay en el pueblo aquí.
[1:17:49.00]-[1:17:51.00]  Carlos D'Oscar, de verdad.
[1:17:51.00]-[1:17:53.00]  Mira qué fugitivos.
[1:17:53.00]-[1:17:55.00]  Provincia de Orense.
[1:17:55.00]-[1:17:57.00]  Más por aquí, menos.
[1:17:57.00]-[1:17:59.00]  Sí.
[1:17:59.00]-[1:18:01.00]  Es peor hasta aquí.
[1:18:03.00]-[1:18:05.00]  Habrán de todo.
[1:18:05.00]-[1:18:07.00]  Bueno.
[1:18:07.00]-[1:18:09.00]  Bueno.
[1:18:09.00]-[1:18:11.00]  Contáchelo a las novias.
[1:18:11.00]-[1:18:13.00]  No te preguntaron.
[1:18:13.00]-[1:18:15.00]  No me preguntó.
[1:18:15.00]-[1:18:17.00]  ¿Quieres merendar?
[1:18:17.00]-[1:18:19.00]  No, tenemos que marchar.
[1:18:19.00]-[1:18:21.00]  ¿Quieres que marche?
[1:18:21.00]-[1:18:23.00]  Sí.
[1:18:23.00]-[1:18:25.00]  ¿Todos quedan aquí los tres?
[1:18:25.00]-[1:18:27.00]  Sí, sí.
[1:18:27.00]-[1:18:29.00]  Es que no está mal, que vamos a pasar todo el río.
[1:18:29.00]-[1:18:31.00]  Sí.
[1:18:31.00]-[1:18:33.00]  No sé, no sé.
[1:18:33.00]-[1:18:35.00]  No me voy a preguntar porque todavía me quiere después.
[1:18:35.00]-[1:18:37.00]  ¿Qué le vas a dar a las novias?
[1:18:37.00]-[1:18:39.00]  Que son historias pasadas.
[1:18:39.00]-[1:18:41.00]  No quiere.
[1:18:41.00]-[1:18:43.00]  Sí, hombre.
[1:18:43.00]-[1:18:45.00]  Sáquate en todo.
[1:18:45.00]-[1:18:47.00]  ¿No cuenta?
[1:18:47.00]-[1:18:49.00]  No.
[1:18:49.00]-[1:18:51.00]  ¿Que la mujer no le va a regañar?
[1:18:51.00]-[1:18:53.00]  Que no, eso queda para uno.
[1:18:53.00]-[1:18:55.00]  No.
[1:18:55.00]-[1:18:57.00]  No hay problema.
[1:18:57.00]-[1:18:59.00]  ¿Qué grandes críticas?
[1:18:59.00]-[1:19:01.00]  Las historias que tuvo con las novias.
[1:19:01.00]-[1:19:03.00]  Las historias que hay muchas más.
[1:19:03.00]-[1:19:05.00]  No puedo contar.
[1:19:07.00]-[1:19:09.00]  Las novias dan mal resultado.
[1:19:11.00]-[1:19:13.00]  Uno piensa que voy a hacer y voy a hacer y voy a hacer y así.
[1:19:17.00]-[1:19:19.00]  A ver que no le gusta que estemos aquí.
[1:19:19.00]-[1:19:21.00]  Ya.
[1:19:23.00]-[1:19:25.00]  No.
[1:19:25.00]-[1:19:27.00]  La crista es que se quiere marchar.
[1:19:27.00]-[1:19:29.00]  Cuando usted quiere marchar, marcha.
[1:19:29.00]-[1:19:31.00]  Ellos son los que deciden o marchar o no marchar.
[1:19:31.00]-[1:19:33.00]  Porque nosotros no podemos tener mano de ellos.
[1:19:33.00]-[1:19:35.00]  Nos marchan cuando quieran.
[1:19:35.00]-[1:19:37.00]  Pero primero la merienda.
[1:19:37.00]-[1:19:39.00]  No nos va a dar tiempo, yo creo.
[1:19:39.00]-[1:19:41.00]  Porque son las 5 y 20, creo.
[1:19:41.00]-[1:19:43.00]  Sí.
[1:19:43.00]-[1:19:45.00]  Queremos estar...
[1:19:45.00]-[1:19:47.00]  Nos queda a las 6.
[1:19:47.00]-[1:19:49.00]  A las 6 y 20.
[1:19:49.00]-[1:19:51.00]  A las 6 y 20.
[1:19:51.00]-[1:19:53.00]  A las 6 y 20.
[1:19:53.00]-[1:19:55.00]  A las 6 y 20.
[1:19:55.00]-[1:19:57.00]  Nos queda a las 6.
[1:19:57.00]-[1:19:59.00]  A las 6 en...
[1:19:59.00]-[1:20:01.00]  En el pueblo del bollo no me he dado.
[1:20:01.00]-[1:20:03.00]  En Berín nos queda a las 6.
[1:20:03.00]-[1:20:05.00]  Nos queda un rato todavía para llegar allí.
[1:20:05.00]-[1:20:07.00]  Sí.
[1:20:07.00]-[1:20:09.00]  A las 6 estáis allí.
[1:20:09.00]-[1:20:11.00]  Sábiles con los caminos.
[1:20:11.00]-[1:20:13.00]  Vilela.
[1:20:13.00]-[1:20:15.00]  Vilala.
[1:20:15.00]-[1:20:17.00]  La crista que si no...
[1:20:17.00]-[1:20:19.00]  ¿Y Vilaza?
[1:20:19.00]-[1:20:21.00]  Vilaza está al lado, pero es Vilaza.
[1:20:21.00]-[1:20:23.00]  Es Vilala.
[1:20:23.00]-[1:20:25.00]  Vilaza sí.
