[0:00:00.00]-[0:00:04.00]  ¿Cómo mataban a... perdón.
[0:52:01.00]-[0:52:05.00]  Sí, yo sí tuve faldas cortas. Mini, no, no, no, no.
[0:52:05.00]-[0:52:06.00]  Pero no muy cortas.
[0:52:06.00]-[0:52:09.00]  Pero no muy cortas y a misa con manga larga.
[0:52:09.00]-[0:52:12.00]  No nos dejaban ir sin manga como ahora se va y todo eso.
[0:52:12.00]-[0:52:15.00]  ¿Y estaba mal visto que fuese con faldas cortas o algo en la escuela?
[0:52:15.00]-[0:52:17.00]  En aquella época.
[0:52:17.00]-[0:52:23.00]  Bueno, empezó a salir y íbamos, pero no creas que estaba bien visto, que se criticaba.
[0:52:23.00]-[0:52:25.00]  A mí no me dejaban ir así, ¿no?
[0:52:25.00]-[0:52:29.00]  No, no, a misa no. A misa bien con nuestras mangas largas y bien decentitas.
[0:52:29.00]-[0:52:32.00]  ¿Y se criticaba que no se fuera a misa?
[0:52:32.00]-[0:52:36.00]  Sí, entonces sí. En aquella época se criticaba mucho la que no iba a misa.
[0:52:36.00]-[0:52:38.00]  Había que ir a misa toda la gente.
[0:52:38.00]-[0:52:42.00]  ¿Y se veía al cura por la calle o no? ¿O llevaba la vida?
[0:52:42.00]-[0:52:47.00]  No, sí al cura se veía mucho por la calle, venía mucho, sí, sí, sí.
[0:52:47.00]-[0:52:49.00]  Teníamos que ir a besarle la mano y todo.
[0:52:49.00]-[0:52:51.00]  Cuando yo era pequeña me acuerdo que íbamos a besarle.
[0:52:51.00]-[0:52:54.00]  Si le veíamos al cura por la calle a besarle la mano.
[0:52:54.00]-[0:52:58.00]  En aquella tradición, luego ya no, luego ya de más mayores no.
[0:52:58.00]-[0:53:02.00]  Pero de más pequeñas íbamos a besarle al cura la mano.
[0:53:02.00]-[0:53:05.00]  Cuando le veíamos por la calle y cuando iba por la calle.
[0:53:05.00]-[0:53:08.00]  ¿Y su familia lo pasó mal en la guerra?
[0:53:08.00]-[0:53:12.00]  ¿Mi familia? Bueno, pues sí, mi familia sí lo pasó mal en la guerra.
[0:53:12.00]-[0:53:14.00]  Porque mi padre estuvo en la guerra y lo pasó mal.
[0:53:14.00]-[0:53:17.00]  Y a mi abuelo le quisieron matar por la guerra.
[0:53:17.00]-[0:53:21.00]  Sí, a mi abuelo le quisieron matar por la guerra.
[0:53:21.00]-[0:53:24.00]  Le tuvieron cerrado en Toledo.
[0:53:24.00]-[0:53:27.00]  ¿Y qué les preocupaba entonces en aquella época?
[0:53:27.00]-[0:53:31.00]  Yo en aquella época como no vivía no sé qué los preocuparía.
[0:53:31.00]-[0:53:35.00]  A mi madre los preocupaba porque su padre estaba cerrado y los preocupaba.
[0:53:35.00]-[0:53:38.00]  ¿Y qué les asustaba?
[0:53:38.00]-[0:53:41.00]  Que vinieran y los hicieran a ellos algo como a su padre.
[0:53:41.00]-[0:53:45.00]  Se le llevaron sin hacer nada menos más que luego no le mataron.
[0:53:45.00]-[0:53:48.00]  No le mataron.
[0:53:48.00]-[0:53:50.00]  ¿Y qué fiestas hay en el pueblo?
[0:53:50.00]-[0:53:53.00]  Ah, las fiestas del pueblo.
[0:53:53.00]-[0:53:55.00]  La de San Juan.
[0:53:55.00]-[0:53:58.00]  A ver, ¿y qué fiestas hay en el pueblo?
[0:53:58.00]-[0:54:01.00]  La fiesta del pueblo se llama San Juan.
[0:54:01.00]-[0:54:02.00]  ¿San Juan?
[0:54:02.00]-[0:54:05.00]  Sí, bueno, las fiestas de verano también tenemos ahora en verano otra fiesta.
[0:54:05.00]-[0:54:06.00]  Pero son de algún patrón.
[0:54:06.00]-[0:54:07.00]  No, no, no es patrón.
[0:54:07.00]-[0:54:10.00]  Bueno, en el verano es la Virgen...
[0:54:10.00]-[0:54:12.00]  ¿La Virgen de qué?
[0:54:12.00]-[0:54:16.00]  Sí, en verano hay una virgen y en mayo es la fiesta del pueblo que es San Juan.
[0:54:16.00]-[0:54:17.00]  ¿Cuál es más importante?
[0:54:17.00]-[0:54:19.00]  La de mayo.
[0:54:19.00]-[0:54:23.00]  La otra es una que nos hemos sacado ahora en verano.
[0:54:23.00]-[0:54:24.00]  Es nueva.
[0:54:24.00]-[0:54:27.00]  ¿Cómo se llama el que viste a la Virgen?
[0:54:27.00]-[0:54:33.00]  Es que aquí no tiene ningún nombre porque no suele vestirla.
[0:54:33.00]-[0:54:37.00]  A la que la vestía se murió la mujer y ya aquí cualquiera la vestimos.
[0:54:37.00]-[0:54:39.00]  ¿Y el que lleva a la Virgen tiene o no?
[0:54:39.00]-[0:54:42.00]  No, lo llevan todos los chicos jóvenes o las mujeres también.
[0:54:42.00]-[0:54:45.00]  Las chicas jóvenes la cogen y la llevan.
[0:54:45.00]-[0:54:47.00]  ¿Y en las tradiciones cómo se desfila?
[0:54:47.00]-[0:54:50.00]  Cada dos, por los lados, cada dos vamos.
[0:54:50.00]-[0:54:51.00]  ¿Hay tradición de ahí?
[0:54:51.00]-[0:54:54.00]  No, otra tradición de ahí. Cada dos juntas y en medio el santo.
[0:54:54.00]-[0:54:59.00]  ¿Y nadie sirve a nadie o no hay tradición de que primero vayan unos, luego otros?
[0:54:59.00]-[0:55:01.00]  Nada de tradición, eso nada.
[0:55:01.00]-[0:55:03.00]  ¿Y aquí hay orquesta?
[0:55:03.00]-[0:55:09.00]  No, no hay orquesta, la traen.
[0:55:09.00]-[0:55:11.00]  ¿Y el baile que había antes?
[0:55:11.00]-[0:55:16.00]  El baile que había antes era con un manubio.
[0:55:16.00]-[0:55:20.00]  Cuando nosotros éramos jóvenes el diario de los domingos, todos los domingos,
[0:55:20.00]-[0:55:24.00]  era como un manubio con una cosa que ponían como...
[0:55:24.00]-[0:55:27.00]  ves como ahora los tocadiscos y estas cosas como antiguas...
[0:55:27.00]-[0:55:30.00]  a mo, no tocadiscos y como el radio casero y estas cosas,
[0:55:30.00]-[0:55:32.00]  pero antes era con una manivela, se daba y así bailaba.
[0:55:32.00]-[0:55:34.00]  ¿Y ya no existe eso aquí en el pueblo?
[0:55:34.00]-[0:55:35.00]  Eso no.
[0:55:35.00]-[0:55:39.00]  Había uno en el pueblo en un baile y íbamos a bailar todos los días así.
[0:55:39.00]-[0:55:41.00]  ¿Y hay toros en el pueblo?
[0:55:41.00]-[0:55:44.00]  No, no hay toros. En este pueblo no hay toros, muy pequeños.
[0:55:44.00]-[0:55:45.00]  ¿Y cuando hay fiesta?
[0:55:45.00]-[0:55:48.00]  Ni cuando hay fiesta no hay toros, no.
[0:55:48.00]-[0:55:51.00]  ¿Y los quintos hacen alguna fiesta especial?
[0:55:51.00]-[0:55:56.00]  Sí, cuando son quintos, cuando entran en quintos,
[0:55:56.00]-[0:56:02.00]  el día que entran en quintos, pues piden, van por las casas pidiendo
[0:56:02.00]-[0:56:07.00]  y los damos aceite, los damos patatas, los damos huevos para que luego
[0:56:07.00]-[0:56:10.00]  se hagan una comilona y los damos dinero también.
[0:56:10.00]-[0:56:15.00]  Y luego hacen una comilona e invitan a las chicas y todos los chicos
[0:56:15.00]-[0:56:17.00]  y van todos a comer a un bar.
[0:56:17.00]-[0:56:18.00]  ¿Y una vez al año?
[0:56:18.00]-[0:56:19.00]  Sí, una vez al año.
[0:56:19.00]-[0:56:21.00]  ¿Y cómo se llama la fiesta esa, de los quintos?
[0:56:21.00]-[0:56:22.00]  ¿La fiesta de los quintos?
[0:56:22.00]-[0:56:26.00]  Yo no sé qué se llama de otra manera, más la fiesta de los quintos.
[0:56:26.00]-[0:56:31.00]  ¿Y hay alguna tradición en las bodas?
[0:56:31.00]-[0:56:38.00]  Ah, la tradición de las bodas es que el novio va en casa de la novia
[0:56:38.00]-[0:56:40.00]  a recogerlas para ir todos juntos.
[0:56:40.00]-[0:56:42.00]  A ti también te hicieron eso.
[0:56:42.00]-[0:56:45.00]  A mí también. Es una tradición del pueblo porque en otro sitio va primero
[0:56:45.00]-[0:56:49.00]  el novio, en las capitales suelen ir primero el novio y luego la novia.
[0:56:49.00]-[0:56:50.00]  Aquí no.
[0:56:50.00]-[0:56:54.00]  Aquí no. Aquí viene el novio a por la novia a su casa y luego ya va todo
[0:56:54.00]-[0:56:58.00]  el acompañamiento juntos. Vienen todos los de la parte del novio,
[0:56:58.00]-[0:57:01.00]  vienen todos a por la novia y luego la novia y ya todos los del novio
[0:57:01.00]-[0:57:03.00]  y todos van juntos a la iglesia.
[0:57:03.00]-[0:57:07.00]  ¿Y hay tradición de asustar o molestar a los niños en la noche de bodas?
[0:57:07.00]-[0:57:10.00]  Sí, antes sí, ya no, pero antes.
[0:57:10.00]-[0:57:11.00]  ¿Qué era la tradición?
[0:57:11.00]-[0:57:15.00]  La tradición de ir y a lo mejor ponerlos en la cama alguna cosa,
[0:57:15.00]-[0:57:19.00]  los ponían unos cencerros o los ponían cosas para cuando se fueran a acostar
[0:57:19.00]-[0:57:23.00]  que sonaran o los quitaban los colchones o los ladeaban en esos miel para cuando
[0:57:23.00]-[0:57:24.00]  se fueran a acostar que se cayeran.
[0:57:24.00]-[0:57:26.00]  Chica, había tradición antes.
[0:57:26.00]-[0:57:32.00]  Y ahora ya últimamente lo que los ponen muchas cosas también aquí en el pueblo.
[0:57:32.00]-[0:57:36.00]  Yo no sé, aquí a los que se casan aquí a lo mejor van las amigas y los amigos
[0:57:36.00]-[0:57:38.00]  y los ponen muchos globos y muchas cosas.
[0:57:38.00]-[0:57:42.00]  Suelen llenar las cosas en la casa toda, ponerse la boca arriba así de cosas
[0:57:42.00]-[0:57:45.00]  de globos, de agua, de muchas cosas también.
[0:57:45.00]-[0:58:09.00]  Ya hemos terminado. Gracias.
