[0:00:00.00]-[0:00:04.00]  ¿Cómo se llama usted?
[0:56:47.00]-[0:56:52.00]  Bueno, yo no sé porque no tengo una poca y me la quitaron para hacer esas casas.
[0:56:52.00]-[0:56:56.00]  Pero una que tengo hace dos años, porque aquí sembramos en el monte cada dos años.
[0:56:56.00]-[0:57:00.00]  A 52.000 pesetas las tareas, tú.
[0:57:00.00]-[0:57:03.00]  A 52.000 pesetas las tareas, pagaban.
[0:57:04.00]-[0:57:07.00]  Tarear 10.000 metros cuadrados, ya lo sabes.
[0:57:09.00]-[0:57:13.00]  Este año, no sé, tengo los tres sembrados de allá arriba, no sé.
[0:57:13.00]-[0:57:17.00]  Cállate tú, que me tienes aquí metiendo la patada.
[0:57:17.00]-[0:57:19.00]  Tú porque te dan puestos y no me tiras la patada.
[0:57:19.00]-[0:57:20.00]  Claro que no.
[0:57:20.00]-[0:57:21.00]  Lo hemos dicho.
[0:57:21.00]-[0:57:23.00]  Claro, y ahí cogis todo.
[0:57:23.00]-[0:57:24.00]  Claro.
[0:57:24.00]-[0:57:25.00]  Otra banda.
[0:57:25.00]-[0:57:27.00]  Yo lo tengo yo así en casa con los nietos.
[0:57:27.00]-[0:57:29.00]  ¿Sabes tú lo enfadado que está?
[0:57:29.00]-[0:57:32.00]  Porque vinieron de Anderan aquellos.
[0:57:32.00]-[0:57:33.00]  ¿Quién?
[0:57:33.00]-[0:57:34.00]  Una radio como estos.
[0:57:34.00]-[0:57:35.00]  ¿Quién?
[0:57:35.00]-[0:57:37.00]  Que me sé yo que es de Anderan aquellos.
[0:57:37.00]-[0:57:38.00]  Pero ¿quién dices?
[0:57:38.00]-[0:57:40.00]  Esos que os preguntaron a tu y a Gallen.
[0:57:40.00]-[0:57:43.00]  Estos yo no sé lo que son.
[0:57:43.00]-[0:57:45.00]  De la universidad.
[0:57:45.00]-[0:57:47.00]  De construcción o de qué se llama.
[0:57:47.00]-[0:57:51.00]  Están estudiantes para un trabajo de clase.
[0:57:51.00]-[0:57:56.00]  Trabajen como estoy y llevaréis de un pueblo y de otro a ver las cosicas.
[0:57:56.00]-[0:57:57.00]  Claro.
[0:57:57.00]-[0:58:01.00]  Los que vinieron aquí, por eso te he dicho, coger a este que yo no quiero ni...
[0:58:02.00]-[0:58:03.00]  Porque nos engañaron.
[0:58:03.00]-[0:58:04.00]  Bueno.
[0:58:04.00]-[0:58:05.00]  Nos robaron con los viejos.
[0:58:05.00]-[0:58:06.00]  Bueno.
[0:58:06.00]-[0:58:07.00]  Es más.
[0:58:07.00]-[0:58:12.00]  Mira, esos eran para eso que están haciendo nuevo las...
[0:58:12.00]-[0:58:13.00]  ¿En esa vuela?
[0:58:13.00]-[0:58:15.00]  ¿Cómo se llaman esas obras?
[0:58:15.00]-[0:58:17.00]  Esa vuela es una cosa del pueblo.
[0:58:17.00]-[0:58:21.00]  Pero en los diarios y en la televisión ven otra.
[0:58:23.00]-[0:58:25.00]  Ahí cuando entréis al pueblo.
[0:58:25.00]-[0:58:26.00]  Sí.
[0:58:26.00]-[0:58:27.00]  Está eso.
[0:58:27.00]-[0:58:30.00]  Los polígonos, ¿y ves?
[0:58:30.00]-[0:58:32.00]  ¿Los polígonos?
[0:58:32.00]-[0:58:33.00]  No.
[0:58:33.00]-[0:58:34.00]  El polígono es alguna cosa.
[0:58:34.00]-[0:58:39.00]  Pero eso es la... eso es una urbanización que están haciendo.
[0:58:39.00]-[0:58:40.00]  Sí.
[0:58:40.00]-[0:58:43.00]  Cuando te ves cada frauza, la brecha, está las casetas.
[0:58:43.00]-[0:58:45.00]  Bueno, pues llegaron dos como vosotros.
[0:58:45.00]-[0:58:47.00]  Un chico y dos chicos.
[0:58:47.00]-[0:58:49.00]  Y estábamos dos viejos.
[0:58:49.00]-[0:58:51.00]  Como ahora.
[0:58:52.00]-[0:58:53.00]  Oye.
[0:58:54.00]-[0:58:55.00]  Bueno, bueno.
[0:58:55.00]-[0:58:57.00]  Dice, ¿dónde hay que ustedes?
[0:58:58.00]-[0:59:00.00]  Y la primera que nos dicen...
[0:59:00.00]-[0:59:05.00]  Este pueblo con esa urbanización, por eso te digo yo que esos no son como otros.
[0:59:05.00]-[0:59:09.00]  Son de la construcción a mis casas.
[0:59:10.00]-[0:59:12.00]  Y el otro, y digo...
[0:59:12.00]-[0:59:14.00]  Sí, están diciendo ahí por ahí.
[0:59:14.00]-[0:59:18.00]  Este pueblo, si no hablan otro, no hablan nosotros.
[0:59:19.00]-[0:59:20.00]  Y dice...
[0:59:20.00]-[0:59:26.00]  El otro que está conmigo dice, pues si vieran aquí, porque aquí no hay nada.
[0:59:26.00]-[0:59:30.00]  El otro que está conmigo dice, pues si vieran aquí, porque aquí...
[0:59:30.00]-[0:59:32.00]  ¿Habéis venido de Zaragoza?
[0:59:32.00]-[0:59:34.00]  Por aquí o por allá.
[0:59:34.00]-[0:59:37.00]  Hemos venido de Tudela, Greda.
[0:59:37.00]-[0:59:38.00]  Hemos bajado.
[0:59:38.00]-[0:59:41.00]  Pero bueno, de Tudela, aquí, ¿por dónde habéis venido?
[0:59:41.00]-[0:59:43.00]  Por Peñaflor, Montañana.
[0:59:43.00]-[0:59:44.00]  Por Erla.
[0:59:44.00]-[0:59:46.00]  Ah, habéis venido para arriba, Erla.
[0:59:46.00]-[0:59:48.00]  Habéis venido por Sierra Leone.
[0:59:48.00]-[0:59:50.00]  Sí, eso, eso, eso.
[0:59:50.00]-[0:59:52.00]  Ustedes han venido para ahí.
[0:59:52.00]-[0:59:58.00]  Y esos pueblos nuevos, y han de Tudela, para todos esos pueblos nuevos, a Salida, a Egea.
[0:59:58.00]-[1:00:00.00]  Sí, de los Caballeros.
[1:00:00.00]-[1:00:08.00]  Y se ha ido, por ejemplo, a Erla, Sierra Luna, a las Pedrosas, fuera y a... a cogerse.
[1:00:08.00]-[1:00:09.00]  Sí.
[1:00:09.00]-[1:00:11.00]  Bueno, pues ellos llegaron.
[1:00:14.00]-[1:00:16.00]  Y la primera, les dice, los otros.
[1:00:16.00]-[1:00:19.00]  Todo eso que vi, esa entrada de San Mateo, hasta llegar al pueblo.
[1:00:19.00]-[1:00:25.00]  Eso es una urbanización que hicieron, que llegaba a estar como tu padre.
[1:00:25.00]-[1:00:30.00]  Eso, se compraban, son todos de fuera de Zaragoza, ¿sabes?
[1:00:30.00]-[1:00:31.00]  Sí.
[1:00:31.00]-[1:00:33.00]  Compraban un córrito y se hacían un chalecico.
[1:00:33.00]-[1:00:38.00]  Venían los domingos y venían, y ahora lo están hablando hasta el andador 8.
[1:00:38.00]-[1:00:41.00]  Hay un andador cada 70 metros.
[1:00:41.00]-[1:00:49.00]  Y del pueblo para allá, hasta el andador 8, ahí se urbaniza.
[1:00:49.00]-[1:00:57.00]  Bueno, a lo que vamos, a llegar, a llegar, dice el otro, el otro chico, a la buena dios, dice,
[1:00:57.00]-[1:00:59.00]  pues, eh, mi bisneta.
[1:00:59.00]-[1:01:02.00]  Y dice, eh, el chico ya bisneta.
[1:01:02.00]-[1:01:08.00]  Y el otro chico dice, ah, dice, si viera el Sasú.
[1:01:08.00]-[1:01:14.00]  Y ellos, como era vosotros, dice, el uno, dice, eso es...
[1:01:14.00]-[1:01:16.00]  ¿Fuera de ley?
[1:01:16.00]-[1:01:18.00]  Fueras, ilegal y era.
[1:01:18.00]-[1:01:19.00]  Sí.
[1:01:19.00]-[1:01:23.00]  Y yo, pues sí, que es ilegal eso, y borraron ahí.
[1:01:23.00]-[1:01:25.00]  Y le digo a Raspinillos que...
[1:01:25.00]-[1:01:26.00]  Y toda la España está igual.
[1:01:26.00]-[1:01:28.00]  Y le dieron de la vuelta.
[1:01:28.00]-[1:01:29.00]  Y se fueron.
[1:01:29.00]-[1:01:31.00]  Y nos dejaron en esos bancos.
[1:01:31.00]-[1:01:35.00]  Igual que Marbella y Lerida y todos están igual.
[1:01:35.00]-[1:01:41.00]  Chicos del colegio de fuera, un colegio de los friles de ahí.
[1:01:41.00]-[1:01:43.00]  Y se pusieron a hablar con los chicos.
[1:01:43.00]-[1:01:49.00]  Y al otro día venían, ese es el día, y nos estaban...
[1:01:49.00]-[1:01:55.00]  Y dice que estábamos nosotros conformes con todo, habían preguntado, y nosotros en Busteros,
[1:01:55.00]-[1:01:57.00]  y nosotros no hablemos.
[1:01:57.00]-[1:02:00.00]  Nos los dejaron.
[1:02:00.00]-[1:02:04.00]  Habían puesto en el periódico, habían puesto en el periódico, no me acuerdo.
[1:02:04.00]-[1:02:05.00]  Tú.
[1:02:05.00]-[1:02:09.00]  Pues estos a mí, y yo les contestaba todo lo que me habían dicho.
[1:02:09.00]-[1:02:16.00]  Aquí los dos arrancó en la televisión, nos retratan así.
[1:02:16.00]-[1:02:21.00]  Y yo solo cuando dijo que era ilegal, claro, porque espera ellos,
[1:02:21.00]-[1:02:25.00]  besos de jaleo, ellos solo buscaban eso.
[1:02:25.00]-[1:02:29.00]  Y yo le dije, joder, y Raspinillos...
[1:02:29.00]-[1:02:31.00]  Se está toda España igual.
[1:02:31.00]-[1:02:32.00]  Y se fueron.
[1:02:32.00]-[1:02:37.00]  Y al otro día venimos en el diario, que conformes con todo...
[1:02:37.00]-[1:02:41.00]  No se les han hecho tirar, pero tuvieron que pagar.
[1:02:41.00]-[1:02:43.00]  Toda España está igual, eh, no pienses.
[1:02:43.00]-[1:02:45.00]  Y algunos no han hablado.
[1:02:45.00]-[1:02:48.00]  Y el otro, ese chico que estaba ahí con nosotros, que la vi.
[1:02:48.00]-[1:02:51.00]  La pareja y cabocha la vi preguntando...
[1:02:51.00]-[1:02:53.00]  Ah, a mi cuñado.
[1:02:53.00]-[1:02:55.00]  Digo, pues yo no los quiero ni ver.
[1:02:55.00]-[1:02:58.00]  No es algo que nos hagan...
[1:02:58.00]-[1:03:03.00]  No, no, no, nuestro es un trabajo para...
[1:03:03.00]-[1:03:06.00]  Es que nos engañaron.
[1:03:06.00]-[1:03:10.00]  Si nosotros no hablamos nada, nada va a venir.
[1:03:10.00]-[1:03:13.00]  Bueno, pues lo pusieron en el periódico, pues allí vendría.
[1:03:13.00]-[1:03:16.00]  Como si esto, digo, esto serán los estudios...
[1:03:16.00]-[1:03:18.00]  Esto no va a salir en ningún sitio.
[1:03:18.00]-[1:03:19.00]  Es igual.
[1:03:19.00]-[1:03:22.00]  No, porque es que me va a pasar nada porque vean el periódico,
[1:03:22.00]-[1:03:24.00]  que no dicen nada.
[1:03:24.00]-[1:03:28.00]  No es nada, no es nada.
[1:03:28.00]-[1:03:33.00]  Pero, sin ver cuánto años, digo, no más que aquí está el rastro en la boca.
[1:03:41.00]-[1:03:42.00]  Pero no es que...
[1:03:42.00]-[1:03:45.00]  Ah, me he escogido todo de tu boca.
[1:03:48.00]-[1:03:52.00]  Bueno, pues estoy sin mandarme, ¿eh?
[1:03:52.00]-[1:03:57.00]  Porque ustedes, como yo, desde chicos así, sabemos cómo malo que estaba todo.
[1:03:57.00]-[1:04:01.00]  No es que nosotros seamos de legado.
[1:04:01.00]-[1:04:03.00]  De legado el hambre.
[1:04:03.00]-[1:04:05.00]  Nosotros no usamos eso.
[1:04:05.00]-[1:04:07.00]  Nosotros no usamos eso.
[1:04:07.00]-[1:04:09.00]  A nosotros nos tocó...
[1:04:09.00]-[1:04:14.00]  Mira, este hoy no es esto, de quedada en el monte, en una caseta.
[1:04:14.00]-[1:04:18.00]  De lunes al domingo a mediodía.
[1:04:18.00]-[1:04:19.00]  Sin comer.
[1:04:19.00]-[1:04:24.00]  No, usted a comer, sí, pero sin luz ni nada, guichándote tú, con las mulas.
[1:04:24.00]-[1:04:26.00]  Venías por el domingo...
[1:04:26.00]-[1:04:28.00]  Y el lunes la vez para arriba.
[1:04:28.00]-[1:04:31.00]  Mira, a ver qué jale había para coger cuervo.
[1:04:31.00]-[1:04:34.00]  Los sacos de pajas, queso, las patatas...
[1:04:34.00]-[1:04:36.00]  Y otra vez de quedada.
[1:04:36.00]-[1:04:38.00]  Sin luz, el candil.
[1:04:38.00]-[1:04:40.00]  El candil, ya veo.
[1:04:40.00]-[1:04:44.00]  Y el pan, lo masaban mis hermanas y mi madre.
[1:04:44.00]-[1:04:46.00]  Y ahí lo arreo.
[1:04:46.00]-[1:04:51.00]  Te hacían el pan el viernes, porque el sabado no había, el sabado.
[1:04:51.00]-[1:04:56.00]  Y ese pan, te lo llevabas a monte lunes hasta el domingo.
[1:04:56.00]-[1:05:00.00]  Anda, anda tú ahora que te llegues tú a casa, te para la barrica.
[1:05:00.00]-[1:05:03.00]  Bueno, pero esto de ahora no es pan, eh.
[1:05:03.00]-[1:05:05.00]  No confundas.
[1:05:05.00]-[1:05:08.00]  Que no confundas tú este pan con aquel.
[1:05:08.00]-[1:05:11.00]  Que valía más aquel al séptimo día que este el primero.
[1:05:11.00]-[1:05:14.00]  Pero ahora un chico aquel pan no lo quiere.
[1:05:14.00]-[1:05:17.00]  Ah, bien, que sí, que estoy de acuerdo.
[1:05:17.00]-[1:05:20.00]  Pero es mucho mejor, eh.
[1:05:20.00]-[1:05:22.00]  Yo lo veo en los nieticos.
[1:05:22.00]-[1:05:24.00]  Es que sí, que en eso tienes razón.
[1:05:24.00]-[1:05:28.00]  Y hacen así en la barra, al chatzo.
[1:05:28.00]-[1:05:32.00]  Le iba a preguntar, eh, que le he dicho del pan.
[1:05:32.00]-[1:05:35.00]  La bola la hacían también en la comida, no?
[1:05:35.00]-[1:05:38.00]  Eso que le dicen la bola, no se han dicho de tenerla.
[1:05:38.00]-[1:05:41.00]  Sí, con la masa, se hacía en mondongo, claro.
[1:05:41.00]-[1:05:44.00]  Se hacía bola y morcilla con arroz.
[1:05:44.00]-[1:05:46.00]  ¿Qué es exactamente con bola?
[1:05:46.00]-[1:05:48.00]  Sangre con pan.
[1:05:48.00]-[1:05:50.00]  Ah, o sea que es como morcilla con pan.
[1:05:50.00]-[1:05:53.00]  Eso es, pero la morcilla la hacen con arroz, aquí.
[1:05:53.00]-[1:05:56.00]  Y la bola era con pan.
[1:05:56.00]-[1:05:58.00]  ¿Y del mondongo?
[1:05:58.00]-[1:06:04.00]  Del mondongo pues sacan intestinos del tocino y hacían butifarras.
[1:06:04.00]-[1:06:07.00]  Las cabezas y por ahí lo peor, butifarras.
[1:06:07.00]-[1:06:11.00]  Y lo otro, pues chorizo y longanizo.
[1:06:11.00]-[1:06:18.00]  Y los lomos pues los cogían, los partían y los metían ahí para el verano.
[1:06:18.00]-[1:06:23.00]  Para no creas que cobardarlos para el verano.
[1:06:23.00]-[1:06:28.00]  Porque ahora para recoger la cosecha venían segadores por ahí.
[1:06:28.00]-[1:06:31.00]  Mira, aquí venían un montón de murciados.
[1:06:31.00]-[1:06:35.00]  Y aún venían hace unos años, algunos que vivían.
[1:06:35.00]-[1:06:38.00]  Pero allí igual y cu.
[1:06:38.00]-[1:06:41.00]  Sí, mi abuela es de Mocia.
[1:06:41.00]-[1:06:44.00]  Pues aquí venían muchos a secar de Mocia.
[1:06:44.00]-[1:06:47.00]  Y hubo dos o tres que tenían amistad y hasta de polla sal mordes.
[1:06:47.00]-[1:06:50.00]  No venían hace unos años ya.
[1:06:50.00]-[1:07:08.00]  ¿Y diría usted por ejemplo las relaciones entre las personas, sus amigos?
[1:07:08.00]-[1:07:10.00]  Por ejemplo, ¿usted tiene amigos desde que era pequeño en el pueblo?
[1:07:10.00]-[1:07:13.00]  Sí, este granuja es uno.
[1:07:13.00]-[1:07:18.00]  No quedan muchos ya.
[1:07:18.00]-[1:07:26.00]  Que tenemos 84 años, que quedan tantos, pero quedan.
[1:07:26.00]-[1:07:30.00]  Aún nos juntamos tomando café cuatro, algún día.
[1:07:30.00]-[1:07:35.00]  Si somos los más viejos del bar de los viejos.
[1:07:35.00]-[1:07:38.00]  Digo, chicos, pues qué vamos a hacer.
[1:07:38.00]-[1:07:41.00]  Si somos los más viejos.
[1:07:41.00]-[1:07:43.00]  Hay dos días que vienen dos.
[1:07:43.00]-[1:07:47.00]  Uno tiene 91 y el otro 88.
[1:07:47.00]-[1:07:51.00]  Pero si no están esos dos, los más viejos,
[1:07:51.00]-[1:07:54.00]  este hoy un primo dice que somos quinto.
[1:07:54.00]-[1:07:59.00]  Aún queda alguno, pero ya no se atreven a venir a tomar café.
[1:07:59.00]-[1:08:01.00]  Sabes que están mal.
[1:08:01.00]-[1:08:03.00]  Porque esos años es fácil de...
[1:08:03.00]-[1:08:07.00]  Uno le falla la pierna, el otro le falla otra cosa y así.
[1:08:07.00]-[1:08:13.00]  Pero el caso es que la gente hoy en día...
[1:08:13.00]-[1:08:18.00]  ¿Ustedes trataban mucho unos con otros y se siguen llevando bien?
[1:08:18.00]-[1:08:20.00]  La gente hoy no tiene aguante.
[1:08:20.00]-[1:08:23.00]  En eso te lo vas a imaginar.
[1:08:23.00]-[1:08:26.00]  Aquí, como se parecía en todos los pueblos,
[1:08:26.00]-[1:08:31.00]  se moría uno en una calle y lo sentía todo el pueblo.
[1:08:31.00]-[1:08:35.00]  Pero ahora...
[1:08:35.00]-[1:08:39.00]  Ahora se me dio un hermano y a los ves...
[1:08:39.00]-[1:08:43.00]  Los unos que ponen una cosa y los otros otra,
[1:08:43.00]-[1:08:45.00]  la gente no hay cariño.
[1:08:45.00]-[1:08:47.00]  Se acabó eso y se acabó.
[1:08:53.00]-[1:08:58.00]  ¿Y usted vivió con sus padres hasta que se casó?
[1:08:58.00]-[1:09:00.00]  ¿Con qué edad se casó?
[1:09:00.00]-[1:09:02.00]  ¿Con 29 años?
[1:09:02.00]-[1:09:04.00]  ¿Qué te crees que entonces?
[1:09:04.00]-[1:09:08.00]  Pues a ver si este año se coge un poquito para...
[1:09:08.00]-[1:09:10.00]  Para hacer la boda.
[1:09:10.00]-[1:09:12.00]  Se caga muchos viejos.
[1:09:12.00]-[1:09:16.00]  Y es que había que esperar que cogieras alguna pérdida,
[1:09:16.00]-[1:09:18.00]  que si no se podía.
[1:09:18.00]-[1:09:20.00]  Claro, y ahí estaba.
[1:09:20.00]-[1:09:24.00]  Esperando, o sea que reconoció a su esposa mucho antes.
[1:09:24.00]-[1:09:25.00]  Hombre.
[1:09:25.00]-[1:09:26.00]  Era del pueblo también.
[1:09:26.00]-[1:09:27.00]  Sí.
[1:09:31.00]-[1:09:34.00]  Reconocieras de aquí vas a la escuela.
[1:09:34.00]-[1:09:36.00]  ¿Cuántos eran en la escuela?
[1:09:36.00]-[1:09:37.00]  Bastantes.
[1:09:37.00]-[1:09:40.00]  Entonces ahí estaban muchos chicos.
[1:09:40.00]-[1:09:42.00]  Nosotros éramos seis.
[1:09:42.00]-[1:09:45.00]  Este me dice que eran siete.
[1:09:45.00]-[1:09:48.00]  Y de seis y cinco a cualquiera.
[1:09:48.00]-[1:09:50.00]  ¿Cuántos hijos tenéis ustedes?
[1:09:50.00]-[1:09:53.00]  Yo tengo un chico y dos chicas.
[1:09:53.00]-[1:09:55.00]  Pero yo era seis.
[1:09:55.00]-[1:09:57.00]  ¿Seis hermanos?
[1:09:57.00]-[1:09:58.00]  ¿Y todos viven aquí?
[1:09:58.00]-[1:09:59.00]  No.
[1:09:59.00]-[1:10:03.00]  La mayor que era mayor que yo dos años se murió hace 40 años.
[1:10:03.00]-[1:10:07.00]  Esta del bar, ese bar que hay ahí, es hermana.
[1:10:07.00]-[1:10:09.00]  Y otra vive en Peñaflor.
[1:10:09.00]-[1:10:11.00]  Y otra tengo en Caracas.
[1:10:11.00]-[1:10:12.00]  ¿En Caracas?
[1:10:12.00]-[1:10:13.00]  Sí.
[1:10:14.00]-[1:10:15.00]  Qué lejos.
[1:10:17.00]-[1:10:19.00]  ¿Y hace mucho que no la ven?
[1:10:19.00]-[1:10:21.00]  No, a cualquier hora vienen.
[1:10:21.00]-[1:10:25.00]  Es dos años más joven que yo, pero el marido es un año más.
[1:10:25.00]-[1:10:28.00]  Y a cualquier hora cojan el avión y vienen aquí.
[1:10:28.00]-[1:10:30.00]  Digo, me cago cuando vengo aquí.
[1:10:30.00]-[1:10:33.00]  Yo no tengo ganas de viajar.
[1:10:37.00]-[1:10:39.00]  ¿Hace mucho que se fue?
[1:10:39.00]-[1:10:40.00]  Mucho.
[1:10:40.00]-[1:10:43.00]  Bueno, de joven.
[1:10:43.00]-[1:10:45.00]  ¿Después de la guerra?
[1:10:45.00]-[1:10:46.00]  Sí.
[1:10:48.00]-[1:10:50.00]  Ya sería esto ya...
[1:10:51.00]-[1:10:54.00]  El 39 terminó la guerra.
[1:10:54.00]-[1:10:57.00]  Ya sería cerca del 50 cuando se fueron estos.
[1:10:57.00]-[1:11:02.00]  Allí no hay pensión en Caracas.
[1:11:02.00]-[1:11:04.00]  Pero no pueden tenerla, eh.
[1:11:05.00]-[1:11:12.00]  Allí, como no hace frío, la gente en una empresa no puede ponerse nadie a llevar.
[1:11:12.00]-[1:11:16.00]  Van, en dos días ganan para la semana.
[1:11:16.00]-[1:11:18.00]  Los otros ya no vuelven a la fábrica.
[1:11:18.00]-[1:11:19.00]  Igual.
[1:11:19.00]-[1:11:22.00]  Como no hace frío, no pueden ir a la fábrica.
[1:11:22.00]-[1:11:27.00]  Y luego la selva, comen plantanos y por ahí.
[1:11:27.00]-[1:11:34.00]  Claro, y un fabricante, un patrón, cómo va a coger gente que a los dos días está ligada que no viene cuatro días.
[1:11:34.00]-[1:11:36.00]  No puede ser.
[1:11:36.00]-[1:11:53.00]  Allí son pues estas empresas pequeñas.
[1:11:53.00]-[1:11:58.00]  Usted tiene cosas que hacer, no le importa que estemos de aquí.
[1:11:58.00]-[1:12:00.00]  No, yo de aquí a cenar.
[1:12:00.00]-[1:12:06.00]  ¿A qué hora juega?
[1:12:06.00]-[1:12:08.00]  A las ocho.
[1:12:08.00]-[1:12:10.00]  Ustedes no son del Zaragoza.
[1:12:10.00]-[1:12:12.00]  ¿De qué equipo son?
[1:12:12.00]-[1:12:15.00]  Este sí, el del Zaragoza ha perdido.
[1:12:15.00]-[1:12:17.00]  Se pone malo, si pierde, yo no.
[1:12:17.00]-[1:12:20.00]  Yo me gusta que gane, pero si pierde...
[1:12:20.00]-[1:12:24.00]  Yo estoy con el sentimiento que este Zaragoza es un equipo de la gente.
[1:12:24.00]-[1:12:31.00]  Yo por día es Abba Andrés, me cago en su corazón.
[1:12:31.00]-[1:12:34.00]  Queda en el campo pronto, para ya a estrenar.
[1:12:34.00]-[1:12:36.00]  ¿A usted qué equipo le gusta?
[1:12:36.00]-[1:12:39.00]  Ninguno, no soy forofo de ninguno.
[1:12:39.00]-[1:12:43.00]  Me gusta que gane el Zaragoza, pero que si pierde no le doy ninguna...
[1:12:43.00]-[1:12:48.00]  El del Zaragoza a mis pasos por su pueblo es de Sierra Luna.
[1:12:48.00]-[1:12:56.00]  Cuando entras a Sierra Luna de Egea, a la carretera ya es un poco difícil llegar al pueblo.
[1:12:56.00]-[1:13:03.00]  Pues a la derecha hay una casa de dos pisos, a 20 metros de la carretera, que es la casa de...
[1:13:03.00]-[1:13:05.00] ...de Sierra Luna.
[1:13:05.00]-[1:13:09.00]  Estuvo con mí 29 meses.
[1:13:09.00]-[1:13:11.00]  Tadeo Andrés.
[1:13:11.00]-[1:13:18.00]  Ahora dice que el presidente, este coño Agapito, vendía las opciones.
[1:13:18.00]-[1:13:24.00]  Oye, hay gente que ha hablado de Juego Cerraú, pero no sé a quién me lo dijo.
[1:13:24.00]-[1:13:27.00]  Yo digo, chico, pues yo como no leo nada de eso.
[1:13:27.00]-[1:13:31.00]  Pero el Levante juega mañana o no?
[1:13:31.00]-[1:13:33.00]  Que juega.
[1:13:33.00]-[1:13:34.00]  Que juega.
[1:13:34.00]-[1:13:36.00]  Que ha hecho la televisión.
[1:13:36.00]-[1:13:37.00]  Que juega.
[1:13:37.00]-[1:13:45.00]  Que ha hecho la televisión que vamos en el diario, que pensaban si bajaban de jugar.
[1:13:45.00]-[1:13:51.00]  Claro, el partido sería para el recreativo de Huelva.
[1:13:51.00]-[1:13:57.00]  Pero es que ha habido mucho follón, porque todos los puntos que han sacado sobre Levante de Valencia...
[1:13:57.00]-[1:14:00.00] ...habría que quitar, otros poner, metías a ver.
[1:14:00.00]-[1:14:03.00]  Además es una ley que la pusieron así.
[1:14:03.00]-[1:14:07.00]  Si no se presenta le dan perdido al equipo que no se presenta ahí.
[1:14:07.00]-[1:14:09.00]  Han de jugar.
[1:14:16.00]-[1:14:21.00]  El Barcelona ha jugado a su show y aquí hoy en los bares no sé si lo quieren jugar.
[1:14:23.00]-[1:14:26.00]  No televisión, aunque el Barcelona.
[1:14:26.00]-[1:14:32.00]  El de las diez, uno televisarán.
[1:14:32.00]-[1:14:35.00]  Que a las diez televisan siempre uno.
[1:14:35.00]-[1:14:38.00]  Ya llevamos ocho o diez años.
[1:14:38.00]-[1:14:42.00]  Pero a las diez de la noche televisan ese.
[1:14:42.00]-[1:14:46.00]  Si oye, hay casi siempre jugadores.
[1:14:46.00]-[1:14:48.00]  Pero no hay jugadores.
[1:14:48.00]-[1:14:50.00]  No hay jugadores.
[1:14:50.00]-[1:14:52.00]  No hay jugadores.
[1:14:52.00]-[1:14:56.00]  Si oye, hay casi siempre jugadores.
[1:14:56.00]-[1:14:58.00]  Pero ahora si no está...
[1:14:58.00]-[1:15:01.00]  No va a jugar y no lleva a los titulares.
[1:15:01.00]-[1:15:06.00]  Le lleva al negro, al delantero, al argentino ese tan bueno.
[1:15:06.00]-[1:15:11.00]  Porque tiene que ir allá, al Manchester ese.
[1:15:11.00]-[1:15:13.00]  Tiene que ir al extranjero.
[1:15:13.00]-[1:15:15.00]  Al inglés ese.
[1:15:15.00]-[1:15:20.00]  Pero el otro equipo no me acuerdo que no se iba.
[1:15:20.00]-[1:15:23.00]  Pero el Levante jugará.
[1:15:23.00]-[1:15:25.00]  Pensaban no jugar.
[1:15:25.00]-[1:15:29.00]  Pero hay muchos guiosos.
[1:15:29.00]-[1:15:30.00]  Claro.
[1:15:30.00]-[1:15:32.00]  Oye, que no han cobrado.
[1:15:32.00]-[1:15:35.00]  Que no han cobrado en toda la campaña.
[1:15:35.00]-[1:15:39.00]  Eso no te levante no, pero hay que ver el dineral que ganan los futbolistas.
[1:15:39.00]-[1:15:41.00]  No, hombre, hay que ver el dineral.
[1:15:41.00]-[1:15:45.00]  No te levante no, pero hay que ver el dineral que ganan los futbolistas.
[1:15:45.00]-[1:15:48.00]  No, hombre, ahí está la ruina que tienen todos los equipos.
[1:15:48.00]-[1:15:53.00]  El Valencia, el Levante del Valencia, por más que tenga el Valencia y el otro...
[1:15:53.00]-[1:15:56.00]  Pues 20 millones les dio hace poco.
[1:15:56.00]-[1:15:59.00]  Pero si 20 millones un equipo no tiene ni para el vitro.
[1:15:59.00]-[1:16:02.00]  Qué es la forma que les dan.
[1:16:02.00]-[1:16:07.00]  Tiene que ser muy malo un jugador para que no gane 30 o 40 millones al año.
[1:16:07.00]-[1:16:09.00]  Muy malo.
[1:16:09.00]-[1:16:12.00]  Y los equipos, con más grandes, más tramposos.
[1:16:12.00]-[1:16:15.00]  Están todos igual.
[1:16:15.00]-[1:16:22.00]  Si tú les vieras, que llevaría la banca y que se llevaría hasta los perros.
[1:16:22.00]-[1:16:27.00]  Pero eso se deshace el asunto y no paga nadie.
[1:16:27.00]-[1:16:32.00]  Oye, pero la banca si no cobra no los llevo.
[1:16:32.00]-[1:16:39.00]  Si no es un banco, pues eso es para que deje. Si no firma alguno.
[1:16:39.00]-[1:16:44.00]  A los demás no, si no es por ser el fútbol.
[1:16:44.00]-[1:16:51.00]  Había aquí algún equipillo de fútbol, algún equipo pequeño de fútbol.
[1:16:51.00]-[1:16:54.00]  Pequeños. Ahora hay... ¿Cuántos hay, equipos?
