[0:00:00.00]-[0:00:01.20]  ¿La matanza?
[0:46:29.20]-[0:46:31.20]  que llegaba esos días de ese calor,
[0:46:31.20]-[0:46:33.20]  que sudabas.
[0:46:33.20]-[0:46:35.20]  ¿Había quién tenía las tormentas?
[0:46:35.20]-[0:46:37.20]  Yo mucho.
[0:46:37.20]-[0:46:39.20]  Tengo un miedo,
[0:46:39.20]-[0:46:41.20]  que me metía debajo la cama.
[0:46:41.20]-[0:46:43.20]  Yo mucho, sí, sí.
[0:46:43.20]-[0:46:45.20]  Pero había muchas antes.
[0:46:45.20]-[0:46:47.20]  Sí, muchas. Antes había más tormentas que ahora.
[0:46:49.20]-[0:46:51.20]  ¿Las enfermedades de los animales?
[0:46:51.20]-[0:46:53.20]  Bueno, los animales,
[0:46:53.20]-[0:46:55.20]  pues,
[0:46:55.20]-[0:46:57.20]  les daban lo mejor también,
[0:46:57.20]-[0:46:59.20]  casi igual que a las personas, les daba gripe,
[0:46:59.20]-[0:47:03.20]  porque tenía la boca mala, y así.
[0:47:03.20]-[0:47:05.20]  ¿Los animales qué tienen?
[0:47:05.20]-[0:47:07.20]  ¿O a quién tienen?
[0:47:07.20]-[0:47:09.20]  Los animales, pues,
[0:47:09.20]-[0:47:11.20]  claro, si les pegas.
[0:47:15.20]-[0:47:17.20]  Tengo miedo al palo.
[0:47:21.20]-[0:47:23.20]  ¿Era muy dura la vida de antes?
[0:47:23.20]-[0:47:25.20]  Sí.
[0:47:25.20]-[0:47:27.20]  Sí, porque se trabajaba mucho.
[0:47:27.20]-[0:47:29.20]  ¿Y qué les preocupaba a los jóvenes por encima de todo?
[0:47:29.20]-[0:47:31.20]  Bueno, pues,
[0:47:31.20]-[0:47:33.20]  yo qué sé, a los jóvenes,
[0:47:33.20]-[0:47:35.20]  ahí no te lo sé decir,
[0:47:35.20]-[0:47:37.20]  no sé.
[0:47:37.20]-[0:47:39.20]  ¿Y a los padres qué les preocupaba?
[0:47:39.20]-[0:47:41.20]  Claro, los hijos,
[0:47:41.20]-[0:47:43.20]  que no tenían, a lo mejor, empleo,
[0:47:43.20]-[0:47:45.20]  no tenían trabajo, claro,
[0:47:45.20]-[0:47:47.20]  los padres estaban preocupados, porque no ganaban.
[0:47:47.20]-[0:47:49.20]  Y, hombre, pues,
[0:47:49.20]-[0:47:51.20]  si eran buenos, ahora sí eran malos,
[0:47:51.20]-[0:47:53.20]  que, claro, les preocupaba,
[0:47:53.20]-[0:47:57.20]  porque eran muy justos.
[0:47:57.20]-[0:47:59.20]  ¿Llegan los padres a la boda?
[0:47:59.20]-[0:48:01.20]  Sí,
[0:48:01.20]-[0:48:03.20]  eran los padres los que la pagaban.
[0:48:03.20]-[0:48:05.20]  ¿Pero los padres de la novia,
[0:48:05.20]-[0:48:07.20]  o los dos?
[0:48:07.20]-[0:48:09.20]  Los dos, los dos, pagaban.
[0:48:09.20]-[0:48:11.20]  Pues, ahora ya se pagan los invitados,
[0:48:11.20]-[0:48:13.20]  que llevaba cada uno,
[0:48:13.20]-[0:48:15.20]  ahora sí, pero antes la mitad.
[0:48:15.20]-[0:48:17.20]  Sí.
[0:48:19.20]-[0:48:21.20]  ¿Les hacía el banquete,
[0:48:21.20]-[0:48:23.20]  en casa de los novios, o en casa de la novia?
[0:48:23.20]-[0:48:25.20]  Bueno, se solía hacer en casa de la novia.
[0:48:25.20]-[0:48:27.20]  Sí.
[0:48:27.20]-[0:48:29.20]  ¿Y luego había viaje de novios,
[0:48:29.20]-[0:48:31.20]  o algo, hacía algo especial?
[0:48:31.20]-[0:48:33.20]  Bueno, antiguamente,
[0:48:33.20]-[0:48:35.20]  el que podía, que poca gente podía,
[0:48:35.20]-[0:48:37.20]  hacer, no sabes, un viaje,
[0:48:37.20]-[0:48:39.20]  porque no había dinero,
[0:48:39.20]-[0:48:41.20]  sí, también se iba el viaje,
[0:48:41.20]-[0:48:43.20]  pero poca gente, porque no había dinero,
[0:48:43.20]-[0:48:45.20]  se ha despaído el viaje,
[0:48:45.20]-[0:48:47.20]  no es como ahora.
[0:48:47.20]-[0:48:49.20]  ¿Y que se iban viviendo en casa de los padres, o se iban?
[0:48:49.20]-[0:48:51.20]  En casa, sí, quedaban con los padres,
[0:48:51.20]-[0:48:53.20]  pero después en cuanto podían ellos,
[0:48:53.20]-[0:48:55.20]  ya buscarse una casina, o tallas,
[0:48:55.20]-[0:48:57.20]  iban solos a vivir.
[0:48:59.20]-[0:49:01.20]  Antes no se separaba la gente, como ahora,
[0:49:01.20]-[0:49:03.20]  se aguantaban,
[0:49:03.20]-[0:49:05.20]  unos a otros,
[0:49:05.20]-[0:49:07.20]  pero ahora ya les se separan.
[0:49:07.20]-[0:49:09.20]  ¿Duraban antes más o más de menos?
[0:49:09.20]-[0:49:11.20]  Sí.
[0:49:11.20]-[0:49:13.20]  Sí, todo el día.
[0:49:13.20]-[0:49:15.20]  Pocos había separados, pocos,
[0:49:15.20]-[0:49:17.20]  y todos algunos, se separaban,
[0:49:17.20]-[0:49:19.20]  y no se separaban.
[0:49:21.20]-[0:49:23.20]  ¿Y antes había más presencia de la Iglesia,
[0:49:23.20]-[0:49:25.20]  que ahora, no?
[0:49:25.20]-[0:49:27.20]  Sí.
[0:49:27.20]-[0:49:29.20]  La gente se iba a toda la iglesia, ahora no.
[0:49:29.20]-[0:49:31.20]  ¿Recuerda que preocupaba al cura?
[0:49:33.20]-[0:49:35.20]  No lo sé.
[0:49:37.20]-[0:49:39.20]  ¿Y se metía el cura en la vía del pueblo?
[0:49:39.20]-[0:49:41.20]  No.
[0:49:43.20]-[0:49:45.20]  ¿Dónde estaba el cura?
[0:49:45.20]-[0:49:47.20]  No me recuerdo, pero no sé,
[0:49:47.20]-[0:49:49.20]  nada, porque le atraía a la gente
[0:49:49.20]-[0:49:51.20]  a la misa, y él se portaba bien
[0:49:51.20]-[0:49:53.20]  con todo el mundo.
[0:49:53.20]-[0:49:55.20]  No, nada más.
[0:49:55.20]-[0:49:57.20]  ¿Iba mucha gente a la misa?
[0:49:57.20]-[0:49:59.20]  Sí, yo me recuerdo.
[0:49:59.20]-[0:50:01.20]  Yo sin una niña, la iglesia se llenaba,
[0:50:01.20]-[0:50:03.20]  los domingos no se trabajaba.
[0:50:03.20]-[0:50:05.20]  Ahora la gente no va a la misa, va a trabajar los domingos.
[0:50:05.20]-[0:50:07.20]  Y a lo mejor días de semana mirando,
[0:50:07.20]-[0:50:09.20]  y ahora, pues a lo mejor los domingos
[0:50:09.20]-[0:50:11.20]  se los dedican a ir a trabajar.
[0:50:11.20]-[0:50:13.20]  ¿Y al baile cómo se iba vestido?
[0:50:13.20]-[0:50:15.20]  Pues antes con la ropa que tenías,
[0:50:15.20]-[0:50:17.20]  porque a lo mejor tenías un vestido
[0:50:17.20]-[0:50:19.20]  y lo ponías igual en el verano
[0:50:19.20]-[0:50:21.20]  que en el invierno.
[0:50:21.20]-[0:50:23.20]  No es como ahora, que tienes un vestido
[0:50:23.20]-[0:50:25.20]  que te hace juego con los zapatos y el bolso,
[0:50:25.20]-[0:50:27.20]  que te hace el mismo color.
[0:50:27.20]-[0:50:29.20]  Y antes no,
[0:50:29.20]-[0:50:31.20]  yo me acuerdo de tener un abrigo,
[0:50:31.20]-[0:50:33.20]  los tenés con unas madrenas,
[0:50:33.20]-[0:50:35.20]  ¿sabes qué son unas madrenas?
[0:50:35.20]-[0:50:37.20]  Unas galochas.
[0:50:37.20]-[0:50:39.20]  Yo me recuerdo, unas zapatillas,
[0:50:39.20]-[0:50:41.20]  que yo con aquel abrigo, que no sabía.
[0:50:41.20]-[0:50:43.20]  Y claro, mi madre compró el abrigo
[0:50:43.20]-[0:50:45.20]  para comprarme los zapatos.
[0:50:45.20]-[0:50:47.20]  ¿Qué te crees tú?
[0:50:47.20]-[0:50:49.20]  Aquellos tiempos.
[0:50:49.20]-[0:50:51.20]  Que hay ahora.
[0:50:51.20]-[0:50:53.20]  Que yo ahora tengo un ciento de vestidos
[0:50:53.20]-[0:50:55.20]  y de abrigos y de todo, pero antes no.
[0:50:55.20]-[0:50:57.20]  ¿Cómo te pasa a ti?
[0:50:57.20]-[0:50:59.20]  ¿Había faldas cortas antes?
[0:51:01.20]-[0:51:03.20]  ¿Cómo?
[0:51:03.20]-[0:51:05.20]  No.
[0:51:05.20]-[0:51:07.20]  Como ahora.
[0:51:07.20]-[0:51:09.20]  No, la gente pues se vestía,
[0:51:09.20]-[0:51:11.20]  pues sí,
[0:51:11.20]-[0:51:13.20]  se respetaba mucho.
[0:51:17.20]-[0:51:19.20]  ¿Se veía el cura por la calle?
[0:51:19.20]-[0:51:21.20]  Sí, se veía, sí.
[0:51:21.20]-[0:51:23.20]  Pero llevaba una corona así aquí,
[0:51:23.20]-[0:51:25.20]  llevaba así aquí, afeitado.
[0:51:25.20]-[0:51:27.20]  Una cocina así, redonda,
[0:51:27.20]-[0:51:29.20]  así, aquí,
[0:51:29.20]-[0:51:31.20]  en esto, en la corona que le llamamos,
[0:51:31.20]-[0:51:33.20]  aquí atrás, que no tiene suya aquí en la cabeza
[0:51:33.20]-[0:51:35.20]  la corona.
[0:51:35.20]-[0:51:37.20]  Bueno, pues el cura la llevaba afeitada.
[0:51:37.20]-[0:51:39.20]  Así, igual que una hostia.
[0:51:39.20]-[0:51:41.20]  ¿Y vivía el cura en el pueblo?
[0:51:41.20]-[0:51:43.20]  Sí.
[0:51:43.20]-[0:51:45.20]  ¿Y si le daba dinero?
[0:51:45.20]-[0:51:47.20]  Bueno, se le echaba responso,
[0:51:47.20]-[0:51:49.20]  cura y...
[0:51:51.20]-[0:51:53.20]  ¿Y dónde vivía?
[0:51:53.20]-[0:51:55.20]  Pues vivía en casa de él,
[0:51:55.20]-[0:51:57.20]  tenía una casa parroquial.
[0:51:57.20]-[0:51:59.20]  Tenía una casa.
[0:51:59.20]-[0:52:01.20]  O sea, que antes muchas mesas,
[0:52:01.20]-[0:52:03.20]  y luego muchos días.
[0:52:03.20]-[0:52:05.20]  ¿Todos los días?
[0:52:05.20]-[0:52:07.20]  Todos los días. Y los entierros
[0:52:07.20]-[0:52:09.20]  eran muy respetuosos, iba con una vela,
[0:52:09.20]-[0:52:11.20]  toda la gente que iba en entierros iba
[0:52:11.20]-[0:52:13.20]  en una vela pequeña, acompañando el cadáver.
[0:52:13.20]-[0:52:15.20]  Y no es como ahora,
[0:52:15.20]-[0:52:17.20]  ahora va todo el mundo hablando.
[0:52:17.20]-[0:52:19.20]  Sí.
[0:52:19.20]-[0:52:21.20]  ¿Y se metían, había también
[0:52:21.20]-[0:52:23.20]  autadutes?
[0:52:23.20]-[0:52:25.20]  Sí, sí, sí.
[0:52:25.20]-[0:52:27.20]  Pero era mucho más sencillo
[0:52:27.20]-[0:52:29.20]  que ahora.
[0:52:29.20]-[0:52:31.20]  Sí, sí, era más sencillo, sí.
[0:52:31.20]-[0:52:33.20]  Antes sí, que todos estaban igual.
[0:52:33.20]-[0:52:35.20]  Sí, pero siempre
[0:52:35.20]-[0:52:37.20]  yo con lo mismo recuerdo eso.
[0:52:37.20]-[0:52:39.20]  Tanto está.
[0:52:39.20]-[0:52:41.20]  ¿Cuál era?
[0:52:41.20]-[0:52:43.20]  Bueno, pues el baile, pues se hacía
[0:52:43.20]-[0:52:45.20]  los domingos y se bailaba,
[0:52:45.20]-[0:52:47.20]  unas chicas con unos chicos.
[0:52:47.20]-[0:52:49.20]  Y de lo mejor estabas bailando y iba otro chico
[0:52:49.20]-[0:52:51.20]  y quería bailar contigo y te cortaba
[0:52:51.20]-[0:52:53.20]  y bailabas y así era el baile.
[0:52:53.20]-[0:52:55.20]  Y tocaba la orquesta.
[0:52:55.20]-[0:52:57.20]  Y otras veces había un tambor,
[0:52:57.20]-[0:52:59.20]  otras veces una pandereta.
[0:52:59.20]-[0:53:01.20]  Pero siempre todos los domingos había baile.
[0:53:01.20]-[0:53:03.20]  Era la diversión que había en el pueblo.
[0:53:03.20]-[0:53:05.20]  El baile. Y luego había bares,
[0:53:05.20]-[0:53:07.20]  también había dos bares, y me recuerdo
[0:53:07.20]-[0:53:09.20]  dos bares ahí en el pueblo.
[0:53:09.20]-[0:53:11.20]  Sí.
[0:53:11.20]-[0:53:13.20]  ¿Qué estás habiendo
[0:53:13.20]-[0:53:15.20]  en el pueblo?
[0:53:15.20]-[0:53:17.20]  Por ejemplo, en Castro era Santa Columba,
[0:53:17.20]-[0:53:19.20]  que era en el invierno,
[0:53:19.20]-[0:53:21.20]  que es el desfile de Año Nuevo,
[0:53:21.20]-[0:53:23.20]  que es el día 31 de diciembre.
[0:53:23.20]-[0:53:25.20]  Y después San Bernardino
[0:53:25.20]-[0:53:27.20]  y luego en Corpos.
[0:53:27.20]-[0:53:29.20]  Sí.
[0:53:29.20]-[0:53:31.20]  Las fiestas.
[0:53:31.20]-[0:53:33.20]  ¿Cómo se llamaban esas fiestas?
[0:53:33.20]-[0:53:35.20]  Bueno, pues la del Corpo,
[0:53:35.20]-[0:53:37.20]  Santa Columba, el Corpos,
[0:53:37.20]-[0:53:39.20]  Santa Columba,
[0:53:39.20]-[0:53:41.20]  San Bernardino y Corpos.
[0:53:41.20]-[0:53:43.20]  San Bernardino que es la fiesta.
[0:53:43.20]-[0:53:45.20]  Ahora es el día 20 de mayo,
[0:53:45.20]-[0:53:47.20]  que la van a hacer el día 15,
[0:53:47.20]-[0:53:49.20]  ahí en Castro.
[0:53:49.20]-[0:53:51.20]  Que hacen una ramadía que está a la mitad
[0:53:51.20]-[0:53:53.20]  y al lado del río.
[0:53:53.20]-[0:53:55.20]  Cuando venga el año del verano,
[0:53:55.20]-[0:53:57.20]  se cruza el río y ya verás la fiesta.
[0:53:57.20]-[0:53:59.20]  Se cruza ahí, la de Besa.
[0:53:59.20]-[0:54:01.20]  ¿Cómo se llama
[0:54:01.20]-[0:54:03.20]  el que viste al santo?
[0:54:05.20]-[0:54:07.20]  Pues...
[0:54:07.20]-[0:54:09.20]  ¿Qué le llaman? Monadillo.
[0:54:11.20]-[0:54:13.20]  ¿Y en las profesiones cómo se desfile?
[0:54:13.20]-[0:54:15.20]  Bueno, pues muy corrientes,
[0:54:15.20]-[0:54:17.20]  porque, bueno,
[0:54:17.20]-[0:54:19.20]  la llevan unos chicos.
[0:54:19.20]-[0:54:21.20]  Por ejemplo, este año, ya ves,
[0:54:21.20]-[0:54:23.20]  llevaban el santo que llevaba tu padre
[0:54:23.20]-[0:54:25.20]  y varios.
[0:54:25.20]-[0:54:27.20]  Y las chicas, pues van 4 chicas,
[0:54:27.20]-[0:54:29.20]  llevan la virgen.
[0:54:29.20]-[0:54:31.20]  Y es así.
[0:54:31.20]-[0:54:33.20]  Pero, ¿vayan los chicos delante
[0:54:33.20]-[0:54:35.20]  y las chicas atrás?
[0:54:35.20]-[0:54:37.20]  No, bueno, como santos, van 4 chicas,
[0:54:37.20]-[0:54:39.20]  llevan la virgen y los otros,
[0:54:39.20]-[0:54:41.20]  los hombres, llevan, por ejemplo,
[0:54:41.20]-[0:54:43.20]  el día de la cruz, pues llevaban
[0:54:43.20]-[0:54:45.20]  el santo Cristo, pero llevan una...
[0:54:45.20]-[0:54:47.20]  ¿Cómo se dice? Una carroza.
[0:54:47.20]-[0:54:49.20]  Y va toda la gente
[0:54:49.20]-[0:54:51.20]  al lado de la...
[0:54:51.20]-[0:54:53.20]  de la virgen y del santo Cristo,
[0:54:53.20]-[0:54:55.20]  y va toda la gente,
[0:54:55.20]-[0:54:57.20]  van en fila, unos por un lado, otros por el otro.
[0:54:59.20]-[0:55:01.20]  Y la orquesta detrás tocando.
[0:55:01.20]-[0:55:03.20]  ¿Y la orquesta, quién estaba la orquesta?
[0:55:03.20]-[0:55:05.20]  ¿Gente del pueblo?
[0:55:05.20]-[0:55:07.20]  Sí.
[0:55:07.20]-[0:55:09.20]  No, bueno, la orquesta viene de fuera,
[0:55:09.20]-[0:55:11.20]  de otros sitios.
[0:55:11.20]-[0:55:13.20]  ¿Y toros? ¿Aquí había toros?
[0:55:13.20]-[0:55:15.20]  No, aquí no.
[0:55:15.20]-[0:55:17.20]  ¿Y había alguna cosa especial que se hacían las fiestas?
[0:55:17.20]-[0:55:19.20]  Pues no, los fuegos.
[0:55:19.20]-[0:55:21.20]  Y antes tenían un árbol,
[0:55:21.20]-[0:55:23.20]  no me acuerdo,
[0:55:23.20]-[0:55:25.20]  ¿qué le llamaban?
[0:55:25.20]-[0:55:27.20]  No me acuerdo cómo le llamaban aquello.
[0:55:27.20]-[0:55:29.20]  Creían un árbol de ahí, de la devesa,
[0:55:29.20]-[0:55:31.20]  así como un chopo, y lo clavaban,
[0:55:31.20]-[0:55:33.20]  lo enterraban,
[0:55:33.20]-[0:55:35.20]  y le llamaban el mayo.
[0:55:35.20]-[0:55:37.20]  Y subían allí,
[0:55:37.20]-[0:55:39.20]  aquel tronco, subían así los chicos,
[0:55:39.20]-[0:55:41.20]  a lo mejor encerraban
[0:55:41.20]-[0:55:43.20]  el árbol aquel, y ponían así
[0:55:43.20]-[0:55:45.20]  alguna cosa para que la cogieran.
[0:55:45.20]-[0:55:47.20]  Y así, bueno, lo típico que había
[0:55:47.20]-[0:55:49.20]  antes aquí en los pueblos.
[0:55:49.20]-[0:55:51.20]  Sí.
[0:55:53.20]-[0:55:55.20]  ¿Tres días duraban las fiestas antes?
[0:55:55.20]-[0:55:57.20]  Tres días.
[0:55:57.20]-[0:55:59.20]  El mismo día de la fiesta y el otro día.
[0:55:59.20]-[0:56:01.20]  ¿Que caía el fin de semana?
[0:56:01.20]-[0:56:03.20]  Cuando cuadraran.
[0:56:03.20]-[0:56:05.20]  Antes la fiesta, por ejemplo, se envergudía.
[0:56:05.20]-[0:56:07.20]  Cuadraban martes, martes y latin.
[0:56:07.20]-[0:56:09.20]  Cuadraban domingo, domingo la fiesta.
[0:56:09.20]-[0:56:11.20]  Las fiestas eran así, como ahora que lo cambian.
[0:56:11.20]-[0:56:13.20]  O como siempre, los domingos.
[0:56:13.20]-[0:56:15.20]  ¿Que se hacía comida especial para los fiestas?
[0:56:15.20]-[0:56:17.20]  Sí, sí, siempre.
[0:56:17.20]-[0:56:19.20]  Se mataba el cordero,
[0:56:19.20]-[0:56:21.20]  bollos,
[0:56:21.20]-[0:56:23.20]  y se hacía esto. Y bueno, iba a caer
[0:56:23.20]-[0:56:25.20]  ahora, postres y eso.
[0:56:25.20]-[0:56:27.20]  Había mucho desordeno de los ricanos,
[0:56:27.20]-[0:56:29.20]  hacían tartas,
[0:56:29.20]-[0:56:31.20]  se comían muy bien las fiestas.
[0:56:31.20]-[0:56:33.20]  Sobre todo carne, ¿no?
[0:56:33.20]-[0:56:35.20]  Sí, sí. Bueno, pescado,
[0:56:35.20]-[0:56:37.20]  se comía de todo, pero bien, como ahora.
[0:56:37.20]-[0:56:39.20]  Las fiestas como ahora.
[0:56:39.20]-[0:56:41.20]  ¿Que subía a cocinar timones?
[0:56:41.20]-[0:56:43.20]  Y nada, sí.
[0:56:43.20]-[0:56:45.20]  ¿Pero qué hacía?
[0:56:45.20]-[0:56:47.20]  Por ejemplo, bueno, ella hacía
[0:56:47.20]-[0:56:49.20]  una paella, y luego después
[0:56:49.20]-[0:56:51.20]  ponía cordero,
[0:56:51.20]-[0:56:53.20]  bueno, un entremés,
[0:56:53.20]-[0:56:55.20]  ponía un buen entremés,
[0:56:55.20]-[0:56:57.20]  y después ponía la paella, y después ponía cordero,
[0:56:57.20]-[0:56:59.20]  ponía pollo asado,
[0:56:59.20]-[0:57:01.20]  ponía de todo,
[0:57:01.20]-[0:57:03.20]  filetes, de todo,
[0:57:03.20]-[0:57:05.20]  se comía de todo, porque también nos juntábamos muchos
[0:57:05.20]-[0:57:07.20]  y se comía de todo. Y después,
[0:57:07.20]-[0:57:09.20]  por la cena, lo que sobraba de mediodía,
[0:57:09.20]-[0:57:11.20]  y después pescado,
[0:57:11.20]-[0:57:13.20]  una rusa, o lo que fuera,
[0:57:13.20]-[0:57:15.20]  bueno, así de esas cosas, como ahora,
[0:57:15.20]-[0:57:17.20]  se comía igual que ahora. Igual, yo llevo la misma...
[0:57:17.20]-[0:57:19.20]  ¿Comía de todo? ¿Verdura?
[0:57:19.20]-[0:57:21.20]  Bueno, verdura al día de la fiesta no se comía.
[0:57:21.20]-[0:57:23.20]  Ya, bueno, pero normalmente sí, ¿no?
[0:57:23.20]-[0:57:25.20]  Sí, sí, sí. Yo llevo la
[0:57:25.20]-[0:57:27.20]  tradición igual que llevaba mi madre.
[0:57:27.20]-[0:57:29.20]  Hacía mi madre la fiesta, yo la sigo haciendo,
[0:57:29.20]-[0:57:31.20]  porque lo que vi, ¿me entiendes?
[0:57:31.20]-[0:57:33.20]  No es como allí, por ejemplo,
[0:57:33.20]-[0:57:35.20]  en las capitales, eso no lo hacéis.
[0:57:35.20]-[0:57:37.20]  Por ejemplo, cuando tenéis un banquete, vais fuera,
[0:57:37.20]-[0:57:39.20]  por ejemplo, a comer, y aquí,
[0:57:39.20]-[0:57:41.20]  pues no, pisas en casa y
[0:57:41.20]-[0:57:43.20]  siempre hacéis la tarta, el brazo fritano,
[0:57:43.20]-[0:57:45.20]  y así.
[0:57:45.20]-[0:57:47.20]  ¿Y ayudaban a cocinar, los hombres?
[0:57:47.20]-[0:57:49.20]  No, no.
[0:57:49.20]-[0:57:51.20]  No, siempre no. Yo a mi madre, como
[0:57:51.20]-[0:57:53.20]  dicen mis hermanos, nunca a mis hermanos
[0:57:53.20]-[0:57:55.20]  nos ayudaron. A lo mejor hacíamos nosotras, fregábamos,
[0:57:55.20]-[0:57:57.20]  o hacíamos alguna cosa,
[0:57:57.20]-[0:57:59.20]  ayudábamos a mi madre, lo que fuera, pero
[0:57:59.20]-[0:58:01.20]  los hombres no.
[0:58:01.20]-[0:58:03.20]  ¿Y cómo se cocinaba antes?
[0:58:03.20]-[0:58:05.20]  ¿Había tanta...
[0:58:05.20]-[0:58:07.20]  ¿Qué era, en el humbre?
[0:58:07.20]-[0:58:09.20]  Sí, era de carbón,
[0:58:09.20]-[0:58:11.20]  en la cocina, como la que tengo yo arriba,
[0:58:11.20]-[0:58:13.20]  la cocina esa, pues se cocinaba,
[0:58:13.20]-[0:58:15.20]  y antes, antiguamente, era en el suelo,
[0:58:15.20]-[0:58:17.20]  siempre en el suelo.
[0:58:17.20]-[0:58:19.20]  Mi madre tuvo la cocina esa, igual que la
[0:58:19.20]-[0:58:21.20]  mía, o sea, que tengo yo arriba,
[0:58:21.20]-[0:58:23.20]  que, bueno, antes cocinaban ella, ahora
[0:58:23.20]-[0:58:25.20]  yo no cocino, porque la tengo,
[0:58:25.20]-[0:58:27.20]  o sea, ahora ya más uso de bután, y como tengo
[0:58:27.20]-[0:58:29.20]  la calentación, hay calor,
[0:58:29.20]-[0:58:31.20]  como la cocina, la calentación de gasol,
[0:58:31.20]-[0:58:33.20]  hay calor, y entonces yo en esa cocina,
[0:58:33.20]-[0:58:35.20]  pues no la prendo, ¿sabes?
[0:58:35.20]-[0:58:37.20]  Y se cocinaban en esas cocinas,
[0:58:37.20]-[0:58:39.20]  ahora después ya salió el bután,
[0:58:39.20]-[0:58:41.20]  bueno, ya hace muchos años que salió el bután,
[0:58:41.20]-[0:58:43.20]  y todavía mucha gente cocina en esas
[0:58:43.20]-[0:58:45.20]  cocinas, en la carbón.
[0:58:47.20]-[0:58:49.20]  ¿Los quintos hacían una fiesta especial?
[0:58:49.20]-[0:58:51.20]  Sí, sí que lo hacían,
[0:58:51.20]-[0:58:53.20]  porque yo me recuerdo de ir,
[0:58:53.20]-[0:58:55.20]  cuando tallaron los quintos,
[0:58:55.20]-[0:58:57.20]  de que fuimos de la fiesta,
[0:58:57.20]-[0:58:59.20]  tallaron los quintos, de que fuimos
[0:58:59.20]-[0:59:01.20]  las compañeras, las quintas,
[0:59:01.20]-[0:59:03.20]  hicieron una fiesta, grande, sí,
[0:59:03.20]-[0:59:05.20]  en una casa,
[0:59:05.20]-[0:59:07.20]  y nos hizo la señora
[0:59:07.20]-[0:59:09.20]  una paella, un arroz,
[0:59:09.20]-[0:59:11.20]  y carne, un solete ahí.
[0:59:11.20]-[0:59:13.20]  ¿Pero los quintos qué eran?
[0:59:13.20]-[0:59:15.20]  Los quintos, pues eran los que iban a la mina.
[0:59:15.20]-[0:59:17.20]  ¿Los que iban ahí,
[0:59:17.20]-[0:59:19.20]  ese año, a la mina? Sí.
[0:59:19.20]-[0:59:21.20]  ¿Y cuánto grabaron a la mina?
[0:59:21.20]-[0:59:23.20]  Yo no sé,
[0:59:23.20]-[0:59:25.20]  si grabaron dos años, no me recuerdo.
[0:59:25.20]-[0:59:27.20]  ¿Y si iban lejos?
[0:59:27.20]-[0:59:29.20]  Sí,
[0:59:29.20]-[0:59:31.20]  iban a Meli,
[0:59:31.20]-[0:59:33.20]  iban un hermano mío,
[0:59:33.20]-[0:59:35.20]  estuvo en Sibiria,
[0:59:35.20]-[0:59:37.20]  y no en África, sí.
[0:59:39.20]-[0:59:41.20]  ¿Y los jóvenes se querían ir a la mina
[0:59:41.20]-[0:59:43.20]  o no les gustaba?
[0:59:43.20]-[0:59:45.20]  Bueno, no les gustaba, pero tenían que ir,
[0:59:45.20]-[0:59:47.20]  por eso llegaban, pero ellos iban.
[0:59:47.20]-[0:59:49.20]  Cuando llegaban allá,
[0:59:49.20]-[0:59:51.20]  porque ahí iban, nos iban a los 20 años.
[0:59:51.20]-[0:59:53.20]  ¿Y en qué consistía la fiesta,
[0:59:53.20]-[0:59:55.20]  de los quintos?
[0:59:55.20]-[0:59:57.20]  Bueno, no sé, tenían la juerga ellos,
[0:59:57.20]-[0:59:59.20]  iban a tallar,
[0:59:59.20]-[1:00:01.20]  y a tallar, ¿sabes lo que es?
[1:00:01.20]-[1:00:03.20]  Y a medida que daban,
[1:00:03.20]-[1:00:05.20]  ya los fichaban para ir a la mili,
[1:00:05.20]-[1:00:07.20]  y entonces se juntaban todos los compañeros,
[1:00:07.20]-[1:00:09.20]  y como ya llegaron para ir a hacer la mili,
[1:00:09.20]-[1:00:11.20]  pues hacían la fiesta, y nos invitaban a las quintas.
[1:00:13.20]-[1:00:15.20]  Nos quedamos como allá, del tiempo de ellos.
[1:00:15.20]-[1:00:17.20]  ¿Cómo llamaban a la fiesta?
[1:00:17.20]-[1:00:19.20]  La fiesta de los quintos.
[1:00:19.20]-[1:00:23.20]  Hacíamos baile.
[1:00:23.20]-[1:00:25.20]  ¿En las bodas había tradición de asustar a los novios?
[1:00:25.20]-[1:00:27.20]  ¿Han hecho desbordas?
[1:00:27.20]-[1:00:29.20]  Pues sí, sí, los habían dondarradas.
[1:00:29.20]-[1:00:31.20]  Si se nos pudieran entrar a la habitación,
[1:00:31.20]-[1:00:33.20]  pues a lo mejor les ponían una trampa en la cama.
[1:00:33.20]-[1:00:35.20]  A lo mejor les quitaban,
[1:00:35.20]-[1:00:37.20]  y cuando iban a acostarse se caían,
[1:00:37.20]-[1:00:39.20]  o se caía la cama.
[1:00:39.20]-[1:00:41.20]  Una vez a unos de aquí del pueblo,
[1:00:41.20]-[1:00:43.20]  pues le pusieron una campana,
[1:00:43.20]-[1:00:45.20]  una campanita,
[1:00:45.20]-[1:00:47.20]  y cuando se fueron a acostar, les empezó a tocar la campana.
[1:00:47.20]-[1:00:51.20]  Porque estaban nosotros dándole como una cuza abajo,
[1:00:51.20]-[1:00:53.20]  yo no sé qué trampa hicieron, y le tocaban la campana.
[1:00:55.20]-[1:00:57.20]  Una campanita pequeña.
[1:00:57.20]-[1:00:59.20]  Sí, les hacían muchas tristadas a los novios.
[1:01:01.20]-[1:01:03.20]  A lo mejor no dejarlos dormir,
[1:01:03.20]-[1:01:05.20]  no dejarlos aquella noche.
