[0:00:00.00]-[0:00:02.00]  ¿Se quiere granada o...?
[0:58:36.24]-[0:58:38.84]  Hijo no han tenido aquí con los de aquí ni más.
[0:58:38.84]-[0:58:44.24]  Pero ella tiene... por lo menos esta tiene...
[0:58:44.24]-[0:58:46.04]  Uno, dos, tres, cuatro.
[0:58:46.04]-[0:58:49.64]  Cuatro hijos trajo y para allá dice que dejó dos.
[0:58:49.64]-[0:58:52.44]  Y que los maridos se quedan para allá y yo digo madre mía.
[0:58:52.44]-[0:58:55.44]  Te quedan los maridos para allá, que lo que quieren es que le manden dinero.
[0:58:55.44]-[0:58:56.64]  Y que ustedes...
[0:58:56.64]-[0:58:58.44]  ¿Importa que enchufe la cámara?
[0:58:58.44]-[0:58:59.64]  Es que se nos ha quedado su materia.
[0:58:59.64]-[0:59:02.44]  Sí, pues quita la estufa y...
[0:59:02.44]-[0:59:08.64]  La estufa, porque hace un poco de calor para ella.
[0:59:08.64]-[0:59:13.24]  Y después hay otro grupo en una finca que le dice Enrique Macías.
[0:59:13.24]-[0:59:17.04]  Que es una niña que es amiga de mi hija, las chicas.
[0:59:17.04]-[0:59:23.64]  A través de ella lleva los libros y me tiene unos pedidos exagerados.
[0:59:23.64]-[0:59:26.64]  Soy muy presumido, sí.
[0:59:26.64]-[0:59:29.64]  O sea, que usted vende más a las extranjeras que a las locales.
[0:59:29.64]-[0:59:32.04]  No, de aquí del pueblo también vendo yo.
[0:59:32.04]-[0:59:33.84]  También vendo, pero...
[0:59:33.84]-[0:59:37.24]  Está a lo mejor de la misma cantidad de colonias.
[0:59:37.24]-[0:59:40.44]  El otro día era 6 lotes de uno, 6 lotes de otro.
[0:59:40.44]-[0:59:44.64]  En una colonia a lo mejor vale 18 euros cada bote.
[0:59:44.64]-[0:59:47.24]  Y allá viene el Zúpe.
[0:59:47.24]-[0:59:48.44]  Porque otra hija de...
[0:59:48.44]-[0:59:51.44]  Una hermana de la niña esta que me lleva los libros.
[0:59:51.44]-[0:59:52.64]  Las cosas...
[0:59:52.64]-[0:59:54.84]  Estaba encargada del supermercado de Jamón.
[0:59:54.84]-[0:59:56.84]  Y tenía infección en la vista.
[0:59:56.84]-[1:00:02.24]  En vez de coger el tarro de las gotas de la vista.
[1:00:02.24]-[1:00:03.84]  Que le voy a mandarme, digo, para la infección.
[1:00:03.84]-[1:00:09.24]  Y oh, el pegamento de la pintura de la uña postiza.
[1:00:09.24]-[1:00:10.24]  Madre mía.
[1:00:10.24]-[1:00:11.24]  Y se echó.
[1:00:11.24]-[1:00:13.24]  Madre mía, y se quemó el ojo.
[1:00:13.24]-[1:00:14.84]  La tuvieron que llevar corriendo para huerta.
[1:00:14.84]-[1:00:17.84]  Me tuvieron que cortar las pestañas.
[1:00:17.84]-[1:00:21.44]  Con una tijera, ahí en huerba, el oculista.
[1:00:21.44]-[1:00:24.84]  Y dice que tenía dañada la cornea.
[1:00:24.84]-[1:00:28.24]  Y la madre, y claro, le han tenido que dar a baja.
[1:00:28.24]-[1:00:31.84]  La madre entró en el supermercado y le digo...
[1:00:31.84]-[1:00:35.44]  Dile a tu... que las cosas están ya allí en casa.
[1:00:35.44]-[1:00:37.44]  Dice, ya tiene el dinero de este pedido.
[1:00:37.44]-[1:00:40.04]  Y se han llevado los libros más rumana.
[1:00:40.04]-[1:00:41.24]  Yo le mandé un chorro de libros.
[1:00:41.24]-[1:00:43.24]  Le mando cinco o seis libros para que los...
[1:00:43.24]-[1:00:45.24]  Porque van en grupo.
[1:00:45.24]-[1:00:47.64]  Para que los vean por la noche.
[1:00:47.64]-[1:00:52.44]  Dice, entre el lunes y el martes ya te traigo el pedido hecho de esta.
[1:00:52.44]-[1:00:53.44]  A ver qué...
[1:00:53.44]-[1:00:58.44]  Se arreglan mucho los cincos.
[1:00:58.44]-[1:01:02.04]  Las bolas se arreglan mucho.
[1:01:02.04]-[1:01:07.44]  Y te iba a decir uno que vive ahí en la carretera, en esta calle de abajo.
[1:01:07.44]-[1:01:10.44]  Ya lo cogieron en el aeropuerto.
[1:01:10.44]-[1:01:15.24]  Que se iba con una rumana y tenía trabajando allí.
[1:01:15.24]-[1:01:20.44]  Pero como tenía el pasaporte cumplido.
[1:01:20.44]-[1:01:21.44]  Y no se pudo.
[1:01:21.44]-[1:01:25.04]  Y ahora la mujer, a raíz de esto, la mujer empezó mala.
[1:01:25.04]-[1:01:28.64]  Está operado en Sevilla de corazón.
[1:01:28.64]-[1:01:32.44]  Y ha salido de la UCI ayer.
[1:01:32.44]-[1:01:34.24]  Así que...
[1:01:34.24]-[1:01:35.84]  Pero la mujer tuvo los pantalones.
[1:01:35.84]-[1:01:37.44]  Y una hija que tiene...
[1:01:37.44]-[1:01:38.44]  Arta como fe.
[1:01:38.44]-[1:01:40.44]  Que está con mi nieta en la cooperativa.
[1:01:40.44]-[1:01:43.64]  Le vieron una rumana de pegar.
[1:01:43.64]-[1:01:45.24]  Digo, vos podías haber buscado un bollo.
[1:01:45.24]-[1:01:47.84]  Porque esa gente de la UCI.
[1:01:47.84]-[1:01:50.84]  Y vos podías haber buscado un bollo bien buscado.
[1:01:50.84]-[1:01:52.24]  Así que...
[1:01:52.24]-[1:01:59.44]  Que comentaban que el marido no... que están viviendo en la misma casa, pero no hay...
[1:01:59.44]-[1:02:00.44]  Papeles por ver.
[1:02:00.44]-[1:02:01.44]  No, no.
[1:02:01.44]-[1:02:05.64]  Están viviendo en la misma casa, pero que están separados.
[1:02:05.64]-[1:02:07.04]  Pues no deja...
[1:02:07.04]-[1:02:09.64]  Porque tiene a esa niña de 20 años.
[1:02:09.64]-[1:02:16.64]  Y el hijo tendrá, lo que sea, 22 o 24 por ahí.
[1:02:16.64]-[1:02:18.64]  Así que...
[1:02:18.64]-[1:02:19.64]  Y la rumana se fue.
[1:02:19.64]-[1:02:20.64]  Ya no volvió más.
[1:02:20.64]-[1:02:22.04]  Este año han venido nuevas.
[1:02:22.04]-[1:02:23.04]  Una tarde...
[1:02:23.04]-[1:02:27.04]  Y voy yo a comprar supe y me veo polaca nueva.
[1:02:27.04]-[1:02:30.04]  Y le digo, ¿tú con quién estás trabajando?
[1:02:30.04]-[1:02:31.04]  Y dice, con el señor.
[1:02:31.04]-[1:02:32.04]  Le digo, ¿qué?
[1:02:32.04]-[1:02:34.04]  Dice, el señor...
[1:02:34.04]-[1:02:37.04]  Que tuvo problemas con una rumana.
[1:02:37.04]-[1:02:38.04]  Digo, allá sé quién es.
[1:02:38.04]-[1:02:42.04]  Dice, ese, ese.
[1:02:42.04]-[1:02:45.04]  Así que ya vinieron y me compraron cosas.
[1:02:45.04]-[1:02:48.04]  Y otras que hay, viven en unas arriba de trabajo.
[1:02:48.04]-[1:02:49.04]  También para el mismo dueño.
[1:02:49.04]-[1:02:56.04]  Antes lo llevo la tapa y vinieron a buscarme las argollas de Christian Lines.
[1:02:56.04]-[1:03:00.04]  Y los perfumes y unas zapatillas que se habían llevado.
[1:03:00.04]-[1:03:05.04]  Y ya empiezan a comprar, pero cuando se marchan a su país, lleva todo un regalito.
[1:03:05.04]-[1:03:06.04]  Ay, qué mola.
[1:03:06.04]-[1:03:09.04]  La culpa es de los hombres, que se deja en eso.
[1:03:09.04]-[1:03:11.04]  Porque si el hombre no quiere, pues muchos lo quisieran.
[1:03:11.04]-[1:03:13.04]  La culpa es la mujer.
[1:03:13.04]-[1:03:15.04]  A ver qué va a pasar.
[1:03:15.04]-[1:03:17.04]  La mujer es...
[1:03:17.04]-[1:03:20.04]  Si ellos dicen que estoy casa, no hace falta.
[1:03:20.04]-[1:03:21.04]  Y hasta el hombre.
[1:03:21.04]-[1:03:22.04]  La culpa es en ellos.
[1:03:22.04]-[1:03:26.04]  La vida.
[1:03:26.04]-[1:03:27.04]  Y ya está.
[1:03:27.04]-[1:03:30.04]  ¿Y ustedes tienen médico aquí o hospital?
[1:03:30.04]-[1:03:32.04]  Sí, no tenemos médico.
[1:03:32.04]-[1:03:34.04]  De las ocho a las tres.
[1:03:34.04]-[1:03:40.04]  ¿Y antes tenían, hace años, cuando usted era más joven tenía...
[1:03:40.04]-[1:03:41.04]  ¿Hospital? No.
[1:03:41.04]-[1:03:42.04]  Pero tenían médico.
[1:03:42.04]-[1:03:45.04]  Sí, pero de entonces era distinto ahora.
[1:03:45.04]-[1:03:46.04]  ¿Por qué?
[1:03:46.04]-[1:03:48.04]  Porque no había consultorio ni nada de esas cosas.
[1:03:48.04]-[1:03:51.04]  Había un consultorio nuevo que le han hecho hace dos años.
[1:03:51.04]-[1:03:59.04]  Y ya salió una muchacha que está dando los números y ahora entra otra, que es de Galicia.
[1:03:59.04]-[1:04:02.04]  Dan los números de las ocho a las diez.
[1:04:02.04]-[1:04:09.04]  Por teléfono también los puede coger o llamar directamente a salud mental.
[1:04:09.04]-[1:04:13.04]  Como llamé yo el otro día para hacer un cambio de una consulta también.
[1:04:13.04]-[1:04:17.04]  Porque no podía ir, tenía a mi madre y entonces le dije que mi madre estaba mala.
[1:04:17.04]-[1:04:21.04]  Y llamé a salud mental, que ahí tengo todos los datos ahí apuntados, por otra vez que lo necesite.
[1:04:21.04]-[1:04:23.04]  Y me dieron cita para más.
[1:04:23.04]-[1:04:25.04]  A las nueve de la mañana.
[1:04:25.04]-[1:04:28.04]  ¿Y cómo se dirija al doctor usted, al médico?
[1:04:28.04]-[1:04:29.04]  ¿Cómo se llama?
[1:04:29.04]-[1:04:31.04]  ¿Cómo se dirija, sí?
[1:04:31.04]-[1:04:35.04]  ¿Para llamar yo o para ir a la consulta?
[1:04:35.04]-[1:04:42.04]  Pues martes mismo fui yo a trabajar y yo me sentía muy mal, pero fui al trabajo y se lo dije al encargado
[1:04:42.04]-[1:04:49.04]  y yo tenía un dolomo grande en la garganta que había estado toda la noche como ronca.
[1:04:49.04]-[1:04:52.04]  Y ahí viene mi sobrino, el maestro.
[1:04:52.04]-[1:04:54.04]  ¿Entra ellos?
[1:04:54.04]-[1:04:57.04]  ¿Cómo se dice, cómo le llama ahí?
[1:04:57.04]-[1:04:59.04]  Bueno, ¿qué pasa ahí?
[1:04:59.04]-[1:05:00.04]  ¿Cómo le llama?
[1:05:00.04]-[1:05:01.04]  Bien.
[1:05:01.04]-[1:05:04.04]  Y qué, bien es solo.
[1:05:04.04]-[1:05:09.04]  Aquí te presento esta familia que son de la Universidad de Madrid, ¿no?
[1:05:09.04]-[1:05:14.04]  Sí, es que estamos haciendo una entrevista para conocer un poco la vida del pueblo.
[1:05:14.04]-[1:05:16.04]  Mira qué bueno vio la abuela, ¿verdad?
[1:05:16.04]-[1:05:18.04]  Sí, dime si por ahí.
[1:05:18.04]-[1:05:19.04]  Sí, te lo cuida.
[1:05:19.04]-[1:05:21.04]  Sí, sí, te desconecto.
[1:05:21.04]-[1:05:23.04]  Está marchado.
[1:05:23.04]-[1:05:30.04]  En el coche no le cabía tantas cosas, no tiene que llevar la silla de ruedas, ni la silla de ella sentarse,
[1:05:30.04]-[1:05:35.04]  una silla que tiene para la bañera, para bañarla, no sé si las conoce, que son dos partes.
[1:05:35.04]-[1:05:40.04]  Entonces no le cabían tantas las bolsas de los pañales.
[1:05:40.04]-[1:05:46.04]  Y dice mi hermana, no se puede hacer tanto gasto a la Seguridad Social, que estamos a escuchar.
[1:05:46.04]-[1:05:50.04]  Yo tenía aquí dos cajas y se ha llevado al niño dos paquetes.
[1:05:50.04]-[1:05:55.04]  Porque para el día 11 me la van a traer tres días porque van a
[1:05:55.04]-[1:06:00.04]  Entonces he dejado aquí una bolsa para el fin de semana, e está a llevar dos bolsas.
[1:06:00.04]-[1:06:02.04]  O sea que se turnan en consumar.
[1:06:02.04]-[1:06:31.04]  Sí, cuatro meses cada ano.
[1:06:31.04]-[1:06:58.04]  Está la calle de atrás.
[1:06:58.04]-[1:07:02.04]  Aquí en el piso no es lo mismo, en Huervado es lo mismo.
[1:07:02.04]-[1:07:08.04]  En Huervado mejor, si va una vecina de mi hermana o la cuñada, como de tarde llamé yo,
[1:07:08.04]-[1:07:13.04]  y estaba la cuñada con la hija y eso, pero no es lo mismo que aquí en los pueblos,
[1:07:13.04]-[1:07:18.04]  porque aquí viene más gente, una señora mayor que es amiga de ella, que es la suegra de una prima mía,
[1:07:18.04]-[1:07:23.04]  tiene 97 años y viene todavía a ver a mi madre.
[1:07:23.04]-[1:07:26.04]  Y entonces, claro, es distinto.
[1:07:26.04]-[1:07:28.04]  La puerta está abierta, ¿no?
[1:07:28.04]-[1:07:33.04]  Sí, yo no me pierdo mucho de la puerta abierta, porque estoy aquí y de allí de la ventana veo que pasa alguien,
[1:07:33.04]-[1:07:38.04]  pues mirate cuando pasó mi nieta y mi sobrino que aquí, y pues lo que hay.
[1:07:38.04]-[1:07:44.04]  De allí veo todo lo que hay, pero ya así cuando se va anocheciendo ya cierro la puerta.
[1:07:44.04]-[1:07:52.04]  Y ya cuando viene mi marido, la abre con su llave, todos tienen llave, tienen todo su llave, va por dentro.
[1:07:52.04]-[1:08:00.04]  Y la de la calle la tengo con una cadena puesta, pero tampoco me gusta tenerla con la cadena.
[1:08:00.04]-[1:08:02.04]  Solo con la cadena que tiene por dentro.
[1:08:02.04]-[1:08:05.04]  Una cadena que tiene por dentro, está aquí.
[1:08:05.04]-[1:08:09.04]  Para que se vea todo un rato cuando limpie, es toda abierta para que se ventile la casa,
[1:08:09.04]-[1:08:13.04]  porque hay que tener la puerta abierta también para la ventilación.
[1:08:13.04]-[1:08:17.04]  Pero ya después la cierro yo con la llave.
[1:08:17.04]-[1:08:19.04]  Y antes se dejaban abiertas, ¿no?
[1:08:19.04]-[1:08:24.04]  De antes, sí, dormían de noche las personas mayores, ponían en el lumbra, la almohada,
[1:08:24.04]-[1:08:27.04]  y ahí ponían la cabeza y el cuerpo para dentro casa.
[1:08:27.04]-[1:08:28.04]  ¿En el lumbra?
[1:08:28.04]-[1:08:34.04]  Sí, pero aquí en este pueblo hay una cantidad de robo de hace poco para acá, exagerado.
[1:08:34.04]-[1:08:38.04]  Ah, sí, pero ¿usted cree que tiene que ver con la llegada de mil antes?
[1:08:38.04]-[1:08:43.04]  Pues el último robo fue el miércoles cuando estábamos barriendo y sospeché,
[1:08:43.04]-[1:08:46.04]  yo se lo dije a mi compañera, digo ¿aquí ha pasado algo en este barrio?
[1:08:46.04]-[1:08:49.04]  Le dije ¿por qué? Digo porque tú no ves...
[1:08:49.04]-[1:08:52.04]  porque llevaba una botellita de agua y se me había terminado el agua.
[1:08:52.04]-[1:08:57.04]  Y tegué porque vive allí abajo en la barriada, pero tiene una familia diferente,
[1:08:57.04]-[1:08:59.04]  y su otra casa que tiene aquí también.
[1:08:59.04]-[1:09:03.04]  Y con el palo de este pillo le pegué yo así en la puerta y no salió nadie.
[1:09:03.04]-[1:09:08.04]  Porque es una... la hija es familia del niño que murió también.
[1:09:08.04]-[1:09:13.04]  La hija del marido y un niño que tiene de 10 años y la madre que tiene 86 años.
[1:09:13.04]-[1:09:18.04]  Y cuando la hija trabaja era en el comedor de la escuela.
[1:09:18.04]-[1:09:22.04]  Y claro, eran las 4, digo, todavía estaba la hija en el comedor,
[1:09:22.04]-[1:09:26.04]  el niño está en multideportes, que el curvo también nos caía allí mismo,
[1:09:26.04]-[1:09:30.04]  y el marido estará a lo mejor trabajando en el campo, la abuela estará corta la fiesta.
[1:09:30.04]-[1:09:31.04]  Pensé yo para mí.
[1:09:31.04]-[1:09:35.04]  Y nada, seguimos un poco hacia adelante, cuando veo yo el coche,
[1:09:35.04]-[1:09:39.04]  digo ¿ya vienen ahí las... voy a decirle que me echaban la botella.
[1:09:39.04]-[1:09:44.04]  Entonces me dijo que estaba la madre ahí sola en casa, llegaron los rumanos yitanos,
[1:09:44.04]-[1:09:49.04]  y le dijeron que iban a coger lo que había allí.
[1:09:49.04]-[1:09:52.04]  Y le dice ¿y quién te lo ha dicho?
[1:09:52.04]-[1:09:56.04]  La poca ignorancia de la señora de 86 años de decirle ¿y quién te lo ha dicho?
[1:09:56.04]-[1:09:57.04]  Se lo repitió otra vez.
[1:09:57.04]-[1:10:02.04]  Y le dijeron ellos que sí, como si nos estaban diciendo que no, le decimos que sí.
[1:10:02.04]-[1:10:05.04]  Y cogieron y eran cosas de ferrar, ya de hierro,
[1:10:05.04]-[1:10:07.04]  y eso y lo cargaron en el coche y se lo llevaron.
[1:10:07.04]-[1:10:12.04]  Después ella empezó a pensar cómo era que yo no le iba a decir que aquello lo quería ir a vender,
[1:10:12.04]-[1:10:18.04]  porque lleva mucho tiempo sin trabajar y ahora cuando empezó a trabajar lo quería vender para chatarra y demás.
[1:10:18.04]-[1:10:21.04]  Y se fue a una vecina y se lo comentó.
[1:10:21.04]-[1:10:24.04]  Y la vecina pues llamó a la hija, la hija llamó al marido,
[1:10:24.04]-[1:10:28.04]  y salieron con el coche, llamaron a la policía,
[1:10:28.04]-[1:10:33.04]  y de seguida en la barriada de mi niña esta que vino para acá,
[1:10:33.04]-[1:10:38.04]  estaba, cuando venía mi hija de trabajar, dice que estaban los dos rumanos,
[1:10:38.04]-[1:10:41.04]  la policía y la guardia civil le tuvieron que poner la denuncia.
[1:10:41.04]-[1:10:45.04]  Así que ya otra vez fueron a robarle también a esta misma muchacha
[1:10:45.04]-[1:10:47.04]  por una fiesta que hacen ahí en la barriada,
[1:10:47.04]-[1:10:50.04]  cuando eligen las reinas y damas de aquí del pueblo.
[1:10:50.04]-[1:10:52.04]  ¿Y qué pasa?
[1:10:52.04]-[1:10:58.04]  Que la señora había sabido de lo del desfile de las damas y demás,
[1:10:58.04]-[1:11:02.04]  y cuando llegaron a las dos y media a acostarse estaba la casa,
[1:11:02.04]-[1:11:10.04]  le habían robado toda la televisión, el vídeo, el ordenador, las prendas de oro,
[1:11:10.04]-[1:11:14.04]  una pusera que me había comprado a mí de Cristian Lai de oro.
[1:11:14.04]-[1:11:19.04]  Después habían cogido botes de tomate solide en la despensa y le habían pegado en la pared.
[1:11:19.04]-[1:11:23.04]  Lo habían partido entero y le habían puesto todo de tomate.
[1:11:23.04]-[1:11:24.04]  ¡Uy!
[1:11:24.04]-[1:11:25.04]  De miedo.
[1:11:25.04]-[1:11:27.04]  ¡Qué malo!
[1:11:27.04]-[1:11:31.04]  Pero esa gente que estaban preparadas para la vida en la vida.
[1:11:31.04]-[1:11:35.04]  Esos son los que están metidos porque aquí hay muchos con la droga.
[1:11:35.04]-[1:11:40.04]  Aquí hay muchos con la droga y eso era como un pequeño ajuste de cuentas.
[1:11:40.04]-[1:11:45.04]  Porque en una ocasión cogieron en la casa de la suegra de los niños ese,
[1:11:45.04]-[1:11:48.04]  cogieron droga.
[1:11:48.04]-[1:11:53.04]  Entonces tenía dos niñas, que el marido ha muerto este año,
[1:11:53.04]-[1:11:58.04]  dos niñas, una de 14 años y otra de no sé de qué tiempo.
[1:11:58.04]-[1:12:03.04]  Y se la tuvo que llevar esta muchacha, esta que le pegaron todos los tomates en la pared.
[1:12:03.04]-[1:12:07.04]  Las dos niñas van a su casa muertas en una toalla porque las niñas estaban embraguitas,
[1:12:07.04]-[1:12:10.04]  era en el verano, el 20 de junio.
[1:12:10.04]-[1:12:15.04]  Y el año siguiente cogieron y le metieron fuego a las dos de la madrugada,
[1:12:15.04]-[1:12:22.04]  que era también el año, un año la robo de esta y otro año el fuego a dos coches aquí en el apartamento.
[1:12:22.04]-[1:12:27.04]  Le metieron fuego a los coches, los quemaron y las fachadas de la muchacha y todo ahí atrás.
[1:12:27.04]-[1:12:29.04]  ¿Y eso por la droga?
[1:12:29.04]-[1:12:34.04]  Claro, porque se había chivado el día del charaúan y así con frente.
[1:12:34.04]-[1:12:36.04]  Con más ajuste de cuentas.
[1:12:36.04]-[1:12:43.04]  Y no hace mucho, era el día del rey, el cinco de la noche para seis.
[1:12:43.04]-[1:12:47.04]  Otro coche de la misma familia de los niños estos.
[1:12:47.04]-[1:12:53.04]  El padre murió, son dos niños bellizos y la abuela no quiso sacarles seguro al coche.
[1:12:53.04]-[1:12:58.04]  ¿Y qué pasa? Que le metieron fuego, porque como esos niños roban tanto, han estado en la cárcel siempre,
[1:12:58.04]-[1:13:02.04]  le metieron fuego al coche de un vecino, de la abuela.
[1:13:02.04]-[1:13:08.04]  Y la fachada, 7000 euros la costaba, se lo daba la fachada y me dije, mi chiquillo, barriéndolo.
[1:13:08.04]-[1:13:11.04]  Las puertas, todo, todo, y el coche de las manos.
[1:13:11.04]-[1:13:16.04]  Dice, si cogemos algo será del seguro del coche de mis manos, porque de lo demás no cogemos nada,
[1:13:16.04]-[1:13:19.04]  porque no teníamos la casa segura y no cogemos nada.
[1:13:19.04]-[1:13:25.04]  Y me dijo, si no, que no lo pague la abuela, que la abuela era la culpable del coche del hijo no tener seguro.
[1:13:25.04]-[1:13:33.04]  Y le metieron fuego al coche del hijo, pero el coche lo tenían los nietos, que era hijo del hijo que murió.
[1:13:33.04]-[1:13:37.04]  Y son bellizos y son dos manitos.
[1:13:37.04]-[1:13:40.04]  ¿Y la droga que viene? ¿Qué hace? ¿Es de Marruecos?
[1:13:40.04]-[1:13:46.04]  ¿La droga de Marruecos? Yo no sé, ellos siembran marihuana en los patios, siembran cosas.
[1:13:46.04]-[1:13:49.04]  ¿Por qué te crees tú que vendo yo tantas cosas?
[1:13:49.04]-[1:13:55.04]  Porque son gente que están con el trapeche y me compran mucho.
[1:13:55.04]-[1:14:00.04]  Pero yo les digo, ustedes vengan a mi casa a buscarla, porque no van a saber que la guardia me ve a mi de entrar
[1:14:00.04]-[1:14:04.04]  y me lleven a mi empresa por ustedes.
[1:14:04.04]-[1:14:05.04]  No creo que hay que tener cuidado.
[1:14:05.04]-[1:14:08.04]  Claro, hay que tener cuidado, ni tanto.
[1:14:08.04]-[1:14:13.04]  Usted es un pueblo muy turístico, ¿no? ¿Hay humanizaciones en esto?
[1:14:13.04]-[1:14:14.04]  ¿Aquí?
[1:14:14.04]-[1:14:15.04]  Sí.
[1:14:15.04]-[1:14:23.04]  La playa la tenemos a 20 minutos, la playa de Isla Cristina, de Ayamonte y Islantilla.
[1:14:23.04]-[1:14:26.04]  Ah, a 20 minutos, claro.
[1:14:26.04]-[1:14:29.04]  Es que se veía en humanizaciones al entrar.
[1:14:29.04]-[1:14:32.04]  Aquello, aquel terreno era de mi padre.
[1:14:32.04]-[1:14:34.04]  Ellos tenían mucho dinero.
[1:14:34.04]-[1:14:37.04]  Pero se lo vendió un señor de Ayamonte.
[1:14:37.04]-[1:14:40.04]  ¡No te comas las uñas que son malas!
[1:14:40.04]-[1:14:42.04]  Que son malas, ¿quieres una tijera?
[1:14:42.04]-[1:14:44.04]  No, no, no, no.
[1:14:44.04]-[1:14:46.04]  ¿Qué es lo que es malo? ¿Para el estómago?
[1:14:46.04]-[1:14:48.04]  Hay mucha porquería.
[1:14:48.04]-[1:14:50.04]  Incluso con las manos resfriadas.
[1:14:50.04]-[1:14:56.04]  No, porque la infección que te puede entrar, que te interrite en el estómago, algo.
[1:14:56.04]-[1:15:04.04]  Aquello era, el molino, el molino se lo vendió mi padre a un perito y a pareja.
[1:15:04.04]-[1:15:08.04]  Y entonces después lo adonaba al ayuntamiento, que lo han arreglado.
[1:15:08.04]-[1:15:11.04]  No sé si te diste cuenta cómo está el molino.
[1:15:11.04]-[1:15:14.04]  Y ahí abajo hay otro.
[1:15:14.04]-[1:15:22.04]  Hay otro en la barriada del molino y hay un molino también que lo han arreglado así de nuevo.
[1:15:22.04]-[1:15:24.04]  Así que...
[1:15:24.04]-[1:15:26.04]  ¿Y donó el terreno?
[1:15:26.04]-[1:15:32.04]  No, mi padre se lo vendió a él en aquel entonces, porque era de una niña chiquitita, en 20.000 pesos.
[1:15:32.04]-[1:15:39.04]  Y después lo donó al ayuntamiento y el ayuntamiento pues ha hecho allí, hizo como un parque pequeñito.
[1:15:39.04]-[1:15:42.04]  Y lo ha arreglado, lo tienen preparado.
[1:15:42.04]-[1:15:45.04]  Y después ahí hay un merendero.
[1:15:45.04]-[1:15:49.04]  Pero el merendero dado está muy bien porque iban a hacer la botellona y las cosas allí.
[1:15:49.04]-[1:15:51.04]  Y lo partieron todo.
[1:15:51.04]-[1:15:53.04]  ¿Y los chalequitos son?
[1:15:53.04]-[1:15:58.04]  Y aquella parte de aquel terreno hasta... lo que sé.
[1:15:58.04]-[1:16:02.04]  Hasta... entonces nos despejaron en las calles que hay, ¿verdad?
[1:16:02.04]-[1:16:06.04]  Es que rápido en el coche no se puede ver.
[1:16:06.04]-[1:16:11.04]  Pues era de mi padre también y hasta bastante por detrás donde están los naranjos,
[1:16:11.04]-[1:16:13.04]  porque los naranjos se ven por la carretera.
[1:16:13.04]-[1:16:17.04]  Eso sí, hasta abajo de todo estaba el terreno de mi padre.
[1:16:17.04]-[1:16:24.04]  Y se lo vendía a uno de los gamontes, se separó de la mujer y después se lo vendió a uno de aquí que le dicen...
[1:16:24.04]-[1:16:27.04]  El chiquito hace las casas estas, los pisos de suficientes.
[1:16:27.04]-[1:16:30.04]  Y ese dejó a todo el mundo ahí.
[1:16:30.04]-[1:16:33.04]  Los ingleses son los que viven en ingles.
[1:16:33.04]-[1:16:40.04]  De aquí del pueblo está mi hija, estas chicas viviendo y una señora de calle
[1:16:40.04]-[1:16:43.04]  que es la abuela de María Carrasco, la cantante.
[1:16:43.04]-[1:16:45.04]  Sí, María Carrasco.
[1:16:45.04]-[1:16:47.04]  No la conoce María Carrasco.
[1:16:47.04]-[1:16:50.04]  Sale mucho en el programa de...
[1:16:50.04]-[1:16:52.04]  De Juan y medio.
[1:16:52.04]-[1:16:56.04]  Pero eso no se ve en Madrid. Bueno, en el canal internacional a lo mejor.
[1:16:56.04]-[1:17:01.04]  Pues ella era una niña cuando empezó y ya es una muchachita, antes de la noche la he visto yo.
[1:17:01.04]-[1:17:03.04]  Sí.
[1:17:03.04]-[1:17:05.04]  Pues no, no la conocía.
[1:17:05.04]-[1:17:07.04]  No la conoce, ¿no?
[1:17:07.04]-[1:17:08.04]  No, no.
[1:17:08.04]-[1:17:11.04]  Pues si algún día ve María Carrasco, tiene el pelo largo...
[1:17:11.04]-[1:17:13.04]  La conozco desde...
[1:17:13.04]-[1:17:16.04]  ¿Ustedes cuántos días lleváis de junta por aquí?
[1:17:16.04]-[1:17:17.04]  Utrella...
[1:17:17.04]-[1:17:19.04]  ¿Y cuándo marchar?
[1:17:19.04]-[1:17:20.04]  Mañana.
[1:17:20.04]-[1:17:21.04]  Mañana.
[1:17:21.04]-[1:17:23.04]  ¿Qué fe que vais en el paradopisa?
[1:17:23.04]-[1:17:24.04]  ¿Lo llamó usted o no?
[1:17:24.04]-[1:17:29.04]  No, estamos dormiendo en Lepe porque estamos haciendo una barrida por todo...
[1:17:29.04]-[1:17:32.04]  En Lepe... ¿en qué...?
[1:17:32.04]-[1:17:34.04]  ¿En la barca o...?
[1:17:34.04]-[1:17:36.04]  En la barca. En la barca de Cartaya.
[1:17:36.04]-[1:17:37.04]  Sí.
[1:17:37.04]-[1:17:38.04]  Ah, sí, sí, sí.
[1:17:38.04]-[1:17:40.04]  ¿Entre Lepe y Cartaya?
[1:17:40.04]-[1:17:41.04]  Sí, sí, sí.
[1:17:41.04]-[1:17:42.04]  ¿Eso es término de Lepe?
[1:17:42.04]-[1:17:43.04]  Eso es.
[1:17:43.04]-[1:17:44.04]  En la barca de Cartaya.
[1:17:44.04]-[1:17:45.04]  No hemos oído ningún chiste.
[1:17:45.04]-[1:17:46.04]  ¿Cómo?
[1:17:46.04]-[1:17:49.04]  Que no hemos oído ningún chiste. No hemos oído ningún chiste.
[1:17:49.04]-[1:17:51.04]  En Lepe, porque en Lepe hay muchos chistes, ¿no?
[1:17:51.04]-[1:17:53.04]  Sí.
