[0:00:00.00]-[0:00:02.00]  Hola, ¿cómo estás?
[0:44:16.00]-[0:44:18.00]  Que daba la cuenta de la campana
[0:44:18.00]-[0:44:20.00]  Y yo como era las cosas del circo
[0:44:20.00]-[0:44:22.00]  Me gustaba mucho
[0:44:22.00]-[0:44:24.00]  Pues yo siempre estaba mirando al otro monicote
[0:44:24.00]-[0:44:26.00]  Y no miraba yo a...
[0:44:26.00]-[0:44:28.00]  Y luego siempre
[0:44:28.00]-[0:44:30.00]  Mi mano me cuenta hacer
[0:44:30.00]-[0:44:32.00]  Yo de mayor, si vamos por paseo
[0:44:32.00]-[0:44:34.00]  ¿Qué es? ¿Qué es?
[0:44:34.00]-[0:44:36.00]  ¿Va a buscar novia? No, voy a buscar yo no sé qué
[0:44:36.00]-[0:44:38.00]  Siempre se paraba y hablaba más con nosotros
[0:44:38.00]-[0:44:40.00]  Primero que yo salía con su hermana
[0:44:40.00]-[0:44:42.00]  Y también siempre, muchas veces
[0:44:42.00]-[0:44:44.00]  Si íbamos al circo
[0:44:44.00]-[0:44:46.00]  Como se venía con su hermana y yo con mi hermano
[0:44:46.00]-[0:44:48.00]  Pero con mi padre y mi madre
[0:44:48.00]-[0:44:50.00]  Al circo solos no íbamos yo
[0:44:50.00]-[0:44:52.00]  No iba yo con mi hermano sola
[0:44:52.00]-[0:44:54.00]  Eso ya cuando éramos novios
[0:44:54.00]-[0:44:56.00]  Ya venía uno hermano conmigo
[0:44:56.00]-[0:44:58.00]  Pero de chicos, no
[0:44:58.00]-[0:45:00.00]  Veníamos como amigos, como amigos
[0:45:00.00]-[0:45:02.00]  Quizás por eso porque
[0:45:02.00]-[0:45:04.00]  Me escribió uno una carta
[0:45:04.00]-[0:45:06.00]  Y yo ni le contesté
[0:45:06.00]-[0:45:08.00]  Salió...
[0:45:08.00]-[0:45:10.00]  Y salió muy rico de mochila
[0:45:10.00]-[0:45:12.00]  Y la prima, que mi primo, que mi primo
[0:45:12.00]-[0:45:14.00]  Que tiene mucho compo, que tiene...
[0:45:14.00]-[0:45:16.00]  Yo no le contestaba
[0:45:16.00]-[0:45:18.00]  Tuvo que mandar una mujer
[0:45:18.00]-[0:45:20.00]  Y le dije a mi madre
[0:45:20.00]-[0:45:22.00]  Aquí tengo que estar hasta que vea a su hija
[0:45:22.00]-[0:45:24.00]  Yo le digo esta carta, la tiene que leer
[0:45:24.00]-[0:45:26.00]  Y que dame la contestación, y aquí estoy
[0:45:26.00]-[0:45:28.00]  Era una mujer que venía a traer los huevos
[0:45:28.00]-[0:45:30.00]  Que no sé cómo le llamaban
[0:45:30.00]-[0:45:32.00]  Entonces a esas mujeres
[0:45:32.00]-[0:45:34.00]  Traían cosas de allí
[0:45:34.00]-[0:45:36.00]  Bueno, y en el campo
[0:45:36.00]-[0:45:38.00]  Y yo le digo
[0:45:38.00]-[0:45:40.00]  Que no le escribo
[0:45:40.00]-[0:45:42.00]  Que no quiero nada, toma usted la carta
[0:45:42.00]-[0:45:44.00]  A raíz de esa
[0:45:44.00]-[0:45:46.00]  Que yo no quiero novio
[0:45:46.00]-[0:45:48.00]  Yo tenía 14 años
[0:45:48.00]-[0:45:50.00]  Yo no tengo, yo me veía pa novio
[0:45:52.00]-[0:45:54.00]  Y eso, las primas
[0:45:54.00]-[0:45:56.00]  Que eran amigas mías
[0:45:56.00]-[0:45:58.00]  Pues se pusieron muy deustadas
[0:45:58.00]-[0:46:00.00]  Porque su primo le había roto la carta
[0:46:02.00]-[0:46:04.00]  Era usted una rompecorazones
[0:46:04.00]-[0:46:06.00]  Yo no quería novio
[0:46:06.00]-[0:46:08.00]  Yo me encontraba muy niña
[0:46:08.00]-[0:46:10.00]  Yo no me encontraba con eso
[0:46:10.00]-[0:46:12.00]  Yo ahora veo, mi niña
[0:46:12.00]-[0:46:14.00]  Quizás con 14 años ya tenía novio
[0:46:14.00]-[0:46:16.00]  Sí
[0:46:16.00]-[0:46:18.00]  Pero yo entonces no
[0:46:18.00]-[0:46:20.00]  Y otro contacto ya con los otros niños
[0:46:20.00]-[0:46:22.00]  Y después cuando ya iba a la viñuela
[0:46:22.00]-[0:46:24.00]  Con los privas, con los privas si tenía
[0:46:24.00]-[0:46:26.00]  Bailaba con ellas
[0:46:26.00]-[0:46:28.00]  Ah, desde el pueblo no
[0:46:28.00]-[0:46:30.00]  Mira, me decían
[0:46:30.00]-[0:46:32.00]  Vaya, corrí a bailar con...
[0:46:32.00]-[0:46:34.00]  Tendría que ser algo pariente
[0:46:34.00]-[0:46:36.00]  Porque se llamaba...
[0:46:36.00]-[0:46:38.00]  Y mi abuela era...
[0:46:38.00]-[0:46:40.00]  Allí del pueblo tenían que ser parientes
[0:46:40.00]-[0:46:42.00]  Que no vaya a bailar con...
[0:46:42.00]-[0:46:44.00]  Con las agentes
[0:46:44.00]-[0:46:46.00]  Y... mira tú, te vayas a bailar tú
[0:46:46.00]-[0:46:48.00]  Con los primos y se acabó
[0:46:48.00]-[0:46:50.00]  Por los primos también es malo
[0:46:52.00]-[0:46:54.00]  Con la chaja de primos, yo te veo
[0:46:54.00]-[0:46:56.00]  Eso era mucha...
[0:46:56.00]-[0:46:58.00]  Disperación y las clases
[0:46:58.00]-[0:47:00.00]  También en la feria aquí
[0:47:00.00]-[0:47:02.00]  Había casetas
[0:47:02.00]-[0:47:04.00]  Para los que tenían dinero
[0:47:04.00]-[0:47:06.00]  Y los pobres no...
[0:47:06.00]-[0:47:08.00]  No sabían asomarse por las cañas
[0:47:08.00]-[0:47:10.00]  Para verlas
[0:47:10.00]-[0:47:12.00]  No sabía la diferencia de clases
[0:47:12.00]-[0:47:14.00]  Pero ya...
[0:47:14.00]-[0:47:16.00]  Y cuando Franco todavía me ha chuchado
[0:47:16.00]-[0:47:18.00]  Pero ya después nos saltamos el pelotón
[0:47:18.00]-[0:47:20.00]  Y ya las casetas de los...
[0:47:20.00]-[0:47:22.00]  Había el casino y el círculo
[0:47:22.00]-[0:47:24.00]  Y ya después nos saltamos el pelotón
[0:47:24.00]-[0:47:26.00]  Y ya las casetas de los...
[0:47:26.00]-[0:47:28.00]  Había el casino y el círculo
[0:47:28.00]-[0:47:30.00]  Había el casino y el círculo
[0:47:30.00]-[0:47:32.00]  El círculo era de la media clase
[0:47:32.00]-[0:47:34.00]  Mami
[0:47:34.00]-[0:47:36.00]  Pero ya entraban también
[0:47:36.00]-[0:47:38.00]  Y entonces
[0:47:38.00]-[0:47:40.00]  Los del casino se iban al círculo
[0:47:40.00]-[0:47:42.00]  Porque ya estaban los chuchurriollis
[0:47:42.00]-[0:47:44.00]  Y en el otro era...
[0:47:44.00]-[0:47:46.00]  Había más ambiente de...
[0:47:46.00]-[0:47:48.00]  Y las casetas, ya las ferias
[0:47:48.00]-[0:47:50.00]  Las casetas más grandes para todo el público
[0:47:50.00]-[0:47:52.00]  Y estábamos ya más
[0:47:52.00]-[0:47:54.00]  Reliados
[0:47:54.00]-[0:47:56.00]  Y ya empezó la...
[0:47:56.00]-[0:47:58.00]  La cosa de otra manera
[0:47:58.00]-[0:48:00.00]  Y cuando murió Franco ya se...
[0:48:00.00]-[0:48:02.00]  Ya cambió
[0:48:02.00]-[0:48:04.00]  Con tu trabajo
[0:48:04.00]-[0:48:06.00]  ¿Ustedes tenéis algún jefe
[0:48:06.00]-[0:48:08.00]  Muy importante?
[0:48:08.00]-[0:48:10.00]  Sí, el presidente
[0:48:10.00]-[0:48:12.00]  ¿El Ruani qué es?
[0:48:12.00]-[0:48:14.00]  ¿Democracia no tenéis, no?
[0:48:14.00]-[0:48:16.00]  Sí, claro que somos un país democrático
[0:48:16.00]-[0:48:18.00]  Pero antes estaba...
[0:48:18.00]-[0:48:20.00]  Antes no, el comunismo
[0:48:20.00]-[0:48:22.00]  Mucho
[0:48:22.00]-[0:48:24.00]  Cuando yo nací ya...
[0:48:24.00]-[0:48:26.00]  Se fue el comunismo
[0:48:26.00]-[0:48:28.00]  La revolución
[0:48:28.00]-[0:48:30.00]  ¿La religión estaría aparte?
[0:48:30.00]-[0:48:32.00]  O desapareció como en Polonia
[0:48:32.00]-[0:48:34.00]  No, también es igual
[0:48:34.00]-[0:48:36.00]  Como en el comunismo
[0:48:36.00]-[0:48:38.00]  No hay tanta creencia
[0:48:38.00]-[0:48:40.00]  Como entonces
[0:48:40.00]-[0:48:42.00]  Es casi igual
[0:48:42.00]-[0:48:44.00]  En Polonia por lo menos 22 años
[0:48:44.00]-[0:48:46.00]  Me parece a mí que fueron comunistas
[0:48:46.00]-[0:48:48.00]  Y entonces la religión tenía que estar
[0:48:48.00]-[0:48:50.00]  En mutapá, mutapá
[0:48:50.00]-[0:48:52.00]  Yo sé más cosas de Polonia
[0:48:52.00]-[0:48:54.00]  Que de vuestra tierra
[0:48:54.00]-[0:48:56.00]  Así que ya mismo voy yo
[0:48:56.00]-[0:48:58.00]  A preguntar a ustedes
[0:48:58.00]-[0:49:00.00]  Así esperábamos
[0:49:00.00]-[0:49:02.00]  Pero así
[0:49:02.00]-[0:49:04.00]  La democracia ya
[0:49:04.00]-[0:49:06.00]  Yo lo veo aquí
[0:49:06.00]-[0:49:08.00]  Sí, me acuerdo
[0:49:08.00]-[0:49:10.00]  Y además
[0:49:10.00]-[0:49:12.00]  Yo pondría una cosa
[0:49:12.00]-[0:49:14.00]  En España
[0:49:14.00]-[0:49:16.00]  Que ahora es el gobierno
[0:49:16.00]-[0:49:18.00]  Zapatero
[0:49:18.00]-[0:49:20.00]  ¿Cómo le dice?
[0:49:20.00]-[0:49:22.00]  ¿Cómo se llama?
[0:49:22.00]-[0:49:24.00]  Luis yo no sé qué
[0:49:24.00]-[0:49:26.00]  Pero que no me viene a la razón
[0:49:26.00]-[0:49:28.00]  José Luis Rodríguez Zapatero
[0:49:28.00]-[0:49:30.00]  ¿Cómo?
[0:49:30.00]-[0:49:32.00]  José Luis Rodríguez Zapatero
[0:49:32.00]-[0:49:34.00]  Pues
[0:49:34.00]-[0:49:36.00]  Salen, pues bueno
[0:49:36.00]-[0:49:38.00]  Tú que eres abogado antes
[0:49:38.00]-[0:49:40.00]  No, que usted tiene que llevar sueldo
[0:49:40.00]-[0:49:42.00]  Y ya hay uno con tanta suerte
[0:49:42.00]-[0:49:44.00]  Tan grande, tanto otro, otro, otro
[0:49:44.00]-[0:49:46.00]  Y hasta si se muere la viuda
[0:49:46.00]-[0:49:48.00]  Que España está ahora
[0:49:48.00]-[0:49:50.00]  Que de aquí no tiene nada
[0:49:50.00]-[0:49:52.00]  Está
[0:49:52.00]-[0:49:54.00]  Está pegado
[0:49:54.00]-[0:49:56.00]  Está en una crisis ahora muy grande
[0:49:56.00]-[0:49:58.00]  Luego también por la construcción
[0:49:58.00]-[0:50:00.00]  Que había mucha gente
[0:50:00.00]-[0:50:02.00]  Y ahora para hacer la construcción
[0:50:02.00]-[0:50:04.00]  También para allá, hasta una hija mía
[0:50:04.00]-[0:50:06.00]  Tiene más molera
[0:50:06.00]-[0:50:08.00]  Pues ahora
[0:50:08.00]-[0:50:10.00]  Para la construcción, pues también
[0:50:10.00]-[0:50:12.00]  Antes tenían bloques
[0:50:12.00]-[0:50:14.00]  Las cocinas pues eran 50
[0:50:14.00]-[0:50:16.00]  O 40, los bloques enteros
[0:50:16.00]-[0:50:18.00]  Otros han hecho
[0:50:18.00]-[0:50:20.00]  40 años a la gran empresa
[0:50:20.00]-[0:50:22.00]  Y eso también
[0:50:22.00]-[0:50:24.00]  Se paró
[0:50:24.00]-[0:50:26.00]  Entonces
[0:50:26.00]-[0:50:28.00]  De dos hombres que tenía y un niño
[0:50:28.00]-[0:50:30.00]  Pues aquí es con el niño
[0:50:30.00]-[0:50:32.00]  Pidiendo y el niño
[0:50:34.00]-[0:50:36.00]  Y ya no hay
[0:50:36.00]-[0:50:38.00]  Sabedilla abajo, eso también
[0:50:38.00]-[0:50:40.00]  Y eso entonces ha hecho mucho para
[0:50:40.00]-[0:50:42.00]  El obrero en España
[0:50:42.00]-[0:50:44.00]  Eso mucho también
[0:50:44.00]-[0:50:46.00]  Y eso después que debe de ser
[0:50:46.00]-[0:50:48.00]  Después también
[0:50:48.00]-[0:50:50.00]  Hay muchas pagas
[0:50:50.00]-[0:50:52.00]  En la viuda de más y otras de menos
[0:50:54.00]-[0:50:56.00]  También la que hay en un brazo
[0:50:56.00]-[0:50:58.00]  Yo tengo una paga
[0:50:58.00]-[0:51:00.00]  Mi marido estaba, me tenía seguro
[0:51:00.00]-[0:51:02.00]  Y teníamos coches primero
[0:51:04.00]-[0:51:06.00]  Y entonces tengo una paga de viuda
[0:51:06.00]-[0:51:08.00]  Que es de 600
[0:51:08.00]-[0:51:10.00]  Cinco, una cosa así
[0:51:10.00]-[0:51:12.00]  Me han puesto ahora
[0:51:12.00]-[0:51:14.00]  800
[0:51:16.00]-[0:51:18.00]  780
[0:51:20.00]-[0:51:22.00]  Antes tenía 500
[0:51:22.00]-[0:51:24.00]  Con 80
[0:51:24.00]-[0:51:26.00]  Y ahora
[0:51:26.00]-[0:51:28.00]  Tengo 675
[0:51:30.00]-[0:51:32.00]  Yo no tengo que pagar casa
[0:51:32.00]-[0:51:34.00]  No tengo agua
[0:51:34.00]-[0:51:36.00]  Yo vivo, vi
[0:51:36.00]-[0:51:38.00]  Solo para los niños
[0:51:38.00]-[0:51:40.00]  Porque nosotros teníamos
[0:51:40.00]-[0:51:42.00]  Era seguro
[0:51:42.00]-[0:51:44.00]  Y entonces lo seguro lo tiene
[0:51:44.00]-[0:51:46.00]  Lo mío porque cuando mi marido ya se jubiló
[0:51:46.00]-[0:51:48.00]  Pues tenía que poner al frente
[0:51:50.00]-[0:51:52.00]  Alguien que propuso a mi hijo que es abogado
[0:51:52.00]-[0:51:54.00]  Ya no tenía que tener a los otros
[0:51:54.00]-[0:51:56.00]  Y ya está, tengo
[0:51:56.00]-[0:51:58.00]  Tres niñas
[0:51:58.00]-[0:52:00.00]  He tenido seis
[0:52:00.00]-[0:52:02.00]  Pero han sido abortos
[0:52:02.00]-[0:52:04.00]  Pero se sienten
[0:52:04.00]-[0:52:06.00]  Muchos
[0:52:06.00]-[0:52:08.00]  Yo tenía un aborto
[0:52:08.00]-[0:52:10.00]  De tres meses
[0:52:10.00]-[0:52:12.00]  Y ahí un niño
[0:52:12.00]-[0:52:14.00]  De esa edad
[0:52:14.00]-[0:52:16.00]  Yo no sé si los míos iban a ser niño o niña
[0:52:16.00]-[0:52:18.00]  Y lo veo
[0:52:18.00]-[0:52:20.00]  Y digo yo, así podría yo tener otro
[0:52:20.00]-[0:52:22.00]  Tengo tres niñas
[0:52:22.00]-[0:52:24.00]  Y un niño
[0:52:24.00]-[0:52:26.00]  Me casé mayorcita
[0:52:26.00]-[0:52:28.00]  No me casé tampoco
[0:52:28.00]-[0:52:30.00]  Tenía 26 años
[0:52:32.00]-[0:52:34.00]  Y ya mis amigas
[0:52:34.00]-[0:52:38.00]  Se habían casado con 22, 22 por ahí
[0:52:38.00]-[0:52:40.00]  Usted era una rebelde
[0:52:40.00]-[0:52:42.00]  Sí
[0:52:42.00]-[0:52:44.00]  Mi abuela se casó a la 16
[0:52:46.00]-[0:52:48.00]  Ahora aquí se casa también más joven
[0:52:48.00]-[0:52:50.00]  Yo tengo una
[0:52:50.00]-[0:52:52.00]  Una hija mía
[0:52:52.00]-[0:52:54.00]  Se casó muy joven
[0:52:54.00]-[0:52:56.00]  Porque corrió, como dicen aquí
[0:52:56.00]-[0:52:58.00]  Se me quedó embarazada
[0:52:58.00]-[0:53:00.00]  Y vaya
[0:53:00.00]-[0:53:02.00]  Yo le di al novio también
[0:53:02.00]-[0:53:04.00]  Cuando me lo dieron
[0:53:04.00]-[0:53:06.00]  Digo mira, usted tiene que ir a la mili
[0:53:06.00]-[0:53:08.00]  Yo me pensé
[0:53:08.00]-[0:53:10.00]  ¿Por qué nos queremos casar?
[0:53:10.00]-[0:53:12.00]  Digo, espérate, que se lo podemos decir
[0:53:12.00]-[0:53:14.00]  Porque mi marido era más duro que yo
[0:53:14.00]-[0:53:16.00]  Digo, espérate, eso lo diga más
[0:53:16.00]-[0:53:18.00]  Digo, pero mira
[0:53:18.00]-[0:53:20.00]  Usted puede ir a la mili, puede ser
[0:53:20.00]-[0:53:22.00]  Porque luego después tú eres muy niño
[0:53:22.00]-[0:53:24.00]  Y luego después
[0:53:24.00]-[0:53:26.00]  Se casa y dice, no, no, yo me quiero casar ahora
[0:53:26.00]-[0:53:28.00]  Yo la quiero mucho
[0:53:28.00]-[0:53:30.00]  Pero vaya, que yo no quiero que te cases
[0:53:30.00]-[0:53:32.00]  Yo ya que he embarazado
[0:53:32.00]-[0:53:34.00]  Vamos que después nos llevamos bien
[0:53:34.00]-[0:53:36.00]  Dependemente va
[0:53:36.00]-[0:53:38.00]  Pero luego después
[0:53:38.00]-[0:53:40.00]  Dice, ¿quién se lo dice al padre?
[0:53:40.00]-[0:53:42.00]  ¿Quién es el valiente?
[0:53:42.00]-[0:53:44.00]  Venía
[0:53:44.00]-[0:53:46.00]  Mi madre ha comprado
[0:53:46.00]-[0:53:48.00]  Una pulsera que quiere venir a pedir
[0:53:48.00]-[0:53:50.00]  Que si puede venir
[0:53:50.00]-[0:53:52.00]  Esta semana que si puede venir
[0:53:52.00]-[0:53:54.00]  El lunes, espérate que le diga
[0:53:54.00]-[0:53:56.00]  Algo al perro
[0:53:56.00]-[0:53:58.00]  Espérate
[0:53:58.00]-[0:54:00.00]  Y cómo se lo tomó
[0:54:00.00]-[0:54:02.00]  Se lo tomó
[0:54:02.00]-[0:54:04.00]  Entonces como yo no le podía decir nada
[0:54:04.00]-[0:54:06.00]  Porque si yo le decía
[0:54:06.00]-[0:54:08.00]  Tú tienes la culpa, que no hagas tan cuidado de la niña
[0:54:08.00]-[0:54:10.00]  Yo tenía la culpa de tú
[0:54:10.00]-[0:54:12.00]  Tanto es que a mi niño este cuando le escribo
[0:54:12.00]-[0:54:14.00]  Le escribía las cartas y al final
[0:54:14.00]-[0:54:16.00]  Le ponía de tu culpa
[0:54:18.00]-[0:54:20.00]  Y entonces
[0:54:20.00]-[0:54:22.00]  La más pasible
[0:54:22.00]-[0:54:24.00]  La mejor
[0:54:24.00]-[0:54:26.00]  Se llegó a su padre allí donde estaba
[0:54:26.00]-[0:54:28.00]  La máquina de grabar las lápidas
[0:54:28.00]-[0:54:30.00]  Y eso que teníamos
[0:54:30.00]-[0:54:32.00]  Y dice, papá
[0:54:32.00]-[0:54:34.00]  Mira, ella se casaba
[0:54:34.00]-[0:54:36.00]  El 6 de mayo
[0:54:36.00]-[0:54:38.00]  Porque la familia
[0:54:38.00]-[0:54:40.00]  De mi yesno
[0:54:40.00]-[0:54:42.00]  Estaban por Barcelona
[0:54:42.00]-[0:54:44.00]  Migraron porque eran más pobres
[0:54:44.00]-[0:54:46.00]  Migraron mucho por Barcelona
[0:54:46.00]-[0:54:48.00]  Y estaban allí colocadas las hermanas
[0:54:48.00]-[0:54:50.00]  De mi consueño, casi hasta
[0:54:50.00]-[0:54:52.00]  Es que eran 10 hermanos
[0:54:52.00]-[0:54:54.00]  Y su madre era la que trabajaba más
[0:54:54.00]-[0:54:56.00]  Y su padre era un poquillo borracho y estaba a menos
[0:54:56.00]-[0:54:58.00]  Y los hijos pues se tuvieron que repartir
[0:54:58.00]-[0:55:00.00]  Y había mucha en Barcelona
[0:55:00.00]-[0:55:02.00]  Y ellos querían la vacación en Barcelona
[0:55:02.00]-[0:55:04.00]  Para venir a la boda del
[0:55:04.00]-[0:55:06.00]  Subrino del hijo de su hermano
[0:55:06.00]-[0:55:08.00]  Entonces era el 6
[0:55:08.00]-[0:55:10.00]  Ya estaban las tarjetas hechas
[0:55:10.00]-[0:55:12.00]  Y yo dije, papá, me hemos pensado
[0:55:12.00]-[0:55:14.00]  Que ella se case el día 6
[0:55:14.00]-[0:55:16.00]  Y yo me caso después
[0:55:16.00]-[0:55:18.00]  En agosto, al final de agosto
[0:55:18.00]-[0:55:20.00]  Y dice, papá, estas las tarjetas
[0:55:20.00]-[0:55:22.00]  Y la gente que se los sabe
[0:55:22.00]-[0:55:24.00]  Y la familia de...
[0:55:24.00]-[0:55:26.00]  Y porque ella se quiere casar
[0:55:26.00]-[0:55:28.00]  Porque se espera, como un alma de perrito
[0:55:28.00]-[0:55:30.00]  Digo, se va a casar
[0:55:30.00]-[0:55:32.00]  Y yo digo, ¿se quiere casar antes que yo?
[0:55:32.00]-[0:55:34.00]  Y que se la metió eso
[0:55:34.00]-[0:55:36.00]  Y yo digo, ¿qué?
[0:55:36.00]-[0:55:38.00]  Eso te lo aguanta alguno, las dobas
[0:55:40.00]-[0:55:42.00]  Pero casarse ni hablar
[0:55:42.00]-[0:55:44.00]  Y yo digo, papá
[0:55:44.00]-[0:55:46.00]  Es que mamá quiere que se case ante ella
[0:55:46.00]-[0:55:48.00]  Porque ella está embarazada
[0:55:48.00]-[0:55:50.00]  Y ella se echó a llorar
[0:55:50.00]-[0:55:52.00]  Y yo digo, mamá, se echó a papá a llorar
[0:55:52.00]-[0:55:54.00]  Y yo digo, nada
[0:55:54.00]-[0:55:56.00]  Yo voy a desayunar
[0:55:56.00]-[0:55:58.00]  Yo le ponía café y me salía del comedor
[0:55:58.00]-[0:56:00.00]  Para hablar
[0:56:00.00]-[0:56:02.00]  Y no me preguntara nada siquiera
[0:56:02.00]-[0:56:04.00]  Y también...
[0:56:08.00]-[0:56:10.00]  Me acosté y dormía
[0:56:10.00]-[0:56:12.00]  Antes que nada, bueno, yo no quería hablar con él
[0:56:12.00]-[0:56:14.00]  Pero yo le digo, papá
[0:56:14.00]-[0:56:16.00]  Que los padres de...
[0:56:16.00]-[0:56:18.00]  Quieren venir esta semana
[0:56:18.00]-[0:56:20.00]  Que venga el lunes, martes o el viernes
[0:56:20.00]-[0:56:22.00]  ¿Qué día quieres tú?
[0:56:22.00]-[0:56:24.00]  Que van a venir a pedir a...
[0:56:24.00]-[0:56:26.00]  Pero tu madre lo sabe ya
[0:56:26.00]-[0:56:28.00]  Dice, sí
[0:56:28.00]-[0:56:30.00]  A mamá ya se lo hemos dicho
[0:56:30.00]-[0:56:32.00]  Dice, bueno, pues el día que ellos quieran
[0:56:32.00]-[0:56:34.00]  Ya digo, bueno, el día que ellos quieran
[0:56:34.00]-[0:56:36.00]  Entonces ella subió a desayunar
[0:56:36.00]-[0:56:38.00]  Y dice, ¿que van a venir los padres?
[0:56:38.00]-[0:56:40.00]  Y yo digo, sí
[0:56:40.00]-[0:56:42.00]  Yo como que no sé dar
[0:56:42.00]-[0:56:44.00]  ¿Y cuándo van a venir?
[0:56:44.00]-[0:56:46.00]  Dice que en esta semana
[0:56:46.00]-[0:56:48.00]  Y yo le digo que cuando ellos quieran
[0:56:48.00]-[0:56:50.00]  Después que lo diga la niña, pues qué día
[0:56:50.00]-[0:56:52.00]  La... no veía a su padre
[0:56:52.00]-[0:56:54.00]  Para...
[0:56:54.00]-[0:56:56.00]  Le fuera a decirle algo
[0:56:56.00]-[0:56:58.00]  Estaba asustadita
[0:56:58.00]-[0:57:00.00]  Y yo le digo, mira, que no le digan nada a la niña
[0:57:00.00]-[0:57:02.00]  Que ni ella abre el libro ni lo va a cerrar
[0:57:02.00]-[0:57:04.00]  Así que no le vaya a decir
[0:57:04.00]-[0:57:06.00]  Ni le regañe nada ni nada
[0:57:06.00]-[0:57:08.00]  Dice, no, no, yo que le voy a regañar
[0:57:08.00]-[0:57:10.00]  Bueno, pues ya está
[0:57:10.00]-[0:57:12.00]  Ya está allá de un mes
[0:57:12.00]-[0:57:14.00]  Y no va a...
[0:57:14.00]-[0:57:16.00]  Ya está más rato
[0:57:16.00]-[0:57:18.00]  Lo de eso del libro
[0:57:18.00]-[0:57:20.00]  Siempre lo estaba yo diciendo
[0:57:20.00]-[0:57:22.00]  Ni abre el libro ni lo cierra
[0:57:22.00]-[0:57:24.00]  Y ya, pues se dijo
[0:57:24.00]-[0:57:26.00]  Pero bueno, el día que van a venir
[0:57:26.00]-[0:57:28.00]  Que van a venir esta tarde, sí
[0:57:28.00]-[0:57:30.00]  Tú vas a preparar algo para la merienda
[0:57:30.00]-[0:57:32.00]  Tú vas a preparar
[0:57:32.00]-[0:57:34.00]  Que van a tomar de comida
[0:57:34.00]-[0:57:36.00]  Viene ahora, si quiere café
[0:57:36.00]-[0:57:38.00]  Si no, pues ponemos la cerveza
[0:57:38.00]-[0:57:40.00]  Ya se fue, ya me trajo las tapas
[0:57:40.00]-[0:57:42.00]  Me trajo de todo
[0:57:42.00]-[0:57:46.00]  Pero después, pues decían que ellas fueron los padrinos
[0:57:46.00]-[0:57:48.00]  Y yo le dije...
[0:57:48.00]-[0:57:50.00]  Yo hablaba allá con la consuegra
[0:57:50.00]-[0:57:52.00]  Y yo, mira, yo no le dije nada
[0:57:52.00]-[0:57:54.00]  Y tú me dices, bueno, yo me voy a arreglar
[0:57:54.00]-[0:57:56.00]  Y yo te dije, ya hablando de la boda
[0:57:56.00]-[0:57:58.00]  Y ella se puso de pie y dice
[0:57:58.00]-[0:58:00.00]  Ay, por favor, ponerte de pie a mi lado
[0:58:00.00]-[0:58:02.00]  Y ella dice, oye, mira
[0:58:02.00]-[0:58:04.00]  No estemos más con mis tacones
[0:58:04.00]-[0:58:06.00]  Porque usted será el padrino y yo la madrina
[0:58:06.00]-[0:58:08.00]  Dice, sí
[0:58:08.00]-[0:58:10.00]  Claro que seré el padrino
[0:58:10.00]-[0:58:12.00]  Dice, por eso, ponme usted
[0:58:12.00]-[0:58:14.00]  Yo creo que hacemos buena paridad
[0:58:14.00]-[0:58:16.00]  Sí, sí, porque ella ya sabía el cara
[0:58:16.00]-[0:58:18.00]  Y ya le digo, pues tienes padrino
[0:58:18.00]-[0:58:20.00]  Y yo digo, no, no quería ser padrino de la niña
[0:58:20.00]-[0:58:22.00]  Fue padrino de las dos
[0:58:22.00]-[0:58:24.00]  Entonces se casó el primero
[0:58:24.00]-[0:58:26.00]  Y ella se casó el 18 de agosto
[0:58:26.00]-[0:58:28.00]  Porque la otra viniera
[0:58:28.00]-[0:58:30.00]  Vino para la boda
[0:58:30.00]-[0:58:32.00]  No podía venir antes porque iban a ir a Barcelona
[0:58:32.00]-[0:58:34.00]  Para la familia
[0:58:34.00]-[0:58:36.00]  Y ya se casó el otro
[0:58:36.00]-[0:58:38.00]  Y ella se casó el 18 de agosto
[0:58:38.00]-[0:58:40.00]  Y ya se casó con una bella familia
[0:58:40.00]-[0:58:42.00]  Y ya se casaron las dos en agosto
[0:58:42.00]-[0:58:44.00]  Entonces, esa era 17
[0:58:44.00]-[0:58:46.00]  Pero a tener la niña ya tenía 18
[0:58:46.00]-[0:58:48.00]  Y eso era un...
[0:58:48.00]-[0:58:50.00]  Por eso le digo que ahora
[0:58:50.00]-[0:58:52.00]  Con una niña que se casa, mucho más joven
[0:58:52.00]-[0:58:54.00]  O se van con los novios
[0:58:54.00]-[0:58:56.00]  Sí, creo que se van
[0:58:56.00]-[0:58:58.00]  Pero de casar un...
[0:58:58.00]-[0:59:00.00]  Se rejunta
[0:59:00.00]-[0:59:02.00]  Sí
[0:59:02.00]-[0:59:04.00]  Pero no tienen que estar
[0:59:04.00]-[0:59:06.00]  Yo lo veo muy bien
[0:59:06.00]-[0:59:08.00]  Ya mi marido me lo decía
[0:59:08.00]-[0:59:10.00]  Que yo era moderna
[0:59:10.00]-[0:59:12.00]  Yo estoy haciendo
[0:59:12.00]-[0:59:14.00]  ¿Cómo se dice?
[0:59:14.00]-[0:59:16.00]  Para los nietos
[0:59:16.00]-[0:59:18.00]  Le estoy haciendo toallas
[0:59:18.00]-[0:59:20.00]  Le pongo unas puntitas
[0:59:20.00]-[0:59:22.00]  Manteles
