[0:00:00.00]-[0:00:02.00]  ¿Dónde estudiáis vosotras?
[0:47:00.00]-[0:47:04.00]  los cuatro días de fiesta, hay capeas también,
[0:47:04.00]-[0:47:07.00]  las ponen ahí en el castillo, del castillo para allá,
[0:47:07.00]-[0:47:09.00]  allí las ponen, hacen las capeas,
[0:47:09.00]-[0:47:12.00]  y las hacen el 13 y el 14, las capeas, por las tardes,
[0:47:12.00]-[0:47:14.00]  en fin, y hay fiestas, eso, baile en la plaza,
[0:47:14.00]-[0:47:18.00]  ahí como por la edad, en todo el pueblo, no, casi todo,
[0:47:18.00]-[0:47:20.00]  y así es la fiesta de la Virgen.
[0:47:20.00]-[0:47:22.00]  ¿Antiguamente se hacían igual?
[0:47:22.00]-[0:47:25.00]  Antiguamente se hacían, bueno, la caseta en el...
[0:47:25.00]-[0:47:27.00]  eso la he conocido toda la vida,
[0:47:27.00]-[0:47:29.00]  ahora lo que pasa es que es más grande,
[0:47:29.00]-[0:47:31.00]  ahora la han hecho, ya hace unos años la hicieron más grande,
[0:47:31.00]-[0:47:33.00]  pero yo la he conocido toda la vida,
[0:47:33.00]-[0:47:37.00]  la he conocido en la caseta, en la plaza, desde chiquitita,
[0:47:37.00]-[0:47:41.00]  eso se ve que eso ha sido tradicional de siempre y sigue siendo,
[0:47:41.00]-[0:47:44.00]  y la tómbola, que le ponen la tómbola, digamos,
[0:47:44.00]-[0:47:47.00]  para los regalos que lleven los hermanos de la Virgen,
[0:47:47.00]-[0:47:49.00]  pues por lo general, sí, en todo el pueblo llevamos regalos,
[0:47:49.00]-[0:47:51.00]  y luego eso se rifan, ¿no?,
[0:47:51.00]-[0:47:55.00]  y lo que se les saque para los gastos de la fiesta y de las cosas esas,
[0:47:55.00]-[0:47:56.00]  y así es, mía.
[0:47:56.00]-[0:47:58.00]  ¿Quién se encarga de organizar la fiesta?
[0:47:58.00]-[0:48:01.00]  Pues la fiesta, por lo general, también tiene parte el ayuntamiento,
[0:48:01.00]-[0:48:05.00]  y digamos, luego los gestos, las hermandades de cada...
[0:48:05.00]-[0:48:07.00]  la hermandad de San Isidro, en la fiesta de San Isidro,
[0:48:07.00]-[0:48:09.00]  y la hermandad de la Virgen del Valle,
[0:48:09.00]-[0:48:12.00]  pero con colaboración del ayuntamiento.
[0:48:12.00]-[0:48:14.00]  ¿Antes también colaboraba el ayuntamiento?
[0:48:14.00]-[0:48:17.00]  Sí, sí, siempre, sí no más, menos, pero siempre, sí.
[0:48:17.00]-[0:48:19.00]  Eso más o menos igual.
[0:48:19.00]-[0:48:22.00]  Ahora con otro rango, digamos, no,
[0:48:22.00]-[0:48:24.00]  porque ahora las cosas están mucho mejor,
[0:48:24.00]-[0:48:27.00]  hombre, que hay mucho más fiesta, mucho más orquesta, mucho más aleo,
[0:48:27.00]-[0:48:29.00]  pero acá antes siempre también había,
[0:48:29.00]-[0:48:33.00]  siempre traían una orquesta de fuera para las días de la fiesta.
[0:48:33.00]-[0:48:35.00]  A San Isidro no, eso los San Isidros desde ahora,
[0:48:35.00]-[0:48:38.00]  16 años me parece que son los que hacen,
[0:48:38.00]-[0:48:42.00]  pero antes, antiguamente, la Virgen es más o menos igual, siempre.
[0:48:42.00]-[0:48:45.00]  Y luego San Blas, San Blas que es el patrono también de aquí,
[0:48:45.00]-[0:48:48.00]  del pueblo, el día 3 de febrero,
[0:48:48.00]-[0:48:52.00]  y es el patrono, vamos, de la hermandad y es todo del ayuntamiento.
[0:48:52.00]-[0:48:56.00]  El ayuntamiento pone comida y pone cosas invitadas a la gente del pueblo,
[0:48:56.00]-[0:48:59.00]  para que venga, y todo así, bonita,
[0:48:59.00]-[0:49:02.00]  sale la procesión, la misa, y eso,
[0:49:02.00]-[0:49:06.00]  y luego las comidas que le dan, pero ya en San Blas no hay baile ni cosas de eso.
[0:49:06.00]-[0:49:08.00]  En San Blas de eso no.
[0:49:08.00]-[0:49:10.00]  Y en los bailes esos cuando usted era joven,
[0:49:10.00]-[0:49:12.00]  se juntaban ahí ya los chicos y las chicas.
[0:49:12.00]-[0:49:14.00]  Sí, todos, sí, sí, sí, sí.
[0:49:14.00]-[0:49:16.00]  Y ahora los que bailan en la caseta son los mayores, ¿sabes?
[0:49:16.00]-[0:49:20.00]  En Sustanú, ya hace muchos años que no, porque, ¡adre mía, en Sustanú!
[0:49:20.00]-[0:49:23.00]  Pero antes bailábamos las jóvenes y todo, ahora no,
[0:49:23.00]-[0:49:27.00]  ahora los jóvenes menos, ahora los jóvenes menos, mayormente los mayores.
[0:49:27.00]-[0:49:29.00]  Y como por la edad vienen siempre las gente de fuera,
[0:49:29.00]-[0:49:33.00]  las que están fuera del pueblo, vienen los días estos de la fiesta, ¿no?
[0:49:33.00]-[0:49:37.00]  Pues claro, hay mucha ambiente, la plaza es muchísimo ambiente.
[0:49:37.00]-[0:49:40.00]  Así que bueno, los chicos menos, los chicos bailan menos.
[0:49:40.00]-[0:49:44.00]  Bailan a lo mejor en la discoteca, en la, esto que la llaman,
[0:49:44.00]-[0:49:47.00]  no sé si habéis estado vosotros en la montanera,
[0:49:47.00]-[0:49:51.00]  no habéis estado vosotros ahora, no habéis ido a ningún bar por aquí ni nada.
[0:49:51.00]-[0:49:56.00]  La montanera tiene como especie de una discoteca, también.
[0:49:56.00]-[0:49:59.00]  Y allí dice que se reúnen los chicos, yo como no voy, no sé,
[0:49:59.00]-[0:50:01.00]  pero hay que se reúnen mucho también.
[0:50:01.00]-[0:50:03.00]  Y otros le llaman la cueva, otros, en fin,
[0:50:03.00]-[0:50:07.00]  que hay sitios así para los jóvenes, va bien, que se...
[0:50:07.00]-[0:50:09.00]  Y mucha gente se ha ido de aquí del pueblo, ¿habrá sido así?
[0:50:09.00]-[0:50:13.00]  Sí, se fueron muchísima gente, se fueron mucho, muchísima gente se fueron.
[0:50:13.00]-[0:50:17.00]  Luego las cosas se pusieron mejor y la mayoría, después de haber vendido sus casas,
[0:50:17.00]-[0:50:23.00]  se habían comprado casitas aquí para venir en sus días de vacaciones o...
[0:50:23.00]-[0:50:26.00]  La mayoría ya, la mayoría que se fueron primero están todos jubilados, ¿no?
[0:50:26.00]-[0:50:29.00]  Pero por la realidad como tienen nietos, tienen que también tienen que
[0:50:29.00]-[0:50:33.00]  ayudarle a los hijos con los nietos y eso pues para más dica aquí, ¿no?
[0:50:33.00]-[0:50:36.00]  Pero con todo se vienen, sus temporaditas también.
[0:50:36.00]-[0:50:38.00]  Aquí ahora mismo, mira, todas estas casas están cerradas,
[0:50:38.00]-[0:50:40.00]  mira, esta de aquí por bajo, esta de aquí por bajo no,
[0:50:40.00]-[0:50:42.00]  la otra está cerrada, la otra de la esquina está cerrada,
[0:50:42.00]-[0:50:45.00]  la otra de la otra calle está cerrada, la de la esquina de la otra está cerrada.
[0:50:45.00]-[0:50:49.00]  Bueno, están todas. Esta de aquí está en Barcelona, esta de porcima,
[0:50:49.00]-[0:50:52.00]  la otra de la esquina es en Madrid, bueno, eso os cuento,
[0:50:52.00]-[0:50:54.00]  están todas las casas de Rey porque están todas allí,
[0:50:54.00]-[0:50:58.00]  pero tienen sus casas aquí para venir, eso, en fechas así,
[0:50:58.00]-[0:51:03.00]  en San Isidro, en el intento del valle, en la semana santa,
[0:51:03.00]-[0:51:07.00]  cuando tienen así días más libres, a lo mejor los hijos que ya ellos se pueden venir
[0:51:07.00]-[0:51:10.00]  tranquilos porque pueden atender a los niños, en fin que...
[0:51:10.00]-[0:51:15.00]  Por eso te digo que hay mucha gente fuera, sí, muchísima, se fueron muchos.
[0:51:15.00]-[0:51:17.00]  ¿Que se van lejos o se quedaban por aquí para que se maduran?
[0:51:17.00]-[0:51:21.00]  Se fueron muchos y no, mayormente Madrid y Barcelona,
[0:51:21.00]-[0:51:23.00]  Madrid y Barcelona muchísima gente, muchísima.
[0:51:23.00]-[0:51:28.00]  A Canarias también se fueron algunos, a Alemania incluso también se fueron algunos,
[0:51:28.00]-[0:51:31.00]  pero los menos, los menos, mayormente Barcelona y Madrid,
[0:51:31.00]-[0:51:33.00]  Madrid y Barcelona fue lo que más.
[0:51:33.00]-[0:51:36.00]  Se fueron muchísima gente entonces, mucho, mucho.
[0:51:36.00]-[0:51:41.00]  Éramos 100.000 habitantes, sí, ahora yo creo que no estamos ni tres,
[0:51:41.00]-[0:51:44.00]  que va, que va, ni tres estamos.
[0:51:44.00]-[0:51:49.00]  Así que falta muchísima gente del pueblo, mucha.
[0:51:49.00]-[0:51:52.00]  Pero ahora ya, como ya está todo malo por ahí,
[0:51:52.00]-[0:51:55.00]  pues ya no se van a nadie, se tienen que quedar aquí,
[0:51:55.00]-[0:51:59.00]  se tienen que quedar aquí, la juventud la mayoría,
[0:51:59.00]-[0:52:02.00]  porque bueno, el que ha estudiado y ha hecho algo y tiene trabajo
[0:52:02.00]-[0:52:05.00]  y el que no, pues qué va a hacer, pues aquí hace lo que puede y ya está,
[0:52:05.00]-[0:52:08.00]  aquí es lo que siempre hay que hacer, aquí queriendo siempre hay que hacer.
[0:52:08.00]-[0:52:11.00]  Ahora como estudien nada más, no se ponen nada más que los libros,
[0:52:11.00]-[0:52:13.00]  aquí en el pueblo hace poco.
[0:52:13.00]-[0:52:15.00]  Claro, porque aquí lo más que hay es el campo,
[0:52:15.00]-[0:52:20.00]  ya está aquí la industria que hay, y qué clase de oficio hay aquí.
[0:52:20.00]-[0:52:23.00]  Las carpinterías antes los chicos iban a aprender,
[0:52:23.00]-[0:52:27.00]  a lo mejor hace, ese carpintero, iban a aprender,
[0:52:27.00]-[0:52:30.00]  y ahora no se puede tampoco eso, porque si los tienes,
[0:52:30.00]-[0:52:33.00]  tienes que tenerlos asegurados y tienes que,
[0:52:33.00]-[0:52:36.00]  y así que están los cuatro o dos o tres carpinteros que quedan,
[0:52:36.00]-[0:52:40.00]  dos me parece que son los que quedan, dos, tres me parece,
[0:52:40.00]-[0:52:43.00]  pues no tienen a nadie, están solitos ellos, y ya está.
[0:52:43.00]-[0:52:50.00]  Y entonces pues bueno, ¿para qué colocas todo un niño que no sepa hacer algo del campo,
[0:52:50.00]-[0:52:52.00]  algo de, eh?
[0:52:52.00]-[0:52:55.00]  Porque caray me voy a con lo del PEE que tenemos aquí del paro,
[0:52:55.00]-[0:52:58.00]  aquí en Extremadura y en Andalucía, que es donde hay esto,
[0:52:58.00]-[0:53:02.00]  será yo no sé por qué, si es porque somos más pobres que ninguno, o por lo qué.
[0:53:02.00]-[0:53:06.00]  Y entonces, ¿no? Sí, entonces hay jóvenes que miran,
[0:53:06.00]-[0:53:08.00]  pues pagan la seguridad social del campo, ¿no?
[0:53:08.00]-[0:53:10.00]  Y hacen lo que pueden en el campo, ¿no?
[0:53:10.00]-[0:53:13.00]  O en la cituna, cuando hay que recoger la cituna,
[0:53:13.00]-[0:53:17.00]  cuando hay que ir a sembrar o hay que hacer cosas del campo, ¿no?
[0:53:17.00]-[0:53:20.00]  O hacen lo que pueden en el campo, si los buscan,
[0:53:20.00]-[0:53:22.00]  le dan la espionada luego, ¿no?
[0:53:22.00]-[0:53:26.00]  Y ya con esa espionada tienen derecho al paro, ¿no?
[0:53:26.00]-[0:53:28.00]  Y algo, que sumo poca cosa, pero bueno, es algo, ¿no?
[0:53:28.00]-[0:53:30.00]  Y siquiera van sacando algo,
[0:53:30.00]-[0:53:34.00]  pero que el que haya estudiado y luego no tenga un trabajo aquí en el pueblo,
[0:53:34.00]-[0:53:35.00]  ¿qué hace?
[0:53:35.00]-[0:53:38.00]  Si aquí no hay cosas para poderlo colocar.
[0:53:38.00]-[0:53:42.00]  Y ahora es más fácil moverse, porque antes supongo que para ir al pueblo de cerca...
[0:53:42.00]-[0:53:46.00]  No, ahora sí, ahora sí, sí, sí, sí, sí, sí, eso sí.
[0:53:46.00]-[0:53:50.00]  Porque por los pueblecitos por aquí cerquita se mueven demasiado lejos,
[0:53:50.00]-[0:53:53.00]  a lo mejor van lejos, digamos, en verano, ¿no?
[0:53:53.00]-[0:53:56.00]  A lo mejor, por ejemplo, ahora mismo si te hablo yo de aquí de mi casa,
[0:53:56.00]-[0:53:59.00]  por ejemplo, mis hijos, uno porque no está aquí, uno vive en el cuatro,
[0:53:59.00]-[0:54:03.00]  pero por ejemplo si te digo de mis hijos, el que está aquí y vive del campo,
[0:54:03.00]-[0:54:05.00]  porque se vive igual que nosotros, el padre y yo,
[0:54:05.00]-[0:54:08.00]  vivimos en el campo también, y eso, van, ¿no?
[0:54:08.00]-[0:54:11.00]  Son vacaciones en verano, en verano, digamos,
[0:54:11.00]-[0:54:13.00]  que se pasan tantos otros meses, muchísimos menos,
[0:54:13.00]-[0:54:16.00]  pero sus quince días se van, una vez se van para Cádiz,
[0:54:16.00]-[0:54:19.00]  otra vez para Málaga, otra vez para donde a ellos les guste,
[0:54:19.00]-[0:54:23.00]  porque les gusta la playa y a las niñas les gustan también, y bueno,
[0:54:23.00]-[0:54:25.00]  y te quiero decir, se permiten ese lujo, pero se permiten,
[0:54:25.00]-[0:54:28.00]  porque tienen también la ayuda de los padres,
[0:54:28.00]-[0:54:31.00]  porque si nosotros no tuviéramos ahora mismo lo poquito que tenemos,
[0:54:31.00]-[0:54:34.00]  nosotros no podríamos ayudar como estamos ayudando, ¿no?
[0:54:34.00]-[0:54:36.00]  Y claro, porque aquí se gana muy poco,
[0:54:36.00]-[0:54:40.00]  y desde luego, lo que pasa es, te digo, si estamos holtas a lo que hay aquí,
[0:54:40.00]-[0:54:44.00]  pues se puede vivir, pero que aquí no te creas, ¿eh?
[0:54:44.00]-[0:54:47.00]  Que la juventud hoy no se casa como nos pasábamos nosotros,
[0:54:47.00]-[0:54:50.00]  yo me casé y me quedé viviendo aquí en mi casa con mi padre,
[0:54:50.00]-[0:54:52.00]  que era el que vivía, porque mi madre se había muerto ya,
[0:54:52.00]-[0:54:55.00]  aquí mi padre y mi hermana que estaba en la frontera todavía,
[0:54:55.00]-[0:54:59.00]  en mi habitación, me pusieron el dormitorio y aquí vivíamos.
[0:54:59.00]-[0:55:02.00]  Se murió mi padre y yo me quedé con la casa, me quedé,
[0:55:02.00]-[0:55:04.00]  porque éramos cinco y la casa era de los cinco,
[0:55:04.00]-[0:55:08.00]  pero yo me quedé con ella y fui dando las partes a mis hermanos y ya está, ¿no?
[0:55:08.00]-[0:55:10.00]  Entonces eso es lo que me refiero,
[0:55:10.00]-[0:55:12.00]  de que antes nos amoldábamos con lo que fuera, hoy no,
[0:55:12.00]-[0:55:16.00]  porque aquí cualquier matrimonio que disponga de casarse,
[0:55:16.00]-[0:55:19.00]  se entra en el banco, pues vas a pagar hipotecas
[0:55:19.00]-[0:55:22.00]  y hacer su casa nueva desde que, desde primera hora,
[0:55:22.00]-[0:55:27.00]  no se pasa, una pareja que no debe su casa, pero vamos, a todo tren, ¿eh?
[0:55:27.00]-[0:55:29.00]  Sí, sí, sí, sí, sí.
[0:55:29.00]-[0:55:31.00]  ¿Y cómo eran las bodas aquí antes?
[0:55:31.00]-[0:55:35.00]  Las bodas antiguas eran muy pobrecitas, eran muy pobres.
[0:55:35.00]-[0:55:39.00]  Hacían los dulces, como he dicho, las peronitas, las cosas de esas que hacían,
[0:55:39.00]-[0:55:44.00]  y nos invitaban, íbamos a la iglesia, y cuando se acababa la iglesia,
[0:55:44.00]-[0:55:48.00]  pues a casa al refresco, como le decían, al refresco.
[0:55:48.00]-[0:55:53.00]  Íbamos a la casa con un pañuelito, yo me río porque cada vez que me acuerdo,
[0:55:53.00]-[0:55:56.00]  un pañuelito y nos ponía, si nos daban tres dulces o tres,
[0:55:56.00]-[0:55:58.00]  nos daban cuatro, cuatro a cada uno, ¿eh?
[0:55:58.00]-[0:56:00.00]  Y nos veníamos con un pañuelito de dulces a casa,
[0:56:00.00]-[0:56:04.00]  una copita de anís, una copita de anís a los que eran ya más mayores,
[0:56:04.00]-[0:56:06.00]  porque a las niñas no se les podía dar eso, pero las niñas no había casera,
[0:56:06.00]-[0:56:10.00]  ni había, ni había zumos, ni había nada de esas cosas.
[0:56:10.00]-[0:56:14.00]  Entonces las niñas se querían agua y no,
[0:56:14.00]-[0:56:16.00]  y ya está, y esas eran las bodas de antes,
[0:56:16.00]-[0:56:19.00]  y algunos se podían permitir el lujo de dar una cena,
[0:56:19.00]-[0:56:24.00]  pero una cena a lo mejor mataban un bicho grande, un carnero,
[0:56:24.00]-[0:56:28.00]  una cabra grande, o lo que fuera, más dura la carne que quede,
[0:56:28.00]-[0:56:34.00]  y hacían una cena, y reunían a la familia y los más de casa,
[0:56:34.00]-[0:56:36.00]  y les daban la cena y tal, y eso era.
[0:56:36.00]-[0:56:38.00]  Bueno, y alguna vez había baile también,
[0:56:38.00]-[0:56:42.00]  a lo mejor un acordeón, gente que se dedicaba a tocar cualquier cosilla de esas,
[0:56:42.00]-[0:56:44.00]  y daban a lo mejor una mina de baile en cualquier sitio,
[0:56:44.00]-[0:56:47.00]  pero vamos, que eso no era como hoy, ni muchísimo menos, claro.
[0:56:47.00]-[0:56:49.00]  No se invitaba tanta gente.
[0:56:49.00]-[0:56:53.00]  Ni se invitaba, porque no podían los pobres entonces, no tenía.
[0:56:53.00]-[0:56:56.00]  Y bueno, pues eran las bodas de antes, luego ya no,
[0:56:56.00]-[0:56:58.00]  pues ya, bueno, mis hermanos ya no se casaron,
[0:56:58.00]-[0:57:00.00]  que llevaban muchos años que se casaron,
[0:57:00.00]-[0:57:04.00]  yo ya 43 que me casé yo, y mis hermanos no, bastante maduros que yo,
[0:57:04.00]-[0:57:08.00]  pues fíjate tú, pues ya ellos ya hubo una boda, ya no hay condiciones.
[0:57:08.00]-[0:57:12.00]  No, de salón, digamos, de ahí para un cubierto,
[0:57:12.00]-[0:57:16.00]  para hacerlo con las cosas de casa, pero como estilo de cubierto, digamos.
[0:57:16.00]-[0:57:18.00]  ¿Su boda también fue así?
[0:57:18.00]-[0:57:21.00]  Sí, mi boda también, sí, sí, y la de mi hermano.
[0:57:21.00]-[0:57:24.00]  Nosotros nos casamos todos bien casados, gracias a Dios.
[0:57:24.00]-[0:57:27.00]  Vamos, en ese plan, de lo que había entonces, hoy hay mucho más,
[0:57:27.00]-[0:57:29.00]  porque hoy los bautices de mis nietas mismo
[0:57:29.00]-[0:57:32.00]  han sido todavía mucho más que fueron de otras bodas, pero bueno,
[0:57:32.00]-[0:57:37.00]  pero bueno, pero con arreglos entonces, bastante bien, gracias a Dios.
[0:57:37.00]-[0:57:41.00]  ¿Y las otras fiestas, las comuniones y todo eso?
[0:57:41.00]-[0:57:44.00]  ¡Ay, las comuniones! ¿Y tú cuéntame mi comunión?
[0:57:44.00]-[0:57:45.00]  ¡No, cuéntame no!
[0:57:45.00]-[0:57:47.00]  ¡Que os voy a reír mucho!
[0:57:47.00]-[0:57:49.00]  Os voy a reír mucho.
[0:57:49.00]-[0:57:53.00]  Pues mi comunión, pues nada, pues me daban mis castillos,
[0:57:53.00]-[0:57:58.00]  que estaba con las monjas, y bueno, pues conmigo,
[0:57:58.00]-[0:58:02.00]  me hicieron un trajecito, el vestiguito que me lo hicieron,
[0:58:02.00]-[0:58:05.00]  me lo hizo mi madrina, mi madrina que vivía aquí por encima, el pobrecito.
[0:58:05.00]-[0:58:09.00]  Ella estaba soltera, y ella se dedicaba a coser para la gente,
[0:58:09.00]-[0:58:13.00]  y a bordar, y esas cosas, y yo, pues bueno, era como si fuera su hija,
[0:58:13.00]-[0:58:19.00]  entonces me hizo un vestidito, y me prestaron el velo,
[0:58:19.00]-[0:58:22.00]  el velito que llevábamos, porque entonces llevábamos un velito,
[0:58:22.00]-[0:58:26.00]  con nuestra diabema, y un ramito, y el bolsito,
[0:58:26.00]-[0:58:31.00]  y me prestaron los accesorios, me los prestaron,
[0:58:31.00]-[0:58:36.00]  me los prestaron de una amiga, porque mi madre decía que ya no se gastaba ese dinero
[0:58:36.00]-[0:58:41.00]  para la comunión, porque mira, tu amiga Fulanita,
[0:58:41.00]-[0:58:43.00]  era un traje que le había hecho el año antes,
[0:58:43.00]-[0:58:45.00]  me ha dicho que si los queremos, así que nosotros hija mía,
[0:58:45.00]-[0:58:47.00]  nos podemos arreglar con eso.
[0:58:47.00]-[0:58:50.00]  Me ha puesto el cerro, que mi madre decía, ya está, me compré los zapatitos,
[0:58:50.00]-[0:58:53.00]  los carcentinitos, la mudita limpia, ya está,
[0:58:53.00]-[0:58:57.00]  y fuimos a la comunión en el casquillo que fue la esa,
[0:58:57.00]-[0:59:01.00]  y cuando vinimos, pues no sé si fue un chocolatito,
[0:59:01.00]-[0:59:04.00]  unas perrunitas, unos dulcecitos que había aquí de mi madre,
[0:59:04.00]-[0:59:07.00]  también le gustaba hacer dulce, y hacía de lo que teníamos en casa,
[0:59:07.00]-[0:59:10.00]  y eso fue lo que comimos, y eso fue toda la fiesta,
[0:59:10.00]-[0:59:13.00]  y eso fue todo por la mañana, tempranito que fue,
[0:59:13.00]-[0:59:17.00]  y ya está, así que eso es lo que era hija mía, no como ahora.
[0:59:17.00]-[0:59:21.00]  Ahora hacía de tú las comuniones, ahora madre mía.
[0:59:21.00]-[0:59:25.00]  Así que el día 1 tenemos nosotros también la comunión
[0:59:25.00]-[0:59:29.00]  del niño de una sobrina de mi marita, el día 1,
[0:59:29.00]-[0:59:31.00]  y son las comuniones aquí en el pueblo,
[0:59:31.00]-[0:59:34.00]  porque aquí no son nada más que un día, como estamos poca gente,
[0:59:34.00]-[0:59:36.00]  si hubiera mucha gente, tendría que ser dos o tres días,
[0:59:36.00]-[0:59:39.00]  pero hay poca gente por un día, y le van a hacer el día 1.
[0:59:39.00]-[0:59:43.00]  Y verás, verás también la comunión, o bien si vamos a un salón,
[0:59:43.00]-[0:59:47.00]  o si lo celebran en casa, pues es una barbaridad,
[0:59:47.00]-[0:59:51.00]  porque ya la de la otra niña que tenía también fue esa era,
[0:59:51.00]-[0:59:54.00]  pero bueno, pues muy bien, si ahora se puede, ¿verdad?,
[0:59:54.00]-[1:00:00.00]  pues lo que se pueda, lo malo es pedir préstamos y cosas de esas,
[1:00:00.00]-[1:00:04.00]  para las comuniones y para todo eso, y luego no hay nada para pagarlo.
[1:00:04.00]-[1:00:09.00]  Pero bueno, lo que pasa es lo que yo estoy contando,
[1:00:09.00]-[1:00:11.00]  por la genera que estamos quedando en casa somos eso,
[1:00:11.00]-[1:00:14.00]  en el pueblo somos los que tenemos algo, tienes jamones,
[1:00:14.00]-[1:00:18.00]  tienes los lomos de las matanzas, tienes las cosas,
[1:00:18.00]-[1:00:21.00]  entonces ahora mismo tienes de todo, tienes a lo mejor queso también,
[1:00:21.00]-[1:00:24.00]  tienes muchísimas cosas en casa, las bitunas,
[1:00:24.00]-[1:00:27.00]  muchas cosas que tienes en casa, y entonces, pues claro,
[1:00:27.00]-[1:00:32.00]  siempre es más económico si lo haces en casa, aunque tengas que rentar un salón para poner,
[1:00:32.00]-[1:00:34.00]  pero si lo haces tú, tú buscas comida de tus cosas,
[1:00:34.00]-[1:00:40.00]  pues claro, siempre, si tú matas a esta gente que tiene también un cerdo,
[1:00:40.00]-[1:00:43.00]  que tiene un ave también con un cerdo, matan cerditos chiquititos,
[1:00:43.00]-[1:00:46.00]  los fríen, los preparan, en fin, quiero decir que todas esas cosas,
[1:00:46.00]-[1:00:50.00]  pues claro, puedes hacer una comida tremenda de buena de todo,
[1:00:50.00]-[1:00:54.00]  y le sale más económico que si tuviera que ser en un salón, ¿no?
[1:00:54.00]-[1:00:57.00]  Y bueno, pero claro que mucho trabajo también, mucho trabajo,
[1:00:57.00]-[1:01:01.00]  y que tenga gente aparente alrededor que te eche una manita, si no...
[1:01:01.00]-[1:01:04.00]  Bueno, pero te digo que hay de todo, hay quien lo hace así en su casa,
[1:01:04.00]-[1:01:09.00]  y hay quien lo hace en los salones, y ya está.
[1:01:09.00]-[1:01:13.00]  Mis nietas las dos han sido, las gautizas, han sido en salones,
[1:01:13.00]-[1:01:18.00]  una en Fuente de Canto y otra aquí en el pueblo, pero vamos por cubierto,
[1:01:18.00]-[1:01:22.00]  y fuimos y pagamos al cubierto y se acabó, porque es mucho más cómodo,
[1:01:22.00]-[1:01:26.00]  pero luego lo que te digo, si queremos hacerlo también bien hecho,
[1:01:26.00]-[1:01:30.00]  lo puedes hacer con las cosas de casa, y tan a gusto y también,
[1:01:30.00]-[1:01:32.00]  porque son cosas siempre todas muy buenas, ¿no?
[1:01:32.00]-[1:01:35.00]  Me voy a presentar, pero me diréis, ¿cuál es la más que más hace?
[1:01:35.00]-[1:01:38.00]  ¡La pregunta, la pregunta!
[1:01:38.00]-[1:01:40.00]  Que yo me dirijo a todo, ¿eh?
[1:01:40.00]-[1:01:44.00]  Pero como es ella, ella es la maestra y yo la discípula.
[1:01:44.00]-[1:01:48.00]  A ver, ¿sabes cuánto suspenso le va a poner?
[1:01:48.00]-[1:01:52.00]  Porque no lo hago bien.
[1:01:52.00]-[1:01:54.00]  Hasta que no falle, reina.
[1:01:54.00]-[1:01:58.00]  De que pongáis la grabadora.
[1:01:58.00]-[1:02:03.00]  A ver si os puedo contar alguna cosa, mi amigo.
[1:02:03.00]-[1:02:05.00]  Aquí antes había baile.
[1:02:05.00]-[1:02:07.00]  Sí, sí, sí había, sí.
[1:02:07.00]-[1:02:09.00]  Cuéntanos, ¿cuándo era?
[1:02:09.00]-[1:02:12.00]  Los domingos, los domingos, era, por la noche.
[1:02:12.00]-[1:02:15.00]  Pero no hasta las horas que está ahí ahora los jóvenes, ¿eh?
[1:02:15.00]-[1:02:19.00]  Sonaba a tope, tocaba todo cerrado, a tope todo el mundo en casa.
[1:02:19.00]-[1:02:23.00]  Sí, ahí, mira, cuando subáis y subéis ahora para arriba para la plaza,
[1:02:23.00]-[1:02:29.00]  la cafetería, la 3M, que pone un letrerito, pone cafetería 3M,
[1:02:29.00]-[1:02:34.00]  pues ahí, ahí han sido los baile más exagerados que había.
[1:02:34.00]-[1:02:38.00]  Porque era, ese salón ahora ya es chico, pero ese salón es que era muy grande aún antes.
[1:02:38.00]-[1:02:42.00]  Porque ahora ya lo han hecho más, más apartado, digamos, ¿no?
[1:02:42.00]-[1:02:45.00]  Para una cosa, para otra, para allá, ya lo sabes que era más chico.
[1:02:45.00]-[1:02:47.00]  Pero era más grande que hoy día.
[1:02:47.00]-[1:02:52.00]  Y ahí, bueno, se llamaba el hombre, el casillo, el baile,
[1:02:52.00]-[1:02:56.00]  ponían el portero en la puerta, como las discotecas ahora, que más dan, ¿no?
[1:02:56.00]-[1:03:00.00]  Lo que pasa es que bueno, ahora es un estilo y entonces, lo que era.
[1:03:00.00]-[1:03:04.00]  Los músicos que eran muy graciosos eran de aquí del pueblo, los borregos que les decíamos.
[1:03:04.00]-[1:03:07.00]  Los pobres se han muerto también, también se fueron a Barcelona,
[1:03:07.00]-[1:03:10.00]  se tuvieron que ir los pobres porque no tenían tampoco equipo para vivir
[1:03:10.00]-[1:03:13.00]  en Barcelona y eran de salar y de graciosos.
[1:03:13.00]-[1:03:16.00]  Cuando estaba en moda la canción de Moliendo el café,
[1:03:16.00]-[1:03:20.00]  no sé si vosotros, como me pregunté por cosas antiguas, lo digo,
[1:03:20.00]-[1:03:23.00]  Moliendo el café, mira, qué cosa más graciosa.
[1:03:23.00]-[1:03:26.00]  Venían, empezaron a venir los chicos ya de los pueblos alrededor,
[1:03:26.00]-[1:03:29.00]  porque antes no, pero ya cuando éramos nosotros ya más mocitos,
[1:03:29.00]-[1:03:32.00]  empezaron a venir unos y de aquí se iban a otros.
[1:03:32.00]-[1:03:35.00]  Y bueno, no con los coches que hay ahora, ni mucho menos,
[1:03:35.00]-[1:03:38.00]  lo mejor con un coche iban dios ven, recarcajo en un coche
[1:03:38.00]-[1:03:42.00]  pero bueno, y uno de los chicos que había venido después de tanto
