[0:00:00.00]-[0:00:01.00]  Mira.
[1:00:20.00]-[1:00:23.00]  Pero vamos, conocí a toda la gente.
[1:00:23.00]-[1:00:27.00]  Y yo confío más porque he estado trabajando 19 años,
[1:00:27.00]-[1:00:29.00]  en la caja de ahorros está aquí de abajo,
[1:00:29.00]-[1:00:32.00]  y en la de arriba también he estado, pero ha estado menos.
[1:00:32.00]-[1:00:35.00]  Y todo el mundo, todo el que iba a meter dinero y a sacar dinero,
[1:00:35.00]-[1:00:37.00]  estaba en... delante.
[1:00:37.00]-[1:00:39.00]  ¿Cuánta gente hay aquí?
[1:00:39.00]-[1:00:40.00]  ¿Eh?
[1:00:40.00]-[1:00:42.00]  ¿Cuántos habitantes hay?
[1:00:42.00]-[1:00:44.00]  Ay, eso no te puedo decirlo.
[1:00:44.00]-[1:00:47.00]  Eso no, ya no me acuerdo de eso.
[1:00:47.00]-[1:00:51.00]  ¿Y lo que usted ha dicho antes, que en los patios se escucha mucho?
[1:00:51.00]-[1:00:53.00]  ¿O sea, todas las casas tienen patios?
[1:00:53.00]-[1:00:56.00]  No, eso se lo digo para esa, para reírme.
[1:00:56.00]-[1:00:59.00]  Ay, quién me más escucha a mí, si ahí no hay nadie.
[1:00:59.00]-[1:01:03.00]  Ahí está cercado, el córdel de ella de encima, una padegarta,
[1:01:03.00]-[1:01:07.00]  o tengo que dar voces como un loco para que se pueda enterar.
[1:01:07.00]-[1:01:10.00]  Ella si se entera más, algo nos impone aquí,
[1:01:10.00]-[1:01:13.00]  cuando algo quede por la dos puertas,
[1:01:13.00]-[1:01:16.00]  y mejor de ella más que en el córdel.
[1:01:16.00]-[1:01:19.00]  Ahí no, la de por debajo pasa igual.
[1:01:19.00]-[1:01:21.00]  La casa está ahí por debajo.
[1:01:21.00]-[1:01:23.00]  Entonces, el córdel, si la sienta ahí,
[1:01:23.00]-[1:01:27.00]  porque tienen ella ahí tierra, pero en sus casas no sienta nadie.
[1:01:27.00]-[1:01:30.00]  ¿Y usted ha vivido aquí en esta casa toda su vida?
[1:01:30.00]-[1:01:34.00]  Pues aquí llevo todo el tiempo desde que me casé aquí.
[1:01:34.00]-[1:01:36.00]  Y por encima.
[1:01:36.00]-[1:01:40.00]  Así que los 34 años entre aquí por encima.
[1:01:40.00]-[1:01:45.00]  Y aquí, ahí estuve mis pais, fueron 22, 23.
[1:01:45.00]-[1:01:49.00]  Y los demás, todos aquí.
[1:01:49.00]-[1:01:52.00]  ¿Esta casa es la de Plárez, de sus padres?
[1:01:52.00]-[1:01:56.00]  Sí, mi marido es su padre, su madre.
[1:01:56.00]-[1:02:03.00]  Y yo, que me metí aquí, aquí con él, ahora murió él, la casa es mía.
[1:02:03.00]-[1:02:05.00]  ¿Y quién le dedicaba su marido?
[1:02:05.00]-[1:02:08.00]  Mi marido, a descostar, trabajaba en el campo.
[1:02:08.00]-[1:02:11.00]  Si era aceituna, pues aceituna.
[1:02:11.00]-[1:02:14.00]  Si era en el descoste, a descostar.
[1:02:14.00]-[1:02:19.00]  Y a cortancina y a descostar y a hacer carbón, ranchero.
[1:02:19.00]-[1:02:23.00]  ¿Y segar? ¿Había una época de ir a segar?
[1:02:23.00]-[1:02:25.00]  También he segado, yo también he segado.
[1:02:25.00]-[1:02:30.00]  Ceba y avena, tostos, garbanzos, trigo.
[1:02:30.00]-[1:02:34.00]  El trigo pesaba más y no podía con la mano.
[1:02:34.00]-[1:02:38.00]  Y la cebaya eso pesaba menos y la cebaba así.
[1:02:38.00]-[1:02:45.00]  Echaba la llave que era así, que si una llave es cogerla, las pajas, te la leas así.
[1:02:45.00]-[1:02:47.00]  Mira.
[1:02:50.00]-[1:02:55.00]  Esto, que estás aquí checando, ¿no? Esto para arriba.
[1:02:55.00]-[1:02:57.00]  Esto aquí para arriba, aquí.
[1:02:57.00]-[1:02:59.00]  Esta es la mata.
[1:02:59.00]-[1:03:03.00]  Y ahora esto se lo haces así y te lo coges aquí.
[1:03:03.00]-[1:03:05.00]  Y a segar, y a segar.
[1:03:05.00]-[1:03:08.00]  Y con la otra que le has echado, le echas en el otro lado.
[1:03:08.00]-[1:03:13.00]  Y cuando vas a soltar el rompón, como decían aquellos, entonces,
[1:03:13.00]-[1:03:18.00]  coges aquí y haces así y está ya amarrado por aquí, amarrado y aquí suelto.
[1:03:18.00]-[1:03:20.00]  Ya no se cae.
[1:03:20.00]-[1:03:24.00]  Bueno, pero después de eso no me casé, no he vuelto más.
[1:03:24.00]-[1:03:29.00]  Yo, monza, sí, en mi casa hacía todo eso mucho.
[1:03:29.00]-[1:03:32.00]  Pero después de eso me casé y yo, carbón.
[1:03:32.00]-[1:03:39.00]  Carbón sí me iba con mi marido a hacer ramas encinas y los palos y a todas esas cosas.
[1:03:39.00]-[1:03:43.00]  Eso lo aproveché bien.
[1:03:43.00]-[1:03:45.00]  Lo del carbón lo hacían para venderlo.
[1:03:45.00]-[1:03:47.00]  Para venderlo, para venderlo.
[1:03:47.00]-[1:03:50.00]  Y cómo lo preparaban.
[1:03:50.00]-[1:03:54.00]  Oh, eso no me acuerdo nada porque hay que cortar la leña.
[1:03:54.00]-[1:04:01.00]  Con las hachas, hacer los castitos, luego los troncos gordos los ponen en el medio
[1:04:01.00]-[1:04:05.00]  y ahí los van, ya con los chicos tapando, tapando, tapando, tapando, tapando,
[1:04:05.00]-[1:04:11.00]  y se le tapan con montes, se le hacen unas puertas, un agujero aquí y aquí.
[1:04:11.00]-[1:04:16.00]  Se le ponen unas piedrecitas para coger la leña para que salga por ahí el humo y aquí.
[1:04:16.00]-[1:04:23.00]  Y por la puerta esta de aquí, le dejan una puerta aquí así y por ahí lo encienden.
[1:04:23.00]-[1:04:25.00]  Y aquí los juegos.
[1:04:25.00]-[1:04:30.00]  Cuando ya caen los juegos, todo aquí, lo cava y se empieza a tirar.
[1:04:30.00]-[1:04:33.00]  Los maestros son los de acá.
[1:04:33.00]-[1:04:38.00]  A acá le hacen tres. Uno aquí en el medio y a cada hombro del boliche le hacen otro.
[1:04:38.00]-[1:04:40.00]  El hombro es como así.
[1:04:40.00]-[1:04:44.00]  Como si esto aquí esté en el medio y aquí es un hombro y aquí otro hombro.
[1:04:44.00]-[1:04:49.00]  Y aquí antes lo que tiran para que se encienda.
[1:04:49.00]-[1:04:55.00]  Lo que cogían se enceraban las ceras y ahora las ceras le echaban el monte por encima,
[1:04:55.00]-[1:04:58.00]  la amarran y los cargaban los camiones.
[1:04:58.00]-[1:05:04.00]  Pero había mucha gente al carbón. Ahora no.
[1:05:04.00]-[1:05:08.00]  Ahora no hace nadie carbón por aquí.
[1:05:08.00]-[1:05:15.00]  Porque nadie quiere meterse en esos barrios porque los dueños de la finca no quieren pagar patalá.
[1:05:15.00]-[1:05:20.00]  Como no pagan, pues coño, y esto todo el mundo.
[1:05:20.00]-[1:05:31.00]  Te miro tu cara y lo de tu cara, he visto una o dos y no puedo decir a dónde.
[1:05:31.00]-[1:05:39.00]  Se parece mucho así, más duro que mirarte.
[1:05:39.00]-[1:05:41.00]  Por eso.
[1:05:41.00]-[1:05:45.00]  Habla alguien o no, porque eso tampoco ahí.
[1:05:45.00]-[1:05:50.00]  Quién se parece a algunas personas, unas a las otras.
[1:05:50.00]-[1:05:53.00]  No, que se diga ahora por eso.
[1:05:53.00]-[1:05:55.00]  Pues ya mía, a otras no tengo más que hablar.
[1:05:55.00]-[1:05:58.00]  ¿Y sus nietos más mayores cuántos años tienen?
[1:05:58.00]-[1:05:59.00]  ¿Qué?
[1:05:59.00]-[1:06:00.00]  ¿Sus nietos más mayores?
[1:06:00.00]-[1:06:05.00]  Ah, los mayores que tienen ya, el mayor de los dos, treinta y tres.
[1:06:05.00]-[1:06:10.00]  No, hay otra que tiene cuarenta y uno.
[1:06:10.00]-[1:06:12.00]  Son los nervios.
[1:06:12.00]-[1:06:14.00]  Mi niña me activa.
[1:06:14.00]-[1:06:19.00]  Y luego mi cariño, treinta y tres.
[1:06:19.00]-[1:06:21.00]  No, treinta y tres no.
[1:06:21.00]-[1:06:23.00]  Treinta y siete.
[1:06:23.00]-[1:06:27.00]  La otra, treinta y tres.
[1:06:27.00]-[1:06:31.00]  Y el chico, veintidós.
[1:06:31.00]-[1:06:32.00]  ¿Y esto sí es?
[1:06:32.00]-[1:06:36.00]  La madre de esa niña que ha entrado aquí, treinta.
[1:06:36.00]-[1:06:39.00]  La otra, veintidós.
[1:06:39.00]-[1:06:41.00]  Veintidós.
[1:06:41.00]-[1:06:42.00]  Y ya está, no tengo más.
[1:06:42.00]-[1:06:47.00]  ¿Y la gente de esa edad, de ahora, del pueblo, qué se dedica?
[1:06:47.00]-[1:06:49.00]  ¿O los jóvenes ahora adecuados a la estudiada?
[1:06:49.00]-[1:06:52.00]  No, ahora estamos bien, porque también a mí mismo,
[1:06:52.00]-[1:06:55.00]  mi hija está estudiando y está todavía, no sé qué,
[1:06:55.00]-[1:07:02.00]  ahora está haciendo, cuando estudia la carrera,
[1:07:02.00]-[1:07:03.00]  queda luego con los...
[1:07:03.00]-[1:07:04.00]  ¿Tarreglante en un atarde?
[1:07:04.00]-[1:07:05.00]  ¿Tarreglante en un tarreglante?
[1:07:05.00]-[1:07:06.00]  Sí.
[1:07:06.00]-[1:07:07.00]  Sí, bien.
[1:07:07.00]-[1:07:10.00]  Adiós, ya.
[1:07:10.00]-[1:07:14.00]  Ahora habrá venido, que ha ido a Santaolata, habrá venido a ir de regal de Santaolata.
[1:07:14.00]-[1:07:18.00]  De hacer planos, de las empresas donde están trabajando y esas cosas.
[1:07:18.00]-[1:07:22.00]  Porque tiene que hacer esas cosas para ahora estar esperando que le den,
[1:07:22.00]-[1:07:27.00]  porque ha estudiado química, química.
[1:07:27.00]-[1:07:29.00]  Eso ha estudiado.
[1:07:29.00]-[1:07:34.00]  Y la otra está trabajando en la residencia de los malitos,
[1:07:34.00]-[1:07:39.00]  de los que están, la cabeza un poco, está trabajando.
[1:07:39.00]-[1:07:45.00]  Aún va, ella lo hace y vamos que lo mismo hace una cosa que la otra.
[1:07:45.00]-[1:07:47.00]  ¿Qué da para?
[1:07:47.00]-[1:07:50.00]  Acabar, arbas.
[1:07:50.00]-[1:07:53.00]  Ahora está veniendo ahí un bacán abierto ahí en el perroca en el campo
[1:07:53.00]-[1:07:56.00]  y ahí está haciéndome para que acata quién fue.
[1:07:56.00]-[1:08:01.00]  La avisa, como es capaz de estar, lo avisa y ya se trae su horna y ya está.
[1:08:01.00]-[1:08:05.00]  Y no tiene nada que alejar.
[1:08:05.00]-[1:08:07.00]  Veo que tiene gatitos por ahí.
[1:08:07.00]-[1:08:09.00]  Oh, cuatro hay, cuatro.
[1:08:09.00]-[1:08:10.00]  ¿Te gustan los animales?
[1:08:10.00]-[1:08:13.00]  Me gustan, no te creas que no, a mí me gustan, pero esta ya,
[1:08:13.00]-[1:08:17.00]  la madre parió, la llevó a una y parió cuatro.
[1:08:17.00]-[1:08:19.00]  Dos se murieron pero los otros están ahí.
[1:08:19.00]-[1:08:21.00]  Y las dos madres, pues cuatro.
[1:08:21.00]-[1:08:23.00]  Y una está por ahí paría.
[1:08:23.00]-[1:08:25.00]  Capaz que se presente con otros pocos ahí.
[1:08:25.00]-[1:08:27.00]  Pero cuando son tritinos, matos, dos.
[1:08:27.00]-[1:08:29.00]  Ya, grandes de no.
[1:08:29.00]-[1:08:32.00]  Grandes no, no quiero que le hagan a alguno de estos.
[1:08:32.00]-[1:08:35.00]  Chiqueninos sí, porque digo que luego se unen todas las piedras.
[1:08:35.00]-[1:08:37.00]  Cuando los voy cogiendo, los voy a meter en su paso.
[1:08:37.00]-[1:08:39.00]  Los cojo en la bolsa y los tiro.
[1:08:39.00]-[1:08:40.00]  Pero grandes de no.
[1:08:40.00]-[1:08:45.00]  Nada más que tiene los ojos abiertos, que me mira bien el gato, de no.
[1:08:45.00]-[1:08:49.00]  De no le hago nada, me da láctima.
[1:08:49.00]-[1:08:50.00]  Ay, por Dios.
[1:08:50.00]-[1:08:52.00]  Pero ahí en el patio está muy agusto.
[1:08:52.00]-[1:08:55.00]  Ahí están muy bien, por esos corrales, por el cacao, eso.
[1:08:55.00]-[1:08:58.00]  No le hacen daño a nadie porque esos están ahí.
[1:08:58.00]-[1:08:59.00]  Con esto su comida.
[1:08:59.00]-[1:09:01.00]  ¿Cultivo está alguna especie ahí atrás en el huertito?
[1:09:01.00]-[1:09:02.00]  ¿Qué?
[1:09:02.00]-[1:09:03.00]  ¿Que se tiene alguna especie en el...
[1:09:03.00]-[1:09:05.00]  No, yo no.
[1:09:05.00]-[1:09:07.00]  Yo no me hago un laurel, se ve de ahí.
[1:09:07.00]-[1:09:10.00]  De ahí se ve un árbol que hay verde, un laurel.
[1:09:10.00]-[1:09:14.00]  Yo no, yo no, los salen las flores y está, está.
[1:09:14.00]-[1:09:17.00]  Y ahora está todo caído, está todo malamente, porque lo que puedo.
[1:09:17.00]-[1:09:19.00]  Y tengo que estar ahí un par de días.
[1:09:19.00]-[1:09:23.00]  El otro día estuve entrenando en unas macetas y preparándolas.
[1:09:23.00]-[1:09:27.00]  Para ponerlas ahí en el patio y eso.
[1:09:27.00]-[1:09:32.00]  Pero vamos, hay muchas de las que quede poco.
[1:09:32.00]-[1:09:34.00]  ¿Y tenían gallinas también en las casas?
[1:09:34.00]-[1:09:37.00]  Antes sí, pero ahora no tengo otra que ganar.
[1:09:37.00]-[1:09:39.00]  Antes tenía todo ahí.
[1:09:39.00]-[1:09:41.00]  Las hartas de gallinas.
[1:09:41.00]-[1:09:42.00]  Y guarro.
[1:09:42.00]-[1:09:43.00]  Los criaba eso ahí.
[1:09:43.00]-[1:09:44.00]  ¿Ahí también?
[1:09:44.00]-[1:09:50.00]  Ahí los criaba eso con leche, después les daba de comer y los ponía gordos.
[1:09:50.00]-[1:09:54.00]  Y si querían para tener un guarro para venderlo o matarlo, pues los...
[1:09:54.00]-[1:09:57.00]  Me los daban chiquitinos, cuando los parían las madres me los daban.
[1:09:57.00]-[1:09:59.00]  Y yo los criaba ahí.
[1:09:59.00]-[1:10:02.00]  Y los hacían grandes.
[1:10:02.00]-[1:10:05.00]  ¿Y cómo era cuidar a los animales?
[1:10:05.00]-[1:10:10.00]  Como ponerle a un niño una de tu un biberón.
[1:10:10.00]-[1:10:14.00]  Pues a un guarrino cuando está mamando chiquitino, así solo tiene que hacer,
[1:10:14.00]-[1:10:20.00]  en una boteta, le pones su chupe y solo planta y chupa y se cría.
[1:10:20.00]-[1:10:24.00]  Cuando es grande en un platito le echan la leche con pan miga ahí.
[1:10:24.00]-[1:10:28.00]  Hasta que tan grande que está se empieza a comer los piensos, tope de hecha.
[1:10:28.00]-[1:10:31.00]  Pero antes no había piensos.
[1:10:31.00]-[1:10:34.00]  Pienso lo que criaban aquí en estas tierras.
[1:10:34.00]-[1:10:38.00]  Trigo, la cebada, el maíz en las huertas.
[1:10:38.00]-[1:10:42.00]  Pero vamos a hablar de los piensos que hasta de por ahí eso no había.
[1:10:42.00]-[1:10:45.00]  Ni molino ni nada de eso.
[1:10:45.00]-[1:10:50.00]  Había la harina que moría en el trigo, había unos molinos ahí para la ribera.
[1:10:50.00]-[1:10:55.00]  Moría en el trigo y eso lo hacían ni a tú y ese afléxito se comía los costinos.
[1:10:55.00]-[1:10:59.00]  Y nosotros nos comíamos el pan.
[1:10:59.00]-[1:11:03.00]  Y luego las gallinas ponían...
[1:11:03.00]-[1:11:07.00]  Las gallinas igual le echaban arte, le echaban lavar eso, pues a poner.
[1:11:07.00]-[1:11:12.00]  Llegaba su tiempo de poner y los huevos que cogía tuvo más hora igual.
[1:11:12.00]-[1:11:14.00]  Pero cada cuánto ponían?
[1:11:14.00]-[1:11:16.00]  Pues todos los días.
[1:11:16.00]-[1:11:21.00]  En el tiempo de la granada siempre se les decía, no ponía la gallina nada.
[1:11:21.00]-[1:11:25.00]  Porque cuando estás pelestando y se deja de poner.
[1:11:25.00]-[1:11:26.00]  ¿En el tiempo de la granada?
[1:11:26.00]-[1:11:29.00]  De la granada que es en los santos.
[1:11:29.00]-[1:11:33.00]  Cuando viene en los santos está la granada esa gorda que se compra.
[1:11:33.00]-[1:11:39.00]  Eso se ve un poco en las plazas y la que no ha visto en el árbol no sabe lo que es.
[1:11:39.00]-[1:11:40.00]  Por aquí tienen árboles de granada.
[1:11:40.00]-[1:11:47.00]  Sí, ahí hay una huerta detrás de eso para allá y hay granada ahí.
[1:11:47.00]-[1:11:49.00]  ¿Cuál es el patrón de aquí?
[1:11:49.00]-[1:11:52.00]  El cruceo.
[1:11:52.00]-[1:11:55.00]  Santísimo Cristo del cruceo.
[1:11:55.00]-[1:11:57.00]  ¿Y hacen procesiones?
[1:11:57.00]-[1:11:58.00]  Sí.
[1:11:58.00]-[1:11:59.00]  ¿Procesiones?
[1:11:59.00]-[1:12:06.00]  Procesiones, sale la Virgen de los dolores, la Virgen de gracia.
[1:12:06.00]-[1:12:10.00]  Ah, mira, no, aquí ya no hay.
[1:12:10.00]-[1:12:17.00]  La Virgen de gracia es gran poder que sale también en Semana Santa.
[1:12:17.00]-[1:12:18.00]  Todo eso sale.
[1:12:18.00]-[1:12:19.00]  ¿Y pasan por aquí por la calle?
[1:12:19.00]-[1:12:20.00]  No.
[1:12:20.00]-[1:12:26.00]  Ahí por el Pilar dan la vuelta, corren hasta arriba un puente cae hasta arriba y se meten
[1:12:26.00]-[1:12:30.00]  por aquí, para arriba del placero, dan la vuelta por allí, cogen la calle Nueva abajo.
[1:12:30.00]-[1:12:35.00]  Y el viernes sale el jueves santo, sale el Señor también.
[1:12:35.00]-[1:12:39.00]  Se encuentra el Señor con la Virgen.
[1:12:39.00]-[1:12:41.00]  ¿Luego se van de Romería?
[1:12:41.00]-[1:12:44.00]  Esta no, esa es la Divina Pastora.
[1:12:44.00]-[1:12:48.00]  Aquí se la tengo ahí, en este lado allí.
[1:12:48.00]-[1:12:49.00]  ¿En qué fecha es la Romería?
[1:12:49.00]-[1:12:53.00]  Pues pronto, para ahora para mato.
[1:12:53.00]-[1:12:55.00]  ¿Y qué suelen hacer en la Romería?
[1:12:55.00]-[1:13:01.00]  Ah, pues en la Romería que cogen sus, cada uno tiene su carreta, como sea, un tanto
[1:13:01.00]-[1:13:04.00]  de tres o cuatro, las que sean, de familia.
[1:13:04.00]-[1:13:13.00]  Y ahora van detrás con la carreta que lleva la bici hasta la ribera, a la mitad.
[1:13:13.00]-[1:13:19.00]  Y después ya se quedan allí todos y hacen la noche y al otro día se viene.
[1:13:19.00]-[1:13:27.00]  La carreta es muy linda, a mí hace una y se juntan mi hijo, mi sobrino, tres o cuatro
[1:13:27.00]-[1:13:30.00]  o más de familia.
[1:13:30.00]-[1:13:32.00]  Y ahora se monta y un montón.
[1:13:32.00]-[1:13:34.00]  Y se van a la ribera y allí están.
[1:13:34.00]-[1:13:36.00]  ¿Y llevan trajes típicos en la Romería?
[1:13:36.00]-[1:13:41.00]  Ah, claro, cada una se puede vestir de flamenca, ¿se viste?
[1:13:41.00]-[1:13:44.00]  Y luego allí se lo quitan, así eso.
[1:13:44.00]-[1:13:49.00]  Aquí hay vistos varios de esos que los hacen del asuntamiento para que se vista, subate
[1:13:49.00]-[1:13:53.00]  para hacer su cosa.
[1:13:53.00]-[1:13:55.00]  Claro que habrá frío ahí.
[1:13:55.00]-[1:13:56.00]  Ay, qué tía.
[1:13:56.00]-[1:13:57.00]  Entrarte para acá la mina.
[1:13:57.00]-[1:13:59.00]  No, porque yo tengo mi puerta lenta.
[1:13:59.00]-[1:14:00.00]  No se puede dar la puerta lenta.
[1:14:00.00]-[1:14:01.00]  No.
[1:14:01.00]-[1:14:04.00]  No se puede ir hoy delante.
[1:14:04.00]-[1:14:05.00]  Cualquiera.
[1:14:05.00]-[1:14:06.00]  Fíjate a la otra tarde.
[1:14:06.00]-[1:14:07.00]  ¿Eh?
[1:14:07.00]-[1:14:09.00]  Fíjate a que es otra tarde.
[1:14:09.00]-[1:14:11.00]  ¿Eso de qué venís haciendo?
[1:14:11.00]-[1:14:13.00]  ¿Una encuesta o es de qué?
[1:14:13.00]-[1:14:14.00]  No, esto es eso.
[1:14:14.00]-[1:14:15.00]  ¿Para qué?
[1:14:15.00]-[1:14:17.00]  Eso que has dicho tú.
[1:14:17.00]-[1:14:21.00]  Para que tú entere, le digas esto, le digas el otro, le digas cosas.
[1:14:21.00]-[1:14:26.00]  Sí, una encuesta sobre las costumbres antiguas en los pueblos, las tradiciones.
[1:14:26.00]-[1:14:27.00]  Y las cosas.
[1:14:27.00]-[1:14:30.00]  ¿Qué es lo más antiguo que tú?
[1:14:30.00]-[1:14:33.00]  Es más moderna que ella.
[1:14:33.00]-[1:14:37.00]  André, anda.
[1:14:37.00]-[1:14:45.00]  Claro que eres más nueva, pues los pocos años más, menos que yo.
[1:14:45.00]-[1:14:47.00]  Tienes 80.
[1:14:47.00]-[1:14:48.00]  Y cuatro.
[1:14:48.00]-[1:14:49.00]  Y cuatro.
[1:14:49.00]-[1:14:51.00]  Yo tengo 70.
[1:14:51.00]-[1:14:53.00]  Y seis, no está creyendo tampoco que sea tan bueno.
[1:14:53.00]-[1:14:55.00]  No, pero, porque no.
[1:14:55.00]-[1:14:58.00]  Por lo menos en el 8 o 10 más que yo.
[1:14:58.00]-[1:14:59.00]  Bueno.
[1:14:59.00]-[1:15:01.00]  Te voy a decir un poco entonces si se te está enamorando de todo.
[1:15:01.00]-[1:15:02.00]  Pues ya no nos da igual.
[1:15:02.00]-[1:15:03.00]  Así que, lo mismo.
[1:15:03.00]-[1:15:08.00]  Que nosotros ya hemos corrido nuestra vida, ahora estamos aquí como el que anda un camino
[1:15:08.00]-[1:15:11.00]  y se sienta a esperar al otro.
[1:15:11.00]-[1:15:15.00]  Nosotros estamos aquí esperando que nos digan, ya vas para abajo.
[1:15:15.00]-[1:15:16.00]  Como debe.
[1:15:16.00]-[1:15:18.00]  ¿Tienes?
[1:15:18.00]-[1:15:20.00]  Qué miedo.
[1:15:20.00]-[1:15:28.00]  A mí no me da miedo, porque yo digo que eso se dice y ahora he dicho miedo por otra cosa.
[1:15:28.00]-[1:15:34.00]  Porque se ha matado a unos niños en el real, lastima, un muchacho.
[1:15:34.00]-[1:15:37.00]  Por eso he dicho que lastima.
[1:15:37.00]-[1:15:40.00]  Pasan muchas cosas, ¿no?
[1:15:40.00]-[1:15:43.00]  No, no se suele de pasar de hoy en día cosas.
[1:15:43.00]-[1:15:45.00]  Eso mira ese muchacho.
[1:15:45.00]-[1:15:48.00]  Se habrá visto nada que ha llegado a su día y ya está.
[1:15:48.00]-[1:15:50.00]  Y ha dicho, pues ya de hoy no.
[1:15:50.00]-[1:15:53.00]  Y da una hora más allá andando.
[1:15:53.00]-[1:15:56.00]  Y se ha cogido unas copetas de don Tiro.
[1:15:56.00]-[1:16:01.00]  Estaba con su madre, la madre estaba malita, le he dado una cosa y estamos a mi madre y su madre.
[1:16:01.00]-[1:16:07.00]  Y esa madre ya no le plancha el calzón ni el pantalón ni le hace de comer la comida que quiere ni nada.
[1:16:07.00]-[1:16:09.00]  Porque la madre la tiene que dar a ella.
[1:16:09.00]-[1:16:14.00]  Pues el pobre ya ha pasado un día y ha pasado otro y ha pasado otro y un mes y el día ya desesperado.
[1:16:14.00]-[1:16:19.00]  Ahora la madre estaba en Cresá, se ha llevado a mí.
[1:16:19.00]-[1:16:24.00]  Y ese mismo día iba la madre para hacerse una revisión.
[1:16:24.00]-[1:16:27.00]  Y el pobre día, pues ya no había con los demás.
[1:16:29.00]-[1:16:32.00]  ¿Existen leyendas o algo así del pueblo?
[1:16:32.00]-[1:16:34.00]  ¿Qué? No, yo no.
[1:16:34.00]-[1:16:36.00]  De esas cosas no.
[1:16:36.00]-[1:16:38.00]  No tengo nada.
[1:16:39.00]-[1:16:41.00]  Aquí esas cosas no se acostumbran.
[1:16:41.00]-[1:16:47.00]  Antes sí me acuerdo así en algunos antiguos viejos que tenían leído porque antes había mucho de eso aquí.
[1:16:47.00]-[1:16:50.00]  Una mina y de Jaleo, pero ahora no, ahora no hay nada de eso.
[1:16:50.00]-[1:16:53.00]  Pero algo que le hayan contado a usted, como que algo que le contara a usted.
[1:16:53.00]-[1:16:57.00]  Sí, yo ya no me acuerdo de nada de eso.
[1:16:57.00]-[1:16:59.00]  ¿Nada?
[1:16:59.00]-[1:17:06.00]  Me pasa como que yo solo oía a mi padre, pero ya casi estaba ya todo acabado.
[1:17:07.00]-[1:17:09.00]  Pero como qué?
[1:17:09.00]-[1:17:12.00]  No, de eso de la mina, que había una mina, pero nosotros no sabemos por dónde.
[1:17:12.00]-[1:17:14.00]  ¿Pero qué decían de la mina?
[1:17:14.00]-[1:17:18.00]  Hombre, decían eso que había una mina ahí, iban las gente a trabajar ahí, esa cosa.
[1:17:18.00]-[1:17:20.00]  Pero se veían aquí armadén de la duarte.
[1:17:20.00]-[1:17:23.00]  ¿Por eso? Ay, mira, eso es verdad.
[1:17:23.00]-[1:17:25.00]  Porque sacaban plata.
[1:17:25.00]-[1:17:27.00]  ¿Por qué decían esto armadén de la plata?
[1:17:27.00]-[1:17:29.00]  Porque sacaban plata.
[1:17:29.00]-[1:17:36.00]  Porque estaba la mina, entonces ahí empezaron a trabajar en la mina y las cosas esas.
[1:17:39.00]-[1:17:45.00]  Y otra cosa, ¿antes los quintos se celebraban?
[1:17:45.00]-[1:17:53.00]  Se marcaban el día de los quintos, pues todos los que tenían su edad, si había 10, había 12 o había 20.
[1:17:53.00]-[1:17:56.00]  Cuando nacían los chiquitos, pues decíamos, uy, pues este es el quinto.
[1:17:56.00]-[1:18:02.00]  Si el mismo año habían nacido 4, 5, 6, 8, pues esos eran quintos.
[1:18:02.00]-[1:18:08.00]  Mis hijos, pues, lo siento, mi Hosea María que era asistente de cupos, pero no fue a la mina.
[1:18:08.00]-[1:18:12.00]  Los demás, los tres mayores míos, eso fue un topo, a la mina.
[1:18:12.00]-[1:18:16.00]  ¿Pero qué, cuando les llamaban hacían algo especial?
[1:18:16.00]-[1:18:19.00]  Hombre, como esto cuando naces están apuntados allí.
[1:18:19.00]-[1:18:26.00]  Por, ya llegaba su hora de que tenían su edad, pues te mandaban a tu casa un papel,
[1:18:26.00]-[1:18:32.00]  como presentándose que el día se tenían que marcar, y cuando se tenían que marcar ya sabían para cuando se tenían que ir.
[1:18:32.00]-[1:18:41.00]  Porque ya sabían por, al año que viene, por tal tiempo, en el meta, en febrero, en marzo, el día 8, el día 18, lo que fuera.
[1:18:41.00]-[1:18:44.00]  Pero ya...
[1:18:44.00]-[1:18:49.00]  ¿Y los que se tenían que marcar no invitaban a las quintas de su año, a algo?
[1:18:49.00]-[1:18:56.00]  Hombre, los que eran quintos, pues si hacían una quinta, los dos mismos en mi casa, tenía a mis hijos en la quinta, pues me iría a celebrarlo aquí.
[1:18:56.00]-[1:19:02.00]  Y se juntaban todos los quintos y aquí hacían una comida y comían y estaban todos los días.
[1:19:02.00]-[1:19:04.00]  Se juntaban los gatos y se comían.
[1:19:04.00]-[1:19:06.00]  Se juntaban los gatos, porque cada uno lo que tenía.
[1:19:06.00]-[1:19:10.00]  Pero ya se ha acabado eso, hace ya no fue de año que no...
[1:19:10.00]-[1:19:14.00]  Porque mis hijos ya no hubo quintas para él.
[1:19:14.00]-[1:19:16.00]  Ya no hacían quintas.
[1:19:16.00]-[1:19:18.00]  ¿Y tu nieto?
[1:19:18.00]-[1:19:20.00]  ¿Tu nieto?
[1:19:20.00]-[1:19:22.00]  Tampoco, mi nieto tampoco.
[1:19:22.00]-[1:19:23.00]  ¿Y tu hijo?
[1:19:23.00]-[1:19:24.00]  Sí.
[1:19:24.00]-[1:19:25.00]  Mi hijo no.
