[0:00:00.00]-[0:00:02.00]  ¿Podemos estar con ustedes?
[1:03:10.40]-[1:03:14.88]  y al cura antes había algo que no le gustara que se hiciera en el pueblo por
[1:03:14.88]-[1:03:19.48]  ejemplo se hacía aquí bailes o las chicas con minifalda
[1:03:19.48]-[1:03:24.00]  y eso de la cuaresma, tu sabes lo que es la cuaresma?
[1:03:24.00]-[1:03:30.08]  pues eso de hacer baile en la cuaresma y esas cosas, eso nada, nada
[1:03:30.08]-[1:03:33.52]  es mucho pecado
[1:03:33.52]-[1:03:36.64]  entonces ahora
[1:03:36.64]-[1:03:43.04]  si hubiera habido la discoteca que hay ahora
[1:03:43.04]-[1:03:48.04]  hubiera visto que tiene a pobre cura
[1:03:48.04]-[1:03:52.88]  como si hubiera ido a la mejor
[1:03:52.88]-[1:03:57.12]  entonces y también el cura vamos entonces la gente que no fuera a misa
[1:03:57.12]-[1:04:01.60]  detrás de ellos para que fueran obligaba a la gente a ir a misa
[1:04:01.60]-[1:04:07.56]  no no pero casi casi
[1:04:07.56]-[1:04:10.32]  si? si casi casi
[1:04:10.32]-[1:04:15.44]  joder pues madre mía, si que pintaba
[1:04:15.44]-[1:04:19.52]  bueno y aquí hay que ya
[1:04:19.52]-[1:04:23.76]  la fiesta del pueblo, eso la fiesta, aquí hay alguna fiesta típica de este
[1:04:23.76]-[1:04:33.52]  aquí si, está san roque y la virgen de la subción
[1:04:33.52]-[1:04:39.52]  que son seguidos, son seguidos, 15 de agosto
[1:04:39.52]-[1:04:43.52]  ya me he fijado
[1:04:43.52]-[1:04:46.48]  hablo del de la supeca abuelo, la que?
[1:04:46.48]-[1:04:49.76]  la supeca, ves aquí lo tengo, 15 de agosto
[1:04:49.76]-[1:04:54.24]  ves la virgen y aquí san
[1:04:54.24]-[1:04:56.72]  san este es la numería, aquí? si
[1:04:56.72]-[1:05:00.72]  y siguiente san roque
[1:05:00.72]-[1:05:05.76]  pues además esto de cura, esto es
[1:05:05.76]-[1:05:11.20]  nos va a dar de cura, si que majete
[1:05:11.20]-[1:05:15.36]  bueno su nieto que nos ha dicho la sopeta, que es la sopeta
[1:05:15.36]-[1:05:21.44]  pues la sopeta es que aquí dan vino el día de san roque
[1:05:21.44]-[1:05:26.72]  es el día de san roque, el segundo día, el día 16
[1:05:26.72]-[1:05:32.80]  dan vino en la trapa
[1:05:32.80]-[1:05:38.40]  y allí pues se va, se va por la, se lleva a lo mejor un
[1:05:38.40]-[1:05:42.00]  recipiente que echan vino y llevas azúcar
[1:05:42.00]-[1:05:46.56]  y te llevas torta de casa, que al menos que hacen tortas en casa
[1:05:46.56]-[1:05:51.36]  torta dormida, van dormido
[1:05:51.36]-[1:05:58.24]  pan quemado, no, no, el pan quemado es en valenciano
[1:05:58.24]-[1:06:02.88]  pero el propio nombre es pan dormido, y que es eso?
[1:06:02.88]-[1:06:06.72]  pues unas tortas muy buenas que hacían aquí antes, si? si
[1:06:06.72]-[1:06:12.80]  y como se hacían? pues pues con harina, aceite, huevos
[1:06:12.80]-[1:06:22.48]  y eso, y porque las llaman dormidas? pues porque las amasaban y la dejaban
[1:06:22.48]-[1:06:28.96]  durmiendo bastantes horas, a lo mejor 28 horas
[1:06:29.28]-[1:06:34.88]  y luego cuando se despertaban es cuando la trabajaban ya la
[1:06:34.88]-[1:06:38.40]  cuando trabajaban ya la, hacían la masa, eso?
[1:06:38.40]-[1:06:42.32]  bueno y en san roque la sopeta, el vino, y el vino es allí, bebe todo el mundo
[1:06:42.32]-[1:06:44.32]  todo el vino que quiere, todo el vino que quiere
[1:06:44.32]-[1:06:48.00]  madre mía, uy si lo vierais, uy si lo vierais
[1:06:48.00]-[1:06:52.48]  yo creo que vamos a venir y todo, pues os recomiendo que vengáis y lo veáis
[1:06:52.48]-[1:06:57.60]  si podéis venir el día san roque, el 15 de agosto, no el 16
[1:06:57.60]-[1:07:02.32]  el 16, bueno pues no venimos el 15, ya lo dije, mejor será
[1:07:02.32]-[1:07:06.64]  después de comer, eso de las cuatro es cuando está el
[1:07:06.64]-[1:07:10.40]  mi barrio, mira yo ya llevo unos dos años que yo
[1:07:10.40]-[1:07:17.04]  que no voy a eso, no va? no, no voy, es que antes sí que me gustaba porque
[1:07:17.04]-[1:07:21.60]  ibas allí y hasta te emborrachabas y querías, madre mía
[1:07:21.84]-[1:07:26.00]  por dios, pero ahora no voy porque no hacen más que tirarlo el vino
[1:07:26.00]-[1:07:29.76]  no hacen más que tirarlo, ahí está ya lo otro, está a mí
[1:07:29.76]-[1:07:35.28]  tu amigo, a ti, viejito, y llevan olor a vino? no, no, que allí pues
[1:07:35.28]-[1:07:39.76]  a la... y luego después de aquella eso a las fuentes
[1:07:39.76]-[1:07:44.40]  que hay por ahí de los pilones, echarle osos a la ropa
[1:07:44.40]-[1:07:49.04]  y a mí eso no me gusta y no voy, pero antes no se hacía así?
[1:07:49.04]-[1:07:52.32]  no, que se hacía antes? pues antes ibas allí
[1:07:52.32]-[1:07:59.44]  quedaban del vino, hacías sopeta con la torta y luego después el vino
[1:07:59.44]-[1:08:07.84]  el vino era mejor, ya no era vino, cuando echabas la torta allí
[1:08:07.84]-[1:08:12.08]  y le echabas azúcar, cuando levantabas ya que te habías comido
[1:08:12.08]-[1:08:16.40]  la sopa aquella que había, lo que quedaba el caldo ya no era vino
[1:08:16.40]-[1:08:20.80]  era el caldo a la sopeta, que eso, es que había quien
[1:08:20.80]-[1:08:26.64]  no le gustaba el vino, pero sin embargo el caldo a la sopeta le gustaba
[1:08:26.64]-[1:08:31.60]  el caldo a la sopeta es vino también
[1:08:31.60]-[1:08:35.20]  si es vino, pero ya no es vino, ya es caldo a la sopeta
[1:08:35.20]-[1:08:38.64]  claro, como lleva la torta y además dormida
[1:08:38.64]-[1:08:42.88]  y además no quedaba azúcar, y como lleva azúcar pues entonces ya entra más mejor
[1:08:42.88]-[1:08:45.76]  claro, ya es así
[1:08:45.76]-[1:08:51.28]  y bueno, y luego ya después, en qué te voy a decir, yo eso ya era
[1:08:51.28]-[1:08:55.52]  lo de ahora ya pues ya, como no me gustó pues no voy
[1:08:55.52]-[1:08:58.08]  ahora te estoy preguntando que ya es hora de comer
[1:08:58.08]-[1:09:04.08]  pues sí, ¿a dónde vais a comer? ¿a un hotel?
[1:09:04.08]-[1:09:07.92]  a algún sitio, recomiéndenos algún lugar, que se coma bien
[1:09:07.92]-[1:09:10.16]  ¿a dónde lo recomiendas tú?
[1:09:10.16]-[1:09:13.60]  recomiéndelo en...
[1:09:13.60]-[1:09:17.36]  servidor distinto y caballero
[1:09:17.36]-[1:09:19.92]  sí, y le importa decirnos su edad
[1:09:19.92]-[1:09:22.32]  87
[1:09:22.32]-[1:09:25.68]  ¿ya te lo he dicho?
[1:09:25.68]-[1:09:27.68]  87 es verdad, sí, sí, lo has dicho
[1:09:27.68]-[1:09:29.68]  pero esto se puede hacer en octubre
[1:09:29.68]-[1:09:31.68]  ¿sí, en octubre?
[1:09:31.68]-[1:09:33.68]  y el día mi santo es el 13 de octubre
[1:09:33.68]-[1:09:35.68]  para que tú te queres
[1:09:35.68]-[1:09:37.68]  y si no miras por ahí con el calvario lo verás
[1:09:37.68]-[1:09:41.68]  o sea que tengo el santo del día
[1:09:41.68]-[1:09:43.68]  muy bien
[1:09:43.68]-[1:09:45.68]  muchas gracias
[1:09:45.68]-[1:09:47.68]  otro día va a que sea
[1:09:47.68]-[1:09:49.68]  cuéntanos un chiste, venga hombre, uno corto
[1:09:49.68]-[1:09:53.68]  ¿cómo que no?
[1:09:53.68]-[1:09:55.68]  ¿no has dicho que no lo sabes?
[1:09:55.68]-[1:09:57.68]  ¿no?
[1:09:57.68]-[1:09:59.68]  no, eso, y además, pues son cosas a lo mejor
[1:09:59.68]-[1:10:01.68]  que ni chistes, no, no
[1:10:01.68]-[1:10:05.68]  pues no lo sé, no, no lo sé
[1:10:05.68]-[1:10:09.68]  pues no sé, un chiste, ¿es que mi nieto dice que sabe chistes?
[1:10:09.68]-[1:10:11.68]  historias
[1:10:11.68]-[1:10:13.68]  antropología
[1:10:13.68]-[1:10:17.68]  pero la mujer es la de los 500 novios, no sé qué
[1:10:17.68]-[1:10:23.68]  esa era una que tenía 597 novios
[1:10:23.68]-[1:10:25.68]  así que no te voy a decir
[1:10:25.68]-[1:10:27.68]  597, sí, solo
[1:10:27.68]-[1:10:31.68]  empezó por los artistas
[1:10:31.68]-[1:10:33.68]  pero es que de los artistas no me acuerdo
[1:10:33.68]-[1:10:37.68]  luego los oficios me acuerdo ya
[1:10:37.68]-[1:10:45.68]  además, solo que sé, eso fue de una vez que un hermano que tenía se va muerto
[1:10:45.68]-[1:10:51.68]  lo tenía eso en el Roma de Aqued y las leí una vez y me se quedó alguna
[1:10:51.68]-[1:10:59.68]  pero de los oficios sí hice alguna pero de los artistas no me acuerdo
[1:10:59.68]-[1:11:05.68]  los oficios pues casi todos tienen su
[1:11:05.68]-[1:11:07.68]  pero es que en total que no sé, que no sé
[1:11:07.68]-[1:11:11.68]  tenía 597, claro que decía
[1:11:11.68]-[1:11:15.68]  para monjita nací y tampoco para cajada
[1:11:15.68]-[1:11:19.68]  los artistas por ver si alguno me agrada
[1:11:19.68]-[1:11:23.68]  luego se terminaban los artistas y pasaban los oficios
[1:11:23.68]-[1:11:29.68]  y eso pues ya, pero yo no sé, ya ni me acuerdo como empezaba ni como es porque
[1:11:29.68]-[1:11:37.68]  ya te digo, fue de una vez que lo oí a mi hermano que lo dijo aquí entre la familia
[1:11:37.68]-[1:11:39.68]  y ya no la tuve o llegué a tener
[1:11:39.68]-[1:11:41.68]  sí, fue muy bien
[1:11:41.68]-[1:12:09.68]  muchas gracias
