[0:00:00.00]-[0:00:03.00]  No importa, ¿te apetece?
[0:51:06.00]-[0:51:08.00]  Y allí, en Esquimicación,
[0:51:08.00]-[0:51:10.00]  hicieron...
[0:51:10.00]-[0:51:12.00]  Me invitaban los siete vecinos.
[0:51:12.00]-[0:51:14.00]  Pero tú que estaba yo...
[0:51:14.00]-[0:51:16.00]  Tú que estaba yo...
[0:51:16.00]-[0:51:18.00]  en casa.
[0:51:18.00]-[0:51:20.00]  Hice así la fuente
[0:51:20.00]-[0:51:22.00]  en el 57.
[0:51:22.00]-[0:51:24.00]  Pero que ya es propio, ¿no?
[0:51:24.00]-[0:51:26.00]  Y era el material del Ayuntamiento,
[0:51:26.00]-[0:51:28.00]  me parece.
[0:51:28.00]-[0:51:30.00]  Pero yo, propio, vale, quiero que...
[0:51:30.00]-[0:51:32.00]  que venga.
[0:51:34.00]-[0:51:36.00]  Y ahora fue una hija pa' allá.
[0:51:38.00]-[0:51:40.00]  La casera está allí siempre.
[0:51:40.00]-[0:51:42.00]  Se paró la casa.
[0:51:42.00]-[0:51:44.00]  Pero quedaba...
[0:51:44.00]-[0:51:46.00]  donde nací,
[0:51:46.00]-[0:51:48.00]  era un pueblo pequeño, pero...
[0:51:48.00]-[0:51:50.00]  había otro muy cerca.
[0:51:50.00]-[0:51:52.00]  De cuatro nunca era ninguno.
[0:51:52.00]-[0:51:54.00]  ¿Cómo se llamaba ese pueblo?
[0:51:54.00]-[0:51:56.00]  Fallo de Candamo.
[0:51:56.00]-[0:52:00.00]  No, no, no.
[0:52:00.00]-[0:52:02.00]  Y así, ¿eh?
[0:52:04.00]-[0:52:06.00]  ¿Y recuerda usted
[0:52:06.00]-[0:52:08.00]  alguna historia, alguna leyenda
[0:52:08.00]-[0:52:10.00]  que se contas en los pueblos?
[0:52:10.00]-[0:52:12.00]  ¿Nada?
[0:52:14.00]-[0:52:16.00]  Tengo un poco de memoria.
[0:52:16.00]-[0:52:18.00]  Sí.
[0:52:18.00]-[0:52:20.00]  Tengo un poco de memoria.
[0:52:20.00]-[0:52:22.00]  Tengo memoria, pero...
[0:52:22.00]-[0:52:24.00]  porque tuve muy jodido.
[0:52:24.00]-[0:52:26.00]  Tuve tres meses
[0:52:26.00]-[0:52:28.00]  sin salir de casa.
[0:52:28.00]-[0:52:30.00]  Sí, ¿y eso?
[0:52:30.00]-[0:52:32.00]  Y tuve casi otros tres meses
[0:52:32.00]-[0:52:34.00]  en silla de rodas.
[0:52:34.00]-[0:52:36.00]  Vaya.
[0:52:36.00]-[0:52:38.00]  De la coluna, en un tengo operación.
[0:52:40.00]-[0:52:42.00]  Y a veces pareces
[0:52:42.00]-[0:52:44.00]  que...
[0:52:44.00]-[0:52:46.00]  los nervios.
[0:52:46.00]-[0:52:48.00]  Pues he estado muy bien, ¿eh?
[0:52:48.00]-[0:52:50.00]  Sí.
[0:52:50.00]-[0:52:52.00]  Y ahora estoy, vaya, estoy
[0:52:52.00]-[0:52:54.00]  en marches,
[0:52:54.00]-[0:52:56.00]  operando en este ojo de cantaratas.
[0:52:56.00]-[0:52:58.00]  Y hizo el día 23
[0:52:58.00]-[0:53:00.00]  y no vencí un poco demasiado bien.
[0:53:00.00]-[0:53:02.00]  Bueno, hasta que me agradó.
[0:53:04.00]-[0:53:06.00]  Pero tuve...
[0:53:06.00]-[0:53:08.00]  y después tuve
[0:53:08.00]-[0:53:10.00]  con dos molestas
[0:53:10.00]-[0:53:12.00]  un montón de tiempo.
[0:53:12.00]-[0:53:14.00]  Luego tiré una.
[0:53:14.00]-[0:53:16.00]  Y ahora, por agosto, tuve otra vez
[0:53:16.00]-[0:53:18.00]  jodido y mandándome que agarrara
[0:53:18.00]-[0:53:20.00]  que agarrara las formas.
[0:53:20.00]-[0:53:22.00]  Y allá me agarraron
[0:53:22.00]-[0:53:24.00]  las caderas.
[0:53:26.00]-[0:53:28.00]  Y bueno, me faltó
[0:53:28.00]-[0:53:30.00]  que me fui para allá.
[0:53:32.00]-[0:53:34.00]  Tuve que hacer un resonante
[0:53:34.00]-[0:53:36.00]  por cuenta mía.
[0:53:36.00]-[0:53:38.00]  ¿Por cuenta suya?
[0:53:38.00]-[0:53:40.00]  Y las medicinas tuve ahora
[0:53:40.00]-[0:53:42.00]  de marches a que ya te he acarcado.
[0:53:42.00]-[0:53:44.00]  Tú que llevas las
[0:53:44.00]-[0:53:46.00]  medicinas de casa.
[0:53:46.00]-[0:53:50.00]  Sí, pero ¿y eso?
[0:53:50.00]-[0:53:52.00]  Mare de mi.
[0:53:52.00]-[0:53:54.00]  Estoy pagando las medicinas, bueno,
[0:53:54.00]-[0:53:56.00]  estoy pagando al mes, está pagando los a mi
[0:53:56.00]-[0:53:58.00]  son 30 segundos.
[0:53:58.00]-[0:54:00.00]  Tengo que tomar algo
[0:54:00.00]-[0:54:02.00]  para el catarro,
[0:54:02.00]-[0:54:04.00]  eso no era nada más.
[0:54:04.00]-[0:54:06.00]  Pero lo normal son 28 euros
[0:54:06.00]-[0:54:08.00]  y hay que pagar todos los meses
[0:54:08.00]-[0:54:10.00]  las medicinas. Y eso que soy enfermo crónico.
[0:54:12.00]-[0:54:14.00]  Estoy tomando un jarabe
[0:54:14.00]-[0:54:16.00]  que me dieron oliendo de bebera
[0:54:16.00]-[0:54:18.00]  6 años o 7.
[0:54:20.00]-[0:54:22.00]  Y si tengo que pagar un tego
[0:54:22.00]-[0:54:24.00]  es de
[0:54:24.00]-[0:54:26.00]  50.000 medicinas.
[0:54:26.00]-[0:54:28.00]  Pues vaya hombre.
[0:54:30.00]-[0:54:32.00]  ¿Qué quieres que le diga?
[0:54:32.00]-[0:54:34.00]  Mientras nunca
[0:54:34.00]-[0:54:36.00]  tiene una paga,
[0:54:36.00]-[0:54:38.00]  o la menguen.
[0:54:38.00]-[0:54:40.00]  Pues sí,
[0:54:40.00]-[0:54:42.00]  lo verás que sí.
[0:54:42.00]-[0:54:44.00]  ¿Es otra pregunta más?
[0:54:44.00]-[0:54:46.00]  Yo creo que ya está.
[0:54:46.00]-[0:54:48.00]  ¿Más, Tobía?
[0:54:48.00]-[0:54:50.00]  Yo creo que no, ya está.
[0:54:50.00]-[0:54:52.00]  Muchísimas gracias, de verdad, nos ha ayudado
[0:54:52.00]-[0:54:54.00]  un montón.
[0:54:54.00]-[0:54:56.00]  Bueno, muchas gracias.
[0:54:56.00]-[0:54:58.00]  Una cosa, ¿cómo se llama para luego?
[0:55:00.00]-[0:55:02.00]  Igual voy a salir en televisión.
[0:55:02.00]-[0:55:04.00]  No, esto es para nosotros, no se preocupes,
[0:55:04.00]-[0:55:06.00]  es para hacer el trabajo, no lo va a ver nadie más.
[0:55:08.00]-[0:55:10.00]  Vale, vale, pues muchas gracias.
[0:55:10.00]-[0:55:12.00]  Bueno, pues muchísimas gracias por todo.
[0:55:12.00]-[0:55:14.00]  Vale, no es de estrés.
[0:55:14.00]-[0:55:16.00]  De bien, con mi acento.
[0:55:16.00]-[0:55:18.00]  Gracias.
[0:55:18.00]-[0:55:20.00]  Por cierto, para ir a Pravia ahora, ¿cómo salimos del pueblo?
[0:55:20.00]-[0:55:22.00]  ¿Vienes en coche?
[0:55:22.00]-[0:55:24.00]  Sí.
[0:55:24.00]-[0:55:26.00]  ¿Dónde tienes el coche?
[0:55:26.00]-[0:55:28.00]  En el bar.
[0:55:28.00]-[0:55:30.00]  Bueno, tiren para abajo
[0:55:30.00]-[0:55:32.00]  y a la primera curva
[0:55:32.00]-[0:55:34.00]  a la derecha, Pravia.
[0:55:34.00]-[0:55:36.00]  Vale.
[0:55:36.00]-[0:55:38.00]  Los pies de mando que hace el candamín,
[0:55:38.00]-[0:55:40.00]  el canto de mando que andamos.
[0:55:40.00]-[0:55:42.00]  Que está cerca del...
[0:55:42.00]-[0:55:44.00]  Sí, y luego
[0:55:44.00]-[0:55:46.00]  Santos Sesso, Peñaullán
[0:55:46.00]-[0:55:48.00]  y en Peñaullán a la izquierda.
[0:55:48.00]-[0:55:50.00]  Vale, vale, pues muchísimas gracias.
[0:55:50.00]-[0:55:52.00]  No hay de qué.
[0:55:52.00]-[0:55:54.00]  Pues que pasen un buen día.
[0:55:54.00]-[0:55:56.00]  Vale, gracias igual. Hasta luego.
[0:55:56.00]-[0:56:08.00]  Adiós.
