[0:00:00.00]-[0:00:02.00]  ¿Ya está?
[1:10:58.36]-[1:11:04.36]  Sí, por los años que estuve en casa, que teníamos el bar y así no iba, pues nada,
[1:11:04.36]-[1:11:10.36]  ya podía ir. Y cuando tenía a mi madre tampoco. Pero cuando se murió mi madre, se murió,
[1:11:10.36]-[1:11:16.36]  acabo de cinco años que se murió mi marido. Pues entonces, para distraerme incluso, porque
[1:11:16.36]-[1:11:24.36]  yo cogí una depresión muy grande. Los milas salían y las amigas. Pues va, va, venga,
[1:11:24.36]-[1:11:30.36]  va. Y la cuestión no dejarme quedar en casa mucho. Y desde que he dicho, bueno, pero
[1:11:30.36]-[1:11:36.36]  usted no puede ser, salgo y me voy de casa. Ya está.
[1:11:36.36]-[1:11:37.36]  A pasar tiempo.
[1:11:37.36]-[1:11:38.36]  Sí, sí.
[1:11:38.36]-[1:11:39.36]  Porque pues no puede pasar.
[1:11:39.36]-[1:11:40.36]  Y ahora estoy en...
[1:11:40.36]-[1:11:41.36]  ¿Pero no es como, eh?
[1:11:41.36]-[1:11:42.36]  Sí.
[1:11:42.36]-[1:11:43.36]  Pues yo pensaba que...
[1:11:43.36]-[1:11:49.36]  Estoy en un punto ahora que parece que no tengo nada en la cabeza. Bueno, me digo,
[1:11:49.36]-[1:11:57.36]  eh, por la depresión me digo. Pero estoy en un punto que no tengo nada en la cabeza.
[1:11:57.36]-[1:12:02.36]  Así como siempre la cabeza. Tanto en casa, como en la cabeza siempre estoy en un punto
[1:12:02.36]-[1:12:06.36]  en el que no tengo nada en la cabeza. Siempre igual. Pues ahora me distraigo bastante y ahora...
[1:12:06.36]-[1:12:09.36]  Ahora machote, ¿qué nos dijo la coche?
[1:12:09.36]-[1:12:15.36]  Pues ya te digo. Mi vida es esta. Y pronto. Y pronto.
[1:12:15.36]-[1:12:16.36]  ¿Qué dice usted?
[1:12:16.36]-[1:12:17.36]  Lo que dice es que...
[1:12:17.36]-[1:12:18.36]  ¿Qué?
[1:12:18.36]-[1:12:19.36]  Es que explica la vida.
[1:12:19.36]-[1:12:20.36]  Qué grave.
[1:12:20.36]-[1:12:21.36]  Y es que...
[1:12:21.36]-[1:12:29.36]  Ya te digo lo que... Ahora es un punto de que... Mi vida es esta ahora.
[1:12:29.36]-[1:12:35.36]  Claro. Pero bueno, también es importante estar entretenida y estar...
[1:12:35.36]-[1:12:36.36]  Sí, sí, sí, sí.
[1:12:36.36]-[1:12:40.36] ...contenta y no estar dándole vueltas a la cabeza que no es malo.
[1:12:40.36]-[1:12:43.36]  Claro. Pero si estás a casa, pues la cabeza...
[1:12:43.36]-[1:12:44.36]  Claro.
[1:12:44.36]-[1:12:45.36]  Piensas, piensas.
[1:12:45.36]-[1:12:48.36]  Supongo que también les venía muy bien el venir aquí y jugar a la casa.
[1:12:48.36]-[1:12:52.36]  Sí. Por la mañana, pues a media mañana cojo y me voy a andar un rato.
[1:12:52.36]-[1:12:57.36]  Y ahora encuentras un amigo, un vecino, pasas el rato.
[1:13:00.36]-[1:13:08.36]  Aquí, a 8 Americanos y no va a la bada. A ver, ¿cómo se llama en castellano?
[1:13:08.36]-[1:13:10.36]  No lo espera.
[1:13:10.36]-[1:13:11.36]  No va a...
[1:13:11.36]-[1:13:14.36]  Oye, ¿vale ser disperido?
[1:13:14.36]-[1:13:18.36]  Esto. Que no te desraigues cuando llegas.
[1:13:18.36]-[1:13:20.36]  Que salga todo el fuego.
[1:13:20.36]-[1:13:28.36]  Sí. Porque se juega con unas cartas y tú tienes que ser listo de no pasarte.
[1:13:28.36]-[1:13:35.36]  Porque haces unas columnas y a veces puedes cambiar de un lado para otro.
[1:13:35.36]-[1:13:41.36]  Y si tú no lo ves, pues bueno, ya está por hecho.
[1:13:41.36]-[1:13:42.36]  La piscina...
[1:13:42.36]-[1:13:43.36]  Se aprovecha.
[1:13:43.36]-[1:13:51.36]  Se aprovecha y cambia. Y por eso dicen, no vale que tienes que estar al caso.
[1:13:51.36]-[1:13:54.36]  Sí, sí.
[1:13:54.36]-[1:13:59.36]  Y por esto le dicen esto. Y a 8 Americanos.
[1:13:59.36]-[1:14:07.36]  Y a veces jugamos al parche muy pocas veces porque nos gusta todo.
[1:14:07.36]-[1:14:10.36]  Y un par de mesas casi cada vez.
[1:14:10.36]-[1:14:13.36]  Todo depende de los que son.
[1:14:13.36]-[1:14:14.36]  Sí.
[1:14:14.36]-[1:14:16.36]  Porque uno solo no puede jugar.
[1:14:16.36]-[1:14:17.36]  No.
[1:14:17.36]-[1:14:19.36]  Tienes que traer agua.
[1:14:19.36]-[1:14:20.36]  Tres o cuatro.
[1:14:20.36]-[1:14:21.36]  Y un poco de cosas.
[1:14:21.36]-[1:14:22.36]  Tres o cuatro.
[1:14:22.36]-[1:14:24.36]  Tres o cuatro mejor.
[1:14:24.36]-[1:14:25.36]  Sí.
[1:14:25.36]-[1:14:26.36]  Es difícil.
[1:14:26.36]-[1:14:31.36]  Y siete o ocho no se puede jugar. Entonces, pues, hacemos dos mesas y está.
[1:14:31.36]-[1:14:32.36]  Claro.
[1:14:32.36]-[1:14:37.36]  Bueno, ya para terminar, nos interesa mucho también saber si hay...
[1:14:37.36]-[1:14:42.36]  Claro, las personas antes eran mucho más refraneras, mucho más de...
[1:14:42.36]-[1:14:43.36]  Sí, sí, sí.
[1:14:43.36]-[1:14:46.36]  Y si usted lo sigue usando igual es.
[1:14:46.36]-[1:14:47.36]  Sí, sí, sí.
[1:14:47.36]-[1:14:48.36]  Sí, sí, sí.
[1:14:48.36]-[1:14:49.36]  Sí, sí, sí.
[1:14:49.36]-[1:14:50.36]  Ella sabe mucho.
[1:14:50.36]-[1:14:51.36]  Sí.
[1:14:51.36]-[1:14:53.36]  A ver, nos puede decir alguno.
[1:14:53.36]-[1:14:55.36]  Hombre, a por acá.
[1:14:55.36]-[1:14:58.36]  Quien madruga Dios le ayuda.
[1:14:58.36]-[1:14:59.36]  Sí.
[1:14:59.36]-[1:15:00.36]  A ver, yo me voy a pegar.
[1:15:00.36]-[1:15:07.36]  Muchas cosas hay porque ahora, porque los dichos de los abuelos, todos son ciertos, todos.
[1:15:07.36]-[1:15:08.36]  Sí.
[1:15:08.36]-[1:15:09.36]  Además, eso es una pena que se pierdan.
[1:15:09.36]-[1:15:10.36]  Sí.
[1:15:10.36]-[1:15:11.36]  Una pena.
[1:15:11.36]-[1:15:13.36]  No, aquí se usa aún, eh.
[1:15:13.36]-[1:15:15.36]  Sí, sí, sí, sí.
[1:15:15.36]-[1:15:18.36]  Y no te acostras que no sepas una cosa más.
[1:15:18.36]-[1:15:19.36]  Y muchas cosas.
[1:15:19.36]-[1:15:23.36]  Aquí se dicen muchas cosas.
[1:15:23.36]-[1:15:28.36]  Porque a veces explican una cosa y dicen, mira, esto no lo sabía yo.
[1:15:28.36]-[1:15:33.36]  Entonces te dicen, pues no te acostarás que no sepas una cosa más.
[1:15:33.36]-[1:15:38.36]  Y esto es, hay muchas cosas así.
[1:15:38.36]-[1:15:41.36]  Y es verdad, es verdad esto.
[1:15:41.36]-[1:15:46.36]  Porque por mucho que sepas siempre hay cosas nuevas.
[1:15:46.36]-[1:15:49.36]  Sí.
[1:15:49.36]-[1:15:50.36]  Pues bueno.
[1:15:50.36]-[1:15:53.36]  Pues yo creo que más o menos ya lo tenemos, ¿no?
[1:15:53.36]-[1:15:54.36]  Sí, sí.
[1:15:54.36]-[1:15:55.36]  ¿Qué es para el colegio esto?
[1:15:55.36]-[1:15:56.36]  Para la universidad.
[1:15:56.36]-[1:15:59.36]  Ah, mira, verás, que bien.
[1:15:59.36]-[1:16:02.36]  Pues bueno, mejor y que os vaya bien, ¿no?
[1:16:02.36]-[1:16:04.36]  Que lo podéis aprovechar.
[1:16:04.36]-[1:16:08.36]  Sí, no sabéis de lo muchísimo que agradecemos.
[1:16:08.36]-[1:16:09.36]  No se ha explicado así.
[1:16:09.36]-[1:16:11.36]  Ah, vale, hombre.
[1:16:11.36]-[1:16:14.36]  No se ha puesto de no conocemos las cosas.
[1:16:14.36]-[1:16:15.36]  No.
[1:16:15.36]-[1:16:18.36]  Viniendo de ciudad, es que todas esas cosas ya no se conocen.
[1:16:18.36]-[1:16:19.36]  Sí, sí, sí.
[1:16:19.36]-[1:16:21.36]  Encontraba mi abuela algunas cosillas.
[1:16:21.36]-[1:16:22.36]  Sí.
[1:16:22.36]-[1:16:23.36]  Claro, claro.
[1:16:23.36]-[1:16:28.36]  Bueno, ya la última pregunta, esta es la pregunta del millón, la pregunta un poco indiscreta.
[1:16:28.36]-[1:16:31.36]  ¿Nos podrías decir la edad que tiene?
[1:16:31.36]-[1:16:32.36]  Ay, te cuesta.
[1:16:32.36]-[1:16:34.36]  ¿Cuántos me haces?
[1:16:34.36]-[1:16:36.36]  A ver, a ver.
[1:16:36.36]-[1:16:38.36]  Esto es un compromiso.
[1:16:38.36]-[1:16:40.36]  No, no, no, no, nada de compromiso.
[1:16:40.36]-[1:16:42.36]  A ver cuántos me ponen.
[1:16:42.36]-[1:16:47.36]  No sé, no sé, yo es que soy muy mala para eso, pero vamos, sean los que sean.
[1:16:47.36]-[1:16:49.36]  No llega, no llega a 70.
[1:16:49.36]-[1:16:51.36]  Sí que llegó.
[1:16:51.36]-[1:16:54.36]  Escucha que no llega a 80.
[1:16:54.36]-[1:16:56.36]  Bueno, pues no llega a 80.
[1:16:56.36]-[1:16:57.36]  Ah, se fue.
[1:16:57.36]-[1:17:00.36]  Hombre, eso ya no lo imaginaba yo.
[1:17:00.36]-[1:17:01.36]  A ver, pon en tener.
[1:17:01.36]-[1:17:04.36]  70, 70, 70.
[1:17:04.36]-[1:17:08.36]  Y se llama, que no se lo he preguntado en toda la edad.
[1:17:08.36]-[1:17:11.36]  Mira, como yo, vamos a callar.
[1:17:11.36]-[1:17:19.36]  Pues mira, sí, pues mira, así, mira qué una casualidad.
[1:17:19.36]-[1:17:24.36]  Bueno, a ver si te servirá, si te servirá, vaya.
[1:17:24.36]-[1:17:26.36]  Si se puede hacer.
[1:17:26.36]-[1:17:29.36]  Se hacen las cosas, ¿no?
[1:17:29.36]-[1:17:31.36]  Yo me lo he pasado muy bien.
[1:17:31.36]-[1:17:32.36]  Nosotros también.
[1:17:32.36]-[1:17:33.36]  Sí, sí, sí.
[1:17:33.36]-[1:17:35.36]  Y los barri del Veneo.
[1:17:35.36]-[1:17:36.36]  No, no, no.
[1:17:36.36]-[1:17:37.36]  Pero los has que pagos.
[1:17:37.36]-[1:17:39.36]  No, no, no.
[1:17:39.36]-[1:17:43.36]  Yo digo que a lo mejor me donarán algún viaje o alguna cosa.
[1:17:43.36]-[1:17:44.36]  Pero lo que es que no.
[1:17:44.36]-[1:17:45.36]  No, no, no.
[1:17:45.36]-[1:17:48.36]  No está la universidad para esas cosas ahora.
[1:17:48.36]-[1:17:49.36]  Entonces, los he dicho.
[1:17:49.36]-[1:17:51.36]  Y a crisis no te atorgarán.
[1:17:51.36]-[1:17:53.36]  Todos crisis.
[1:17:53.36]-[1:17:55.36]  Todos crisis en todas partes.
[1:17:55.36]-[1:17:57.36]  No sepas qué haremos.
[1:17:57.36]-[1:18:01.36]  Pero bueno, vosotros estudiad.
[1:18:01.36]-[1:18:03.36]  Y aprovechadlo.
[1:18:03.36]-[1:18:04.36]  Y de dónde sois vosotros.
[1:18:04.36]-[1:18:06.36]  Y muchos que tienen carrera.
[1:18:06.36]-[1:18:07.36]  ¿Sois de Madrid?
[1:18:07.36]-[1:18:12.36]  Ay, que cerca de la princesita y el príncipe.
[1:18:12.36]-[1:18:14.36]  Y reyes, los reyes ahora.
[1:18:14.36]-[1:18:16.36]  Porque tenemos cuatro.
[1:18:16.36]-[1:18:17.36]  No, cuatro no.
[1:18:17.36]-[1:18:19.36]  ¿Tenéis cuatro reyes?
[1:18:19.36]-[1:18:22.36]  No, más tendremos que mantener dos, ¿no?
[1:18:22.36]-[1:18:23.36]  ¿Cuántos?
[1:18:23.36]-[1:18:24.36]  ¿Cuatro?
[1:18:24.36]-[1:18:25.36]  Sí, sí.
[1:18:25.36]-[1:18:26.36]  A ver.
[1:18:26.36]-[1:18:27.36]  ¿Tenemos cuatro?
[1:18:27.36]-[1:18:29.36]  Los otros dos, también los tenemos que mantener.
[1:18:29.36]-[1:18:30.36]  Claro.
[1:18:30.36]-[1:18:31.36]  Claro.
[1:18:31.36]-[1:18:32.36]  Y los cuatro.
[1:18:32.36]-[1:18:35.36]  Hombre, esto ya se pasa, ¿no?
[1:18:35.36]-[1:18:40.36]  Y todos los nietos, los ricos, tenemos que mantener los otros.
[1:18:40.36]-[1:18:41.36]  A mí me da igual.
[1:18:41.36]-[1:18:43.36]  Ya tenemos cuatro.
[1:18:43.36]-[1:18:46.36]  Y aún se quejan porque nos queremos marchar.
[1:18:46.36]-[1:18:47.36]  No se quieren marchar.
[1:18:47.36]-[1:18:51.36]  Yo me es igual hacer de aquí que de allá.
[1:18:51.36]-[1:18:53.36]  Yo soy catalana y soy española.
[1:18:53.36]-[1:18:57.36]  Y aquí no me sacan que hagan lo que quieran.
[1:18:57.36]-[1:18:59.36]  Pero yo no me es igual.
[1:18:59.36]-[1:19:03.36]  Pero, desde luego, está pagada.
[1:19:03.36]-[1:19:06.36]  Ahí.
[1:19:06.36]-[1:19:08.36]  ¿Vosotros os decís que no mostrábamos una paga, hoy?
[1:19:08.36]-[1:19:09.36]  Oita, oita, oita.
[1:19:09.36]-[1:19:15.36]  Este señor, como ves, tiene 100 años.
[1:19:15.36]-[1:19:18.36]  Por eso estamos en el momento.
[1:19:18.36]-[1:19:19.36]  Son muchos, ¿eh?
[1:19:19.36]-[1:19:21.36]  Cerca de hacer 101, ¿eh?
[1:19:21.36]-[1:19:22.36]  Sí.
[1:19:22.36]-[1:19:23.36]  Ahora, ahora.
[1:19:23.36]-[1:19:24.36]  Madre mía.
[1:19:24.36]-[1:19:25.36]  100 años.
[1:19:25.36]-[1:19:29.36]  Ya quisiera yo llenar la mitad de 20.
[1:19:29.36]-[1:19:31.36]  Pero tiene un conocimiento.
[1:19:31.36]-[1:19:36.36]  Pero, con el conocimiento que tiene él, porque si llegamos a los 100 y estamos reusas,
[1:19:36.36]-[1:19:37.36]  sí.
[1:19:37.36]-[1:19:39.36]  Muy bien, muy bien.
[1:19:39.36]-[1:19:45.36]  Si pierde esto, habrá que bajar.
[1:19:45.36]-[1:19:46.36]  Sí.
[1:19:46.36]-[1:19:47.36]  Porque, si lo perdemos, está mal.
[1:19:47.36]-[1:19:48.36]  Sí, sí, sí.
[1:19:48.36]-[1:19:49.36]  ¿Y para qué?
[1:19:49.36]-[1:19:50.36]  Yo ya lo he hecho todo.
[1:19:50.36]-[1:19:51.36]  No depende nada de ti.
[1:19:51.36]-[1:19:52.36]  No, sí.
[1:19:52.36]-[1:19:53.36]  Por eso uno no carbura.
[1:19:53.36]-[1:19:54.36]  Yo soy de esos que digo, o fuera.
[1:19:54.36]-[1:19:55.36]  No lo puedo matar.
[1:19:55.36]-[1:19:56.36]  Ayer nos hicimos lo de allá, aquello que os he dicho.
[1:19:56.36]-[1:19:57.36]  Eso ya comenzó a mi.
[1:19:57.36]-[1:19:58.36]  ¿Qué?
[1:19:58.36]-[1:19:59.36]  ¿Qué?
[1:19:59.36]-[1:20:00.36]  ¿Qué?
[1:20:00.36]-[1:20:01.36]  ¿Qué?
[1:20:01.36]-[1:20:02.36]  ¿Qué?
[1:20:02.36]-[1:20:03.36]  ¿Qué?
[1:20:03.36]-[1:20:04.36]  ¿Qué?
[1:20:04.36]-[1:20:05.36]  ¿Qué?
[1:20:05.36]-[1:20:06.36]  ¿Qué?
[1:20:06.36]-[1:20:07.36]  ¿Qué?
[1:20:07.36]-[1:20:08.36]  ¿Qué?
[1:20:08.36]-[1:20:09.36]  ¿Qué?
[1:20:09.36]-[1:20:10.36]  ¿Qué?
[1:20:10.36]-[1:20:11.36]  Ha Shakespeare no, mira...
[1:20:11.36]-[1:20:12.36]  active en CADA, que que.
[1:20:12.36]-[1:20:13.36]  Diez.
[1:20:13.36]-[1:20:16.36]  Estos que vienen, las señoritas de la CACA, detenciones...
[1:20:16.36]-[1:20:17.36]  Ah, sí.
[1:20:17.36]-[1:20:18.36]  Así.
[1:20:18.36]-[1:20:19.36]  Que nos hacen las reuniones.
[1:20:19.36]-[1:20:20.36]  La CACA.
[1:20:20.36]-[1:20:21.36]  Una charla.
[1:20:21.36]-[1:20:22.36]  ¿Qué?
[1:20:22.36]-[1:20:27.36]  Y leyeron, ayer e leyeron unos libros muy bonitos.
[1:20:27.36]-[1:20:28.36]  Un cuento?
[1:20:28.36]-[1:20:31.36]  Y este señor se lo llevó para leerlo en casa.
[1:20:31.36]-[1:20:32.36]  Eso sí, es lo de...
[1:20:32.36]-[1:20:33.36]  El Coco de La Abuelita.
[1:20:33.36]-[1:20:34.36]  Diego Xetá Phoenix.
[1:20:34.36]-[1:20:35.36]  Yate Bueninencita.
[1:20:35.36]-[1:20:36.36]  Le키 Pará no, dé páh no.
[1:20:36.36]-[1:20:37.36]  contradictente, hay que salir del ticket, no.
[1:20:37.36]-[1:20:40.36]  Yo no conozco, pero cari... todo libro es lo mismo.
[1:20:41.36]-[1:20:44.36]  Pues ayer se me llevó el paro de mi hermana a casa.
[1:20:45.36]-[1:20:47.36]  Esto yo no me iba a leer.
[1:20:48.36]-[1:20:51.36]  Pues... ya me la pasaste tiempo.
[1:20:52.36]-[1:20:54.36]  Porque me costa mucho. Siempre.
[1:20:54.36]-[1:20:56.36]  Sí, sí que me coste tiempo.
[1:20:57.36]-[1:20:58.36]  Tienes que ser nada, eh.
[1:20:59.36]-[1:21:01.36]  Cuesta, cuesta. Y muchas pras.
[1:21:03.36]-[1:21:04.36]  Y hay que ser de todo.
[1:21:04.36]-[1:21:06.36]  Sí, sí. Una mica de cada cosa.
[1:21:07.36]-[1:21:09.36]  A ver, Mato, ¿eso te mantiene la mente bien despierta?
[1:21:10.36]-[1:21:11.36]  Sí, lo hago por los años.
[1:21:12.36]-[1:21:13.36]  Sí, sí.
[1:21:14.36]-[1:21:16.36]  Hay un señor aquí que...
[1:21:17.36]-[1:21:19.36]  A ver, ¿qué es allò que está...?
[1:21:20.36]-[1:21:22.36]  ¿Cómo es allò que está, el que sientes?
[1:21:23.36]-[1:21:24.36]  Historia.
[1:21:25.36]-[1:21:26.36]  Historia. Es historiador.
[1:21:27.36]-[1:21:32.36]  Y él, pues, coge una familia del pueblo, un apellido,
[1:21:32.36]-[1:21:38.36]  y busca a todos los que están relacionados con aquel apellido.
[1:21:39.36]-[1:21:44.36]  Y él, pues, quiere saber de dónde ha salido aquel apellido.
[1:21:45.36]-[1:21:49.36]  Y cada tarde viene y a este señor se lo pregunta.
[1:21:50.36]-[1:21:59.36]  Escúchame, ¿de dónde salió, de dónde vienen los antepasados,
[1:21:59.36]-[1:22:04.36]  de dónde vivían, dónde, y aquí hay un...
[1:22:05.36]-[1:22:07.36]  ¿Dónde? ¿Dónde? ¿Dónde? ¿Dónde?
[1:22:08.36]-[1:22:11.36]  O precisamente se habla mucho de la Guardia Civil y de antes,
[1:22:12.36]-[1:22:14.36]  de los traficantes, y de antes.
[1:22:15.36]-[1:22:19.36]  Pero es que ya no sé nada de la Guerra Civil, no sé todo.
[1:22:20.36]-[1:22:25.36]  Porque a mí me corrió hace años, me hizo vida, la Guerra Civil.
[1:22:26.36]-[1:22:27.36]  Y la he sabido toda.
[1:22:27.36]-[1:22:31.36]  Bueno, ya para que sepan, para que sepan,
[1:22:32.36]-[1:22:33.36]  ¿comprendes?
[1:22:34.36]-[1:22:35.36]  Yo sé, yo sé todo.
[1:22:36.36]-[1:22:40.36]  O que hubo por reempaños, ¿sabes?
[1:22:41.36]-[1:22:42.36]  ¿Qué haces con picos?
[1:22:43.36]-[1:22:44.36]  ¿Qué es?
[1:22:45.36]-[1:22:48.36]  Porque con los antepasados, ¿dictadura?
[1:22:49.36]-[1:22:50.36]  Sí, sí.
[1:22:51.36]-[1:22:52.36]  Claro.
[1:22:52.36]-[1:22:56.36]  No, no, no, no.
