[0:00:00.00]-[0:00:02.00]  Diganme tus nombres.
[0:44:51.00]-[0:44:53.00]  Son muy largos
[0:44:53.00]-[0:44:55.00]  La mitad, hasta los tibillos
[0:44:55.00]-[0:44:57.00]  No, no, no me viene al pensamiento ahora
[0:45:03.00]-[0:45:05.00]  Me ha dejado con lo de la O
[0:45:05.00]-[0:45:07.00]  Diciendo, pero bueno
[0:45:07.00]-[0:45:09.00]  ¿Y a ti?
[0:45:09.00]-[0:45:11.00]  Tres cosas ahí en Madrid
[0:45:11.00]-[0:45:13.00]  Bonitas y de gran fama
[0:45:13.00]-[0:45:15.00]  Las chicas que nos entrevistan
[0:45:15.00]-[0:45:17.00]  y nos dejan ahora
[0:45:17.00]-[0:45:19.00]  Se nos van ahora
[0:45:19.00]-[0:45:21.00]  Hay otra cosa
[0:45:21.00]-[0:45:23.00]  En la ruta de la cancionares hay un tiburón
[0:45:23.00]-[0:45:25.00]  Con el pantalón chancho y el pelita al garzón
[0:45:39.00]-[0:45:41.00]  ¿Qué es Madrid?
[0:45:41.00]-[0:45:43.00]  ¿Qué es Madrid?
[0:45:43.00]-[0:45:45.00]  ¿Ves esa canción?
[0:45:51.00]-[0:45:53.00]  En el río Manzanares hay un tiburón
[0:45:53.00]-[0:45:55.00]  Con el pantalón chancho y el pelita al garzón
[0:45:57.00]-[0:45:59.00]  El río Manzanares está en Madrid
[0:45:59.00]-[0:46:01.00]  Sí, sí, sí
[0:46:03.00]-[0:46:05.00]  Una cosa que el que la hace
[0:46:05.00]-[0:46:07.00]  No la quiere y el que la lleva
[0:46:07.00]-[0:46:09.00]  No la ve
[0:46:09.00]-[0:46:11.00]  El que la hace no la quiere
[0:46:11.00]-[0:46:13.00]  Eso no lo sabía yo
[0:46:13.00]-[0:46:15.00]  Lleva y no la ve
[0:46:15.00]-[0:46:17.00]  El que la lleva no la ve
[0:46:17.00]-[0:46:19.00]  El que la hace no la quiere
[0:46:21.00]-[0:46:23.00]  El que la compra no lo usa
[0:46:23.00]-[0:46:25.00]  Y el que la usa no lo ve
[0:46:27.00]-[0:46:29.00]  Yo esa me la sabía
[0:46:29.00]-[0:46:31.00]  Cerca la tenemos
[0:46:31.00]-[0:46:33.00]  ¿Un árbol?
[0:46:33.00]-[0:46:35.00]  ¿Un banco?
[0:46:35.00]-[0:46:37.00]  ¿Una piedra?
[0:46:37.00]-[0:46:39.00]  ¿Una pieza?
[0:46:39.00]-[0:46:41.00]  La caja del difunto
[0:46:43.00]-[0:46:45.00]  El que la hace no la quiere
[0:46:45.00]-[0:46:47.00]  Y el que la lleva no la ve
[0:46:47.00]-[0:46:49.00]  Y el que la compra
[0:46:49.00]-[0:46:51.00]  La vende
[0:46:51.00]-[0:46:53.00]  El que la compra no la usa
[0:46:53.00]-[0:46:55.00]  Y el que lo usa no lo ve
[0:46:59.00]-[0:47:01.00]  Dos en mi vida de infancia
[0:47:01.00]-[0:47:03.00]  Se le nubian la una para vestirse a la otra
[0:47:03.00]-[0:47:05.00]  Y siempre están así
[0:47:05.00]-[0:47:07.00]  Se desnuda una y se viste la otra
[0:47:07.00]-[0:47:09.00]  Se desnuda aquella y se viste la otra
[0:47:09.00]-[0:47:11.00]  ¿Qué?
[0:47:11.00]-[0:47:13.00]  Dos señoritas en Francia
[0:47:15.00]-[0:47:17.00]  Dos señoritas en Francia
[0:47:17.00]-[0:47:19.00]  Dos señoritas en Francia
[0:47:19.00]-[0:47:21.00]  Se desnuda una y se viste la otra
[0:47:21.00]-[0:47:23.00]  Se desnuda una y se vuelve a vestir la otra
[0:47:25.00]-[0:47:27.00]  Eso también es una divineta
[0:47:27.00]-[0:47:29.00]  Claro
[0:47:29.00]-[0:47:31.00]  Y una mujer con un diente
[0:47:31.00]-[0:47:35.00]  ¿Cuánta visita tuve la gente?
[0:47:35.00]-[0:47:37.00]  ¿Qué es lo que la ve?
[0:47:37.00]-[0:47:39.00]  La virgen
[0:47:39.00]-[0:47:41.00]  Ah, la campana
[0:47:41.00]-[0:47:43.00]  ¿Cómo es eso?
[0:47:43.00]-[0:47:45.00]  ¿Qué es eso?
[0:47:45.00]-[0:47:47.00]  ¿Una campana?
[0:47:47.00]-[0:47:49.00]  Sí
[0:47:49.00]-[0:47:51.00]  ¿Qué es eso?
[0:47:51.00]-[0:47:53.00]  Avisar a toda la gente
[0:47:53.00]-[0:47:55.00]  ¿Y la de París qué era?
[0:47:55.00]-[0:47:57.00]  ¿La de Francia?
[0:47:57.00]-[0:47:59.00]  Ah, dos señoritas en Francia
[0:47:59.00]-[0:48:01.00]  Se desnuda una y se viste la otra
[0:48:01.00]-[0:48:03.00]  Sí
[0:48:03.00]-[0:48:05.00]  Has buscado hacer media
[0:48:05.00]-[0:48:07.00]  Hacer punto, hacer punto
[0:48:07.00]-[0:48:09.00]  Hacer punto, claro
[0:48:09.00]-[0:48:11.00]  Los pasos de la una a la otra
[0:48:11.00]-[0:48:13.00]  ¿No habéis visto hacer media?
[0:48:13.00]-[0:48:15.00]  Sí
[0:48:15.00]-[0:48:17.00]  A mí me enseñó mi madre
[0:48:17.00]-[0:48:19.00]  Claro, pero ya habéis visto
[0:48:19.00]-[0:48:21.00]  cómo se hace
[0:48:21.00]-[0:48:23.00]  Mi abuela hacía
[0:48:23.00]-[0:48:25.00]  Sí, hombre
[0:48:25.00]-[0:48:27.00]  Mi madre me enseñó a mí
[0:48:27.00]-[0:48:29.00]  No hacer
[0:48:29.00]-[0:48:31.00]  Bueno, una vez también
[0:48:31.00]-[0:48:33.00]  Pero más labores así de punto de cruz
[0:48:33.00]-[0:48:35.00]  De vainicas
[0:48:35.00]-[0:48:37.00]  De cordón falso
[0:48:37.00]-[0:48:39.00]  Y cosas así
[0:48:39.00]-[0:48:41.00]  Hacíamos labores
[0:48:41.00]-[0:48:43.00]  ¿Y eso es falso? ¿Eso cómo...?
[0:48:43.00]-[0:48:45.00]  Pues un cordón así, siempre así
[0:48:45.00]-[0:48:47.00]  Y hacia adelante, hacia adelante
[0:48:47.00]-[0:48:49.00]  O sea, enhebras la aguja, ¿no?
[0:48:49.00]-[0:48:51.00]  Y coser así, coger y así siempre
[0:48:51.00]-[0:48:53.00]  Y así
[0:48:53.00]-[0:48:55.00]  ¿Para hacer qué?
[0:48:55.00]-[0:48:57.00]  O sea, un color
[0:48:57.00]-[0:48:59.00]  O un dobladillo
[0:48:59.00]-[0:49:01.00]  O algo así
[0:49:01.00]-[0:49:03.00]  O una hoja de una ropa
[0:49:03.00]-[0:49:05.00]  O algo así, eso
[0:49:05.00]-[0:49:07.00]  Pero eso se los llevaban solo a las niñas
[0:49:07.00]-[0:49:09.00]  Sí, solo sí
[0:49:09.00]-[0:49:11.00]  ¿Y a los niños?
[0:49:11.00]-[0:49:13.00]  A los niños, no sé, mira
[0:49:13.00]-[0:49:15.00]  Que hacían por la tarde
[0:49:15.00]-[0:49:17.00]  Daban una hora de que
[0:49:17.00]-[0:49:19.00]  O sea, un rato para labores
[0:49:19.00]-[0:49:21.00]  Y los niños pues seguían estudiando
[0:49:21.00]-[0:49:23.00]  Cuentas o algo así
[0:49:23.00]-[0:49:25.00]  Entonces, ¿cómo ibas todos?
[0:49:25.00]-[0:49:27.00]  Ahora mismo, ¿qué decir?
[0:49:27.00]-[0:49:29.00]  ¿Qué ibas todos juntos?
[0:49:29.00]-[0:49:31.00]  El botecario y su hija, el médico y su mujer
[0:49:31.00]-[0:49:33.00]  Se partieron nueve huevos
[0:49:33.00]-[0:49:35.00]  Y les tocaron a tres
[0:49:39.00]-[0:49:41.00]  ¿Mari Vileta?
[0:49:41.00]-[0:49:43.00]  El botecario y su hija, el médico y su mujer
[0:49:43.00]-[0:49:53.00]  Se partieron nueve huevos y les tocaron a tres
[0:49:53.00]-[0:49:55.00]  El botecario era el...
[0:49:55.00]-[0:49:57.00]  El padre de la...
[0:49:57.00]-[0:49:59.00]  Claro
[0:49:59.00]-[0:50:01.00]  Y la hija del botecario estaba casada con el médico
[0:50:01.00]-[0:50:03.00]  Claro
[0:50:03.00]-[0:50:05.00]  Y eran tres
[0:50:05.00]-[0:50:07.00]  La hija del botecario era la mujer del médico
[0:50:07.00]-[0:50:09.00]  Eso
[0:50:09.00]-[0:50:11.00]  Se partieron nueve huevos y salieron a tres
[0:50:11.00]-[0:50:13.00]  Claro
[0:50:13.00]-[0:50:15.00]  ¿Qué daba más nada?
[0:50:15.00]-[0:50:17.00]  Hombre
[0:50:17.00]-[0:50:19.00]  Blanco fue mi nacimiento y encarnada mi niñez
[0:50:19.00]-[0:50:21.00]  Y ahora que soy viejecita
[0:50:21.00]-[0:50:23.00]  Hacen...
[0:50:23.00]-[0:50:25.00]  Soy mañanera que la pez
[0:50:25.00]-[0:50:27.00]  ¿Sabe tú las?
[0:50:27.00]-[0:50:29.00]  No, no
[0:50:29.00]-[0:50:31.00]  No, no, no
[0:50:31.00]-[0:50:33.00]  No la habréis visto
[0:50:33.00]-[0:50:35.00]  No, no soy niña
[0:50:35.00]-[0:50:37.00]  Blanco fue mi nacimiento y encarnada mi niñez
[0:50:37.00]-[0:50:39.00]  Y ahora que soy viejecita soy mañanera que la pez
[0:50:39.00]-[0:50:41.00]  Eso es algo correcto
[0:50:41.00]-[0:50:43.00]  Las moras, las moras
[0:50:43.00]-[0:50:45.00]  ¡A la chicas!
[0:50:45.00]-[0:50:47.00]  ¿Aquí hay?
[0:50:47.00]-[0:50:49.00]  Sí
[0:50:49.00]-[0:50:51.00]  Por ahí podemos tenerlos ahí
[0:50:51.00]-[0:50:53.00]  No es tiempo ahora, no es tiempo aún, no
[0:50:53.00]-[0:50:55.00]  Es en verano
[0:50:55.00]-[0:50:57.00]  Sí, en verano
[0:50:57.00]-[0:50:59.00]  ¿Y iban de pequeñas ahí a buscar moras?
[0:50:59.00]-[0:51:01.00]  Ya lo creo
[0:51:01.00]-[0:51:03.00]  Más no sabíamos que íbamos
[0:51:03.00]-[0:51:05.00]  Encima a la recarga
[0:51:05.00]-[0:51:07.00]  Hombre
[0:51:07.00]-[0:51:09.00]  ¿Este es un chato?
[0:51:09.00]-[0:51:11.00]  Bueno, pues a la que
[0:51:11.00]-[0:51:13.00]  Algo más, eso podemos decir
[0:51:13.00]-[0:51:15.00]  Alta el perro, blanca valdero
[0:51:15.00]-[0:51:17.00]  Capa dorada y espalda de acero
[0:51:17.00]-[0:51:19.00]  Es así que me la sabía yo
[0:51:19.00]-[0:51:21.00]  Alta el perro, blanca valdero
[0:51:21.00]-[0:51:23.00]  Capa dorada y espalda de acero
[0:51:23.00]-[0:51:25.00]  ¿Qué es?
[0:51:25.00]-[0:51:27.00]  Es algo que me la sabía de pequeña
[0:51:27.00]-[0:51:29.00]  Blanca por dentro
[0:51:29.00]-[0:51:31.00]  Verde por fuera, si quieres que te lo diga
[0:51:31.00]-[0:51:33.00]  Espera
[0:51:33.00]-[0:51:35.00]  Eso no es verdad
[0:51:35.00]-[0:51:37.00]  No, pero alta el perro
[0:51:37.00]-[0:51:39.00]  El Cristo
[0:51:39.00]-[0:51:41.00]  Ya sigo yo lo que me debe a ello
[0:51:41.00]-[0:51:43.00]  Yo
[0:51:43.00]-[0:51:45.00]  Yo la sabía yo la vida
[0:51:45.00]-[0:51:47.00]  ¿Qué era?
[0:51:47.00]-[0:51:49.00]  Alta el perro
[0:51:49.00]-[0:51:51.00]  Alta el perro, blanca valdero
[0:51:51.00]-[0:51:53.00]  El gallo, el gallo
[0:51:53.00]-[0:51:55.00]  Eso, sí
[0:51:55.00]-[0:51:57.00]  Lo tenía yo en un libro
[0:51:57.00]-[0:51:59.00]  A ver, esto de adivinatas
[0:51:59.00]-[0:52:01.00]  Sí, sí
[0:52:01.00]-[0:52:03.00]  Bueno, pues nada, vamos a buscar
[0:52:03.00]-[0:52:05.00]  Blanco, blanco, blanco
[0:52:05.00]-[0:52:07.00]  Después de ver, me vestí
[0:52:07.00]-[0:52:09.00]  Y ahora que estoy de luto, hace el apacio de mí
[0:52:09.00]-[0:52:11.00]  Pues atrás
[0:52:11.00]-[0:52:13.00]  Pues ala, también
[0:52:13.00]-[0:52:15.00]  Venga, venga
[0:52:15.00]-[0:52:17.00]  Venga, muchísimas gracias
[0:52:17.00]-[0:52:19.00]  Bueno, si podemos empezar
[0:52:19.00]-[0:52:21.00]  En mi sitio
[0:52:21.00]-[0:52:23.00]  Si no puedo meter su nombre, por favor
[0:52:23.00]-[0:52:25.00]  Pues sí
[0:52:25.00]-[0:52:27.00]  Eso, también el muro de Ronda
[0:52:27.00]-[0:52:29.00]  Provincia Huesca
[0:52:29.00]-[0:52:31.00]  Provincia Huesca
[0:52:31.00]-[0:52:33.00]  Y la edad, más o menos
[0:52:33.00]-[0:52:35.00]  La edad es 67 años
[0:52:35.00]-[0:52:37.00]  67
[0:52:37.00]-[0:52:39.00]  Sí
[0:52:39.00]-[0:52:41.00]  67 años, que he trabajado mucho
[0:52:41.00]-[0:52:43.00]  Toda mi vida he trabajado mucho
[0:52:43.00]-[0:52:45.00]  Porque entonces no tenía nuestras comodidades
[0:52:45.00]-[0:52:47.00]  Que tenemos ahora
[0:52:47.00]-[0:52:49.00]  Tenía que lavar a mano ocho para ocho personas
[0:52:49.00]-[0:52:51.00]  Tenía que cargar
[0:52:51.00]-[0:52:53.00]  Cargar agua calderetas
[0:52:53.00]-[0:52:55.00]  Y eso todo
[0:52:55.00]-[0:52:57.00]  Y pues muchas faenas así
[0:52:57.00]-[0:52:59.00]  Mucho, muchas faenas así
[0:52:59.00]-[0:53:01.00]  Así que era más difícil
[0:53:01.00]-[0:53:03.00]  Sí, era más difícil
[0:53:03.00]-[0:53:05.00]  Ahora vivimos de otra manera mejor
[0:53:05.00]-[0:53:07.00]  Con todas las comodidades que tenemos
[0:53:09.00]-[0:53:11.00]  Sí
[0:53:11.00]-[0:53:13.00]  ¿Qué tal la misa?
[0:53:13.00]-[0:53:15.00]  Muy bien, eso nos gusta
[0:53:15.00]-[0:53:17.00]  Muy majo, muy agradable
[0:53:17.00]-[0:53:19.00]  Ya ven, cantan aquí
[0:53:19.00]-[0:53:21.00]  Anima mucho
[0:53:21.00]-[0:53:23.00]  Esto es un poco pesado, eh
[0:53:23.00]-[0:53:25.00]  Claro, hubierais podido entrar
[0:53:25.00]-[0:53:27.00]  Animar un poco
[0:53:27.00]-[0:53:29.00]  ¿Te gustaban los pocos?
[0:53:29.00]-[0:53:31.00]  Así que la gente... pero bueno
[0:53:31.00]-[0:53:33.00]  La gente... hombre, no, poquitos
[0:53:33.00]-[0:53:35.00]  La gente no suele ir a misa
[0:53:35.00]-[0:53:37.00]  Pues bueno, hay días que vienen más
[0:53:37.00]-[0:53:39.00]  Otros días vienen menos
[0:53:39.00]-[0:53:41.00]  Pero no viene... viene domingo pardotro
[0:53:41.00]-[0:53:43.00]  No viene todos los domingos
[0:53:43.00]-[0:53:45.00]  Y hay fiestas, sí
[0:53:45.00]-[0:53:47.00]  Pero no somos muchos en este pueblo
[0:53:47.00]-[0:53:49.00]  Y no viene gente joven
[0:53:49.00]-[0:53:51.00]  Pocas
[0:53:51.00]-[0:53:53.00]  Pocas gente joven
[0:53:53.00]-[0:53:55.00]  Pocas gente joven
[0:53:55.00]-[0:53:57.00]  Eso sí, de otra manera
[0:53:57.00]-[0:53:59.00]  De otra manera
[0:53:59.00]-[0:54:01.00]  Una pregunta, lo de...
[0:54:01.00]-[0:54:03.00]  A ver, por ejemplo
[0:54:03.00]-[0:54:05.00]  Para centrar más el tema de esto
[0:54:05.00]-[0:54:07.00]  ¿Cómo era la educación antes?
[0:54:07.00]-[0:54:09.00]  Pues no sé, mejor que ahora
[0:54:09.00]-[0:54:11.00]  Mejor que ahora
[0:54:11.00]-[0:54:13.00]  Mejor, porque había más respeto
[0:54:13.00]-[0:54:15.00]  ¿Para qué vamos a engañar?
[0:54:15.00]-[0:54:17.00]  Era mejor...
[0:54:17.00]-[0:54:19.00]  Ahora, porque la gente...
[0:54:19.00]-[0:54:21.00]  Tenía otro ambiente que ahora
[0:54:21.00]-[0:54:23.00]  Era el mar de su casa
[0:54:23.00]-[0:54:25.00]  Había mucha comunicación
[0:54:25.00]-[0:54:27.00]  Ahora hay muy poca comunicación
[0:54:27.00]-[0:54:29.00]  Con la gente joven
[0:54:29.00]-[0:54:31.00]  Porque las televisiones, el fútbol
[0:54:31.00]-[0:54:33.00]  Eso lo estropea todo
[0:54:33.00]-[0:54:35.00]  Eso lo estropea todo, las familias
[0:54:35.00]-[0:54:37.00]  O sea, que había más compañerinas
[0:54:37.00]-[0:54:39.00]  Más, más, sí
[0:54:39.00]-[0:54:41.00]  Había ancianos más casas y estaban siempre
[0:54:41.00]-[0:54:43.00]  Muy atendidos ahora
[0:54:43.00]-[0:54:45.00]  A las residencias, porque todo el mundo trabaja
[0:54:45.00]-[0:54:47.00]  Y nadie tiene tiempo de ocuparse de la gente mayor
[0:54:47.00]-[0:54:49.00]  ¿Y si hay contacto con algún compañero?
[0:54:49.00]-[0:54:51.00]  No sé que tengo a mi marido
[0:54:51.00]-[0:54:53.00]  Ah, ¿ahí iba un compañero de colegio?
[0:54:53.00]-[0:54:55.00]  Ah, no, no, no
[0:54:55.00]-[0:54:57.00]  ¿No era un resuadrido?
[0:54:57.00]-[0:54:59.00]  No, no, no
[0:54:59.00]-[0:55:01.00]  No tengo un de colegio, no
[0:55:01.00]-[0:55:03.00]  Yo tengo amigas
[0:55:03.00]-[0:55:05.00]  Amigas aún de colegio, sí, pero chicos no
[0:55:05.00]-[0:55:07.00]  Amigas sí tengo
[0:55:07.00]-[0:55:09.00]  Un de colegio, cuando íbamos
[0:55:09.00]-[0:55:11.00]  Hoy teníamos fin
[0:55:11.00]-[0:55:13.00]  Allá en Puebla, Fumanal
[0:55:13.00]-[0:55:15.00]  Que teníamos una hora de ir y otra de volver
[0:55:15.00]-[0:55:17.00]  Pues ya es
[0:55:17.00]-[0:55:19.00]  Y todos íbamos por unos pilares como por ahí arriba
[0:55:19.00]-[0:55:21.00]  En un caminito
[0:55:21.00]-[0:55:23.00]  Así de estrecho
[0:55:23.00]-[0:55:25.00]  ¿Y era un colegio, un mixto?
[0:55:25.00]-[0:55:27.00]  Sí, sí, sí
[0:55:27.00]-[0:55:29.00]  ¿Y cuantas personas había?
[0:55:29.00]-[0:55:31.00]  Pues entonces igual estaban unos 30 o 40
[0:55:31.00]-[0:55:33.00]  En esa escuela y había solo un maestro
[0:55:33.00]-[0:55:35.00]  ¿Y gente de diferentes edades?
[0:55:35.00]-[0:55:37.00]  Pues también
[0:55:37.00]-[0:55:39.00]  Porque tenía que coger de todas edades
[0:55:39.00]-[0:55:41.00]  Porque como no más había un maestro
[0:55:41.00]-[0:55:43.00]  Para todos, pues
[0:55:43.00]-[0:55:45.00]  ¿Y el maestro? Pues bien
[0:55:45.00]-[0:55:47.00]  Entonces si hacía falta dar un cachate
[0:55:47.00]-[0:55:49.00]  Nadie respiraba
[0:55:49.00]-[0:55:51.00]  Que ahora nadie les puede tocar ni les puede decir nada
[0:55:51.00]-[0:55:53.00]  Si les tocas es peor
[0:55:53.00]-[0:55:55.00]  Si les tocas es peor
[0:55:55.00]-[0:55:57.00]  ¿A usted les tocaba?
[0:55:57.00]-[0:55:59.00]  Por su sol, una vez nos tocaba
[0:55:59.00]-[0:56:01.00]  Pero por eso contentos
[0:56:01.00]-[0:56:03.00]  Hacían como ahora
[0:56:03.00]-[0:56:05.00]  Que mueven jaleos y de todo
[0:56:05.00]-[0:56:07.00]  En vez de
[0:56:07.00]-[0:56:09.00]  Que tendrían que sus padres salir
[0:56:09.00]-[0:56:11.00]  Por sus hijos, pues esto al contrario
[0:56:11.00]-[0:56:13.00]  Aún se les
[0:56:13.00]-[0:56:15.00]  Van en favor y así es que como la gente
[0:56:15.00]-[0:56:17.00]  Es joven está muy un poco desbordinada
[0:56:17.00]-[0:56:19.00]  ¿Y antes había que obedecer?
[0:56:19.00]-[0:56:21.00]  Antes había que obedecer, sí
[0:56:21.00]-[0:56:23.00]  Como no hiciste, será mucho peor
[0:56:23.00]-[0:56:25.00]  ¿Y os mandaban deberes?
[0:56:25.00]-[0:56:27.00]  Hoy también
[0:56:27.00]-[0:56:29.00]  ¿Y por qué? ¿Qué les hacían hacer?
[0:56:29.00]-[0:56:31.00]  Pues llevar cuentas, llevar más cuentas
[0:56:31.00]-[0:56:33.00]  De restar, multiplicar, dividir
[0:56:33.00]-[0:56:35.00]  ¿Y tenían libros?
[0:56:35.00]-[0:56:37.00]  Sí, libros teníamos
[0:56:37.00]-[0:56:39.00]  Pues para las asignaturas
[0:56:39.00]-[0:56:41.00]  Que hacían, pues sí teníamos libros
[0:56:41.00]-[0:56:43.00]  ¿Y qué asignaturas daban?
[0:56:43.00]-[0:56:45.00]  Pues matemáticas
[0:56:45.00]-[0:56:47.00]  Lengua, historia, religión
[0:56:47.00]-[0:56:49.00]  ¿De todo un poco?
[0:56:49.00]-[0:56:51.00]  Sí, de todo un poco
[0:56:51.00]-[0:56:53.00]  Y bueno
[0:56:53.00]-[0:56:55.00]  Cuando se
[0:56:55.00]-[0:56:57.00]  Cuando se
[0:56:57.00]-[0:56:59.00]  Aprendía a escribir y leer
[0:56:59.00]-[0:57:01.00]  ¿Era el primer año?
[0:57:01.00]-[0:57:03.00]  Pues no, porque antes
[0:57:03.00]-[0:57:05.00]  Iban a escondernos y teníamos ya seis o siete
[0:57:05.00]-[0:57:07.00]  Años u ocho años, porque como
[0:57:07.00]-[0:57:09.00]  Había que ir por aquellos caminos y más
[0:57:09.00]-[0:57:11.00]  De una hora a otra, de volver nos teníamos que llevar
[0:57:11.00]-[0:57:13.00]  La comida en una ciambrereta
[0:57:13.00]-[0:57:15.00]  Se decía
[0:57:15.00]-[0:57:17.00]  Pan y pues bueno
[0:57:17.00]-[0:57:19.00]  Podías, tortilla, pues lo que se podía
[0:57:19.00]-[0:57:21.00]  En aquellos tiempos
[0:57:21.00]-[0:57:23.00]  No había tantas cosas como ahora
[0:57:23.00]-[0:57:25.00]  Pero comíamos
[0:57:25.00]-[0:57:27.00]  Allí, nos la calentábamos
[0:57:27.00]-[0:57:29.00]  Y comíamos allí todos
[0:57:29.00]-[0:57:31.00]  Un grupo
[0:57:31.00]-[0:57:33.00]  Y también se pasaba bien
[0:57:33.00]-[0:57:35.00]  Era otra época pero
[0:57:35.00]-[0:57:37.00]  Pues bueno, en cada época
[0:57:37.00]-[0:57:39.00]  También había cosas buenas
[0:57:39.00]-[0:57:41.00]  Y una pregunta
[0:57:41.00]-[0:57:43.00]  Cuando a los profesores a lo mejor les castigaban
[0:57:43.00]-[0:57:45.00]  O esto
[0:57:45.00]-[0:57:47.00]  Me ha dicho que a los padres apoyaban a los profesores
[0:57:47.00]-[0:57:49.00]  Sí, sí, sí
[0:57:49.00]-[0:57:51.00]  Los padres apoyaban a los profesores siempre
[0:57:51.00]-[0:57:53.00]  Y luego encima en caso más castigo
[0:57:53.00]-[0:57:55.00]  Bueno, tampoco
[0:57:55.00]-[0:57:57.00]  No es que te castigaran mucho
[0:57:57.00]-[0:57:59.00]  Porque bueno, tampoco le daban muchos motivos
[0:57:59.00]-[0:58:01.00]  Para que te castigaran, pero
[0:58:01.00]-[0:58:03.00]  Pero eso que no, no
[0:58:03.00]-[0:58:05.00]  Siempre, todo diferente
[0:58:05.00]-[0:58:07.00]  De ahora, siempre apoyar a los
[0:58:07.00]-[0:58:09.00]  Profesores, si te reñen o algo
[0:58:09.00]-[0:58:11.00]  Para algo pues siempre apoyaban
[0:58:11.00]-[0:58:13.00]  A los profesores
[0:58:13.00]-[0:58:15.00]  Pero ahora es todo diferente
[0:58:15.00]-[0:58:17.00]  Claro, tiene que ver
[0:58:17.00]-[0:58:19.00]  Pero en su casa que tenía
[0:58:19.00]-[0:58:21.00]  Sus dos padres, ¿tabas con hermanos?
[0:58:21.00]-[0:58:23.00]  Sí, una tenía una hermana
[0:58:23.00]-[0:58:25.00]  Una hermana que está casada en Zaragoza
[0:58:25.00]-[0:58:27.00]  Cuatro años más que yo
[0:58:27.00]-[0:58:29.00]  Y no estaban bien
[0:58:29.00]-[0:58:31.00]  Sí, estaban muy bien
[0:58:31.00]-[0:58:33.00]  Estaba bien un tío, estaba mi yayo
[0:58:33.00]-[0:58:35.00]  Que murió de 96 años
[0:58:35.00]-[0:58:37.00]  Era muy mayor, había estado en la guerra de Cuba
[0:58:37.00]-[0:58:39.00]  Estuvo en Cuba
[0:58:39.00]-[0:58:41.00]  Y hoy era muy listo
[0:58:41.00]-[0:58:43.00]  Tenía muy buena letra
[0:58:43.00]-[0:58:45.00]  Y eso, era muy listo
[0:58:45.00]-[0:58:47.00]  Sí, sí
[0:58:47.00]-[0:58:49.00]  Era muy listo
[0:58:49.00]-[0:58:51.00]  En aquellos tiempos tenía una letra
[0:58:51.00]-[0:58:53.00]  Que fue de ojos
[0:58:53.00]-[0:58:55.00]  Me daba gusto
[0:58:55.00]-[0:58:57.00]  Pero vivía
[0:58:57.00]-[0:58:59.00]  Todos juntos
[0:58:59.00]-[0:59:01.00]  Todos juntos en casa
[0:59:01.00]-[0:59:03.00]  Y cada una casa grande
[0:59:03.00]-[0:59:05.00]  Con dos plantas
[0:59:05.00]-[0:59:07.00]  Y todos vivíamos allí
[0:59:07.00]-[0:59:09.00]  Estaban siete personas
[0:59:09.00]-[0:59:11.00]  Y en la vecina estaban doce personas
[0:59:11.00]-[0:59:13.00]  Allí estaban muchos más que en mi casa
[0:59:13.00]-[0:59:15.00]  Era una aldea que solo estaban las cuatro casas
[0:59:15.00]-[0:59:17.00]  Y en una solo estaban tres personas
[0:59:17.00]-[0:59:19.00]  En otra cuatro
[0:59:19.00]-[0:59:21.00]  Y en la otra estaban diez o doce
[0:59:21.00]-[0:59:23.00]  Y en la nuestra estaban los siete
[0:59:23.00]-[0:59:25.00]  Allí todos se vivía juntos
[0:59:25.00]-[0:59:27.00]  ¿Y las casas que las hacían?
[0:59:27.00]-[0:59:29.00]  ¿Las que hacían sus padres?
[0:59:29.00]-[0:59:31.00]  Bueno, pues eso ya la encontramos
[0:59:31.00]-[0:59:33.00]  Ya la encontraron hecha
[0:59:33.00]-[0:59:35.00]  Todo tal como se hablaba
[0:59:35.00]-[0:59:37.00]  Ya la encontraron hecha
[0:59:37.00]-[0:59:39.00]  ¿Arreglaron?
[0:59:39.00]-[0:59:41.00]  No, en aquellos tiempos no
[0:59:41.00]-[0:59:43.00]  No los arreglaban
[0:59:43.00]-[0:59:45.00]  La única cosa que se hacía era blanquearlas
[0:59:45.00]-[0:59:47.00]  Blanquearlas había mucho de piedra también
[0:59:47.00]-[0:59:49.00]  Pero lo único que se hacía
[0:59:49.00]-[0:59:51.00]  Mejoras los hacía
[0:59:51.00]-[0:59:53.00]  Porque no había dinero en aquellos tiempos
[0:59:53.00]-[0:59:55.00]  Blanquearlas
[0:59:55.00]-[0:59:57.00]  Blanquearlas paredes
[0:59:57.00]-[0:59:59.00]  Pintarlas
[0:59:59.00]-[1:00:01.00]  Pintarlas, eso
[1:00:01.00]-[1:00:03.00]  ¿Y te habías preguntado
[1:00:03.00]-[1:00:05.00]  Oye, qué se hacía?
[1:00:05.00]-[1:00:07.00]  ¿Alguna tradición, los familiares?
[1:00:07.00]-[1:00:09.00]  Pues eso, pues hacía fiestas
[1:00:09.00]-[1:00:11.00]  Cuando se mataba al cerdo
[1:00:11.00]-[1:00:13.00]  Pues iban a ir de una casa para otra
[1:00:13.00]-[1:00:15.00]  Y asabanos tortetas en el fuego
[1:00:15.00]-[1:00:17.00]  Y después quitabanos uvas
[1:00:17.00]-[1:00:19.00]  Y agua para azúcar
[1:00:19.00]-[1:00:21.00]  Vamos a la colación
