[0:00:00.00]-[0:00:01.00]  ¿Y por qué?
[0:47:27.20]-[0:47:32.20]  ¿Son como harina, una especie de harina con anís, con miguitas de pan también?
[0:47:32.20]-[0:47:34.20]  No, no, no, de eso no, de eso no.
[0:47:34.20]-[0:47:39.20]  ¿Tienen algún otro postre que hagan también, pues a lo mejor navidades, algo típico que hagan aquí, no?
[0:47:39.20]-[0:47:42.20]  No, no, no, aquí arroz con leche, no.
[0:47:42.20]-[0:47:54.20]  El vino quemado, sí, vino quemado, quemado pues se quema el vino y se pone frutas, se echan ciruelas, se echan pasas, se echan orejones y de todo eso.
[0:47:54.20]-[0:48:00.20]  Higos secos y se quema el vino, bueno, se pone a cocer eso con el vino y se quema.
[0:48:00.20]-[0:48:01.20]  Muy bien.
[0:48:01.20]-[0:48:03.20]  Luego se bebe como del tiempo.
[0:48:03.20]-[0:48:05.20]  Sí, sí, se bebe fresco, frío.
[0:48:05.20]-[0:48:06.20]  No se bebe...
[0:48:06.20]-[0:48:08.20]  Sí, se bebe frío, sí.
[0:48:09.20]-[0:48:13.20]  Muy bien. ¿Polvorones o roscón o alguna... hacen ustedes postres de ese tipo, no?
[0:48:13.20]-[0:48:17.20]  No, no, no, no, no. Esto madalenas.
[0:48:17.20]-[0:48:18.20]  ¿Cómo las hacen ustedes las madalenas?
[0:48:18.20]-[0:48:24.20]  Las madalenas pues con huevo y harina, las madalenas.
[0:48:24.20]-[0:48:26.20]  ¿Sigue usted por ahí cocinando?
[0:48:26.20]-[0:48:28.20]  Ay, hijo mío, no. La cocina no me gusta.
[0:48:28.20]-[0:48:29.20]  ¿No le gusta?
[0:48:29.20]-[0:48:30.20]  No.
[0:48:30.20]-[0:48:31.20]  ¿No le ha gustado nunca o no le gusta ahora?
[0:48:31.20]-[0:48:32.20]  No, no me gusta nunca.
[0:48:32.20]-[0:48:33.20]  Ya.
[0:48:33.20]-[0:48:34.20]  Nunca.
[0:48:34.20]-[0:48:35.20]  ¿Y quién ha cocinado en su casa entonces?
[0:48:35.20]-[0:48:40.20]  Mi madre siempre. Yo hasta que se murió la que tenía, 60 años, entonces tuve que aprender.
[0:48:40.20]-[0:48:41.20]  Claro.
[0:48:41.20]-[0:48:44.20]  No me quedó más remedio. Me quedé sola, pues había de comer.
[0:48:44.20]-[0:48:45.20]  Ya, ya.
[0:48:45.20]-[0:48:46.20]  Le tenía que hacer la comida.
[0:48:46.20]-[0:48:48.20]  Ya.
[0:48:48.20]-[0:48:52.20]  ¿Y hasta qué punto la madre se ocupaba, bueno, por respeto a los padres?
[0:48:52.20]-[0:48:55.20]  Hoy pues mi madre mientras vivió.
[0:48:55.20]-[0:48:56.20]  O sea de educación en los niños.
[0:48:56.20]-[0:49:03.20]  Mientras vivió, me parece que estuvo tres o cuatro meses enferma que fue cuando ya no se preocupaba de la comida.
[0:49:03.20]-[0:49:04.20]  Ajá.
[0:49:04.20]-[0:49:08.20]  Sí, pero mientras vivió ella.
[0:49:08.20]-[0:49:12.20]  Yo me daba rola a la cocinilla.
[0:49:12.20]-[0:49:13.20]  Pasaba de largo.
[0:49:13.20]-[0:49:17.20]  ¿Y la madre también además del padre como que, bueno, se reprochaba o...?
[0:49:17.20]-[0:49:19.20]  No, no, no discutían mucho, no.
[0:49:19.20]-[0:49:23.20]  Hombre, alguna targata siempre se echaban, pero no, no discutir mucho, no.
[0:49:23.20]-[0:49:24.20]  Ajá.
[0:49:24.20]-[0:49:25.20]  No.
[0:49:31.20]-[0:49:33.20]  ¿Cómo se llama el pueblo de San Arrito? ¿Aquí está bien?
[0:49:33.20]-[0:49:35.20]  Eh, ¿cuál es el pueblo?
[0:49:35.20]-[0:49:37.20]  ¿Será el que lo abandonó? ¿No se conoce?
[0:49:37.20]-[0:49:38.20]  Rusta.
[0:49:38.20]-[0:49:40.20]  No recuerdo, es que hemos pasado antes por un pueblo antes.
[0:49:40.20]-[0:49:41.20]  ¿Por qué no se conoce?
[0:49:41.20]-[0:49:43.20]  Ordués.
[0:49:43.20]-[0:49:45.20]  Antes de llegar a Navarín.
[0:49:45.20]-[0:49:46.20]  Sí.
[0:49:46.20]-[0:49:51.20]  Eso es particular, eso es de un tal mola de un castillo.
[0:49:51.20]-[0:49:53.20]  Hemos entrado y no...
[0:49:53.20]-[0:49:55.20]  No, no, no hay nadie, no hay nadie.
[0:49:55.20]-[0:49:57.20]  ¿No hay nadie allí o...?
[0:49:57.20]-[0:50:01.20]  Sí, a lo mejor algún camión de a sacar cebada o algo.
[0:50:01.20]-[0:50:03.20]  En Ordués sí, no hay nadie, no.
[0:50:03.20]-[0:50:06.20]  A ver, otra cosa.
[0:50:06.20]-[0:50:09.20]  Dígame exactamente qué cambios ve de la vida entonces.
[0:50:09.20]-[0:50:12.20]  Bueno, no exactamente todos, ¿no? Pero bueno, un poco qué le viene a la cabeza.
[0:50:12.20]-[0:50:15.20]  ¿Qué cambios ve de la vida de entonces a la vida de ahora?
[0:50:15.20]-[0:50:17.20]  Ay, pues muchos, que todo el mundo vive mucho, mucho mejor.
[0:50:17.20]-[0:50:19.20]  ¿Ustedes viven mejor? ¿Usted misma?
[0:50:19.20]-[0:50:23.20]  Sí, yo sí, yo vivo mejor, mejor, pero mucho, mucho mejor, eh.
[0:50:23.20]-[0:50:24.20]  Ya.
[0:50:24.20]-[0:50:25.20]  No poco, mucho.
[0:50:25.20]-[0:50:26.20]  Ya.
[0:50:26.20]-[0:50:27.20]  Mucho mejor.
[0:50:27.20]-[0:50:28.20]  ¿A qué?
[0:50:28.20]-[0:50:32.20]  Porque antes tenías un euro, coño, y no disponías del euro porque...
[0:50:32.20]-[0:50:34.20]  He dicho del euro, no, del duro.
[0:50:34.20]-[0:50:35.20]  Ah.
[0:50:35.20]-[0:50:37.20]  Ahora digo del duro.
[0:50:37.20]-[0:50:40.20]  Y no disponías porque no era tuyo.
[0:50:40.20]-[0:50:41.20]  Ya.
[0:50:41.20]-[0:50:43.20]  Y ahora pues vives con lo tuyo.
[0:50:43.20]-[0:50:44.20]  Ya.
[0:50:44.20]-[0:50:46.20]  No necesitas ir a ningún sitio ni mirar ninguna cara.
[0:50:46.20]-[0:50:47.20]  Vives con lo tuyo.
[0:50:47.20]-[0:50:48.20]  Ya.
[0:50:48.20]-[0:50:52.20]  Y se vivía, y en todos los aspectos se vive mucho mejor ahora que antes.
[0:50:52.20]-[0:50:54.20]  ¿Qué tal pasó este mes la peseta alegre?
[0:50:54.20]-[0:50:56.20]  Ah, yo bien, bien.
[0:50:56.20]-[0:50:58.20]  Nada, me voy remediando, bien.
[0:50:58.20]-[0:50:59.20]  ¿Se vivió muy bien?
[0:50:59.20]-[0:51:01.20]  Yo bien, pasó, sí.
[0:51:01.20]-[0:51:05.20]  Lo malo que si pasa de 50 euros ya no, ya me trifunca la cabeza.
[0:51:05.20]-[0:51:11.20]  Hasta los 50 aún voy bien, pero pasa de 50, nada, eso es que llevo la cabeza.
[0:51:11.20]-[0:51:12.20]  Ya.
[0:51:12.20]-[0:51:17.20]  Una pregunta, si volviera usted al tiempo, a cuando, a lo mejor diez años,
[0:51:17.20]-[0:51:23.20]  si volviera usted entonces, ¿qué haría que no hizo entonces con la idea de la vida que tiene ahora?
[0:51:23.20]-[0:51:25.20]  Uy, niño, ¿pa' qué?
[0:51:25.20]-[0:51:26.20]  Dígame.
[0:51:26.20]-[0:51:29.20]  No quiero ni pensarlo lo que haría, cualquiera sabe lo que haría.
[0:51:29.20]-[0:51:31.20]  Madre mía, lo que haría yo.
[0:51:31.20]-[0:51:32.20]  Pues dígame algo.
[0:51:32.20]-[0:51:34.20]  Sí, hijo mío, pues sí que te puedo decir.
[0:51:34.20]-[0:51:35.20]  Que te puedo decir.
[0:51:35.20]-[0:51:36.20]  Un sueño que no me interesa.
[0:51:36.20]-[0:51:39.20]  Cambiaría de todo, y joven, que fuera joven, eh.
[0:51:39.20]-[0:51:42.20]  Sí, sí, decimos, pues eso, quince, dieciocho, años, veinte.
[0:51:42.20]-[0:51:44.20]  Pues vivir la vida de otra manera.
[0:51:44.20]-[0:51:45.20]  Mhm.
[0:51:45.20]-[0:51:46.20]  Vivir la vida de otra manera.
[0:51:46.20]-[0:51:47.20]  Ya.
[0:51:47.20]-[0:51:54.20]  De no ir por esos barrancos a pasar calor, y a lavar, y a la huerta,
[0:51:54.20]-[0:51:58.20]  a llevar agua pa' regar, y todo eso viviría de otra manera.
[0:51:58.20]-[0:51:59.20]  Ya.
[0:51:59.20]-[0:52:05.20]  Por ejemplo, bueno, un sueño que siempre ha tenido y que nunca pudo comorabilizar porque...
[0:52:05.20]-[0:52:06.20]  Ay, hijo mío.
[0:52:06.20]-[0:52:07.20]  Por los medios.
[0:52:07.20]-[0:52:08.20]  Me parece que no he tenido esos sueños.
[0:52:08.20]-[0:52:09.20]  No.
[0:52:09.20]-[0:52:15.20]  No, no he tenido yo nunca, si... os lo puedo decir, eh.
[0:52:15.20]-[0:52:21.20]  No he soñado nunca ni en grandezas, ni en... ni en vestidos bonitos.
[0:52:21.20]-[0:52:26.20]  No, no, no sé si... no sé cómo he sido, porque no me lo explico ni yo.
[0:52:26.20]-[0:52:29.20]  Simplemente, pero feliz conformado con lo que has tenido.
[0:52:29.20]-[0:52:31.20]  Sí, me he conformado con lo que he tenido, oye.
[0:52:31.20]-[0:52:32.20]  Muy bien.
[0:52:32.20]-[0:52:37.20]  Mira, eso sí es verdad, no he añorado más ni nada, me he conformado con lo que he tenido.
[0:52:37.20]-[0:52:40.20]  Y feliz, y toda la vida he vivido muy feliz.
[0:52:40.20]-[0:52:41.20]  Mhm.
[0:52:41.20]-[0:52:42.20]  Toda.
[0:52:42.20]-[0:52:43.20]  ¿Ha salido usted alguna vez de viaje?
[0:52:43.20]-[0:52:44.20]  Sí.
[0:52:44.20]-[0:52:46.20]  Incluso por España, ¿fuera de España ha salido?
[0:52:46.20]-[0:52:47.20]  No, no, no, fuera de España.
[0:52:47.20]-[0:52:48.20]  Sí, España.
[0:52:48.20]-[0:52:49.20]  Ay, mi hijo mío, contento que fui a Barcelona.
[0:52:49.20]-[0:52:52.20]  Ay, madre mía, fuera de España.
[0:52:52.20]-[0:52:53.20]  ¿Qué le parece Barcelona?
[0:52:53.20]-[0:52:54.20]  ¿Cuándo fue?
[0:52:54.20]-[0:52:55.20]  Muy majo.
[0:52:55.20]-[0:52:56.20]  ¿Cuándo fue?
[0:52:56.20]-[0:52:58.20]  Uy, hombre, ¿cuándo voy a ir?
[0:52:58.20]-[0:53:02.20]  En la mejor vida de... en viaje de novios.
[0:53:02.20]-[0:53:04.20]  Ah, ah, fuera de Barcelona.
[0:53:04.20]-[0:53:07.20]  Fíjate, por eso te digo que me pareció muy majo.
[0:53:07.20]-[0:53:08.20]  Ya.
[0:53:08.20]-[0:53:09.20]  Así que fíjate tú.
[0:53:09.20]-[0:53:10.20]  Pero vio Barcelona entonces.
[0:53:10.20]-[0:53:11.20]  Hombre, y bien.
[0:53:11.20]-[0:53:13.20]  Y bien la vi, bien.
[0:53:13.20]-[0:53:14.20]  Ya, ya, ya.
[0:53:14.20]-[0:53:15.20]  Bien, bien la vi.
[0:53:15.20]-[0:53:16.20]  Pues sí.
[0:53:16.20]-[0:53:18.20]  Y luego volvieron aquí y se quedaron ya aquí.
[0:53:18.20]-[0:53:20.20]  Sí, luego volvimos aquí, nos quedamos aquí.
[0:53:20.20]-[0:53:22.20]  La gente antes en viaje de novios ¿a dónde iba?
[0:53:22.20]-[0:53:23.20]  ¿A Barcelona?
[0:53:23.20]-[0:53:25.20]  A Madrid, mira, pues me van a un troco en San Sebastián.
[0:53:25.20]-[0:53:26.20]  Ah, bueno.
[0:53:26.20]-[0:53:27.20]  Sí.
[0:53:27.20]-[0:53:28.20]  Pues van.
[0:53:28.20]-[0:53:29.20]  ¿Y a la espigar?
[0:53:29.20]-[0:53:30.20]  Sí.
[0:53:30.20]-[0:53:33.20]  Y a la huerta al día siguiente a sembrar judías.
[0:53:33.20]-[0:53:36.20]  Y a la huerta a sembrar judías.
[0:53:36.20]-[0:53:37.20]  Ya.
[0:53:37.20]-[0:53:39.20]  Al día siguiente de casa.
[0:53:39.20]-[0:53:43.20]  ¿Qué le parece que la gente va de viaje de novios a México, a Banco?
[0:53:43.20]-[0:53:46.20]  Muy bien, que disfrute la gente todo lo que pueda.
[0:53:46.20]-[0:53:47.20]  No me dan envidia.
[0:53:47.20]-[0:53:49.20]  Lo que quiero es yo que disfruten.
[0:53:49.20]-[0:53:51.20]  Digo, no hace un poco bien, Dios mío.
[0:53:51.20]-[0:53:54.20]  Pero quiero ser tierra y de poder disfrutar.
[0:53:54.20]-[0:53:55.20]  Mira, sí.
[0:53:55.20]-[0:54:01.20]  No, no tengo, no sé si es que no he sido envidiosa o que no he ambiciónado, no lo sé.
[0:54:01.20]-[0:54:03.20]  Que me conformo con lo que he tenido y feliz.
[0:54:03.20]-[0:54:04.20]  Muy bien.
[0:54:04.20]-[0:54:09.20]  ¿Y qué le parece que la iglesia ahora tenga menos influencia, menos poder?
[0:54:09.20]-[0:54:10.20]  Ah, eso, eso.
[0:54:10.20]-[0:54:11.20]  Ahí lo siento niño.
[0:54:11.20]-[0:54:12.20]  Usted va a decir.
[0:54:12.20]-[0:54:13.20]  Soy hoy.
[0:54:13.20]-[0:54:14.20]  Sí, ¿no?
[0:54:14.20]-[0:54:15.20]  Soy muy practicante.
[0:54:15.20]-[0:54:17.20]  ¿Cómo se dice?
[0:54:17.20]-[0:54:18.20]  Practicante.
[0:54:18.20]-[0:54:19.20]  De todo.
[0:54:19.20]-[0:54:20.20]  Y de todo.
[0:54:20.20]-[0:54:22.20]  Muy creyente y muy practicante.
[0:54:22.20]-[0:54:23.20]  Muy bien.
[0:54:23.20]-[0:54:24.20]  ¿Eso es eso?
[0:54:24.20]-[0:54:25.20]  Mucho, mucho soy.
[0:54:25.20]-[0:54:26.20]  ¿Para qué te voy a decir?
[0:54:26.20]-[0:54:27.20]  Ya.
[0:54:27.20]-[0:54:28.20]  Mucho, mucho, mucho.
[0:54:28.20]-[0:54:30.20]  ¿Y qué le parece que antes creyó en la iglesia?
[0:54:30.20]-[0:54:35.20]  Que la iglesia va, la pobreza va...
[0:54:35.20]-[0:54:37.20]  No sé lo que te diga.
[0:54:37.20]-[0:54:38.20]  Por ahí, ¿no?
[0:54:38.20]-[0:54:39.20]  Ya nos veremos hija mía.
[0:54:39.20]-[0:54:40.20]  ¿Qué tal?
[0:54:40.20]-[0:54:44.20]  Que saldrás en la tele, ¿eh?
[0:54:44.20]-[0:54:46.20]  Que saldrás en la tele.
[0:54:46.20]-[0:54:51.20]  Ya voy a decir, una sobrina que me ha venido a ver.
[0:54:51.20]-[0:54:53.20]  Una sobrina que me ha venido a ver.
[0:54:53.20]-[0:54:54.20]  Dale, jamí, hasta luego.
[0:54:54.20]-[0:54:56.20]  Ya voy a ir por allá.
[0:54:56.20]-[0:54:59.20]  Pues sí, aunque todo eso...
[0:54:59.20]-[0:55:03.20]  A ver, qué más, qué más.
[0:55:03.20]-[0:55:09.20]  ¿Por aquel entonces había gente que no estuviera de acuerdo con la iglesia y que lo manifestara públicamente?
[0:55:09.20]-[0:55:10.20]  No, no.
[0:55:10.20]-[0:55:13.20]  No, había gente que a lo mejor no estaba de acuerdo, pero no...
[0:55:13.20]-[0:55:15.20]  No sé, en eso no lo manifestaban.
[0:55:15.20]-[0:55:17.20]  Me parece que no.
[0:55:17.20]-[0:55:21.20]  Aquí hubo uno más que uno que era masón.
[0:55:21.20]-[0:55:32.20]  Y ese, pero ya hace tiempo, no me acuerdo yo, que era masón dijeron y que la familia quería que lo enterraran por la iglesia.
[0:55:32.20]-[0:55:34.20]  Pero el señor obispo no...
[0:55:34.20]-[0:55:37.20]  Yo dije que no, no dio autorización.
[0:55:37.20]-[0:55:39.20]  Lo tuvieron tres días en casa.
[0:55:39.20]-[0:55:45.20]  Hasta que el señor obispo dijo que no, que no, que no, que no.
[0:55:45.20]-[0:55:49.20]  Pero lo demás, todo no...
[0:55:49.20]-[0:55:52.20]  Gente de otras religiones, hay gente que no ha habido...
[0:55:52.20]-[0:55:54.20]  No, no, de otras religiones no.
[0:55:54.20]-[0:55:56.20]  Solo la católica.
[0:55:56.20]-[0:56:00.20]  Hombre, aunque hubiera alguno, uno no lo manifestaba.
[0:56:00.20]-[0:56:04.20]  ¿Y actualmente tiene gente de fuera, extranjeros hay en el pueblo?
[0:56:04.20]-[0:56:07.20]  Aquí no, no hay, no hay, no.
[0:56:07.20]-[0:56:09.20]  Todo el mundo es español.
[0:56:09.20]-[0:56:11.20]  Bueno, de aquí incluso.
[0:56:11.20]-[0:56:13.20]  A ver qué más...
[0:56:13.20]-[0:56:16.20]  ¿La gente antes elegía su profesión?
[0:56:16.20]-[0:56:18.20]  ¿Había opción para elegir?
[0:56:18.20]-[0:56:20.20]  ¿O simplemente lo que los padres quisieran?
[0:56:20.20]-[0:56:23.20]  No, me parece que era lo que... el campo, aquí más el campo.
[0:56:23.20]-[0:56:25.20]  El campo, el campo era lo que más...
[0:56:25.20]-[0:56:30.20]  Sí, al campo, porque en todas las casas había campo y todo, o sea, aquel campo.
[0:56:30.20]-[0:56:34.20]  ¿Había posibilidad de irse a estudiar alguna ciudad, a la universidad o algo?
[0:56:34.20]-[0:56:35.20]  Sí.
[0:56:35.20]-[0:56:38.20]  Sí, tomar mi casa, todos, todos estudiaron.
[0:56:38.20]-[0:56:40.20]  Ah, sí, en la universidad. ¿Qué estudiaron?
[0:56:40.20]-[0:56:47.20]  Pues yo tengo dos hermanos de mi padre que han murido, maestros los dos, en Pamplona.
[0:56:47.20]-[0:56:50.20]  Bueno, uno en Zaragoza y mi quien en Pamplona.
[0:56:50.20]-[0:56:52.20]  Maestros.
[0:56:52.20]-[0:56:53.20]  Muy bien.
[0:56:53.20]-[0:56:54.20]  ¿Y usted nunca...
[0:56:54.20]-[0:56:59.20]  Ay, a mí ya no llegó, se ve que ya lo gastaron allá y a mí ya no me llegó.
[0:56:59.20]-[0:57:04.20]  Más que lavar y mis labores.
[0:57:04.20]-[0:57:11.20]  Sí, también es algo, eh, decir mis labores también, también se pone uno un poco... me hago mis labores.
[0:57:11.20]-[0:57:13.20]  ¿Le habría gustado ir a estudiar a la universidad a Pamplona, por ejemplo?
[0:57:13.20]-[0:57:15.20]  No, que he sido muy tonta.
[0:57:15.20]-[0:57:16.20]  ¿Por qué?
[0:57:16.20]-[0:57:20.20]  Porque no, no. No me ha gustado estudiar.
[0:57:20.20]-[0:57:21.20]  Ya.
[0:57:26.20]-[0:57:32.20]  ¿Cómo se comportaba entonces la gente con las promesas, lo que se prometía se cumplía, la gente era más embustera en general, eh?
[0:57:32.20]-[0:57:40.20]  Eso sí que no, no sé. Ay, hoy algo ya me mentía, ya me proponía, pero no lo hacía.
[0:57:40.20]-[0:57:43.20]  ¿La palabra era muy importante desde la época?
[0:57:43.20]-[0:57:51.20]  Sí, dar una palabra, decían, era como una escritura, sí. La palabra era una escritura.
[0:57:51.20]-[0:57:52.20]  ¿Y ahora?
[0:57:52.20]-[0:57:54.20]  Ahora no lo sé, ahora niño...
[0:57:54.20]-[0:57:56.20]  No sé.
[0:57:56.20]-[0:58:00.20]  Sí, tú habla hija mía, ¿no? Tú habla hija mía, sí.
[0:58:00.20]-[0:58:01.20]  Claro.
[0:58:01.20]-[0:58:06.20]  Pues sí, es verdad, era como una escritura entonces, madre mía.
[0:58:06.20]-[0:58:13.20]  Sí, sí, la palabra era muy importante. Ahora me perdona es cuando menos, pero que ahora la palabra ya...
[0:58:13.20]-[0:58:19.20]  Ya no, no, no. Aquello de... Sí, ahora tiene que ser todo por escrito.
[0:58:19.20]-[0:58:26.20]  Ya. ¿Los niños de ahora piensan que se aburren? ¿Han visto niños ahora, no se sabrá niños en el pueblo?
[0:58:26.20]-[0:58:36.20]  No, no hay ninguno. Aquí no hay nada, no. La más joven es esta. Sí, pero...
[0:58:36.20]-[0:58:39.20]  Los niños de antes se divertían, sabían divertirse.
[0:58:39.20]-[0:58:49.20]  Sí, ya te digo, pues como bien, a la pelota jugaban mucho, había muchos juegos, aquí mucho, mira que frontera tenemos.
[0:58:49.20]-[0:58:54.20]  Y hasta toda la vida y menudos juegos de pelota hacían aquí por la tarde.
[0:58:54.20]-[0:58:58.20]  ¿Pensas que son más fuertes los niños de ahora, los niños de antes?
[0:58:58.20]-[0:59:02.20]  Bueno, eso no lo sé. Antes también eran buenos.
[0:59:02.20]-[0:59:06.20]  Porque siempre se dice que los niños antes se criaban en la calle, en el campo y eran más fuertes.
[0:59:06.20]-[0:59:07.20]  Ah, sí, más fuertes, sí.
[0:59:07.20]-[0:59:09.20]  No sé, no sé cuál es su opinión, vaya.
[0:59:09.20]-[0:59:13.20]  No, no, no, si es verdad en eso, si es verdad que se criaban más fuera de casa.
[0:59:13.20]-[0:59:14.20]  ¿No estaban dando la tenida?
[0:59:14.20]-[0:59:23.20]  Que no estaban... Bueno, sí, mira, cogían la merienda y marchaban a jugar, salían de la escuela, coger la merienda y a correr y a la plaza y por ahí.
[0:59:23.20]-[0:59:28.20]  ¿Cómo vivieron la entrada de la televisión?
[0:59:28.20]-[0:59:31.20]  Ah, pues bien, bien.
[0:59:31.20]-[0:59:33.20]  ¿Tenían ustedes televisión en casa?
[0:59:33.20]-[0:59:37.20]  No, hijo mío, aquí había una para todo el pueblo.
[0:59:37.20]-[0:59:38.20]  ¿Dónde la tenían?
[0:59:38.20]-[0:59:39.20]  Para todo el pueblo, aquí en el bar.
[0:59:39.20]-[0:59:41.20]  ¿Y venían aquí, se reunían?
[0:59:41.20]-[0:59:44.20]  Sí, sí, se reunían aquí, sí.
[0:59:44.20]-[0:59:47.20]  Bueno, antes había solamente un canal entonces.
[0:59:47.20]-[0:59:48.20]  Ah, pues sí.
[0:59:48.20]-[0:59:53.20]  Ya, tampoco se discutía por la televisión.
[0:59:53.20]-[0:59:57.20]  A ver, a ver, ¿qué más?
[0:59:57.20]-[1:00:02.20]  Yo creo en general.
[1:00:02.20]-[1:00:05.20]  Esta compañera en vez de que está aburriendo.
[1:00:05.20]-[1:00:07.20]  Es que yo no entiendo todo, soy de Alemania.
[1:00:07.20]-[1:00:09.20]  Ah, que no eres de aquí.
[1:00:09.20]-[1:00:13.20]  No, es alemana.
[1:00:13.20]-[1:00:17.20]  Alemana eres, alemana, madre mía.
[1:00:17.20]-[1:00:20.20]  Y alemana has venido hasta aquí, niña.
[1:00:20.20]-[1:00:22.20]  Que si, has venido desde Alemania.
[1:00:22.20]-[1:00:24.20]  Sí, claro.
[1:00:24.20]-[1:00:25.20]  Para verla a usted.
[1:00:25.20]-[1:00:26.20]  Es bonito España, ¿verdad?
[1:00:26.20]-[1:00:27.20]  Claro, me encanta.
[1:00:27.20]-[1:00:28.20]  ¿Verdad que es bonito España?
[1:00:28.20]-[1:00:29.20]  Sí, sí, lo he visto.
[1:00:29.20]-[1:00:31.20]  Pues ves, mira si me ha entendido.
[1:00:31.20]-[1:00:34.20]  Que da bonito.
[1:00:34.20]-[1:00:35.20]  Muy bien.
[1:00:35.20]-[1:00:36.20]  ¿Qué más?
[1:00:36.20]-[1:00:38.20]  Bueno, pues yo creo que es todo, un poco de todo.
[1:00:38.20]-[1:00:40.20]  Si se me ocurre alguna otra cosa.
[1:00:40.20]-[1:00:41.20]  Pues niños.
[1:00:41.20]-[1:00:45.20]  A ver.
[1:00:45.20]-[1:00:48.20]  Si se me ocurre ninguna otra cosa.
[1:00:48.20]-[1:00:52.20]  Religiosa sanidad, cientos de personas.
[1:00:52.20]-[1:00:55.20]  Pues yo creo que esto es un poco todo.
[1:00:55.20]-[1:00:58.20]  Pues apretando tomar algo, vamos a ver.
[1:00:58.20]-[1:01:00.20]  No, no, no, no, no, no.
[1:01:00.20]-[1:01:01.20]  No, no, no dejes, niños, nada.
[1:01:01.20]-[1:01:02.20]  No.
[1:01:02.20]-[1:01:03.20]  No, no.
[1:01:03.20]-[1:01:04.20]  Que después de la paliza y...
[1:01:04.20]-[1:01:07.20]  No, bo, lavado niños y todas palizas se habían sido como estas.
[1:01:07.20]-[1:01:09.20]  Jolena, que culo quieto.
[1:01:09.20]-[1:01:14.20]  No se puede hacer poco.
[1:01:14.20]-[1:01:16.20]  Pues muchísimas gracias.
[1:01:16.20]-[1:01:17.20]  Un segundito.
[1:01:17.20]-[1:01:23.20]  Pues niños, coger lo que queráis.
[1:01:23.20]-[1:01:24.20]  Estupendo.
[1:01:24.20]-[1:01:25.20]  ¿Y venís desde Madrid?
[1:01:25.20]-[1:01:26.20]  Desde Madrid.
[1:01:26.20]-[1:01:27.20]  Sí.
[1:01:27.20]-[1:01:28.20]  ¿Y aún tenéis que ir a Madrid otra vez?
[1:01:28.20]-[1:01:29.20]  Sí, mañana.
[1:01:29.20]-[1:01:30.20]  Mañana.
[1:01:30.20]-[1:01:32.20]  Esta noche nos vamos a Cariñena.
[1:01:32.20]-[1:01:33.20]  Ah, ¿en Cariñena?
[1:01:33.20]-[1:01:34.20]  Sí.
[1:01:34.20]-[1:01:36.20]  A listear y un buen trago de vino.
[1:01:36.20]-[1:01:38.20]  Sí, ya nos han dicho que los vinos son muy buenos.
[1:01:38.20]-[1:01:39.20]  Bueno, entonces...
[1:01:39.20]-[1:01:40.20]  Los vinos son muy buenos.
[1:01:40.20]-[1:01:42.20]  Bueno, pues corto esto ya.
[1:01:42.20]-[1:01:44.20]  A ver.
