[0:00:00.00]-[0:00:02.00]  Están en misa ahora.
[0:42:03.00]-[0:42:05.00]  Hacían el turrón.
[0:42:05.00]-[0:42:07.00]  Hacían el alajuz.
[0:42:07.00]-[0:42:09.00]  Todo lo que es dulce.
[0:42:09.00]-[0:42:11.00]  Y ahora ya se pasó aquí.
[0:42:11.00]-[0:42:13.00]  Ahora tú no hablas, tú que estás grabando.
[0:42:13.00]-[0:42:15.00]  Ahora, esto estoy grabando.
[0:42:15.00]-[0:42:17.00]  Ay, la madre que me está...
[0:42:17.00]-[0:42:19.00]  Lo que me estoy cascando.
[0:42:19.00]-[0:42:21.00]  Es porque no podemos estar...
[0:42:21.00]-[0:42:23.00]  Ahora, hablar uno solo porque si habéis los ordenados no se entiende.
[0:42:23.00]-[0:42:25.00]  Ahora, no se lo pongáis a...
[0:42:25.00]-[0:42:27.00]  No, no, esto es solo para hacer la redacción.
[0:42:27.00]-[0:42:29.00]  No le pongáis a...
[0:42:29.00]-[0:42:31.00]  Ay, mamá.
[0:42:31.00]-[0:42:33.00]  Hombre, por supuesto que sí.
[0:42:33.00]-[0:42:35.00]  Pero,
[0:42:35.00]-[0:42:37.00]  pero,
[0:42:37.00]-[0:42:39.00]  ¿será le...
[0:42:39.00]-[0:42:41.00]  Estamos diciendo cosas buenas de muchachos.
[0:42:41.00]-[0:42:43.00]  No, cosas malas no tenemos que decir de nadie.
[0:42:43.00]-[0:42:45.00]  Por si tenemos que decir, ¿no las callamos?
[0:42:45.00]-[0:42:47.00]  Y solteros.
[0:42:47.00]-[0:42:49.00]  No, porque mamá tiene que decir malos del pueblo.
[0:42:49.00]-[0:42:51.00]  Si tú los llamamos como buenos hermanos.
[0:42:51.00]-[0:42:53.00]  Como Dios manda.
[0:42:53.00]-[0:42:55.00]  Alguno no te quiere, pero bueno, eso no perdió nada.
[0:42:55.00]-[0:42:57.00]  Lo peor para él...
[0:42:57.00]-[0:42:59.00]  No, pero la mayoría nos llama a gustos.
[0:42:59.00]-[0:43:01.00]  Sí, a gustos.
[0:43:01.00]-[0:43:03.00]  Somos muy poquillosas.
[0:43:03.00]-[0:43:05.00]  ¿Cuántos estamos? ¿700 o 200?
[0:43:05.00]-[0:43:07.00]  750, yo creo que 800.
[0:43:07.00]-[0:43:09.00]  Oye, lo que tenéis que venir es a las fiestas.
[0:43:09.00]-[0:43:11.00]  Ya les he contado la fiesta de a gustos.
[0:43:11.00]-[0:43:13.00]  Hablame ya con ella.
[0:43:13.00]-[0:43:15.00]  Que ahora somos más.
[0:43:15.00]-[0:43:17.00]  Con los peruanos.
[0:43:17.00]-[0:43:19.00]  Si no, de 40.
[0:43:19.00]-[0:43:21.00]  Ay, pobrecillo, esto es mejor. Ya estamos acompañados.
[0:43:21.00]-[0:43:23.00]  Ya no estamos tan solos.
[0:43:23.00]-[0:43:25.00]  Y son bien majos, ¿eh?
[0:43:25.00]-[0:43:27.00]  Son más cariñosos que nosotros.
[0:43:27.00]-[0:43:29.00]  Y más educados que nosotros.
[0:43:29.00]-[0:43:31.00]  Yo solo debía saludar uno para decir buenos días o buenas tardes.
[0:43:31.00]-[0:43:33.00]  Y además, con una educación y una...
[0:43:33.00]-[0:43:35.00]  Además, tiene otro cariño con nosotros.
[0:43:35.00]-[0:43:37.00]  Y más dulces.
[0:43:37.00]-[0:43:39.00]  ¿Por qué?
[0:43:39.00]-[0:43:41.00]  Porque esa gente allí se ve que está viviendo...
[0:43:41.00]-[0:43:43.00]  Sí, no, no importa.
[0:43:43.00]-[0:43:45.00]  Pero tendrían... Serían violentos o eso.
[0:43:45.00]-[0:43:47.00]  Pero son muy educadísimos.
[0:43:47.00]-[0:43:49.00]  Aquí ganan en un día más que ganaban allí en un mes.
[0:43:49.00]-[0:43:51.00]  Entonces ellos están tan contentos.
[0:43:51.00]-[0:43:53.00]  Lo que tiene que ver eso para la gente es que tiene.
[0:43:53.00]-[0:43:55.00]  Porque lo agradecen.
[0:43:55.00]-[0:43:57.00]  No, no, pero ellos...
[0:43:57.00]-[0:43:59.00]  A los mejores, al contrario.
[0:43:59.00]-[0:44:01.00]  Bueno, y abratan de todo, verdad, como en todos los sitios.
[0:44:01.00]-[0:44:03.00]  Pero bueno, yo los que conozco...
[0:44:03.00]-[0:44:05.00]  Bueno, ustedes aquí son muy cariñosos.
[0:44:05.00]-[0:44:07.00]  Sí, sí, sí.
[0:44:07.00]-[0:44:09.00]  Y hay una que se ha casado aquí.
[0:44:09.00]-[0:44:11.00]  Pero por un chico de ellas.
[0:44:11.00]-[0:44:13.00]  La que está en el mesón.
[0:44:13.00]-[0:44:15.00]  La que está donde veis ahí ahora.
[0:44:15.00]-[0:44:17.00]  No, pero esos son de aquí.
[0:44:17.00]-[0:44:19.00]  No, pero quiero decir que se han casado aquí.
[0:44:19.00]-[0:44:21.00]  Ah, sí, viste.
[0:44:21.00]-[0:44:23.00]  Que se casaron aquí.
[0:44:23.00]-[0:44:25.00]  Eso es lo que quiero decir.
[0:44:25.00]-[0:44:27.00]  Y está trabajando ahí.
[0:44:27.00]-[0:44:29.00]  Vos no, vos no.
[0:44:29.00]-[0:44:31.00]  ¿Ella de qué rusa?
[0:44:31.00]-[0:44:33.00]  Rumana.
[0:44:33.00]-[0:44:35.00]  No, no, no.
[0:44:35.00]-[0:44:37.00]  Esa chica se ha casado de la...
[0:44:37.00]-[0:44:39.00]  Se ha cambiado en un maja, ¿verdad?
[0:44:39.00]-[0:44:41.00]  Ah, sí.
[0:44:41.00]-[0:44:43.00]  Ella se ha casado otro.
[0:44:43.00]-[0:44:45.00]  Y con otra extranjera.
[0:44:45.00]-[0:44:47.00]  ¿Ayer?
[0:44:47.00]-[0:44:49.00]  No, ese junto de Corciban, no.
[0:44:49.00]-[0:44:51.00]  Ah, es verdad.
[0:44:51.00]-[0:44:53.00]  ¿Con otra de esas?
[0:44:53.00]-[0:44:55.00]  Sí, sí, sí.
[0:44:55.00]-[0:44:57.00]  Y un cariño solo.
[0:44:57.00]-[0:44:59.00]  Son muy cariñosos y muy dulces.
[0:44:59.00]-[0:45:01.00]  Esa no se ha casado.
[0:45:01.00]-[0:45:03.00]  Ahora son parejas.
[0:45:03.00]-[0:45:05.00]  Como cada uno es libre, hace lo que le dé la gana.
[0:45:05.00]-[0:45:09.00]  Y luego cuando riñe, pues mira, pues cada uno por ahí no pasa nada.
[0:45:09.00]-[0:45:11.00]  Pero eso es...
[0:45:11.00]-[0:45:13.00]  Pero luego...
[0:45:13.00]-[0:45:15.00]  Empiezan a decir...
[0:45:15.00]-[0:45:17.00]  Es que yo he estado, es que yo he...
[0:45:17.00]-[0:45:21.00]  Bueno, pero hemos estado toda la vida acostumbrados nosotros a casar, a los papeles.
[0:45:21.00]-[0:45:23.00]  Y parece que eso es otra cosa, aunque al efecto sea igual.
[0:45:23.00]-[0:45:25.00]  En pareja que en Moncajaro, ¿entiendes?
[0:45:25.00]-[0:45:30.00]  Bueno, sí, pero es que si tú no tienes tus papeles y estás casado, sea por la iglesia, sea por eso,
[0:45:30.00]-[0:45:34.00]  eso, pues tú mañana tienes un hijo y no le puedes poner tus apellidos.
[0:45:34.00]-[0:45:35.00]  ¿Cómo que no?
[0:45:35.00]-[0:45:36.00]  Sí, se los pone, sí, ahora sí.
[0:45:36.00]-[0:45:37.00]  Hombre, se los pone, sí.
[0:45:37.00]-[0:45:38.00]  Ahora sí.
[0:45:38.00]-[0:45:39.00]  Pero, pero...
[0:45:39.00]-[0:45:40.00]  Y si no quiere, no se los pone.
[0:45:40.00]-[0:45:41.00]  Claro.
[0:45:41.00]-[0:45:42.00]  Y de la otra manera, sí.
[0:45:42.00]-[0:45:43.00]  Es lo que quiero yo decir.
[0:45:43.00]-[0:45:47.00]  Entonces, no hay derecho tampoco a que nazca una criatura y que porque su padre no le dé la gana.
[0:45:47.00]-[0:45:48.00]  Ojo, no.
[0:45:48.00]-[0:45:49.00]  El teléfono está sonando.
[0:45:49.00]-[0:45:50.00]  Ah, ¿eh?
[0:45:50.00]-[0:45:51.00]  A ver, perdóname un momento.
[0:45:51.00]-[0:45:54.00]  Ay, hijas mías, menos mal que tengo la comida y no...
[0:45:54.00]-[0:45:57.00]  Antes de mi avisar digo, voy a hacerla, porque después...
[0:45:57.00]-[0:46:00.00]  Y mira, por donde mías yo trabajo.
[0:46:00.00]-[0:46:01.00]  Sí.
[0:46:01.00]-[0:46:02.00]  Ay, Dios mío.
[0:46:02.00]-[0:46:03.00]  Bueno, bueno.
[0:46:03.00]-[0:46:09.00]  Yo quería hacer una pregunta de cómo era la relación con los padres.
[0:46:09.00]-[0:46:11.00]  ¿Anter, era más fría que ahora o...?
[0:46:11.00]-[0:46:12.00]  No, no, mejor.
[0:46:12.00]-[0:46:13.00]  ¿Mejor?
[0:46:13.00]-[0:46:15.00]  La relación antes lo único que pasé es que antes...
[0:46:15.00]-[0:46:17.00]  Antes lo que ocurre es que no podían cuidarse.
[0:46:17.00]-[0:46:19.00]  La gente joven tenía más respeto a la gente mayor.
[0:46:19.00]-[0:46:20.00]  Sí.
[0:46:20.00]-[0:46:21.00]  Sí.
[0:46:21.00]-[0:46:22.00]  Mucho más.
[0:46:22.00]-[0:46:26.00]  Entonces, llegaba a lo mejor una noche, por ejemplo, y decía el hijo que yo me voy a
[0:46:26.00]-[0:46:29.00]  poner a tal pueblo a las fiestas y le decía, pero tú te estás aquí.
[0:46:29.00]-[0:46:31.00]  Y yo le decía, pues la comida que yo no la tengo puesta.
[0:46:31.00]-[0:46:32.00]  Yo sí, yo la tengo puesta.
[0:46:32.00]-[0:46:34.00]  Ahora, el hijo dijo que se va...
[0:46:34.00]-[0:46:37.00]  No, no, era como un más respeto más...
[0:46:37.00]-[0:46:39.00]  Entonces, le tenía más respeto a los mayores.
[0:46:39.00]-[0:46:40.00]  A los mayores.
[0:46:40.00]-[0:46:42.00]  Y te decía, me miraba el padre y ya te quedabas, ya no te movías.
[0:46:42.00]-[0:46:43.00]  Anda, anda.
[0:46:43.00]-[0:46:45.00]  Bueno, de todas maneras yo no tenía...
[0:46:45.00]-[0:46:48.00]  Yo no tenía un padre, bueno, tenía un padre, pero no he estado con él, he estado con mi abuela,
[0:46:48.00]-[0:46:49.00]  he estado sola.
[0:46:49.00]-[0:46:51.00]  Y con mi tío, que yo era la chica mía.
[0:46:51.00]-[0:46:52.00]  Y en cambio...
[0:46:52.00]-[0:46:55.00]  Y mientras estaba en la casa, aunque tuviera a lo mejor 20 y tanto o 30 años, o hasta más,
[0:46:55.00]-[0:46:57.00]  y le decía a su padre, haz esto.
[0:46:57.00]-[0:47:01.00]  Y luego cuando eran mayores, cuando eran mayores, así como ahora.
[0:47:01.00]-[0:47:05.00]  Ahora, las casas tuteladas, gracias que han hecho casas tuteladas.
[0:47:05.00]-[0:47:12.00]  Pero es que lo que digo yo, que ahora, que ahora, los abuelos crían también a los nietos.
[0:47:12.00]-[0:47:16.00]  Y cuando ya no se pueden valer, entonces los llevan a una residencia.
[0:47:16.00]-[0:47:17.00]  Sí, hija, sí, eso es así ahora.
[0:47:17.00]-[0:47:19.00]  Hombre, no voy a hablar de hijos, de hijas.
[0:47:19.00]-[0:47:21.00]  No, no, eso es así ahora.
[0:47:21.00]-[0:47:24.00]  Y están trabajando las hijas para darle a su nene...
[0:47:24.00]-[0:47:25.00]  ¿Emilia?
[0:47:25.00]-[0:47:27.00] ...apuntapala las cosas.
[0:47:27.00]-[0:47:30.00]  Malgastar las cosas, y luego para la madrera.
[0:47:30.00]-[0:47:38.00]  Yo hay ciertas cosas en la vida que lo tendré que pasar, si Dios quiere, pues lo tendré que pasar eso y todo lo que venga.
[0:47:38.00]-[0:47:42.00]  Pero que no me gustan, no porque no me gusten, sino porque yo no lo veo bien.
[0:47:42.00]-[0:47:43.00]  Que una madre...
[0:47:43.00]-[0:47:44.00]  No, no, no, no vas a pasar.
[0:47:44.00]-[0:47:45.00]  ¿Que yo no lo voy a pasar?
[0:47:45.00]-[0:47:46.00]  Nosotros quizás ya sí, pero tú ya...
[0:47:46.00]-[0:47:48.00]  Yo ya me lo llevo, yo lo he pensado así.
[0:47:48.00]-[0:47:49.00]  Mira...
[0:47:49.00]-[0:47:50.00]  Yo tanto tengo el tiempo, me apunto a la casa.
[0:47:50.00]-[0:47:52.00]  Nosotros quizás ya iremos a la residencia.
[0:47:52.00]-[0:47:54.00]  Pero por qué no voy a llegar...
[0:47:54.00]-[0:47:56.00]  No, por qué no, por qué no, porque tú no vas a ir, por qué no.
[0:47:56.00]-[0:47:58.00]  Tú es que eres aún mayor y tienes las mentalidades...
[0:47:58.00]-[0:48:01.00]  Yo ya soy más joven y tengo la mentalidad de que voy a ir ayer.
[0:48:01.00]-[0:48:04.00]  No, no, no, es que nosotros lo tenemos claro, que nosotros a cuando llegue...
[0:48:04.00]-[0:48:10.00]  Yo cuando llegue el tiempo yo no le voy a decir a mi coñamita que yo ahí me apunto y ahí un poco...
[0:48:10.00]-[0:48:14.00]  Tú ahora, porque estás bien, y tracatraca.
[0:48:14.00]-[0:48:16.00]  Que no, emilia.
[0:48:16.00]-[0:48:20.00]  Mira, aunque tú digas eso, aunque tú digas eso...
[0:48:20.00]-[0:48:22.00]  Yo también lo digo, digo, ¡uy Dios mío!
[0:48:22.00]-[0:48:24.00]  Y ya te dirá que ya no puedes...
[0:48:24.00]-[0:48:26.00]  ¡Madre mía!
[0:48:26.00]-[0:48:30.00]  Pero por dentro tendrás...
[0:48:30.00]-[0:48:32.00]  Pero la juventud de ahora no adquiere a los abuelos.
[0:48:32.00]-[0:48:34.00]  ¿Ya está mentalizada de otra forma?
[0:48:34.00]-[0:48:36.00]  ¿Está mentalizada de otra forma?
[0:48:36.00]-[0:48:38.00]  ¿Está mentalizada de otra forma? ¿Qué coño está mentalizada de otra forma?
[0:48:38.00]-[0:48:39.00]  Que sí, que sí, que sí.
[0:48:39.00]-[0:48:40.00]  Está porque no quieren.
[0:48:40.00]-[0:48:42.00]  Eh, me vas a mí, ¿no?
[0:48:42.00]-[0:48:48.00]  Porque también se pueden mentalizar de que tienen un hijo, o tienen dos, o tienen medio, eh.
[0:48:48.00]-[0:48:51.00]  Y son sus hijos, no los de su madre.
[0:48:51.00]-[0:48:54.00]  Y se los llevan a su madre, para que...
[0:48:54.00]-[0:48:58.00]  Mientras que me voy a comer, porque me voy a trabajar y no sé qué más.
[0:48:58.00]-[0:49:00.00]  Porque tal y más y vuelve.
[0:49:00.00]-[0:49:02.00]  Y luego después, no, no me vengáis a confundir.
[0:49:02.00]-[0:49:03.00]  Eso lo lleva ya a la evolución de la vida.
[0:49:03.00]-[0:49:05.00]  Eso lo lleva que somos así.
[0:49:05.00]-[0:49:06.00]  Y ya está.
[0:49:06.00]-[0:49:08.00]  Porque no queremos a nadie.
[0:49:08.00]-[0:49:10.00]  No, señor, no queremos.
[0:49:10.00]-[0:49:14.00]  El abuelo, el primer rincón de la lumbre era para el abuelo.
[0:49:14.00]-[0:49:15.00]  Y se ha atendido.
[0:49:15.00]-[0:49:16.00]  Y eso porque era...
[0:49:16.00]-[0:49:17.00]  Y no tenía paga.
[0:49:17.00]-[0:49:18.00]  Y eso porque no había paga.
[0:49:18.00]-[0:49:19.00]  Ahora con paga no quieren a nadie.
[0:49:19.00]-[0:49:21.00]  Ahora les quitan la paga.
[0:49:21.00]-[0:49:22.00]  Y no quiero.
[0:49:22.00]-[0:49:23.00]  Que no.
[0:49:23.00]-[0:49:25.00]  Que no nos quieren, que no, ni con paga.
[0:49:25.00]-[0:49:26.00]  Entonces te voy con los niños.
[0:49:26.00]-[0:49:27.00]  Ah, hombre, por Dios.
[0:49:27.00]-[0:49:29.00]  Y tú me vas a decir a mí qué es mentalidad.
[0:49:29.00]-[0:49:30.00]  Eso es falta de cariño.
[0:49:30.00]-[0:49:31.00]  Que no.
[0:49:31.00]-[0:49:34.00]  Me acuerdo de ver a mi madre, vosotras, con cada murilla ahora lumbre.
[0:49:34.00]-[0:49:35.00]  Sí, señor.
[0:49:35.00]-[0:49:36.00]  O no en cada lado.
[0:49:36.00]-[0:49:37.00]  Y lo mejor que había era para los abuelos.
[0:49:37.00]-[0:49:38.00]  Claro.
[0:49:38.00]-[0:49:40.00]  Tú si lo piensas un poco, es que no puede ser tampoco como antes.
[0:49:40.00]-[0:49:41.00]  ¿Quién ha dicho que no?
[0:49:41.00]-[0:49:43.00]  Mucho mejor, si vivimos mucho mejor.
[0:49:43.00]-[0:49:45.00]  Un matrimonio, un matrimonio.
[0:49:45.00]-[0:49:47.00]  ¿Cómo antes dormíamos?
[0:49:47.00]-[0:49:48.00]  Estos en una cama.
[0:49:48.00]-[0:49:49.00]  Ahora la vida quiere otras exigencias.
[0:49:49.00]-[0:49:50.00]  Los pisos son carísimos.
[0:49:50.00]-[0:49:51.00]  No pueden.
[0:49:51.00]-[0:49:52.00]  Tú harás un matrimonio que viva en la capital.
[0:49:52.00]-[0:49:53.00]  No puede ser.
[0:49:53.00]-[0:49:54.00]  Tiene dos o tres hijos.
[0:49:54.00]-[0:49:56.00]  Los hijos van a una guardería o a un comedor de la escuela.
[0:49:56.00]-[0:49:57.00]  Y trabajan el mayor y la mujer.
[0:49:57.00]-[0:49:58.00]  ¿Qué hace esto ahí?
[0:49:58.00]-[0:49:59.00]  ¿Qué hace esto en el piso?
[0:49:59.00]-[0:50:00.00]  ¿Qué hace la Teórica mañana?
[0:50:00.00]-[0:50:01.00]  ¿Qué hizo la Teórica?
[0:50:01.00]-[0:50:02.00]  ¿Estaba con sus hijos?
[0:50:02.00]-[0:50:03.00]  Pero se vino.
[0:50:03.00]-[0:50:04.00]  Y está aquí mejor que allí.
[0:50:04.00]-[0:50:05.00]  ¿Cómo?
[0:50:05.00]-[0:50:06.00]  ¿Estaba solo?
[0:50:06.00]-[0:50:07.00]  Por lo menos está en su pueblo y con su gente.
[0:50:07.00]-[0:50:08.00]  Y en compañía de gente.
[0:50:08.00]-[0:50:16.00]  Pero allí si iban el hijo y la nuera a trabajar desde las 7 de la mañana hasta las 10 de la
[0:50:16.00]-[0:50:17.00]  noche.
[0:50:17.00]-[0:50:18.00]  No los veía.
[0:50:18.00]-[0:50:19.00]  ¿Y dónde iba ella?
[0:50:19.00]-[0:50:20.00]  ¿Dónde salía ella en Barcelona?
[0:50:20.00]-[0:50:21.00]  Pero de momento, ¿qué hizo la mujer?
[0:50:21.00]-[0:50:22.00]  ¿Qué se quería ir con sus hijos?
[0:50:22.00]-[0:50:23.00]  ¿Te acuerdas de lo que dijo?
[0:50:23.00]-[0:50:24.00]  Oye, si es que no es normal.
[0:50:24.00]-[0:50:25.00]  Esa mujer, hay que ver lo que ha hecho con ellos.
[0:50:25.00]-[0:50:26.00]  No es esa mujer.
[0:50:26.00]-[0:50:27.00]  Joder, esa mujer dice, pues parece que la te amedad.
[0:50:27.00]-[0:50:28.00]  Pero bueno, que era muy extrema.
[0:50:28.00]-[0:50:29.00]  Pero chorro, dice.
[0:50:29.00]-[0:50:30.00]  Me cago en la leche.
[0:50:30.00]-[0:50:31.00]  Pero es que...
[0:50:31.00]-[0:50:32.00]  Calla, extrema.
[0:50:32.00]-[0:50:33.00]  De lengua.
[0:50:33.00]-[0:50:34.00]  No las.
[0:50:34.00]-[0:50:35.00]  Pero eso es por lo que yo te digo.
[0:50:35.00]-[0:50:36.00]  No las.
[0:50:36.00]-[0:50:38.00]  Dios me perdone.
[0:50:38.00]-[0:50:39.00]  Pues menudo, me da marcha llevo yo.
[0:50:39.00]-[0:50:44.00]  Me da marcha la que he llevado, la que llevo y hasta que el cuerpo aguante.
[0:50:44.00]-[0:50:45.00]  Pero eso es porque te digo...
[0:50:45.00]-[0:50:46.00]  Tendrá que nacer otra.
[0:50:46.00]-[0:50:47.00]  La tea, ¿cuántos años tiene?
[0:50:47.00]-[0:50:48.00]  Ah, no lo sé.
[0:50:48.00]-[0:50:49.00]  La mujer 80 y...
[0:50:49.00]-[0:50:50.00]  Mujer de 90.
[0:50:50.00]-[0:50:53.00]  Tiene la mentalidad de antes y le pedías que los hijos en cuanto llegaran ahí...
[0:50:53.00]-[0:50:57.00]  No, la mujer quería estar con sus hijos y ya está.
[0:50:57.00]-[0:50:58.00]  Porque es así la cosa.
[0:50:58.00]-[0:50:59.00]  Viene así la cosa.
[0:50:59.00]-[0:51:00.00]  Ay, madre mía.
[0:51:00.00]-[0:51:01.00]  Que Dios nos ha pagado.
[0:51:01.00]-[0:51:02.00]  Me voy a poner la comida que nos vamos a comer.
[0:51:02.00]-[0:51:03.00]  Que Dios nos ha pagado.
[0:51:03.00]-[0:51:06.00]  Que Dios nos ha pagado.
[0:51:06.00]-[0:51:08.00]  Que Dios nos ampare a todos que es el que puede.
[0:51:08.00]-[0:51:09.00]  Pero que no.
[0:51:09.00]-[0:51:14.00]  Hay gente que tiene necesidad de muchas cosas.
[0:51:14.00]-[0:51:16.00]  Pero que le pasa a mi tía que no tiene la resistencia.
[0:51:16.00]-[0:51:17.00]  Pero hay otras...
[0:51:17.00]-[0:51:19.00]  Que le pasa a mi tía que no tiene la resistencia.
[0:51:19.00]-[0:51:21.00]  Que cogió una depresión porque necesitaba cariño de los suyos.
[0:51:21.00]-[0:51:22.00]  Pues claro.
[0:51:22.00]-[0:51:23.00]  No le pasa a mi tía.
[0:51:23.00]-[0:51:24.00]  Pues claro.
[0:51:24.00]-[0:51:25.00]  Que tenía depresión que tenía cariño de los suyos.
[0:51:25.00]-[0:51:26.00]  Pues claro.
[0:51:26.00]-[0:51:28.00]  Aunque te traten muy bien, te cuidan muy bien, pero no...
[0:51:28.00]-[0:51:29.00]  Te cuidarán mejor.
[0:51:29.00]-[0:51:31.00]  Además es que las viejas de antes como la de ahora.
[0:51:31.00]-[0:51:32.00]  Yo ya me voy haciendo mayor.
[0:51:32.00]-[0:51:35.00]  Y digo, qué pena por otro sacrificio que te ha costado a mi casa dejarla.
[0:51:35.00]-[0:51:36.00]  Dejarla.
[0:51:36.00]-[0:51:37.00]  Y irme a la residencia.
[0:51:37.00]-[0:51:38.00]  Sí señora.
[0:51:38.00]-[0:51:39.00]  Eso a mí me llega al alma.
[0:51:39.00]-[0:51:40.00]  Sí señora.
[0:51:40.00]-[0:51:42.00]  Y cualquier cosilla que tengas guardada.
[0:51:42.00]-[0:51:46.00]  Mira, yo tengo una cesta de cuando yo era pequeña.
[0:51:46.00]-[0:51:48.00]  Que me la trajo mi ch...
[0:51:48.00]-[0:51:50.00]  Bueno cuando era joven porque pequeña sigue siendo.
[0:51:50.00]-[0:51:51.00]  Es de mimbre.
[0:51:51.00]-[0:51:52.00]  No, eso, cuando era chiquita.
[0:51:52.00]-[0:51:53.00]  Es de mimbre.
[0:51:53.00]-[0:51:54.00]  Es de mimbre.
[0:51:54.00]-[0:51:55.00]  Sí.
[0:51:55.00]-[0:51:56.00]  Luego me la deja pena, busca mi cruda.
[0:51:56.00]-[0:51:57.00]  No, no, pero si es pequeña.
[0:51:57.00]-[0:51:58.00]  Si es así, es pequeñina.
[0:51:58.00]-[0:52:02.00]  Cuando se vistió en carnaval de caperucita roja.
[0:52:02.00]-[0:52:03.00]  La sacó.
[0:52:03.00]-[0:52:04.00]  La llevaba.
[0:52:04.00]-[0:52:06.00]  Bueno, pues me la compró a mí un tío mío.
[0:52:06.00]-[0:52:08.00]  Y que los críaron.
[0:52:08.00]-[0:52:10.00]  No se las hay que llegar ni a mi...
[0:52:10.00]-[0:52:11.00]  A nadie.
[0:52:11.00]-[0:52:12.00]  Ni a mi...
[0:52:12.00]-[0:52:13.00]  Para que jugara cuando era pequeña.
[0:52:13.00]-[0:52:15.00]  Y la tengo como si tuviese allí.
[0:52:15.00]-[0:52:16.00]  Yo que sé lo que tengo.
[0:52:16.00]-[0:52:17.00]  Está nueva la cesta.
[0:52:17.00]-[0:52:18.00]  Mira si hace años, eh.
[0:52:18.00]-[0:52:22.00]  Posará sesenta y cinco años hubo así.
[0:52:22.00]-[0:52:24.00]  Porque tus nietos no han sido enredados.
[0:52:24.00]-[0:52:26.00]  No, ya se lo hubieran guardado ellos bien teto.
[0:52:26.00]-[0:52:27.00]  Seguro.
[0:52:27.00]-[0:52:31.00]  Aquí cuando la estación se suben a la casa de arriba y el crudo viene bajando con un montón de cosas.
[0:52:31.00]-[0:52:32.00]  No, que mi...
[0:52:32.00]-[0:52:33.00]  Muchas veces...
[0:52:33.00]-[0:52:34.00]  Ya, ya.
[0:52:34.00]-[0:52:35.00]  Mira, carnal, está.
[0:52:35.00]-[0:52:36.00]  No, la cesta está ahí.
[0:52:36.00]-[0:52:37.00]  La cesta no se toca.
[0:52:37.00]-[0:52:38.00]  Bueno, bien, no piden permiso.
[0:52:38.00]-[0:52:39.00]  ¿Se suben a por qué?
[0:52:39.00]-[0:52:40.00]  No, pues...
[0:52:40.00]-[0:52:41.00]  No, no son...
[0:52:41.00]-[0:52:44.00]  Esta mañana ya me han subido arriba los dos.
[0:52:44.00]-[0:52:45.00]  Ya me han devuelto todos de arriba.
[0:52:45.00]-[0:52:49.00]  Por la casa de arriba del primo vivo y ya están pa' ir los dos escarbando por allá a ver
[0:52:49.00]-[0:52:50.00]  lo que encuentran.
[0:52:50.00]-[0:52:53.00]  Bueno, cosa de críos.
[0:52:53.00]-[0:53:00.00]  No vamos a discriminarlos ahora porque sean mejores o peores, pero de muchas cosas, te
[0:53:00.00]-[0:53:02.00]  digo yo a ti, de que de muchas cosas tenemos...
[0:53:02.00]-[0:53:03.00]  No tiene que haber mucha pena.
[0:53:03.00]-[0:53:05.00]  Tenemos la puta los pales, a mí no me tiene.
[0:53:05.00]-[0:53:06.00]  Eres hombre, por supuesto.
[0:53:06.00]-[0:53:08.00]  Yo otra vez trabajando para hacerme mi casa y como...
[0:53:08.00]-[0:53:11.00]  Y cuando eres mayor, y cuando eres mayor que necesitas entonces todo.
[0:53:11.00]-[0:53:17.00]  Porque ahora dices, ah, que no, pues yo me voy aquí, va allá, tal, tal.
[0:53:17.00]-[0:53:18.00]  Ah, que os vais allí y me...
[0:53:18.00]-[0:53:24.00]  Por ejemplo, yo, en Valencia, como el día que no vienen ellos, me vengo con...
[0:53:24.00]-[0:53:25.00]  Sí, lo viste esta semana.
[0:53:25.00]-[0:53:26.00]  Como está, como está allí mismo.
[0:53:26.00]-[0:53:32.00]  Pero ostias, me tengo yo que estar aquí el viernes, ya se van, ya hago la comida, no
[0:53:32.00]-[0:53:33.00]  vienen a comer.
[0:53:33.00]-[0:53:34.00]  Está sola.
[0:53:34.00]-[0:53:35.00]  Tal y más si vuelven y como yo no soy...
[0:53:35.00]-[0:53:36.00]  Viltrotera.
[0:53:36.00]-[0:53:38.00]  Viltrotera, cierto, que soy viltrotera, pero no soy...
[0:53:38.00]-[0:53:39.00]  Pero no ha de salir.
[0:53:39.00]-[0:53:40.00]  No.
[0:53:40.00]-[0:53:43.00]  Y yo digo, ahora, yo estoy el día sola y mañana sábado rola.
[0:53:43.00]-[0:53:45.00]  Ah, dale, joderos.
[0:53:45.00]-[0:53:51.00]  Y yo me voy, quiero decir, y me vengo, eh, y soy...
[0:53:51.00]-[0:53:53.00]  Y puedo venirme aún.
[0:53:53.00]-[0:53:58.00]  Imagínate tú que estás allí y te dejan todo el día sola.
[0:53:58.00]-[0:53:59.00]  No puedes ni ir a la espalna.
[0:53:59.00]-[0:54:00.00]  Pero ves cómo vas saliendo lo que te dijeron antes.
[0:54:00.00]-[0:54:01.00]  Ni nada, ni nada.
[0:54:01.00]-[0:54:02.00]  Ves cómo vas saliendo lo que te he dicho yo antes.
[0:54:02.00]-[0:54:04.00]  Te vas a dejar sola y te aburres y te vienes.
[0:54:04.00]-[0:54:07.00]  Ves, ves cómo vas saliendo.
