[0:00:00.00]-[0:00:02.00]  ¿Usted nació aquí entonces?
[0:45:09.62]-[0:45:11.62]  el marido era la mujer,
[0:45:11.62]-[0:45:13.62]  y la mujer era la mujer.
[0:45:13.62]-[0:45:15.62]  Y se acabó la ceremonia,
[0:45:15.62]-[0:45:17.62]  y después a comer eso, y a bailar,
[0:45:17.62]-[0:45:19.62]  y venga a beber,
[0:45:19.62]-[0:45:21.62]  y jorigas de esas.
[0:45:21.62]-[0:45:23.62]  Y eso eran las bodas.
[0:45:23.62]-[0:45:25.62]  ¿Todo el día?
[0:45:25.62]-[0:45:27.62]  Todo el día, y ¿cómo está que duraba?
[0:45:27.62]-[0:45:29.62]  Hasta el segundo día había bodas que duraban dos días.
[0:45:29.62]-[0:45:31.62]  Comían en casa, que antes se comían en casa.
[0:45:31.62]-[0:45:33.62]  Claro, yo digo que la comida se hacía en casa.
[0:45:33.62]-[0:45:35.62]  Que a base de pollo, robalinas, y conejos,
[0:45:35.62]-[0:45:37.62]  y todas esas cosas.
[0:45:37.62]-[0:45:39.62]  Los casas, los familiares,
[0:45:39.62]-[0:45:41.62]  y los invitados.
[0:45:41.62]-[0:45:43.62]  ¿Y mataban ustedes siempre los animales?
[0:45:43.62]-[0:45:45.62]  Sí, se acercaban de tu cara.
[0:45:45.62]-[0:45:47.62]  Y los invitados, como os he dicho,
[0:45:47.62]-[0:45:49.62]  llevaban gallinas.
[0:45:49.62]-[0:45:51.62]  Que no las mató por San Antonio,
[0:45:51.62]-[0:45:53.62]  por las alas, para la joda.
[0:45:53.62]-[0:45:55.62]  Claro, porque la hacían a Baltalón.
[0:45:55.62]-[0:45:57.62]  ¿Y el padre de la madre de este?
[0:45:57.62]-[0:45:59.62]  Nosotros solíamos con gallinas.
[0:45:59.62]-[0:46:01.62]  Con los coños.
[0:46:01.62]-[0:46:03.62]  Y si nos ha contado lo de las viñas,
[0:46:03.62]-[0:46:05.62]  y todo eso, pero el cereal.
[0:46:05.62]-[0:46:07.62]  ¿Al trigo?
[0:46:07.62]-[0:46:09.62]  No sé, eso es como ahora.
[0:46:09.62]-[0:46:11.62]  Entonces, ahí iban a arar con mulas.
[0:46:11.62]-[0:46:13.62]  Araban las piernas con un par de mulas,
[0:46:13.62]-[0:46:15.62]  los enganchaban con los coños
[0:46:15.62]-[0:46:17.62]  que tengo yo como el carro,
[0:46:17.62]-[0:46:19.62]  y unos tiros a un arado,
[0:46:19.62]-[0:46:21.62]  y el tío detrás de la mula...
[0:46:21.62]-[0:46:23.62]  Bueno, todavía existe algo en la televisión.
[0:46:23.62]-[0:46:25.62]  Los ves, no sé si es por...
[0:46:25.62]-[0:46:27.62]  Por Sibarreal o por ahí.
[0:46:27.62]-[0:46:29.62]  Todavía salen con mulas arando.
[0:46:29.62]-[0:46:31.62]  Todavía salen arados con mulas.
[0:46:31.62]-[0:46:33.62]  ¿Los mujeres no iban?
[0:46:33.62]-[0:46:35.62]  No, aquí no.
[0:46:35.62]-[0:46:37.62]  Aquí no hay ni un par de mulas.
[0:46:37.62]-[0:46:39.62]  Pero donde andaban las mujeres
[0:46:39.62]-[0:46:41.62]  es para la parte de esta de...
[0:46:41.62]-[0:46:43.62]  La muela, así por ahí.
[0:46:43.62]-[0:46:45.62]  La muela del pan, que está por ahí.
[0:46:45.62]-[0:46:47.62]  Esto es para que se ponga de Sanabria.
[0:46:47.62]-[0:46:49.62]  Sí, para arriba.
[0:46:49.62]-[0:46:51.62]  Pero aquí no hay nada.
[0:46:51.62]-[0:46:53.62]  ¿Aquí no hay mujer?
[0:46:53.62]-[0:46:55.62]  Nunca, y una niña más.
[0:46:55.62]-[0:46:57.62]  Ir a vendimear y ir a coger legumbres,
[0:46:57.62]-[0:46:59.62]  que se llaman las robas,
[0:46:59.62]-[0:47:01.62]  muelas, lentejas, garbazos y guisantes.
[0:47:01.62]-[0:47:03.62]  ¿Y cómo se cojan en las cuartas?
[0:47:03.62]-[0:47:05.62]  ¿Y arrancándolo allí con la mano?
[0:47:05.62]-[0:47:07.62]  Y para atrás.
[0:47:07.62]-[0:47:09.62]  ¿Y para atrás?
[0:47:09.62]-[0:47:11.62]  No, no, la garroba y el guisante para atrás.
[0:47:11.62]-[0:47:13.62]  La garroba y el guisante para atrás.
[0:47:13.62]-[0:47:15.62]  Pero la muela y el garbanzo y la lenteja para adelante.
[0:47:15.62]-[0:47:17.62]  Porque esa es muy dura de arrancar.
[0:47:17.62]-[0:47:19.62]  Y vas haciendo así, la vas poniendo así,
[0:47:19.62]-[0:47:21.62]  y vas rematando.
[0:47:21.62]-[0:47:23.62]  Y después lo tiras en un montón y se va haciendo
[0:47:23.62]-[0:47:25.62]  una morena, que se llama.
[0:47:25.62]-[0:47:27.62]  Una morena, llamamos morenas.
[0:47:27.62]-[0:47:29.62]  O sea, un montón, pero se llama el morena.
[0:47:29.62]-[0:47:31.62]  Se llama el morena.
[0:47:31.62]-[0:47:33.62]  Y en la tierra los cereales igual.
[0:47:33.62]-[0:47:35.62]  Se llaman morenas.
[0:47:35.62]-[0:47:37.62]  Se agaba con una cegadora
[0:47:37.62]-[0:47:39.62]  de estas que se llaman...
[0:47:39.62]-[0:47:41.62]  Se llamaban.
[0:47:41.62]-[0:47:43.62]  ¿Máquinas de cegador?
[0:47:43.62]-[0:47:45.62]  Máquinas de cegador, sí.
[0:47:45.62]-[0:47:47.62]  Una máquina de cegar que andaba pues,
[0:47:47.62]-[0:47:49.62]  arrastrada por un par de mulas.
[0:47:49.62]-[0:47:51.62]  Que todavía existen, no ahora no les llegan ellas,
[0:47:51.62]-[0:47:53.62]  pero existen todavía algunas.
[0:47:53.62]-[0:47:55.62]  Máquinas de esas, cegadoras.
[0:47:55.62]-[0:47:57.62]  Gavilladoras, que se llama.
[0:47:57.62]-[0:47:59.62]  Ellos le llamaban gavilladoras.
[0:47:59.62]-[0:48:01.62]  Y atropando uno o dos,
[0:48:01.62]-[0:48:03.62]  dos mujeres atropando detrás,
[0:48:03.62]-[0:48:05.62]  iba cada trayecto,
[0:48:05.62]-[0:48:07.62]  como era que uno ponía al frigorífico
[0:48:07.62]-[0:48:09.62]  un poco más allá, tiraba una gavilla.
[0:48:09.62]-[0:48:11.62]  Lo tiraba.
[0:48:11.62]-[0:48:13.62]  Tirabas al gavillador,
[0:48:13.62]-[0:48:15.62]  salía la gavilla que se llamaba gavilla.
[0:48:15.62]-[0:48:17.62]  Y esa gavilla iba
[0:48:17.62]-[0:48:19.62]  a su detrás, cogías eso,
[0:48:19.62]-[0:48:21.62]  y la ponías y la hacías.
[0:48:21.62]-[0:48:23.62]  Y luego traía otra y otra y se hacían morenas.
[0:48:23.62]-[0:48:25.62]  Cada 100 metros, pues una morena y así.
[0:48:25.62]-[0:48:27.62]  Se prendía, según estuviera
[0:48:27.62]-[0:48:29.62]  el mar, si tuviera mucho cereal,
[0:48:29.62]-[0:48:31.62]  pues se tiraban más juntas.
[0:48:31.62]-[0:48:33.62]  Las gavillas se creaban.
[0:48:33.62]-[0:48:35.62]  Y después pues a carriarlas con los carros,
[0:48:35.62]-[0:48:37.62]  por la noche.
[0:48:37.62]-[0:48:39.62]  Y salíamos a las 11 de la noche a carriarlas.
[0:48:39.62]-[0:48:41.62]  A carriarlas...
[0:48:41.62]-[0:48:43.62]  Por la noche.
[0:48:43.62]-[0:48:45.62]  A carriarlas queríamos, vamos, con el par de mulas,
[0:48:45.62]-[0:48:47.62]  donde había dos pares de mulas,
[0:48:47.62]-[0:48:49.62]  dos carros a carriarlas por la noche.
[0:48:49.62]-[0:48:51.62]  Había tres carros por tres carros.
[0:48:51.62]-[0:48:53.62]  A la tierra, tal sitio, por la noche,
[0:48:53.62]-[0:48:55.62]  que ni si veía ni veían nada.
[0:48:55.62]-[0:48:57.62]  ¿Cómo veía?
[0:48:57.62]-[0:48:59.62]  Pues por la palpaza. Y se veía.
[0:48:59.62]-[0:49:01.62]  No creas que no.
[0:49:01.62]-[0:49:03.62]  Las peores noches que pasaba,
[0:49:03.62]-[0:49:05.62]  era cuando había nubla.
[0:49:05.62]-[0:49:07.62]  Y eran peligrosas.
[0:49:07.62]-[0:49:09.62]  Peligrosas, tienen miedo.
[0:49:09.62]-[0:49:11.62]  Yo por lo menos tenía miedo.
[0:49:11.62]-[0:49:13.62]  ¿Tenías algún sucedido?
[0:49:13.62]-[0:49:15.62]  No, yo nunca me pasaba nada.
[0:49:15.62]-[0:49:17.62]  Me tocó estar en el campo así con nublao,
[0:49:17.62]-[0:49:19.62]  pero pasarme nunca.
[0:49:19.62]-[0:49:21.62]  Aquí no pasó nada más que una vez.
[0:49:21.62]-[0:49:23.62]  ¿Sabes lo que hacía?
[0:49:23.62]-[0:49:25.62]  La morena que llevaba, la morena,
[0:49:25.62]-[0:49:27.62]  te tapabas y te tapabas, para no ver nada.
[0:49:27.62]-[0:49:29.62]  Y la furridera, que es una furridera de acero,
[0:49:29.62]-[0:49:31.62]  con un mango largo,
[0:49:31.62]-[0:49:33.62]  para pintar así,
[0:49:33.62]-[0:49:35.62]  y lo daba si ibas cogiendo el balado.
[0:49:35.62]-[0:49:37.62]  La tirabas y ya está.
[0:49:37.62]-[0:49:39.62]  Pero sí pasó eso.
[0:49:39.62]-[0:49:41.62]  Sí, estaba mi hermana con otra señora,
[0:49:41.62]-[0:49:43.62]  atrapando, como dice este,
[0:49:43.62]-[0:49:45.62]  de las galinas, para echarla a salvo.
[0:49:45.62]-[0:49:47.62]  Y se preparó comienzo.
[0:49:47.62]-[0:49:49.62]  Nos ponemos unos lámparos, carriarlas.
[0:49:49.62]-[0:49:51.62]  Y tritaban las mulas.
[0:49:51.62]-[0:49:53.62]  Se dejaron de sedar.
[0:49:55.62]-[0:49:57.62]  Y se pusieron a la brigada,
[0:49:57.62]-[0:49:59.62]  con las mulas ahí, que no se daba.
[0:49:59.62]-[0:50:01.62]  Y a la brigada, la máquina.
[0:50:01.62]-[0:50:03.62]  Y había una salación,
[0:50:03.62]-[0:50:05.62]  un chispa, que llamábamos eléctrica.
[0:50:05.62]-[0:50:07.62]  Mató una mula,
[0:50:07.62]-[0:50:09.62]  y ella no se hizo nada.
[0:50:09.62]-[0:50:11.62]  Y mi hermana,
[0:50:11.62]-[0:50:13.62]  que era un poco atontada,
[0:50:13.62]-[0:50:15.62]  más pequeña que esta,
[0:50:15.62]-[0:50:17.62]  a mi hermana, ya es otra señora,
[0:50:17.62]-[0:50:19.62]  y ya con las mulas,
[0:50:19.62]-[0:50:21.62]  quedaba un poco atontada.
[0:50:21.62]-[0:50:23.62]  Quedaba un poco, sí, sí.
[0:50:23.62]-[0:50:25.62]  Pero eso no tuvieron suerte.
[0:50:25.62]-[0:50:27.62]  Le llamaban a la hermana.
[0:50:27.62]-[0:50:29.62]  Le afectó un poco a la vista.
[0:50:29.62]-[0:50:31.62]  Me llamó, a ver si vos.
[0:50:31.62]-[0:50:33.62]  Un apodo.
[0:50:33.62]-[0:50:35.62]  Un obrero que se llamaba.
[0:50:35.62]-[0:50:37.62]  Yo murí.
[0:50:37.62]-[0:50:39.62]  Pues a los señores,
[0:50:39.62]-[0:50:41.62]  le afectó a la vista.
[0:50:41.62]-[0:50:43.62]  Y estuvo unos días el pobre,
[0:50:43.62]-[0:50:45.62]  que lo veía un poco nudo, así,
[0:50:45.62]-[0:50:47.62]  un poco nubloso.
[0:50:47.62]-[0:50:49.62]  Pero no murió ninguno.
[0:50:49.62]-[0:50:51.62]  Solo la mula.
[0:50:51.62]-[0:50:53.62]  Que ustedes sepan, no ha matado a nadie más, ninguna chica.
[0:50:53.62]-[0:50:55.62]  No, yo no he conocido a nadie.
[0:50:55.62]-[0:50:57.62]  De verdad, digo, normal.
[0:50:57.62]-[0:50:59.62]  Yo no he conocido de matar a nadie.
[0:50:59.62]-[0:51:01.62]  Yo he estado, por suerte,
[0:51:01.62]-[0:51:03.62]  me ha tocado, es en el verano, estar en la ría.
[0:51:03.62]-[0:51:05.62]  Me acuerdo de un nublado,
[0:51:05.62]-[0:51:07.62]  pues que si estábamos nosotros, salía el rebojero.
[0:51:07.62]-[0:51:09.62]  Se llamaba el rebojero.
[0:51:09.62]-[0:51:11.62]  Acarreando un cacillo,
[0:51:11.62]-[0:51:13.62]  por la noche, como se acarrea,
[0:51:13.62]-[0:51:15.62]  pues se prepara la tormenta.
[0:51:15.62]-[0:51:17.62]  Además, se conigas para allá.
[0:51:17.62]-[0:51:19.62]  Daba el relámpago, el relámpago de rayos,
[0:51:19.62]-[0:51:21.62]  cuando íbamos, el relámpago, el relámpago,
[0:51:21.62]-[0:51:23.62]  y no veías nada. No veías nada.
[0:51:23.62]-[0:51:25.62]  Llegamos a la tierra,
[0:51:25.62]-[0:51:27.62]  como Dios lo entendía,
[0:51:27.62]-[0:51:29.62]  cogimos una morena o dos,
[0:51:29.62]-[0:51:31.62]  y daba que te pedimos,
[0:51:31.62]-[0:51:33.62]  vamos para casa, que aquí nos quedamos.
[0:51:33.62]-[0:51:35.62]  Los dijo, mi hermana,
[0:51:35.62]-[0:51:37.62]  que llegara.
[0:51:37.62]-[0:51:39.62]  Bueno, ya cuando llegamos a casa,
[0:51:39.62]-[0:51:41.62]  ya cayendo agua por un tubo, agua para la vez.
[0:51:41.62]-[0:51:43.62]  Y esa misma noche,
[0:51:43.62]-[0:51:45.62]  esa misma tormenta,
[0:51:45.62]-[0:51:47.62]  en una casa aquí detrás de la iglesia,
[0:51:47.62]-[0:51:49.62]  ahí cayó una chista, una salvación de esa.
[0:51:49.62]-[0:51:51.62]  Y estaba la muchacha en la cama,
[0:51:51.62]-[0:51:53.62]  y no la pasó nada.
[0:51:53.62]-[0:51:55.62]  Y cayó la habitación en la cama.
[0:51:55.62]-[0:51:57.62]  Y se le pidieron un cuadro que tenía de una virgen.
[0:51:57.62]-[0:51:59.62]  Y no le hizo nada.
[0:51:59.62]-[0:52:01.62]  Se llama Miracle Osella.
[0:52:01.62]-[0:52:03.62]  Cayó un cuadro.
[0:52:03.62]-[0:52:05.62]  Pues no, no le pasó nada.
[0:52:05.62]-[0:52:07.62]  Dicen que sí,
[0:52:07.62]-[0:52:09.62]  por ser el colchón de lata.
[0:52:09.62]-[0:52:11.62]  Es que tenía el colchón de lata.
[0:52:11.62]-[0:52:13.62]  Sí, sí, la historia es la...
[0:52:13.62]-[0:52:15.62]  Pues no le pasó nada.
[0:52:15.62]-[0:52:17.62]  Cayó la misma cama donde estaba ella.
[0:52:17.62]-[0:52:19.62]  La salvación esa, según entro se salió.
[0:52:19.62]-[0:52:21.62]  Pero para donde entró salió.
[0:52:21.62]-[0:52:23.62]  Y otra vez, el día de San Antonio,
[0:52:23.62]-[0:52:25.62]  cayó otra aquí en Gótes,
[0:52:25.62]-[0:52:27.62]  por una chimenea.
[0:52:27.62]-[0:52:29.62]  Es más allá, para esa lucha.
[0:52:29.62]-[0:52:31.62]  En una casa, cayó por una chimenea.
[0:52:31.62]-[0:52:33.62]  Y estaba el gato al alambre.
[0:52:33.62]-[0:52:35.62]  Al hogar del alambre.
[0:52:35.62]-[0:52:37.62]  Entonces, son las chimeneas esas,
[0:52:37.62]-[0:52:39.62]  pues eso. No se verán aquí ninguna.
[0:52:39.62]-[0:52:41.62]  No hay para aquí ninguna.
[0:52:41.62]-[0:52:43.62]  No hay ningún chimeneo.
[0:52:43.62]-[0:52:45.62]  Bueno, un chimeneo de cuatro ladillos,
[0:52:45.62]-[0:52:47.62]  con a lo mejor un metro de altura.
[0:52:47.62]-[0:52:49.62]  Pero era un chimeneo.
[0:52:49.62]-[0:52:51.62]  Y el hogar, pues ese era esto.
[0:52:51.62]-[0:52:53.62]  Así.
[0:52:53.62]-[0:52:55.62]  Así, con unas piernas
[0:52:55.62]-[0:52:57.62]  que se llamaban, que salían hasta aquí.
[0:52:57.62]-[0:52:59.62]  Y ahí en este sitio, en este hueco,
[0:52:59.62]-[0:53:01.62]  se metían las vides y la taja.
[0:53:01.62]-[0:53:03.62]  Y hacia el alambre.
[0:53:03.62]-[0:53:05.62]  Pues el gato estaba fijado aquí.
[0:53:05.62]-[0:53:07.62]  Cayó aquí y me mató.
[0:53:07.62]-[0:53:09.62]  Que me mató el gato ahí.
[0:53:09.62]-[0:53:11.62]  No había nadie.
[0:53:11.62]-[0:53:13.62]  Cayó un tormentón de agua.
[0:53:13.62]-[0:53:15.62]  Madre.
[0:53:15.62]-[0:53:17.62]  Cayó un tormentón de agua.
[0:53:17.62]-[0:53:19.62]  Cayó en una laguna ahí.
[0:53:19.62]-[0:53:21.62]  Que no sé yo los litros, los miles de litros que eran.
[0:53:21.62]-[0:53:23.62]  No sé. Estaba seca y se dieron una hora.
[0:53:23.62]-[0:53:25.62]  Ese fue un tormentón de miedo.
[0:53:25.62]-[0:53:27.62]  Una tormenta más.
[0:53:27.62]-[0:53:29.62]  Cuando yo sé,
[0:53:29.62]-[0:53:31.62]  dice otro Antonio también,
[0:53:31.62]-[0:53:33.62]  estábamos nosotros a coger
[0:53:33.62]-[0:53:35.62]  misantes, las de mi que...
[0:53:35.62]-[0:53:37.62]  Es el sacerdote que te dije yo.
[0:53:37.62]-[0:53:39.62]  Ese c...
[0:53:39.62]-[0:53:41.62]  Es el que lo alcanó por los cisnecos.
[0:53:41.62]-[0:53:43.62]  Que se acababan los ojos.
[0:53:43.62]-[0:53:45.62]  Pues ese tenía una tierrica
[0:53:45.62]-[0:53:47.62]  en el camino y no ayudaba.
[0:53:47.62]-[0:53:49.62]  Ahí pasa parte, ¿verdad? Y la tenía de guisantes.
[0:53:49.62]-[0:53:51.62]  Y las chicas estaban siguiendo mayaolí.
[0:53:51.62]-[0:53:53.62]  Y vino la fiesta. Claro, venían todos los años la fiesta.
[0:53:53.62]-[0:53:55.62]  ¿Dónde es aquí? Todas las chicas iban a vivir la capital.
[0:53:55.62]-[0:53:57.62]  Todas. Aquí no encargaran el padre,
[0:53:57.62]-[0:53:59.62]  no podía estar. Porque no había.
[0:53:59.62]-[0:54:01.62]  Iban las mujeres a vivir y se vestían
[0:54:01.62]-[0:54:03.62]  y se calzaban y tenían entre...
[0:54:03.62]-[0:54:05.62]  Y vino... Pues vamos a lo guisantes.
[0:54:05.62]-[0:54:07.62]  Vamos a lo guisantes. Fui yo con...
[0:54:07.62]-[0:54:09.62]  Estaba ahí el altero, era...
[0:54:09.62]-[0:54:11.62]  Vamos a lo guisantes.
[0:54:11.62]-[0:54:13.62]  Vaya un oslado, pues esto empezó a tronar.
[0:54:13.62]-[0:54:15.62]  Vamos, vamos, que nos pillan.
[0:54:15.62]-[0:54:17.62]  Que nos pillan el camino.
[0:54:17.62]-[0:54:19.62]  Nosotros nos vamos por así y nos salen por los pies.
[0:54:19.62]-[0:54:21.62]  Pues en una hora estaba esa laguna seca también.
[0:54:21.62]-[0:54:23.62]  Y se llenó. Y se lo llevó.
[0:54:23.62]-[0:54:25.62]  Y los tres, cuatro días lo llevó.
[0:54:25.62]-[0:54:27.62]  Bueno, ha habido tormentas en este foro de miedo.
[0:54:27.62]-[0:54:29.62]  Y miedo, miedo.
[0:54:29.62]-[0:54:31.62]  Ahora es cuando no llevo nada.
[0:54:31.62]-[0:54:33.62]  ¿Qué ha pasado este año?
[0:54:33.62]-[0:54:35.62]  Bueno, que no ha llovido nada.
[0:54:35.62]-[0:54:37.62]  Nada. Llevó ahí cuatro gotas en el mes de marzo hoy.
[0:54:37.62]-[0:54:39.62]  Sí, en marzo. En el mes de marzo llovió un poco.
[0:54:39.62]-[0:54:41.62]  Y no hemos tolido más.
[0:54:41.62]-[0:54:43.62]  Nada de nada.
[0:54:43.62]-[0:54:45.62]  ¿Dónde echaban los guisantes y esas cosas?
[0:54:45.62]-[0:54:47.62]  ¿En las heras?
[0:54:47.62]-[0:54:49.62]  Eso lo cogía en el carro.
[0:54:49.62]-[0:54:51.62]  Lo cogía en las piernas, verdad.
[0:54:51.62]-[0:54:53.62]  Después se llevaba con el carro para la era.
[0:54:53.62]-[0:54:55.62]  ¿Pero el qué cogían?
[0:54:55.62]-[0:54:57.62]  El... Unes, unes.
[0:54:57.62]-[0:54:59.62]  El montón ese. Tocaban el montón ese, ¿verdad?
[0:54:59.62]-[0:55:01.62]  Y los carriabas en el carro y los tres en la era.
[0:55:01.62]-[0:55:03.62]  En la era la era está en...
[0:55:03.62]-[0:55:05.62]  Son suelos que hay ahí.
[0:55:05.62]-[0:55:07.62]  Están en el suelo y están verdes.
[0:55:07.62]-[0:55:09.62]  ¿Y entre ellos?
[0:55:09.62]-[0:55:11.62]  Pues claro, no están verdes, están todos secos.
[0:55:11.62]-[0:55:13.62]  Está bueno, pero son paralizadas.
[0:55:13.62]-[0:55:15.62]  Y es donde se trillaba.
[0:55:15.62]-[0:55:17.62]  Ahí se trillaba el... El frío, la ciudad, la toda.
[0:55:17.62]-[0:55:19.62]  Y luego llevaban los guisantes a casa, por ejemplo.
[0:55:19.62]-[0:55:21.62]  Se limpiaban.
[0:55:21.62]-[0:55:23.62]  Los limpiaban con vientos.
[0:55:23.62]-[0:55:25.62]  Un viento se llama...
[0:55:25.62]-[0:55:27.62]  ¿Ves?
[0:55:27.62]-[0:55:29.62]  Es con una... ¿Ves?
[0:55:29.62]-[0:55:31.62]  Una purridera o una horca.
[0:55:31.62]-[0:55:33.62]  Una horca.
[0:55:33.62]-[0:55:35.62]  Eso es lo que es. Que tiene cuatro o cinco pinchos.
[0:55:35.62]-[0:55:37.62]  Pero esos pinchos eran de madera.
[0:55:37.62]-[0:55:39.62]  Y son de esta forma.
[0:55:41.62]-[0:55:43.62]  Terminan así.
[0:55:43.62]-[0:55:45.62]  En pico ahí, ¿entiendes?
[0:55:45.62]-[0:55:47.62]  Así en esta forma y aquí entra
[0:55:47.62]-[0:55:49.62]  en una cabeza.
[0:55:49.62]-[0:55:51.62]  Y así terminan en pico.
[0:55:51.62]-[0:55:53.62]  Y son cuatro o cinco. Y con ese chimpio se limpiaba el aire.
[0:55:53.62]-[0:55:55.62]  Y ya que había aire, cuando hacía aire nada.
[0:55:55.62]-[0:55:57.62]  Tenía que esperar.
[0:55:57.62]-[0:55:59.62]  Si no, no se podía limpiar.
[0:55:59.62]-[0:56:01.62]  Porque no había otra forma de limpiarlo.
[0:56:01.62]-[0:56:03.62]  Tenía que limpiar el aire.
[0:56:03.62]-[0:56:05.62]  Y hasta que no hubiera aire, pues quieto.
[0:56:05.62]-[0:56:07.62]  Hasta que Dios diera aire para limpiar.
[0:56:07.62]-[0:56:09.62]  Y cuando hacía aire, aprovechaba y a limpiarlo.
[0:56:09.62]-[0:56:11.62]  Se limpiaba después los aterandales con una quiva de...
[0:56:11.62]-[0:56:13.62]  De pellejo de madera, un arco de madera.
[0:56:13.62]-[0:56:15.62]  Con una...
[0:56:15.62]-[0:56:17.62]  La chima, lo que era la quiva, era de pellejo.
[0:56:17.62]-[0:56:19.62]  Piel de animal, de burro.
[0:56:19.62]-[0:56:21.62]  O de mula, o de caballo, o de cual lo hagas.
[0:56:21.62]-[0:56:23.62]  Con agujeros.
[0:56:23.62]-[0:56:25.62]  Y luego, ¿sabes?
[0:56:25.62]-[0:56:27.62]  Al cogerlo con unos costales, le llamaban.
[0:56:27.62]-[0:56:29.62]  Sacos o costales.
[0:56:29.62]-[0:56:31.62]  Y a llevarlo a casa.
[0:56:31.62]-[0:56:33.62]  El montón de picor.
[0:56:33.62]-[0:56:35.62]  Claro, el montón es a casa.
[0:56:35.62]-[0:56:37.62]  Y el que los tenía que vender los los día y el que le hacía falta para cebar los marranos,
[0:56:37.62]-[0:56:39.62]  con los guisantes los llamaban.
[0:56:39.62]-[0:56:41.62]  Porque era una ceba muy buena.
[0:56:41.62]-[0:56:43.62]  Y que era una ceba elegante, la ceba de guisantes para los centros.
[0:56:43.62]-[0:56:45.62]  ¿Cómo he dicho?
[0:56:45.62]-[0:56:47.62]  Para cebar los centros.
[0:56:47.62]-[0:56:49.62]  Sí, que era muy bueno.
[0:56:49.62]-[0:56:51.62]  O sea, se echaba el...
[0:56:51.62]-[0:56:53.62]  con los guisantes o grudos, no se los cogía.
[0:56:53.62]-[0:56:55.62]  Se echaba en agua.
[0:56:55.62]-[0:56:57.62]  O así, los tirabas uno en un pilón.
[0:56:57.62]-[0:56:59.62]  Un pilón así, lo llenabas de eso,
[0:56:59.62]-[0:57:01.62]  de guisantes, y estaban rumbeando toda la noche
[0:57:01.62]-[0:57:03.62]  comiendo guisantes, porque eran duros.
[0:57:03.62]-[0:57:05.62]  Pero era la mejor ceba que había, la de guisantes.
[0:57:05.62]-[0:57:07.62]  Que daba muy buen gusto al jamón,
[0:57:07.62]-[0:57:09.62]  y a todo lo del guisantes.
[0:57:09.62]-[0:57:11.62]  ¿Cómo se llamaba el sitio donde comían los cerdos?
[0:57:11.62]-[0:57:13.62]  Un pilón, un pilón.
[0:57:13.62]-[0:57:15.62]  Yo en toda la vida he dado un pilón.
[0:57:15.62]-[0:57:17.62]  Una pila de esas.
[0:57:17.62]-[0:57:19.62]  Y que no se haya hasta tiradas.
[0:57:19.62]-[0:57:21.62]  Yo en toda la vida he dado una pila.
[0:57:21.62]-[0:57:23.62]  ¿Cómo ha dicho, que les hay?
[0:57:23.62]-[0:57:25.62]  Las he tiradas, por ahí.
[0:57:25.62]-[0:57:27.62]  Ahora como no hay cerdos en las casas.
[0:57:27.62]-[0:57:29.62]  Hay para las vestillas que llamamos.
[0:57:29.62]-[0:57:31.62]  Ahora, a cenar.
[0:57:31.62]-[0:57:33.62]  Hay un sitio que tiran los escombros.
[0:57:33.62]-[0:57:35.62]  O sea, es un estanque grandísimo.
[0:57:35.62]-[0:57:37.62]  Pero muy grande.
[0:57:37.62]-[0:57:39.62]  Y estaba lleno de bodegas eso.
[0:57:39.62]-[0:57:41.62]  Y se ha ido cayendo, y ahora los están tapando
[0:57:41.62]-[0:57:43.62]  con escombros de una casa que se tira,
[0:57:43.62]-[0:57:45.62]  o de cosas de esas,
[0:57:45.62]-[0:57:47.62]  y todo va a ir a tirarse, todo.
[0:57:47.62]-[0:57:49.62]  ¿Los están tapando ya?
[0:57:49.62]-[0:57:51.62]  Sí, están tapando, todos los huecos están tapando.
[0:57:51.62]-[0:57:53.62]  Y allí he visto yo antes de ayer,
[0:57:53.62]-[0:57:55.62]  una de esas donde comían las vacas antiguamente.
[0:57:55.62]-[0:57:57.62]  De esas pilas grandonas,
[0:57:57.62]-[0:57:59.62]  desde yo, a Pinico de Puño.
[0:57:59.62]-[0:58:01.62]  Fíjate que pila se halla tirada.
[0:58:01.62]-[0:58:03.62]  Son pilas que tienen este volumen.
[0:58:03.62]-[0:58:05.62]  Y allí comían las vacas.
[0:58:05.62]-[0:58:07.62]  Un hueco por bajo, ¿entiendes?
[0:58:07.62]-[0:58:09.62]  Un hueco, que eso lo picarían
[0:58:09.62]-[0:58:11.62]  con...
[0:58:11.62]-[0:58:13.62]  Pues los vieron que picar, ya sabes,
[0:58:13.62]-[0:58:15.62]  con picos y alas, con martillo y cosas de esas.
[0:58:15.62]-[0:58:17.62]  Y hicieron eso.
[0:58:17.62]-[0:58:19.62]  Una piedra era maciza, toda esto, ¿no?
[0:58:19.62]-[0:58:21.62]  Y hicieron un hueco, pues en este randero,
[0:58:21.62]-[0:58:23.62]  un poco más estrecho,
[0:58:23.62]-[0:58:25.62]  para hacer el hueco ese,
[0:58:25.62]-[0:58:27.62]  para meter a la gente a comer,
[0:58:27.62]-[0:58:29.62]  o algo del mal.
[0:58:29.62]-[0:58:31.62]  Y esa es la sella que tengo.
[0:58:31.62]-[0:58:33.62]  La sella y para la vestida la he visto yo.
[0:58:33.62]-[0:58:35.62]  Si queréis vamos a un paseo, poco a poco,
[0:58:35.62]-[0:58:37.62]  yo no puedo andar a penas nada,
