[0:00:00.00]-[0:00:02.00]  Una miaja, ¿no?
[0:41:41.00]-[0:41:43.00]  ¿De aquí fue mucha gente a Francia?
[0:41:43.00]-[0:41:45.00]  ¿Eh?
[0:41:45.00]-[0:41:47.00]  ¿De aquí fue a Francia mucha gente?
[0:41:47.00]-[0:41:49.00]  Adiós, casi todos los fuimos.
[0:41:49.00]-[0:41:51.00]  Yo también he estado 11 años allí.
[0:41:51.00]-[0:41:53.00]  ¿11 años? Sí.
[0:41:53.00]-[0:41:55.00]  ¿Y cómo era aquello? Fue aquello.
[0:41:55.00]-[0:41:57.00]  Pues a la hoja como aquello, ya está.
[0:41:57.00]-[0:41:59.00]  ¿Y lo mismo? Lo mismo, cada uno de nosotros,
[0:41:59.00]-[0:42:01.00]  se era agricultor, se era agricultor, se era bañera, bañera,
[0:42:01.00]-[0:42:03.00]  lo mismo.
[0:42:03.00]-[0:42:05.00]  ¿Y usted a dónde fue?
[0:42:05.00]-[0:42:07.00]  Yo he estado a Bañé y en la tierra,
[0:42:07.00]-[0:42:09.00]  en dos lados. En Francia.
[0:42:09.00]-[0:42:11.00]  ¿Pero en dónde en Francia?
[0:42:11.00]-[0:42:13.00]  En Nimes.
[0:42:13.00]-[0:42:15.00]  He hecho mi... todo el tiempo que he estado.
[0:42:15.00]-[0:42:17.00]  ¿Y de agricultor qué trabajaba?
[0:42:17.00]-[0:42:19.00]  Por la piña. También.
[0:42:19.00]-[0:42:21.00]  Sí.
[0:42:21.00]-[0:42:23.00]  La piña, los manzanos. ¿Iban con contrato?
[0:42:23.00]-[0:42:25.00]  Sí.
[0:42:25.00]-[0:42:27.00]  Primero vivíamos sin papeles, sin nada.
[0:42:27.00]-[0:42:29.00]  Primero, maestro, las primeras veces.
[0:42:29.00]-[0:42:31.00]  Ya duró cada uno.
[0:42:31.00]-[0:42:33.00]  Se fue guiando su patrón
[0:42:33.00]-[0:42:35.00]  y ya era con contrato.
[0:42:37.00]-[0:42:39.00]  Y después producían papeles allí.
[0:42:41.00]-[0:42:43.00]  ¿Y allí había muchos
[0:42:43.00]-[0:42:45.00]  de aquí de la tierra?
[0:42:45.00]-[0:42:47.00]  Oh, muchos más, muchos más.
[0:42:47.00]-[0:42:49.00]  Sí, ¿no?
[0:42:49.00]-[0:42:51.00]  Aquí está el pueblo este, que habíamos
[0:42:51.00]-[0:42:53.00]  ponido los 100. 100 solo de este pueblo.
[0:42:53.00]-[0:42:55.00]  Aquí de estos pueblos más.
[0:42:55.00]-[0:42:57.00]  Estoy seguro.
[0:42:57.00]-[0:42:59.00]  Aquí hasta la carne se fue.
[0:42:59.00]-[0:43:01.00]  Eso, hasta la carne se fue.
[0:43:01.00]-[0:43:03.00]  ¿Eso es verdad?
[0:43:03.00]-[0:43:05.00]  ¿Y el cura?
[0:43:05.00]-[0:43:07.00]  El cura también.
[0:43:07.00]-[0:43:09.00]  El cura cambiaba uno que le decíamos cura.
[0:43:09.00]-[0:43:11.00]  No era cura.
[0:43:11.00]-[0:43:13.00]  Ah, sí.
[0:43:13.00]-[0:43:15.00]  El cura es que vos hables de mi alma.
[0:43:15.00]-[0:43:17.00]  Es verdad.
[0:43:17.00]-[0:43:19.00]  De verdad que necesitamos que nos hable solo uno,
[0:43:19.00]-[0:43:21.00]  que si no nos sale en la cámara.
[0:43:21.00]-[0:43:23.00]  Así que se quedó el pueblo así.
[0:43:23.00]-[0:43:25.00]  Es vacío, eso es tu vida.
[0:43:25.00]-[0:43:27.00]  No todavía hay mucha gente aquí.
[0:43:27.00]-[0:43:29.00]  ¿Y el cura quién era?
[0:43:29.00]-[0:43:31.00]  ¿Por qué dices la misma?
[0:43:31.00]-[0:43:33.00]  Ya no, no, pero me refiero al que llamaban
[0:43:33.00]-[0:43:35.00]  el cura quién era.
[0:43:35.00]-[0:43:37.00]  ¿Y por qué le llamaban el cura?
[0:43:37.00]-[0:43:39.00]  A poco que se ponía.
[0:43:39.00]-[0:43:41.00]  Ah, sí. No, no, pero al que le llamaban el...
[0:43:41.00]-[0:43:43.00]  No, pues a poco que se ponía
[0:43:43.00]-[0:43:45.00]  la gente ya está.
[0:43:45.00]-[0:43:47.00]  ¿Y por qué le pusieron ese apodo?
[0:43:47.00]-[0:43:49.00]  No lo sabes.
[0:43:49.00]-[0:43:51.00]  Porque lo llevaban a cargo y como los curas llevaban
[0:43:51.00]-[0:43:53.00]  a cargo...
[0:43:53.00]-[0:43:55.00]  Sí, sí, sí.
[0:43:55.00]-[0:43:57.00]  ¿Y usted tenía algún apodo?
[0:43:57.00]-[0:43:59.00]  Eh, pues no.
[0:43:59.00]-[0:44:01.00]  ¿No tiene algún apodo?
[0:44:01.00]-[0:44:03.00]  No, como que...
[0:44:03.00]-[0:44:05.00]  No sé cómo lo escapamos, yo sé que...
[0:44:05.00]-[0:44:07.00]  No tenía apodo.
[0:44:07.00]-[0:44:09.00]  Pero muchos, pues tenía.
[0:44:09.00]-[0:44:11.00]  Sí, sí.
[0:44:11.00]-[0:44:13.00]  ¿Ese es su nombre?
[0:44:13.00]-[0:44:15.00]  Es mi nombre.
[0:44:15.00]-[0:44:17.00]  Para la verdad, para sí.
[0:44:17.00]-[0:44:19.00]  Porque por la casa de usted...
[0:44:19.00]-[0:44:21.00]  ¿Eh?
[0:44:21.00]-[0:44:23.00]  Porque usted es de casa Jeromo.
[0:44:23.00]-[0:44:25.00]  Porque mis padres, mis abuelos,
[0:44:25.00]-[0:44:27.00]  eran jeromos.
[0:44:27.00]-[0:44:29.00]  Muy bien.
[0:44:29.00]-[0:44:31.00]  Y luego,
[0:44:31.00]-[0:44:33.00]  la gente empezó a volver de Francia.
[0:44:33.00]-[0:44:35.00]  Claro, empezamos a volver.
[0:44:35.00]-[0:44:37.00]  Y muchos ya se fueron a Lourdes,
[0:44:37.00]-[0:44:39.00]  a la Lama, por ahí.
[0:44:39.00]-[0:44:41.00]  Y nosotros queremos aquí.
[0:44:41.00]-[0:44:43.00]  Y cuando volvió usted,
[0:44:43.00]-[0:44:45.00]  ¿volvió a cultivar la tierra?
[0:44:45.00]-[0:44:47.00]  Sí, sí, sí.
[0:44:47.00]-[0:44:49.00]  Ya compré más tierra.
[0:44:49.00]-[0:44:51.00]  Mi padre me dio un poco de tierra
[0:44:51.00]-[0:44:53.00]  a mis padres, y yo ya he comprado
[0:44:53.00]-[0:44:55.00]  bastante más.
[0:44:55.00]-[0:44:57.00]  Y mi padre me dio para hacer 10 fanegas,
[0:44:57.00]-[0:44:59.00]  y yo tengo 60.
[0:45:01.00]-[0:45:03.00]  ¿Es una fanega?
[0:45:03.00]-[0:45:05.00]  ¿Qué es una fanega?
[0:45:05.00]-[0:45:07.00]  Una fanega de tierra son...
[0:45:07.00]-[0:45:09.00]  ¿Cómo voy a decir?
[0:45:09.00]-[0:45:11.00]  Como...
[0:45:11.00]-[0:45:13.00]  3000 metros.
[0:45:13.00]-[0:45:15.00]  Y yo tengo la tierra.
[0:45:17.00]-[0:45:19.00]  ¿Y las cultivo usted mismo en esas fanegas?
[0:45:19.00]-[0:45:21.00]  Sí.
[0:45:21.00]-[0:45:23.00]  ¿Labra y todo?
[0:45:23.00]-[0:45:25.00]  Labra y todo, todavía.
[0:45:25.00]-[0:45:27.00]  Tengo un nieto y un hijo que
[0:45:27.00]-[0:45:29.00]  ella lo que se recoge es payo,
[0:45:29.00]-[0:45:31.00]  pero yo todavía tengo un estastón
[0:45:31.00]-[0:45:33.00]  en mi peyu.
[0:45:33.00]-[0:45:35.00]  ¿Y su nieto,
[0:45:35.00]-[0:45:37.00]  su hijo y su nieto ya no se
[0:45:37.00]-[0:45:39.00]  dedican al campo?
[0:45:39.00]-[0:45:41.00]  No, sí se dedican, también van a llevar
[0:45:41.00]-[0:45:43.00]  a trabajar.
[0:45:43.00]-[0:45:45.00]  Están trabajando en el pozo de Nalama.
[0:45:45.00]-[0:45:47.00]  Sí, sí.
[0:45:47.00]-[0:45:49.00]  ¿Qué es el pozo de Nalama?
[0:45:49.00]-[0:45:51.00]  Sí, el pozo es...
[0:45:51.00]-[0:45:53.00]  que está famoso
[0:45:53.00]-[0:45:55.00]  de chinos.
[0:45:55.00]-[0:45:57.00]  Ah, sí, sí, sí, ¿qué hacen ahí?
[0:45:57.00]-[0:45:59.00]  Matan 3.000 chinos todos los días,
[0:45:59.00]-[0:46:01.00]  dicen.
[0:46:01.00]-[0:46:03.00]  Hay 4.000 personas ahí,
[0:46:03.00]-[0:46:05.00]  metidas.
[0:46:05.00]-[0:46:07.00]  ¿Y se han colocado ahí?
[0:46:07.00]-[0:46:09.00]  Se han colocado allí. Tengo un sobrino mío
[0:46:09.00]-[0:46:11.00]  que es uno de los encargados
[0:46:11.00]-[0:46:13.00]  personales allí.
[0:46:13.00]-[0:46:15.00]  Uy, están colocados allí.
[0:46:15.00]-[0:46:17.00]  ¿Por la amistad que tiene con él?
[0:46:17.00]-[0:46:19.00]  ¿Qué?
[0:46:19.00]-[0:46:21.00]  Hombre, claro.
[0:46:21.00]-[0:46:23.00]  Hombre, como decía,
[0:46:23.00]-[0:46:25.00]  que no tienes compadre, no te mutilas.
[0:46:25.00]-[0:46:27.00]  ¿Y eso pasa aquí?
[0:46:27.00]-[0:46:29.00]  Claro.
[0:46:29.00]-[0:46:31.00]  Estamos hablando de las fiestas, aquí celebran
[0:46:31.00]-[0:46:33.00]  solo la Virgen, ¿no?
[0:46:33.00]-[0:46:35.00]  Sí, sí.
[0:46:35.00]-[0:46:37.00]  ¿Y cómo la celebran?
[0:46:37.00]-[0:46:39.00]  Aquí, están cuantas.
[0:46:39.00]-[0:46:41.00]  Si tiran, hacen las procesiones
[0:46:41.00]-[0:46:43.00]  por las calles, pues...
[0:46:43.00]-[0:46:45.00]  ¿Las sacan? Sí, sí. ¿Y por dónde las sacan?
[0:46:45.00]-[0:46:47.00]  Pues por las calles.
[0:46:47.00]-[0:46:49.00]  Todas las calles. Sí. ¿Y quién las saca?
[0:46:49.00]-[0:46:51.00]  Pues los hombres y las mujeres.
[0:46:51.00]-[0:46:53.00]  ¿Y no hay como una gente señalada para...
[0:46:53.00]-[0:46:55.00]  No, no, no, no.
[0:46:55.00]-[0:46:57.00]  ¿No? No tiene cofradía.
[0:46:57.00]-[0:46:59.00]  Va un rato
[0:46:59.00]-[0:47:01.00]  cuatro, como en Brasil,
[0:47:01.00]-[0:47:03.00]  entonces ponen otros cuatro y se quitan.
[0:47:03.00]-[0:47:05.00]  Las mujeres van cuatro y se quitan
[0:47:05.00]-[0:47:07.00]  y ponen otra y así.
[0:47:07.00]-[0:47:09.00]  Las mujeres, ¿no? Las mujeres San Isidro
[0:47:09.00]-[0:47:11.00]  lo pasan allá.
[0:47:11.00]-[0:47:13.00]  Y los hombres la Virgen.
[0:47:13.00]-[0:47:15.00]  ¿Y no hay más procesiones?
[0:47:15.00]-[0:47:17.00]  No.
[0:47:17.00]-[0:47:19.00]  ¿Y usted recuerda de pequeño sacar
[0:47:19.00]-[0:47:21.00]  a San Isidro, a la Virgen para...
[0:47:21.00]-[0:47:23.00]  Claro, me recuerdo, me recuerdo a mí.
[0:47:23.00]-[0:47:25.00]  ¿Y para pedir de llover y eso?
[0:47:25.00]-[0:47:27.00]  Me agrada pedir de llover, eso son cosas que...
[0:47:27.00]-[0:47:29.00]  Sí. ¿Se hacía también?
[0:47:29.00]-[0:47:31.00]  Sí, también se ha hecho alguna vez, también, eso.
[0:47:31.00]-[0:47:33.00]  Ahí, ahí.
[0:47:33.00]-[0:47:35.00]  ¿Y la Semana Santa no celebra?
[0:47:35.00]-[0:47:37.00]  Sí, celebra, sí.
[0:47:37.00]-[0:47:39.00]  ¿Y qué se celebra?
[0:47:39.00]-[0:47:41.00]  ¿Cómo se celebra?
[0:47:41.00]-[0:47:43.00]  Pues las casas y misas y todo eso, y ya está.
[0:47:43.00]-[0:47:45.00]  Aquí no hay procesiones como
[0:47:45.00]-[0:47:47.00]  por estar en Lorca, hasta por ahí.
[0:47:47.00]-[0:47:49.00]  Aquí no, eso no.
[0:47:49.00]-[0:47:51.00]  En otros pueblos nos han contado que a veces rompen
[0:47:51.00]-[0:47:53.00]  botijos o... Sí, sí, sí.
[0:47:53.00]-[0:47:55.00]  ¿Sí? Eso son las mujeres.
[0:47:55.00]-[0:47:57.00]  ¿En los Lodos, cómo es eso? Pues como eso, porque van
[0:47:57.00]-[0:47:59.00]  en un corro y van tirándose
[0:47:59.00]-[0:48:01.00]  en botijos una a otra.
[0:48:01.00]-[0:48:03.00]  Algunas veces nos les capo la ruta.
[0:48:03.00]-[0:48:05.00]  Sí, eh.
[0:48:05.00]-[0:48:07.00]  Oiga, ¿y si el agua aquí estaba tan lejos
[0:48:07.00]-[0:48:09.00]  para beber las personas?
[0:48:09.00]-[0:48:11.00]  Estaba
[0:48:11.00]-[0:48:13.00]  un kilómetro, volai.
[0:48:13.00]-[0:48:15.00]  Y ahora está ahí, en la plaza.
[0:48:15.00]-[0:48:17.00]  Y había que ir a buscarla, ¿no?
[0:48:17.00]-[0:48:19.00]  Sí, claro.
[0:48:19.00]-[0:48:21.00]  ¿Y quiénes iban?
[0:48:21.00]-[0:48:23.00]  Otras, gente,
[0:48:23.00]-[0:48:25.00]  una bestia,
[0:48:25.00]-[0:48:27.00]  estaban cuatro cacharros, una bestia
[0:48:27.00]-[0:48:29.00]  y iban a poner agua.
[0:48:29.00]-[0:48:31.00]  ¿Qué cacharros eran?
[0:48:31.00]-[0:48:33.00]  Pues, tantas lo decían aquellos.
[0:48:33.00]-[0:48:35.00]  El juez aquí hizo tres litros a cada
[0:48:35.00]-[0:48:37.00]  cacharro aquel.
[0:48:37.00]-[0:48:39.00]  Y cuando volvían, ¿lo guardaban
[0:48:39.00]-[0:48:41.00]  en algún sitio? Hombre, claro.
[0:48:41.00]-[0:48:43.00]  En algún sitio, para dejarlo.
[0:48:43.00]-[0:48:45.00]  Había una tina,
[0:48:45.00]-[0:48:47.00]  que antes echaba el agua, esa,
[0:48:47.00]-[0:48:49.00]  y todos los cacharros los dejaban allí para los montoncillas
[0:48:49.00]-[0:48:51.00]  para los guardar.
[0:48:51.00]-[0:48:53.00]  Y aquí, cuando
[0:48:53.00]-[0:48:55.00]  no había agua
[0:48:55.00]-[0:48:57.00]  por tarde, entonces iban ahí,
[0:48:57.00]-[0:48:59.00]  y la gente, antes de secarse el agua,
[0:48:59.00]-[0:49:01.00]  pues las mujeres con sufrir el cacharro,
[0:49:01.00]-[0:49:03.00]  todas las tardes, por agua, para la casa.
[0:49:07.00]-[0:49:09.00]  Y todo eso.
[0:49:09.00]-[0:49:11.00]  ¿Cuántos eran ustedes en casa?
[0:49:11.00]-[0:49:13.00]  ¿En mi casa?
[0:49:13.00]-[0:49:15.00]  Hermano, siete.
[0:49:15.00]-[0:49:17.00]  ¿Siete hermanos?
[0:49:17.00]-[0:49:19.00]  Qué barbaridad, ¿y cómo se organizaban?
[0:49:19.00]-[0:49:21.00]  Sí, claro, creo.
[0:49:21.00]-[0:49:23.00]  Igual que los pollos al lado de la gallina,
[0:49:23.00]-[0:49:27.00]  el padre, el padre.
[0:49:27.00]-[0:49:29.00]  ¿Y a usted lo llaman
[0:49:29.00]-[0:49:31.00]  y el bar este también es?
[0:49:31.00]-[0:49:33.00]  Hermano mío.
[0:49:33.00]-[0:49:35.00]  Ah, hermano de usted.
[0:49:35.00]-[0:49:37.00]  Se murió el hombre y
[0:49:37.00]-[0:49:39.00]  el hermano.
[0:49:41.00]-[0:49:43.00]  Una parte de la familia sí que se ha quedado aquí en el pueblo.
[0:49:43.00]-[0:49:45.00]  Sí, algunos hemos quedado aquí y otros
[0:49:45.00]-[0:49:47.00]  no están ni en tu bar.
[0:49:47.00]-[0:49:49.00]  Pero ve muy distinta usted la vida
[0:49:49.00]-[0:49:51.00]  ahora como era antes.
[0:49:51.00]-[0:49:53.00]  Sí, claro, yo no tengo nada.
[0:49:53.00]-[0:49:55.00]  No voy a ganar.
[0:49:55.00]-[0:49:57.00]  Antes
[0:49:57.00]-[0:49:59.00]  era un poco seria la cosa.
[0:49:59.00]-[0:50:01.00]  ¿Un poco seria?
[0:50:01.00]-[0:50:03.00]  Claro, mucho trabajo, mucho trabajo y
[0:50:03.00]-[0:50:05.00]  no voy a ganar.
[0:50:05.00]-[0:50:07.00]  Ahora si quieres, si trabajas, pues vas a ganar.
[0:50:07.00]-[0:50:09.00]  Y de otra manera.
[0:50:09.00]-[0:50:11.00]  ¿Puede progresar?
[0:50:11.00]-[0:50:13.00]  ¿Eh?
[0:50:13.00]-[0:50:15.00]  Se puede progresar.
[0:50:15.00]-[0:50:17.00]  Claro, no te digo que me lleve mi padre a mi
[0:50:17.00]-[0:50:19.00]  de fanaticalidad 60.
[0:50:19.00]-[0:50:21.00]  Sí señor.
[0:50:21.00]-[0:50:23.00]  Y lo tengo todo plantado de viña y almendras
[0:50:23.00]-[0:50:25.00]  y oliveras.
[0:50:25.00]-[0:50:27.00]  Todo.
[0:50:27.00]-[0:50:29.00]  Ahora sí que plantaste oliveras, ¿no?
[0:50:29.00]-[0:50:31.00]  Sí.
[0:50:31.00]-[0:50:33.00]  A fin es que mira a ver.
[0:50:33.00]-[0:50:35.00]  Si es progresado o no.
[0:50:35.00]-[0:50:37.00]  Pero las plantaste usted porque las oliveras tardan
[0:50:37.00]-[0:50:39.00]  mucho en dar olivas, ¿o no?
[0:50:39.00]-[0:50:41.00]  ¿En qué? No, no.
[0:50:41.00]-[0:50:43.00]  Hoy los dueños tienen olivas.
[0:50:43.00]-[0:50:45.00]  ¿Sí? Sí, sí, sí.
[0:50:45.00]-[0:50:47.00]  Las clases que hay ahora los dueños tienen olivas.
[0:50:47.00]-[0:50:49.00]  Sí, pero antes no.
[0:50:49.00]-[0:50:51.00]  Antes también.
[0:50:51.00]-[0:50:53.00]  Antes no, antes iba a hacer un árbol, yo no sé qué pasaba.
[0:50:53.00]-[0:50:55.00]  Pero ahora.
[0:50:55.00]-[0:50:57.00]  Tengo un metro de dos años, yo que he subido un metro de dos años.
[0:50:57.00]-[0:50:59.00]  Y ahora.
[0:50:59.00]-[0:51:01.00]  Claro que las olamos las cosas más
[0:51:01.00]-[0:51:03.00]  que se hará una vez.
[0:51:07.00]-[0:51:09.00]  Las olivas con máquinas no se pueden recoger, ¿no?
[0:51:09.00]-[0:51:11.00]  Sí, sí, las cogen también con máquinas.
[0:51:11.00]-[0:51:13.00]  ¿Cómo se recogen?
[0:51:13.00]-[0:51:15.00]  ¿Cómo? Pues igual que recogen agua.
[0:51:15.00]-[0:51:17.00]  Y lo que se hace es que se lo tomen la huella con máquinas.
[0:51:17.00]-[0:51:19.00]  Pero igual.
[0:51:19.00]-[0:51:21.00]  Pero ¿cómo funciona?
[0:51:21.00]-[0:51:23.00]  Se mete la máquina al hilo delante
[0:51:23.00]-[0:51:25.00]  y va haciendo así.
[0:51:25.00]-[0:51:27.00]  Y recogen ahí, y va cayendo
[0:51:27.00]-[0:51:29.00]  un trastado con una remolca
[0:51:29.00]-[0:51:31.00]  y atrás va cayendo la agua.
[0:51:31.00]-[0:51:33.00]  Y ustedes nunca han variado,
[0:51:33.00]-[0:51:35.00]  ¿o sí? ¿Variaban
[0:51:35.00]-[0:51:37.00]  las oliveras o no?
[0:51:37.00]-[0:51:39.00]  ¿Variaban? Sí, claro.
[0:51:39.00]-[0:51:41.00]  Pues antes les daba con una barra.
[0:51:41.00]-[0:51:43.00]  ¿Usted ha variado? Sí, claro que he variado, sí.
[0:51:43.00]-[0:51:45.00]  Ahora no, ahora ya
[0:51:45.00]-[0:51:47.00]  nos traemos unos cepillos,
[0:51:47.00]-[0:51:49.00]  hay unas maquinicas que
[0:51:49.00]-[0:51:51.00]  arrancan el motociclo y
[0:51:51.00]-[0:51:53.00]  empiezan a menear las tiras sueltas y todo eso.
[0:51:53.00]-[0:51:55.00]  ¿Y antes había que llevar...?
[0:51:55.00]-[0:51:57.00]  Antes había que... a mano.
[0:51:57.00]-[0:51:59.00]  Ahora no, ahora está la maquinica esa
[0:51:59.00]-[0:52:01.00]  y claro, si tienes pocas, pues las coges
[0:52:01.00]-[0:52:03.00]  a mano, porque tienes ya alguna
[0:52:03.00]-[0:52:05.00]  como yo tengo.
[0:52:05.00]-[0:52:07.00]  En las maquinicas esas, las coges
[0:52:07.00]-[0:52:09.00]  las adiós. Y eso coge los licuados.
[0:52:09.00]-[0:52:11.00]  Eso va rápido, ¿no?
[0:52:11.00]-[0:52:13.00]  Sí, los bajarán y mis hijos y mi nieto
[0:52:13.00]-[0:52:15.00]  vamos a llegar a 2000 kilos por día.
[0:52:15.00]-[0:52:17.00]  Una pregunta,
[0:52:17.00]-[0:52:19.00]  ¿qué es una mazara?
[0:52:19.00]-[0:52:21.00]  Pues una mazara es donde hacen el aceite.
[0:52:21.00]-[0:52:23.00]  ¿Dónde hacen el aceite?
[0:52:23.00]-[0:52:25.00]  Llevan la oliva ahí y allí ya hacen el aceite.
[0:52:25.00]-[0:52:27.00]  ¿Y allí cómo lo hacen?
[0:52:27.00]-[0:52:29.00]  ¿Usted lo ha visto?
[0:52:29.00]-[0:52:31.00]  Hombre, claro que lo he visto.
[0:52:31.00]-[0:52:33.00]  ¿Cómo lo hacen? Pues hay unos maquinarios
[0:52:33.00]-[0:52:35.00]  que se los van moliendo el olivo
[0:52:35.00]-[0:52:37.00]  para que hayan ido unas prensas
[0:52:37.00]-[0:52:39.00]  y ahí va saliendo todo el aceite.
[0:52:39.00]-[0:52:41.00]  ¿Así fácilmente?
[0:52:41.00]-[0:52:43.00]  Fácil, está fácil.
[0:52:43.00]-[0:52:45.00]  Pero había diferentes tipos de aceite.
[0:52:45.00]-[0:52:47.00]  Sí, hay mejor que el dios,
[0:52:47.00]-[0:52:49.00]  es claro.
[0:52:49.00]-[0:52:51.00]  ¿Pero de qué depende?
[0:52:51.00]-[0:52:53.00]  Depende de qué.
[0:52:53.00]-[0:52:55.00]  ¿El que salga mejor o peor aceite?
[0:52:55.00]-[0:52:57.00]  Hay aceite de girasol, hay aceite de otras cosas.
[0:52:57.00]-[0:52:59.00]  ¿Y el aceite de girasol usted sabe cómo...?
[0:52:59.00]-[0:53:01.00]  No, eso no se ayuda,
[0:53:01.00]-[0:53:03.00]  eso no he visto, y aquí no están las mazaras.
[0:53:03.00]-[0:53:05.00]  ¿No hay girasoles aquí?
[0:53:05.00]-[0:53:07.00]  Aquí no hay girasoles ni mazaras en todo el...
[0:53:07.00]-[0:53:09.00]  en el sitio, en el mar.
[0:53:09.00]-[0:53:11.00]  Y en lluvia más que hay mazaras,
[0:53:11.00]-[0:53:13.00]  aquí sembraron dos años girasol
[0:53:13.00]-[0:53:15.00]  y no puede sembrar más.
[0:53:15.00]-[0:53:17.00]  Me falta agua y no vale.
[0:53:17.00]-[0:53:19.00]  Necesitan mucha agua.
[0:53:19.00]-[0:53:21.00]  Necesitan mucha agua.
[0:53:21.00]-[0:53:23.00]  Y no pueden sembrar más.
[0:53:23.00]-[0:53:25.00]  Si van dos años no sembran más.
[0:53:25.00]-[0:53:27.00]  Pues nada,
[0:53:27.00]-[0:53:29.00]  qué le voy a decir.
[0:53:29.00]-[0:53:31.00]  Bastante le he dicho.
[0:53:31.00]-[0:53:33.00]  Usted no tenía un huerto.
[0:53:33.00]-[0:53:35.00]  ¿Eh?
[0:53:35.00]-[0:53:37.00]  ¿El huerto cómo lo cultivaba? ¿Cómo lo preparaba?
[0:53:37.00]-[0:53:39.00]  ¿Cómo? Nos la van comando.
[0:53:39.00]-[0:53:41.00]  Pero ¿en cualquier terreno vale?
[0:53:41.00]-[0:53:43.00]  Si habiendo agua claro.
[0:53:43.00]-[0:53:45.00]  ¿Ah, sí?
[0:53:45.00]-[0:53:47.00]  Habiendo agua sí, hombre.
[0:53:47.00]-[0:53:49.00]  Yo tengo un huerto, tengo ahí un pazo de tierra,
[0:53:49.00]-[0:53:51.00]  y ahí tengo tomates, tengo habichuelas,
[0:53:51.00]-[0:53:53.00]  tengo pepinos, tengo melón,
[0:53:53.00]-[0:53:55.00]  tengo todo.
[0:53:55.00]-[0:53:57.00]  Y patatas que hacemos también.
[0:53:57.00]-[0:53:59.00]  ¿Y cómo se cuida un huerto?
[0:53:59.00]-[0:54:01.00]  Tengo un pozo, un pozo que dice que tiene un chorro de agua.
[0:54:01.00]-[0:54:03.00]  Tengo un pozo, un pozo que dice que tiene un chorro de agua.
[0:54:03.00]-[0:54:05.00]  ¿Y cómo se cuida un huerto?
[0:54:05.00]-[0:54:07.00]  ¿Cómo se cuida? Pues cómo se va a cuidar.
[0:54:07.00]-[0:54:09.00]  Pues cavando.
[0:54:09.00]-[0:54:11.00]  Y yo preparo las cosas,
[0:54:11.00]-[0:54:13.00]  las plantas que se matan,
[0:54:13.00]-[0:54:15.00]  las hay.
[0:54:15.00]-[0:54:17.00]  Sí, sí.
[0:54:17.00]-[0:54:19.00]  Y a cada cosa hay que hacerle su bancado.
[0:54:19.00]-[0:54:21.00]  A cada cosa su cosa, claro.
[0:54:21.00]-[0:54:23.00]  A cada cosa su cosa, claro.
[0:54:23.00]-[0:54:25.00]  Por ejemplo, los tomates.
[0:54:25.00]-[0:54:27.00]  Tomates, los pimientos,
[0:54:27.00]-[0:54:29.00]  un poco para la casa.
[0:54:29.00]-[0:54:31.00]  ¿Y los pimientos?
[0:54:31.00]-[0:54:33.00]  ¿Qué tipo de pimientos cultivos?
[0:54:33.00]-[0:54:35.00]  Uno de todos,
[0:54:35.00]-[0:54:37.00]  uno de su gordo, otro de los largos,
[0:54:37.00]-[0:54:39.00]  de cada cosa los cuantos matan para tener para la casa.
[0:54:39.00]-[0:54:41.00]  de cada cosa los cuantos matan para tener para la casa.
[0:54:41.00]-[0:54:43.00]  ¿Y verdes o los dejan?
[0:54:43.00]-[0:54:45.00]  Verdes, los dejan que se pongan colorados.
[0:54:45.00]-[0:54:47.00]  Verdes, los dejan que se pongan colorados.
[0:54:47.00]-[0:54:49.00]  ¿Y cuáles son mejores?
[0:54:49.00]-[0:54:51.00]  ¿Eh?
[0:54:51.00]-[0:54:53.00]  ¿Cuáles son mejores?
[0:54:53.00]-[0:54:55.00]  Hombros colorados son los que cogen y los hacen una rastra,
[0:54:55.00]-[0:54:57.00]  con un hilo, lo van cosiendo y hacen una rastra,
[0:54:57.00]-[0:54:59.00]  y eso luego las mujeres lo hacen palofizado,
[0:54:59.00]-[0:55:01.00]  y lo hacen palofizado, y todo eso.
[0:55:01.00]-[0:55:03.00]  ¿Y los verdes?
[0:55:03.00]-[0:55:05.00]  Los verdes los hacen los...
[0:55:05.00]-[0:55:07.00]  los... para que se hacen conservas,
[0:55:07.00]-[0:55:09.00]  los parten,
[0:55:09.00]-[0:55:11.00]  para hacer las conservas de tomates.
[0:55:11.00]-[0:55:13.00]  ¿Y las habichuelas?
[0:55:13.00]-[0:55:15.00]  Las habichuelas pues mismo,
[0:55:15.00]-[0:55:17.00]  siempre hay posibilidades para tener para la casa,
[0:55:17.00]-[0:55:19.00]  o si se emblaza,
[0:55:19.00]-[0:55:21.00]  para tener tiernas, las cosas son tiernas para comer.
[0:55:21.00]-[0:55:23.00]  Para...
[0:55:23.00]-[0:55:25.00]  Sí, sí.
[0:55:25.00]-[0:55:27.00]  Sí.
[0:55:27.00]-[0:55:31.00]  Con tanto trabajo como tenían ustedes de jóvenes,
[0:55:31.00]-[0:55:33.00]  había poca...
[0:55:33.00]-[0:55:35.00]  poco tiempo para estar festejando, ¿no?
[0:55:35.00]-[0:55:37.00]  ¿Y cómo conocían a sus mujeres?
[0:55:37.00]-[0:55:39.00]  Hombre, para las noches,
[0:55:39.00]-[0:55:41.00]  y por los domingos, que los domingos...
[0:55:41.00]-[0:55:43.00]  y tal, entonces.
